# stan_version_major = 2
# stan_version_minor = 37
# stan_version_patch = 0
# model = rlddm_single_subject_model
# start_datetime = 2025-09-24 09:28:31 UTC
# method = sample (Default)
#   sample
#     num_samples = 100
#     num_warmup = 100
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.995
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = dense_e
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/s0/k9fg8kp94xl307gydfsd9gf00000gq/T/tmphpdpvfzn/qvh9kxbh.json
# init = /var/folders/s0/k9fg8kp94xl307gydfsd9gf00000gq/T/tmphpdpvfzn/gng8lekn_1.json
# random
#   seed = 2026
# output
#   file = /Users/jy4657/Desktop/Repositories/tst-stan/cmdstan_tmp/rlddm_single_subject-20250924052831_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.37.0
# stancflags = --filename-in-msg=rlddm_single_subject.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,a,t0,scaler_param,scaler,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46,log_lik.47,log_lik.48,log_lik.49,log_lik.50,log_lik.51,log_lik.52,log_lik.53,log_lik.54,log_lik.55,log_lik.56,log_lik.57,log_lik.58,log_lik.59,log_lik.60,log_lik.61,log_lik.62,log_lik.63,log_lik.64,log_lik.65,log_lik.66,log_lik.67,log_lik.68,log_lik.69,log_lik.70,log_lik.71,log_lik.72,log_lik.73,log_lik.74,log_lik.75,log_lik.76,log_lik.77,log_lik.78,log_lik.79,log_lik.80,log_lik.81,log_lik.82,log_lik.83,log_lik.84,log_lik.85,log_lik.86,log_lik.87,log_lik.88,log_lik.89,log_lik.90,log_lik.91,log_lik.92,log_lik.93,log_lik.94,log_lik.95,log_lik.96,log_lik.97,log_lik.98,log_lik.99,log_lik.100,log_lik.101,log_lik.102,log_lik.103,log_lik.104,log_lik.105,log_lik.106,log_lik.107,log_lik.108,log_lik.109,log_lik.110,log_lik.111,log_lik.112,log_lik.113,log_lik.114,log_lik.115,log_lik.116,log_lik.117,log_lik.118,log_lik.119,log_lik.120,log_lik.121,log_lik.122,log_lik.123,log_lik.124,log_lik.125,log_lik.126,log_lik.127,log_lik.128,log_lik.129,log_lik.130,log_lik.131,log_lik.132,log_lik.133,log_lik.134,log_lik.135,log_lik.136,log_lik.137,log_lik.138,log_lik.139,log_lik.140,log_lik.141,log_lik.142,log_lik.143,log_lik.144,log_lik.145,log_lik.146,log_lik.147,log_lik.148,log_lik.149,log_lik.150,log_lik.151,log_lik.152,log_lik.153,log_lik.154,log_lik.155,log_lik.156,log_lik.157,log_lik.158,log_lik.159,log_lik.160,log_lik.161,log_lik.162,log_lik.163,log_lik.164,log_lik.165,log_lik.166,log_lik.167,log_lik.168,log_lik.169,log_lik.170,log_lik.171,log_lik.172,log_lik.173,log_lik.174,log_lik.175,log_lik.176,log_lik.177,log_lik.178,log_lik.179,log_lik.180,log_lik.181,log_lik.182,log_lik.183,log_lik.184,log_lik.185,log_lik.186,log_lik.187,log_lik.188,log_lik.189,log_lik.190,log_lik.191,log_lik.192,log_lik.193,log_lik.194,log_lik.195,log_lik.196,log_lik.197,log_lik.198,log_lik.199,log_lik.200,log_lik.201,log_lik.202,log_lik.203,log_lik.204,log_lik.205,log_lik.206,log_lik.207,log_lik.208,log_lik.209,log_lik.210,log_lik.211,log_lik.212,log_lik.213,log_lik.214,log_lik.215,log_lik.216,log_lik.217,log_lik.218,log_lik.219,log_lik.220,log_lik.221,log_lik.222,log_lik.223,log_lik.224,log_lik.225,log_lik.226,log_lik.227,log_lik.228,log_lik.229,log_lik.230,log_lik.231,log_lik.232,log_lik.233,log_lik.234,log_lik.235,log_lik.236,log_lik.237,log_lik.238,log_lik.239,log_lik.240,log_lik.241,log_lik.242,log_lik.243,log_lik.244,log_lik.245,log_lik.246,log_lik.247,log_lik.248,log_lik.249,log_lik.250,log_lik.251,log_lik.252,log_lik.253,log_lik.254,log_lik.255,log_lik.256,log_lik.257,log_lik.258,log_lik.259,log_lik.260,log_lik.261,log_lik.262,log_lik.263,log_lik.264,log_lik.265,log_lik.266,log_lik.267,log_lik.268,log_lik.269,log_lik.270,log_lik.271,log_lik.272,log_lik.273,log_lik.274,log_lik.275,log_lik.276,log_lik.277,log_lik.278,log_lik.279,log_lik.280,log_lik.281,log_lik.282,log_lik.283,log_lik.284,log_lik.285,log_lik.286,log_lik.287,log_lik.288,log_lik.289,log_lik.290,log_lik.291,log_lik.292
# Adaptation terminated
# Step size = 4.47846e-07
# Elements of inverse mass matrix:
# 1, 0, 0, 0
# 0, 1, 0, 0
# 0, 0, 1, 0
# 0, 0, 0, 1
17.135391,1,4.4784628e-07,15,32767,0,-15.237527,0.22927277,1.2807183,0.28757405,0.36779111,0.5,-0.099388795,0.36873065,-0.90014264,0.27509726,0.76245078,0.47733935,0.7404483,0.79373955,0.33472481,0.16077171,-0.12068352,-0.45089105,0.27789664,0.75174751,0.69695645,-2.1872689,-0.30568306,0.34477628,0.1352093,0.76879995,-1.759103,0.82642985,0.7396129,0.81855787,0.7689571,0.26603852,0.69218555,0.73319106,0.4020938,0.42747472,0.40922147,0.056033681,0.61821765,-0.16721864,0.39094031,-0.05803053,-0.49449499,-0.1522334,-1.2815765,-0.16461171,-0.61504806,-0.045110673,-1.1883592,-2.3442583,-2.7946995,0.21301951,-0.053540339,0.03405423,0.51301998,0.41851518,0.28385712,0.25870569,0.71768511,0.27801083,0.21494549,-1.1328972,-0.7911686,0.70224221,0.34939926,-0.1020685,0.041012546,0.44475344,0.71824793,0.26570522,0.019512968,0.7569018,0.72540671,0.46307524,0.56856319,0.34546072,-0.1392119,0.77809871,0.36758775,-0.14439009,0.75646882,0.26317806,0.90992238,0.73552918,-0.98349426,0.17273343,0.62865059,-0.10338755,0.38575303,0.46661125,0.58642574,-0.0061367022,0.5232834,-0.4366827,0.71462149,0.84540054,0.43330743,0.80993037,-0.61256572,0.79175891,0.3897107,0.32996582,0.47731554,0.62003301,0.48886828,0.52264131,0.60054391,0.43442569,-0.29494133,0.022447726,0.2324626,0.52066985,-0.19114641,0.40581987,0.23636691,0.064644696,0.35278541,0.29849532,-0.23715161,0.24692219,0.73259397,0.0091470066,0.68170754,0.070242278,-3.7600147,0.47919254,0.12445358,0.05192003,0.27872851,0.4234339,0.42945835,0.18103582,0.88819401,-0.2793763,0.96313325,0.27681742,0.23011739,-0.15357584,0.55966556,0.016824038,0.18764682,0.1802984,-0.10156188,0.45123588,-0.22318303,0.11824168,-0.21247514,-0.80347887,-0.22399002,-0.036467021,-0.50791704,0.39574385,0.0042508701,-0.076114626,-0.28070415,0.39295111,0.73715764,0.68626739,0.58512775,0.77861867,0.2335425,0.60731699,0.592112,-0.42035873,0.44332715,0.23262858,-0.22105399,0.22329784,0.63843753,0.37084281,-0.10139165,0.044292359,0.24834782,-0.13091611,-0.64400639,-0.51860455,0.86047126,0.051439746,0.29408105,-0.13132064,0.4390616,-0.13126644,-3.4978467,-0.15137937,-0.40409412,0.29334096,-1.233061,0.38432118,-1.355466,0.69457961,0.38509249,-0.86118444,0.34331754,0.46590319,0.085105222,0.69430894,0.56749586,0.34724657,0.24178196,0.48415701,-0.13630183,-0.52146344,0.81484174,-0.00032994825,0.39898683,0.20934616,0.62088876,0.24227697,0.25141456,0.38091122,0.08688915,0.70926055,0.11288283,0.76403403,-1.1406199,0.089776521,0.65406951,0.48439757,0.72524507,-0.76530468,0.27856847,-1.9785437,0.6514033,0.88087119,0.51282977,0.39219084,0.83104439,0.29612577,0.93056364,0.75624602,0.79793463,0.7063743,0.77256558,0.82565183,0.39757877,0.44802361,0.42027654,0.52856441,0.31696335,0.18405964,-0.54911181,0.22015257,0.745681,0.74516826,0.36073508,-0.013194328,0.13174397,0.1070373,-0.18356215,-0.74149979,0.44816259,0.5824563,0.59155704,-1.0670948,-1.8943639,0.4835117,-0.55870403,-0.16781123,0.25399162,0.089410528,0.13679134,0.26184844,-0.62897031,-3.5272426,-0.42528793,-0.36887278,-2.8966984,-2.3168911,-2.5243013,-0.23258048,0.50599318,0.13747945,0.56597663,0.025984115,0.46253894,-1.5460376,-0.050327083,0.12579735,0.045446646,0.47331991,0.41978121,0.22209136,-1.256895,0.34924963,0.10607837,0.56345463,0.72334687,0.073171908,-0.65686429,0.47249723,0.72440055,0.45602696,0.094235978,-0.52218472,0.14777898,0.35925806,0.39628302,-0.88031073
16.448127,1,4.4784628e-07,15,32767,0,-13.841276,0.22791988,1.2674923,0.28744564,0.36958762,0.5,-0.1092747,0.36887611,-0.82261682,0.27048,0.77520799,0.47925171,0.77497918,0.81759513,0.33623746,0.15602773,-0.12973592,-0.4656238,0.27953935,0.78550101,0.70663661,-2.2394794,-0.31939266,0.34616735,0.13291893,0.78367871,-1.8026823,0.84837024,0.76923403,0.83687847,0.79391046,0.26389145,0.69959274,0.76914183,0.40036877,0.42930338,0.40833987,0.046595146,0.63049139,-0.18060639,0.39158181,-0.06857743,-0.51264409,-0.16441277,-1.3162343,-0.17496334,-0.63452239,-0.054511706,-1.2203993,-2.402826,-2.8616289,0.2122151,-0.059241741,0.030775229,0.51516259,0.41985643,0.28045199,0.25620679,0.72668343,0.2735952,0.2080076,-1.1591862,-0.80943281,0.7071175,0.35055437,-0.1144275,0.033100943,0.44676992,0.72572628,0.26406037,0.013468466,0.76789125,0.74105666,0.46920936,0.57897945,0.34702208,-0.15273928,0.78467837,0.36549711,-0.15154717,0.76572728,0.25844695,0.92989611,0.74085413,-1.0157429,0.16432904,0.6584108,-0.10996894,0.39193799,0.47316184,0.59996023,-0.010303697,0.52440212,-0.45093018,0.72181056,0.8726484,0.43285139,0.82073659,-0.54413129,0.80743248,0.3904742,0.33163981,0.48126477,0.63118179,0.49373662,0.52724648,0.60649552,0.43541785,-0.24525398,0.018683142,0.23462574,0.53200955,-0.19620191,0.41497379,0.24148492,0.063123232,0.35568559,0.29294657,-0.2519393,0.24391171,0.75034272,0.0018377943,0.6893233,0.064797339,-3.8443158,0.4857086,0.12338166,0.049873366,0.28210419,0.43085635,0.43734057,0.18290854,0.91462226,-0.28890591,0.98206688,0.27798067,0.22645889,-0.16663199,0.56395116,0.010331323,0.18198208,0.17560711,-0.11163128,0.45273227,-0.23574944,0.11533146,-0.22187098,-0.82486551,-0.23711536,-0.044565188,-0.52509351,0.39846848,-0.0011119484,-0.082839324,-0.29147597,0.39389798,0.75056606,0.69366489,0.59080436,0.79569043,0.22963928,0.61359899,0.59904019,-0.43588467,0.44740736,0.22985817,-0.23474568,0.22031102,0.64442259,0.37098806,-0.10913766,0.037394788,0.24428303,-0.14151591,-0.66415355,-0.53798091,0.8834667,0.0450564,0.29104979,-0.13879946,0.44204319,-0.13926706,-3.5750148,-0.15790792,-0.42473507,0.28876209,-1.2616603,0.39047496,-1.3857779,0.69991203,0.38441247,-0.88425775,0.34376476,0.46775297,0.077931241,0.70403425,0.57396752,0.34447936,0.24290426,0.48510673,-0.14427051,-0.53889515,0.82447347,-0.011622837,0.39572026,0.20429348,0.6315314,0.24387076,0.24426566,0.38778721,0.08469959,0.72408142,0.10850821,0.7779721,-1.1719788,0.083735271,0.65903857,0.48713093,0.73822511,-0.78910945,0.27884505,-2.0309474,0.68701885,0.90380879,0.51518897,0.39009647,0.8400129,0.28998941,0.94265017,0.76304946,0.80929929,0.71171471,0.77870208,0.83733018,0.40245329,0.44552524,0.4162761,0.52888705,0.31401489,0.18102903,-0.56972562,0.22008532,0.75936239,0.76314031,0.36421201,-0.017125935,0.13145289,0.096961012,-0.18875907,-0.7703054,0.45909906,0.61048755,0.60464277,-1.0999463,-1.9381344,0.52488434,-0.57194067,-0.17519271,0.25400864,0.084737165,0.13517763,0.26155974,-0.64612562,-3.6066339,-0.44084453,-0.38403057,-2.9654491,-2.3709998,-2.5838945,-0.24821332,0.51364989,0.13793629,0.60083163,0.02615487,0.4704894,-1.579576,-0.051976702,0.1285945,0.04392297,0.47985794,0.41891768,0.21931213,-1.2930274,0.34872275,0.10165286,0.57110021,0.73443981,0.068294002,-0.67891462,0.47615382,0.74014158,0.4553457,0.092811612,-0.54525475,0.14015957,0.35733817,0.40112061,-0.91027804
16.25796,1,4.4784628e-07,15,32767,0,-14.062304,0.22452981,1.2648015,0.28731509,0.37100401,0.5,-0.11170016,0.36852903,-0.80221766,0.26823277,0.77752759,0.47883297,0.78235255,0.82276585,0.33673284,0.15504934,-0.13122728,-0.46811093,0.28041749,0.7931157,0.70888862,-2.249835,-0.32242597,0.34658258,0.13273058,0.78613541,-1.8111361,0.85310949,0.77647176,0.840774,0.79998022,0.26336708,0.70068956,0.7768769,0.39930837,0.42867016,0.40774908,0.043868177,0.63338882,-0.18382263,0.39053489,-0.070997706,-0.51614043,-0.16818911,-1.3232721,-0.17684749,-0.63855248,-0.057252887,-1.2273198,-2.4156715,-2.8758882,0.21251134,-0.059777027,0.030799511,0.51524039,0.42028269,0.27921612,0.25573089,0.72743722,0.27103297,0.20469588,-1.1627889,-0.8111628,0.70676571,0.35050484,-0.11784346,0.031145917,0.44720814,0.72650709,0.2632584,0.012011308,0.76914165,0.74521872,0.47165388,0.58246799,0.34765794,-0.1569022,0.78441145,0.36424765,-0.1524017,0.76712957,0.25672016,0.93341419,0.74112092,-1.0231415,0.16188704,0.6649864,-0.11185494,0.39355022,0.47428931,0.60332594,-0.011232107,0.52428416,-0.45439672,0.72319187,0.87874035,0.43279549,0.82313399,-0.52604861,0.8120091,0.38900581,0.33130356,0.48098048,0.63318804,0.49384981,0.52699127,0.60637059,0.43420818,-0.23359461,0.018091194,0.23560097,0.53502053,-0.19648227,0.41749823,0.24308846,0.062096003,0.35489064,0.29169911,-0.25444356,0.2443016,0.75314015,-0.0013135607,0.688991,0.062542207,-3.8624495,0.48675427,0.12300513,0.049345079,0.28267452,0.43220815,0.4387113,0.18294436,0.9211653,-0.29185347,0.98595719,0.27697152,0.22681523,-0.16887089,0.56597339,0.010482932,0.17847894,0.17281961,-0.11303529,0.45155623,-0.23784626,0.11448332,-0.22393913,-0.82935494,-0.23954015,-0.045565669,-0.5277485,0.4000097,-0.0012075661,-0.083239268,-0.29275625,0.39388388,0.75356237,0.69460924,0.59194377,0.79965556,0.22835913,0.61497469,0.60089006,-0.43945955,0.44833367,0.22918819,-0.23874238,0.21953813,0.64475695,0.37046376,-0.11011748,0.035448274,0.24251828,-0.1443008,-0.66837793,-0.54271974,0.88746474,0.043266371,0.28966801,-0.13977078,0.44246119,-0.14048478,-3.5898773,-0.15818095,-0.43048473,0.28684416,-1.2664659,0.39269025,-1.390894,0.70050708,0.38440695,-0.88935937,0.34291644,0.46690377,0.076067107,0.70634465,0.57488619,0.34307203,0.24365477,0.48477044,-0.14593859,-0.54292734,0.82539108,-0.015059122,0.3939422,0.20308462,0.63352502,0.24450579,0.24163912,0.3900532,0.084146847,0.72659529,0.10669563,0.77993323,-1.1782247,0.082626596,0.65826429,0.48776325,0.74057529,-0.79479927,0.27895462,-2.0428108,0.69499696,0.90814781,0.51533229,0.38856874,0.84033182,0.28699439,0.94327194,0.76337218,0.81110426,0.71157609,0.77834653,0.83883602,0.40433076,0.44350954,0.41369761,0.52786083,0.31273459,0.18009817,-0.5752498,0.22130059,0.76250706,0.76769151,0.3659223,-0.016786985,0.13255615,0.093347796,-0.18822137,-0.77774585,0.46296443,0.61807034,0.60767246,-1.1071295,-1.9475285,0.53490619,-0.57369574,-0.17668772,0.2535849,0.083142077,0.13520963,0.26141451,-0.64884747,-3.6228067,-0.44419093,-0.3874375,-2.9800032,-2.3813442,-2.5958679,-0.25314384,0.51638701,0.13974733,0.61053204,0.028342301,0.47302106,-1.5848118,-0.050651473,0.13090377,0.044174851,0.48110859,0.4184124,0.21944938,-1.3024631,0.34736129,0.09998985,0.57224941,0.73549137,0.066475169,-0.68497707,0.47599093,0.74291961,0.45483882,0.092839178,-0.5509549,0.13810489,0.35676424,0.40241467,-0.91735083
