# stan_version_major = 2
# stan_version_minor = 37
# stan_version_patch = 0
# model = rlddm_single_subject_model
# start_datetime = 2025-09-24 09:28:31 UTC
# method = sample (Default)
#   sample
#     num_samples = 100
#     num_warmup = 100
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.995
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = dense_e
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /var/folders/s0/k9fg8kp94xl307gydfsd9gf00000gq/T/tmphpdpvfzn/qvh9kxbh.json
# init = /var/folders/s0/k9fg8kp94xl307gydfsd9gf00000gq/T/tmphpdpvfzn/gng8lekn_4.json
# random
#   seed = 2026
# output
#   file = /Users/jy4657/Desktop/Repositories/tst-stan/cmdstan_tmp/rlddm_single_subject-20250924052831_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.37.0
# stancflags = --filename-in-msg=rlddm_single_subject.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,a,t0,scaler_param,scaler,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46,log_lik.47,log_lik.48,log_lik.49,log_lik.50,log_lik.51,log_lik.52,log_lik.53,log_lik.54,log_lik.55,log_lik.56,log_lik.57,log_lik.58,log_lik.59,log_lik.60,log_lik.61,log_lik.62,log_lik.63,log_lik.64,log_lik.65,log_lik.66,log_lik.67,log_lik.68,log_lik.69,log_lik.70,log_lik.71,log_lik.72,log_lik.73,log_lik.74,log_lik.75,log_lik.76,log_lik.77,log_lik.78,log_lik.79,log_lik.80,log_lik.81,log_lik.82,log_lik.83,log_lik.84,log_lik.85,log_lik.86,log_lik.87,log_lik.88,log_lik.89,log_lik.90,log_lik.91,log_lik.92,log_lik.93,log_lik.94,log_lik.95,log_lik.96,log_lik.97,log_lik.98,log_lik.99,log_lik.100,log_lik.101,log_lik.102,log_lik.103,log_lik.104,log_lik.105,log_lik.106,log_lik.107,log_lik.108,log_lik.109,log_lik.110,log_lik.111,log_lik.112,log_lik.113,log_lik.114,log_lik.115,log_lik.116,log_lik.117,log_lik.118,log_lik.119,log_lik.120,log_lik.121,log_lik.122,log_lik.123,log_lik.124,log_lik.125,log_lik.126,log_lik.127,log_lik.128,log_lik.129,log_lik.130,log_lik.131,log_lik.132,log_lik.133,log_lik.134,log_lik.135,log_lik.136,log_lik.137,log_lik.138,log_lik.139,log_lik.140,log_lik.141,log_lik.142,log_lik.143,log_lik.144,log_lik.145,log_lik.146,log_lik.147,log_lik.148,log_lik.149,log_lik.150,log_lik.151,log_lik.152,log_lik.153,log_lik.154,log_lik.155,log_lik.156,log_lik.157,log_lik.158,log_lik.159,log_lik.160,log_lik.161,log_lik.162,log_lik.163,log_lik.164,log_lik.165,log_lik.166,log_lik.167,log_lik.168,log_lik.169,log_lik.170,log_lik.171,log_lik.172,log_lik.173,log_lik.174,log_lik.175,log_lik.176,log_lik.177,log_lik.178,log_lik.179,log_lik.180,log_lik.181,log_lik.182,log_lik.183,log_lik.184,log_lik.185,log_lik.186,log_lik.187,log_lik.188,log_lik.189,log_lik.190,log_lik.191,log_lik.192,log_lik.193,log_lik.194,log_lik.195,log_lik.196,log_lik.197,log_lik.198,log_lik.199,log_lik.200,log_lik.201,log_lik.202,log_lik.203,log_lik.204,log_lik.205,log_lik.206,log_lik.207,log_lik.208,log_lik.209,log_lik.210,log_lik.211,log_lik.212,log_lik.213,log_lik.214,log_lik.215,log_lik.216,log_lik.217,log_lik.218,log_lik.219,log_lik.220,log_lik.221,log_lik.222,log_lik.223,log_lik.224,log_lik.225,log_lik.226,log_lik.227,log_lik.228,log_lik.229,log_lik.230,log_lik.231,log_lik.232,log_lik.233,log_lik.234,log_lik.235,log_lik.236,log_lik.237,log_lik.238,log_lik.239,log_lik.240,log_lik.241,log_lik.242,log_lik.243,log_lik.244,log_lik.245,log_lik.246,log_lik.247,log_lik.248,log_lik.249,log_lik.250,log_lik.251,log_lik.252,log_lik.253,log_lik.254,log_lik.255,log_lik.256,log_lik.257,log_lik.258,log_lik.259,log_lik.260,log_lik.261,log_lik.262,log_lik.263,log_lik.264,log_lik.265,log_lik.266,log_lik.267,log_lik.268,log_lik.269,log_lik.270,log_lik.271,log_lik.272,log_lik.273,log_lik.274,log_lik.275,log_lik.276,log_lik.277,log_lik.278,log_lik.279,log_lik.280,log_lik.281,log_lik.282,log_lik.283,log_lik.284,log_lik.285,log_lik.286,log_lik.287,log_lik.288,log_lik.289,log_lik.290,log_lik.291,log_lik.292
# Adaptation terminated
# Step size = 3.00236e-07
# Elements of inverse mass matrix:
# 1, 0, 0, 0
# 0, 1, 0, 0
# 0, 0, 1, 0
# 0, 0, 0, 1
21.55359,1,3.0023601e-07,15,32767,0,-18.598495,0.17754829,1.2950181,0.29780629,0.36153408,0.5,-0.059827759,0.39736539,-1.6583373,0.29292847,0.76548635,0.49672296,0.60036852,0.75019484,0.37242443,0.19979461,-0.069795719,-0.38998784,0.32172314,0.628089,0.71881636,-2.0897039,-0.25852677,0.38093377,0.17843262,0.75871703,-1.6673535,0.79354105,0.67074737,0.80414298,0.73155103,0.30116143,0.70608713,-0.11680631,0.42403248,0.44686527,0.43564029,0.08571113,0.64106474,-0.1274818,0.40777762,-0.017329896,-0.43683328,-0.12471389,-1.2079206,-0.11360882,-0.55934302,-0.013727072,-1.1246831,-2.2589153,-2.6950361,0.2567945,-0.0010098452,0.08540311,0.53904098,0.45424408,0.31319884,0.29654191,0.71868472,0.28986899,0.22457843,-1.036571,-0.69920472,0.70422011,0.38127522,-0.070448081,0.077339453,0.4761906,0.72644459,0.29630496,0.059434877,0.75399032,0.74125399,0.51029119,0.61076349,0.38480734,-0.1131508,0.77247973,0.38954958,-0.088387943,0.76436924,0.28892173,0.86631131,0.74497084,-0.92891028,0.20209182,0.55779141,-0.06601757,0.42213709,0.4920109,0.60936758,0.035544255,0.54917227,-0.39246057,0.73491606,0.77456235,0.46844376,0.82541834,-1.1964263,0.81314921,0.39569533,0.3512356,0.48822407,0.63074935,0.50262671,0.53102498,0.60344897,0.4435642,-0.58567068,0.06567188,0.27602158,0.55198344,-0.13306253,0.44399391,0.28055822,0.094912917,0.36466059,0.33599886,-0.17825525,0.30186872,0.70692186,0.023962235,0.67000301,0.090523442,-3.6492415,0.49945683,0.15811456,0.088167899,0.30880819,0.44684996,0.45105612,0.2101444,0.83437687,-0.24911936,0.93683685,0.28971674,0.2888787,-0.095691449,0.60923737,0.085541219,0.18712084,0.18712096,-0.041475408,0.45597028,-0.16304142,0.1496569,-0.17185037,-0.74901269,-0.16718022,0.021327579,-0.4367925,0.44679705,0.065253348,-0.013905417,-0.21486669,0.42571514,0.75000273,0.70032344,0.61192755,0.77848688,0.26486242,0.63408242,0.62383684,-0.373798,0.47521042,0.26951689,-0.19088562,0.259624,0.64860198,0.39601107,-0.046486872,0.077814825,0.27128422,-0.092780054,-0.58677057,-0.47399366,0.7997901,0.085607429,0.31976435,-0.077783794,0.46754445,-0.079383164,-3.361627,-0.089075082,-0.37390491,0.31531471,-1.1462759,0.43065006,-1.2647801,0.71035245,0.42096459,-0.80392672,0.36370527,0.47826439,0.12176152,0.71803148,0.58600276,0.37149039,0.28494658,0.5088865,-0.091880087,-0.47449467,0.8125321,0.02794845,0.41826298,0.24676562,0.63490827,0.28206792,0.27371487,0.42357386,0.12506162,0.70372406,0.13838968,0.7521677,-1.0674398,0.13450376,0.64992624,0.51801638,0.72694992,-0.71861948,0.31394636,-1.9056016,0.51761232,0.82514331,0.5392338,0.41169686,0.82256596,0.30866541,0.90302792,0.76086035,0.80065562,0.71227646,0.76955508,0.82046243,0.44120169,0.45989314,0.42918614,0.5437212,0.34377834,0.21723501,-0.51341659,0.27678644,0.75812694,0.7502231,0.4098281,0.047621987,0.18927455,0.12515889,-0.11185966,-0.70346944,0.49911383,0.55677826,0.6123974,-1.0053053,-1.814234,-0.37710528,-0.4898131,-0.12182508,0.28305585,0.11921733,0.17983751,0.2955166,-0.56181591,-3.404191,-0.37604743,-0.3228535,-2.7955451,-2.2114806,-2.4208758,-0.20942926,0.55054055,0.20268957,0.49225714,0.10125935,0.50582128,-1.4419819,0.019710077,0.19243623,0.096918887,0.50157304,0.44828982,0.27032656,-1.215869,0.36471189,0.13480973,0.58167677,0.7173555,0.10187404,-0.62225904,0.48871262,0.71651857,0.48385803,0.13860861,-0.47962515,0.18190712,0.39290397,0.43117411,-0.82870465
21.524815,0.78056203,3.0023601e-07,15,32767,0,-19.46702,0.17820376,1.2920208,0.29776816,0.36181563,0.5,-0.061716772,0.39767141,-1.6338281,0.29250616,0.76883049,0.49756135,0.609997,0.75643878,0.37281962,0.19894021,-0.071733791,-0.39324029,0.32202475,0.63731562,0.72119161,-2.1010176,-0.26131685,0.38133948,0.17796828,0.76272328,-1.676871,0.79924937,0.67839326,0.80887336,0.73787869,0.30089553,0.70816986,-0.1066789,0.42412875,0.44765525,0.43581315,0.084131253,0.64390055,-0.13003715,0.40838648,-0.019350347,-0.44067869,-0.12683011,-1.2153225,-0.11580526,-0.5634295,-0.015362258,-1.1313864,-2.2712469,-2.7092888,0.25661778,-0.0023237749,0.084588622,0.5398024,0.45465435,0.3127915,0.29614998,0.7213171,0.28959946,0.22386666,-1.0427764,-0.70375031,0.70602972,0.38169714,-0.07264726,0.07592024,0.47683297,0.72865257,0.29620175,0.058280635,0.75709065,0.74491989,0.51144629,0.61288293,0.38518714,-0.11548809,0.77477708,0.38955385,-0.090067937,0.76693893,0.28833367,0.8718865,0.74673319,-0.93545172,0.20072406,0.56551167,-0.067240908,0.42348487,0.49364958,0.61246582,0.034722862,0.54974606,-0.39531284,0.73682607,0.7818439,0.46851477,0.82814616,-1.1755491,0.81670207,0.39657143,0.3519952,0.48964547,0.63363051,0.50417402,0.53262623,0.60543505,0.44442695,-0.57141342,0.064918941,0.27643312,0.55448407,-0.13437472,0.44590415,0.281526,0.094816371,0.36581115,0.33502762,-0.18146912,0.30104331,0.71176777,0.023062687,0.67262088,0.089896114,-3.6671031,0.50122006,0.15808733,0.087894117,0.30973217,0.44872149,0.45305471,0.21077962,0.84119186,-0.25075926,0.94186879,0.29053494,0.28783301,-0.0985716,0.60995753,0.083739972,0.18686794,0.18691951,-0.043825452,0.45704765,-0.16588691,0.14933539,-0.17362768,-0.75341205,-0.17007065,0.019407845,-0.44075147,0.44715359,0.063810772,-0.015639231,-0.21746538,0.42607396,0.75326282,0.70236914,0.61337704,0.78270816,0.26430858,0.63566536,0.62545351,-0.37693227,0.47624419,0.26907776,-0.19333627,0.2591518,0.65045788,0.39639082,-0.048257584,0.076637306,0.27087723,-0.094795857,-0.59102887,-0.47785415,0.80618117,0.08451541,0.31949538,-0.079465637,0.46842244,-0.081137569,-3.3785819,-0.090744147,-0.37769906,0.31482847,-1.1527527,0.43180553,-1.2716755,0.7119843,0.42098395,-0.80876611,0.36421807,0.47922543,0.12046326,0.72037162,0.58778537,0.3713039,0.28516539,0.50943293,-0.093487579,-0.47800845,0.81536566,0.026008767,0.41808424,0.24587322,0.63761969,0.28244301,0.27271558,0.42495658,0.12470795,0.70762785,0.13785399,0.75602938,-1.0741998,0.13326615,0.6518611,0.518738,0.730376,-0.72336877,0.31415376,-1.9164742,0.5273287,0.83143581,0.54002565,0.41172979,0.82538219,0.3080431,0.90683129,0.76298832,0.80372482,0.71407489,0.77169531,0.82374475,0.44217916,0.46000576,0.42906461,0.54433192,0.34350112,0.21683133,-0.51732808,0.27649938,0.76145905,0.7545134,0.41039065,0.046482412,0.18891596,0.12367961,-0.11346168,-0.70899564,0.501137,0.56341947,0.615435,-1.0121139,-1.8235922,-0.36600376,-0.49293468,-0.12335781,0.28331873,0.11854365,0.1795187,0.29564371,-0.565652,-3.4213283,-0.37922848,-0.32589169,-2.8101684,-2.2233045,-2.4337457,-0.21212784,0.55205613,0.20234984,0.50083669,0.10065855,0.50739407,-1.4497672,0.01883922,0.19251122,0.096420552,0.50314803,0.44841751,0.26968859,-1.2229447,0.36512987,0.13419476,0.5836875,0.72053403,0.10116747,-0.62645155,0.48995543,0.7206379,0.48403296,0.13828637,-0.48414021,0.18058145,0.39270756,0.4322989,-0.83475855
21.518186,1,3.0023601e-07,15,32767,0,-19.266785,0.1783791,1.2953297,0.29776548,0.35862962,0.5,-0.059765001,0.39720261,-1.6569923,0.2931159,0.76506808,0.49660995,0.60000221,0.74959961,0.37205878,0.19970451,-0.069911119,-0.39005381,0.32126195,0.62760269,0.71833801,-2.0888746,-0.25843726,0.38060769,0.17814579,0.75834217,-1.6667841,0.79294531,0.66998502,0.80359856,0.73081219,0.30102161,0.70585139,-0.11709059,0.42410809,0.44668808,0.43561207,0.085962379,0.64035088,-0.12723274,0.40770366,-0.017209455,-0.43668095,-0.12441273,-1.2073945,-0.11368469,-0.55915349,-0.013561849,-1.1241296,-2.2576877,-2.693704,0.2564564,-0.0012926313,0.085038856,0.53884129,0.45394384,0.31318066,0.2963722,0.71848994,0.29012383,0.22498369,-1.0367386,-0.69961768,0.70427465,0.38097094,-0.070129261,0.07742025,0.47594894,0.72627532,0.29615382,0.059314631,0.753728,0.7405085,0.50962684,0.60995571,0.38443043,-0.1127488,0.77253533,0.38960171,-0.088702927,0.76411105,0.28903111,0.86603681,0.74491642,-0.92816249,0.20232033,0.55700747,-0.066126563,0.42155247,0.49156836,0.60860687,0.035303198,0.54905161,-0.39235363,0.73459416,0.77401967,0.46824509,0.82496223,-1.195772,0.81231203,0.39583299,0.35111966,0.48815869,0.63033397,0.50247065,0.53095823,0.60340282,0.44365262,-0.58584282,0.065439123,0.27553574,0.55123601,-0.13352529,0.44322811,0.2798716,0.094683192,0.36453912,0.33599441,-0.1782331,0.30148593,0.70656732,0.024280988,0.67009356,0.090719264,-3.6473877,0.49916036,0.157929,0.087971082,0.30847772,0.44643198,0.45063718,0.20987025,0.83366,-0.24896651,0.93635076,0.2897291,0.28843561,-0.09577209,0.60860052,0.085049127,0.18764004,0.18750622,-0.041739731,0.45615559,-0.16322357,0.14963399,-0.17176365,-0.74867805,-0.16729008,0.0210174,-0.43695365,0.44616077,0.064784678,-0.014343476,-0.21520709,0.4254101,0.74937627,0.70002226,0.61154602,0.7778283,0.26481884,0.63369293,0.62334922,-0.37363743,0.47483702,0.2693451,-0.19054359,0.25946507,0.64846083,0.39590784,-0.046736821,0.077862991,0.27139026,-0.092701041,-0.58660533,-0.47366913,0.79944584,0.085619263,0.31976844,-0.078014963,0.46726456,-0.07957301,-3.3604392,-0.08948807,-0.37326272,0.31546728,-1.1462277,0.42994375,-1.2647501,0.71020142,0.42078256,-0.80368265,0.36361081,0.47824851,0.12177008,0.71750605,0.58571531,0.37150645,0.28453289,0.50875298,-0.091975589,-0.47426231,0.81235818,0.028241471,0.41838928,0.246696,0.63446561,0.28166996,0.27395717,0.42290622,0.1248137,0.70327895,0.13842646,0.75187681,-1.0670588,0.13434472,0.65003492,0.51766629,0.72656601,-0.71811971,0.3136928,-1.9044131,0.51709458,0.82475566,0.53901001,0.41174051,0.82249638,0.30897662,0.90303841,0.76074276,0.80030731,0.71219618,0.76956199,0.82019478,0.44065291,0.46008215,0.42948392,0.54375476,0.34376345,0.217144,-0.51288818,0.27622551,0.75751144,0.74943164,0.40921674,0.047122493,0.18867429,0.12558969,-0.11249728,-0.70260803,0.49808874,0.55559941,0.61166498,-1.0046513,-1.8135747,-0.37783498,-0.49010037,-0.12199443,0.28286645,0.11921717,0.17954217,0.29530811,-0.56186428,-3.4027125,-0.3758977,-0.3226645,-2.7941324,-2.2106697,-2.4198418,-0.20892024,0.54983981,0.20198257,0.49109302,0.10037872,0.50505818,-1.4420325,0.018948732,0.19154419,0.096406361,0.50107834,0.44821639,0.27004892,-1.2148689,0.36473663,0.1347912,0.58130152,0.71712475,0.10186369,-0.62170171,0.48855081,0.71603644,0.48378281,0.13824425,-0.47906831,0.18199859,0.39277165,0.43071911,-0.82803891
