# stan_version_major = 2
# stan_version_minor = 37
# stan_version_patch = 0
# model = rlddm_single_subject_model
# start_datetime = 2025-09-24 17:25:03 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 3000
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.9995
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = dense_e
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/s0/k9fg8kp94xl307gydfsd9gf00000gq/T/tmppu_3hin1/xwhy36bx.json
# init = 2 (Default)
# random
#   seed = 2026
# output
#   file = /Users/jy4657/Desktop/Repositories/tst-stan/cmdstan_tmp/rlddm_single_subject-20250924132503_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.37.0
# stancflags = --filename-in-msg=rlddm_single_subject.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,a,t0,scaler,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46,log_lik.47,log_lik.48,log_lik.49,log_lik.50,log_lik.51,log_lik.52,log_lik.53,log_lik.54,log_lik.55,log_lik.56,log_lik.57,log_lik.58,log_lik.59,log_lik.60,log_lik.61,log_lik.62,log_lik.63,log_lik.64,log_lik.65,log_lik.66,log_lik.67,log_lik.68,log_lik.69,log_lik.70,log_lik.71,log_lik.72,log_lik.73,log_lik.74,log_lik.75,log_lik.76,log_lik.77,log_lik.78,log_lik.79,log_lik.80,log_lik.81,log_lik.82,log_lik.83,log_lik.84,log_lik.85,log_lik.86,log_lik.87,log_lik.88,log_lik.89,log_lik.90,log_lik.91,log_lik.92,log_lik.93,log_lik.94,log_lik.95,log_lik.96,log_lik.97,log_lik.98,log_lik.99,log_lik.100,log_lik.101,log_lik.102,log_lik.103,log_lik.104,log_lik.105,log_lik.106,log_lik.107,log_lik.108,log_lik.109,log_lik.110,log_lik.111,log_lik.112,log_lik.113,log_lik.114,log_lik.115,log_lik.116,log_lik.117,log_lik.118,log_lik.119,log_lik.120,log_lik.121,log_lik.122,log_lik.123,log_lik.124,log_lik.125,log_lik.126,log_lik.127,log_lik.128,log_lik.129,log_lik.130,log_lik.131,log_lik.132,log_lik.133,log_lik.134,log_lik.135,log_lik.136,log_lik.137,log_lik.138,log_lik.139,log_lik.140,log_lik.141,log_lik.142,log_lik.143,log_lik.144,log_lik.145,log_lik.146,log_lik.147,log_lik.148,log_lik.149,log_lik.150,log_lik.151,log_lik.152,log_lik.153,log_lik.154,log_lik.155,log_lik.156,log_lik.157,log_lik.158,log_lik.159,log_lik.160,log_lik.161,log_lik.162,log_lik.163,log_lik.164,log_lik.165,log_lik.166,log_lik.167,log_lik.168,log_lik.169,log_lik.170,log_lik.171,log_lik.172,log_lik.173,log_lik.174,log_lik.175,log_lik.176,log_lik.177,log_lik.178,log_lik.179,log_lik.180,log_lik.181,log_lik.182,log_lik.183,log_lik.184,log_lik.185,log_lik.186,log_lik.187,log_lik.188,log_lik.189,log_lik.190,log_lik.191,log_lik.192,log_lik.193,log_lik.194,log_lik.195,log_lik.196,log_lik.197,log_lik.198,log_lik.199,log_lik.200,log_lik.201,log_lik.202,log_lik.203,log_lik.204,log_lik.205,log_lik.206,log_lik.207,log_lik.208,log_lik.209,log_lik.210,log_lik.211,log_lik.212,log_lik.213,log_lik.214,log_lik.215,log_lik.216,log_lik.217,log_lik.218,log_lik.219,log_lik.220,log_lik.221,log_lik.222,log_lik.223,log_lik.224,log_lik.225,log_lik.226,log_lik.227,log_lik.228,log_lik.229,log_lik.230,log_lik.231,log_lik.232,log_lik.233,log_lik.234,log_lik.235,log_lik.236,log_lik.237,log_lik.238,log_lik.239,log_lik.240,log_lik.241,log_lik.242,log_lik.243,log_lik.244,log_lik.245,log_lik.246,log_lik.247,log_lik.248,log_lik.249,log_lik.250,log_lik.251,log_lik.252,log_lik.253,log_lik.254,log_lik.255,log_lik.256,log_lik.257,log_lik.258,log_lik.259,log_lik.260,log_lik.261,log_lik.262,log_lik.263,log_lik.264,log_lik.265,log_lik.266,log_lik.267,log_lik.268,log_lik.269,log_lik.270,log_lik.271,log_lik.272,log_lik.273,log_lik.274,log_lik.275,log_lik.276,log_lik.277,log_lik.278,log_lik.279,log_lik.280,log_lik.281,log_lik.282,log_lik.283,log_lik.284,log_lik.285,log_lik.286,log_lik.287,log_lik.288,log_lik.289,log_lik.290,log_lik.291,log_lik.292
# Adaptation terminated
# Step size = 0.0227196
# Elements of inverse mass matrix:
# 1.08462, 0.0440872, -0.05267, -0.401749
# 0.0440872, 0.00718845, -0.0104028, -0.00635862
# -0.05267, -0.0104028, 0.0525701, 0.00621534
# -0.401749, -0.00635862, 0.00621534, 0.219269
-183.69016,0.99108494,0.022719629,6,127,0,185.84553,0.060349085,1.2982562,0.3130389,0.13506517,-0.70651677,-0.25249706,-3.989689,-0.40569078,0.087045188,-0.16472715,-0.38988541,-0.010475278,-0.23450918,-0.4637968,-0.69697783,-0.97356205,-0.24620681,-0.35331099,0.040919034,-2.793659,-0.87772915,-0.22299461,-0.40302108,0.097124867,-2.3314505,0.019236882,-0.16397769,0.069951105,-0.033061685,-0.36433052,0.0079462345,-0.47271117,-0.29688675,-0.1787365,-0.26579471,-0.63164177,0.067042976,-0.83491409,-0.22523384,-0.71006083,-1.098329,-0.77809325,-1.8620581,-0.75458893,-1.1732244,-0.66481303,-1.7253891,-2.9652031,-3.3361933,-0.3369947,-0.56911445,-0.46403061,-0.16367362,-0.22276842,-0.39312245,-0.38442112,0.063472177,-0.38154821,-0.47723221,-1.620749,-1.2549259,-0.010882915,-0.24869187,-0.75687597,-0.58751392,-0.16757394,0.033049346,-0.34424042,-0.55715171,0.074185498,0.092325869,-0.083750948,0.024706395,-0.23577404,-0.8055525,0.03544172,-0.30456779,-0.65807394,0.064376297,-0.41787311,0.043837974,-0.0095156919,-1.6537986,-0.55535069,-0.14159432,-0.61496648,-0.10223357,-0.070044659,0.05893291,-0.5255166,-0.16132184,-0.97022157,0.023286374,-0.10760919,-0.23971374,0.091256209,-2.9267001,0.10579042,-0.22583594,-0.23175488,-0.1245783,0.0391929,-0.10043157,-0.092506316,-0.038844196,-0.20996099,-1.2016608,-0.50039456,-0.2584397,0.028984379,-0.61250538,-0.030617529,-0.1705954,-0.40353332,-0.17897907,-0.42784835,-0.88887489,-0.38453118,0.067053728,-0.59560781,0.012094029,-0.52172196,-5.0241798,-0.066159311,-0.38081624,-0.43526609,-0.20678017,-0.065876353,-0.050900433,-0.27851498,-0.081086883,-0.76407956,0.066983531,-0.25423945,-0.41516411,-0.81201176,-0.090748441,-0.57338721,-0.473527,-0.449087,-0.71787288,-0.17992186,-0.83178055,-0.42716845,-0.73831622,-1.311303,-0.84750071,-0.64151084,-1.0808657,-0.18951535,-0.55704656,-0.62728054,-0.82176571,-0.22970899,0.080178101,0.0058709203,-0.058774678,0.07696146,-0.43054199,-0.043225188,-0.033293112,-0.97521029,-0.12253436,-0.39248084,-0.84680917,-0.39612781,-0.017607952,-0.24367399,-0.66531762,-0.55969761,-0.40630445,-0.7415285,-1.2128112,-1.1448053,-0.027057413,-0.53680244,-0.37599439,-0.64125527,-0.14339327,-0.65907069,-3.7070215,-0.62459352,-1.1408919,-0.42126149,-1.642447,-0.090728912,-1.739221,-0.031830636,-0.28613408,-1.3500967,-0.23976974,-0.16065029,-0.56520227,0.045077749,-0.0328849,-0.33493842,-0.27648717,-0.19228159,-0.663266,-1.0708449,0.066451851,-0.71365764,-0.33891637,-0.46976244,0.062629663,-0.24464624,-0.50807609,-0.065839769,-0.39876345,0.10125705,-0.44876723,0.10338847,-1.7436786,-0.54349354,-0.023323858,-0.1559355,0.088397649,-1.342502,-0.27884261,-2.6136135,-0.39543463,-0.016391963,-0.14744453,-0.30073611,0.063846632,-0.44584654,0.090912724,0.018130017,0.077244456,-0.01871452,0.013745011,0.084098613,-0.12390432,-0.29418052,-0.34113131,-0.19421163,-0.36075938,-0.40117094,-1.1639971,-0.32885393,0.08525684,0.082388087,-0.18102134,-0.5193475,-0.36442152,-0.6183003,-0.61927273,-1.457256,0.010495437,-0.055849629,0.064848476,-1.6883497,-2.4264948,-0.6277228,-0.99577564,-0.66962186,-0.30053049,-0.49207766,-0.39215063,-0.310587,-1.1374389,-4.2724234,-1.004144,-0.9669379,-3.5805179,-2.9127983,-3.1336826,-0.90173505,-0.040650431,-0.34330373,-0.28220891,-0.39551216,-0.045592149,-1.9614883,-0.47090199,-0.28390366,-0.42288244,-0.061363707,-0.25686097,-0.39270629,-1.9075107,-0.27877977,-0.48235611,-0.022785154,0.059096802,-0.51057177,-1.2915717,-0.14007625,0.069425794,-0.22413291,-0.42018529,-1.185312,-0.52126857,-0.29185972,-0.14292081,-1.506964
-184.46523,0.98389562,0.022719629,7,127,0,186.31383,0.083924947,1.3171619,0.31346706,0.11804439,-0.69635901,-0.25598051,-4.3284446,-0.40289454,0.06162216,-0.1713489,-0.47435664,-0.061493362,-0.23957758,-0.45924513,-0.68661103,-0.95429946,-0.24954256,-0.43648553,0.020670281,-2.7346401,-0.85924823,-0.22544182,-0.40028458,0.069414043,-2.2898117,-0.029407133,-0.2320469,0.031052327,-0.087192275,-0.36498779,-0.0074815255,-0.56335307,-0.29788093,-0.18651912,-0.26656744,-0.62107996,0.044321269,-0.82054788,-0.23072532,-0.69862177,-1.0763881,-0.7657587,-1.8178793,-0.74306963,-1.1516307,-0.65591281,-1.6859921,-2.8872359,-3.2454238,-0.33705825,-0.5618743,-0.45968039,-0.17265105,-0.22972926,-0.39316268,-0.38498109,0.045571156,-0.37869258,-0.47287042,-1.586547,-1.2312768,-0.023624385,-0.25349149,-0.74537889,-0.58138836,-0.17401699,0.015104674,-0.34287302,-0.54873689,0.054611467,0.059181883,-0.098197003,0.0031824703,-0.24529616,-0.78590731,0.02429029,-0.3012275,-0.65535045,0.050122441,-0.41151666,0.0031559292,-0.020178647,-1.6069886,-0.54484508,-0.2092834,-0.61288197,-0.11687193,-0.086596805,0.030629401,-0.52726387,-0.16314968,-0.95787323,0.010396955,-0.16737166,-0.24026456,0.071639869,-3.1862902,0.077244531,-0.23237725,-0.23882526,-0.13606395,0.01600653,-0.11264457,-0.10423982,-0.052704784,-0.21633016,-1.3442877,-0.49748589,-0.26310027,0.009730589,-0.60631271,-0.045814759,-0.17906702,-0.40353731,-0.18650799,-0.42372686,-0.87131753,-0.38177024,0.029986507,-0.59085519,-0.0057728893,-0.5213182,-5.4216086,-0.082565709,-0.38035384,-0.43501581,-0.21410085,-0.079472045,-0.063086985,-0.28105107,-0.14364003,-0.74785589,0.020979542,-0.25459944,-0.41806617,-0.80352169,-0.1037313,-0.57095096,-0.46641017,-0.44247692,-0.712246,-0.18218937,-0.82314606,-0.41999712,-0.72134481,-1.2742596,-0.84101587,-0.63981643,-1.0691561,-0.20054186,-0.55705986,-0.62522198,-0.81450011,-0.23711295,0.051677294,-0.012674877,-0.073227778,0.040809735,-0.43253495,-0.059027907,-0.049196665,-0.95556064,-0.12971327,-0.39389674,-0.83024065,-0.39670272,-0.02948263,-0.24581203,-0.65955949,-0.55234683,-0.40481201,-0.73081991,-1.1886925,-1.1241772,-0.080844378,-0.52917079,-0.3761781,-0.63243916,-0.14848342,-0.64855304,-3.598539,-0.61483529,-1.1211599,-0.42156307,-1.6047692,-0.10012207,-1.7000177,-0.044969704,-0.28906497,-1.3233064,-0.24428092,-0.16798877,-0.55785935,0.027455135,-0.047627392,-0.33327296,-0.28165354,-0.19656007,-0.6559366,-1.0510696,0.045340101,-0.7036556,-0.34001774,-0.46748594,0.04464302,-0.24671947,-0.50463902,-0.076788406,-0.39802061,0.07135213,-0.44682407,0.074405508,-1.6980973,-0.53638281,-0.037596064,-0.16078781,0.061014744,-1.3192003,-0.28372905,-2.5285729,-0.4837684,-0.065322327,-0.15530317,-0.3032216,0.041452327,-0.44476848,0.064153002,0.00049391774,0.050643226,-0.033230136,0.00031797171,0.0579811,-0.13109411,-0.29859669,-0.34236085,-0.20160318,-0.36267146,-0.39804492,-1.1378381,-0.33174933,0.057265856,0.046191202,-0.18805466,-0.51563443,-0.36356907,-0.60911747,-0.61323534,-1.4232109,-0.0068728672,-0.11055691,0.042678639,-1.6507563,-2.3668938,-0.7304546,-0.9774551,-0.66066212,-0.30506429,-0.48741611,-0.38972935,-0.3115244,-1.1130233,-4.116811,-0.98272422,-0.94768045,-3.473429,-2.826964,-3.0475221,-0.88767989,-0.052729168,-0.34323457,-0.35712227,-0.39410356,-0.058148109,-1.9094985,-0.46707511,-0.28649468,-0.41995703,-0.070973734,-0.26122214,-0.39373806,-1.8563993,-0.28076878,-0.47836621,-0.036887344,0.036755244,-0.50643361,-1.2652801,-0.14946075,0.037820918,-0.22676665,-0.4208661,-1.1593811,-0.51418638,-0.29240919,-0.15094806,-1.4761847
-184.18374,0.99408995,0.022719629,7,255,0,185.84709,0.051106318,1.2810125,0.31621949,0.19409501,-0.70621952,-0.23953605,-4.696031,-0.39606915,0.11298845,-0.14908915,-0.39457622,0.012502841,-0.22198268,-0.45574865,-0.69640236,-0.97873411,-0.23305002,-0.35525754,0.063374783,-2.8783451,-0.87885205,-0.20815472,-0.39426818,0.1241051,-2.3788283,0.043664196,-0.15151087,0.095568094,-0.012925862,-0.35660974,0.028112962,-0.48706588,-0.28694718,-0.16277527,-0.25310724,-0.62909127,0.09169688,-0.83818901,-0.21224851,-0.70874713,-1.1087563,-0.77842407,-1.8932487,-0.75688216,-1.1840766,-0.66223467,-1.7460173,-3.0394806,-3.4070136,-0.3262781,-0.56383836,-0.45508128,-0.14991326,-0.2116769,-0.38699422,-0.37886536,0.091302305,-0.36790974,-0.46625081,-1.661008,-1.2818622,0.014270984,-0.24104577,-0.75170304,-0.57945036,-0.14780896,0.059655181,-0.33751138,-0.55592448,0.097079364,0.12086691,-0.064200899,0.047846957,-0.22212842,-0.80791926,0.058393477,-0.29356034,-0.65606683,0.088478516,-0.40995744,0.069005182,0.010902573,-1.6788339,-0.5506679,-0.12653683,-0.6129649,-0.08560236,-0.052608932,0.08155282,-0.52355886,-0.14346265,-0.98104498,0.047085397,-0.089177725,-0.22406497,0.11933649,-3.3533964,0.13491611,-0.21421058,-0.22096692,-0.11062984,0.059217624,-0.08592828,-0.077386412,-0.02139396,-0.19876411,-1.3032343,-0.49809851,-0.24876808,0.049034342,-0.61364248,-0.013167156,-0.15812791,-0.39829872,-0.16678519,-0.41597411,-0.88765674,-0.37155067,0.090031076,-0.597038,0.031127086,-0.52036714,-5.8706307,-0.050308449,-0.3751587,-0.42945184,-0.19196902,-0.047113597,-0.034064756,-0.2702203,-0.059637861,-0.77051049,0.097182273,-0.24775383,-0.40048194,-0.8060431,-0.067813317,-0.56253454,-0.47357472,-0.44738906,-0.712438,-0.16799047,-0.82908474,-0.42328978,-0.74500814,-1.3399873,-0.84398342,-0.63454901,-1.0851465,-0.17234738,-0.55096342,-0.62405069,-0.82494616,-0.21587439,0.10547475,0.027181043,-0.0406987,0.10176249,-0.42526258,-0.0248832,-0.013966873,-0.98087376,-0.10552576,-0.38398183,-0.85051966,-0.38640986,0.0029114853,-0.22999939,-0.66514387,-0.55474871,-0.39759765,-0.74327511,-1.2280778,-1.1590496,-0.0061469348,-0.53004014,-0.36825679,-0.63716824,-0.12566655,-0.6561704,-3.7438112,-0.62006597,-1.1572532,-0.4155202,-1.6610824,-0.07159516,-1.762052,-0.012679193,-0.27591395,-1.3639399,-0.22516314,-0.14365301,-0.56191366,0.06789581,-0.012433188,-0.3240845,-0.2645075,-0.17765545,-0.66161052,-1.0792639,0.090560539,-0.71502825,-0.32954951,-0.46477885,0.088617228,-0.2294935,-0.50475453,-0.044006805,-0.38666191,0.13060799,-0.43800488,0.13312579,-1.7823679,-0.54193839,-0.00037676047,-0.14205239,0.11587642,-1.3555481,-0.26502194,-2.6735578,-0.40018053,0.0052318459,-0.13229507,-0.29026425,0.086944593,-0.44001555,0.11606926,0.038985087,0.10296711,0.00060455212,0.034408167,0.10850938,-0.10554014,-0.28253198,-0.33227068,-0.17977145,-0.35125236,-0.39214354,-1.1752679,-0.31842867,0.11102087,0.10897261,-0.16786225,-0.51628109,-0.35737615,-0.61249179,-0.61980437,-1.4701404,0.030099362,-0.038031818,0.086766134,-1.701876,-2.5082748,-0.65934672,-1.0109912,-0.67314594,-0.29122776,-0.48949231,-0.38593832,-0.30238951,-1.1562186,-4.5686857,-1.0173242,-0.97794744,-3.7449859,-3.0224489,-3.2516444,-0.90311892,-0.023357679,-0.33541507,-0.28049284,-0.39024171,-0.029388349,-2.0114274,-0.46831195,-0.27610214,-0.41879435,-0.045200477,-0.24056105,-0.38064541,-1.9563409,-0.27060151,-0.48099853,-0.006737428,0.079096197,-0.51124533,-1.3220625,-0.12969484,0.089221703,-0.20363378,-0.42037521,-1.1820213,-0.50685696,-0.27261762,-0.13356696,-1.5066834
