# stan_version_major = 2
# stan_version_minor = 37
# stan_version_patch = 0
# model = rlddm_single_subject_model
# start_datetime = 2025-09-24 17:25:03 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 3000
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.9995
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = dense_e
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /var/folders/s0/k9fg8kp94xl307gydfsd9gf00000gq/T/tmppu_3hin1/xwhy36bx.json
# init = 2 (Default)
# random
#   seed = 2026
# output
#   file = /Users/jy4657/Desktop/Repositories/tst-stan/cmdstan_tmp/rlddm_single_subject-20250924132503_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.37.0
# stancflags = --filename-in-msg=rlddm_single_subject.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,a,t0,scaler,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46,log_lik.47,log_lik.48,log_lik.49,log_lik.50,log_lik.51,log_lik.52,log_lik.53,log_lik.54,log_lik.55,log_lik.56,log_lik.57,log_lik.58,log_lik.59,log_lik.60,log_lik.61,log_lik.62,log_lik.63,log_lik.64,log_lik.65,log_lik.66,log_lik.67,log_lik.68,log_lik.69,log_lik.70,log_lik.71,log_lik.72,log_lik.73,log_lik.74,log_lik.75,log_lik.76,log_lik.77,log_lik.78,log_lik.79,log_lik.80,log_lik.81,log_lik.82,log_lik.83,log_lik.84,log_lik.85,log_lik.86,log_lik.87,log_lik.88,log_lik.89,log_lik.90,log_lik.91,log_lik.92,log_lik.93,log_lik.94,log_lik.95,log_lik.96,log_lik.97,log_lik.98,log_lik.99,log_lik.100,log_lik.101,log_lik.102,log_lik.103,log_lik.104,log_lik.105,log_lik.106,log_lik.107,log_lik.108,log_lik.109,log_lik.110,log_lik.111,log_lik.112,log_lik.113,log_lik.114,log_lik.115,log_lik.116,log_lik.117,log_lik.118,log_lik.119,log_lik.120,log_lik.121,log_lik.122,log_lik.123,log_lik.124,log_lik.125,log_lik.126,log_lik.127,log_lik.128,log_lik.129,log_lik.130,log_lik.131,log_lik.132,log_lik.133,log_lik.134,log_lik.135,log_lik.136,log_lik.137,log_lik.138,log_lik.139,log_lik.140,log_lik.141,log_lik.142,log_lik.143,log_lik.144,log_lik.145,log_lik.146,log_lik.147,log_lik.148,log_lik.149,log_lik.150,log_lik.151,log_lik.152,log_lik.153,log_lik.154,log_lik.155,log_lik.156,log_lik.157,log_lik.158,log_lik.159,log_lik.160,log_lik.161,log_lik.162,log_lik.163,log_lik.164,log_lik.165,log_lik.166,log_lik.167,log_lik.168,log_lik.169,log_lik.170,log_lik.171,log_lik.172,log_lik.173,log_lik.174,log_lik.175,log_lik.176,log_lik.177,log_lik.178,log_lik.179,log_lik.180,log_lik.181,log_lik.182,log_lik.183,log_lik.184,log_lik.185,log_lik.186,log_lik.187,log_lik.188,log_lik.189,log_lik.190,log_lik.191,log_lik.192,log_lik.193,log_lik.194,log_lik.195,log_lik.196,log_lik.197,log_lik.198,log_lik.199,log_lik.200,log_lik.201,log_lik.202,log_lik.203,log_lik.204,log_lik.205,log_lik.206,log_lik.207,log_lik.208,log_lik.209,log_lik.210,log_lik.211,log_lik.212,log_lik.213,log_lik.214,log_lik.215,log_lik.216,log_lik.217,log_lik.218,log_lik.219,log_lik.220,log_lik.221,log_lik.222,log_lik.223,log_lik.224,log_lik.225,log_lik.226,log_lik.227,log_lik.228,log_lik.229,log_lik.230,log_lik.231,log_lik.232,log_lik.233,log_lik.234,log_lik.235,log_lik.236,log_lik.237,log_lik.238,log_lik.239,log_lik.240,log_lik.241,log_lik.242,log_lik.243,log_lik.244,log_lik.245,log_lik.246,log_lik.247,log_lik.248,log_lik.249,log_lik.250,log_lik.251,log_lik.252,log_lik.253,log_lik.254,log_lik.255,log_lik.256,log_lik.257,log_lik.258,log_lik.259,log_lik.260,log_lik.261,log_lik.262,log_lik.263,log_lik.264,log_lik.265,log_lik.266,log_lik.267,log_lik.268,log_lik.269,log_lik.270,log_lik.271,log_lik.272,log_lik.273,log_lik.274,log_lik.275,log_lik.276,log_lik.277,log_lik.278,log_lik.279,log_lik.280,log_lik.281,log_lik.282,log_lik.283,log_lik.284,log_lik.285,log_lik.286,log_lik.287,log_lik.288,log_lik.289,log_lik.290,log_lik.291,log_lik.292
# Adaptation terminated
# Step size = 0.0279846
# Elements of inverse mass matrix:
# 1.08651, 0.0414224, -0.0535492, -0.39281
# 0.0414224, 0.00743649, -0.0100346, -0.00561186
# -0.0535492, -0.0100346, 0.0523474, 0.00858267
# -0.39281, -0.00561186, 0.00858267, 0.213449
-186.3908,0.99997881,0.027984552,7,127,0,187.32941,0.055308088,1.2780713,0.32188465,0.18487391,-0.69075914,-0.22218365,-7.1948981,-0.37911384,0.12152589,-0.13163375,-0.53985629,-0.022535658,-0.20467664,-0.43904342,-0.68082342,-0.96441921,-0.21562649,-0.48767655,0.077103738,-2.8750328,-0.86388539,-0.19048056,-0.37720438,0.12802751,-2.3742373,0.017923628,-0.22752868,0.087410631,-0.05191862,-0.33957376,0.043780127,-0.6549806,-0.26938631,-0.14566404,-0.23542792,-0.61287567,0.10348573,-0.82325651,-0.19492128,-0.69324542,-1.0950554,-0.76340172,-1.8830702,-0.74152787,-1.1713136,-0.64670297,-1.7357772,-3.0336954,-3.4027131,-0.30907479,-0.54767868,-0.43851064,-0.13271107,-0.19443169,-0.37000093,-0.36177989,0.10507404,-0.35109057,-0.45009254,-1.6491805,-1.2683089,0.03054461,-0.22328117,-0.73720739,-0.56405795,-0.13077617,0.074268828,-0.319686,-0.53892686,0.10890167,0.12428226,-0.048005116,0.061746307,-0.20582504,-0.79155637,0.074701846,-0.27523826,-0.64172349,0.10315381,-0.39213377,0.048710228,0.028025944,-1.6650686,-0.53341522,-0.19651222,-0.59830952,-0.069503816,-0.036869604,0.091162252,-0.50845107,-0.12503493,-0.9679287,0.063371188,-0.15425014,-0.20601737,0.13131277,-4.861736,0.13859684,-0.19735535,-0.20415753,-0.09396735,0.071502357,-0.06926789,-0.060622544,-0.005135998,-0.18157985,-1.7423188,-0.48184266,-0.23165219,0.062936191,-0.59788746,0.0028786964,-0.14094974,-0.38164194,-0.14959977,-0.39904781,-0.8728786,-0.35443353,0.085434173,-0.58125258,0.045907465,-0.50413702,-5.9528607,-0.033652463,-0.35835465,-0.4128515,-0.17707078,-0.032789796,-0.019926832,-0.25533386,-0.11746036,-0.75770254,0.081346035,-0.22922093,-0.38517538,-0.79271724,-0.051576011,-0.54793276,-0.45568439,-0.42937818,-0.69855116,-0.14948203,-0.81585972,-0.40509167,-0.72778496,-1.3239681,-0.83154383,-0.62068386,-1.0740357,-0.15623934,-0.53623461,-0.60955908,-0.81138731,-0.19921981,0.11305126,0.04204157,-0.024416351,0.099632533,-0.40914945,-0.0089443742,0.0018385561,-0.96616163,-0.087720655,-0.36772535,-0.83487692,-0.37023598,0.019915765,-0.21214808,-0.6502611,-0.53815819,-0.38056547,-0.72816504,-1.2152961,-1.1462027,-0.043551072,-0.51332746,-0.35179172,-0.62091721,-0.10771297,-0.64000725,-3.7302789,-0.60382827,-1.1443424,-0.39908849,-1.6497855,-0.054183779,-1.7511744,0.0037009414,-0.2587302,-1.3518457,-0.20789075,-0.12629012,-0.54565057,0.081953128,0.0038990485,-0.3067227,-0.2474876,-0.16011052,-0.6460602,-1.065465,0.10248401,-0.69978019,-0.31263907,-0.44839622,0.10253569,-0.21183333,-0.48864187,-0.026856396,-0.36993202,0.13565308,-0.42156332,0.13865885,-1.7707507,-0.52535929,0.016038243,-0.12430218,0.12429283,-1.3441358,-0.24818482,-2.6629386,-0.54608151,-0.03116467,-0.11436847,-0.27254476,0.099644921,-0.42293377,0.1212182,0.054630116,0.11252112,0.017298944,0.050215051,0.1176806,-0.088507326,-0.26572414,-0.31479144,-0.16265564,-0.3345793,-0.3749792,-1.1614093,-0.30163633,0.11831987,0.10574804,-0.15009997,-0.49954502,-0.34006473,-0.59702096,-0.60352163,-1.4590659,0.04569682,-0.082839176,0.098161276,-1.69177,-2.5002231,-0.87475648,-0.99659229,-0.65713953,-0.27375685,-0.47262101,-0.36860239,-0.28486007,-1.142089,-4.553281,-1.0024881,-0.96284873,-3.7317433,-3.0124211,-3.2400755,-0.88943153,-0.0063030589,-0.31769118,-0.38963304,-0.37281811,-0.01241219,-1.9998933,-0.45127971,-0.25846308,-0.40146357,-0.027736007,-0.22373175,-0.36443239,-1.9440857,-0.25279115,-0.46387921,0.0097434818,0.090656455,-0.49422456,-1.3081505,-0.11204238,0.092082766,-0.18660162,-0.40294492,-1.1701719,-0.4913303,-0.25603574,-0.11544357,-1.4975216
-187.01912,0.99996476,0.027984552,5,31,0,187.25493,0.047963663,1.2757806,0.32234943,0.20102654,-0.69059369,-0.22028781,-7.4444855,-0.37825234,0.12507813,-0.12937415,-0.54453035,-0.020163062,-0.20242221,-0.43841355,-0.68077625,-0.96575996,-0.21381679,-0.4907969,0.080883202,-2.8771773,-0.86552423,-0.18909122,-0.37638521,0.13090528,-2.3739029,0.021370973,-0.22660031,0.091229064,-0.049225022,-0.33791975,0.04674336,-0.66108367,-0.26809967,-0.14287621,-0.23431407,-0.61329808,0.10729533,-0.8237079,-0.19266579,-0.69339367,-1.0965094,-0.76351391,-1.8875196,-0.74157279,-1.1721064,-0.6463196,-1.7393094,-3.0433027,-3.4145564,-0.30777495,-0.54732918,-0.43775304,-0.12979152,-0.19177098,-0.36848342,-0.36022857,0.10829316,-0.3501564,-0.4490401,-1.6519702,-1.2698422,0.033655262,-0.22152036,-0.73675896,-0.56291095,-0.12810751,0.07830805,-0.3191886,-0.53942896,0.1109937,0.12958231,-0.043623795,0.066674241,-0.20173016,-0.79460539,0.075637976,-0.27576818,-0.63864436,0.10417163,-0.39302012,0.049757794,0.029438809,-1.6740361,-0.53501988,-0.19396684,-0.59508361,-0.064673234,-0.031742831,0.097018636,-0.50458195,-0.12488141,-0.96580506,0.065069531,-0.15498556,-0.20572402,0.13317935,-4.9977197,0.1409163,-0.19395178,-0.20063385,-0.089913296,0.076481547,-0.065357328,-0.056987744,-0.0015159402,-0.17863722,-1.7692535,-0.47994652,-0.22889923,0.067001091,-0.5963521,0.0066203216,-0.13784666,-0.37941747,-0.1465314,-0.39890156,-0.87477305,-0.35410636,0.089883463,-0.57944094,0.049791906,-0.50241338,-5.8730199,-0.030171156,-0.35614495,-0.41082741,-0.17077296,-0.025203684,-0.012285489,-0.24850874,-0.12041865,-0.75245454,0.080839292,-0.22833839,-0.3824351,-0.79384695,-0.047391514,-0.54536574,-0.45404991,-0.43017389,-0.69619481,-0.14900461,-0.81371478,-0.40625269,-0.73067979,-1.3312371,-0.82818349,-0.6171516,-1.0708207,-0.15168971,-0.53283305,-0.6064424,-0.80877081,-0.19576039,0.11790216,0.046447643,-0.020445289,0.10421242,-0.40629628,-0.0046907994,0.0061001891,-0.96831116,-0.086103485,-0.36501801,-0.83699258,-0.36759303,0.021744584,-0.21125872,-0.64809712,-0.53851739,-0.37976807,-0.72752831,-1.2161121,-1.146112,-0.040157486,-0.51382981,-0.34912987,-0.62189312,-0.10650939,-0.64093042,-3.7641488,-0.6045516,-1.1440007,-0.39678819,-1.6544167,-0.051999889,-1.756064,0.0069808928,-0.25655403,-1.353914,-0.2059063,-0.12397857,-0.54508205,0.085145067,0.0072444869,-0.30569881,-0.24514642,-0.15809807,-0.64557071,-1.0670133,0.10612151,-0.69897388,-0.31053856,-0.44668437,0.10507414,-0.21076197,-0.48676008,-0.024485785,-0.36894486,0.1393034,-0.42063267,0.14208998,-1.7751298,-0.52474077,0.019051261,-0.12233105,0.1284327,-1.3448976,-0.24577953,-2.6765843,-0.54968397,-0.029633722,-0.11280641,-0.27164388,0.10255959,-0.42235059,0.12430954,0.057274238,0.11643997,0.019744984,0.052834813,0.12072768,-0.085575315,-0.26313632,-0.31377816,-0.15985492,-0.33241225,-0.37436614,-1.1641729,-0.2993533,0.12251835,0.10989707,-0.1482606,-0.49909627,-0.33883893,-0.59625516,-0.60331286,-1.4610032,0.048598174,-0.081080335,0.10150332,-1.6953277,-2.5052315,-0.88385178,-0.99680082,-0.65671602,-0.27214871,-0.47187567,-0.36770641,-0.28340047,-1.1437406,-4.5968576,-1.0040829,-0.96467038,-3.7621354,-3.0278007,-3.2615433,-0.88889052,-0.0039734787,-0.31713507,-0.39229905,-0.37209799,-0.0099358485,-2.0065931,-0.45053923,-0.2568498,-0.40077534,-0.025757834,-0.22129647,-0.36224086,-1.9514934,-0.25151451,-0.4633364,0.01238954,0.093779011,-0.4936412,-1.3105308,-0.10964496,0.09562263,-0.18463312,-0.40184788,-1.1712623,-0.49027258,-0.25392825,-0.11391852,-1.4978046
-187.82358,0.95548754,0.027984552,6,63,0,188.70645,0.039408951,1.2690604,0.32318044,0.21945273,-0.6917947,-0.21632796,-7.8797032,-0.37686264,0.13517379,-0.12429821,-0.54119427,-0.0086399884,-0.19765511,-0.43769878,-0.68206228,-0.97084294,-0.20992206,-0.48525994,0.090356477,-2.8919862,-0.87062995,-0.18579402,-0.37483837,0.14078,-2.3851711,0.033929813,-0.21588158,0.10350848,-0.03680413,-0.33459943,0.054830781,-0.65920158,-0.26486043,-0.13740218,-0.23146969,-0.61479542,0.1170949,-0.82646008,-0.18790274,-0.69517776,-1.1021867,-0.76575641,-1.90176,-0.7431119,-1.1777038,-0.64719259,-1.7524311,-3.0698483,-3.4471801,-0.3052259,-0.54766929,-0.43705114,-0.12341388,-0.18601588,-0.36541155,-0.35690994,0.11623199,-0.34915804,-0.44845259,-1.6606887,-1.2749561,0.040326454,-0.2166661,-0.73888755,-0.56287412,-0.12335988,0.086896677,-0.31703026,-0.54004145,0.11914121,0.14221563,-0.035248137,0.077161362,-0.19469485,-0.80074276,0.080742902,-0.27546796,-0.63561876,0.10985034,-0.39397747,0.058879319,0.034734349,-1.6936919,-0.53797327,-0.18115171,-0.59122049,-0.05514436,-0.021396738,0.11041549,-0.49882155,-0.12337147,-0.96500398,0.070569433,-0.14742347,-0.2046522,0.13975208,-5.219691,0.14927949,-0.18689316,-0.19335956,-0.081012017,0.088692592,-0.056433969,-0.048467568,0.0074012976,-0.17197045,-1.7991468,-0.47648716,-0.22281949,0.077532915,-0.59399981,0.01590518,-0.13067751,-0.37495525,-0.13947151,-0.39950573,-0.88121177,-0.35418319,0.10349246,-0.57654061,0.05979796,-0.49933578,-5.7172372,-0.021628671,-0.35159248,-0.40683815,-0.16414852,-0.013625149,-0.0004986849,-0.23712497,-0.11503241,-0.75080628,0.086785718,-0.21798799,-0.38386395,-0.8005971,-0.042285906,-0.54879795,-0.44682449,-0.42529248,-0.69569095,-0.14576092,-0.81401907,-0.40674684,-0.7351406,-1.3442797,-0.82711837,-0.61428312,-1.0710602,-0.14410694,-0.52903227,-0.60327499,-0.80726163,-0.18945721,0.12995733,0.056284214,-0.011787547,0.11725206,-0.40160834,0.0046240804,0.015422678,-0.97470945,-0.081778922,-0.36056919,-0.8424196,-0.363436,0.02731671,-0.20893722,-0.64585376,-0.53993816,-0.37856786,-0.72786522,-1.2210283,-1.1492814,-0.026710932,-0.51551037,-0.34436388,-0.62487901,-0.10325452,-0.6438967,-3.8398568,-0.6071101,-1.1464806,-0.3926799,-1.6691113,-0.0469143,-1.7717199,0.015095767,-0.2518733,-1.3628906,-0.20218416,-0.11924346,-0.54445816,0.09403971,0.014698067,-0.30327407,-0.24092892,-0.15327949,-0.64642905,-1.073383,0.11609786,-0.69870686,-0.30633715,-0.44374664,0.11222825,-0.20855494,-0.48367953,-0.019985923,-0.36836053,0.1490214,-0.42084712,0.15138103,-1.7854896,-0.52318728,0.025375968,-0.11662862,0.13850894,-1.3529035,-0.24212546,-2.7018702,-0.54545717,-0.018470042,-0.10782062,-0.2686015,0.11191002,-0.42050532,0.13507244,0.065454472,0.1263489,0.027196616,0.06092162,0.1308913,-0.080087349,-0.25921459,-0.3107322,-0.1544293,-0.32897486,-0.3729203,-1.1717056,-0.29555166,0.13350558,0.12144486,-0.14310366,-0.49792814,-0.33566341,-0.59703361,-0.6029751,-1.4713129,0.057054978,-0.069270772,0.1116583,-1.7098866,-2.5178068,-0.88565471,-0.99801,-0.6557436,-0.26779534,-0.46968668,-0.3648381,-0.27918302,-1.1477926,-4.6321624,-1.0076962,-0.96862196,-3.7988277,-3.0515131,-3.2934401,-0.89202564,0.003276428,-0.3150532,-0.38569929,-0.37001748,-0.0023346817,-2.020819,-0.44837172,-0.25231755,-0.3984651,-0.01929559,-0.21760508,-0.35970677,-1.9669015,-0.24753784,-0.4615115,0.02044996,0.10386341,-0.49177559,-1.3162582,-0.10278743,0.10770656,-0.18181489,-0.39888612,-1.1785167,-0.49034215,-0.25105881,-0.10856406,-1.5061598
