# stan_version_major = 2
# stan_version_minor = 37
# stan_version_patch = 0
# model = rlddm_single_subject_model
# start_datetime = 2025-09-24 18:57:55 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 3000
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.9998
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = dense_e
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/s0/k9fg8kp94xl307gydfsd9gf00000gq/T/tmpa9e4bv05/p0zwql2i.json
# init = 2 (Default)
# random
#   seed = 2026
# output
#   file = /Users/jy4657/Desktop/Repositories/tst-stan/cmdstan_tmp/rlddm_single_subject-20250924145755_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.37.0
# stancflags = --filename-in-msg=rlddm_single_subject.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,a,t0,scaler,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46,log_lik.47,log_lik.48,log_lik.49,log_lik.50,log_lik.51,log_lik.52,log_lik.53,log_lik.54,log_lik.55,log_lik.56,log_lik.57,log_lik.58,log_lik.59,log_lik.60,log_lik.61,log_lik.62,log_lik.63,log_lik.64,log_lik.65,log_lik.66,log_lik.67,log_lik.68,log_lik.69,log_lik.70,log_lik.71,log_lik.72,log_lik.73,log_lik.74,log_lik.75,log_lik.76,log_lik.77,log_lik.78,log_lik.79,log_lik.80,log_lik.81,log_lik.82,log_lik.83,log_lik.84,log_lik.85,log_lik.86,log_lik.87,log_lik.88,log_lik.89,log_lik.90,log_lik.91,log_lik.92,log_lik.93,log_lik.94,log_lik.95,log_lik.96,log_lik.97,log_lik.98,log_lik.99,log_lik.100,log_lik.101,log_lik.102,log_lik.103,log_lik.104,log_lik.105,log_lik.106,log_lik.107,log_lik.108,log_lik.109,log_lik.110,log_lik.111,log_lik.112,log_lik.113,log_lik.114,log_lik.115,log_lik.116,log_lik.117,log_lik.118,log_lik.119,log_lik.120,log_lik.121,log_lik.122,log_lik.123,log_lik.124,log_lik.125,log_lik.126,log_lik.127,log_lik.128,log_lik.129,log_lik.130,log_lik.131,log_lik.132,log_lik.133,log_lik.134,log_lik.135,log_lik.136,log_lik.137,log_lik.138,log_lik.139,log_lik.140,log_lik.141,log_lik.142,log_lik.143,log_lik.144,log_lik.145,log_lik.146,log_lik.147,log_lik.148,log_lik.149,log_lik.150,log_lik.151,log_lik.152,log_lik.153,log_lik.154,log_lik.155,log_lik.156,log_lik.157,log_lik.158,log_lik.159,log_lik.160,log_lik.161,log_lik.162,log_lik.163,log_lik.164,log_lik.165,log_lik.166,log_lik.167,log_lik.168,log_lik.169,log_lik.170,log_lik.171,log_lik.172,log_lik.173,log_lik.174,log_lik.175,log_lik.176,log_lik.177,log_lik.178,log_lik.179,log_lik.180,log_lik.181,log_lik.182,log_lik.183,log_lik.184,log_lik.185,log_lik.186,log_lik.187,log_lik.188,log_lik.189,log_lik.190,log_lik.191,log_lik.192,log_lik.193,log_lik.194,log_lik.195,log_lik.196,log_lik.197,log_lik.198,log_lik.199,log_lik.200,log_lik.201,log_lik.202,log_lik.203,log_lik.204,log_lik.205,log_lik.206,log_lik.207,log_lik.208,log_lik.209,log_lik.210,log_lik.211,log_lik.212,log_lik.213,log_lik.214,log_lik.215,log_lik.216,log_lik.217,log_lik.218,log_lik.219,log_lik.220,log_lik.221,log_lik.222,log_lik.223,log_lik.224,log_lik.225,log_lik.226,log_lik.227,log_lik.228,log_lik.229,log_lik.230,log_lik.231,log_lik.232,log_lik.233,log_lik.234,log_lik.235,log_lik.236,log_lik.237,log_lik.238,log_lik.239,log_lik.240,log_lik.241,log_lik.242,log_lik.243,log_lik.244,log_lik.245,log_lik.246,log_lik.247,log_lik.248,log_lik.249,log_lik.250,log_lik.251,log_lik.252,log_lik.253,log_lik.254,log_lik.255,log_lik.256,log_lik.257,log_lik.258,log_lik.259,log_lik.260,log_lik.261,log_lik.262,log_lik.263,log_lik.264,log_lik.265,log_lik.266,log_lik.267,log_lik.268,log_lik.269,log_lik.270,log_lik.271,log_lik.272,log_lik.273,log_lik.274,log_lik.275,log_lik.276,log_lik.277,log_lik.278,log_lik.279,log_lik.280,log_lik.281,log_lik.282,log_lik.283,log_lik.284,log_lik.285,log_lik.286,log_lik.287,log_lik.288,log_lik.289,log_lik.290,log_lik.291,log_lik.292
# Adaptation terminated
# Step size = 0.0126169
# Elements of inverse mass matrix:
# 1.08966, 0.0406675, -0.0382653, -0.406723
# 0.0406675, 0.00645855, -0.00784504, -0.00657718
# -0.0382653, -0.00784504, 0.049216, 0.00268165
# -0.406723, -0.00657718, 0.00268165, 0.217116
-188.02521,0.98405758,0.012616871,7,250,1,192.99048,0.013845343,1.2842606,0.31031417,0.14924364,-0.7220999,-0.25754069,-3.2218943,-0.41897143,0.10249575,-0.16726782,-0.28336207,0.039421419,-0.23542735,-0.47853652,-0.7130795,-1.0010702,-0.25162984,-0.24799327,0.053679584,-2.7879384,-0.90934731,-0.23260769,-0.41430806,0.11411825,-2.3521164,0.066119307,-0.083860707,0.10488564,0.025959809,-0.36662591,0.016687138,-0.34846698,-0.30110695,-0.18071723,-0.27491706,-0.64999936,0.080072948,-0.85372543,-0.2265441,-0.72945689,-1.122993,-0.79816445,-1.9039227,-0.76860575,-1.1987447,-0.68170818,-1.7759311,-3.0129237,-3.4176516,-0.34595011,-0.58594529,-0.48024232,-0.15846956,-0.21751126,-0.39456127,-0.38385611,0.062775968,-0.40208205,-0.49745606,-1.6254464,-1.2574106,-0.01690339,-0.24205317,-0.78473857,-0.6078292,-0.17805615,0.034497695,-0.34856464,-0.56835449,0.084998844,0.11618733,-0.077540598,0.038720421,-0.23029755,-0.83698219,0.030217428,-0.32118062,-0.66025071,0.061962471,-0.43710726,0.075506949,-0.012464747,-1.7176016,-0.58012823,-0.060848476,-0.61325589,-0.088123785,-0.052912932,0.088707138,-0.5148941,-0.18025059,-0.96923964,0.017432557,-0.051499679,-0.2590471,0.088585356,-2.3945042,0.11476018,-0.21713561,-0.22113854,-0.10945133,0.066225199,-0.085132849,-0.079312605,-0.025465236,-0.20142185,-0.95851799,-0.49761914,-0.25110187,0.048543148,-0.61130908,-0.01544441,-0.16096226,-0.39915176,-0.16958949,-0.45247757,-0.92923473,-0.40787384,0.10828824,-0.59162283,0.030074185,-0.5193875,-4.4190077,-0.052849059,-0.37612706,-0.42975594,-0.19344923,-0.044843149,-0.031666302,-0.26360906,-0.031808886,-0.76213841,0.089069706,-0.24598003,-0.43498206,-0.846293,-0.098928017,-0.59882686,-0.47033356,-0.44944047,-0.74041419,-0.18077372,-0.8568192,-0.43452584,-0.74866845,-1.3248584,-0.87174113,-0.6568376,-1.1014559,-0.18840815,-0.56134721,-0.62997639,-0.82398921,-0.22624074,0.10525455,0.020610175,-0.046605779,0.11349238,-0.42395084,-0.029136906,-0.02118144,-1.0063174,-0.12831697,-0.39289593,-0.87427284,-0.39960821,-0.019993151,-0.25532028,-0.6678392,-0.57942396,-0.41860695,-0.75199091,-1.2306624,-1.1565424,0.033437093,-0.55986044,-0.3733701,-0.66767257,-0.15508811,-0.68364381,-3.9998508,-0.64948295,-1.1471013,-0.41930474,-1.6992331,-0.096071523,-1.7951475,-0.023749566,-0.28534989,-1.3871525,-0.24782918,-0.16638277,-0.57548673,0.055146345,-0.029151621,-0.34460402,-0.27964817,-0.19510777,-0.67860385,-1.1002638,0.080853033,-0.72172638,-0.33991982,-0.47190155,0.062287666,-0.25937173,-0.50815945,-0.075620725,-0.41893692,0.11273519,-0.46958175,0.11242113,-1.7576781,-0.54689239,-0.027704575,-0.15290387,0.10091305,-1.3782162,-0.28738316,-2.6641708,-0.28600376,0.035441891,-0.14868504,-0.3062306,0.077577748,-0.45215006,0.11332431,0.027052115,0.094799573,-0.012609803,0.022319624,0.10126337,-0.12723915,-0.29687259,-0.34677873,-0.19484918,-0.36553349,-0.41394342,-1.195955,-0.33271072,0.1045413,0.11167638,-0.18012404,-0.52523509,-0.36434597,-0.63975307,-0.62552627,-1.5069503,0.022619028,0.0090554517,0.085406871,-1.7607836,-2.3928441,-0.47090292,-0.9939199,-0.66970391,-0.29655649,-0.49278876,-0.39340299,-0.30783977,-1.1430403,-4.0846141,-1.0134138,-0.97976378,-3.5238888,-2.8871734,-3.1221582,-0.92816522,-0.031926018,-0.34683406,-0.18465451,-0.39636337,-0.033737312,-1.9733296,-0.47088979,-0.27864602,-0.42358822,-0.054880885,-0.2693498,-0.40649673,-1.9241198,-0.27602453,-0.4821953,-0.0083341759,0.081694588,-0.5080874,-1.2900676,-0.12626049,0.10634683,-0.24533183,-0.41005231,-1.2450229,-0.55361595,-0.31383524,-0.13215937,-1.5721169
-187.55404,0.99884225,0.012616871,7,255,0,192.72274,0.022027715,1.2909155,0.30632981,0.12882276,-0.73018466,-0.27037909,-2.6008798,-0.42959456,0.089280852,-0.1809746,-0.23572605,0.043112193,-0.24898097,-0.48853083,-0.72120024,-1.0054553,-0.26448353,-0.20599301,0.038464563,-2.7836325,-0.91387904,-0.24505201,-0.42534135,0.10292381,-2.3460688,0.0656151,-0.064535323,0.097185235,0.030242124,-0.37923618,0.0012094138,-0.29341097,-0.3140463,-0.19420308,-0.2872711,-0.65844886,0.065698985,-0.86045268,-0.24008489,-0.73695318,-1.1269497,-0.80495867,-1.8998435,-0.77668668,-1.2016387,-0.68978679,-1.7709751,-3.000804,-3.3975955,-0.35770325,-0.59482508,-0.48990234,-0.17327656,-0.23207589,-0.40715692,-0.39686424,0.049628356,-0.41152665,-0.50614266,-1.6292218,-1.2640799,-0.030099129,-0.25704829,-0.79002682,-0.61557234,-0.19016518,0.020768707,-0.36143608,-0.57872551,0.070782936,0.10435441,-0.092271244,0.023384029,-0.24423327,-0.84270619,0.016456091,-0.33252723,-0.6699988,0.048474103,-0.44723139,0.074472389,-0.026736263,-1.7127554,-0.58840225,-0.0445617,-0.62406569,-0.10406856,-0.069331058,0.072788045,-0.52778069,-0.19181338,-0.97758432,0.0039984318,-0.033783639,-0.2699178,0.076614873,-1.9645032,0.10516297,-0.23219631,-0.23643484,-0.12593373,0.049298135,-0.10175089,-0.095687165,-0.041868457,-0.21672565,-0.81142501,-0.51017682,-0.26594882,0.032002154,-0.6228513,-0.032093555,-0.17662602,-0.41261485,-0.18517783,-0.46096054,-0.93188829,-0.41686425,0.0976096,-0.60366077,0.01344726,-0.53172704,-4.4754902,-0.069308442,-0.38978526,-0.44291559,-0.20880626,-0.061346162,-0.048232428,-0.27832085,-0.016293662,-0.77236418,0.087557767,-0.26085583,-0.44397265,-0.85041798,-0.11138452,-0.60593611,-0.4827517,-0.46205447,-0.74625849,-0.19591579,-0.86127246,-0.44728011,-0.75856718,-1.330691,-0.87601365,-0.66366052,-1.1028717,-0.20036455,-0.56992799,-0.6394635,-0.83344143,-0.2405104,0.090068677,0.0036876037,-0.063554328,0.10143048,-0.43788593,-0.046023382,-0.036999456,-1.0102762,-0.14187224,-0.40525067,-0.8798886,-0.41143297,-0.034177105,-0.26736444,-0.67792099,-0.58803964,-0.42932636,-0.7606432,-1.2348421,-1.1620184,0.036614301,-0.56809405,-0.38665405,-0.67441513,-0.16761586,-0.69075562,-3.9411288,-0.65674558,-1.153525,-0.43207942,-1.6939031,-0.10953993,-1.7891893,-0.039364136,-0.29898691,-1.3868317,-0.26007871,-0.179427,-0.58564352,0.040014979,-0.043781413,-0.35649314,-0.29233791,-0.2088451,-0.68676508,-1.1033012,0.065997235,-0.73109586,-0.35295458,-0.48386284,0.049129069,-0.27067338,-0.52014843,-0.08825986,-0.42786472,0.10232551,-0.4782433,0.10216509,-1.7608392,-0.55876321,-0.040808353,-0.16818847,0.088697445,-1.3769371,-0.29877318,-2.6598891,-0.23797449,0.038999173,-0.16344263,-0.3195004,0.062079058,-0.46434269,0.10019305,0.011028944,0.080684638,-0.028214724,0.0063039629,0.087755379,-0.14109484,-0.30930446,-0.3583734,-0.20819829,-0.37725946,-0.42489284,-1.1981183,-0.34494525,0.091492022,0.10243384,-0.19432266,-0.53661879,-0.37848277,-0.64707144,-0.63629366,-1.5033789,0.0061529042,0.014077091,0.068855153,-1.7479694,-2.4032541,-0.40093555,-1.0041327,-0.68164348,-0.31133681,-0.5057818,-0.40703269,-0.32259044,-1.1515063,-4.1322286,-1.0220809,-0.98809875,-3.544074,-2.8964657,-3.130607,-0.9315341,-0.048603324,-0.36087107,-0.15337173,-0.41034994,-0.050766786,-1.9773778,-0.48412615,-0.29380272,-0.43699979,-0.071136815,-0.28004184,-0.41594249,-1.9274175,-0.29083256,-0.49527869,-0.025449751,0.065408794,-0.52125834,-1.2983561,-0.14325312,0.092280569,-0.25513382,-0.42513514,-1.2408062,-0.55929683,-0.32240614,-0.14934135,-1.5629247
-184.44121,0.99994605,0.012616871,7,255,0,191.85358,0.055358856,1.288994,0.31160247,0.10782117,-0.7156207,-0.25467267,-3.542815,-0.411976,0.097865166,-0.16526821,-0.32441625,0.021044242,-0.23500548,-0.47100029,-0.70619471,-0.98867012,-0.24846538,-0.28970139,0.04891843,-2.8100282,-0.89363227,-0.22660857,-0.40850176,0.10987179,-2.3541834,0.048103633,-0.11605936,0.091539416,0.0023455242,-0.36623263,0.013820812,-0.39836232,-0.29892749,-0.17930834,-0.2694968,-0.64115981,0.07587184,-0.84603551,-0.22575654,-0.72062467,-1.1132793,-0.78933099,-1.8881912,-0.76338438,-1.1891565,-0.67418059,-1.7538337,-3.0006114,-3.3859374,-0.34116005,-0.57776932,-0.47184858,-0.1612938,-0.22078797,-0.39479862,-0.38520929,0.066338934,-0.39057983,-0.48688572,-1.6314309,-1.2622919,-0.011571375,-0.2459046,-0.77130558,-0.59802359,-0.17161717,0.03577628,-0.34623885,-0.5631461,0.083105482,0.10666569,-0.080818556,0.032295783,-0.23451779,-0.82012922,0.037024283,-0.31056783,-0.66295398,0.067917284,-0.42555301,0.067346066,-0.0078055157,-1.6835733,-0.56575153,-0.095071028,-0.61833457,-0.09680575,-0.063185207,0.07346978,-0.52491085,-0.16704717,-0.9763312,0.024372625,-0.068886904,-0.24621242,0.095543095,-2.612306,0.11657988,-0.22367723,-0.22883433,-0.11906025,0.051974499,-0.094406031,-0.087099866,-0.032615976,-0.2073967,-1.0611135,-0.50216466,-0.25671911,0.03874165,-0.61567021,-0.023649092,-0.16727943,-0.40400615,-0.17582926,-0.43778769,-0.90707849,-0.39373571,0.089694649,-0.59751627,0.02105548,-0.52360371,-4.8487933,-0.060193447,-0.38081613,-0.43423298,-0.20125616,-0.056403148,-0.043436998,-0.2753005,-0.04477609,-0.76921221,0.087385699,-0.25292112,-0.42256551,-0.82660362,-0.091839674,-0.58372098,-0.47605588,-0.45227831,-0.7284682,-0.18039486,-0.84399244,-0.43205558,-0.746935,-1.3264316,-0.85919458,-0.64933689,-1.0937697,-0.18902084,-0.56157522,-0.63211576,-0.82832391,-0.22946001,0.09355081,0.012794269,-0.053686789,0.09704866,-0.43087393,-0.037003358,-0.027459181,-0.99087613,-0.12334997,-0.39465446,-0.85999156,-0.39968075,-0.015750591,-0.24756298,-0.67035121,-0.56858853,-0.41166857,-0.74956426,-1.2269296,-1.156432,0.0079954396,-0.54677112,-0.37697585,-0.65295061,-0.14653192,-0.67018451,-3.8048241,-0.63575745,-1.1504669,-0.42259115,-1.6709763,-0.091149267,-1.767677,-0.027430812,-0.28676983,-1.3704956,-0.24272445,-0.16210977,-0.57186201,0.051771872,-0.029456315,-0.33976372,-0.27780011,-0.19360764,-0.67144504,-1.0863153,0.075283823,-0.72094277,-0.34091625,-0.47299646,0.066648944,-0.24968682,-0.51094329,-0.067202471,-0.40649571,0.11231837,-0.45707465,0.11354372,-1.7619866,-0.54801959,-0.022289293,-0.15519645,0.098807624,-1.3612064,-0.28172044,-2.6546976,-0.32808586,0.015285715,-0.14819465,-0.30431079,0.071940159,-0.45087185,0.10435316,0.023206447,0.088287642,-0.015181941,0.01861182,0.094921451,-0.12382059,-0.29559843,-0.34453931,-0.19395482,-0.36329415,-0.40717964,-1.1821075,-0.33089438,0.097956317,0.10117495,-0.18076348,-0.52450093,-0.36651914,-0.62820637,-0.62497365,-1.481229,0.01695821,-0.018291883,0.076002346,-1.7205087,-2.437861,-0.53802364,-1.0026621,-0.67436125,-0.3003241,-0.49556596,-0.39516287,-0.31156965,-1.1479311,-4.2747524,-1.0146344,-0.97823364,-3.6045325,-2.9320916,-3.1606216,-0.9147422,-0.03652552,-0.34624862,-0.22441083,-0.39763958,-0.040109063,-1.9810725,-0.47348833,-0.28306175,-0.42517114,-0.057821449,-0.26139255,-0.39857661,-1.9268233,-0.27855512,-0.48445403,-0.015401,0.071606623,-0.51178611,-1.2986739,-0.1341895,0.089700174,-0.23228635,-0.41758931,-1.2135269,-0.53571331,-0.3013462,-0.13732142,-1.5408763
