# stan_version_major = 2
# stan_version_minor = 37
# stan_version_patch = 0
# model = rlddm_single_subject_model
# start_datetime = 2025-09-24 20:50:36 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 3000
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.9998
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = dense_e
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /var/folders/s0/k9fg8kp94xl307gydfsd9gf00000gq/T/tmp6zuhf5dg/4m_uw6ms.json
# init = 2 (Default)
# random
#   seed = 2026
# output
#   file = /Users/jy4657/Desktop/Repositories/tst-stan/cmdstan_tmp/rlddm_single_subject-20250924165036_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.37.0
# stancflags = --filename-in-msg=rlddm_single_subject.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,a,t0,scaler,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46,log_lik.47,log_lik.48,log_lik.49,log_lik.50,log_lik.51,log_lik.52,log_lik.53,log_lik.54,log_lik.55,log_lik.56,log_lik.57,log_lik.58,log_lik.59,log_lik.60,log_lik.61,log_lik.62,log_lik.63,log_lik.64,log_lik.65,log_lik.66,log_lik.67,log_lik.68,log_lik.69,log_lik.70,log_lik.71,log_lik.72,log_lik.73,log_lik.74,log_lik.75,log_lik.76,log_lik.77,log_lik.78,log_lik.79,log_lik.80,log_lik.81,log_lik.82,log_lik.83,log_lik.84,log_lik.85,log_lik.86,log_lik.87,log_lik.88,log_lik.89,log_lik.90,log_lik.91,log_lik.92,log_lik.93,log_lik.94,log_lik.95,log_lik.96,log_lik.97,log_lik.98,log_lik.99,log_lik.100,log_lik.101,log_lik.102,log_lik.103,log_lik.104,log_lik.105,log_lik.106,log_lik.107,log_lik.108,log_lik.109,log_lik.110,log_lik.111,log_lik.112,log_lik.113,log_lik.114,log_lik.115,log_lik.116,log_lik.117,log_lik.118,log_lik.119,log_lik.120,log_lik.121,log_lik.122,log_lik.123,log_lik.124,log_lik.125,log_lik.126,log_lik.127,log_lik.128,log_lik.129,log_lik.130,log_lik.131,log_lik.132,log_lik.133,log_lik.134,log_lik.135,log_lik.136,log_lik.137,log_lik.138,log_lik.139,log_lik.140,log_lik.141,log_lik.142,log_lik.143,log_lik.144,log_lik.145,log_lik.146,log_lik.147,log_lik.148,log_lik.149,log_lik.150,log_lik.151,log_lik.152,log_lik.153,log_lik.154,log_lik.155,log_lik.156,log_lik.157,log_lik.158,log_lik.159,log_lik.160,log_lik.161,log_lik.162,log_lik.163,log_lik.164,log_lik.165,log_lik.166,log_lik.167,log_lik.168,log_lik.169,log_lik.170,log_lik.171,log_lik.172,log_lik.173,log_lik.174,log_lik.175,log_lik.176,log_lik.177,log_lik.178,log_lik.179,log_lik.180,log_lik.181,log_lik.182,log_lik.183,log_lik.184,log_lik.185,log_lik.186,log_lik.187,log_lik.188,log_lik.189,log_lik.190,log_lik.191,log_lik.192,log_lik.193,log_lik.194,log_lik.195,log_lik.196,log_lik.197,log_lik.198,log_lik.199,log_lik.200,log_lik.201,log_lik.202,log_lik.203,log_lik.204,log_lik.205,log_lik.206,log_lik.207,log_lik.208,log_lik.209,log_lik.210,log_lik.211,log_lik.212,log_lik.213,log_lik.214,log_lik.215,log_lik.216,log_lik.217,log_lik.218,log_lik.219,log_lik.220,log_lik.221,log_lik.222,log_lik.223,log_lik.224,log_lik.225,log_lik.226,log_lik.227,log_lik.228,log_lik.229,log_lik.230,log_lik.231,log_lik.232,log_lik.233,log_lik.234,log_lik.235,log_lik.236,log_lik.237,log_lik.238,log_lik.239,log_lik.240,log_lik.241,log_lik.242,log_lik.243,log_lik.244,log_lik.245,log_lik.246,log_lik.247,log_lik.248,log_lik.249,log_lik.250,log_lik.251,log_lik.252,log_lik.253,log_lik.254,log_lik.255,log_lik.256,log_lik.257,log_lik.258,log_lik.259,log_lik.260,log_lik.261,log_lik.262,log_lik.263,log_lik.264,log_lik.265,log_lik.266,log_lik.267,log_lik.268,log_lik.269,log_lik.270,log_lik.271,log_lik.272,log_lik.273,log_lik.274,log_lik.275,log_lik.276,log_lik.277,log_lik.278,log_lik.279,log_lik.280,log_lik.281,log_lik.282,log_lik.283,log_lik.284,log_lik.285,log_lik.286,log_lik.287,log_lik.288,log_lik.289,log_lik.290,log_lik.291,log_lik.292
# Adaptation terminated
# Step size = 0.0198334
# Elements of inverse mass matrix:
# 0.607241, 0.00375401, 0.00526299, -0.345381
# 0.00375401, 0.000541018, -0.000390346, -0.00153137
# 0.00526299, -0.000390346, 0.0397883, -0.00582097
# -0.345381, -0.00153137, -0.00582097, 0.270339
-187.38882,0.99976519,0.019833436,6,127,0,189.85329,0.021699513,1.2136156,0.31574947,0.17528317,-0.75440223,-0.2328076,-3.6947775,-0.41350426,0.19733007,-0.13036617,-0.12372112,0.17992053,-0.20863996,-0.48029356,-0.74420616,-1.0648046,-0.22606464,-0.089443221,0.12965462,-3.1051239,-0.96034829,-0.20355649,-0.40901399,0.21970263,-2.5860096,0.20074102,0.068513312,0.22457882,0.1664106,-0.3574101,0.083470833,-0.19198081,-0.28309565,-0.14542181,-0.25199818,-0.67303026,0.16473299,-0.90182527,-0.19843172,-0.76145158,-1.203368,-0.83834596,-2.0778666,-0.80766773,-1.2869076,-0.70814346,-1.9264145,-3.3382389,-3.7719293,-0.33220476,-0.60062401,-0.48149681,-0.12198317,-0.18979146,-0.38943937,-0.37803413,0.14376676,-0.39176844,-0.49888636,-1.7834696,-1.3666837,0.046514549,-0.21917244,-0.81871674,-0.62258464,-0.13982553,0.10786146,-0.33772043,-0.58430242,0.17177375,0.22065884,-0.027292836,0.11088563,-0.20287396,-0.88183489,0.10223322,-0.30385014,-0.68592149,0.14228267,-0.43417197,0.20838845,0.049768072,-1.8677394,-0.59404557,0.090433321,-0.63428411,-0.041428088,-0.00075090862,0.17458566,-0.52621009,-0.14243189,-1.0358932,0.087071728,0.10226467,-0.23181332,0.17896151,-2.5809068,0.22295084,-0.18944365,-0.19450582,-0.067175367,0.14357839,-0.039077627,-0.031929887,0.03161371,-0.17199789,-0.84891118,-0.5063073,-0.228381,0.12154421,-0.63416548,0.043251116,-0.12587084,-0.39549439,-0.13572601,-0.44826953,-0.97984484,-0.39834242,0.22130553,-0.61280104,0.098438224,-0.53097245,-5.3625358,-0.0010138663,-0.36969628,-0.43010288,-0.16301775,0.008391094,0.023939565,-0.24265112,0.12112105,-0.80409433,0.22168682,-0.22268299,-0.42916648,-0.88827549,-0.049344104,-0.61232227,-0.47501267,-0.45151508,-0.7712974,-0.14799917,-0.90116932,-0.43473757,-0.78786756,-1.4372322,-0.91781021,-0.67798407,-1.1737762,-0.1522076,-0.57195493,-0.65101226,-0.87092199,-0.19841449,0.19872143,0.086733311,0.0061386548,0.22347323,-0.42387564,0.026750184,0.037596595,-1.0709874,-0.085341046,-0.38625292,-0.9244613,-0.39273576,0.040886902,-0.22939742,-0.69544343,-0.59351467,-0.41377768,-0.78908504,-1.3259131,-1.2439627,0.17311775,-0.5703963,-0.36551965,-0.69066681,-0.11476816,-0.70958505,-4.3657365,-0.67069636,-1.235698,-0.41738048,-1.8410257,-0.047602562,-1.9506034,0.034783978,-0.26581076,-1.4957909,-0.22081271,-0.12839293,-0.59085486,0.13162958,0.029549021,-0.33058501,-0.25813613,-0.1622576,-0.7055638,-1.1767025,0.1651389,-0.75563035,-0.32695467,-0.47586679,0.14310826,-0.23277748,-0.51719493,-0.022573636,-0.41126366,0.21714548,-0.46838807,0.21653278,-1.9252939,-0.56101363,0.033279343,-0.11576945,0.19628153,-1.4855725,-0.26511835,-2.9342396,-0.1266034,0.17612981,-0.11005365,-0.2886703,0.16001049,-0.45331717,0.21497897,0.095654837,0.18510345,0.048182318,0.089874517,0.19519125,-0.084364371,-0.27737691,-0.33310052,-0.16187843,-0.35480767,-0.40842026,-1.2826747,-0.31805723,0.20098196,0.22593945,-0.14594338,-0.53552638,-0.35631842,-0.65958915,-0.64906543,-1.6269048,0.089617684,0.15037407,0.16925492,-1.8981253,-2.6674779,-0.32156171,-1.0669475,-0.70064832,-0.27995283,-0.50096289,-0.3885965,-0.29268923,-1.2337033,-4.7236286,-1.0863055,-1.0473267,-3.9920016,-3.2382489,-3.5058094,-0.98134751,0.023708384,-0.33631717,-0.029784395,-0.39305183,0.02094971,-2.1744641,-0.4768615,-0.26047642,-0.42338192,-0.0031019613,-0.24307901,-0.39768275,-2.119904,-0.25709724,-0.49007207,0.050944131,0.16487927,-0.52013319,-1.4063055,-0.08810151,0.20723497,-0.21350195,-0.41174711,-1.320613,-0.55693003,-0.2895231,-0.095613736,-1.6770237
-188.94135,0.99970287,0.019833436,6,63,0,189.23491,0.01000572,1.2094362,0.31679282,0.28347713,-0.75444934,-0.22920812,-3.944384,-0.41189555,0.20423593,-0.12602432,-0.12897139,0.18515362,-0.20428403,-0.47918019,-0.7442784,-1.0681226,-0.22248385,-0.092641511,0.13670007,-3.1056924,-0.96402042,-0.20055015,-0.40700549,0.22625228,-2.5930074,0.20707436,0.07132269,0.2320243,0.17242712,-0.3537189,0.090098841,-0.19834974,-0.27940469,-0.14115639,-0.24902034,-0.67314253,0.17161088,-0.9028975,-0.19415854,-0.76214178,-1.2065297,-0.8395561,-2.0870906,-0.80755554,-1.290731,-0.70831776,-1.9373348,-3.3513538,-3.7938897,-0.32962075,-0.60036491,-0.48068295,-0.11637287,-0.18437869,-0.38575325,-0.37399384,0.14876373,-0.39132309,-0.49881053,-1.7843259,-1.3661781,0.050764909,-0.21370252,-0.821164,-0.62300413,-0.13675858,0.11332875,-0.33438805,-0.58297478,0.17822043,0.22839054,-0.021228716,0.11825209,-0.19738772,-0.88544024,0.10640386,-0.30271387,-0.68298367,0.14659761,-0.43409388,0.2127719,0.054138533,-1.8833448,-0.59583498,0.095078562,-0.63006108,-0.033646167,0.0076952261,0.18460179,-0.52005428,-0.14151053,-1.0325018,0.090723965,0.10239681,-0.23147028,0.18239066,-2.7346048,0.22694878,-0.18228598,-0.18714581,-0.058656623,0.15387434,-0.030616087,-0.023856642,0.039732747,-0.1649563,-0.88197007,-0.50107474,-0.22168473,0.13069743,-0.62947993,0.051787108,-0.11853339,-0.38972396,-0.12845281,-0.4498215,-0.98697377,-0.39944061,0.23121002,-0.60774263,0.10719623,-0.52612277,-5.0857826,0.0069776911,-0.36403595,-0.42475986,-0.15614102,0.016452413,0.032117498,-0.23626807,0.12185238,-0.80035093,0.2254572,-0.21617921,-0.43004706,-0.89363178,-0.047064864,-0.6148814,-0.47026492,-0.44664537,-0.77499401,-0.14134432,-0.90618484,-0.42977942,-0.7845326,-1.4348618,-0.92299998,-0.68077588,-1.1818109,-0.1504536,-0.57308202,-0.65048785,-0.869188,-0.1936916,0.20808254,0.095506972,0.015754432,0.23473286,-0.41647714,0.036275928,0.045586392,-1.0769747,-0.081807909,-0.38189498,-0.92826212,-0.38873551,0.045081492,-0.22744999,-0.69211567,-0.59450341,-0.41268306,-0.787572,-1.3269509,-1.2435115,0.18031007,-0.57193055,-0.35979357,-0.69410121,-0.11271798,-0.71219443,-4.5031385,-0.67307582,-1.2340474,-0.41229268,-1.8562543,-0.044146,-1.9669526,0.041869174,-0.26074241,-1.5039938,-0.21820907,-0.12508628,-0.58857491,0.13891082,0.034737941,-0.32737132,-0.25501598,-0.1573044,-0.70645732,-1.1826447,0.1731155,-0.7529216,-0.32197165,-0.47162209,0.14718726,-0.23176729,-0.51255801,-0.020703941,-0.41304898,0.22120751,-0.47028943,0.2201515,-1.9200174,-0.55593101,0.035937509,-0.10848625,0.20095754,-1.4974461,-0.26419273,-2.9227076,-0.13336178,0.1832963,-0.1034204,-0.2831816,0.16916355,-0.448197,0.22451359,0.10358573,0.19241658,0.054785126,0.097201118,0.20202782,-0.07962521,-0.2745326,-0.33118985,-0.15850909,-0.35235635,-0.40632889,-1.2879794,-0.31478193,0.20816411,0.233122,-0.1409039,-0.53218082,-0.35027852,-0.66119581,-0.64588321,-1.6393915,0.097987705,0.15854258,0.17960849,-1.924774,-2.6411804,-0.32809392,-1.058752,-0.69403571,-0.27297974,-0.49450501,-0.38187483,-0.28498368,-1.2265756,-4.4878267,-1.080632,-1.0427002,-3.8817457,-3.1895756,-3.4504584,-0.9889974,0.032961538,-0.32926078,-0.027215356,-0.38603391,0.030385018,-2.1624669,-0.47032576,-0.25287036,-0.41724719,0.0049493082,-0.24294918,-0.39871874,-2.112456,-0.25026425,-0.48436583,0.05990112,0.17473666,-0.51450613,-1.400848,-0.079647147,0.21779652,-0.21353494,-0.40459671,-1.3341236,-0.56050467,-0.29055846,-0.087592816,-1.6940343
-187.61348,0.99970761,0.019833436,6,127,0,190.27153,0.018450992,1.2085674,0.3161215,0.16432024,-0.7574641,-0.23143537,-3.7367061,-0.41426948,0.20397442,-0.12806318,-0.11239406,0.19008074,-0.20655847,-0.48164733,-0.74722981,-1.0713749,-0.22466604,-0.077588129,0.13547633,-3.1152871,-0.9668668,-0.20252606,-0.40933805,0.2268925,-2.6016646,0.21069113,0.080376191,0.23369839,0.17760222,-0.35620554,0.088796719,-0.17955003,-0.28152363,-0.14344098,-0.25103697,-0.67572002,0.17073974,-0.90612454,-0.19633704,-0.76514397,-1.2101929,-0.84269334,-2.0920169,-0.81062533,-1.2949147,-0.71130543,-1.9422433,-3.3574653,-3.80074,-0.33185373,-0.60301785,-0.48323285,-0.11859867,-0.18667455,-0.38817227,-0.3763166,0.14751377,-0.39385956,-0.50176309,-1.788479,-1.3696145,0.048763582,-0.2153526,-0.82500476,-0.62641814,-0.13939346,0.11126134,-0.33595229,-0.58485155,0.17849925,0.22758688,-0.024082054,0.11606648,-0.20080223,-0.88665768,0.10648698,-0.3034454,-0.68795686,0.14725702,-0.43490924,0.21758981,0.053852949,-1.8815633,-0.59643045,0.10205771,-0.63539479,-0.037248155,0.0040410439,0.18219437,-0.5252945,-0.14171424,-1.0390192,0.090715474,0.11219403,-0.23186259,0.18359961,-2.5987864,0.22929989,-0.18645153,-0.19123962,-0.062584414,0.15106341,-0.034140783,-0.027142713,0.036875028,-0.16856467,-0.83898165,-0.50550831,-0.22542674,0.12816615,-0.63427893,0.048817582,-0.122029,-0.39386832,-0.13197295,-0.45078648,-0.98783426,-0.4003798,0.231257,-0.61237193,0.10480602,-0.53025185,-5.2320013,0.0041384846,-0.36777905,-0.42864329,-0.15941884,0.013645941,0.02936834,-0.23972603,0.13060061,-0.80523518,0.22953207,-0.21959259,-0.43125275,-0.89492076,-0.047796337,-0.6161724,-0.47429726,-0.45062073,-0.77624689,-0.1446259,-0.9074072,-0.4337146,-0.78941746,-1.442236,-0.92421565,-0.68202791,-1.1828371,-0.15133235,-0.57431054,-0.65215125,-0.87322702,-0.19588259,0.20648891,0.092466731,0.011185304,0.2330721,-0.42225082,0.031907791,0.042331916,-1.0775759,-0.082787689,-0.38572832,-0.92924475,-0.39285532,0.044811656,-0.22842532,-0.69707548,-0.5957499,-0.41413919,-0.79183488,-1.3327742,-1.2496506,0.18420064,-0.57303908,-0.36426483,-0.69447142,-0.11322195,-0.71315173,-4.4312016,-0.67423465,-1.2403282,-0.4163331,-1.8564425,-0.045059568,-1.9662222,0.039347673,-0.26387365,-1.5065304,-0.21987856,-0.12660183,-0.5921945,0.13720375,0.033493207,-0.33032851,-0.25673024,-0.16021816,-0.70827178,-1.1839572,0.17132787,-0.75788346,-0.3257935,-0.47563442,0.14755538,-0.23250533,-0.51697924,-0.020494115,-0.41307491,0.22322514,-0.47052008,0.2223375,-1.9331949,-0.56101836,0.03613625,-0.11246013,0.20229906,-1.4964933,-0.26466837,-2.9511682,-0.11513827,0.1866832,-0.10722967,-0.28743469,0.16637058,-0.45316926,0.22277895,0.10098669,0.19184302,0.052905115,0.095127333,0.20216704,-0.082020779,-0.27623474,-0.33270648,-0.15968517,-0.35430421,-0.40887739,-1.2912832,-0.31724003,0.207945,0.23425151,-0.14305584,-0.53551142,-0.35448968,-0.66353046,-0.64959185,-1.6412184,0.095735547,0.16261194,0.17679381,-1.9193428,-2.6681966,-0.30787851,-1.0688246,-0.70089307,-0.27748019,-0.50018632,-0.38728752,-0.2903518,-1.2371543,-4.6716225,-1.0895362,-1.0508338,-3.9794505,-3.2380767,-3.5061704,-0.98806266,0.028806031,-0.33449253,-0.016736229,-0.39113064,0.02650083,-2.1815014,-0.47561759,-0.25734894,-0.42184381,0.0017588581,-0.24338935,-0.39914132,-2.126781,-0.25413481,-0.48862911,0.057260245,0.17295694,-0.51841295,-1.4082237,-0.082605602,0.21751379,-0.21510102,-0.40809345,-1.3362927,-0.56269436,-0.29244417,-0.089605821,-1.6986394
