# stan_version_major = 2
# stan_version_minor = 37
# stan_version_patch = 0
# model = rlddm_single_subject_model
# start_datetime = 2025-09-24 21:31:25 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 3000
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.9998
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = dense_e
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/s0/k9fg8kp94xl307gydfsd9gf00000gq/T/tmpwo5r69kv/x4gbwd16.json
# init = 2 (Default)
# random
#   seed = 2026
# output
#   file = /Users/jy4657/Desktop/Repositories/tst-stan/cmdstan_tmp/rlddm_single_subject-20250924173125_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.37.0
# stancflags = --filename-in-msg=rlddm_single_subject.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,a,t0,scaler,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46,log_lik.47,log_lik.48,log_lik.49,log_lik.50,log_lik.51,log_lik.52,log_lik.53,log_lik.54,log_lik.55,log_lik.56,log_lik.57,log_lik.58,log_lik.59,log_lik.60,log_lik.61,log_lik.62,log_lik.63,log_lik.64,log_lik.65,log_lik.66,log_lik.67,log_lik.68,log_lik.69,log_lik.70,log_lik.71,log_lik.72,log_lik.73,log_lik.74,log_lik.75,log_lik.76,log_lik.77,log_lik.78,log_lik.79,log_lik.80,log_lik.81,log_lik.82,log_lik.83,log_lik.84,log_lik.85,log_lik.86,log_lik.87,log_lik.88,log_lik.89,log_lik.90,log_lik.91,log_lik.92,log_lik.93,log_lik.94,log_lik.95,log_lik.96,log_lik.97,log_lik.98,log_lik.99,log_lik.100,log_lik.101,log_lik.102,log_lik.103,log_lik.104,log_lik.105,log_lik.106,log_lik.107,log_lik.108,log_lik.109,log_lik.110,log_lik.111,log_lik.112,log_lik.113,log_lik.114,log_lik.115,log_lik.116,log_lik.117,log_lik.118,log_lik.119,log_lik.120,log_lik.121,log_lik.122,log_lik.123,log_lik.124,log_lik.125,log_lik.126,log_lik.127,log_lik.128,log_lik.129,log_lik.130,log_lik.131,log_lik.132,log_lik.133,log_lik.134,log_lik.135,log_lik.136,log_lik.137,log_lik.138,log_lik.139,log_lik.140,log_lik.141,log_lik.142,log_lik.143,log_lik.144,log_lik.145,log_lik.146,log_lik.147,log_lik.148,log_lik.149,log_lik.150,log_lik.151,log_lik.152,log_lik.153,log_lik.154,log_lik.155,log_lik.156,log_lik.157,log_lik.158,log_lik.159,log_lik.160,log_lik.161,log_lik.162,log_lik.163,log_lik.164,log_lik.165,log_lik.166,log_lik.167,log_lik.168,log_lik.169,log_lik.170,log_lik.171,log_lik.172,log_lik.173,log_lik.174,log_lik.175,log_lik.176,log_lik.177,log_lik.178,log_lik.179,log_lik.180,log_lik.181,log_lik.182,log_lik.183,log_lik.184,log_lik.185,log_lik.186,log_lik.187,log_lik.188,log_lik.189,log_lik.190,log_lik.191,log_lik.192,log_lik.193,log_lik.194,log_lik.195,log_lik.196,log_lik.197,log_lik.198,log_lik.199,log_lik.200,log_lik.201,log_lik.202,log_lik.203,log_lik.204,log_lik.205,log_lik.206,log_lik.207,log_lik.208,log_lik.209,log_lik.210,log_lik.211,log_lik.212,log_lik.213,log_lik.214,log_lik.215,log_lik.216,log_lik.217,log_lik.218,log_lik.219,log_lik.220,log_lik.221,log_lik.222,log_lik.223,log_lik.224,log_lik.225,log_lik.226,log_lik.227,log_lik.228,log_lik.229,log_lik.230,log_lik.231,log_lik.232,log_lik.233,log_lik.234,log_lik.235,log_lik.236,log_lik.237,log_lik.238,log_lik.239,log_lik.240,log_lik.241,log_lik.242,log_lik.243,log_lik.244,log_lik.245,log_lik.246,log_lik.247,log_lik.248,log_lik.249,log_lik.250,log_lik.251,log_lik.252,log_lik.253,log_lik.254,log_lik.255,log_lik.256,log_lik.257,log_lik.258,log_lik.259,log_lik.260,log_lik.261,log_lik.262,log_lik.263,log_lik.264,log_lik.265,log_lik.266,log_lik.267,log_lik.268,log_lik.269,log_lik.270,log_lik.271,log_lik.272,log_lik.273,log_lik.274,log_lik.275,log_lik.276,log_lik.277,log_lik.278,log_lik.279,log_lik.280,log_lik.281,log_lik.282,log_lik.283,log_lik.284,log_lik.285,log_lik.286,log_lik.287,log_lik.288,log_lik.289,log_lik.290,log_lik.291,log_lik.292
# Adaptation terminated
# Step size = 0.134757
# Elements of inverse mass matrix:
# 0.451601, 0.00276602, 0.000740279, -0.265611
# 0.00276602, 0.00051583, -0.000634029, -0.000668579
# 0.000740279, -0.000634029, 0.0356953, -0.000116193
# -0.265611, -0.000668579, -0.000116193, 0.220355
-187.10773,0.99913554,0.13475732,5,31,0,187.38549,0.037931248,1.1983822,0.31766376,0.1192017,-0.76123941,-0.2261232,-4.0737108,-0.41112523,0.21893335,-0.12087267,-0.1033221,0.20729371,-0.20157977,-0.47961447,-0.75063181,-1.078807,-0.21910107,-0.068290278,0.14734625,-3.1879015,-0.97082888,-0.19549355,-0.40648096,0.24375817,-2.6491008,0.22725253,0.093895962,0.24981881,0.1932146,-0.35426499,0.099875991,-0.17444248,-0.27732849,-0.13690396,-0.24514778,-0.67686662,0.18413866,-0.91236335,-0.19096193,-0.76819244,-1.221601,-0.84722318,-2.118347,-0.81591737,-1.3082097,-0.71380888,-1.9623779,-3.4130427,-3.8530838,-0.32781532,-0.60309219,-0.48098504,-0.11284947,-0.18248587,-0.38699307,-0.37521311,0.16212678,-0.38894487,-0.49936845,-1.8189315,-1.3903274,0.060764911,-0.21145083,-0.8278968,-0.62681845,-0.13147624,0.12356288,-0.33234822,-0.58515737,0.19376119,0.24172382,-0.016944565,0.12614292,-0.19799009,-0.88772933,0.12197208,-0.29592086,-0.69508082,0.16409414,-0.42951076,0.23800481,0.067096378,-1.8912014,-0.59278096,0.11402865,-0.64264244,-0.032613904,0.0090737313,0.19156399,-0.53206674,-0.12995513,-1.055815,0.10575619,0.13160393,-0.22205179,0.20228211,-2.7844876,0.24936267,-0.18465365,-0.1898457,-0.058999907,0.15941976,-0.029541358,-0.021763138,0.044226934,-0.16581268,-0.87256088,-0.50945519,-0.22379072,0.1373606,-0.64091446,0.056068086,-0.11835682,-0.39555579,-0.12849827,-0.44470874,-0.98826719,-0.39358176,0.24427107,-0.61900605,0.11368112,-0.53435547,-6.0128832,0.010689617,-0.36862571,-0.43069686,-0.15619098,0.020402539,0.036469689,-0.23815064,0.14982434,-0.81516714,0.25015482,-0.217541,-0.42559686,-0.89540152,-0.035861523,-0.61272946,-0.47696574,-0.45281946,-0.77564791,-0.13956112,-0.90775732,-0.43464921,-0.79998065,-1.4743409,-0.92338338,-0.681113,-1.1924002,-0.14574362,-0.57855465,-0.65974444,-0.88600429,-0.19347212,0.21812425,0.10076203,0.01755411,0.24612222,-0.42603843,0.03908497,0.050184463,-1.0828968,-0.072952601,-0.38603629,-0.93180819,-0.39294373,0.057742057,-0.22056657,-0.7043687,-0.59375135,-0.41033155,-0.79864626,-1.3504892,-1.2674604,0.19842041,-0.56975857,-0.3647465,-0.6928213,-0.10272737,-0.71212665,-4.3407574,-0.67256046,-1.259508,-0.41768614,-1.8697283,-0.034442192,-1.981377,0.04804757,-0.26120997,-1.519644,-0.21323075,-0.11829563,-0.59436796,0.14917117,0.044012946,-0.32676057,-0.25186296,-0.15443964,-0.71007166,-1.1915728,0.18367171,-0.76508183,-0.32463748,-0.47748329,0.16361285,-0.22401868,-0.52047432,-0.0076340943,-0.40657788,0.24182708,-0.46520294,0.24143766,-1.9711261,-0.56512708,0.049331913,-0.1075108,0.21892463,-1.5073773,-0.25802425,-3.0120562,-0.10543219,0.20239614,-0.10117098,-0.28474123,0.17799603,-0.45427025,0.23648459,0.11084688,0.2044463,0.061636476,0.10484422,0.21516444,-0.072007453,-0.2724486,-0.33067495,-0.15315938,-0.35125168,-0.40543706,-1.3030942,-0.31353708,0.22306316,0.25065585,-0.13799602,-0.53898783,-0.35482086,-0.66159433,-0.65473015,-1.6475069,0.10476356,0.17634178,0.18845464,-1.9251236,-2.7578466,-0.3127483,-1.0885756,-0.71008585,-0.27690637,-0.50405863,-0.38844322,-0.2902283,-1.2588626,-5.0507309,-1.1058293,-1.0648007,-4.1706774,-3.3499333,-3.6258395,-0.99156311,0.036377302,-0.33310706,-0.0068995388,-0.39135413,0.033578431,-2.2281568,-0.47829994,-0.25593106,-0.42274752,0.0098140766,-0.23593386,-0.39463431,-2.1671488,-0.25164572,-0.49082218,0.065754104,0.18453131,-0.52150646,-1.4329517,-0.077805615,0.23027013,-0.20609687,-0.41031953,-1.3397295,-0.55837104,-0.28601854,-0.082797975,-1.7124528
-188.62021,0.99343469,0.13475732,4,31,0,190.61297,0.038157595,1.1976175,0.32086051,0.16481631,-0.75093745,-0.21521185,-5.3009912,-0.39915805,0.22606113,-0.10993077,-0.16864396,0.1941342,-0.19169823,-0.46767511,-0.74020062,-1.0668794,-0.20810572,-0.12845361,0.15571041,-3.2143842,-0.95695437,-0.1832701,-0.39534074,0.24918829,-2.6484983,0.21813069,0.059931624,0.2482746,0.17632404,-0.34539214,0.10860423,-0.25319681,-0.26774614,-0.1256405,-0.23368517,-0.66572125,0.1925251,-0.90222913,-0.18091626,-0.75664076,-1.2118546,-0.83577897,-2.1097036,-0.80686775,-1.2975752,-0.70241338,-1.9467109,-3.4204232,-3.8450916,-0.31665814,-0.59125423,-0.46828162,-0.10403067,-0.17442203,-0.37887418,-0.36782795,0.17506689,-0.37381623,-0.48461721,-1.8258819,-1.3929773,0.07516286,-0.20538936,-0.81190146,-0.61238534,-0.11687678,0.13663256,-0.32421761,-0.57687852,0.20076214,0.24774622,-0.0060060444,0.13549916,-0.18807753,-0.87599214,0.13332987,-0.28427292,-0.68573127,0.17451418,-0.41798024,0.23202454,0.077820687,-1.8793783,-0.5808683,0.083602719,-0.63419371,-0.023901267,0.017304154,0.19661073,-0.52587935,-0.11598727,-1.0508709,0.11798917,0.10612667,-0.20826321,0.21359746,-3.5197727,0.25629634,-0.17614758,-0.18203807,-0.051472459,0.16460548,-0.02220215,-0.013967297,0.052245541,-0.1578805,-1.0852807,-0.50241804,-0.21594585,0.14410817,-0.6344035,0.063688179,-0.11038485,-0.38813618,-0.12053193,-0.42994207,-0.97200238,-0.37887403,0.24210448,-0.61330051,0.12056725,-0.52767653,-7.9242938,0.018308463,-0.36136499,-0.42363524,-0.14846578,0.027986734,0.043985044,-0.23069967,0.12780251,-0.80982449,0.24820948,-0.20990727,-0.41135598,-0.88023367,-0.021929887,-0.59800727,-0.46935385,-0.44513196,-0.7616565,-0.13057187,-0.8934506,-0.42638239,-0.79394246,-1.4747971,-0.90857032,-0.66782732,-1.1795642,-0.13402313,-0.56786154,-0.64997593,-0.87763976,-0.18311849,0.22400732,0.10980037,0.026567128,0.24643654,-0.41850767,0.047609748,0.059257892,-1.0711813,-0.061683354,-0.3762731,-0.92120078,-0.38190863,0.068561455,-0.20880336,-0.69593404,-0.58223105,-0.39934294,-0.78956657,-1.3429092,-1.2608881,0.18262284,-0.55694454,-0.35599451,-0.67993951,-0.089978109,-0.70005593,-4.2749799,-0.65978684,-1.2551634,-0.40956359,-1.8539221,-0.02251469,-1.9675628,0.057559677,-0.25201163,-1.5073742,-0.20129261,-0.10636314,-0.58441606,0.15824635,0.054477065,-0.31520708,-0.24167913,-0.14340367,-0.69983405,-1.1808102,0.19186988,-0.75626869,-0.31490385,-0.46866482,0.17492679,-0.21098849,-0.51240206,0.0056715807,-0.39289084,0.24944015,-0.45168932,0.249677,-1.9718318,-0.55709496,0.061856732,-0.0979304,0.22696326,-1.4956392,-0.24628368,-3.0073178,-0.1715744,0.18817027,-0.090437437,-0.27409023,0.18611671,-0.4444113,0.24125036,0.12022075,0.21158718,0.071440171,0.11428521,0.22173453,-0.060392393,-0.26232124,-0.32062297,-0.14293417,-0.34122914,-0.39390201,-1.2917885,-0.30346162,0.22912299,0.25182408,-0.12844598,-0.53010946,-0.34616482,-0.64859642,-0.64690921,-1.6318952,0.11297573,0.15606155,0.19437067,-1.9034341,-2.7865823,-0.41694821,-1.085703,-0.70383153,-0.26850282,-0.49624137,-0.37957808,-0.28170049,-1.2555823,-5.2955471,-1.1002865,-1.05795,-4.2567356,-3.393541,-3.6716939,-0.97904099,0.045137033,-0.32395634,-0.057894168,-0.38357919,0.041244999,-2.2343413,-0.4710982,-0.24864039,-0.41522613,0.018399734,-0.22229487,-0.38162848,-2.1735369,-0.24400219,-0.4844854,0.072205338,0.18892393,-0.51646075,-1.4376084,-0.072358663,0.22906487,-0.18896018,-0.40730018,-1.3136592,-0.53904055,-0.26824901,-0.077958929,-1.6815795
-186.71481,0.99941196,0.13475732,4,15,0,189.37211,0.026019885,1.2045349,0.3174158,0.17856199,-0.75659333,-0.22701175,-4.0748845,-0.40995026,0.21121977,-0.12292577,-0.12175406,0.19392729,-0.20291309,-0.47773188,-0.7461771,-1.0707181,-0.22011852,-0.086288063,0.14139981,-3.1603651,-0.96379987,-0.19670522,-0.40572654,0.23458207,-2.6202192,0.21503665,0.078088322,0.23911443,0.17925695,-0.35436723,0.094202397,-0.19422359,-0.27854969,-0.1381746,-0.24619142,-0.6735679,0.17763118,-0.90623745,-0.1924524,-0.76319306,-1.2123411,-0.84125907,-2.1000549,-0.81117545,-1.2968052,-0.70919911,-1.9430887,-3.3867444,-3.8188528,-0.32777266,-0.59986785,-0.47865744,-0.11531724,-0.1845153,-0.38715316,-0.37585439,0.1575534,-0.38663653,-0.49555276,-1.8085747,-1.3835442,0.058385554,-0.21494641,-0.81956011,-0.62125937,-0.13126539,0.12051155,-0.33440228,-0.58459327,0.18485096,0.23513787,-0.018416924,0.1221802,-0.19741748,-0.88465355,0.11485842,-0.29832663,-0.6881477,0.15578185,-0.43061301,0.22389635,0.060869905,-1.8836503,-0.59254196,0.10046696,-0.63626098,-0.033897696,0.0073080335,0.18612146,-0.52756288,-0.13339049,-1.045443,0.099621697,0.11502201,-0.22427022,0.19406232,-2.8006381,0.23906677,-0.18454166,-0.18994189,-0.06062169,0.154063,-0.031986538,-0.024458735,0.040495633,-0.16687734,-0.89432337,-0.50674723,-0.22420202,0.13208537,-0.63677289,0.052184485,-0.11997057,-0.39408452,-0.12999329,-0.44362977,-0.98195057,-0.39301229,0.23444847,-0.61539729,0.10849208,-0.53183273,-5.8142647,0.007092431,-0.36785926,-0.42927088,-0.15774251,0.016671606,0.032511782,-0.23870713,0.13460943,-0.80966871,0.23821152,-0.21840676,-0.42455019,-0.88971974,-0.039002136,-0.61020867,-0.47454037,-0.4506567,-0.77174835,-0.14215314,-0.90332362,-0.43360396,-0.79263451,-1.4577763,-0.91926407,-0.67643944,-1.1781778,-0.14462235,-0.57259624,-0.65324455,-0.87718798,-0.1932308,0.21138214,0.096772202,0.014443668,0.23671525,-0.42366464,0.035781547,0.047032344,-1.0766662,-0.07670634,-0.38367905,-0.92832937,-0.38981371,0.051840467,-0.22281554,-0.69818116,-0.59237738,-0.4103666,-0.79265888,-1.3382024,-1.2556355,0.18587923,-0.5683388,-0.36306274,-0.6902816,-0.10594939,-0.70977535,-4.369918,-0.67009151,-1.2482901,-0.41590899,-1.855432,-0.038073549,-1.967297,0.044404082,-0.26146828,-1.5074333,-0.21426456,-0.1203791,-0.59103554,0.14355741,0.039801042,-0.32616459,-0.25288192,-0.15552555,-0.70676643,-1.184214,0.17771272,-0.75902285,-0.32349094,-0.47499429,0.15679663,-0.22568913,-0.51734774,-0.011846415,-0.40634059,0.23285438,-0.46449215,0.23244874,-1.9517208,-0.56194141,0.044783955,-0.10913868,0.21085248,-1.4965301,-0.25903174,-2.9759064,-0.12460016,0.18950337,-0.10281229,-0.28431852,0.17216376,-0.45188003,0.22864168,0.10638234,0.19788942,0.05796637,0.10048327,0.20825233,-0.075363576,-0.27243602,-0.32963315,-0.155048,-0.35102676,-0.40489486,-1.2925285,-0.31370433,0.21491325,0.24079308,-0.13969708,-0.53626289,-0.35431857,-0.65803733,-0.65123525,-1.6363824,0.099571706,0.16195252,0.18122155,-1.908301,-2.7246819,-0.33260111,-1.078584,-0.7048508,-0.27663228,-0.50130609,-0.38679049,-0.28959735,-1.2476202,-4.9354307,-1.096688,-1.0563724,-4.1078824,-3.3118898,-3.5861457,-0.98493564,0.032518654,-0.33362433,-0.025096387,-0.39173659,0.029349848,-2.2080536,-0.47686454,-0.25705383,-0.42229474,0.0053945342,-0.23597582,-0.39310874,-2.1516732,-0.25330635,-0.49035678,0.059837177,0.17627336,-0.52131571,-1.4254162,-0.082289334,0.21932535,-0.20480143,-0.41211781,-1.3233667,-0.55228527,-0.28156489,-0.090115045,-1.6823199
