# stan_version_major = 2
# stan_version_minor = 37
# stan_version_patch = 0
# model = rlddm_single_subject_model
# start_datetime = 2025-09-24 21:53:02 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 3000
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.9998
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = dense_e
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/s0/k9fg8kp94xl307gydfsd9gf00000gq/T/tmpujiae32z/azys1umw.json
# init = 2 (Default)
# random
#   seed = 2026
# output
#   file = /Users/jy4657/Desktop/Repositories/tst-stan/cmdstan_tmp/rlddm_single_subject-20250924175302_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.37.0
# stancflags = --filename-in-msg=rlddm_single_subject.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,a,t0,scaler,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46,log_lik.47,log_lik.48,log_lik.49,log_lik.50,log_lik.51,log_lik.52,log_lik.53,log_lik.54,log_lik.55,log_lik.56,log_lik.57,log_lik.58,log_lik.59,log_lik.60,log_lik.61,log_lik.62,log_lik.63,log_lik.64,log_lik.65,log_lik.66,log_lik.67,log_lik.68,log_lik.69,log_lik.70,log_lik.71,log_lik.72,log_lik.73,log_lik.74,log_lik.75,log_lik.76,log_lik.77,log_lik.78,log_lik.79,log_lik.80,log_lik.81,log_lik.82,log_lik.83,log_lik.84,log_lik.85,log_lik.86,log_lik.87,log_lik.88,log_lik.89,log_lik.90,log_lik.91,log_lik.92,log_lik.93,log_lik.94,log_lik.95,log_lik.96,log_lik.97,log_lik.98,log_lik.99,log_lik.100,log_lik.101,log_lik.102,log_lik.103,log_lik.104,log_lik.105,log_lik.106,log_lik.107,log_lik.108,log_lik.109,log_lik.110,log_lik.111,log_lik.112,log_lik.113,log_lik.114,log_lik.115,log_lik.116,log_lik.117,log_lik.118,log_lik.119,log_lik.120,log_lik.121,log_lik.122,log_lik.123,log_lik.124,log_lik.125,log_lik.126,log_lik.127,log_lik.128,log_lik.129,log_lik.130,log_lik.131,log_lik.132,log_lik.133,log_lik.134,log_lik.135,log_lik.136,log_lik.137,log_lik.138,log_lik.139,log_lik.140,log_lik.141,log_lik.142,log_lik.143,log_lik.144,log_lik.145,log_lik.146,log_lik.147,log_lik.148,log_lik.149,log_lik.150,log_lik.151,log_lik.152,log_lik.153,log_lik.154,log_lik.155,log_lik.156,log_lik.157,log_lik.158,log_lik.159,log_lik.160,log_lik.161,log_lik.162,log_lik.163,log_lik.164,log_lik.165,log_lik.166,log_lik.167,log_lik.168,log_lik.169,log_lik.170,log_lik.171,log_lik.172,log_lik.173,log_lik.174,log_lik.175,log_lik.176,log_lik.177,log_lik.178,log_lik.179,log_lik.180,log_lik.181,log_lik.182,log_lik.183,log_lik.184,log_lik.185,log_lik.186,log_lik.187,log_lik.188,log_lik.189,log_lik.190,log_lik.191,log_lik.192,log_lik.193,log_lik.194,log_lik.195,log_lik.196,log_lik.197,log_lik.198,log_lik.199,log_lik.200,log_lik.201,log_lik.202,log_lik.203,log_lik.204,log_lik.205,log_lik.206,log_lik.207,log_lik.208,log_lik.209,log_lik.210,log_lik.211,log_lik.212,log_lik.213,log_lik.214,log_lik.215,log_lik.216,log_lik.217,log_lik.218,log_lik.219,log_lik.220,log_lik.221,log_lik.222,log_lik.223,log_lik.224,log_lik.225,log_lik.226,log_lik.227,log_lik.228,log_lik.229,log_lik.230,log_lik.231,log_lik.232,log_lik.233,log_lik.234,log_lik.235,log_lik.236,log_lik.237,log_lik.238,log_lik.239,log_lik.240,log_lik.241,log_lik.242,log_lik.243,log_lik.244,log_lik.245,log_lik.246,log_lik.247,log_lik.248,log_lik.249,log_lik.250,log_lik.251,log_lik.252,log_lik.253,log_lik.254,log_lik.255,log_lik.256,log_lik.257,log_lik.258,log_lik.259,log_lik.260,log_lik.261,log_lik.262,log_lik.263,log_lik.264,log_lik.265,log_lik.266,log_lik.267,log_lik.268,log_lik.269,log_lik.270,log_lik.271,log_lik.272,log_lik.273,log_lik.274,log_lik.275,log_lik.276,log_lik.277,log_lik.278,log_lik.279,log_lik.280,log_lik.281,log_lik.282,log_lik.283,log_lik.284,log_lik.285,log_lik.286,log_lik.287,log_lik.288,log_lik.289,log_lik.290,log_lik.291,log_lik.292
# Adaptation terminated
# Step size = 0.134757
# Elements of inverse mass matrix:
# 0.451601, 0.00276602, 0.000740279, -0.265611
# 0.00276602, 0.00051583, -0.000634029, -0.000668579
# 0.000740279, -0.000634029, 0.0356953, -0.000116193
# -0.265611, -0.000668579, -0.000116193, 0.220355
-187.10773,0.99913554,0.13475732,5,31,0,187.38549,0.037931248,1.1983822,0.31766376,0.1192017,-0.76123941,-0.2261232,-4.0723563,-0.41431609,0.21762837,-0.12224372,-0.1033221,0.2085471,-0.19891743,-0.4811252,-0.75063181,-1.0812147,-0.21910107,-0.069407208,0.14734625,-3.1698253,-0.97082888,-0.19438494,-0.40405974,0.24673657,-2.6885604,0.22437723,0.092015665,0.24889658,0.1932146,-0.35323001,0.10163076,-0.17270384,-0.27446723,-0.13866958,-0.24424816,-0.67567844,0.18413866,-0.91377119,-0.18929437,-0.77061761,-1.2234134,-0.84722318,-2.1225863,-0.81591737,-1.31003,-0.71380888,-1.9657091,-3.4130427,-3.8746448,-0.32635797,-0.60223854,-0.48098504,-0.11348436,-0.18248587,-0.38630197,-0.37386396,0.16046403,-0.39022146,-0.50138873,-1.8121117,-1.3844294,0.058222507,-0.20815902,-0.8310654,-0.62879637,-0.13343014,0.12126853,-0.33026363,-0.58335235,0.19550061,0.23959844,-0.018653641,0.12490805,-0.19972966,-0.88495223,0.12394237,-0.29332033,-0.69852792,0.16674609,-0.4268138,0.24023134,0.068934881,-1.8813942,-0.58946025,0.11156731,-0.64550006,-0.0342761,0.0083861537,0.19127004,-0.5312617,-0.1309719,-1.0530922,0.10409189,0.12908249,-0.22569127,0.19813333,-2.7873945,0.24839398,-0.18360243,-0.18843883,-0.056768202,0.16189968,-0.026691615,-0.018624582,0.047608513,-0.16137902,-0.86842335,-0.50412143,-0.2196221,0.13980933,-0.63532098,0.058722227,-0.11407675,-0.38898645,-0.12123115,-0.45367917,-1.0018707,-0.40369475,0.25146592,-0.61081496,0.1184658,-0.52987414,-5.5379708,0.014350564,-0.3627807,-0.42612502,-0.15346151,0.021849848,0.039274409,-0.23623736,0.14652381,-0.80709201,0.24643765,-0.21205499,-0.43355403,-0.90432944,-0.042417564,-0.62029658,-0.47245218,-0.44684648,-0.78513536,-0.13327795,-0.91912736,-0.42626529,-0.78816499,-1.4507552,-0.93805798,-0.69199577,-1.2082061,-0.15223981,-0.58600914,-0.66683139,-0.89361197,-0.19754031,0.21488914,0.097502408,0.014782148,0.24390151,-0.42923974,0.036037592,0.046775484,-1.0769679,-0.069626467,-0.39027591,-0.92482687,-0.39794363,0.061507862,-0.21700316,-0.70977502,-0.58946901,-0.40703257,-0.80248613,-1.3569443,-1.274161,0.19548151,-0.56588162,-0.36820722,-0.68855677,-0.099688751,-0.70738813,-4.183453,-0.6685221,-1.2656898,-0.42068333,-1.8603566,-0.032026114,-1.9696034,0.045643853,-0.26347227,-1.5142638,-0.21139232,-0.1165171,-0.59703792,0.14721173,0.045671446,-0.32890634,-0.24979222,-0.15667719,-0.70693525,-1.1862284,0.18133915,-0.76908693,-0.3275558,-0.48031211,0.16604423,-0.22138316,-0.52366218,-0.0049647081,-0.40243326,0.24503145,-0.46209073,0.24479332,-1.9869474,-0.56931347,0.052447992,-0.1109327,0.22189864,-1.4980877,-0.25474345,-3.0574234,-0.10231042,0.19926871,-0.10444524,-0.28825734,0.17471636,-0.45832749,0.23321246,0.10755179,0.20117053,0.058323652,0.10154729,0.21188999,-0.06864019,-0.2761056,-0.33444197,-0.15664103,-0.3550616,-0.4015546,-1.2947654,-0.31726999,0.22127637,0.24789074,-0.1406765,-0.54231836,-0.35751232,-0.6583396,-0.65804657,-1.6393379,0.10244151,0.17426241,0.18636611,-1.9148237,-2.7842015,-0.31487694,-1.0951927,-0.71445712,-0.27992802,-0.50752145,-0.39175099,-0.29346279,-1.2655718,-5.3659028,-1.1112041,-1.0695907,-4.2414953,-3.3771491,-3.6573654,-0.98752172,0.034753825,-0.3342309,-0.0077173194,-0.39215439,0.032460388,-2.2411618,-0.48062741,-0.25782601,-0.42465702,0.0083469076,-0.23492667,-0.39279031,-2.1760781,-0.25312373,-0.49237704,0.064630256,0.18341981,-0.52281692,-1.4350881,-0.078446558,0.22975485,-0.20565671,-0.4095533,-1.3415672,-0.55939955,-0.28676932,-0.081984,-1.715635
-188.62021,0.99343469,0.13475732,4,31,0,190.61297,0.038157595,1.1976175,0.32086051,0.16481631,-0.75093745,-0.21521185,-5.2991085,-0.40356205,0.2242475,-0.11183138,-0.16864396,0.19587543,-0.18801028,-0.46975626,-0.74020062,-1.0701855,-0.20810572,-0.13000456,0.15571041,-3.1886252,-0.95695437,-0.18174104,-0.39200573,0.25331708,-2.7038457,0.21414022,0.05732209,0.24699472,0.17632404,-0.34396025,0.11103765,-0.25078583,-0.26379289,-0.12808013,-0.23244526,-0.66409007,0.1925251,-0.90416504,-0.17861247,-0.75996894,-1.2143459,-0.83577897,-2.1155372,-0.80686775,-1.3000719,-0.70241338,-1.9512463,-3.4204232,-3.8748519,-0.31465395,-0.59008514,-0.46828162,-0.10490918,-0.17442203,-0.37791937,-0.36596203,0.17277602,-0.37555683,-0.48737021,-1.8162631,-1.3846971,0.07165282,-0.20081245,-0.81619554,-0.61507696,-0.11955343,0.13347483,-0.32134211,-0.57439421,0.2031645,0.24481355,-0.0083611016,0.13379491,-0.19047397,-0.87220741,0.13604155,-0.28071051,-0.69046752,0.17816507,-0.41429209,0.23509348,0.080351588,-1.8660507,-0.57634092,0.080207324,-0.63807486,-0.026158651,0.016404002,0.19625319,-0.52468874,-0.11744087,-1.0469924,0.11564088,0.10258268,-0.2133293,0.20779986,-3.5238562,0.25490817,-0.17463913,-0.18003756,-0.048322852,0.168099,-0.018199657,-0.0095692817,0.056976366,-0.15169033,-1.0795013,-0.49498159,-0.21014888,0.14752185,-0.62663204,0.067388784,-0.10442738,-0.37901217,-0.11042897,-0.44230583,-0.9906222,-0.39280194,0.25212284,-0.6019157,0.12722943,-0.52144851,-6.0171887,0.023407665,-0.35324425,-0.41727867,-0.14466199,0.030010711,0.047898026,-0.22791692,0.12320671,-0.79858858,0.24303351,-0.2022682,-0.42232679,-0.89248314,-0.031017232,-0.6085065,-0.46298494,-0.43674587,-0.77482115,-0.12189821,-0.90898036,-0.41483818,-0.77766542,-1.4421583,-0.92860807,-0.68273069,-1.2012232,-0.14297751,-0.57811568,-0.65973476,-0.88813276,-0.18872849,0.2195345,0.10529449,0.02273528,0.24336563,-0.42293221,0.043396124,0.054547354,-1.063113,-0.057110926,-0.38210941,-0.91168217,-0.38877521,0.073743618,-0.2039209,-0.70337785,-0.57638982,-0.39482872,-0.7948387,-1.3517848,-1.2701208,0.17856857,-0.55167132,-0.36076122,-0.67414682,-0.085816504,-0.69361071,-4.0763072,-0.65430007,-1.2637099,-0.4136928,-1.8412739,-0.019200418,-1.9516319,0.054247539,-0.25512437,-1.5000737,-0.19877674,-0.10392607,-0.5880741,0.155548,0.056756804,-0.31814396,-0.23883949,-0.14647464,-0.69555371,-1.1735431,0.18865848,-0.76176248,-0.31891102,-0.47255015,0.17826258,-0.20739323,-0.51678553,0.0093228852,-0.38726638,0.25383645,-0.44746512,0.2542787,-1.9937924,-0.56284675,0.066121547,-0.10263316,0.23104467,-1.4830639,-0.24180656,-3.070037,-0.16728645,0.18387206,-0.094928961,-0.27890585,0.18160762,-0.44996784,0.23675152,0.11569145,0.2070833,0.066887605,0.1097535,0.21723243,-0.055786016,-0.26733467,-0.3257853,-0.14771143,-0.34644962,-0.38861414,-1.2805061,-0.30857774,0.22668894,0.24802365,-0.1321257,-0.53467333,-0.34985821,-0.64419001,-0.65145918,-1.6209088,0.10978255,0.15320358,0.19149767,-1.8897009,-2.8242829,-0.41987247,-1.094844,-0.70983888,-0.27264728,-0.50098929,-0.38410763,-0.28613506,-1.264828,-5.9386976,-1.1076653,-1.0645088,-4.3640589,-3.4326171,-3.7170029,-0.97358805,0.042917378,-0.32549438,-0.059015932,-0.38467617,0.039723433,-2.252407,-0.47428691,-0.25123879,-0.41784046,0.016390148,-0.22093592,-0.37913328,-2.1859254,-0.24602602,-0.48661609,0.070663978,0.18739992,-0.51825985,-1.4405761,-0.073239015,0.22835804,-0.1883676,-0.40624344,-1.3160764,-0.54041173,-0.26925831,-0.076839563,-1.68575
-186.71481,0.99941196,0.13475732,4,15,0,189.37211,0.026019885,1.2045349,0.3174158,0.17856199,-0.75659333,-0.22701175,-4.0734855,-0.41324295,0.20985529,-0.12435594,-0.12175406,0.19525409,-0.20008729,-0.47933782,-0.7461771,-1.0732854,-0.22011852,-0.087514847,0.14139981,-3.1410146,-0.96379987,-0.19546154,-0.40300219,0.237976,-2.6637895,0.21172022,0.075905624,0.2380371,0.17925695,-0.35314955,0.096290134,-0.19215474,-0.27513763,-0.14029423,-0.24510507,-0.67214288,0.17763118,-0.90794016,-0.19040074,-0.76614894,-1.2145515,-0.84125907,-2.1052401,-0.81117545,-1.2990731,-0.70919911,-1.9472553,-3.3867444,-3.8458407,-0.3258701,-0.59875219,-0.47865744,-0.11616478,-0.1845153,-0.38622209,-0.37402469,0.15527768,-0.38838165,-0.49832415,-1.802012,-1.3772265,0.055463149,-0.21100065,-0.82400844,-0.62406595,-0.13408034,0.11717684,-0.33135376,-0.58194646,0.18743548,0.23196885,-0.020976684,0.12031587,-0.20004858,-0.88047158,0.11787609,-0.29433312,-0.69336889,0.15989139,-0.42642807,0.22736786,0.063755204,-1.868455,-0.58730747,0.096564812,-0.64246376,-0.037816459,0.0038031793,0.18326578,-0.5301821,-0.13189734,-1.0472144,0.099957187,0.11454923,-0.22563123,0.19204101,-2.8013383,0.24041238,-0.18599624,-0.19083182,-0.060645059,0.15455952,-0.030961397,-0.022934279,0.042485014,-0.16395276,-0.89158658,-0.50324765,-0.22121317,0.13406741,-0.63188883,0.054307654,-0.11622791,-0.38813806,-0.12397592,-0.45109743,-0.99349362,-0.40194468,0.24066014,-0.60871664,0.11307277,-0.52772743,-5.4657038,0.010435301,-0.36236347,-0.42516092,-0.15550189,0.017544277,0.034798904,-0.23757393,0.13197293,-0.80281157,0.23526746,-0.21370957,-0.43158652,-0.89726702,-0.04487352,-0.61629482,-0.47149292,-0.44603782,-0.77960203,-0.13550197,-0.91216512,-0.42554587,-0.7840381,-1.4408129,-0.93048746,-0.68731617,-1.1980622,-0.15371369,-0.58301818,-0.66321215,-0.88792701,-0.19908634,0.20667546,0.092032207,0.01038738,0.23344034,-0.42892589,0.031240484,0.041924319,-1.0678614,-0.071662365,-0.39010608,-0.91774617,-0.39746951,0.057694545,-0.21725601,-0.70657971,-0.58565379,-0.4051384,-0.79874657,-1.348364,-1.2662486,0.18110645,-0.56210056,-0.36864806,-0.68343328,-0.10102472,-0.70212269,-4.1203095,-0.66352545,-1.2583356,-0.42083801,-1.8402502,-0.03403194,-1.9481213,0.040378219,-0.26527081,-1.4985243,-0.21115733,-0.11736887,-0.59555501,0.14021058,0.042648138,-0.32985682,-0.24931906,-0.15940633,-0.70138048,-1.1750455,0.1736343,-0.76597716,-0.32859476,-0.4799647,0.16112284,-0.22101754,-0.52297532,-0.0070758222,-0.39959408,0.23809441,-0.4589001,0.23801917,-1.9773164,-0.5697295,0.050611066,-0.11557601,0.21648892,-1.4793741,-0.25284642,-3.0601818,-0.1186502,0.18353856,-0.1090482,-0.29100006,0.16587607,-0.4596092,0.22236841,0.10006608,0.19160909,0.051617432,0.094163612,0.20197452,-0.06893045,-0.27903082,-0.3368226,-0.16075267,-0.35725418,-0.39791691,-1.2792108,-0.31980894,0.21112929,0.2357483,-0.1449395,-0.54286549,-0.35971704,-0.651578,-0.65772421,-1.61826,0.09498986,0.15782132,0.17707063,-1.8884404,-2.7836452,-0.33757975,-1.0923742,-0.71407509,-0.28309754,-0.50869124,-0.39389004,-0.29658237,-1.2620472,-5.6794342,-1.108353,-1.0668517,-4.3069624,-3.390253,-3.6811642,-0.97594222,0.028247364,-0.33674339,-0.02748603,-0.39421687,0.025834233,-2.2377415,-0.48229717,-0.26152314,-0.42682236,0.0018752673,-0.23295846,-0.38869014,-2.1730993,-0.256933,-0.49418941,0.057032992,0.17349997,-0.5245925,-1.4314163,-0.084164172,0.21776428,-0.20342089,-0.41233681,-1.3234736,-0.55261137,-0.28333036,-0.0881594,-1.6896272
