# stan_version_major = 2
# stan_version_minor = 37
# stan_version_patch = 0
# model = rlddm_single_subject_model
# start_datetime = 2025-09-24 21:53:02 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 3000
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.9998
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = dense_e
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /var/folders/s0/k9fg8kp94xl307gydfsd9gf00000gq/T/tmpujiae32z/azys1umw.json
# init = 2 (Default)
# random
#   seed = 2026
# output
#   file = /Users/jy4657/Desktop/Repositories/tst-stan/cmdstan_tmp/rlddm_single_subject-20250924175302_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.37.0
# stancflags = --filename-in-msg=rlddm_single_subject.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,a,t0,scaler,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46,log_lik.47,log_lik.48,log_lik.49,log_lik.50,log_lik.51,log_lik.52,log_lik.53,log_lik.54,log_lik.55,log_lik.56,log_lik.57,log_lik.58,log_lik.59,log_lik.60,log_lik.61,log_lik.62,log_lik.63,log_lik.64,log_lik.65,log_lik.66,log_lik.67,log_lik.68,log_lik.69,log_lik.70,log_lik.71,log_lik.72,log_lik.73,log_lik.74,log_lik.75,log_lik.76,log_lik.77,log_lik.78,log_lik.79,log_lik.80,log_lik.81,log_lik.82,log_lik.83,log_lik.84,log_lik.85,log_lik.86,log_lik.87,log_lik.88,log_lik.89,log_lik.90,log_lik.91,log_lik.92,log_lik.93,log_lik.94,log_lik.95,log_lik.96,log_lik.97,log_lik.98,log_lik.99,log_lik.100,log_lik.101,log_lik.102,log_lik.103,log_lik.104,log_lik.105,log_lik.106,log_lik.107,log_lik.108,log_lik.109,log_lik.110,log_lik.111,log_lik.112,log_lik.113,log_lik.114,log_lik.115,log_lik.116,log_lik.117,log_lik.118,log_lik.119,log_lik.120,log_lik.121,log_lik.122,log_lik.123,log_lik.124,log_lik.125,log_lik.126,log_lik.127,log_lik.128,log_lik.129,log_lik.130,log_lik.131,log_lik.132,log_lik.133,log_lik.134,log_lik.135,log_lik.136,log_lik.137,log_lik.138,log_lik.139,log_lik.140,log_lik.141,log_lik.142,log_lik.143,log_lik.144,log_lik.145,log_lik.146,log_lik.147,log_lik.148,log_lik.149,log_lik.150,log_lik.151,log_lik.152,log_lik.153,log_lik.154,log_lik.155,log_lik.156,log_lik.157,log_lik.158,log_lik.159,log_lik.160,log_lik.161,log_lik.162,log_lik.163,log_lik.164,log_lik.165,log_lik.166,log_lik.167,log_lik.168,log_lik.169,log_lik.170,log_lik.171,log_lik.172,log_lik.173,log_lik.174,log_lik.175,log_lik.176,log_lik.177,log_lik.178,log_lik.179,log_lik.180,log_lik.181,log_lik.182,log_lik.183,log_lik.184,log_lik.185,log_lik.186,log_lik.187,log_lik.188,log_lik.189,log_lik.190,log_lik.191,log_lik.192,log_lik.193,log_lik.194,log_lik.195,log_lik.196,log_lik.197,log_lik.198,log_lik.199,log_lik.200,log_lik.201,log_lik.202,log_lik.203,log_lik.204,log_lik.205,log_lik.206,log_lik.207,log_lik.208,log_lik.209,log_lik.210,log_lik.211,log_lik.212,log_lik.213,log_lik.214,log_lik.215,log_lik.216,log_lik.217,log_lik.218,log_lik.219,log_lik.220,log_lik.221,log_lik.222,log_lik.223,log_lik.224,log_lik.225,log_lik.226,log_lik.227,log_lik.228,log_lik.229,log_lik.230,log_lik.231,log_lik.232,log_lik.233,log_lik.234,log_lik.235,log_lik.236,log_lik.237,log_lik.238,log_lik.239,log_lik.240,log_lik.241,log_lik.242,log_lik.243,log_lik.244,log_lik.245,log_lik.246,log_lik.247,log_lik.248,log_lik.249,log_lik.250,log_lik.251,log_lik.252,log_lik.253,log_lik.254,log_lik.255,log_lik.256,log_lik.257,log_lik.258,log_lik.259,log_lik.260,log_lik.261,log_lik.262,log_lik.263,log_lik.264,log_lik.265,log_lik.266,log_lik.267,log_lik.268,log_lik.269,log_lik.270,log_lik.271,log_lik.272,log_lik.273,log_lik.274,log_lik.275,log_lik.276,log_lik.277,log_lik.278,log_lik.279,log_lik.280,log_lik.281,log_lik.282,log_lik.283,log_lik.284,log_lik.285,log_lik.286,log_lik.287,log_lik.288,log_lik.289,log_lik.290,log_lik.291,log_lik.292
# Adaptation terminated
# Step size = 0.119959
# Elements of inverse mass matrix:
# 0.331171, 0.00271085, -0.00815118, -0.202163
# 0.00271085, 0.00057097, -0.000556134, -0.000539932
# -0.00815118, -0.000556134, 0.0406236, 0.00582942
# -0.202163, -0.000539932, 0.00582942, 0.19543
-188.34225,0.99775667,0.11995939,4,31,0,190.30426,0.045345375,1.2186778,0.31802236,0.089932749,-0.7426436,-0.22552678,-4.4663837,-0.4072528,0.19415186,-0.12535524,-0.18986291,0.15842253,-0.19929514,-0.47193871,-0.73236561,-1.0523241,-0.21873381,-0.15204423,0.13092568,-3.0607396,-0.94629845,-0.19517052,-0.39756985,0.21825675,-2.5978297,0.17913556,0.026984094,0.21305385,0.14208878,-0.34784838,0.088414245,-0.26460628,-0.27200558,-0.14133068,-0.24302539,-0.66000918,0.16450596,-0.88983187,-0.19008919,-0.75163512,-1.1891308,-0.82626407,-2.0579327,-0.79504539,-1.2737386,-0.6971983,-1.9099073,-3.2981595,-3.7466391,-0.32254674,-0.58942068,-0.47227174,-0.11655245,-0.18284881,-0.37952019,-0.36739183,0.14274076,-0.3849957,-0.49246335,-1.7524282,-1.3409114,0.04641186,-0.20701056,-0.81193733,-0.61585183,-0.13706312,0.10608544,-0.32519787,-0.56971808,0.17526017,0.21168175,-0.026431182,0.10966574,-0.20028529,-0.86220342,0.1094726,-0.29023825,-0.68204988,0.14916775,-0.41926656,0.19666907,0.057645606,-1.8267099,-0.57684223,0.048598732,-0.62969861,-0.040367215,0.00038685853,0.17114299,-0.51909871,-0.13452761,-1.0231855,0.090141498,0.066385177,-0.22569412,0.17693123,-3.0809193,0.21913275,-0.18386032,-0.18844512,-0.061879988,0.14469366,-0.033081187,-0.025433808,0.037620136,-0.16257322,-1.0158137,-0.49333596,-0.21914667,0.12389269,-0.62061399,0.047805955,-0.11746044,-0.38267628,-0.12446631,-0.44586668,-0.97561148,-0.39700243,0.21775217,-0.59688708,0.1040769,-0.51852526,-5.1698991,0.0056988364,-0.35721766,-0.41826391,-0.15509752,0.013031585,0.029545435,-0.23470607,0.086005048,-0.78617742,0.20412733,-0.21151099,-0.42628878,-0.88187988,-0.049088875,-0.60701249,-0.46288533,-0.43828819,-0.7660913,-0.13592718,-0.89567936,-0.41865562,-0.76833259,-1.4083166,-0.91402159,-0.67583939,-1.1745894,-0.1542627,-0.57282819,-0.6507107,-0.86947561,-0.19756629,0.19162516,0.084639702,0.0063871642,0.21272189,-0.42058859,0.026689225,0.036823855,-1.0495191,-0.075310008,-0.38332098,-0.90191775,-0.39096277,0.05000442,-0.21734157,-0.69165002,-0.57748134,-0.40087142,-0.78135675,-1.3164766,-1.2362216,0.1456192,-0.55494803,-0.36173545,-0.67373616,-0.1044702,-0.69182593,-4.1214233,-0.654349,-1.2272982,-0.41224125,-1.8107358,-0.039488987,-1.916295,0.035920091,-0.26064653,-1.4737608,-0.21210654,-0.12066451,-0.5829128,0.13130986,0.034779911,-0.32419236,-0.24889451,-0.15799999,-0.69101912,-1.1553698,0.16248475,-0.74886779,-0.32256746,-0.46992858,0.14769291,-0.22191635,-0.51161922,-0.013786083,-0.39771895,0.21662116,-0.45481312,0.216601,-1.9179149,-0.55492479,0.040492811,-0.113143,0.19718956,-1.4598286,-0.25455933,-2.9414823,-0.18992174,0.14977629,-0.10707621,-0.28411527,0.15704667,-0.44811452,0.20754112,0.094937248,0.18070215,0.048527177,0.089304698,0.19001582,-0.075204387,-0.27229445,-0.3285644,-0.15718985,-0.34845884,-0.39651311,-1.262331,-0.31199814,0.19805847,0.2163058,-0.14185007,-0.52917103,-0.35074825,-0.64525809,-0.64071885,-1.5978219,0.090111485,0.12168094,0.16740244,-1.8678623,-2.6709783,-0.41651779,-1.060901,-0.69457106,-0.27569648,-0.49521064,-0.38363554,-0.28872341,-1.2252465,-4.8825808,-1.0771451,-1.0374391,-4.0142771,-3.2300459,-3.4937254,-0.96438844,0.026099822,-0.32846729,-0.082556753,-0.38419797,0.024009615,-2.1603639,-0.46920225,-0.25426243,-0.41524872,0.0011444201,-0.23548758,-0.38825572,-2.0982187,-0.24978687,-0.48039228,0.054781575,0.16487162,-0.50949357,-1.387206,-0.081616271,0.20311054,-0.2078392,-0.40006743,-1.3112543,-0.55066823,-0.28639133,-0.084770914,-1.6767984
-187.4577,0.99973972,0.11995939,5,31,0,188.8932,0.031611132,1.2022549,0.31467743,0.18783129,-0.76795673,-0.23626075,-3.2799485,-0.42325542,0.20663942,-0.1334675,-0.060795333,0.21189457,-0.20922923,-0.48906885,-0.75738273,-1.084945,-0.22925701,-0.032886809,0.13487476,-3.1819109,-0.97293378,-0.20328073,-0.41198237,0.23877922,-2.7009233,0.22274704,0.1072486,0.2417038,0.19572707,-0.36402833,0.089172191,-0.12374093,-0.28466242,-0.14945665,-0.25368008,-0.68216678,0.17277543,-0.92017032,-0.19972474,-0.77717963,-1.2280235,-0.85207757,-2.1225796,-0.82355111,-1.3124383,-0.71969628,-1.9590605,-3.4177561,-3.8717644,-0.33496139,-0.6083432,-0.48750144,-0.12648201,-0.19556598,-0.39779377,-0.38589757,0.15159237,-0.39556006,-0.50635224,-1.8261946,-1.3975955,0.049784475,-0.22236341,-0.83244156,-0.63279526,-0.14102896,0.11202092,-0.34211787,-0.59342548,0.18328015,0.23071759,-0.029746583,0.11307115,-0.21076556,-0.88972069,0.11338155,-0.30220195,-0.70675629,0.15640606,-0.43477839,0.23929986,0.057561353,-1.8776874,-0.59565452,0.12501141,-0.65611733,-0.048223257,-0.005727105,0.17721857,-0.54346793,-0.13902611,-1.0621834,0.094005311,0.14419057,-0.23407563,0.18857745,-2.2887131,0.2412264,-0.19621781,-0.20149303,-0.070464965,0.14758362,-0.04046625,-0.031952864,0.034512271,-0.17351578,-0.72466669,-0.51441861,-0.23107642,0.12680005,-0.64421664,0.045692943,-0.12589598,-0.39870433,-0.13240319,-0.46112105,-1.0054755,-0.41226485,0.24360894,-0.62023037,0.10586226,-0.5399011,-5.8499779,0.0014920198,-0.37314244,-0.43665329,-0.16594628,0.0081208666,0.025942792,-0.24871514,0.15964931,-0.81550392,0.24520225,-0.22358931,-0.44149073,-0.90806555,-0.052860204,-0.62631938,-0.48248304,-0.45648315,-0.79121474,-0.14385972,-0.92430051,-0.434913,-0.79506999,-1.4548975,-0.94337181,-0.69955295,-1.2136165,-0.1639749,-0.59586295,-0.67686491,-0.90344044,-0.20973719,0.20231893,0.08372391,0.00078361036,0.23326997,-0.4422163,0.021524041,0.032645953,-1.0776047,-0.079042643,-0.40189018,-0.92749066,-0.40856365,0.051545052,-0.22500628,-0.72065529,-0.59460564,-0.41426351,-0.81193925,-1.3648328,-1.2834545,0.19625838,-0.57015488,-0.38080213,-0.69168291,-0.10767831,-0.71090846,-4.0721935,-0.67189828,-1.2770278,-0.4334379,-1.8489263,-0.041048622,-1.9580622,0.031840822,-0.27624368,-1.5099225,-0.2194446,-0.12521265,-0.60705214,0.13401306,0.035199699,-0.33921705,-0.25899504,-0.16853506,-0.71220274,-1.1863544,0.16835947,-0.77924402,-0.33960279,-0.49209519,0.15747763,-0.22827557,-0.53591329,-0.012816853,-0.40647288,0.23892858,-0.46650294,0.23902724,-2.0043867,-0.58263366,0.044757865,-0.12546265,0.21419687,-1.4910537,-0.26143685,-3.0866001,-0.058122938,0.20029712,-0.11798996,-0.30088824,0.16038739,-0.47074722,0.22061446,0.092874144,0.18728032,0.043679171,0.086865354,0.19828794,-0.076635317,-0.2893115,-0.34738238,-0.17041618,-0.36791102,-0.4070395,-1.2905992,-0.33028735,0.20845786,0.23759325,-0.15479649,-0.55475994,-0.37109607,-0.66063812,-0.67069455,-1.6279843,0.087140444,0.17664293,0.17126579,-1.894431,-2.8329667,-0.25346446,-1.1110293,-0.72865882,-0.29445999,-0.52129912,-0.40531922,-0.3079285,-1.2804891,-6.1418155,-1.12439,-1.0816156,-4.4013833,-3.4466258,-3.737078,-0.98655565,0.019753033,-0.34711883,0.017945882,-0.40571872,0.016697459,-2.2650649,-0.4948482,-0.27319401,-0.43883688,-0.0069649751,-0.24084499,-0.39747531,-2.1990874,-0.26814704,-0.50712505,0.047698172,0.16706973,-0.53848697,-1.4545713,-0.09584118,0.21436712,-0.20884533,-0.42686484,-1.3269103,-0.55800102,-0.28896999,-0.099741411,-1.6920727
-186.85236,0.99561653,0.11995939,4,31,0,188.13971,0.030822583,1.2068982,0.31694267,0.13229107,-0.7561342,-0.22864702,-3.9562813,-0.41413122,0.20632589,-0.12624133,-0.12161065,0.19160769,-0.20183367,-0.48016851,-0.74575147,-1.0719307,-0.22177709,-0.087419354,0.13842705,-3.1225881,-0.96377127,-0.19775256,-0.40432489,0.23362323,-2.6487906,0.20854553,0.074346967,0.23464316,0.17656532,-0.35368403,0.093576392,-0.19034835,-0.27637867,-0.14230463,-0.24682786,-0.67223181,0.17411763,-0.90656366,-0.19220698,-0.76562347,-1.2118668,-0.84104486,-2.0984506,-0.80993722,-1.2969524,-0.7094389,-1.9446822,-3.3685378,-3.8272513,-0.32749677,-0.59960272,-0.48012547,-0.11738144,-0.18524594,-0.38622021,-0.37388363,0.15076683,-0.39092757,-0.50034949,-1.7908249,-1.369531,0.051112763,-0.21088637,-0.82547181,-0.62575242,-0.13748523,0.11285781,-0.33140966,-0.5810264,0.18454986,0.22763441,-0.023826153,0.11696001,-0.20178865,-0.87955521,0.11453401,-0.2957338,-0.69309801,0.15629909,-0.42732628,0.2235503,0.060978604,-1.864021,-0.58784468,0.09434722,-0.64172348,-0.039568412,0.0023436807,0.18102331,-0.52889409,-0.1351041,-1.0436186,0.096086765,0.11115981,-0.22813566,0.18767439,-2.7338581,0.23557365,-0.18675929,-0.19140117,-0.061813987,0.15247041,-0.032278187,-0.024464048,0.040469219,-0.16502282,-0.87651748,-0.50279083,-0.22202928,0.13128886,-0.63145921,0.051945269,-0.11797942,-0.38892789,-0.12556367,-0.45258057,-0.99327037,-0.40340445,0.2373533,-0.60777134,0.11026008,-0.52750661,-5.327897,0.0083010141,-0.36305397,-0.42537809,-0.15670427,0.015730759,0.032733137,-0.23821776,0.12848441,-0.8012753,0.230722,-0.21480616,-0.43287156,-0.89721875,-0.047659484,-0.61713762,-0.47147141,-0.44633753,-0.77937672,-0.13747738,-0.91145438,-0.42634041,-0.78314811,-1.4365714,-0.92971959,-0.68717744,-1.1955334,-0.15532518,-0.58257955,-0.66216059,-0.88547191,-0.20011307,0.20382566,0.089831786,0.0087618166,0.23073755,-0.42810266,0.029689972,0.040155864,-1.0679548,-0.074654017,-0.39006344,-0.91790796,-0.39778372,0.054130736,-0.21985785,-0.70475219,-0.58702917,-0.40688857,-0.79672525,-1.3432226,-1.2611678,0.17890194,-0.56397842,-0.36830246,-0.68499493,-0.10440923,-0.70341189,-4.1561158,-0.66514055,-1.2524434,-0.42004042,-1.8408449,-0.037521312,-1.948128,0.038630517,-0.26543099,-1.4983441,-0.21394036,-0.12050459,-0.5945578,0.13777249,0.039171651,-0.33048796,-0.25143008,-0.1605907,-0.702151,-1.1749108,0.17101225,-0.7638399,-0.32863274,-0.47909269,0.15639002,-0.22413345,-0.52165132,-0.011183267,-0.40255051,0.23272361,-0.46148682,0.23247572,-1.9639881,-0.56733787,0.045825948,-0.11577088,0.2111638,-1.4810625,-0.25614453,-3.0285037,-0.11964601,0.18159492,-0.10963826,-0.2907273,0.16407441,-0.45827942,0.22021057,0.098628267,0.18965253,0.050428724,0.092756816,0.19995256,-0.072893433,-0.27862337,-0.33612752,-0.16091754,-0.35645583,-0.40078875,-1.2808088,-0.3191992,0.20886448,0.23344786,-0.14507401,-0.54095055,-0.35861517,-0.65416715,-0.65492702,-1.6210413,0.093823971,0.15666904,0.17558959,-1.8937144,-2.7474487,-0.33145238,-1.0852205,-0.71027974,-0.28213222,-0.50647617,-0.39252278,-0.29552926,-1.2538269,-5.2863842,-1.1019677,-1.061218,-4.1932305,-3.3357303,-3.6164986,-0.97810085,0.027416231,-0.33595738,-0.026579935,-0.39278924,0.02531996,-2.2169471,-0.47998533,-0.26028396,-0.42488753,0.0013840304,-0.23681046,-0.39210784,-2.1530353,-0.25580482,-0.49152513,0.05686306,0.17267839,-0.52134114,-1.4197668,-0.083297134,0.21708737,-0.20855748,-0.40924381,-1.3295499,-0.55748078,-0.28841301,-0.087003821,-1.698045
