# stan_version_major = 2
# stan_version_minor = 37
# stan_version_patch = 0
# model = rlddm_single_subject_model
# start_datetime = 2025-09-24 22:05:04 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 3000
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.9999
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = dense_e
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/s0/k9fg8kp94xl307gydfsd9gf00000gq/T/tmp664_o3mv/fxez_2t4.json
# init = 2 (Default)
# random
#   seed = 2026
# output
#   file = /Users/jy4657/Desktop/Repositories/tst-stan/cmdstan_tmp/rlddm_single_subject-20250924180504_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.37.0
# stancflags = --filename-in-msg=rlddm_single_subject.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,a,t0,scaler,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46,log_lik.47,log_lik.48,log_lik.49,log_lik.50,log_lik.51,log_lik.52,log_lik.53,log_lik.54,log_lik.55,log_lik.56,log_lik.57,log_lik.58,log_lik.59,log_lik.60,log_lik.61,log_lik.62,log_lik.63,log_lik.64,log_lik.65,log_lik.66,log_lik.67,log_lik.68,log_lik.69,log_lik.70,log_lik.71,log_lik.72,log_lik.73,log_lik.74,log_lik.75,log_lik.76,log_lik.77,log_lik.78,log_lik.79,log_lik.80,log_lik.81,log_lik.82,log_lik.83,log_lik.84,log_lik.85,log_lik.86,log_lik.87,log_lik.88,log_lik.89,log_lik.90,log_lik.91,log_lik.92,log_lik.93,log_lik.94,log_lik.95,log_lik.96,log_lik.97,log_lik.98,log_lik.99,log_lik.100,log_lik.101,log_lik.102,log_lik.103,log_lik.104,log_lik.105,log_lik.106,log_lik.107,log_lik.108,log_lik.109,log_lik.110,log_lik.111,log_lik.112,log_lik.113,log_lik.114,log_lik.115,log_lik.116,log_lik.117,log_lik.118,log_lik.119,log_lik.120,log_lik.121,log_lik.122,log_lik.123,log_lik.124,log_lik.125,log_lik.126,log_lik.127,log_lik.128,log_lik.129,log_lik.130,log_lik.131,log_lik.132,log_lik.133,log_lik.134,log_lik.135,log_lik.136,log_lik.137,log_lik.138,log_lik.139,log_lik.140,log_lik.141,log_lik.142,log_lik.143,log_lik.144,log_lik.145,log_lik.146,log_lik.147,log_lik.148,log_lik.149,log_lik.150,log_lik.151,log_lik.152,log_lik.153,log_lik.154,log_lik.155,log_lik.156,log_lik.157,log_lik.158,log_lik.159,log_lik.160,log_lik.161,log_lik.162,log_lik.163,log_lik.164,log_lik.165,log_lik.166,log_lik.167,log_lik.168,log_lik.169,log_lik.170,log_lik.171,log_lik.172,log_lik.173,log_lik.174,log_lik.175,log_lik.176,log_lik.177,log_lik.178,log_lik.179,log_lik.180,log_lik.181,log_lik.182,log_lik.183,log_lik.184,log_lik.185,log_lik.186,log_lik.187,log_lik.188,log_lik.189,log_lik.190,log_lik.191,log_lik.192,log_lik.193,log_lik.194,log_lik.195,log_lik.196,log_lik.197,log_lik.198,log_lik.199,log_lik.200,log_lik.201,log_lik.202,log_lik.203,log_lik.204,log_lik.205,log_lik.206,log_lik.207,log_lik.208,log_lik.209,log_lik.210,log_lik.211,log_lik.212,log_lik.213,log_lik.214,log_lik.215,log_lik.216,log_lik.217,log_lik.218,log_lik.219,log_lik.220,log_lik.221,log_lik.222,log_lik.223,log_lik.224,log_lik.225,log_lik.226,log_lik.227,log_lik.228,log_lik.229,log_lik.230,log_lik.231,log_lik.232,log_lik.233,log_lik.234,log_lik.235,log_lik.236,log_lik.237,log_lik.238,log_lik.239,log_lik.240,log_lik.241,log_lik.242,log_lik.243,log_lik.244,log_lik.245,log_lik.246,log_lik.247,log_lik.248,log_lik.249,log_lik.250,log_lik.251,log_lik.252,log_lik.253,log_lik.254,log_lik.255,log_lik.256,log_lik.257,log_lik.258,log_lik.259,log_lik.260,log_lik.261,log_lik.262,log_lik.263,log_lik.264,log_lik.265,log_lik.266,log_lik.267,log_lik.268,log_lik.269,log_lik.270,log_lik.271,log_lik.272,log_lik.273,log_lik.274,log_lik.275,log_lik.276,log_lik.277,log_lik.278,log_lik.279,log_lik.280,log_lik.281,log_lik.282,log_lik.283,log_lik.284,log_lik.285,log_lik.286,log_lik.287,log_lik.288,log_lik.289,log_lik.290,log_lik.291,log_lik.292
# Adaptation terminated
# Step size = 0.0645608
# Elements of inverse mass matrix:
# 0.413052, 0.00325615, -0.00476707, -0.244278
# 0.00325615, 0.000578325, -0.00112263, -0.00118494
# -0.00476707, -0.00112263, 0.0446714, 0.00319095
# -0.244278, -0.00118494, 0.00319095, 0.205088
-187.84222,0.99917911,0.064560788,6,63,0,190.67866,0.045471983,1.2068029,0.3134545,0.090888516,-0.76803513,-0.24037095,-3.0482924,-0.42593515,0.19948633,-0.13782587,-0.057196768,0.20554284,-0.21354786,-0.4919155,-0.7575457,-1.0837581,-0.23342682,-0.029026455,0.12881622,-3.1361856,-0.97545592,-0.20935645,-0.41603666,0.22934174,-2.6632764,0.21788379,0.10714504,0.23581965,0.19236523,-0.36531774,0.08347062,-0.11565833,-0.2878635,-0.1542059,-0.25826212,-0.68370334,0.16535914,-0.91816348,-0.20412795,-0.77718,-1.2234014,-0.85324487,-2.1094966,-0.8215348,-1.309625,-0.72164539,-1.9577366,-3.3763541,-3.8323552,-0.33947931,-0.61171202,-0.49222933,-0.12874132,-0.19666871,-0.39765672,-0.38527904,0.14087424,-0.40318192,-0.51279267,-1.799105,-1.3789479,0.039136049,-0.22138097,-0.83845217,-0.63861353,-0.14992184,0.10181148,-0.3421846,-0.59170803,0.17746619,0.22180477,-0.036111511,0.10603813,-0.21453998,-0.88977232,0.10538281,-0.30648473,-0.70636394,0.14793772,-0.43815556,0.23183885,0.051002266,-1.872706,-0.59884891,0.123476,-0.6529576,-0.050377451,-0.0082597819,0.1736046,-0.54014326,-0.14731474,-1.0543817,0.085061234,0.1387876,-0.24056221,0.17886049,-2.147113,0.23069719,-0.19771891,-0.20240166,-0.072556225,0.14407609,-0.042881448,-0.035018919,0.030299136,-0.17594035,-0.68639638,-0.51378766,-0.23383215,0.12137573,-0.64365571,0.040979125,-0.12970688,-0.40086608,-0.13692589,-0.46533054,-1.0055253,-0.41547363,0.23685758,-0.61944272,0.10010722,-0.5395171,-5.3593749,-0.0028219041,-0.37488268,-0.43719987,-0.16826498,0.0048397134,0.021958863,-0.24972626,0.15370289,-0.81251299,0.23599397,-0.22602258,-0.44535833,-0.90993712,-0.059521604,-0.62967101,-0.48271449,-0.45760613,-0.79195777,-0.14868769,-0.92411369,-0.43755275,-0.79420579,-1.4469147,-0.94287208,-0.69996989,-1.2087829,-0.16742276,-0.5949393,-0.67442112,-0.89766575,-0.21174543,0.19729649,0.07967408,-0.0020373477,0.22921257,-0.43960818,0.019082989,0.029599736,-1.0807055,-0.086537459,-0.40153889,-0.93027634,-0.40932838,0.042970611,-0.23203292,-0.71620195,-0.59951081,-0.4194118,-0.80763718,-1.3535721,-1.2718213,0.19427792,-0.57649812,-0.3795053,-0.69759187,-0.11651871,-0.71606382,-4.190951,-0.67783801,-1.2628837,-0.43107179,-1.8561634,-0.049703734,-1.9639009,0.028588869,-0.27624016,-1.513208,-0.22667844,-0.13308362,-0.60516591,0.12921056,0.027220986,-0.3411511,-0.26426164,-0.17126735,-0.71536133,-1.1887326,0.16333799,-0.77451191,-0.33949982,-0.48993326,0.14623998,-0.23672136,-0.5324971,-0.023282953,-0.41616981,0.22586871,-0.4743926,0.22542135,-1.968066,-0.57667703,0.032965188,-0.12523011,0.20218199,-1.499,-0.2700709,-3.0123956,-0.057271705,0.1984614,-0.1190435,-0.30021514,0.15740301,-0.46764408,0.21722433,0.090477183,0.18408246,0.041722801,0.084521945,0.19501228,-0.086443375,-0.28813665,-0.3456124,-0.17040417,-0.36592589,-0.41497201,-1.2977122,-0.32869461,0.20448413,0.23408648,-0.15467846,-0.55036792,-0.36827211,-0.66859777,-0.66420444,-1.6393056,0.08547555,0.17715349,0.16931081,-1.9137644,-2.7404956,-0.23432209,-1.0932026,-0.71922213,-0.29160675,-0.51574244,-0.40184542,-0.30491788,-1.2608136,-5.0519899,-1.1095371,-1.0689292,-4.1227027,-3.3131537,-3.5827147,-0.99397427,0.018400451,-0.34551544,0.023656185,-0.4024265,0.01629446,-2.2158391,-0.48920532,-0.26969473,-0.43412775,-0.0074836796,-0.2505932,-0.40653938,-2.1522817,-0.26512264,-0.50063793,0.048479927,0.16677082,-0.53036775,-1.4265823,-0.09273103,0.2151275,-0.22238485,-0.41867734,-1.3464976,-0.57199921,-0.30258847,-0.095973108,-1.7185104
-188.16803,0.99980237,0.064560788,4,15,0,188.21785,0.049634733,1.206129,0.31292933,0.08379419,-0.7704169,-0.24214054,-2.9280174,-0.42792271,0.19915499,-0.13945423,-0.046064411,0.20885253,-0.21528716,-0.49395589,-0.75988552,-1.0864544,-0.2351685,-0.018819954,0.12787076,-3.1417922,-0.97798907,-0.211059,-0.41798833,0.2295287,-2.6685544,0.22042346,0.11344773,0.23698056,0.19598121,-0.36719617,0.082402371,-0.10297831,-0.28961985,-0.1559362,-0.25996884,-0.68587275,0.16460931,-0.92062238,-0.2059177,-0.77947105,-1.2261723,-0.8557946,-2.1130935,-0.82389709,-1.3127928,-0.72405483,-1.9616607,-3.3805992,-3.8362873,-0.34141977,-0.61397396,-0.49435948,-0.13030854,-0.19832336,-0.39952711,-0.3871285,0.13988033,-0.40524933,-0.51502718,-1.801759,-1.381413,0.037583572,-0.22283643,-0.84116732,-0.64109205,-0.15176874,0.10052161,-0.34382828,-0.5935952,0.17712313,0.22162326,-0.037812466,0.10477104,-0.21653566,-0.89186375,0.10455509,-0.30809627,-0.70900585,0.14729866,-0.43993541,0.23426551,0.049925343,-1.8755463,-0.60117667,0.12941877,-0.65506676,-0.051740395,-0.0095338596,0.1731528,-0.54213855,-0.14909379,-1.0568176,0.083776678,0.14424625,-0.24249423,0.17810823,-2.0661159,0.23073107,-0.19926632,-0.20396876,-0.073926207,0.14340806,-0.044190791,-0.03630861,0.029159418,-0.17746143,-0.65722329,-0.51569374,-0.23567531,0.12034931,-0.64598636,0.039662913,-0.1313642,-0.40285906,-0.13856133,-0.46757706,-1.0081343,-0.41744681,0.23766991,-0.62169611,0.099029519,-0.54168083,-5.3755773,-0.0042029108,-0.37681813,-0.4391999,-0.16991184,0.0035269047,0.020689303,-0.25144203,0.15878453,-0.81474911,0.23781104,-0.22763289,-0.44756149,-0.91270067,-0.061155141,-0.63207898,-0.48460853,-0.45947975,-0.79455528,-0.15022157,-0.92687116,-0.43939189,-0.79638974,-1.4496183,-0.94577456,-0.7025144,-1.2120008,-0.16921375,-0.59725577,-0.67679802,-0.90026923,-0.21345828,0.19703434,0.078587711,-0.0033390778,0.22991006,-0.4415383,0.017848152,0.028389081,-1.0836508,-0.088199993,-0.4034063,-0.93297238,-0.41121348,0.041600782,-0.2339191,-0.71840163,-0.60187089,-0.42158614,-0.80980783,-1.3561917,-1.2744316,0.19787017,-0.5788356,-0.38128623,-0.70007911,-0.1182619,-0.71859383,-4.2024211,-0.68033018,-1.2654427,-0.43287058,-1.8605512,-0.051398538,-1.9685461,0.027504952,-0.27781944,-1.5171245,-0.2286852,-0.13495248,-0.60704553,0.12853315,0.025657328,-0.34276057,-0.26633645,-0.17270128,-0.7180179,-1.1920525,0.16286387,-0.77658913,-0.34115727,-0.49175555,0.14517538,-0.23870114,-0.53436425,-0.024927066,-0.41868779,0.22539174,-0.47671036,0.2249097,-1.9695314,-0.57821356,0.031180151,-0.12631322,0.20133289,-1.5036811,-0.27242105,-3.0103562,-0.046647033,0.20242047,-0.12011037,-0.30149182,0.15717533,-0.46907288,0.21775075,0.089888543,0.18409312,0.040970116,0.08391019,0.19515305,-0.088505616,-0.28940993,-0.34694001,-0.17154677,-0.36727159,-0.41754189,-1.3019155,-0.33000674,0.20473303,0.23526549,-0.15585855,-0.55192963,-0.36970197,-0.67146039,-0.66586765,-1.6440974,0.084804559,0.18164005,0.16912591,-1.9192023,-2.7410058,-0.21823813,-1.0949993,-0.72083772,-0.2928892,-0.51721643,-0.40320823,-0.30619685,-1.2625777,-5.011037,-1.1112707,-1.0706537,-4.1122375,-3.3113769,-3.5789915,-0.99752453,0.017488525,-0.34693131,0.032758463,-0.40393858,0.015368153,-2.2169516,-0.49069,-0.27098616,-0.43555721,-0.0083711768,-0.25280033,-0.40909336,-2.1534613,-0.26639623,-0.50212763,0.047738254,0.1666406,-0.53187448,-1.4287128,-0.093878097,0.21574531,-0.22456039,-0.42018386,-1.3504964,-0.57470147,-0.3049364,-0.097002485,-1.723683
-187.62018,0.99970908,0.064560788,5,63,0,189.78714,0.028364239,1.1992707,0.31744512,0.21205658,-0.76118503,-0.22686832,-4.0134704,-0.41477766,0.21570191,-0.12362408,-0.10144778,0.20784794,-0.19970505,-0.48092238,-0.75059002,-1.0797519,-0.21985254,-0.069167944,0.14507849,-3.1886201,-0.96713048,-0.19371931,-0.40344628,0.24659402,-2.7044501,0.22172071,0.089745403,0.24606883,0.19032022,-0.35535213,0.099467629,-0.17210945,-0.27560382,-0.13957801,-0.24445007,-0.67507364,0.18270713,-0.91428556,-0.19009146,-0.77055686,-1.2237237,-0.84558069,-2.1230304,-0.81720897,-1.3081147,-0.71253837,-1.9575471,-3.4271063,-3.883878,-0.32595124,-0.60063974,-0.47917994,-0.11673742,-0.18615855,-0.38939205,-0.3774668,0.16209198,-0.38666825,-0.497961,-1.8268886,-1.3954189,0.060738832,-0.21346635,-0.82543436,-0.62488864,-0.13081472,0.12283489,-0.33366843,-0.58627758,0.19254957,0.23911259,-0.019132299,0.12373297,-0.20089721,-0.88411755,0.12347538,-0.29348025,-0.69920617,0.16628103,-0.42670533,0.23935147,0.067712826,-1.8775479,-0.58835971,0.11002277,-0.64879427,-0.038073943,0.0042916037,0.18647579,-0.53594709,-0.12888179,-1.0575059,0.10473942,0.13035888,-0.22435739,0.19860634,-2.7506,0.24924096,-0.18697658,-0.1922827,-0.060696378,0.1572515,-0.030606069,-0.0220553,0.044578998,-0.16416722,-0.86236389,-0.50678073,-0.22199869,0.13707038,-0.63676964,0.056106468,-0.11598261,-0.39007193,-0.12287813,-0.45243565,-0.9992729,-0.40335214,0.24884406,-0.61317747,0.11620856,-0.53199649,-5.9150293,0.01178807,-0.36443027,-0.42828064,-0.15630609,0.01834212,0.03621329,-0.23951832,0.14762479,-0.80924381,0.24688955,-0.21432905,-0.43286652,-0.90166753,-0.042508195,-0.61858192,-0.47452843,-0.44837153,-0.78432764,-0.13416784,-0.91805206,-0.42668005,-0.78872563,-1.4521938,-0.93705661,-0.69215077,-1.2087077,-0.15412809,-0.58813218,-0.66960197,-0.89740143,-0.20029462,0.21116926,0.093967141,0.010923459,0.2393141,-0.43406562,0.031672023,0.042838815,-1.0719523,-0.068778194,-0.39348171,-0.92127424,-0.40012759,0.062144869,-0.21535118,-0.71391693,-0.5866899,-0.40545199,-0.80583733,-1.3618374,-1.2799748,0.19126123,-0.56206589,-0.37241269,-0.68416197,-0.097433959,-0.70349048,-4.0657818,-0.66424862,-1.273692,-0.42539782,-1.8458089,-0.030473761,-1.9553783,0.041861186,-0.26745883,-1.5055522,-0.20954765,-0.11490223,-0.59999511,0.14382861,0.046008775,-0.33073978,-0.24930765,-0.15920727,-0.70463474,-1.1808667,0.17784797,-0.77307821,-0.33110247,-0.48441157,0.16807322,-0.21844828,-0.52847056,-0.0020963815,-0.39744786,0.24764654,-0.45774035,0.24788078,-2.0064623,-0.57599963,0.056004463,-0.11641334,0.22417877,-1.4854372,-0.25131454,-3.104569,-0.098004363,0.19480441,-0.10889625,-0.29268863,0.16947867,-0.46348393,0.22789422,0.1024126,0.19589276,0.053247408,0.096416276,0.20659679,-0.065727264,-0.28106211,-0.3394407,-0.16157241,-0.36008009,-0.39755346,-1.2844227,-0.3222542,0.21650018,0.2427253,-0.14587182,-0.54796317,-0.36328317,-0.65223754,-0.66458986,-1.6226295,0.096667987,0.16845077,0.18008347,-1.8892865,-2.8484939,-0.31845687,-1.1078782,-0.72300386,-0.28630914,-0.51440367,-0.39777752,-0.29987941,-1.2786353,-6.6321747,-1.1213825,-1.0782775,-4.4735354,-3.4756889,-3.7745322,-0.97919762,0.029227172,-0.33924933,-0.011701716,-0.39817394,0.026121885,-2.2726983,-0.48791365,-0.26504752,-0.43159942,0.0023412828,-0.23051966,-0.38773734,-2.2062546,-0.2600157,-0.50034732,0.056981272,0.17563912,-0.5319511,-1.4543578,-0.086898326,0.22074126,-0.19824017,-0.4196823,-1.3201045,-0.54880457,-0.27863036,-0.090997455,-1.6853242
