# stan_version_major = 2
# stan_version_minor = 37
# stan_version_patch = 0
# model = rlddm_single_subject_model
# start_datetime = 2025-09-24 22:05:04 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 3000
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.9999
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = dense_e
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /var/folders/s0/k9fg8kp94xl307gydfsd9gf00000gq/T/tmp664_o3mv/fxez_2t4.json
# init = 2 (Default)
# random
#   seed = 2026
# output
#   file = /Users/jy4657/Desktop/Repositories/tst-stan/cmdstan_tmp/rlddm_single_subject-20250924180504_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.37.0
# stancflags = --filename-in-msg=rlddm_single_subject.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,a,t0,scaler,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46,log_lik.47,log_lik.48,log_lik.49,log_lik.50,log_lik.51,log_lik.52,log_lik.53,log_lik.54,log_lik.55,log_lik.56,log_lik.57,log_lik.58,log_lik.59,log_lik.60,log_lik.61,log_lik.62,log_lik.63,log_lik.64,log_lik.65,log_lik.66,log_lik.67,log_lik.68,log_lik.69,log_lik.70,log_lik.71,log_lik.72,log_lik.73,log_lik.74,log_lik.75,log_lik.76,log_lik.77,log_lik.78,log_lik.79,log_lik.80,log_lik.81,log_lik.82,log_lik.83,log_lik.84,log_lik.85,log_lik.86,log_lik.87,log_lik.88,log_lik.89,log_lik.90,log_lik.91,log_lik.92,log_lik.93,log_lik.94,log_lik.95,log_lik.96,log_lik.97,log_lik.98,log_lik.99,log_lik.100,log_lik.101,log_lik.102,log_lik.103,log_lik.104,log_lik.105,log_lik.106,log_lik.107,log_lik.108,log_lik.109,log_lik.110,log_lik.111,log_lik.112,log_lik.113,log_lik.114,log_lik.115,log_lik.116,log_lik.117,log_lik.118,log_lik.119,log_lik.120,log_lik.121,log_lik.122,log_lik.123,log_lik.124,log_lik.125,log_lik.126,log_lik.127,log_lik.128,log_lik.129,log_lik.130,log_lik.131,log_lik.132,log_lik.133,log_lik.134,log_lik.135,log_lik.136,log_lik.137,log_lik.138,log_lik.139,log_lik.140,log_lik.141,log_lik.142,log_lik.143,log_lik.144,log_lik.145,log_lik.146,log_lik.147,log_lik.148,log_lik.149,log_lik.150,log_lik.151,log_lik.152,log_lik.153,log_lik.154,log_lik.155,log_lik.156,log_lik.157,log_lik.158,log_lik.159,log_lik.160,log_lik.161,log_lik.162,log_lik.163,log_lik.164,log_lik.165,log_lik.166,log_lik.167,log_lik.168,log_lik.169,log_lik.170,log_lik.171,log_lik.172,log_lik.173,log_lik.174,log_lik.175,log_lik.176,log_lik.177,log_lik.178,log_lik.179,log_lik.180,log_lik.181,log_lik.182,log_lik.183,log_lik.184,log_lik.185,log_lik.186,log_lik.187,log_lik.188,log_lik.189,log_lik.190,log_lik.191,log_lik.192,log_lik.193,log_lik.194,log_lik.195,log_lik.196,log_lik.197,log_lik.198,log_lik.199,log_lik.200,log_lik.201,log_lik.202,log_lik.203,log_lik.204,log_lik.205,log_lik.206,log_lik.207,log_lik.208,log_lik.209,log_lik.210,log_lik.211,log_lik.212,log_lik.213,log_lik.214,log_lik.215,log_lik.216,log_lik.217,log_lik.218,log_lik.219,log_lik.220,log_lik.221,log_lik.222,log_lik.223,log_lik.224,log_lik.225,log_lik.226,log_lik.227,log_lik.228,log_lik.229,log_lik.230,log_lik.231,log_lik.232,log_lik.233,log_lik.234,log_lik.235,log_lik.236,log_lik.237,log_lik.238,log_lik.239,log_lik.240,log_lik.241,log_lik.242,log_lik.243,log_lik.244,log_lik.245,log_lik.246,log_lik.247,log_lik.248,log_lik.249,log_lik.250,log_lik.251,log_lik.252,log_lik.253,log_lik.254,log_lik.255,log_lik.256,log_lik.257,log_lik.258,log_lik.259,log_lik.260,log_lik.261,log_lik.262,log_lik.263,log_lik.264,log_lik.265,log_lik.266,log_lik.267,log_lik.268,log_lik.269,log_lik.270,log_lik.271,log_lik.272,log_lik.273,log_lik.274,log_lik.275,log_lik.276,log_lik.277,log_lik.278,log_lik.279,log_lik.280,log_lik.281,log_lik.282,log_lik.283,log_lik.284,log_lik.285,log_lik.286,log_lik.287,log_lik.288,log_lik.289,log_lik.290,log_lik.291,log_lik.292
# Adaptation terminated
# Step size = 0.0457958
# Elements of inverse mass matrix:
# 0.442219, 0.0037144, 0.00126583, -0.258904
# 0.0037144, 0.000519306, -0.000589395, -0.00148856
# 0.00126583, -0.000589395, 0.0384288, 0.000131251
# -0.258904, -0.00148856, 0.000131251, 0.23026
-186.96322,0.99980014,0.04579581,6,63,0,190.0571,0.047140226,1.2153858,0.31520442,0.1302049,-0.7547376,-0.23467341,-3.5674234,-0.41745683,0.19244098,-0.13440142,-0.11862924,0.17981844,-0.20829718,-0.48165961,-0.74422515,-1.0647179,-0.22771608,-0.088489466,0.12504478,-3.1148179,-0.95487836,-0.20207901,-0.40616916,0.22197371,-2.6468867,0.19343837,0.063997678,0.21902932,0.16244501,-0.35947349,0.081908994,-0.1856803,-0.2815754,-0.1504102,-0.25110687,-0.67009975,0.16090073,-0.90318645,-0.19938453,-0.76321569,-1.2042313,-0.83744589,-2.0784885,-0.80869792,-1.2885596,-0.70794367,-1.9221013,-3.3382422,-3.7794742,-0.33133637,-0.59881548,-0.48055362,-0.12757611,-0.19495644,-0.39225605,-0.38062458,0.14149617,-0.39066203,-0.49939457,-1.783637,-1.3666337,0.042711342,-0.21975586,-0.81929085,-0.62377306,-0.14248021,0.10285598,-0.33681127,-0.58227021,0.17237984,0.21246741,-0.034930588,0.10299724,-0.21160102,-0.87126982,0.10690656,-0.2973769,-0.69704405,0.14783027,-0.42710428,0.21302024,0.052614977,-1.836087,-0.58490976,0.08270396,-0.64450633,-0.050989305,-0.0097304228,0.16520507,-0.534481,-0.14023811,-1.0408686,0.085717838,0.10276239,-0.23339427,0.17555305,-2.5020639,0.22295664,-0.19476333,-0.20004883,-0.072340725,0.13769276,-0.043116599,-0.034713582,0.029816498,-0.17248932,-0.82724839,-0.5055122,-0.23005074,0.11688994,-0.63425409,0.039143603,-0.12738424,-0.39374123,-0.13307014,-0.45583227,-0.98744133,-0.40699138,0.22272393,-0.61011634,0.097350965,-0.53199767,-5.6224908,-0.0033347618,-0.36864278,-0.43075724,-0.16620991,0.0031897861,0.020556675,-0.24683478,0.12022022,-0.80027912,0.21824726,-0.22168635,-0.43629024,-0.89301264,-0.056435957,-0.61707895,-0.4746079,-0.44917626,-0.77853043,-0.14377888,-0.90883752,-0.42788485,-0.77996733,-1.4243513,-0.92825301,-0.68924108,-1.1927334,-0.16504363,-0.58727713,-0.66636021,-0.88782698,-0.2089642,0.18800169,0.07622973,-0.0037685245,0.213756,-0.43595485,0.016281713,0.027096027,-1.0589376,-0.08163491,-0.39632591,-0.91146786,-0.40284483,0.045307851,-0.22408642,-0.70795291,-0.58588923,-0.40962201,-0.79634095,-1.3361584,-1.257017,0.16418112,-0.56193861,-0.37539104,-0.68097845,-0.10954823,-0.69991455,-4.0417285,-0.66177617,-1.2503737,-0.42658946,-1.8179801,-0.045205498,-1.9254513,0.027297024,-0.27262703,-1.4851966,-0.21956323,-0.1275155,-0.59547894,0.12579592,0.028222926,-0.33360118,-0.25852998,-0.16717875,-0.70212935,-1.1669565,0.15805081,-0.7640181,-0.33452018,-0.48354846,0.14650195,-0.22776246,-0.52644466,-0.017493678,-0.40346968,0.22038465,-0.46105488,0.22074324,-1.9506488,-0.56983046,0.036626054,-0.12373943,0.19736516,-1.4713513,-0.26230016,-2.9771039,-0.11904988,0.17065463,-0.11620445,-0.29454859,0.15214588,-0.46038903,0.20707284,0.087947752,0.17719378,0.040596653,0.082182351,0.18727124,-0.081738457,-0.28335803,-0.34001964,-0.16739876,-0.36005092,-0.40497725,-1.273598,-0.32333894,0.19667865,0.2200068,-0.15245754,-0.54265828,-0.36357195,-0.65331926,-0.65584048,-1.6059086,0.081998656,0.14414971,0.1616461,-1.8697675,-2.7391655,-0.32159768,-1.0843419,-0.71204789,-0.28851152,-0.50979315,-0.39647236,-0.3015194,-1.2484861,-5.2294896,-1.0968285,-1.0552425,-4.1424042,-3.3103793,-3.5749048,-0.97444014,0.017106376,-0.33992479,-0.030078717,-0.39741815,0.013952418,-2.1976837,-0.48393454,-0.26779659,-0.42920758,-0.0083330944,-0.24175887,-0.39586447,-2.1339619,-0.26267977,-0.49582717,0.044220589,0.15788054,-0.52642577,-1.4183282,-0.095581513,0.1991264,-0.21009834,-0.41817327,-1.3091702,-0.55256042,-0.28888562,-0.098661002,-1.6722017
-189.29112,0.99532906,0.04579581,5,63,0,195.77964,0.015250946,1.2188056,0.32067948,0.23615744,-0.73371502,-0.21679873,-5.5489222,-0.39846144,0.19848548,-0.11665538,-0.25271248,0.1435766,-0.19055723,-0.46339955,-0.72365453,-1.0437614,-0.21015885,-0.20858206,0.13801334,-3.0448888,-0.93848764,-0.1870037,-0.38921754,0.21964315,-2.5805821,0.16905669,-0.0048850011,0.2102708,0.12594156,-0.33905962,0.095547895,-0.33732204,-0.26374869,-0.13207522,-0.23505389,-0.65210349,0.17076353,-0.88137982,-0.18091209,-0.74339649,-1.1808068,-0.81699087,-2.0504381,-0.7865021,-1.263433,-0.68784983,-1.8997853,-3.2948847,-3.7494152,-0.31353966,-0.58035353,-0.4632651,-0.10792126,-0.17412113,-0.37102495,-0.35889446,0.1496801,-0.37600343,-0.48299883,-1.747351,-1.3345633,0.055747401,-0.1998033,-0.80161971,-0.60552693,-0.12729648,0.11478666,-0.31816886,-0.56300161,0.17862649,0.21626797,-0.015849965,0.1190222,-0.18896037,-0.85730882,0.11408933,-0.28410942,-0.66969162,0.15305646,-0.41307471,0.18561332,0.063429028,-1.826348,-0.57068793,0.021193364,-0.61942495,-0.03093957,0.008498945,0.17639531,-0.51086406,-0.12507885,-1.016129,0.09880754,0.039479974,-0.21566846,0.18357183,-3.7337334,0.22211125,-0.17639928,-0.18081584,-0.054489388,0.15002662,-0.025894821,-0.018446131,0.044123332,-0.15538791,-1.2070024,-0.48617905,-0.2111103,0.13128895,-0.61120443,0.056422685,-0.10828346,-0.37383342,-0.11720347,-0.43504466,-0.96467498,-0.38670362,0.2152813,-0.5892692,0.11139309,-0.50890321,-5.081307,0.014271643,-0.34806945,-0.4090225,-0.14610712,0.021407439,0.037691025,-0.22581889,0.060678432,-0.77809004,0.19744099,-0.20346755,-0.41634815,-0.87180514,-0.039902317,-0.59714643,-0.45491662,-0.43038586,-0.75591961,-0.12815914,-0.885361,-0.41113822,-0.76106522,-1.4022756,-0.90258096,-0.6649495,-1.1626165,-0.14433427,-0.5624635,-0.64042898,-0.85913033,-0.18853482,0.19589951,0.092226011,0.014517788,0.21232926,-0.41154636,0.03472089,0.044756186,-1.0397395,-0.066383454,-0.37460289,-0.89278149,-0.38225611,0.058119786,-0.20820048,-0.68277742,-0.56793084,-0.39095891,-0.7739206,-1.3098774,-1.2287725,0.12955708,-0.54549731,-0.35344512,-0.66421194,-0.095425089,-0.68212983,-4.089964,-0.64457895,-1.2199494,-0.40428624,-1.796953,-0.029840436,-1.9016134,0.042550413,-0.2533394,-1.4597813,-0.20157085,-0.11030599,-0.57632078,0.13620946,0.044840695,-0.31773778,-0.23788396,-0.15122057,-0.67960232,-1.1431861,0.16673852,-0.74184094,-0.31520953,-0.46260367,0.15528354,-0.21203028,-0.50410052,-0.0045278249,-0.3870928,0.22126833,-0.44458058,0.22133523,-1.9180999,-0.5501395,0.051631016,-0.10830537,0.20529552,-1.4401496,-0.24176119,-2.9833611,-0.24861392,0.13042384,-0.10244842,-0.2797052,0.15932938,-0.44384322,0.20629786,0.098387921,0.18180326,0.052483967,0.092831857,0.19054521,-0.062846316,-0.26771117,-0.32405364,-0.15256294,-0.34398027,-0.38356182,-1.2444504,-0.30746311,0.19791287,0.2117216,-0.13706499,-0.52491465,-0.34597187,-0.63161544,-0.63667651,-1.5774178,0.093862477,0.099102135,0.1693263,-1.8448413,-2.6936823,-0.51273346,-1.0581418,-0.6905965,-0.2709914,-0.49091419,-0.37937905,-0.28421857,-1.2248766,-5.2962882,-1.0761129,-1.0364596,-4.1657049,-3.288037,-3.5768989,-0.94775965,0.029963696,-0.32452336,-0.1338172,-0.38001303,0.027996804,-2.1761609,-0.46542417,-0.24999123,-0.41155419,0.0046307341,-0.22228002,-0.3740383,-2.1144997,-0.24597008,-0.47701009,0.057989099,0.16583141,-0.50616593,-1.3886741,-0.077234668,0.20072972,-0.19494318,-0.39598016,-1.2925952,-0.53661695,-0.27282379,-0.081454106,-1.6508725
-188.8087,0.99987907,0.04579581,6,127,0,191.54206,0.042475993,1.194872,0.32182838,0.090295852,-0.75006357,-0.21185885,-5.7291664,-0.40111372,0.23011512,-0.10723358,-0.18195269,0.19689488,-0.18450594,-0.46859822,-0.73941451,-1.0723945,-0.20481403,-0.13923663,0.16233721,-3.1625167,-0.96254902,-0.1806729,-0.39134586,0.25594493,-2.6797306,0.21912283,0.057357767,0.25334024,0.18040637,-0.33894835,0.11704313,-0.26462853,-0.260298,-0.12389365,-0.23038735,-0.66440789,0.19798127,-0.90316974,-0.17479815,-0.75955504,-1.2145366,-0.83720146,-2.1184386,-0.80444002,-1.3024447,-0.70291156,-1.9644129,-3.4102092,-3.8768693,-0.31309113,-0.59094004,-0.46915897,-0.097596608,-0.16668342,-0.37177347,-0.35903777,0.17368353,-0.37874496,-0.49038296,-1.8003233,-1.3718681,0.071950578,-0.19190816,-0.8227223,-0.6185945,-0.12019749,0.13507823,-0.31544738,-0.57008815,0.20938952,0.24961736,-0.0035595816,0.13988422,-0.18490266,-0.87518757,0.1382829,-0.27990752,-0.68633432,0.18048934,-0.41420447,0.23624509,0.083952441,-1.8786939,-0.57817801,0.080715951,-0.63210951,-0.017870213,0.024859609,0.205985,-0.51677844,-0.11751177,-1.0415844,0.11841033,0.098755226,-0.212256,0.21087303,-3.7660414,0.25709259,-0.16806226,-0.17269263,-0.040504774,0.17745031,-0.010380319,-0.0025314725,0.063515143,-0.14603775,-1.1327259,-0.49053645,-0.20478158,0.15513775,-0.62270431,0.07461135,-0.098752347,-0.37532026,-0.10639885,-0.44126458,-0.99262612,-0.39047799,0.2575524,-0.59808553,0.13382887,-0.51641734,-5.4212914,0.030245812,-0.34872956,-0.41215297,-0.13788037,0.038152414,0.055354702,-0.22083597,0.1196421,-0.79520239,0.24413004,-0.19707735,-0.4208848,-0.89501244,-0.027686243,-0.60907725,-0.45887391,-0.43339775,-0.77432015,-0.11861571,-0.90911837,-0.4132634,-0.77700247,-1.4427742,-0.92800006,-0.68017195,-1.1988103,-0.13700869,-0.57277159,-0.65372235,-0.88121254,-0.18219055,0.22803761,0.11355827,0.03121422,0.25245235,-0.41407754,0.052682567,0.063214062,-1.0696752,-0.05542621,-0.37568338,-0.91612844,-0.38385789,0.075918134,-0.20377101,-0.69638853,-0.57861929,-0.39464151,-0.79009514,-1.3468442,-1.2631224,0.18429695,-0.55540288,-0.35308793,-0.67898109,-0.086226523,-0.69766333,-4.2433658,-0.65876103,-1.2536309,-0.4056323,-1.8611342,-0.017966718,-1.9707092,0.06190779,-0.24803224,-1.5105215,-0.19808355,-0.10270177,-0.58384055,0.16251602,0.060403081,-0.31485886,-0.23599396,-0.14146005,-0.69627829,-1.1794135,0.19592812,-0.75626908,-0.31262627,-0.46591549,0.17904785,-0.20868883,-0.5091441,0.008527261,-0.39174627,0.25387641,-0.45124431,0.2536176,-1.9735378,-0.5544641,0.065851174,-0.094371784,0.232965,-1.4955298,-0.24215947,-3.0429227,-0.18166747,0.18789653,-0.088363932,-0.27301409,0.19002342,-0.4436332,0.24505738,0.12390112,0.21552363,0.074903598,0.11794049,0.22565969,-0.055056675,-0.26054784,-0.31916219,-0.1405361,-0.33988015,-0.38993472,-1.2902612,-0.30190826,0.23424778,0.25572479,-0.12438295,-0.52785409,-0.34198824,-0.64896874,-0.64380505,-1.6392811,0.11909974,0.15882058,0.20165978,-1.9200323,-2.759723,-0.43444972,-1.0806093,-0.69959545,-0.26373546,-0.49229993,-0.37632512,-0.27734241,-1.25198,-5.1497857,-1.0980135,-1.0568572,-4.1787952,-3.3463547,-3.6237112,-0.98058214,0.051519554,-0.31902781,-0.062388377,-0.3767715,0.04958893,-2.2264891,-0.46515695,-0.24120832,-0.40905986,0.02529382,-0.22262545,-0.38148724,-2.1616957,-0.23667924,-0.47670041,0.082210134,0.19927403,-0.50677634,-1.4199229,-0.060524789,0.24207648,-0.19465465,-0.39240431,-1.3424642,-0.5516041,-0.27644737,-0.063910818,-1.7218711
