# stan_version_major = 2
# stan_version_minor = 37
# stan_version_patch = 0
# model = rlddm_single_subject_model
# start_datetime = 2025-09-24 22:28:49 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 3000
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.9999
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = dense_e
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/s0/k9fg8kp94xl307gydfsd9gf00000gq/T/tmp88t0wtc0/45dlblme.json
# init = 2 (Default)
# random
#   seed = 2026
# output
#   file = /Users/jy4657/Desktop/Repositories/tst-stan/cmdstan_tmp/rlddm_single_subject-20250924182849_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.37.0
# stancflags = --filename-in-msg=rlddm_single_subject.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,a,t0,log_scaler,scaler,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46,log_lik.47,log_lik.48,log_lik.49,log_lik.50,log_lik.51,log_lik.52,log_lik.53,log_lik.54,log_lik.55,log_lik.56,log_lik.57,log_lik.58,log_lik.59,log_lik.60,log_lik.61,log_lik.62,log_lik.63,log_lik.64,log_lik.65,log_lik.66,log_lik.67,log_lik.68,log_lik.69,log_lik.70,log_lik.71,log_lik.72,log_lik.73,log_lik.74,log_lik.75,log_lik.76,log_lik.77,log_lik.78,log_lik.79,log_lik.80,log_lik.81,log_lik.82,log_lik.83,log_lik.84,log_lik.85,log_lik.86,log_lik.87,log_lik.88,log_lik.89,log_lik.90,log_lik.91,log_lik.92,log_lik.93,log_lik.94,log_lik.95,log_lik.96,log_lik.97,log_lik.98,log_lik.99,log_lik.100,log_lik.101,log_lik.102,log_lik.103,log_lik.104,log_lik.105,log_lik.106,log_lik.107,log_lik.108,log_lik.109,log_lik.110,log_lik.111,log_lik.112,log_lik.113,log_lik.114,log_lik.115,log_lik.116,log_lik.117,log_lik.118,log_lik.119,log_lik.120,log_lik.121,log_lik.122,log_lik.123,log_lik.124,log_lik.125,log_lik.126,log_lik.127,log_lik.128,log_lik.129,log_lik.130,log_lik.131,log_lik.132,log_lik.133,log_lik.134,log_lik.135,log_lik.136,log_lik.137,log_lik.138,log_lik.139,log_lik.140,log_lik.141,log_lik.142,log_lik.143,log_lik.144,log_lik.145,log_lik.146,log_lik.147,log_lik.148,log_lik.149,log_lik.150,log_lik.151,log_lik.152,log_lik.153,log_lik.154,log_lik.155,log_lik.156,log_lik.157,log_lik.158,log_lik.159,log_lik.160,log_lik.161,log_lik.162,log_lik.163,log_lik.164,log_lik.165,log_lik.166,log_lik.167,log_lik.168,log_lik.169,log_lik.170,log_lik.171,log_lik.172,log_lik.173,log_lik.174,log_lik.175,log_lik.176,log_lik.177,log_lik.178,log_lik.179,log_lik.180,log_lik.181,log_lik.182,log_lik.183,log_lik.184,log_lik.185,log_lik.186,log_lik.187,log_lik.188,log_lik.189,log_lik.190,log_lik.191,log_lik.192,log_lik.193,log_lik.194,log_lik.195,log_lik.196,log_lik.197,log_lik.198,log_lik.199,log_lik.200,log_lik.201,log_lik.202,log_lik.203,log_lik.204,log_lik.205,log_lik.206,log_lik.207,log_lik.208,log_lik.209,log_lik.210,log_lik.211,log_lik.212,log_lik.213,log_lik.214,log_lik.215,log_lik.216,log_lik.217,log_lik.218,log_lik.219,log_lik.220,log_lik.221,log_lik.222,log_lik.223,log_lik.224,log_lik.225,log_lik.226,log_lik.227,log_lik.228,log_lik.229,log_lik.230,log_lik.231,log_lik.232,log_lik.233,log_lik.234,log_lik.235,log_lik.236,log_lik.237,log_lik.238,log_lik.239,log_lik.240,log_lik.241,log_lik.242,log_lik.243,log_lik.244,log_lik.245,log_lik.246,log_lik.247,log_lik.248,log_lik.249,log_lik.250,log_lik.251,log_lik.252,log_lik.253,log_lik.254,log_lik.255,log_lik.256,log_lik.257,log_lik.258,log_lik.259,log_lik.260,log_lik.261,log_lik.262,log_lik.263,log_lik.264,log_lik.265,log_lik.266,log_lik.267,log_lik.268,log_lik.269,log_lik.270,log_lik.271,log_lik.272,log_lik.273,log_lik.274,log_lik.275,log_lik.276,log_lik.277,log_lik.278,log_lik.279,log_lik.280,log_lik.281,log_lik.282,log_lik.283,log_lik.284,log_lik.285,log_lik.286,log_lik.287,log_lik.288,log_lik.289,log_lik.290,log_lik.291,log_lik.292
# Adaptation terminated
# Step size = 0.0326197
# Elements of inverse mass matrix:
# 0.411468, 0.00725377, -0.0099155, -0.0939658
# 0.00725377, 0.00458966, -0.0065864, 0.00622485
# -0.0099155, -0.0065864, 0.0485589, -0.00549218
# -0.0939658, 0.00622485, -0.00549218, 0.0728963
-181.50623,0.99979412,0.032619693,6,127,0,182.76138,0.56959009,1.2673946,0.30463723,-3.2732642,0.037882571,-0.74969115,-0.27200911,-2.155248,-0.43533901,0.11200991,-0.18166999,-0.12575408,0.10328997,-0.24854449,-0.4857224,-0.73380856,-1.0283416,-0.2637576,-0.1187461,0.043006804,-3.0185665,-0.91612817,-0.238854,-0.42956718,0.14868648,-2.5641277,0.11431432,0.0036027144,0.13782454,0.082833571,-0.38407235,0.017830427,-0.17500103,-0.31137624,-0.20729243,-0.27120125,-0.65252641,0.080277734,-0.8824395,-0.25261588,-0.74069403,-1.159247,-0.82279478,-1.9611994,-0.79861987,-1.2650949,-0.71675701,-1.8280015,-3.0925163,-3.4491499,-0.35986029,-0.60305689,-0.49445023,-0.17522622,-0.2360257,-0.40411156,-0.40076783,0.066864614,-0.41984615,-0.53214531,-1.6415381,-1.2911158,-0.034999543,-0.25022763,-0.81995943,-0.64272706,-0.19525274,0.017363192,-0.34599014,-0.56950835,0.11611794,0.11036616,-0.10943794,0.016285985,-0.26798031,-0.83398101,0.052166971,-0.32501175,-0.70198308,0.084835714,-0.45012048,0.13024047,-0.015687167,-1.7597859,-0.59953402,0.02897225,-0.64200178,-0.10974231,-0.072328857,0.080565357,-0.55725023,-0.18680535,-1.0042974,0.014621439,0.037380515,-0.27568048,0.094362528,-1.6229678,0.12247156,-0.21712794,-0.23341056,-0.12516327,0.059729143,-0.092946003,-0.082215346,-0.023539556,-0.21059879,-0.63504579,-0.53733705,-0.28406752,0.031999788,-0.64493188,-0.026582368,-0.17373231,-0.40459284,-0.16289754,-0.48287285,-0.97491724,-0.43818703,0.13528625,-0.62631229,0.021647681,-0.5579759,-7.1779369,-0.062979817,-0.39320687,-0.44938315,-0.20612383,-0.051005167,-0.03489115,-0.2766777,0.038536612,-0.76352525,0.12425471,-0.24871505,-0.47773635,-0.88703906,-0.12219829,-0.62871116,-0.48711696,-0.46172851,-0.780362,-0.18338359,-0.89532669,-0.43548112,-0.76570933,-1.3584468,-0.93002718,-0.70529075,-1.1731823,-0.21820699,-0.6059107,-0.67751345,-0.8806499,-0.24769902,0.10754448,0.0087550852,-0.065614916,0.12665694,-0.46239844,-0.041070211,-0.027766543,-1.0607647,-0.15000672,-0.41248546,-0.91619766,-0.40853633,-0.025820977,-0.26893381,-0.7111827,-0.60228306,-0.43997232,-0.78943856,-1.2697858,-1.1931327,0.099431775,-0.58379551,-0.38604835,-0.70166265,-0.16003848,-0.70843755,-4.0210777,-0.66820022,-1.1996323,-0.44235553,-1.7602141,-0.10798485,-1.8706902,-0.024687249,-0.2971393,-1.4431334,-0.26627884,-0.1818969,-0.59232119,0.059071304,-0.03478853,-0.36071917,-0.29581026,-0.22001606,-0.68905763,-1.1050319,0.068274946,-0.77993659,-0.36598702,-0.50772244,0.078962688,-0.27367286,-0.52323865,-0.089065082,-0.44499048,0.11931247,-0.49032767,0.12930039,-1.8145576,-0.57016676,-0.02394721,-0.16428947,0.11387117,-1.4210011,-0.3017739,-2.724508,-0.13488721,0.10269554,-0.15998395,-0.32394819,0.070628311,-0.48799969,0.13029059,0.016963388,0.092289213,-0.016939169,0.025589156,0.10701057,-0.13061709,-0.32372027,-0.36293682,-0.2143313,-0.38501011,-0.43646956,-1.2202893,-0.35728947,0.11130618,0.13270332,-0.20163814,-0.55246042,-0.38936391,-0.6577551,-0.66569245,-1.5411508,0.009818192,0.068050859,0.080751294,-1.7515275,-2.6156518,-0.28791568,-1.0418896,-0.70284749,-0.31822569,-0.50635757,-0.39993565,-0.32417658,-1.1941686,-4.1967615,-1.0440941,-1.0055666,-3.6174301,-3.1004021,-3.2401499,-0.97680956,-0.036038172,-0.35459196,-0.058914056,-0.41945734,-0.050627064,-2.048062,-0.49603512,-0.29765595,-0.43246288,-0.046465137,-0.29015285,-0.44183409,-1.967066,-0.29108141,-0.50479939,-0.012691985,0.088335772,-0.53099047,-1.3582657,-0.14546143,0.11863091,-0.25138236,-0.43888191,-1.2689015,-0.56817723,-0.33365418,-0.12499785,-1.6501559
-183.58458,0.99886631,0.032619693,6,63,0,187.18431,0.60955731,1.2329895,0.31585688,-3.7441313,0.02365617,-0.73859698,-0.23360237,-3.9603185,-0.40792159,0.17247788,-0.1365252,-0.19832947,0.13434668,-0.20839824,-0.46553299,-0.72461531,-1.0373115,-0.22595966,-0.17134512,0.10590144,-3.07937,-0.92631386,-0.20281371,-0.40241962,0.20131683,-2.6043428,0.15613545,0.0038249304,0.19114866,0.11546071,-0.35105127,0.073334492,-0.2674414,-0.27672876,-0.15952085,-0.24055143,-0.64511069,0.14176492,-0.88005892,-0.20744975,-0.73593173,-1.1724466,-0.81859095,-2.019767,-0.78895313,-1.2752486,-0.70202588,-1.8836937,-3.2115232,-3.6101711,-0.3283694,-0.58757023,-0.47341585,-0.12697636,-0.19092118,-0.37447666,-0.36776275,0.12166929,-0.39364096,-0.50691376,-1.6845539,-1.3072567,0.01987296,-0.20926455,-0.81457907,-0.62425953,-0.15311273,0.07682286,-0.31743682,-0.55500627,0.16824603,0.17673703,-0.051703722,0.081287636,-0.21914466,-0.84065605,0.100276,-0.29504951,-0.68152332,0.1360692,-0.4246932,0.17081442,0.038240168,-1.8095684,-0.58141899,0.03175372,-0.62325329,-0.056074316,-0.01645714,0.1463628,-0.52602014,-0.14656742,-1.0062694,0.07022421,0.042176258,-0.23719379,0.15365233,-2.7990184,0.18439506,-0.18025435,-0.19228122,-0.074716635,0.12308004,-0.042499454,-0.033354298,0.027750704,-0.1690004,-0.97298768,-0.50571156,-0.23732543,0.097290323,-0.62223305,0.031182828,-0.12734201,-0.37745173,-0.12418606,-0.45379874,-0.97383965,-0.40598677,0.19137667,-0.60268087,0.081844568,-0.5280409,-6.0687377,-0.008853125,-0.36062122,-0.41942613,-0.16197229,0.0024372866,0.018424531,-0.23759128,0.052397607,-0.76231598,0.17247966,-0.21275593,-0.44295676,-0.88108057,-0.070102195,-0.60971585,-0.46205561,-0.43686616,-0.76681015,-0.14324117,-0.8902794,-0.41320802,-0.75934729,-1.3844866,-0.91993379,-0.68360037,-1.1744136,-0.17004311,-0.57889992,-0.65421393,-0.86763399,-0.20612113,0.16980402,0.067300002,-0.0098955129,0.18740683,-0.42663351,0.01469305,0.026520886,-1.0608838,-0.099291057,-0.38203505,-0.91021297,-0.38286197,0.028664054,-0.23037945,-0.69154067,-0.58284218,-0.40953369,-0.77789324,-1.2889165,-1.2078774,0.12919188,-0.5633404,-0.35638775,-0.68471165,-0.11730045,-0.69573227,-4.2245752,-0.6559679,-1.2065898,-0.41129223,-1.8048421,-0.058523163,-1.9157748,0.027033869,-0.26092106,-1.4682188,-0.2261339,-0.13681779,-0.57535442,0.11609327,0.01833577,-0.32878594,-0.25748268,-0.1742612,-0.67962112,-1.1253344,0.13374818,-0.75813062,-0.32889935,-0.47666874,0.13184596,-0.23616063,-0.50154278,-0.037837631,-0.41436739,0.18093054,-0.46538527,0.1873728,-1.861055,-0.54795043,0.025354399,-0.11917751,0.17281945,-1.4487736,-0.26547962,-2.8346892,-0.20387929,0.13127507,-0.11523538,-0.28838437,0.13335063,-0.45635707,0.18890614,0.075681813,0.15570184,0.036618887,0.079193436,0.16800971,-0.085992602,-0.28367279,-0.33003255,-0.1692753,-0.35142065,-0.40651965,-1.2415489,-0.32043043,0.17312846,0.19054367,-0.15502042,-0.52792416,-0.35423266,-0.64542513,-0.64322741,-1.5814396,0.070106438,0.096191632,0.14482714,-1.8209643,-2.653123,-0.41663633,-1.0401378,-0.68524194,-0.27933667,-0.4834975,-0.37344321,-0.28850094,-1.2037385,-4.3715097,-1.0512979,-1.0123176,-3.7660832,-3.1828917,-3.358733,-0.97319859,0.016251286,-0.32412419,-0.094238046,-0.38622204,0.0068804973,-2.1026792,-0.46718691,-0.25717379,-0.40555248,0.00058807848,-0.25166775,-0.40776208,-2.0268557,-0.25206206,-0.47669147,0.044263571,0.15017157,-0.50346178,-1.3659957,-0.09209134,0.18276815,-0.2192751,-0.40117027,-1.302482,-0.55594436,-0.30291051,-0.079709115,-1.6932017
-178.64844,0.99986071,0.032619693,6,127,0,185.11703,0.13584696,1.2980775,0.31322487,-2.5688248,0.076625544,-0.70606289,-0.25192417,-4.0319679,-0.41046203,0.084520336,-0.16712632,-0.39252538,-0.0086915714,-0.22942913,-0.46408249,-0.69535235,-0.97483232,-0.24487324,-0.36053983,0.039381957,-2.7940684,-0.87321579,-0.21867638,-0.39734185,0.10475792,-2.3931545,0.012630426,-0.17042804,0.068251748,-0.034571903,-0.36168743,0.012555651,-0.47274035,-0.29030314,-0.183662,-0.26027597,-0.62528019,0.065004077,-0.83347735,-0.22540986,-0.708659,-1.0969133,-0.77869396,-1.8600569,-0.75292544,-1.178701,-0.66562407,-1.7290293,-2.95295,-3.3237814,-0.33514694,-0.56762503,-0.46319064,-0.16497124,-0.22337853,-0.39132867,-0.38231218,0.062164968,-0.38443136,-0.4826047,-1.5986768,-1.2389996,-0.019183011,-0.23885845,-0.76348044,-0.59283592,-0.17190039,0.02710578,-0.33645292,-0.54876296,0.082474746,0.083913831,-0.09168938,0.017253468,-0.24409779,-0.79349078,0.04271074,-0.29642814,-0.66706753,0.072273304,-0.41145806,0.048832187,-0.0050995181,-1.6487653,-0.55548748,-0.1426642,-0.61131289,-0.099375559,-0.065282523,0.063448599,-0.51809808,-0.16814535,-0.95575488,0.014560571,-0.12009008,-0.25205036,0.077817211,-2.9684998,0.098529218,-0.21734985,-0.22423513,-0.11553649,0.047410937,-0.090874511,-0.082185675,-0.028120815,-0.19739537,-1.2014766,-0.4925653,-0.25499789,0.029156799,-0.60673148,-0.028440549,-0.16429056,-0.39190221,-0.16411161,-0.44595161,-0.9086992,-0.40226292,0.080277523,-0.58299182,0.020089744,-0.51599318,-4.8702396,-0.059696836,-0.37019977,-0.42513317,-0.19627353,-0.05446966,-0.038947139,-0.26481289,-0.097328095,-0.74016571,0.04966795,-0.23694979,-0.43418485,-0.83277093,-0.10436384,-0.58962431,-0.45703339,-0.43393388,-0.73328943,-0.16838242,-0.8470939,-0.41278851,-0.72130851,-1.2835702,-0.86800173,-0.65737189,-1.1016952,-0.19953111,-0.56733748,-0.63643094,-0.83057565,-0.23280538,0.077694182,0.0035524406,-0.060343494,0.075746915,-0.43293105,-0.044625284,-0.034351907,-0.97590873,-0.12271261,-0.39281516,-0.84575914,-0.3959316,-0.016955493,-0.2434055,-0.66644511,-0.56002194,-0.40805827,-0.73895573,-1.209296,-1.1435221,-0.026803604,-0.53750663,-0.37042273,-0.64648176,-0.14369531,-0.65968211,-3.7280364,-0.62482472,-1.1396082,-0.41910916,-1.6513137,-0.092894382,-1.7511097,-0.028475843,-0.28308569,-1.3581649,-0.2429343,-0.16373646,-0.55987465,0.049659062,-0.037225496,-0.32899501,-0.28130271,-0.18797871,-0.66745928,-1.0751494,0.067870029,-0.71282448,-0.33624138,-0.46810897,0.062515275,-0.24481221,-0.50188592,-0.071409022,-0.40492871,0.094634199,-0.45515594,0.097531758,-1.7276922,-0.53748198,-0.023815581,-0.1532055,0.089488479,-1.3406567,-0.27755761,-2.6140556,-0.39889371,-0.017222712,-0.1500245,-0.30346794,0.060090311,-0.45010284,0.091090264,0.015345104,0.073251391,-0.019879091,0.016351435,0.083035545,-0.12182823,-0.2961961,-0.34094903,-0.19514084,-0.36180497,-0.39906186,-1.160861,-0.32987234,0.084161089,0.081019821,-0.18106658,-0.51956185,-0.36180497,-0.61678894,-0.61985662,-1.4548737,0.010203221,-0.055328753,0.066834618,-1.6904882,-2.4247397,-0.63168573,-0.9890293,-0.66681396,-0.30036425,-0.48789427,-0.38727922,-0.30690433,-1.1277698,-4.1755672,-0.99408093,-0.96104225,-3.5319186,-2.8694778,-3.1040701,-0.90682406,-0.037251587,-0.3403955,-0.28135992,-0.39200219,-0.041985108,-1.9434558,-0.46609126,-0.27962023,-0.41685895,-0.054819224,-0.26147217,-0.3985973,-1.887099,-0.27342705,-0.47695124,-0.018016443,0.063726678,-0.50508897,-1.2838783,-0.1358699,0.073516336,-0.22777698,-0.4162906,-1.1913753,-0.52515208,-0.2964222,-0.13504204,-1.5249396
