# stan_version_major = 2
# stan_version_minor = 37
# stan_version_patch = 0
# model = rlddm_single_subject_model
# start_datetime = 2025-09-24 22:28:49 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 3000
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.9999
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = dense_e
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /var/folders/s0/k9fg8kp94xl307gydfsd9gf00000gq/T/tmp88t0wtc0/45dlblme.json
# init = 2 (Default)
# random
#   seed = 2026
# output
#   file = /Users/jy4657/Desktop/Repositories/tst-stan/cmdstan_tmp/rlddm_single_subject-20250924182849_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.37.0
# stancflags = --filename-in-msg=rlddm_single_subject.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,a,t0,log_scaler,scaler,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46,log_lik.47,log_lik.48,log_lik.49,log_lik.50,log_lik.51,log_lik.52,log_lik.53,log_lik.54,log_lik.55,log_lik.56,log_lik.57,log_lik.58,log_lik.59,log_lik.60,log_lik.61,log_lik.62,log_lik.63,log_lik.64,log_lik.65,log_lik.66,log_lik.67,log_lik.68,log_lik.69,log_lik.70,log_lik.71,log_lik.72,log_lik.73,log_lik.74,log_lik.75,log_lik.76,log_lik.77,log_lik.78,log_lik.79,log_lik.80,log_lik.81,log_lik.82,log_lik.83,log_lik.84,log_lik.85,log_lik.86,log_lik.87,log_lik.88,log_lik.89,log_lik.90,log_lik.91,log_lik.92,log_lik.93,log_lik.94,log_lik.95,log_lik.96,log_lik.97,log_lik.98,log_lik.99,log_lik.100,log_lik.101,log_lik.102,log_lik.103,log_lik.104,log_lik.105,log_lik.106,log_lik.107,log_lik.108,log_lik.109,log_lik.110,log_lik.111,log_lik.112,log_lik.113,log_lik.114,log_lik.115,log_lik.116,log_lik.117,log_lik.118,log_lik.119,log_lik.120,log_lik.121,log_lik.122,log_lik.123,log_lik.124,log_lik.125,log_lik.126,log_lik.127,log_lik.128,log_lik.129,log_lik.130,log_lik.131,log_lik.132,log_lik.133,log_lik.134,log_lik.135,log_lik.136,log_lik.137,log_lik.138,log_lik.139,log_lik.140,log_lik.141,log_lik.142,log_lik.143,log_lik.144,log_lik.145,log_lik.146,log_lik.147,log_lik.148,log_lik.149,log_lik.150,log_lik.151,log_lik.152,log_lik.153,log_lik.154,log_lik.155,log_lik.156,log_lik.157,log_lik.158,log_lik.159,log_lik.160,log_lik.161,log_lik.162,log_lik.163,log_lik.164,log_lik.165,log_lik.166,log_lik.167,log_lik.168,log_lik.169,log_lik.170,log_lik.171,log_lik.172,log_lik.173,log_lik.174,log_lik.175,log_lik.176,log_lik.177,log_lik.178,log_lik.179,log_lik.180,log_lik.181,log_lik.182,log_lik.183,log_lik.184,log_lik.185,log_lik.186,log_lik.187,log_lik.188,log_lik.189,log_lik.190,log_lik.191,log_lik.192,log_lik.193,log_lik.194,log_lik.195,log_lik.196,log_lik.197,log_lik.198,log_lik.199,log_lik.200,log_lik.201,log_lik.202,log_lik.203,log_lik.204,log_lik.205,log_lik.206,log_lik.207,log_lik.208,log_lik.209,log_lik.210,log_lik.211,log_lik.212,log_lik.213,log_lik.214,log_lik.215,log_lik.216,log_lik.217,log_lik.218,log_lik.219,log_lik.220,log_lik.221,log_lik.222,log_lik.223,log_lik.224,log_lik.225,log_lik.226,log_lik.227,log_lik.228,log_lik.229,log_lik.230,log_lik.231,log_lik.232,log_lik.233,log_lik.234,log_lik.235,log_lik.236,log_lik.237,log_lik.238,log_lik.239,log_lik.240,log_lik.241,log_lik.242,log_lik.243,log_lik.244,log_lik.245,log_lik.246,log_lik.247,log_lik.248,log_lik.249,log_lik.250,log_lik.251,log_lik.252,log_lik.253,log_lik.254,log_lik.255,log_lik.256,log_lik.257,log_lik.258,log_lik.259,log_lik.260,log_lik.261,log_lik.262,log_lik.263,log_lik.264,log_lik.265,log_lik.266,log_lik.267,log_lik.268,log_lik.269,log_lik.270,log_lik.271,log_lik.272,log_lik.273,log_lik.274,log_lik.275,log_lik.276,log_lik.277,log_lik.278,log_lik.279,log_lik.280,log_lik.281,log_lik.282,log_lik.283,log_lik.284,log_lik.285,log_lik.286,log_lik.287,log_lik.288,log_lik.289,log_lik.290,log_lik.291,log_lik.292
# Adaptation terminated
# Step size = 0.0712254
# Elements of inverse mass matrix:
# 0.50825, 0.0153087, -0.0181986, -0.111816
# 0.0153087, 0.00475271, -0.00675843, 0.00340504
# -0.0181986, -0.00675843, 0.0492956, -0.00426583
# -0.111816, 0.00340504, -0.00426583, 0.0725077
-177.63274,0.99845251,0.071225375,5,31,0,180.89648,0.23473682,1.2935414,0.3162661,-2.6585087,0.070052615,-0.69942905,-0.24214529,-4.8737289,-0.40089208,0.091949913,-0.1579877,-0.44522446,-0.017081936,-0.2199057,-0.45167532,-0.68619459,-0.96629706,-0.23370696,-0.41473518,0.044924214,-2.8504512,-0.85812107,-0.20459317,-0.38599326,0.11673987,-2.4483656,0.0047125688,-0.20056847,0.069476214,-0.048004583,-0.35281857,0.024663477,-0.53564161,-0.27843367,-0.17871099,-0.24348361,-0.60970908,0.070579126,-0.82424241,-0.22098705,-0.69516865,-1.0898279,-0.77178358,-1.8566813,-0.74687498,-1.1810443,-0.65880106,-1.7232227,-2.9595861,-3.3098014,-0.3242263,-0.55672438,-0.45104349,-0.15793808,-0.21701591,-0.38202973,-0.37450371,0.07436838,-0.37433144,-0.47695146,-1.591718,-1.2350825,-0.011606496,-0.22784213,-0.75873009,-0.58847923,-0.1627811,0.033627855,-0.32127705,-0.53354699,0.10009366,0.08161717,-0.090840686,0.018024387,-0.24275156,-0.77674607,0.060565805,-0.28092254,-0.66790674,0.08970665,-0.39931611,0.048817626,0.0063547198,-1.6467415,-0.547098,-0.16649314,-0.60476042,-0.091705097,-0.05750126,0.068365332,-0.51526491,-0.15654447,-0.94997261,0.023690549,-0.1435249,-0.24393656,0.08574174,-3.5144275,0.10243388,-0.20455407,-0.21498473,-0.10739037,0.052791352,-0.082322721,-0.072041627,-0.01702932,-0.18697078,-1.3771852,-0.49183055,-0.25345801,0.030856558,-0.60543933,-0.022875961,-0.15679823,-0.38177017,-0.14999979,-0.44168607,-0.90572603,-0.39663909,0.083684477,-0.57826283,0.028362411,-0.51235007,-5.3768784,-0.050794533,-0.36140504,-0.41710111,-0.18672179,-0.044141857,-0.027671763,-0.25426986,-0.12168063,-0.72356022,0.042521173,-0.22110799,-0.43484936,-0.83340628,-0.099618865,-0.58617715,-0.44497161,-0.42089647,-0.73289122,-0.15353565,-0.84576147,-0.39788537,-0.71001981,-1.2760208,-0.87069781,-0.65717945,-1.1073091,-0.19427438,-0.5649684,-0.63431053,-0.83008389,-0.22217709,0.08556097,0.013639238,-0.050982885,0.078554561,-0.4285723,-0.034788637,-0.022641776,-0.97857574,-0.11790918,-0.38130389,-0.84633938,-0.3812327,-0.0098420991,-0.23626957,-0.66031026,-0.55538104,-0.40419771,-0.7305073,-1.2031351,-1.1361172,-0.032298773,-0.53471254,-0.3547814,-0.64715288,-0.1366289,-0.65493316,-3.7837411,-0.61739385,-1.1388922,-0.40797234,-1.6678196,-0.086075701,-1.7746133,-0.013847704,-0.27157162,-1.3664945,-0.23767342,-0.1579126,-0.54543499,0.061695522,-0.024054705,-0.32144998,-0.26999161,-0.18303951,-0.65400064,-1.0581526,0.067806603,-0.72119053,-0.33269959,-0.46219642,0.0755136,-0.23715711,-0.48847359,-0.065286538,-0.40124623,0.10122707,-0.44503422,0.1066099,-1.7383605,-0.53314128,-0.0087045496,-0.14478101,0.1000914,-1.3341075,-0.26596052,-2.6248018,-0.45340195,-0.027456233,-0.14082482,-0.29526754,0.065621816,-0.44651969,0.097641311,0.023834723,0.079386303,-0.0085245826,0.029849019,0.092008147,-0.11160032,-0.28803579,-0.32994952,-0.18532387,-0.3530937,-0.39347789,-1.1568003,-0.3209391,0.092074405,0.08489768,-0.17116605,-0.51197535,-0.35352073,-0.60768179,-0.61452587,-1.4524813,0.019283578,-0.070348253,0.074450214,-1.6785495,-2.4622276,-0.72145796,-0.98886711,-0.66070019,-0.29155402,-0.47676477,-0.37360723,-0.29577913,-1.1236168,-4.1366532,-0.9850938,-0.95039421,-3.5103459,-2.887914,-3.0913229,-0.90867541,-0.024032561,-0.32729346,-0.32138706,-0.38490292,-0.034088021,-1.9469574,-0.45924569,-0.27189502,-0.40602371,-0.039685803,-0.25386047,-0.39466692,-1.8809452,-0.26326848,-0.46914766,-0.008129617,0.072335339,-0.4981242,-1.2889939,-0.1287731,0.076735022,-0.21515976,-0.41155773,-1.1821694,-0.51422711,-0.28697605,-0.12023257,-1.5319001
-179.40613,0.99765627,0.071225375,5,31,0,182.21895,0.44643015,1.2463714,0.31986849,-3.2553875,0.038565875,-0.71617591,-0.22241538,-5.6016173,-0.39302669,0.15996834,-0.12921307,-0.34347227,0.078959535,-0.19818797,-0.44763993,-0.70091559,-1.0049446,-0.21375322,-0.31074824,0.10021094,-3.0379757,-0.89202174,-0.18762633,-0.38379695,0.18739366,-2.5802069,0.10515951,-0.090812856,0.15909773,0.053872594,-0.33825938,0.073504026,-0.43205365,-0.26315364,-0.15217074,-0.22571698,-0.62074999,0.13276109,-0.85283501,-0.19880243,-0.71146416,-1.1385488,-0.79326511,-1.9668509,-0.76679308,-1.2403822,-0.6768939,-1.8268898,-3.1428227,-3.5158431,-0.31212204,-0.56403807,-0.45161371,-0.12329419,-0.18621117,-0.36397347,-0.35702659,0.12229165,-0.3743571,-0.48614071,-1.6517369,-1.2788315,0.024464852,-0.20076356,-0.78765567,-0.60354276,-0.14223606,0.077202836,-0.30331908,-0.5342201,0.16408961,0.15502097,-0.052227187,0.073576122,-0.21530614,-0.80713007,0.10573001,-0.27538178,-0.66919805,0.13814609,-0.40393309,0.13176249,0.042560133,-1.7545872,-0.55940032,-0.05659555,-0.60640241,-0.052667493,-0.014562704,0.13461087,-0.51260373,-0.13458495,-0.980343,0.070441936,-0.041257759,-0.22605704,0.14603149,-3.8510819,0.16688573,-0.17087704,-0.18366168,-0.068988992,0.11567564,-0.039366762,-0.029036962,0.03081557,-0.15978575,-1.3347029,-0.49175635,-0.23115909,0.088899042,-0.60867638,0.027754685,-0.12269689,-0.36524998,-0.11562069,-0.43948851,-0.94629355,-0.39274979,0.16609605,-0.58405864,0.080181473,-0.51258508,-6.4807752,-0.0075550871,-0.34801439,-0.40651125,-0.15557153,0.0030755961,0.019691455,-0.22846719,-0.025595078,-0.73473063,0.13027899,-0.19882377,-0.4313277,-0.85943797,-0.065935475,-0.59216757,-0.44370282,-0.41825216,-0.7482743,-0.13055822,-0.86831136,-0.39445371,-0.73255143,-1.3439637,-0.89776698,-0.666394,-1.1489353,-0.1642327,-0.56426674,-0.63820587,-0.84780281,-0.1935535,0.15706849,0.066397315,-0.00747444,0.16165642,-0.41672279,0.014047008,0.026915816,-1.0294764,-0.092344152,-0.36803402,-0.88288053,-0.36787993,0.030674004,-0.2190675,-0.67164568,-0.56363374,-0.39743977,-0.75229081,-1.2554268,-1.1760649,0.070887846,-0.54467325,-0.34050772,-0.66522901,-0.10997032,-0.67275642,-4.0821181,-0.63209796,-1.1819317,-0.39777163,-1.7629218,-0.052901927,-1.8760707,0.030375732,-0.2500419,-1.4313806,-0.21570062,-0.12875203,-0.55392666,0.11368702,0.020836667,-0.31349842,-0.24751485,-0.16421431,-0.65923951,-1.0922309,0.12463952,-0.74161092,-0.31931012,-0.46133348,0.13046593,-0.2230694,-0.48363879,-0.032986146,-0.3995724,0.16713227,-0.44678107,0.17407288,-1.8216546,-0.53184154,0.030131209,-0.11217903,0.16301544,-1.4083102,-0.25234769,-2.766876,-0.35169266,0.073267792,-0.10807285,-0.27656903,0.1261984,-0.44168469,0.17249424,0.074980819,0.14533209,0.038586998,0.080731182,0.15836184,-0.080021547,-0.27155772,-0.31613236,-0.1597359,-0.33990725,-0.39088824,-1.2090095,-0.30709702,0.16078179,0.16580381,-0.14493929,-0.51072497,-0.34284665,-0.62200064,-0.62373234,-1.5358515,0.069187117,0.02896565,0.13538196,-1.7641528,-2.6243139,-0.62285485,-1.0196255,-0.6679424,-0.27027309,-0.46906269,-0.35935445,-0.2768174,-1.1705785,-4.3064423,-1.020768,-0.98238863,-3.690519,-3.1017223,-3.277817,-0.94646465,0.019762763,-0.31099722,-0.2146677,-0.37444788,0.0080046372,-2.057452,-0.45378622,-0.24926381,-0.39288303,0.0047504105,-0.23956669,-0.3927174,-1.9768652,-0.24177831,-0.46282351,0.042607561,0.13937821,-0.4907422,-1.3401147,-0.089854496,0.15929183,-0.20319799,-0.39300272,-1.2554573,-0.53023544,-0.2845239,-0.076026939,-1.6415723
-177.95352,0.99727008,0.071225375,5,35,0,182.07945,0.17463922,1.2835032,0.31204624,-2.869699,0.056715997,-0.71734618,-0.25230998,-3.5787118,-0.41474245,0.10282218,-0.16471118,-0.31106507,0.034064317,-0.22923159,-0.46979738,-0.70612697,-0.99249374,-0.24498901,-0.28253783,0.051845316,-2.8504633,-0.8896592,-0.21934494,-0.40232441,0.12595881,-2.4397833,0.052477493,-0.10980128,0.099059062,0.011533452,-0.36354827,0.022929036,-0.38326876,-0.29136059,-0.1823137,-0.26091126,-0.63453767,0.079274814,-0.84685539,-0.22549301,-0.71930941,-1.1163312,-0.7923209,-1.8963566,-0.76459432,-1.2016439,-0.67662496,-1.7653008,-3.010799,-3.3890345,-0.33808008,-0.57640128,-0.469858,-0.16116641,-0.22091217,-0.39333301,-0.38388116,0.072468422,-0.39126415,-0.49169201,-1.6232115,-1.2571585,-0.01423793,-0.23610433,-0.77942035,-0.6041797,-0.17257565,0.035186744,-0.33702833,-0.55463134,0.099234275,0.10463037,-0.087027745,0.028128949,-0.24278444,-0.80808899,0.051314331,-0.29958483,-0.67575862,0.083362673,-0.41796886,0.083771473,0.0012761727,-1.6858731,-0.56525695,-0.084274955,-0.6183509,-0.092955651,-0.057497534,0.081198404,-0.52263566,-0.16819361,-0.97039674,0.022909507,-0.06557115,-0.25363698,0.0921254,-2.6379843,0.11948684,-0.21515271,-0.22218066,-0.11010061,0.062303126,-0.08461752,-0.076022658,-0.020105777,-0.19551558,-1.0474494,-0.49899999,-0.25503317,0.041504348,-0.61495681,-0.019562136,-0.16105883,-0.39474676,-0.1611462,-0.45211907,-0.92612984,-0.40720149,0.10828049,-0.59034212,0.031418384,-0.52145808,-4.9513044,-0.052191256,-0.37237219,-0.42816461,-0.19298034,-0.045710505,-0.029965772,-0.26294576,-0.046193848,-0.74946164,0.082499262,-0.23525013,-0.44061318,-0.84893953,-0.10124512,-0.59954366,-0.46131746,-0.43806808,-0.74577402,-0.16654688,-0.86186631,-0.41742484,-0.73296332,-1.3076229,-0.88299082,-0.66693574,-1.1207862,-0.19690272,-0.57344638,-0.64367245,-0.84159125,-0.23033232,0.098060345,0.015239274,-0.051827445,0.10376186,-0.43456747,-0.034782709,-0.024251651,-0.9972461,-0.12154858,-0.39407693,-0.8635366,-0.39766776,-0.011380201,-0.24582327,-0.67388113,-0.57027047,-0.41400367,-0.74922116,-1.2294776,-1.1618551,0.020569922,-0.54903208,-0.37020199,-0.66053221,-0.14454016,-0.67259572,-3.8520047,-0.63683402,-1.1569266,-0.42000628,-1.6931005,-0.090272249,-1.7954572,-0.019345568,-0.28232485,-1.3878592,-0.24459024,-0.16308724,-0.56628491,0.063004821,-0.028438383,-0.33358702,-0.28022363,-0.18857341,-0.67542733,-1.0919337,0.079543451,-0.72771427,-0.33904535,-0.4724948,0.0735934,-0.24829386,-0.5050843,-0.069105408,-0.41235711,0.11469871,-0.46161497,0.11719673,-1.7646044,-0.54547879,-0.01659577,-0.15096953,0.10753902,-1.365566,-0.27836263,-2.6740977,-0.31622538,0.026081944,-0.14752802,-0.30530194,0.074102376,-0.45551459,0.11219312,0.0256866,0.090508544,-0.011272973,0.026708011,0.10155611,-0.11923286,-0.2965262,-0.34256325,-0.19263548,-0.36368092,-0.40549617,-1.1845855,-0.33096196,0.10408728,0.1086177,-0.17814543,-0.52514487,-0.36368092,-0.62777159,-0.62735085,-1.4865859,0.021477361,-0.0065473184,0.083633589,-1.7281355,-2.4667064,-0.52819494,-1.0034934,-0.67435372,-0.29951461,-0.49163624,-0.3891059,-0.30670865,-1.1456403,-4.2113371,-1.009468,-0.97560562,-3.5781469,-2.9189747,-3.1502816,-0.92512818,-0.028627425,-0.34150239,-0.20959162,-0.39462293,-0.033678474,-1.9788362,-0.47007782,-0.27863974,-0.41933415,-0.047150055,-0.26395199,-0.4043273,-1.9194904,-0.27237906,-0.48044842,-0.0072844236,0.081500153,-0.50836873,-1.3026934,-0.12901501,0.099801155,-0.23188555,-0.41586187,-1.2214729,-0.53779883,-0.30306952,-0.12695258,-1.5663056
