# stan_version_major = 2
# stan_version_minor = 37
# stan_version_patch = 0
# model = rlddm_single_subject_model
# start_datetime = 2025-09-24 22:43:20 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 3000
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.9999
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = dense_e
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /var/folders/s0/k9fg8kp94xl307gydfsd9gf00000gq/T/tmp_0to7j5f/iftkza6p.json
# init = 2 (Default)
# random
#   seed = 2026
# output
#   file = /Users/jy4657/Desktop/Repositories/tst-stan/cmdstan_tmp/rlddm_single_subject-20250924184320_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.37.0
# stancflags = --filename-in-msg=rlddm_single_subject.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,a,t0,log_scaler,scaler,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46,log_lik.47,log_lik.48,log_lik.49,log_lik.50,log_lik.51,log_lik.52,log_lik.53,log_lik.54,log_lik.55,log_lik.56,log_lik.57,log_lik.58,log_lik.59,log_lik.60,log_lik.61,log_lik.62,log_lik.63,log_lik.64,log_lik.65,log_lik.66,log_lik.67,log_lik.68,log_lik.69,log_lik.70,log_lik.71,log_lik.72,log_lik.73,log_lik.74,log_lik.75,log_lik.76,log_lik.77,log_lik.78,log_lik.79,log_lik.80,log_lik.81,log_lik.82,log_lik.83,log_lik.84,log_lik.85,log_lik.86,log_lik.87,log_lik.88,log_lik.89,log_lik.90,log_lik.91,log_lik.92,log_lik.93,log_lik.94,log_lik.95,log_lik.96,log_lik.97,log_lik.98,log_lik.99,log_lik.100,log_lik.101,log_lik.102,log_lik.103,log_lik.104,log_lik.105,log_lik.106,log_lik.107,log_lik.108,log_lik.109,log_lik.110,log_lik.111,log_lik.112,log_lik.113,log_lik.114,log_lik.115,log_lik.116,log_lik.117,log_lik.118,log_lik.119,log_lik.120,log_lik.121,log_lik.122,log_lik.123,log_lik.124,log_lik.125,log_lik.126,log_lik.127,log_lik.128,log_lik.129,log_lik.130,log_lik.131,log_lik.132,log_lik.133,log_lik.134,log_lik.135,log_lik.136,log_lik.137,log_lik.138,log_lik.139,log_lik.140,log_lik.141,log_lik.142,log_lik.143,log_lik.144,log_lik.145,log_lik.146,log_lik.147,log_lik.148,log_lik.149,log_lik.150,log_lik.151,log_lik.152,log_lik.153,log_lik.154,log_lik.155,log_lik.156,log_lik.157,log_lik.158,log_lik.159,log_lik.160,log_lik.161,log_lik.162,log_lik.163,log_lik.164,log_lik.165,log_lik.166,log_lik.167,log_lik.168,log_lik.169,log_lik.170,log_lik.171,log_lik.172,log_lik.173,log_lik.174,log_lik.175,log_lik.176,log_lik.177,log_lik.178,log_lik.179,log_lik.180,log_lik.181,log_lik.182,log_lik.183,log_lik.184,log_lik.185,log_lik.186,log_lik.187,log_lik.188,log_lik.189,log_lik.190,log_lik.191,log_lik.192,log_lik.193,log_lik.194,log_lik.195,log_lik.196,log_lik.197,log_lik.198,log_lik.199,log_lik.200,log_lik.201,log_lik.202,log_lik.203,log_lik.204,log_lik.205,log_lik.206,log_lik.207,log_lik.208,log_lik.209,log_lik.210,log_lik.211,log_lik.212,log_lik.213,log_lik.214,log_lik.215,log_lik.216,log_lik.217,log_lik.218,log_lik.219,log_lik.220,log_lik.221,log_lik.222,log_lik.223,log_lik.224,log_lik.225,log_lik.226,log_lik.227,log_lik.228,log_lik.229,log_lik.230,log_lik.231,log_lik.232,log_lik.233,log_lik.234,log_lik.235,log_lik.236,log_lik.237,log_lik.238,log_lik.239,log_lik.240,log_lik.241,log_lik.242,log_lik.243,log_lik.244,log_lik.245,log_lik.246,log_lik.247,log_lik.248,log_lik.249,log_lik.250,log_lik.251,log_lik.252,log_lik.253,log_lik.254,log_lik.255,log_lik.256,log_lik.257,log_lik.258,log_lik.259,log_lik.260,log_lik.261,log_lik.262,log_lik.263,log_lik.264,log_lik.265,log_lik.266,log_lik.267,log_lik.268,log_lik.269,log_lik.270,log_lik.271,log_lik.272,log_lik.273,log_lik.274,log_lik.275,log_lik.276,log_lik.277,log_lik.278,log_lik.279,log_lik.280,log_lik.281,log_lik.282,log_lik.283,log_lik.284,log_lik.285,log_lik.286,log_lik.287,log_lik.288,log_lik.289,log_lik.290,log_lik.291,log_lik.292
# Adaptation terminated
# Step size = 0.0908046
# Elements of inverse mass matrix:
# 0.379799, 0.0124037, -0.0141827, -0.0570147
# 0.0124037, 0.00464271, -0.00577303, 0.00248019
# -0.0141827, -0.00577303, 0.0477384, -0.00235017
# -0.0570147, 0.00248019, -0.00235017, 0.0516773
-176.7306,0.99806782,0.090804564,5,31,0,177.5682,0.4937309,1.3182284,0.31436246,-3.2953996,0.037053235,-0.6933522,-0.25379743,-4.5909997,-0.40421907,0.05756444,-0.17252485,-0.50077769,-0.069228211,-0.2325753,-0.45143734,-0.67911325,-0.95131097,-0.24591264,-0.47100928,0.015097643,-2.7456742,-0.84946666,-0.22223654,-0.39686863,0.075401829,-2.3417842,-0.037466857,-0.250416,0.03046465,-0.096827135,-0.35648591,-0.0012936311,-0.58598473,-0.2894017,-0.1946116,-0.25363749,-0.6057524,0.040553505,-0.81565053,-0.23543245,-0.68737973,-1.0713207,-0.76160413,-1.8124235,-0.73868259,-1.1637363,-0.65989203,-1.6890508,-2.8597225,-3.2068359,-0.33307603,-0.55720798,-0.45670911,-0.1679615,-0.22285819,-0.37745389,-0.37285388,0.037602016,-0.38804113,-0.48976318,-1.526095,-1.1948587,-0.043028155,-0.23478058,-0.75759349,-0.59360555,-0.18357284,-0.001538338,-0.32280545,-0.52868839,0.070457011,0.042131284,-0.10971096,-0.006822861,-0.2508684,-0.77318043,0.029348459,-0.29996812,-0.65110774,0.052437976,-0.41512995,-0.0093914781,-0.027020879,-1.624466,-0.55370845,-0.21404343,-0.5948809,-0.10857603,-0.076355924,0.037173352,-0.51409379,-0.17586788,-0.92908675,-0.0039025266,-0.19872267,-0.25714561,0.051293216,-3.3858255,0.051178936,-0.2056834,-0.21942332,-0.12155511,0.026494048,-0.094758877,-0.08500435,-0.034539207,-0.19838664,-1.4049081,-0.49554291,-0.26469606,0.005043402,-0.59766718,-0.040017982,-0.16658546,-0.37786529,-0.1567904,-0.44713189,-0.90004581,-0.40590205,0.040670432,-0.57719123,0.00084683111,-0.51414879,-4.8935678,-0.069017005,-0.36510063,-0.41706752,-0.19527121,-0.059149548,-0.044987697,-0.25894113,-0.18364297,-0.70788638,-0.0079230427,-0.23185227,-0.44155818,-0.82106863,-0.1195319,-0.58234168,-0.45031212,-0.42711274,-0.72212029,-0.17240355,-0.82879476,-0.40426234,-0.70786286,-1.2554346,-0.8570524,-0.65058303,-1.0807418,-0.20514537,-0.55940989,-0.62527766,-0.81212453,-0.22950957,0.053279374,-0.0091310391,-0.070278756,0.039362079,-0.42808304,-0.050997709,-0.039271825,-0.97574592,-0.14293099,-0.38261831,-0.84401791,-0.38044716,-0.036758156,-0.25091711,-0.65539083,-0.55717418,-0.40870707,-0.72717882,-1.1747505,-1.1038369,-0.077686343,-0.54015202,-0.35783835,-0.64860068,-0.15395124,-0.6547783,-3.72989,-0.61786967,-1.1089623,-0.40986899,-1.6279781,-0.10681159,-1.7279748,-0.035391246,-0.27747371,-1.3327546,-0.24844478,-0.17228534,-0.54794831,0.029829664,-0.044263994,-0.33425461,-0.27608658,-0.20511827,-0.6403197,-1.0273518,0.030798237,-0.71858393,-0.34046655,-0.46816409,0.046028747,-0.25454581,-0.48482813,-0.090324114,-0.41179918,0.055429845,-0.45318959,0.064621468,-1.6791468,-0.52839065,-0.034352472,-0.15710969,0.061093702,-1.3129797,-0.28042137,-2.5274899,-0.50965286,-0.074862248,-0.15322176,-0.30146826,0.034427434,-0.45032006,0.062053271,-0.0023781435,0.046055162,-0.029316096,0.0057683269,0.055708509,-0.12795782,-0.29941132,-0.33669205,-0.20047389,-0.35790094,-0.40377688,-1.1325847,-0.33031773,0.055190839,0.0419052,-0.18834452,-0.51073855,-0.36140431,-0.60849788,-0.61309761,-1.426566,-0.0083194729,-0.12451098,0.039319359,-1.6319376,-2.3822857,-0.76850835,-0.9639246,-0.65048215,-0.29672353,-0.47112373,-0.3728029,-0.30172834,-1.1004551,-3.8834719,-0.96546689,-0.93072649,-3.3462052,-2.8168076,-2.9810101,-0.90038247,-0.044888645,-0.33058155,-0.37493822,-0.38924043,-0.057903807,-1.8905694,-0.4597024,-0.27821439,-0.4031142,-0.054349254,-0.26971886,-0.40725945,-1.8198406,-0.27134851,-0.46768094,-0.027430375,0.044734973,-0.49239567,-1.2506491,-0.14083927,0.043912769,-0.2344972,-0.40698275,-1.1766283,-0.52581282,-0.30835145,-0.1239817,-1.5234968
-177.50728,0.99961288,0.090804564,6,63,0,178.69663,0.18673551,1.2189948,0.31071081,-2.8077137,0.060342797,-0.76666608,-0.24960645,-2.6285971,-0.43070582,0.1785297,-0.15090909,-0.052457734,0.1890784,-0.22373895,-0.49158876,-0.75385509,-1.0706599,-0.24135559,-0.034782068,0.10579483,-3.1758754,-0.9550532,-0.21285549,-0.4168623,0.21645105,-2.7149899,0.19390784,0.089317202,0.21287409,0.17069652,-0.37366634,0.068057091,-0.10869932,-0.29316368,-0.17096704,-0.25904697,-0.67358704,0.14237096,-0.90969795,-0.21971146,-0.76774396,-1.2083506,-0.84954972,-2.0721076,-0.81921393,-1.3049911,-0.72145031,-1.9242606,-3.3147504,-3.7115746,-0.345379,-0.60987301,-0.49170581,-0.14633353,-0.2137971,-0.40664503,-0.39619328,0.12810151,-0.40485015,-0.51657573,-1.7740674,-1.367762,0.021726829,-0.23084691,-0.83509402,-0.64135964,-0.1605921,0.082121037,-0.34369069,-0.58531072,0.1676446,0.19108915,-0.061901842,0.076431501,-0.23861945,-0.86467679,0.10026553,-0.30255746,-0.72208691,0.14167588,-0.43424357,0.2203388,0.040179548,-1.8353506,-0.59775985,0.10863416,-0.65717038,-0.068360874,-0.027150366,0.14872759,-0.5512316,-0.155526,-1.0478535,0.067247485,0.12425442,-0.25136084,0.15867496,-1.8862847,0.21032909,-0.20752739,-0.21549254,-0.08830086,0.12088713,-0.058975453,-0.049252582,0.016027482,-0.18564903,-0.62689108,-0.52516463,-0.25278063,0.093629513,-0.65403561,0.017721971,-0.14650616,-0.40833546,-0.14670151,-0.47274188,-0.99808121,-0.42269802,0.2150814,-0.62622552,0.079475029,-0.54982214,-6.9166708,-0.021187158,-0.38350737,-0.44563632,-0.18239616,-0.013225271,0.005074263,-0.26098041,0.13718002,-0.80092546,0.21241113,-0.2300241,-0.46040025,-0.91354252,-0.078843194,-0.63649225,-0.48216458,-0.45629301,-0.79927125,-0.15323049,-0.92793797,-0.43330587,-0.78302863,-1.4191366,-0.95230591,-0.71194104,-1.2175758,-0.18694559,-0.60781676,-0.68598001,-0.90641354,-0.22439451,0.17459579,0.059966469,-0.020386595,0.20494186,-0.45296485,-2.9009664e-05,0.012237777,-1.0774262,-0.10260195,-0.40735878,-0.92923038,-0.41116338,0.025442951,-0.24283993,-0.7189059,-0.60381018,-0.43044139,-0.80186382,-1.3344817,-1.2608721,0.17810744,-0.58043499,-0.38044382,-0.70442113,-0.12905582,-0.71707685,-4.1788135,-0.67710177,-1.2566083,-0.43620809,-1.8492237,-0.066623138,-1.9656213,0.017151337,-0.28281619,-1.5117765,-0.24133933,-0.14953347,-0.59830913,0.11824504,0.0070227214,-0.34110373,-0.28007291,-0.17887673,-0.71929622,-1.1797035,0.14210408,-0.78033271,-0.34716519,-0.49515939,0.1306205,-0.24574596,-0.53059535,-0.042490521,-0.42871623,0.20029463,-0.48256985,0.20205624,-1.9322294,-0.57642946,0.019215446,-0.13535433,0.18279009,-1.4835333,-0.2787426,-2.9369552,-0.057902593,0.18327177,-0.13141958,-0.30885889,0.13567812,-0.47651695,0.19862524,0.072052828,0.16075373,0.026838506,0.07257606,0.17652597,-0.099674337,-0.29888635,-0.35016678,-0.18221694,-0.37380773,-0.42094049,-1.2834826,-0.33731138,0.18259864,0.21270359,-0.16584909,-0.55346856,-0.37380773,-0.66690259,-0.6672647,-1.6162865,0.067289103,0.16029125,0.15000491,-1.878435,-2.7395915,-0.22365132,-1.0861863,-0.71945868,-0.3020223,-0.51589063,-0.40174371,-0.31005356,-1.242629,-4.7347166,-1.0902279,-1.0523899,-3.9690693,-3.2300221,-3.480668,-0.99798481,0.0062451361,-0.34882061,0.020584969,-0.40842255,0.00051364131,-2.1694198,-0.49238373,-0.27880198,-0.43559356,-0.015759704,-0.26302374,-0.4196664,-2.1008923,-0.27172631,-0.50379852,0.032542111,0.14786498,-0.53492633,-1.4213876,-0.10927928,0.19110025,-0.22756379,-0.4319608,-1.3192135,-0.56697964,-0.30717973,-0.10666202,-1.7022942
-178.29864,0.99974716,0.090804564,4,15,0,178.84939,0.13808046,1.216627,0.31053272,-2.7177744,0.066021527,-0.76927442,-0.2501608,-2.5742165,-0.43230458,0.18123021,-0.15060201,-0.042368838,0.1946112,-0.22403236,-0.49466495,-0.75741057,-1.0760943,-0.24239819,-0.022788134,0.10892271,-3.1633375,-0.96249734,-0.21486433,-0.41919043,0.21742678,-2.7003005,0.20015517,0.098681513,0.21711365,0.17760417,-0.37472043,0.068546381,-0.097529756,-0.29490441,-0.16918448,-0.26235623,-0.67930425,0.14574114,-0.91451661,-0.21802966,-0.77328354,-1.214362,-0.85260179,-2.0828154,-0.82208988,-1.3070904,-0.72371128,-1.9338212,-3.3306988,-3.7426223,-0.34683121,-0.61302445,-0.49459894,-0.14506342,-0.21267679,-0.40777362,-0.39673759,0.12880976,-0.40636303,-0.51706702,-1.784482,-1.3737899,0.023793886,-0.23195484,-0.83699051,-0.6420632,-0.16020783,0.084875004,-0.34704818,-0.59041795,0.16653698,0.19733863,-0.057815819,0.081354182,-0.23571046,-0.87254098,0.098941508,-0.30592895,-0.72100192,0.14071995,-0.43691074,0.22407326,0.040799681,-1.8428171,-0.59998656,0.1164216,-0.65905587,-0.067066757,-0.025643228,0.15215278,-0.55112503,-0.15609286,-1.0521743,0.068994249,0.13235699,-0.2511802,0.16128787,-1.8445262,0.21371533,-0.20840388,-0.21516108,-0.087412305,0.12397013,-0.058008983,-0.048790483,0.016547852,-0.1861511,-0.60542096,-0.52393805,-0.25025053,0.098143326,-0.65364632,0.020500615,-0.14543216,-0.40982553,-0.14802578,-0.47277896,-1.0007992,-0.42284007,0.21877248,-0.62719974,0.081482994,-0.5499395,-6.3043554,-0.019999447,-0.38454276,-0.44678414,-0.18246455,-0.012531757,0.0055250262,-0.26196793,0.14614201,-0.80810882,0.21915028,-0.23294528,-0.45798419,-0.91357495,-0.076271254,-0.63659787,-0.48544137,-0.45973991,-0.79915218,-0.15528505,-0.92894291,-0.43726907,-0.78804353,-1.4272235,-0.95182693,-0.71132177,-1.2175028,-0.18527977,-0.60759813,-0.68619053,-0.90739012,-0.22507834,0.17704567,0.061159754,-0.01946655,0.20878658,-0.45292619,0.00085416945,0.012521799,-1.0777828,-0.10030707,-0.40978146,-0.92954918,-0.4148125,0.02776044,-0.24211557,-0.72145149,-0.60422899,-0.42954219,-0.80597518,-1.3415612,-1.2658926,0.18201215,-0.57977714,-0.38457618,-0.70301271,-0.12735444,-0.71819613,-4.1529329,-0.67906279,-1.2605949,-0.43905758,-1.8461484,-0.064766809,-1.9596842,0.016318986,-0.28445563,-1.5119999,-0.23998712,-0.14784127,-0.60321578,0.11747525,0.0067961514,-0.34135943,-0.28141882,-0.17724374,-0.7243724,-1.1896224,0.14793805,-0.77601922,-0.34610609,-0.49613464,0.13146212,-0.24507187,-0.53489978,-0.040024984,-0.42757827,0.20320715,-0.48472291,0.20417139,-1.9326753,-0.57637348,0.018031146,-0.13430514,0.18401092,-1.491997,-0.28057009,-2.9413264,-0.047532647,0.18964748,-0.13068505,-0.30883569,0.13920506,-0.47579109,0.20184872,0.074143779,0.16402509,0.027585074,0.07277274,0.17868516,-0.09947119,-0.29917611,-0.35184511,-0.18243931,-0.37483111,-0.42080883,-1.2881235,-0.33818677,0.18503427,0.21620725,-0.16599877,-0.55520741,-0.37483111,-0.6697113,-0.66887934,-1.622686,0.068844355,0.16704066,0.15236403,-1.889963,-2.7363356,-0.20822437,-1.0887695,-0.7218161,-0.30271323,-0.51885121,-0.40490823,-0.31168189,-1.2480134,-4.8182242,-1.0965266,-1.0590154,-4.0164956,-3.2433217,-3.5134211,-0.99820457,0.0058883924,-0.35132514,0.029807393,-0.40913357,0.0019461209,-2.1783483,-0.49359159,-0.27896133,-0.437891,-0.016920438,-0.2626857,-0.41890798,-2.113803,-0.27277817,-0.50546607,0.033509142,0.14986894,-0.53647688,-1.4240313,-0.10820842,0.19486409,-0.22876984,-0.43200747,-1.325801,-0.56965342,-0.30771565,-0.10839435,-1.7031644
