# stan_version_major = 2
# stan_version_minor = 37
# stan_version_patch = 0
# model = rlddm_single_subject_model
# start_datetime = 2025-09-25 02:49:47 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 2000
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.999
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = dense_e
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /Users/jy4657/Desktop/Repositories/tst-stan/recovery_out/tmp_subject_3/tmpbaxkqmmj/beco5wmv.json
# init = 2 (Default)
# random
#   seed = 2030
# output
#   file = /Users/jy4657/Desktop/Repositories/tst-stan/cmdstan_tmp/rlddm_single_subject-20250924224947.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.37.0
# stancflags = --filename-in-msg=rlddm_single_subject.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,a,t0,log_scaler,scaler,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46,log_lik.47,log_lik.48,log_lik.49,log_lik.50
# Adaptation terminated
# Step size = 0.132926
# Elements of inverse mass matrix:
# 0.397239, 0.0158476, -0.0184816, -0.0124651
# 0.0158476, 0.0154179, -0.0434277, 0.00552843
# -0.0184816, -0.0434277, 1.14286, -0.0211633
# -0.0124651, 0.00552843, -0.0211633, 0.05652
-61.931808,0.99952311,0.13292588,4,31,0,63.069231,0.31119431,1.4322532,0.26078044,-3.0163798,0.04897821,-0.31283475,-0.28844492,-3.0004976,-0.41213917,-0.13639994,-0.5723493,-1.2678482,-0.10091809,-3.9566204,-1.148073,-0.16669727,-2.7136393,-0.29950599,-4.3265248,-0.3502248,-0.14000489,-0.22612184,-0.088315245,-0.12278551,-0.12430624,-0.44892771,-1.8840043,-0.30709456,-1.293282,-0.63427726,-0.099439808,-3.2686138,-0.37968669,-0.32071154,-0.36387311,-1.2972676,-0.31785173,-1.5387194,-0.096453374,-0.3685978,-1.3378986,-2.2394597,-0.89588205,-0.64368225,-1.6988664,-1.0504499,-0.22776695,-0.67472685,-0.19142101,-0.91064143,-0.78844832,-0.13453842,-2.7244485,-0.57129867,-0.13785096
-61.528565,0.99994896,0.13292588,5,31,0,62.415883,0.54683423,1.4564078,0.2582657,-2.8452513,0.058119662,-0.3294844,-0.30620557,-2.9677962,-0.42305118,-0.16556676,-0.58134741,-1.2481828,-0.13109183,-4.1542563,-1.1559153,-0.20902582,-2.5654297,-0.31361886,-4.1477625,-0.37709383,-0.17888988,-0.24394171,-0.11325373,-0.16425927,-0.16530429,-0.48218564,-1.8463673,-0.32381701,-1.2710149,-0.63565775,-0.13490216,-3.0977199,-0.39514103,-0.3356254,-0.37715274,-1.2808798,-0.34615206,-1.5182826,-0.13282774,-0.38202396,-1.349768,-2.2308359,-0.90917538,-0.64703154,-1.6418732,-1.0430765,-0.25377292,-0.67147787,-0.22763258,-0.90333768,-0.78623275,-0.16072715,-2.6549462,-0.59182009,-0.16090875
-61.640132,0.99657613,0.13292588,5,31,0,62.251335,0.42756965,1.3404771,0.27742209,-2.9390363,0.052916698,-0.23487012,-0.20616943,-3.3384639,-0.35043776,-0.020835545,-0.53537206,-1.327379,0.028583544,-4.893416,-1.2021529,-0.060659694,-2.8778172,-0.2204232,-4.9971853,-0.2800011,-0.023073681,-0.13361709,0.048149174,0.0032060615,0.00061017064,-0.40935853,-2.0377165,-0.23099298,-1.3558553,-0.6027576,0.027679909,-3.4785911,-0.31143513,-0.24589303,-0.29634038,-1.3635032,-0.2454982,-1.6410295,0.034824457,-0.30228988,-1.8392149,-2.4745692,-0.91019274,-0.61807208,-1.808235,-1.0828826,-0.13671017,-0.64891036,-0.064467274,-0.91979302,-0.78082591,-0.016401323,-2.9864619,-0.53724345,-0.022858789
