# stan_version_major = 2
# stan_version_minor = 37
# stan_version_patch = 0
# model = rlddm_single_subject_model
# start_datetime = 2025-09-25 02:51:21 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.999
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = dense_e
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /Users/jy4657/Desktop/Repositories/tst-stan/recovery_out/tmp_subject_1/tmpzkase93q/uscb8rq3.json
# init = 2 (Default)
# random
#   seed = 2028
# output
#   file = /Users/jy4657/Desktop/Repositories/tst-stan/cmdstan_tmp/rlddm_single_subject-20250924225121.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.37.0
# stancflags = --filename-in-msg=rlddm_single_subject.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,a,t0,log_scaler,scaler,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46,log_lik.47,log_lik.48,log_lik.49,log_lik.50
# Adaptation terminated
# Step size = 0.160037
# Elements of inverse mass matrix:
# 0.432203, -0.0047806, 0.00241586, -0.00159815
# -0.0047806, 0.0231094, -0.0396109, 0.000276663
# 0.00241586, -0.0396109, 0.322907, -0.012411
# -0.00159815, 0.000276663, -0.012411, 0.0552948
-49.76164,0.98773775,0.16003687,4,15,0,54.152704,0.50481326,1.3633151,0.12143078,-2.7467205,0.064137859,-0.0052879587,-0.78447866,-0.27660597,-1.9143428,-0.092547782,-1.2717437,-0.32685221,-1.5977232,-0.82198747,-0.042030211,-1.6648433,-1.6034526,-1.1953322,-0.0075190932,-0.17104608,-0.028060365,-0.4076145,-0.51364882,-0.45522607,-0.80699787,-0.41262115,-0.042028611,-0.74703855,-0.20150872,-0.54577407,-0.2093562,-0.033706181,-2.1811223,-0.29610911,-0.35078611,-1.7571776,-0.063487614,-1.6990714,-0.052890191,-1.0062662,-0.36428624,-0.63717736,-0.57058023,-0.68116869,-0.069641852,-0.24546379,-1.9031681,-1.0180604,-0.56056862,-1.1477231,-0.017189858,-0.1991872,-0.92705588,-0.80967475,-0.64978126
-47.586622,0.99992739,0.16003687,3,7,0,49.968112,0.44146949,1.3125503,0.1207582,-2.7795474,0.062066591,0.062398132,-0.81081123,-0.11823263,-2.0327055,-0.054942839,-1.3397052,-0.31920893,-1.6899526,-0.8484101,0.0045752521,-1.2978868,-1.7022084,-1.2617825,0.083642388,-0.144376,0.067023648,-0.40620639,-0.51563404,-0.46299818,-0.55939842,-0.41166427,0.0057073288,-0.77399717,-0.18071562,-0.34123412,-0.18872808,0.062607915,-2.3191433,-0.28450828,-0.34456525,-1.8625136,-0.021414133,-1.8001536,-0.0084385741,-1.0529313,-0.36491681,-0.6531996,-0.58121021,-0.70229746,0.041399829,-0.22888967,-2.02304,-1.0601373,-0.35537752,-0.85338203,0.031521565,-0.05791416,-0.663159,-0.83968184,-0.66705262
-47.046973,0.99990944,0.16003687,4,15,0,48.395846,0.52686581,1.2905553,0.11993356,-2.9987677,0.049848458,0.089038698,-0.82728695,-0.048054877,-2.0918803,-0.040835486,-1.3770754,-0.3201672,-1.7426129,-0.8641023,0.020108039,-1.1154685,-1.7522486,-1.2977688,0.12055055,-0.13388317,0.10470887,-0.41144794,-0.51975843,-0.47108965,-0.44601153,-0.41716511,0.024820997,-0.7878596,-0.17295422,-0.24605171,-0.18428959,0.10159049,-2.3900185,-0.28331675,-0.3450554,-1.9166952,-0.0064569752,-1.8517399,0.0079226636,-1.0785404,-0.36782954,-0.66233198,-0.58785553,-0.71332853,0.08620696,-0.22649118,-2.0781515,-1.0835753,-0.25657197,-0.70924253,0.05252388,0.0063144562,-0.53815896,-0.85705097,-0.67849207
