# stan_version_major = 2
# stan_version_minor = 37
# stan_version_patch = 0
# model = rlddm_single_subject_model
# start_datetime = 2025-09-25 02:51:23 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.999
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = dense_e
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /Users/jy4657/Desktop/Repositories/tst-stan/recovery_out/tmp_subject_2/tmp7wd10d3u/fqtlhhg_.json
# init = 2 (Default)
# random
#   seed = 2029
# output
#   file = /Users/jy4657/Desktop/Repositories/tst-stan/cmdstan_tmp/rlddm_single_subject-20250924225123.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.37.0
# stancflags = --filename-in-msg=rlddm_single_subject.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,a,t0,log_scaler,scaler,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46,log_lik.47,log_lik.48,log_lik.49,log_lik.50
# Adaptation terminated
# Step size = 0.177738
# Elements of inverse mass matrix:
# 0.452561, 0.0236343, -0.0330637, -0.0273044
# 0.0236343, 0.0141834, -0.02551, 0.00329383
# -0.0330637, -0.02551, 0.281075, 0.000175441
# -0.0273044, 0.00329383, 0.000175441, 0.0412565
-61.940925,0.99987498,0.17773848,4,15,0,63.067017,0.54535766,1.4158272,0.23519511,-2.930507,0.053369974,-0.42711785,-0.28756794,-0.37800286,-1.1136582,-0.11413739,-3.9859871,-0.27659566,-3.8629534,-1.7715695,-0.13665048,-0.27661668,-0.12360229,-0.68472722,-0.76414253,-0.75062948,-0.63154804,-0.4140819,-1.3830685,-0.38409232,-0.11529053,-1.2510029,-0.1302357,-0.4609329,-2.0248002,-1.3120156,-0.10911237,-0.081962921,-0.22905116,-1.8393918,-0.48737154,-0.5426272,-3.0213945,-0.24111336,-0.084414132,-0.53640522,-0.49960116,-0.13217822,-1.1167077,-1.8067233,-0.23928656,-4.1206604,-0.8174074,-1.6067217,-0.72854621,-0.14260326,-3.3310782,-0.87047763,-0.74762148,-0.50967091,-1.3381628
-63.100004,0.99481405,0.17773848,4,15,0,63.649084,0.66909975,1.4214027,0.23001826,-2.8499043,0.057849858,-0.4406566,-0.254098,-0.39555398,-1.1219258,-0.10809195,-4.1747656,-0.29095476,-4.0139717,-1.7567592,-0.13149868,-0.29715117,-0.14254325,-0.68957363,-0.66102152,-0.76054813,-0.64509446,-0.42125681,-1.3777617,-0.40417143,-0.11262743,-1.2487489,-0.12516785,-0.48040406,-2.0059803,-1.3081013,-0.1198758,-0.074735839,-0.24393018,-1.8174525,-0.49909904,-0.55723085,-3.0069232,-0.25566201,-0.096506181,-0.55597708,-0.5193364,-0.13797434,-1.1346953,-1.7938931,-0.20764921,-4.2840576,-0.83584281,-1.6142792,-0.74126256,-0.14603839,-3.4215692,-0.89003206,-0.7574372,-0.43836639,-1.3476482
-62.678309,0.99638938,0.17773848,4,15,0,64.820206,0.56808084,1.3849649,0.25503173,-2.940695,0.052829,-0.3716471,-0.44760723,-0.32010463,-1.0889773,-0.12613176,-4.1499365,-0.21535001,-4.0061444,-1.7756961,-0.16576535,-0.21507343,-0.067242339,-0.64211135,-1.3919742,-0.7082328,-0.58583787,-0.35910198,-1.3713641,-0.32560513,-0.13330675,-1.2338829,-0.14721939,-0.40621594,-2.0397802,-1.29726,-0.085682305,-0.084975094,-0.16727381,-1.8443594,-0.43385992,-0.49225391,-3.0785388,-0.17844115,-0.030883643,-0.48428606,-0.44587436,-0.13273794,-1.0906294,-1.8134357,-0.37746444,-4.3196231,-0.77696214,-1.6061232,-0.68790401,-0.15473685,-3.4330769,-0.83286969,-0.70491249,-0.86555131,-1.324699
