# stan_version_major = 2
# stan_version_minor = 37
# stan_version_patch = 0
# model = rlddm_single_subject_model
# start_datetime = 2025-09-25 02:51:25 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.999
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = dense_e
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /Users/jy4657/Desktop/Repositories/tst-stan/recovery_out/tmp_subject_3/tmpzqp7zass/rvw7eo9t.json
# init = 2 (Default)
# random
#   seed = 2030
# output
#   file = /Users/jy4657/Desktop/Repositories/tst-stan/cmdstan_tmp/rlddm_single_subject-20250924225125.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.37.0
# stancflags = --filename-in-msg=rlddm_single_subject.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,a,t0,log_scaler,scaler,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46,log_lik.47,log_lik.48,log_lik.49,log_lik.50
# Adaptation terminated
# Step size = 0.0767017
# Elements of inverse mass matrix:
# 0.516632, 0.0213764, -0.0955382, -0.0299128
# 0.0213764, 0.0174931, -0.038159, 0.0041466
# -0.0955382, -0.038159, 1.2614, 0.0173819
# -0.0299128, 0.0041466, 0.0173819, 0.0544519
-63.189845,0.99835293,0.076701718,5,31,0,64.726799,0.60661619,1.4872276,0.26698127,-3.0538543,0.047176739,-0.32756072,-0.30629507,-2.8473959,-0.41541541,-0.18963461,-0.56338704,-1.2057911,-0.17573047,-3.8478769,-1.1105716,-0.22529052,-2.5076188,-0.31549789,-3.9087933,-0.37048258,-0.20472239,-0.25258307,-0.1738698,-0.2042235,-0.20300097,-0.73915107,-1.7669176,-0.32431456,-1.2219289,-0.61457272,-0.18001522,-3.027533,-0.38666212,-0.33478501,-0.37339286,-1.2300647,-0.34436872,-1.4660153,-0.18902648,-0.37848248,-2.0083207,-2.1259131,-0.87362946,-0.62986852,-1.5790867,-1.0087615,-0.25993344,-0.65175333,-0.35631559,-0.87385099,-0.7607269,-0.18584648,-2.5533813,-0.57360213,-0.18424309
-62.770855,0.99997241,0.076701718,6,63,0,64.733959,0.26531728,1.4635396,0.25368159,-2.7448004,0.064261127,-0.34260017,-0.31947894,-2.9134577,-0.43602262,-0.1767659,-0.59112185,-1.2542899,-0.14286802,-3.8346236,-1.1436679,-0.20851638,-2.6293982,-0.32600704,-4.2248604,-0.38185742,-0.1848868,-0.25658105,-0.12800227,-0.16991136,-0.17126442,-0.448012,-1.8564724,-0.33228958,-1.2860316,-0.6536208,-0.13949337,-3.1492671,-0.40982887,-0.34620825,-0.38702771,-1.2904275,-0.34509644,-1.5087559,-0.13654431,-0.39075916,-1.2011271,-2.2011757,-0.90573296,-0.65364691,-1.6747441,-1.0438011,-0.26015905,-0.68907022,-0.2274844,-0.91459817,-0.79804247,-0.17654634,-2.656123,-0.59135775,-0.17607399
-62.708154,0.99893297,0.076701718,5,63,0,63.943544,0.2876097,1.4490057,0.27064006,-2.9430322,0.05270567,-0.29944226,-0.27637891,-2.9195234,-0.39430996,-0.14219361,-0.55016489,-1.2289945,-0.12224288,-3.8306052,-1.1115748,-0.16919647,-2.6486715,-0.28545454,-4.2100674,-0.33613607,-0.15020807,-0.216685,-0.12160535,-0.14512805,-0.14471657,-0.67698984,-1.8322267,-0.2922656,-1.2551277,-0.61156145,-0.12067367,-3.1903184,-0.36447707,-0.3055975,-0.34683269,-1.2588955,-0.30324366,-1.492257,-0.12680384,-0.35113121,-2.0305702,-2.1780892,-0.86640134,-0.6183044,-1.6523365,-1.0157179,-0.21914567,-0.65036064,-0.29087287,-0.88051134,-0.7611787,-0.14164164,-2.6539585,-0.54925199,-0.14124722
