# stan_version_major = 2
# stan_version_minor = 37
# stan_version_patch = 0
# model = rlddm_single_subject_model
# start_datetime = 2025-09-25 02:51:27 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.999
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = dense_e
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /Users/jy4657/Desktop/Repositories/tst-stan/recovery_out/tmp_subject_4/tmprqdd00s7/27t1s9z8.json
# init = 2 (Default)
# random
#   seed = 2031
# output
#   file = /Users/jy4657/Desktop/Repositories/tst-stan/cmdstan_tmp/rlddm_single_subject-20250924225127.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.37.0
# stancflags = --filename-in-msg=rlddm_single_subject.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,a,t0,log_scaler,scaler,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46,log_lik.47,log_lik.48,log_lik.49,log_lik.50
# Adaptation terminated
# Step size = 0.075327
# Elements of inverse mass matrix:
# 0.492667, -0.0120784, 0.0369453, 4.62277e-05
# -0.0120784, 0.0255881, -0.0713202, 0.00302951
# 0.0369453, -0.0713202, 1.22998, -8.42079e-05
# 4.62277e-05, 0.00302951, -8.42079e-05, 0.058861
-32.610362,0.99899903,0.075326986,6,63,0,34.179611,0.44549113,1.2067756,0.31574187,-3.0177146,0.048912876,0.092034097,0.24122928,0.18898908,-1.8191108,-1.7288658,-0.73814532,-0.080450361,-0.20897385,-1.9578729,0.19842637,-1.74552,-0.26487651,0.21858487,-1.1651341,-0.43437499,-3.1997705,0.21663299,-1.2643968,-0.7462146,0.10484429,-0.098710927,0.073045436,0.0021050244,-1.2601596,-1.850806,0.21867072,-0.68741739,-0.020724086,0.20014879,-0.0090852192,-1.4794947,-0.45635245,0.13445659,-0.71212876,0.22483464,0.23507323,0.22433978,-0.093764696,0.076067679,-0.91474472,0.23702311,0.15928397,0.057515127,-0.77038681,0.06831174,0.19729521,0.21122379,0.16939947,0.12606155,-0.38023855
-32.206267,1,0.075326986,5,31,0,33.149645,0.56434889,1.1383672,0.35142656,-3.0319636,0.048220856,0.25442892,0.26395282,0.33852556,-1.8809615,-1.7807237,-0.67406007,0.065640253,-0.076098876,-2.036906,0.35167243,-1.8030028,-0.1413627,0.35864419,-1.1571472,-0.33132573,-3.3269378,0.36075673,-1.2660697,-0.67865664,-0.36430503,0.046706444,0.2342492,0.15718895,-1.2613511,-1.9262845,0.12586833,-0.60860428,0.12873669,0.35805237,0.14784124,-1.5025637,-0.35552997,0.29987417,-0.64136,0.30417018,0.36700066,0.13501819,0.055263241,0.23893899,-0.86797542,0.3591065,0.32000815,0.22093768,-0.71089833,0.22736865,0.35363872,0.3599077,0.32252844,0.28891025,-0.26787013
-32.08217,0.99982939,0.075326986,5,63,0,33.061922,0.48808819,1.1247685,0.34466468,-3.1026632,0.044929388,0.24395586,0.34128639,0.34945916,-1.9548619,-1.8519197,-0.7141995,0.044941177,-0.099395334,-2.1135301,0.35896457,-1.872435,-0.17003304,0.37490041,-1.202878,-0.35954391,-3.4585744,0.37377997,-1.3196834,-0.71979496,-0.066829187,0.028569821,0.22617766,0.13687184,-1.3092763,-1.9947395,0.25616412,-0.65206012,0.11491034,0.36042057,0.12616105,-1.5651893,-0.38824561,0.28934102,-0.68495231,0.35710554,0.38759552,0.26232429,0.034062148,0.2228243,-0.91773202,0.38632518,0.31682024,0.20428536,-0.7512534,0.21402471,0.35857474,0.37070529,0.3288203,0.28234818,-0.30113011
-31.44172,0.99993111,0.075326986,5,63,0,32.542559,0.42632538,1.1996926,0.33212945,-2.7568726,0.063490019,0.14490241,0.21858331,0.22432786,-1.770874,-1.6805564,-0.68599675,-0.023409765,-0.15625587,-1.9078964,0.23554604,-1.7008022,-0.20677409,0.25166981,-1.1249958,-0.38407788,-3.1216809,0.25308812,-1.21835,-0.69801219,-0.087777299,-0.046309777,0.12194361,0.06216328,-1.2280332,-1.8043547,0.15365986,-0.63757773,0.034515789,0.24221815,0.049154205,-1.4354824,-0.4025757,0.18826008,-0.65792919,0.22301942,0.26691792,0.16006866,-0.040756907,0.13360962,-0.86226451,0.26047562,0.209144,0.11284301,-0.71884477,0.12547771,0.23487509,0.24372198,0.21203869,0.17627605,-0.32471602
-31.252056,0.99999999,0.075326986,5,31,0,31.543497,0.43269902,1.1799165,0.33578488,-2.8025514,0.060655111,0.17174178,0.24929752,0.25694436,-1.8117321,-1.7184814,-0.6900596,-0.0039614277,-0.14004659,-1.9533665,0.26778137,-1.7392705,-0.19491518,0.28399705,-1.1421391,-0.37582008,-3.1950065,0.28494426,-1.2402605,-0.70115414,-0.084255299,-0.025678895,0.14971597,0.08343975,-1.2471969,-1.8466426,0.17874473,-0.63895827,0.05692369,0.27343408,0.070739486,-1.4644419,-0.39646913,0.21573896,-0.66161607,0.25679825,0.29907709,0.18505335,-0.0202074,0.15830763,-0.87282372,0.29321188,0.2381955,0.13780634,-0.723937,0.15008904,0.26711034,0.27661692,0.24303743,0.20475341,-0.31633752
-31.075876,0.99827128,0.075326986,4,31,0,33.449356,0.49412037,1.142433,0.34108168,-2.8203413,0.0595856,0.21826264,0.31659414,0.31562976,-1.8947817,-1.7964226,-0.70647975,0.026938585,-0.11789548,-2.0449127,0.32872614,-1.8229768,-0.17789094,0.34493832,-1.1923867,-0.3712373,-3.2938591,0.34510701,-1.2939576,-0.71624574,-0.051222053,0.0047587863,0.19543639,0.12069208,-1.3050278,-1.9392864,0.23986983,-0.64714891,0.09074484,0.33397667,0.10928064,-1.5281774,-0.39226727,0.26691558,-0.67337045,0.32212307,0.36024405,0.24839638,0.012423329,0.20320991,-0.89761366,0.35736084,0.29080604,0.18237912,-0.74310931,0.19249791,0.32909776,0.34071282,0.29622127,0.25487202,-0.30578192
-31.728444,0.99915347,0.075326986,5,31,0,31.940918,0.37667808,1.1341059,0.34491773,-2.6308085,0.072020213,0.2373755,0.3181152,0.33395619,-1.9020479,-1.802749,-0.69835262,0.044557604,-0.10360495,-2.0493978,0.34347941,-1.8267475,-0.163163,0.36385955,-1.191005,-0.35922637,-3.3076349,0.36451619,-1.291799,-0.71395305,-0.11903868,0.02108117,0.21376636,0.13947573,-1.3114612,-1.9363181,0.22990345,-0.64842644,0.11396759,0.34804251,0.12336235,-1.5384879,-0.38255926,0.28391641,-0.66949729,0.33358289,0.37791661,0.23416378,0.025077149,0.22047712,-0.89750089,0.37286838,0.31119181,0.19809317,-0.73472242,0.21373614,0.34115975,0.35192553,0.32054811,0.27439621,-0.29590101
-32.304002,0.99950284,0.075326986,5,31,0,32.971056,0.70432793,1.1492742,0.32961162,-2.6030604,0.074046616,0.1754796,0.342096,0.27620242,-1.8861976,-1.7917249,-0.74320649,-0.017850925,-0.1676931,-2.0337127,0.30451576,-1.8254368,-0.21295065,0.31650353,-1.2604512,-0.42901434,-3.081566,0.3154418,-1.3260168,-0.7494505,0.13374057,-0.052104865,0.14056272,0.087919783,-1.3761195,-1.9623549,0.29814261,-0.66095276,0.029235695,0.31479713,0.079669989,-1.547627,-0.43220138,0.23826616,-0.68986952,0.30599657,0.33231545,0.31955196,-0.029604014,0.17204607,-0.90722404,0.33779421,0.25118257,0.15212911,-0.78172216,0.14785476,0.31156722,0.32700353,0.24309642,0.21395479,-0.33154882
-31.375577,0.99995085,0.075326986,5,31,0,32.445628,0.64196097,1.1635015,0.33776135,-2.6950899,0.06753631,0.19102577,0.28458176,0.27710547,-1.8299509,-1.7361375,-0.69869874,0.0077136864,-0.13583644,-1.9759967,0.30003693,-1.7664563,-0.18432998,0.30938578,-1.1867475,-0.38576172,-3.1020155,0.3106582,-1.2669163,-0.70585707,-0.059345295,-0.021659802,0.16099925,0.10580678,-1.2969591,-1.8903154,0.20769965,-0.6274978,0.057877291,0.31062063,0.097158173,-1.4859808,-0.39521869,0.24639586,-0.65474464,0.2768811,0.32287187,0.22439168,-0.0049648752,0.18550091,-0.8689348,0.32148295,0.26025813,0.16558638,-0.7356443,0.16651903,0.30508337,0.31565473,0.25314861,0.22581462,-0.30317328
-33.054195,0.99690405,0.075326986,5,31,0,34.276925,0.66176706,1.1185094,0.35321022,-3.0660512,0.046604825,0.27753411,0.30703976,0.3703294,-1.9342705,-1.8310164,-0.68917536,0.078822955,-0.067547234,-2.0964117,0.38619168,-1.8537286,-0.13565098,0.39234483,-1.1949374,-0.33465058,-3.3617643,0.39334286,-1.3026511,-0.69090696,-0.33566856,0.0590612,0.25604862,0.17527117,-1.2999123,-1.9894019,0.1670266,-0.6140724,0.14221012,0.39198194,0.16682285,-1.5464569,-0.35831866,0.32663601,-0.65150862,0.34287283,0.39976081,0.17878148,0.07082251,0.2615398,-0.88535217,0.39498943,0.34637811,0.24454292,-0.72763601,0.24684728,0.38965696,0.3976993,0.34910646,0.31468565,-0.26405532
-33.230453,0.99862048,0.075326986,4,31,0,36.673561,0.45584827,1.1267562,0.35670931,-2.8042289,0.060553446,0.28131792,0.25028455,0.36106884,-1.8873887,-1.7861565,-0.66274166,0.090476818,-0.056551722,-2.0409335,0.37243615,-1.8111163,-0.1202254,0.38098259,-1.1579421,-0.31556894,-3.3288021,0.38471513,-1.2658717,-0.67288113,-0.56168649,0.069282384,0.25953089,0.18427681,-1.2726031,-1.9287971,0.078118668,-0.6043447,0.15730861,0.38036006,0.17186917,-1.5095642,-0.33989095,0.32664451,-0.63155831,0.30799018,0.39089634,0.085111752,0.075361688,0.26600689,-0.86261687,0.37665424,0.34844396,0.24528268,-0.69990918,0.25689722,0.37286728,0.37709007,0.35081778,0.31555513,-0.252301
-33.441774,0.99879268,0.075326986,6,63,0,35.389688,0.70396277,1.1595301,0.35426882,-2.5584257,0.077426539,0.24293628,0.18309287,0.29782127,-1.7717674,-1.6781759,-0.64240686,0.06703887,-0.07874743,-1.9182473,0.32762408,-1.7090338,-0.12139359,0.3219205,-1.1464699,-0.33360284,-2.986454,0.32821101,-1.2149653,-0.64815476,-0.61634088,0.031837109,0.20713677,0.16973816,-1.2577157,-1.8429734,7.0462447e-05,-0.56206446,0.10880164,0.34619303,0.16190787,-1.4341323,-0.3367372,0.30068879,-0.59104847,0.22216409,0.32761845,0.022696564,0.054923261,0.24602026,-0.80557542,0.31401766,0.30275609,0.22687823,-0.68010815,0.22126661,0.33706515,0.33799002,0.28072966,0.2732204,-0.23780403
-32.745355,0.99987047,0.075326986,5,63,0,33.82223,0.61776118,1.1527534,0.35507223,-2.7165726,0.06610092,0.25178844,0.19140359,0.3135644,-1.8032014,-1.7072199,-0.64504499,0.073215654,-0.07038756,-1.9523528,0.33455919,-1.736415,-0.1225172,0.33383363,-1.1350684,-0.3225263,-3.120655,0.33962123,-1.2235134,-0.65207815,-0.62149382,0.045678745,0.22366289,0.16935147,-1.2453673,-1.8598569,0.0099697772,-0.57571578,0.12531984,0.34875105,0.16046229,-1.4483372,-0.33566277,0.30239209,-0.6039807,0.24279901,0.34066086,0.02506525,0.060345856,0.24672624,-0.82297372,0.32622026,0.31276353,0.22713904,-0.68224665,0.22962118,0.33987964,0.34123093,0.30079426,0.28261129,-0.24446935
-31.793023,0.99928994,0.075326986,5,47,0,34.22466,0.37598391,1.1591256,0.345865,-2.6313733,0.071979542,0.21920984,0.24762921,0.29938347,-1.8273822,-1.7315942,-0.67052685,0.039382554,-0.1025422,-1.9704567,0.30908368,-1.7531974,-0.15791295,0.32505761,-1.1413262,-0.34655766,-3.2171346,0.327612,-1.239037,-0.68554037,-0.26303905,0.015640939,0.19551973,0.13022643,-1.2552297,-1.859368,0.13927623,-0.622839,0.10435665,0.31592978,0.11437284,-1.4756793,-0.36827114,0.26288472,-0.64287033,0.27586259,0.33671347,0.14359051,0.019656618,0.20540098,-0.86155819,0.32722759,0.28615253,0.18358383,-0.70536698,0.19889004,0.30725158,0.31409491,0.29105746,0.25241191,-0.28515546
-32.75948,0.99912715,0.075326986,6,63,0,33.962957,0.69909906,1.1609864,0.35202784,-2.9116584,0.054385465,0.23529613,0.19639259,0.30050491,-1.8033343,-1.7074747,-0.65191556,0.05817436,-0.080086866,-1.9544206,0.32124636,-1.7291011,-0.13573539,0.31912288,-1.1306026,-0.32981783,-3.1383957,0.32314624,-1.2219806,-0.6540041,-0.51100078,0.033645578,0.2094801,0.15181018,-1.22956,-1.8596054,0.03388896,-0.57732182,0.10925444,0.33287241,0.14425117,-1.4471513,-0.34528187,0.28411617,-0.61119288,0.24038112,0.32339276,0.049632682,0.049533532,0.22854275,-0.82774765,0.31285321,0.29372483,0.21215881,-0.68817439,0.21033163,0.32745005,0.32988497,0.28442882,0.26638099,-0.25319031
-32.522909,0.99913379,0.075326986,5,47,0,34.618793,0.29483043,1.1355611,0.33695142,-2.6192213,0.072859576,0.20979966,0.34527922,0.31850717,-1.9364874,-1.8366122,-0.7277378,0.014436246,-0.13054245,-2.0898249,0.32530375,-1.8576513,-0.19538812,0.35126156,-1.214242,-0.38657062,-3.3683062,0.34943824,-1.3166634,-0.74457709,0.060129302,-0.0070396845,0.1879597,0.10812254,-1.3321046,-1.957888,0.29509086,-0.6830614,0.088911653,0.32390221,0.088748848,-1.5748501,-0.41453729,0.25316034,-0.70462834,0.34662027,0.36298504,0.29463867,-0.0016709066,0.18775771,-0.93339351,0.36489672,0.28540707,0.16750432,-0.76386868,0.1842174,0.3192891,0.3335659,0.30426547,0.24931284,-0.32835575
-33.046937,0.99937161,0.075326986,6,63,0,35.285309,0.74394565,1.1953199,0.32614741,-3.000491,0.049762628,0.13118022,0.25015645,0.21913821,-1.8042862,-1.7132324,-0.71551603,-0.043688577,-0.17522056,-1.9485706,0.24037434,-1.7306577,-0.22698343,0.24824931,-1.1691297,-0.41287885,-3.0959185,0.24705052,-1.253379,-0.7161145,0.028706416,-0.068001482,0.10532964,0.047532741,-1.2595133,-1.8588692,0.19865595,-0.64099928,0.0040276675,0.24700655,0.040529375,-1.4672147,-0.42584597,0.18202144,-0.67456173,0.23360556,0.25836079,0.21527494,-0.050785441,0.12345651,-0.87890176,0.26187765,0.19481179,0.1082034,-0.74967258,0.10409291,0.24611728,0.25786269,0.19210369,0.16505472,-0.33619491
-33.567507,0.99976132,0.075326986,6,63,0,34.422839,0.23291608,1.1227806,0.35061858,-2.806958,0.060388414,0.26538612,0.30967196,0.36485145,-1.9480711,-1.8438055,-0.69231647,0.068917576,-0.072828013,-2.1119386,0.36869496,-1.8562578,-0.14837115,0.38681277,-1.1765423,-0.33397294,-3.492669,0.38643741,-1.2935398,-0.70364695,-0.25558296,0.053287159,0.24849725,0.15957425,-1.2846739,-1.9603104,0.19504212,-0.64377739,0.14773999,0.36561474,0.14057243,-1.5649487,-0.37018866,0.30235716,-0.67435018,0.35298286,0.39013175,0.19148176,0.059377197,0.23853959,-0.91045854,0.38671279,0.33392024,0.22292039,-0.72947632,0.23664614,0.36247806,0.37155723,0.35557559,0.30557869,-0.28264595
