# stan_version_major = 2
# stan_version_minor = 37
# stan_version_patch = 0
# model = rlddm_single_subject_model
# start_datetime = 2025-09-25 02:51:29 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.999
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = dense_e
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /Users/jy4657/Desktop/Repositories/tst-stan/recovery_out/tmp_subject_5/tmpfb93enl5/eagp237g.json
# init = 2 (Default)
# random
#   seed = 2032
# output
#   file = /Users/jy4657/Desktop/Repositories/tst-stan/cmdstan_tmp/rlddm_single_subject-20250924225129.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.37.0
# stancflags = --filename-in-msg=rlddm_single_subject.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,a,t0,log_scaler,scaler,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46,log_lik.47,log_lik.48,log_lik.49,log_lik.50
# Adaptation terminated
# Step size = 0.129701
# Elements of inverse mass matrix:
# 0.456554, -0.0061281, -0.0213953, -0.0235465
# -0.0061281, 0.0219622, -0.0349702, 0.00122615
# -0.0213953, -0.0349702, 1.65223, -0.0103664
# -0.0235465, 0.00122615, -0.0103664, 0.0682072
-54.434161,0.99907501,0.12970138,5,31,0,56.442944,0.74224314,1.4341898,0.32917191,-2.9143366,0.054240003,-0.66572802,-0.13614296,-2.1828648,-0.3485406,-1.332017,-0.11674576,-0.15367747,-0.52711477,-0.25375559,-0.45077078,-1.5497134,-0.29439562,-0.43452432,-1.2742342,-0.085171057,-0.67126666,-0.25475765,-0.53812145,-0.34333797,-0.2819971,-0.32640803,-1.8968928,-1.5636675,-0.49159217,-0.17050459,-2.6573385,-0.41691198,-1.1731691,-0.4521311,-2.4566258,-0.94571823,-1.6302142,-0.11745295,-1.1762599,-0.86079382,-0.38116263,-0.59355942,-1.1000352,-0.21820491,-0.1685695,-0.94994365,-0.17321758,-0.58912093,-1.5505138,-1.2084949,-0.15737083,-0.1446608,-0.12151193,-1.3500092,-0.48763411
-55.967198,0.997221,0.12970138,5,31,0,57.868288,0.86281268,1.3423744,0.34373556,-2.6638728,0.069677848,-0.64725943,-0.0036820991,-2.4314888,-0.28396336,-1.4065062,0.0085189663,-0.049270671,-0.48460832,-0.17467489,-0.39714665,-1.6563462,-0.21609006,-0.37153368,-1.3421988,0.060645193,-0.64147576,-0.16926149,-0.49169148,-0.26946134,-0.20919203,-0.2505502,-2.0574507,-1.6290997,-0.44801575,-0.067411792,-2.9181429,-0.36147965,-1.2544144,-0.40201948,-2.5600872,-0.96741757,-1.702719,0.020136497,-1.4106513,-0.88766328,-0.32958302,-0.55534856,-1.1413627,-0.12334172,-0.06805039,-0.98845334,-0.043976677,-0.56156414,-1.7018262,-1.2662147,-0.05047009,-0.039120526,0.016629666,-1.4636816,-0.45222598
-52.88953,0.99852599,0.12970138,5,31,0,59.107256,0.37787453,1.267495,0.33047446,-2.6263413,0.072342662,-0.71937056,0.12561253,-2.6585395,-0.29675456,-1.5803625,0.057806152,-0.022327991,-0.54641381,-0.16234757,-0.45489696,-1.8516365,-0.23412929,-0.4435477,-1.4918896,0.11655233,-0.74829052,-0.17467237,-0.57279303,-0.31787696,-0.19628693,-0.29463537,-2.2530731,-1.9173063,-0.49098169,-0.054454459,-3.1910918,-0.3947965,-1.3413857,-0.44493529,-3.0760432,-1.0755015,-1.9906626,0.13032959,-0.44024322,-0.95011489,-0.33036147,-0.6428694,-1.287817,-0.12669304,-0.017732886,-1.0764579,0.11324378,-0.61010112,-1.8545918,-1.4316757,-0.035356993,0.034427645,0.13788859,-1.5808558,-0.472401
-53.019339,0.99596944,0.12970138,4,31,0,53.836912,0.43048626,1.2816229,0.31932526,-2.6143392,0.073216157,-0.74455918,0.093206064,-2.6525159,-0.33348393,-1.587879,0.01926964,-0.060905712,-0.57665921,-0.20194272,-0.48190048,-1.8537223,-0.27048598,-0.47160333,-1.5020309,0.08295525,-0.76866834,-0.21244852,-0.59700741,-0.34795305,-0.23643254,-0.32531986,-2.2412647,-1.9067525,-0.52145443,-0.092820429,-3.1600503,-0.42743793,-1.360859,-0.4757677,-3.023059,-1.0933559,-1.977747,0.098620889,-0.2525969,-0.97470445,-0.36698632,-0.66542537,-1.3001679,-0.16505005,-0.059236942,-1.0995351,0.084192674,-0.63820476,-1.8601588,-1.4388423,-0.073265292,-0.0075344586,0.1061399,-1.591774,-0.50630702
-52.51559,0.99996533,0.12970138,4,15,0,53.473524,0.41365558,1.3017329,0.32068468,-2.6738144,0.068988575,-0.72905109,0.070068913,-2.5661952,-0.33011687,-1.5449784,0.0055206769,-0.069187647,-0.56560933,-0.20323459,-0.4760471,-1.802936,-0.26990389,-0.46579452,-1.4626815,0.063129205,-0.75440163,-0.21390161,-0.58790138,-0.34632391,-0.23612495,-0.32438119,-2.1876506,-1.8604291,-0.51284077,-0.099713395,-3.0864891,-0.42174623,-1.3218089,-0.46871278,-2.959306,-1.0671316,-1.9310005,0.075558519,-0.35007068,-0.9497601,-0.36228011,-0.65440994,-1.2668769,-0.16851657,-0.067329002,-1.0688301,0.058547167,-0.62611327,-1.802707,-1.4017626,-0.081364408,-0.018308624,0.082319433,-1.5456445,-0.49669732
