# stan_version_major = 2
# stan_version_minor = 37
# stan_version_patch = 0
# model = rlddm_single_subject_model
# start_datetime = 2025-09-25 02:55:26 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 2000
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.999
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = dense_e
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /Users/jy4657/Desktop/Repositories/tst-stan/recovery_out/tmp_subject_1/tmpt4kfev7o/8tmu4qph.json
# init = 2 (Default)
# random
#   seed = 2028
# output
#   file = /Users/jy4657/Desktop/Repositories/tst-stan/cmdstan_tmp/rlddm_single_subject-20250924225526_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.37.0
# stancflags = --filename-in-msg=rlddm_single_subject.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,a,t0,log_scaler,scaler,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46,log_lik.47,log_lik.48,log_lik.49,log_lik.50,log_lik.51,log_lik.52,log_lik.53,log_lik.54,log_lik.55,log_lik.56,log_lik.57,log_lik.58,log_lik.59,log_lik.60,log_lik.61,log_lik.62,log_lik.63,log_lik.64,log_lik.65,log_lik.66,log_lik.67,log_lik.68,log_lik.69,log_lik.70,log_lik.71,log_lik.72,log_lik.73,log_lik.74,log_lik.75,log_lik.76,log_lik.77,log_lik.78,log_lik.79,log_lik.80,log_lik.81,log_lik.82,log_lik.83,log_lik.84,log_lik.85,log_lik.86,log_lik.87,log_lik.88,log_lik.89,log_lik.90,log_lik.91,log_lik.92,log_lik.93,log_lik.94,log_lik.95,log_lik.96,log_lik.97,log_lik.98,log_lik.99,log_lik.100,log_lik.101,log_lik.102,log_lik.103,log_lik.104,log_lik.105,log_lik.106,log_lik.107,log_lik.108,log_lik.109,log_lik.110,log_lik.111,log_lik.112,log_lik.113,log_lik.114,log_lik.115,log_lik.116,log_lik.117,log_lik.118,log_lik.119,log_lik.120,log_lik.121,log_lik.122,log_lik.123,log_lik.124,log_lik.125,log_lik.126,log_lik.127,log_lik.128,log_lik.129,log_lik.130,log_lik.131,log_lik.132,log_lik.133,log_lik.134,log_lik.135,log_lik.136,log_lik.137,log_lik.138,log_lik.139,log_lik.140,log_lik.141,log_lik.142,log_lik.143,log_lik.144,log_lik.145,log_lik.146,log_lik.147,log_lik.148,log_lik.149,log_lik.150,log_lik.151,log_lik.152,log_lik.153,log_lik.154,log_lik.155,log_lik.156,log_lik.157,log_lik.158,log_lik.159,log_lik.160,log_lik.161,log_lik.162,log_lik.163,log_lik.164,log_lik.165,log_lik.166,log_lik.167,log_lik.168,log_lik.169,log_lik.170,log_lik.171,log_lik.172,log_lik.173,log_lik.174,log_lik.175,log_lik.176,log_lik.177,log_lik.178,log_lik.179,log_lik.180,log_lik.181,log_lik.182,log_lik.183,log_lik.184,log_lik.185,log_lik.186,log_lik.187,log_lik.188,log_lik.189,log_lik.190,log_lik.191,log_lik.192,log_lik.193,log_lik.194,log_lik.195,log_lik.196,log_lik.197,log_lik.198,log_lik.199,log_lik.200,log_lik.201,log_lik.202,log_lik.203,log_lik.204,log_lik.205,log_lik.206,log_lik.207,log_lik.208,log_lik.209,log_lik.210,log_lik.211,log_lik.212,log_lik.213,log_lik.214,log_lik.215,log_lik.216,log_lik.217,log_lik.218,log_lik.219,log_lik.220,log_lik.221,log_lik.222,log_lik.223,log_lik.224,log_lik.225,log_lik.226,log_lik.227,log_lik.228,log_lik.229,log_lik.230,log_lik.231,log_lik.232,log_lik.233,log_lik.234,log_lik.235,log_lik.236,log_lik.237,log_lik.238,log_lik.239,log_lik.240,log_lik.241,log_lik.242,log_lik.243,log_lik.244,log_lik.245,log_lik.246,log_lik.247,log_lik.248,log_lik.249,log_lik.250,log_lik.251,log_lik.252,log_lik.253,log_lik.254,log_lik.255,log_lik.256,log_lik.257,log_lik.258,log_lik.259,log_lik.260,log_lik.261,log_lik.262,log_lik.263,log_lik.264,log_lik.265,log_lik.266,log_lik.267,log_lik.268,log_lik.269,log_lik.270,log_lik.271,log_lik.272,log_lik.273,log_lik.274,log_lik.275,log_lik.276,log_lik.277,log_lik.278,log_lik.279,log_lik.280,log_lik.281,log_lik.282,log_lik.283,log_lik.284,log_lik.285,log_lik.286,log_lik.287,log_lik.288,log_lik.289,log_lik.290,log_lik.291,log_lik.292,log_lik.293,log_lik.294,log_lik.295,log_lik.296,log_lik.297,log_lik.298,log_lik.299,log_lik.300
# Adaptation terminated
# Step size = 0.14983
# Elements of inverse mass matrix:
# 0.446695, -0.00258448, -0.000590417, -0.00555823
# -0.00258448, 0.00472567, -0.0186467, 0.00196107
# -0.000590417, -0.0186467, 0.317218, -0.0122138
# -0.00555823, 0.00196107, -0.0122138, 0.0453638
-234.50874,0.99591273,0.14983044,4,15,0,235.99701,0.53650546,1.2828895,0.2052095,-2.8130435,0.06002204,-0.73968048,-1.5784977,-0.82661145,-2.7771503,0.045138157,-1.7064227,-0.60125692,-0.52502481,-2.0538093,-1.7024893,-0.97008159,-2.0351991,-0.14773174,-0.044066504,-2.5551788,-0.27250315,0.11833696,-0.12581002,0.055220181,-2.5818305,-0.3443487,-0.38850079,-1.7615499,-0.1572418,-0.1589505,-0.0089049109,-0.090509343,-5.0208834,-0.20454817,-0.055734926,-1.8466771,-0.34477727,-0.81141565,-1.29191,-0.051441921,-0.11342251,0.11263789,-0.83255716,-0.57304447,-1.2566917,-0.0046916746,-1.1740364,-0.048918432,-0.25704945,-0.51790399,-1.0501312,0.039464907,-1.5463417,-3.7251762,-0.94173906,-0.48347438,-0.50665902,-0.16179324,-0.27119978,-0.15474725,-0.57630277,-1.1365073,-0.51739305,-0.23242022,0.040646022,-2.950477,-2.4554574,-0.30488145,-0.25821761,-1.1741664,0.081302758,0.091213063,0.13461504,0.07448959,0.14985724,-0.12926481,-2.0766921,-0.45319311,-0.54479648,-0.63765899,-0.27619764,-1.164918,-2.5441933,-0.3715573,-0.19544048,-1.2388956,-2.3006272,-0.041121959,-0.38603093,-2.3596737,-0.75158062,-0.33036096,-0.8241956,-0.20172505,-2.1804052,-1.5380031,-0.82025806,-0.68508195,-0.37246297,-1.5224338,-0.19898318,-0.100797,-0.014360257,0.070727715,-2.1204093,-0.82768305,0.017579617,-0.51088691,-0.027550575,-1.0583315,-0.16208132,0.074889153,-2.4064897,-2.2594152,-0.16451578,0.11438436,-3.7765732,0.022588039,-0.59514234,-0.32785437,0.027009812,0.07334928,-1.2091719,-0.11501134,-0.1820672,0.050761774,-0.10680568,-0.298569,-0.12902655,0.051879994,-0.17984246,-1.2388971,0.071850366,0.073384577,0.098145045,-0.011975862,-0.51268758,-0.52140419,0.084161426,-1.1667224,-2.0058771,0.074289075,0.068251364,-0.68694512,-0.28685402,-0.97731557,-0.76406885,-0.84245694,0.092467678,0.084052016,-0.38628545,-2.5219439,-0.55137133,-0.45837822,-1.3840844,-1.5251372,0.10205523,0.099113689,-0.16328667,-0.0040720974,-0.93446511,0.0022430379,-0.95014882,-0.65322841,0.13527246,0.1401984,-0.2182165,-0.9336439,-0.58740981,-0.45959049,-0.0014962675,-1.8436891,-0.20808738,-1.4687604,-0.57434783,-2.0205595,0.12429796,-2.7262904,-0.1477936,-0.95058949,-0.35142711,-2.723628,0.13213021,-0.97846811,-0.5329799,-1.7717382,-0.16435488,0.078233919,-2.0495319,-0.97556561,-0.19277477,-2.217555,-1.4052258,-0.55350418,-0.83168943,-0.13205649,-2.1065486,0.056556639,-0.1593976,-0.2221295,0.0077401514,0.079146037,-0.50661916,-0.24798391,-0.64764589,0.045346757,-2.8339871,-0.088252169,-1.3815518,-4.5177886,-0.65343186,-0.40865785,0.064924864,-0.43241598,-0.033907298,-0.72893821,-0.65893611,-0.026680571,-0.68830793,-2.0987297,0.11091192,-1.1321696,-1.8897426,-0.23901658,-0.60457734,-0.16275515,-0.071327786,-0.77045016,-0.28787239,-1.1952481,-0.28833156,-3.5460906,-0.25767744,-1.8637335,-0.98248018,-0.32699217,-1.376807,-0.19368965,-0.11742782,0.016668859,-0.40361995,-0.082390583,-0.013794494,-0.83979431,-1.1970727,-0.73836176,-0.38155714,-0.089612825,-0.60788864,0.044477203,-0.19314271,-0.29449847,-1.6748041,-0.99127848,-0.30299977,0.053651626,0.069439367,-0.35948283,-1.1251133,-0.59207908,-0.305278,-1.4249526,0.054690306,-0.017214831,-0.70590811,0.038485951,-1.3268929,-0.1939852,-0.33625906,0.1157253,-0.34088238,-1.4768865,-0.184294,0.040915543,-3.5702367,-1.5677291,-0.49603585,-0.39201895,-0.4322998,0.074378187,-2.2482778,-0.63812562,-2.0375329,-5.2550413,-0.1648066,-0.014366729,0.12762638,0.0035096106,-0.79965529,-2.7765516,-1.3610118,-3.09752,-1.5941639,0.03103579,-0.14943108,-2.2488296,-0.22438367,-0.0064765062,0.046262958,-1.636012,-0.24620403,-0.023673556,-0.82191476,-0.58883591,-0.010434357
-236.73719,0.98400443,0.14983044,5,31,0,237.54148,0.56767924,1.3243807,0.21522035,-2.9383715,0.052951893,-0.68975182,-1.4803748,-0.77128823,-2.6089294,0.020954465,-1.5990287,-0.55996427,-0.48853597,-1.9182548,-1.5868522,-0.90521676,-1.9113815,-0.13893639,-0.28055399,-2.4279043,-0.25414558,0.003657367,-0.11908802,0.029081713,-2.4037329,-0.31888085,-0.36164051,-1.6563953,-0.14770953,-0.14849148,-0.019518342,-0.089812273,-4.8875333,-0.5722835,-0.056245611,-1.724749,-0.32036556,-0.75774515,-1.2071331,-0.053723816,-0.10855967,0.042699122,-0.77590918,-0.5335608,-1.1781662,-0.20092787,-1.0914958,-0.055138578,-0.23873304,-0.48243724,-0.97955357,-0.13471135,-1.4519658,-3.5222794,-0.87964484,-0.45028332,-0.47128598,-0.15172074,-0.25254053,-0.49079628,-0.53626067,-2.2787296,-0.48163405,-0.21645917,-0.14233199,-2.8112917,-2.2762201,-0.28359982,-0.2397229,-1.1037989,-0.017744553,0.062278521,0.081616351,-0.028509398,0.07870865,-0.12327421,-1.9343582,-0.42057896,-0.50740637,-0.5945314,-0.69485552,-1.0872462,-2.4035108,-0.34511316,-0.57651082,-1.1622535,-2.1535636,-0.047284878,-0.35841045,-2.2160973,-0.70095158,-0.30715875,-0.76716385,-0.18905169,-2.0585768,-1.4455722,-0.76667493,-0.64023651,-0.88849633,-1.4193643,-0.18699664,-0.095608955,-0.022393035,-0.079255212,-1.9786876,-0.7708935,0.0021889194,-0.4747465,-0.26512123,-0.98640945,-0.48730427,-0.051403288,-2.2768407,-2.1349329,-0.15460358,0.056182265,-3.5033409,0.0098582892,-0.55530589,-0.30367553,0.0053572288,0.041836627,-1.1312766,-0.41352888,-0.17172266,0.020759403,-0.10231284,-0.74735592,-0.12233506,-0.13597877,-0.16841334,-1.1602797,0.041253804,0.040376826,0.049724203,-0.021042294,-0.47796487,-0.48619566,-0.0038457225,-1.0972683,-1.8546045,0.023841755,0.046397655,-0.63782372,-0.26567697,-0.91499001,-0.71082923,-0.78911594,0.0079391648,0.030640313,-0.35823589,-2.396862,-1.1969141,-0.42716367,-1.2927048,-1.4277173,0.053807497,0.052450097,-0.15316637,-0.014596276,-0.87180652,-0.21097745,-0.88629701,-0.60910832,0.054597087,0.077552424,-0.20415972,-0.87566782,-0.54908529,-0.42800459,-0.017482838,-1.7086944,-0.19510862,-1.3819064,-0.53699888,-1.8689103,0.042377538,-2.5892583,-0.13986438,-0.88501335,-0.3255322,-2.5764492,0.035488024,-0.91553331,-0.49549549,-3.549753,-0.15540878,-0.028129856,-1.90556,-0.91291684,-0.57436778,-2.0465203,-1.3036009,-0.51313039,-0.77184063,-0.12466767,-1.9558876,0.027423695,-0.15045761,-0.20610953,-0.0019886101,-0.05141404,-0.47108617,-0.22989855,-0.60318069,0.019543658,-2.6158758,-0.35283481,-1.283681,-3.9022705,-0.6110892,-0.38060421,-0.10576891,-0.40282413,-0.039877943,-0.67818188,-0.6118725,-0.032922127,-0.6400586,-1.9498236,0.061133217,-1.0587767,-1.7724997,-0.22239318,-0.5620502,-0.15318691,-0.071304422,-0.71838971,-0.2682419,-1.111495,-0.26825688,-3.3164705,-0.24134306,-1.7460652,-0.91867948,-0.30384493,-1.2901828,-0.18070505,-0.41526126,0.001946467,-0.37475085,-0.079145925,-0.25900254,-0.78298486,-1.1178804,-0.68916821,-0.35453818,-0.087346409,-0.56585951,0.022590646,-0.56220864,-0.27451454,-1.574259,-0.92361405,-0.2813909,0.032529722,-0.066402119,-0.33391928,-1.055706,-0.54982574,-0.28334939,-1.3216768,0.036208802,-0.026212838,-0.65989595,0.018370899,-1.2417698,-0.18136712,-0.31234434,0.045469385,-0.31680977,-1.3815756,-0.54149595,0.017194818,-3.3964354,-1.4734664,-0.46093085,-0.3639612,-0.40111242,0.024745026,-2.0937139,-0.59329476,-1.921543,-4.6677216,-0.15536391,-0.022866076,0.071778933,-0.0077098141,-0.74666924,-2.6031101,-1.2733991,-2.9496074,-1.488568,0.011229184,-0.14071334,-2.0941286,-0.20801045,-0.22045609,0.023236094,-3.3110575,-0.22951805,-0.24226196,-0.76449069,-0.54714259,-0.017095014
-237.04533,0.99428673,0.14983044,4,23,0,241.27052,0.43481692,1.2810477,0.19972958,-2.6562485,0.070211126,-0.75726712,-1.5995321,-0.84445173,-2.8122137,0.035092844,-1.7301481,-0.61709102,-0.54322631,-2.0729669,-1.7232404,-0.98909717,-2.0497956,-0.16499326,-0.00081735376,-2.5716095,-0.28547437,0.13201593,-0.14363331,0.041988202,-2.6360832,-0.36576253,-0.40081257,-1.7904578,-0.17279502,-0.17540593,-0.022598267,-0.10191741,-4.8934892,-0.1237525,-0.07274788,-1.8566683,-0.36062739,-0.8270859,-1.3088384,-0.06560012,-0.12799332,0.11147999,-0.85235227,-0.59322152,-1.2797248,0.029689378,-1.1918005,-0.061673647,-0.27410514,-0.5359941,-1.0716127,0.068786944,-1.5720425,-3.7554091,-0.95911942,-0.4988475,-0.52398894,-0.17814272,-0.28543894,-0.080933505,-0.59487101,-0.83999882,-0.53337252,-0.24780018,0.070015192,-2.9826043,-2.4722468,-0.31972051,-0.27518457,-1.1913757,0.088040576,0.081698401,0.13012103,0.080508081,0.15111872,-0.13953291,-2.1210159,-0.47360896,-0.55665736,-0.65875048,-0.1784404,-1.1816599,-2.5757808,-0.38914352,-0.11032474,-1.2587229,-2.3271344,-0.052880989,-0.40433927,-2.379428,-0.76884111,-0.34583567,-0.84099782,-0.21619976,-2.2047461,-1.5593934,-0.83634109,-0.70231213,-0.24799387,-1.5481456,-0.21090473,-0.11867033,-0.02843888,0.091859266,-2.1421723,-0.84668708,0.0049537326,-0.52933175,0.016540028,-1.0731901,-0.090269899,0.090109529,-2.4321496,-2.2831323,-0.17823169,0.11257588,-3.855049,0.0072391548,-0.60932407,-0.34818216,0.019359666,0.065600155,-1.2250455,-0.049368281,-0.19376617,0.044322211,-0.12190101,-0.19288524,-0.14449113,0.080396723,-0.19535119,-1.2565615,0.06314429,0.063612425,0.091266925,-0.023359395,-0.52921753,-0.5377576,0.087173263,-1.181897,-2.0373134,0.0680911,0.058479598,-0.71014228,-0.30692506,-0.98917341,-0.78725934,-0.85741501,0.094061871,0.07819552,-0.4048343,-2.5280602,-0.38665707,-0.47160091,-1.4092703,-1.5406556,0.097873267,0.09223555,-0.17952236,-0.017777356,-0.95466517,0.038615388,-0.97144377,-0.67417809,0.1341756,0.13593986,-0.23201464,-0.94293169,-0.60462343,-0.47793474,-0.012184038,-1.8650831,-0.21845205,-1.4733901,-0.5885197,-2.056822,0.13008823,-2.7336421,-0.15925386,-0.97200873,-0.37218894,-2.7423965,0.13562464,-1.000292,-0.54727978,-1.3132688,-0.17841681,0.087599116,-2.0843673,-0.98970234,-0.10642666,-2.250432,-1.4304393,-0.57315123,-0.85326114,-0.15128096,-2.1526581,0.042959789,-0.17027664,-0.24196981,-0.010087987,0.09900082,-0.52798581,-0.2669642,-0.66659543,0.03650603,-2.859176,-0.034786248,-1.4015121,-4.5999515,-0.66974047,-0.42311406,0.092345517,-0.44692514,-0.049065281,-0.74924699,-0.68098926,-0.03577531,-0.71034544,-2.1179484,0.10655027,-1.1565254,-1.9051085,-0.25523382,-0.6231735,-0.17578397,-0.08700033,-0.78328221,-0.30132438,-1.2118491,-0.30379127,-3.7180678,-0.2665686,-1.8750023,-1.0057138,-0.34303898,-1.3992823,-0.21084087,-0.054179233,0.004299103,-0.42264803,-0.10048722,0.031890547,-0.85921826,-1.2108277,-0.75445946,-0.39872821,-0.10467641,-0.62365979,0.033976011,-0.10994208,-0.30766899,-1.7002399,-1.0065628,-0.31947827,0.040723546,0.087304888,-0.37545464,-1.1422811,-0.61090023,-0.32309703,-1.4513172,0.044947592,-0.034460184,-0.71797737,0.029966681,-1.3419573,-0.20845679,-0.35301644,0.11457985,-0.35632232,-1.4955568,-0.10474405,0.0351067,-3.7079763,-1.597607,-0.50991073,-0.40689944,-0.44829091,0.069614933,-2.2814208,-0.65771796,-2.060799,-6.0073572,-0.17668074,-0.030339498,0.12404809,-0.0076862161,-0.81514664,-2.8069054,-1.3777304,-3.1514732,-1.6133767,0.019486015,-0.16557542,-2.2808795,-0.24302864,0.034331007,0.033878887,-1.2050777,-0.26138947,0.016726006,-0.83958601,-0.60572755,-0.023866522
