# stan_version_major = 2
# stan_version_minor = 37
# stan_version_patch = 0
# model = rlddm_single_subject_model
# start_datetime = 2025-09-25 02:55:26 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 2000
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.999
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = dense_e
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /Users/jy4657/Desktop/Repositories/tst-stan/recovery_out/tmp_subject_1/tmpt4kfev7o/8tmu4qph.json
# init = 2 (Default)
# random
#   seed = 2028
# output
#   file = /Users/jy4657/Desktop/Repositories/tst-stan/cmdstan_tmp/rlddm_single_subject-20250924225526_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.37.0
# stancflags = --filename-in-msg=rlddm_single_subject.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,a,t0,log_scaler,scaler,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46,log_lik.47,log_lik.48,log_lik.49,log_lik.50,log_lik.51,log_lik.52,log_lik.53,log_lik.54,log_lik.55,log_lik.56,log_lik.57,log_lik.58,log_lik.59,log_lik.60,log_lik.61,log_lik.62,log_lik.63,log_lik.64,log_lik.65,log_lik.66,log_lik.67,log_lik.68,log_lik.69,log_lik.70,log_lik.71,log_lik.72,log_lik.73,log_lik.74,log_lik.75,log_lik.76,log_lik.77,log_lik.78,log_lik.79,log_lik.80,log_lik.81,log_lik.82,log_lik.83,log_lik.84,log_lik.85,log_lik.86,log_lik.87,log_lik.88,log_lik.89,log_lik.90,log_lik.91,log_lik.92,log_lik.93,log_lik.94,log_lik.95,log_lik.96,log_lik.97,log_lik.98,log_lik.99,log_lik.100,log_lik.101,log_lik.102,log_lik.103,log_lik.104,log_lik.105,log_lik.106,log_lik.107,log_lik.108,log_lik.109,log_lik.110,log_lik.111,log_lik.112,log_lik.113,log_lik.114,log_lik.115,log_lik.116,log_lik.117,log_lik.118,log_lik.119,log_lik.120,log_lik.121,log_lik.122,log_lik.123,log_lik.124,log_lik.125,log_lik.126,log_lik.127,log_lik.128,log_lik.129,log_lik.130,log_lik.131,log_lik.132,log_lik.133,log_lik.134,log_lik.135,log_lik.136,log_lik.137,log_lik.138,log_lik.139,log_lik.140,log_lik.141,log_lik.142,log_lik.143,log_lik.144,log_lik.145,log_lik.146,log_lik.147,log_lik.148,log_lik.149,log_lik.150,log_lik.151,log_lik.152,log_lik.153,log_lik.154,log_lik.155,log_lik.156,log_lik.157,log_lik.158,log_lik.159,log_lik.160,log_lik.161,log_lik.162,log_lik.163,log_lik.164,log_lik.165,log_lik.166,log_lik.167,log_lik.168,log_lik.169,log_lik.170,log_lik.171,log_lik.172,log_lik.173,log_lik.174,log_lik.175,log_lik.176,log_lik.177,log_lik.178,log_lik.179,log_lik.180,log_lik.181,log_lik.182,log_lik.183,log_lik.184,log_lik.185,log_lik.186,log_lik.187,log_lik.188,log_lik.189,log_lik.190,log_lik.191,log_lik.192,log_lik.193,log_lik.194,log_lik.195,log_lik.196,log_lik.197,log_lik.198,log_lik.199,log_lik.200,log_lik.201,log_lik.202,log_lik.203,log_lik.204,log_lik.205,log_lik.206,log_lik.207,log_lik.208,log_lik.209,log_lik.210,log_lik.211,log_lik.212,log_lik.213,log_lik.214,log_lik.215,log_lik.216,log_lik.217,log_lik.218,log_lik.219,log_lik.220,log_lik.221,log_lik.222,log_lik.223,log_lik.224,log_lik.225,log_lik.226,log_lik.227,log_lik.228,log_lik.229,log_lik.230,log_lik.231,log_lik.232,log_lik.233,log_lik.234,log_lik.235,log_lik.236,log_lik.237,log_lik.238,log_lik.239,log_lik.240,log_lik.241,log_lik.242,log_lik.243,log_lik.244,log_lik.245,log_lik.246,log_lik.247,log_lik.248,log_lik.249,log_lik.250,log_lik.251,log_lik.252,log_lik.253,log_lik.254,log_lik.255,log_lik.256,log_lik.257,log_lik.258,log_lik.259,log_lik.260,log_lik.261,log_lik.262,log_lik.263,log_lik.264,log_lik.265,log_lik.266,log_lik.267,log_lik.268,log_lik.269,log_lik.270,log_lik.271,log_lik.272,log_lik.273,log_lik.274,log_lik.275,log_lik.276,log_lik.277,log_lik.278,log_lik.279,log_lik.280,log_lik.281,log_lik.282,log_lik.283,log_lik.284,log_lik.285,log_lik.286,log_lik.287,log_lik.288,log_lik.289,log_lik.290,log_lik.291,log_lik.292,log_lik.293,log_lik.294,log_lik.295,log_lik.296,log_lik.297,log_lik.298,log_lik.299,log_lik.300
# Adaptation terminated
# Step size = 0.201366
# Elements of inverse mass matrix:
# 0.411754, -0.00419961, 0.0111992, -0.00415297
# -0.00419961, 0.0050528, -0.0192644, 0.00140894
# 0.0111992, -0.0192644, 0.35318, -0.00487419
# -0.00415297, 0.00140894, -0.00487419, 0.0461082
-237.21083,0.98206214,0.20136571,4,15,0,241.27628,0.75560715,1.389021,0.19421227,-2.7466179,0.064144437,-0.7231881,-1.427897,-0.79727823,-2.4313289,-0.085266394,-1.5343097,-0.61363955,-0.53259488,-1.859989,-1.5553704,-0.91949326,-1.8373963,-0.22344659,-0.24358094,-2.2590738,-0.32877959,-0.062914949,-0.20430084,-0.068330435,-2.2641227,-0.3687053,-0.44380966,-1.5695761,-0.23095328,-0.21806184,-0.11630885,-0.19613992,-4.7345749,-0.39073737,-0.13461668,-1.7032076,-0.40239078,-0.78640761,-1.1967323,-0.14576782,-0.19666701,-0.045557036,-0.79981195,-0.56350953,-1.1434347,-0.21138775,-1.1137107,-0.16558747,-0.31489261,-0.51881783,-0.98430138,-0.16574819,-1.3874064,-3.2973939,-0.89646334,-0.50704715,-0.52452057,-0.23488409,-0.32795747,-0.34740279,-0.58306195,-1.1576282,-0.5345417,-0.2942542,-0.15126273,-2.5843379,-2.2225387,-0.37142215,-0.29967083,-1.0793299,-0.10405689,-0.024792441,-0.0018336831,-0.11006563,5.5989756e-05,-0.21193289,-1.8416351,-0.47695071,-0.57714094,-0.61911899,-0.45905497,-1.1075316,-2.221782,-0.39421483,-0.36999908,-1.1306282,-2.0530491,-0.15665219,-0.40571517,-2.1080904,-0.73340363,-0.37659592,-0.81308392,-0.28577152,-1.9274527,-1.3840577,-0.79243541,-0.6622198,-0.52861263,-1.384863,-0.28391137,-0.16836131,-0.11676226,-0.1177833,-1.895476,-0.79745827,-0.095343176,-0.52659711,-0.22179201,-1.0165098,-0.36854376,-0.12017352,-2.1192983,-1.9949816,-0.23789698,-0.040001628,-3.245763,-0.072776023,-0.60075684,-0.35723298,-0.10977845,-0.059296435,-1.1263134,-0.32466507,-0.27171955,-0.094583098,-0.18967441,-0.47766628,-0.20845076,-0.12569525,-0.25252105,-1.1498484,-0.059451419,-0.05831229,-0.045901495,-0.11892743,-0.51580557,-0.5233129,-0.096126323,-1.0743204,-1.8188869,-0.085413945,-0.040638803,-0.67407763,-0.3360716,-0.93179293,-0.73904005,-0.79766507,-0.08566898,-0.076972657,-0.43750184,-2.2339825,-0.69668133,-0.48671725,-1.2687406,-1.3954215,-0.044265459,-0.044934578,-0.23677548,-0.11142715,-0.88738441,-0.19062879,-0.90021301,-0.63199481,-0.015038395,-0.0011801572,-0.30117157,-0.8955771,-0.58162349,-0.46839938,-0.13096993,-1.6855603,-0.27647612,-1.3590388,-0.57122827,-1.824709,-0.045327487,-2.4048354,-0.2267393,-0.91787566,-0.39042599,-2.3813433,-0.02528698,-0.90796216,-0.56690638,-1.6359483,-0.25659641,-0.11011751,-1.8195833,-0.92929658,-0.36934495,-1.998569,-1.3065799,-0.57997458,-0.81660929,-0.21011233,-1.8621036,-0.070106918,-0.23584611,-0.28227184,-0.082513837,-0.1208122,-0.50692246,-0.29001845,-0.64410689,-0.094427193,-2.5464627,-0.29766047,-1.2914811,-3.7967219,-0.63503416,-0.44230934,-0.12671001,-0.46245828,-0.13509937,-0.71272228,-0.65092076,-0.13025179,-0.67508148,-1.9129635,-0.03583179,-1.0372527,-1.7122296,-0.29768337,-0.60755942,-0.23741326,-0.16189391,-0.77080279,-0.35846177,-1.1326778,-0.34000762,-2.945574,-0.336378,-1.6927685,-0.90993838,-0.37318102,-1.2457796,-0.26148039,-0.32493862,-0.096571595,-0.43452063,-0.15349627,-0.19644774,-0.80693492,-1.1366626,-0.72376021,-0.40499279,-0.17737834,-0.62706774,-0.077286644,-0.38203246,-0.36260285,-1.4968543,-0.95807945,-0.35237719,-0.053551049,-0.1286011,-0.41669135,-1.0369645,-0.61229219,-0.36959156,-1.323165,-0.050431519,-0.12033175,-0.69962664,-0.082882197,-1.2265937,-0.26283172,-0.38067976,-0.043679845,-0.40147089,-1.3521959,-0.37442935,-0.099352835,-3.0360761,-1.4038576,-0.53502396,-0.44577374,-0.47908859,-0.085611293,-1.9946751,-0.6357409,-1.8066128,-4.1560439,-0.24243406,-0.11769435,-0.010354269,-0.10506505,-0.77621715,-2.4639293,-1.254785,-2.6929727,-1.4511641,-0.088514122,-0.22640122,-1.9947526,-0.27118157,-0.21568703,-0.0749032,-1.5030546,-0.32034583,-0.23142481,-0.80988406,-0.61081483,-0.09977765
-236.73831,0.98935809,0.20136571,3,7,0,238.0703,0.70095702,1.3847396,0.19183577,-2.7925493,0.061264831,-0.73060786,-1.4435285,-0.80516566,-2.4616101,-0.082370238,-1.5514998,-0.61787597,-0.5410898,-1.8679212,-1.5637546,-0.92834339,-1.8496981,-0.22752947,-0.21219347,-2.2896829,-0.33231014,-0.048336385,-0.2082079,-0.067911429,-2.2858649,-0.37864343,-0.44444051,-1.5909638,-0.23401505,-0.22513179,-0.11798004,-0.19366593,-4.7201365,-0.34504447,-0.14135812,-1.7038171,-0.40330401,-0.79380567,-1.2070234,-0.14756553,-0.1999146,-0.038689466,-0.80851131,-0.57480258,-1.1597796,-0.18286426,-1.1177747,-0.16343892,-0.31992455,-0.52907124,-0.99432556,-0.13935788,-1.4066934,-3.3184364,-0.90471074,-0.51238721,-0.53072111,-0.23870541,-0.33214854,-0.30482199,-0.58973765,-1.0341356,-0.54067174,-0.29847702,-0.12830258,-2.6250864,-2.2216625,-0.37192911,-0.30809735,-1.093323,-0.089038393,-0.026662634,-0.00032635535,-0.095050405,0.0046693504,-0.21367333,-1.8597368,-0.48323074,-0.57843928,-0.63034521,-0.40717488,-1.1098818,-2.2568579,-0.40371667,-0.32612719,-1.1464489,-2.0688034,-0.15356921,-0.41566926,-2.1235404,-0.7408858,-0.38124694,-0.81586747,-0.28542842,-1.953955,-1.4026764,-0.79965257,-0.67315418,-0.46891598,-1.3980636,-0.28277463,-0.17582407,-0.11816261,-0.099206407,-1.9118634,-0.80613457,-0.096151961,-0.5334052,-0.19187309,-1.0193124,-0.32322475,-0.10081773,-2.1492966,-2.0226262,-0.24090007,-0.033793375,-3.2783732,-0.077942844,-0.60696187,-0.36690814,-0.10472698,-0.057165886,-1.1357341,-0.28209901,-0.27051406,-0.08852412,-0.19229756,-0.4214171,-0.21210842,-0.10658325,-0.25624311,-1.159186,-0.057384601,-0.056678874,-0.042150631,-0.11956673,-0.52571826,-0.53327322,-0.082740262,-1.0880907,-1.8239407,-0.077335266,-0.043404611,-0.68283893,-0.34170339,-0.93913137,-0.7477707,-0.80965666,-0.072492729,-0.068196782,-0.43897907,-2.2642227,-0.61883852,-0.49181503,-1.2801876,-1.4067548,-0.039936171,-0.040927719,-0.24037825,-0.11244112,-0.89621915,-0.16390397,-0.90918615,-0.64348873,-0.010389179,0.0014552658,-0.30125966,-0.9020021,-0.59147078,-0.47786761,-0.12752754,-1.6903175,-0.27915792,-1.3671863,-0.5807966,-1.8303913,-0.035493911,-2.4398707,-0.22972192,-0.92117322,-0.39638935,-2.4187886,-0.018387932,-0.92188843,-0.56852941,-1.4600593,-0.25629728,-0.094052672,-1.8385333,-0.93670796,-0.32504487,-2.0031174,-1.3118081,-0.58273888,-0.82051608,-0.2145336,-1.8818923,-0.069662538,-0.23814436,-0.28735007,-0.088323718,-0.10008498,-0.517524,-0.29851078,-0.65108598,-0.088710923,-2.5415606,-0.25996356,-1.2957863,-3.7644346,-0.64542282,-0.44716248,-0.10486921,-0.46745178,-0.13723477,-0.72092265,-0.65944528,-0.13048973,-0.6833331,-1.9145976,-0.030922639,-1.0532052,-1.723942,-0.30199234,-0.6149895,-0.24013076,-0.16481678,-0.77245665,-0.35854236,-1.136696,-0.34418784,-3.0178474,-0.33541541,-1.7050764,-0.92437608,-0.37814855,-1.2637015,-0.26518097,-0.28265484,-0.09686628,-0.44018007,-0.16049387,-0.1692968,-0.81539293,-1.1389027,-0.73063083,-0.41436322,-0.18008162,-0.62893018,-0.076719119,-0.33538422,-0.36242636,-1.5174079,-0.96091184,-0.35752467,-0.057523354,-0.10763827,-0.41765107,-1.051268,-0.61476115,-0.37053331,-1.3284267,-0.053633746,-0.12287472,-0.70561219,-0.082227431,-1.2368385,-0.26666185,-0.38573587,-0.03630919,-0.40222806,-1.3635191,-0.32937609,-0.093260264,-3.1034547,-1.423155,-0.53684587,-0.44732741,-0.48099244,-0.077561306,-2.013123,-0.64339073,-1.8311226,-4.2211747,-0.24558068,-0.11928208,-0.0091833576,-0.10543522,-0.78358483,-2.4805817,-1.2652925,-2.7392201,-1.4639682,-0.088703188,-0.23037281,-2.0132882,-0.27999232,-0.18398398,-0.074751265,-1.3420895,-0.32046159,-0.19967957,-0.81314003,-0.61323284,-0.10473057
-235.97676,0.9996444,0.20136571,4,15,0,237.97274,0.69228525,1.3612163,0.20545439,-2.5865058,0.075282634,-0.70273719,-1.4342904,-0.77989872,-2.4800777,-0.04017629,-1.5470484,-0.588066,-0.50477119,-1.8879221,-1.5747765,-0.90834142,-1.8562837,-0.18407873,-0.27845006,-2.280472,-0.28856006,-0.036583343,-0.16375276,-0.02493739,-2.3174994,-0.33465114,-0.41149143,-1.5790168,-0.1877431,-0.17506219,-0.074037854,-0.15131421,-4.7627987,-0.48837224,-0.091609311,-1.7219578,-0.36800373,-0.76784692,-1.1979373,-0.099639942,-0.15488804,-0.009884532,-0.78414548,-0.53710477,-1.1386199,-0.22833198,-1.1159496,-0.12511393,-0.27966791,-0.48929001,-0.97662328,-0.16721636,-1.3913808,-3.3542143,-0.88271648,-0.47626788,-0.49592369,-0.19444942,-0.29025672,-0.42694628,-0.55704514,-1.6420829,-0.50613615,-0.25576346,-0.15760716,-2.6133271,-2.2808038,-0.33670231,-0.26106623,-1.0675355,-0.081552537,0.024703233,0.044078966,-0.090625529,0.042995169,-0.16594297,-1.8750012,-0.44706044,-0.55044771,-0.59390596,-0.58335087,-1.1011761,-2.2535116,-0.35998626,-0.47045405,-1.1246776,-2.0876509,-0.11107807,-0.37271806,-2.1376068,-0.71337266,-0.34083509,-0.79774818,-0.24740616,-1.9465095,-1.3868276,-0.7721285,-0.63749249,-0.69680722,-1.3979268,-0.24262752,-0.125574,-0.070613336,-0.1110762,-1.9323255,-0.78316455,-0.051027524,-0.49929833,-0.25399138,-1.0095433,-0.44490349,-0.10465818,-2.1427148,-2.0156171,-0.19472754,0.0014852142,-3.3524522,-0.026982884,-0.57324296,-0.32347148,-0.065125072,-0.013953252,-1.1216149,-0.38451301,-0.23136547,-0.050969864,-0.14511936,-0.61185788,-0.16752576,-0.13361301,-0.21343808,-1.1434015,-0.01375748,-0.014939899,-0.005184737,-0.072595643,-0.48562004,-0.49341374,-0.070137919,-1.0620756,-1.8645356,-0.048954114,0.0093771441,-0.6561979,-0.30124412,-0.91730416,-0.721555,-0.77823618,-0.056198224,-0.038841824,-0.40645311,-2.255818,-0.93074444,-0.45492606,-1.2719647,-1.4022854,-0.0018287403,-0.0025651514,-0.19598363,-0.066287062,-0.87441101,-0.21152316,-0.8878668,-0.60758452,0.020024616,0.041824153,-0.26539669,-0.87666394,-0.55296929,-0.43499296,-0.089916364,-1.7214077,-0.23341859,-1.3558216,-0.54181787,-1.8667453,-0.0095079252,-2.4384905,-0.18471117,-0.90582477,-0.35764322,-2.4200404,0.0046157198,-0.89432212,-0.5418053,-2.4165733,-0.21931468,-0.090100041,-1.859244,-0.9148504,-0.46904543,-2.0571543,-1.3207032,-0.55753413,-0.80533337,-0.17197551,-1.9048846,-0.029470592,-0.19124964,-0.24515729,-0.037449001,-0.1045843,-0.47764895,-0.25126599,-0.62047578,-0.048374721,-2.6281155,-0.3459818,-1.3030986,-4.151732,-0.60759773,-0.4076257,-0.12450529,-0.42860226,-0.092974948,-0.69489056,-0.6319013,-0.081295041,-0.65480324,-1.9523213,0.0086530292,-1.0315807,-1.7286197,-0.25826589,-0.58507848,-0.19373497,-0.11941969,-0.75159557,-0.3226284,-1.1357566,-0.301281,-3.0287107,-0.29794931,-1.7142174,-0.89740888,-0.33804025,-1.2476408,-0.2211555,-0.38525998,-0.050883255,-0.40114638,-0.10958778,-0.22951268,-0.791052,-1.1313455,-0.70218607,-0.37187587,-0.13431507,-0.60169618,-0.031800361,-0.47646037,-0.32498506,-1.5042597,-0.94868567,-0.31714445,-0.0088110312,-0.11603205,-0.38409384,-1.0266564,-0.58887852,-0.33557402,-1.3382373,-0.00035928008,-0.079713786,-0.67578771,-0.036591451,-1.2264245,-0.22295501,-0.34589811,-0.0069016962,-0.36806466,-1.3577181,-0.46486533,-0.051436159,-3.0835224,-1.4057889,-0.50935773,-0.41665175,-0.45166027,-0.048664811,-2.0391017,-0.61452236,-1.8224735,-4.3671681,-0.20217072,-0.073356216,0.031636729,-0.057222036,-0.75728994,-2.510848,-1.2559249,-2.7262515,-1.4657615,-0.04555271,-0.18749883,-2.0393372,-0.23373404,-0.23508073,-0.030908696,-2.2330702,-0.28230384,-0.25628987,-0.79550605,-0.58746849,-0.052268679
