# stan_version_major = 2
# stan_version_minor = 37
# stan_version_patch = 0
# model = rlddm_single_subject_model
# start_datetime = 2025-09-25 02:55:28 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 2000
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.999
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = dense_e
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /Users/jy4657/Desktop/Repositories/tst-stan/recovery_out/tmp_subject_2/tmp2jy8p25g/fpqxy2af.json
# init = 2 (Default)
# random
#   seed = 2029
# output
#   file = /Users/jy4657/Desktop/Repositories/tst-stan/cmdstan_tmp/rlddm_single_subject-20250924225528_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.37.0
# stancflags = --filename-in-msg=rlddm_single_subject.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,a,t0,log_scaler,scaler,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46,log_lik.47,log_lik.48,log_lik.49,log_lik.50,log_lik.51,log_lik.52,log_lik.53,log_lik.54,log_lik.55,log_lik.56,log_lik.57,log_lik.58,log_lik.59,log_lik.60,log_lik.61,log_lik.62,log_lik.63,log_lik.64,log_lik.65,log_lik.66,log_lik.67,log_lik.68,log_lik.69,log_lik.70,log_lik.71,log_lik.72,log_lik.73,log_lik.74,log_lik.75,log_lik.76,log_lik.77,log_lik.78,log_lik.79,log_lik.80,log_lik.81,log_lik.82,log_lik.83,log_lik.84,log_lik.85,log_lik.86,log_lik.87,log_lik.88,log_lik.89,log_lik.90,log_lik.91,log_lik.92,log_lik.93,log_lik.94,log_lik.95,log_lik.96,log_lik.97,log_lik.98,log_lik.99,log_lik.100,log_lik.101,log_lik.102,log_lik.103,log_lik.104,log_lik.105,log_lik.106,log_lik.107,log_lik.108,log_lik.109,log_lik.110,log_lik.111,log_lik.112,log_lik.113,log_lik.114,log_lik.115,log_lik.116,log_lik.117,log_lik.118,log_lik.119,log_lik.120,log_lik.121,log_lik.122,log_lik.123,log_lik.124,log_lik.125,log_lik.126,log_lik.127,log_lik.128,log_lik.129,log_lik.130,log_lik.131,log_lik.132,log_lik.133,log_lik.134,log_lik.135,log_lik.136,log_lik.137,log_lik.138,log_lik.139,log_lik.140,log_lik.141,log_lik.142,log_lik.143,log_lik.144,log_lik.145,log_lik.146,log_lik.147,log_lik.148,log_lik.149,log_lik.150,log_lik.151,log_lik.152,log_lik.153,log_lik.154,log_lik.155,log_lik.156,log_lik.157,log_lik.158,log_lik.159,log_lik.160,log_lik.161,log_lik.162,log_lik.163,log_lik.164,log_lik.165,log_lik.166,log_lik.167,log_lik.168,log_lik.169,log_lik.170,log_lik.171,log_lik.172,log_lik.173,log_lik.174,log_lik.175,log_lik.176,log_lik.177,log_lik.178,log_lik.179,log_lik.180,log_lik.181,log_lik.182,log_lik.183,log_lik.184,log_lik.185,log_lik.186,log_lik.187,log_lik.188,log_lik.189,log_lik.190,log_lik.191,log_lik.192,log_lik.193,log_lik.194,log_lik.195,log_lik.196,log_lik.197,log_lik.198,log_lik.199,log_lik.200,log_lik.201,log_lik.202,log_lik.203,log_lik.204,log_lik.205,log_lik.206,log_lik.207,log_lik.208,log_lik.209,log_lik.210,log_lik.211,log_lik.212,log_lik.213,log_lik.214,log_lik.215,log_lik.216,log_lik.217,log_lik.218,log_lik.219,log_lik.220,log_lik.221,log_lik.222,log_lik.223,log_lik.224,log_lik.225,log_lik.226,log_lik.227,log_lik.228,log_lik.229,log_lik.230,log_lik.231,log_lik.232,log_lik.233,log_lik.234,log_lik.235,log_lik.236,log_lik.237,log_lik.238,log_lik.239,log_lik.240,log_lik.241,log_lik.242,log_lik.243,log_lik.244,log_lik.245,log_lik.246,log_lik.247,log_lik.248,log_lik.249,log_lik.250,log_lik.251,log_lik.252,log_lik.253,log_lik.254,log_lik.255,log_lik.256,log_lik.257,log_lik.258,log_lik.259,log_lik.260,log_lik.261,log_lik.262,log_lik.263,log_lik.264,log_lik.265,log_lik.266,log_lik.267,log_lik.268,log_lik.269,log_lik.270,log_lik.271,log_lik.272,log_lik.273,log_lik.274,log_lik.275,log_lik.276,log_lik.277,log_lik.278,log_lik.279,log_lik.280,log_lik.281,log_lik.282,log_lik.283,log_lik.284,log_lik.285,log_lik.286,log_lik.287,log_lik.288,log_lik.289,log_lik.290,log_lik.291,log_lik.292,log_lik.293,log_lik.294,log_lik.295,log_lik.296,log_lik.297,log_lik.298,log_lik.299,log_lik.300
# Adaptation terminated
# Step size = 0.114297
# Elements of inverse mass matrix:
# 0.461162, 0.0173492, -0.0440881, -0.0309879
# 0.0173492, 0.0102303, -0.0250413, 0.00605465
# -0.0440881, -0.0250413, 0.262953, -0.0142339
# -0.0309879, 0.00605465, -0.0142339, 0.039808
-423.94909,0.9996724,0.11429678,5,31,0,426.25725,0.30256837,1.744833,0.28389506,-3.1987395,0.040813619,-0.53062232,-0.61695981,-0.51114458,-1.7294614,-0.99969717,-1.0634064,-0.53650574,-0.51722189,-0.70554993,-1.1115265,-2.0575595,-0.85457445,-0.82787025,-1.0375729,-0.73582509,-1.3397536,-0.6073341,-0.54078426,-0.57043116,-0.69326687,-0.96645919,-1.1742761,-2.8689719,-0.55025172,-0.62585999,-0.49600998,-3.5981446,-0.6780923,-0.61284914,-0.92154689,-0.7177064,-2.4336813,-1.7366156,-1.0766118,-1.7819754,-1.5569025,-0.52123024,-1.6689087,-0.54029971,-0.50818984,-1.0448046,-0.78292639,-1.3832866,-2.2307124,-0.65537192,-0.77131603,-0.60324543,-0.58255711,-0.75096118,-0.51606939,-0.55194064,-0.82280356,-0.54214955,-0.74315743,-2.5144193,-1.205638,-2.6398592,-2.9932176,-1.4605784,-0.9592984,-0.95417346,-0.52111377,-0.52121412,-1.4154783,-1.1668932,-1.7089582,-0.59575902,-0.56385152,-0.69861762,-0.51044947,-0.80826769,-1.1410472,-1.8815485,-1.6920756,-3.9692482,-1.8313902,-0.50833582,-0.96888016,-0.9094757,-3.2621272,-0.50900338,-0.49866347,-1.9244684,-0.828688,-0.5371097,-1.0268287,-0.6281225,-0.54156437,-0.54501789,-1.0919002,-1.6286604,-2.0491584,-2.206457,-2.3709406,-1.1052949,-0.49574053,-2.8572013,-1.0238616,-0.61706059,-2.8061935,-0.57753492,-4.8561621,-0.52802672,-0.52481647,-0.60103527,-2.0072986,-0.55805861,-2.1346068,-2.2740328,-1.0572458,-0.50169351,-0.7085056,-2.2755256,-0.50742776,-0.85827688,-0.99151363,-1.099445,-0.51630977,-1.2181981,-1.0577102,-1.5280067,-1.154469,-1.5354578,-0.49624307,-0.86972478,-0.50639066,-0.56986549,-1.0791878,-0.55235516,-1.5830528,-0.56664781,-1.6006124,-0.71967112,-0.58385919,-0.79790333,-0.89305902,-2.9827031,-1.771092,-1.0408785,-5.662842,-0.67962009,-0.60088693,-2.4013405,-0.62358023,-5.0385561,-0.65614073,-1.7299245,-0.52916253,-2.9857476,-0.49509456,-2.234924,-0.60799517,-1.1202178,-1.1124628,-1.003301,-1.0999055,-2.0330003,-0.57217395,-0.94534095,-0.61227333,-2.6790618,-1.3030269,-0.51637604,-1.3609226,-2.5086582,-1.5390002,-0.55359637,-4.8483601,-1.1164509,-1.0701605,-0.61362062,-2.5844083,-0.685566,-0.4988375,-3.3789821,-1.4725864,-0.89447067,-0.52798606,-3.1001633,-2.5837432,-1.4176233,-0.60249165,-0.54360619,-2.4620431,-0.63472691,-1.1486943,-0.65552949,-1.3980653,-1.3169901,-0.87611106,-2.7118325,-1.9345108,-0.52137263,-0.48148099,-1.2325559,-0.47762324,-1.1307095,-0.65288723,-2.8736675,-1.0226267,-0.92739033,-0.6965202,-1.7557035,-0.63394114,-0.90215714,-0.5142454,-1.4378676,-1.1466504,-1.1178478,-0.53634194,-1.4625138,-0.51854545,-0.51164464,-0.9996694,-0.62618166,-1.0694178,-1.0563091,-0.76265602,-1.4074884,-3.1947409,-0.56494581,-1.5371557,-3.9016012,-0.59851092,-0.51823427,-3.6817506,-1.0231464,-0.59007253,-1.0644468,-5.1673182,-0.58063401,-1.5749467,-1.295114,-0.9786035,-0.57584878,-0.91006129,-0.70155548,-0.61461015,-2.0695649,-0.56925013,-1.4579347,-2.2846002,-3.630503,-0.53104198,-0.50902836,-0.54621054,-1.1840576,-0.64520897,-2.185011,-1.8571378,-2.9770785,-0.7201275,-1.2971255,-1.5609924,-2.1714507,-4.2246978,-2.2552766,-1.5236167,-0.65618874,-1.5222965,-0.8755648,-0.93252278,-0.54634411,-4.1106224,-0.73900621,-1.1856802,-0.48965693,-1.8887244,-1.8870681,-2.1743556,-1.4686377,-1.6395058,-1.3184113,-2.6119004,-0.52570064,-1.2729598,-1.2325138,-0.97448006,-1.9835958,-0.55214559,-2.4315347,-2.1119019,-0.85384059,-0.6994222,-0.59269571,-1.4327986,-2.3431155,-0.51181027,-1.4973239,-1.252146,-0.51007331,-1.4693589,-1.079431,-4.484718,-4.6469922,-0.77904401,-0.48864194,-1.4385908,-0.53872869,-0.94864403
-421.3507,0.92845154,0.11429678,3,14,1,426.70246,0.36127181,1.7170861,0.29761592,-3.1549948,0.042638622,-0.49499647,-0.62143509,-0.48568705,-1.7351798,-0.9766137,-1.0425257,-0.5172421,-0.48480424,-0.67341405,-1.0928556,-2.0638102,-0.82831389,-0.79977501,-1.0162642,-0.70659939,-1.3306526,-0.61109002,-0.5055988,-0.53539448,-0.66196365,-0.94426396,-1.1578849,-2.8885047,-0.51761055,-0.59247555,-0.46238676,-3.6786,-0.64415829,-0.57749519,-1.0111468,-0.68935,-2.4534774,-1.7413632,-1.0567593,-1.7874606,-1.5542007,-0.49757663,-1.6698428,-0.50320764,-0.47283769,-1.0239184,-0.75303584,-1.3737623,-2.2491236,-0.62219868,-0.74009851,-0.56790341,-0.54779704,-0.72123653,-0.48076321,-0.51864455,-0.79733505,-0.50448225,-0.71263127,-2.5432106,-1.1879067,-2.6867341,-3.0382525,-1.4568279,-0.93686031,-0.92989586,-0.48547603,-0.48762752,-1.4049659,-1.1533239,-1.7153392,-0.59687012,-0.53045439,-0.72182496,-0.47873999,-0.78025762,-1.1218273,-1.8929425,-1.6877558,-4.0351107,-1.8308225,-0.47249106,-0.94434253,-0.88686469,-3.3330427,-0.47539863,-0.46936774,-1.9260815,-0.79994981,-0.50564284,-1.0028084,-0.59415563,-0.50559827,-0.50886188,-1.0698313,-1.620566,-2.0567201,-2.221756,-2.3832763,-1.0907615,-0.45799158,-2.918928,-1.1455569,-0.58181996,-2.8233508,-0.57043869,-4.8940639,-0.50981561,-0.48759914,-0.56777459,-2.018045,-0.52223852,-2.1494469,-2.3014031,-1.0380638,-0.46546182,-0.67672058,-2.2972547,-0.48227619,-0.83177973,-0.96893656,-1.0802135,-0.48301297,-1.2033883,-1.1900818,-1.5229081,-1.1357311,-1.5351844,-0.45894284,-0.84419298,-0.46995166,-0.56035851,-1.0603126,-0.5375618,-1.584242,-0.52950343,-1.6024848,-0.68939798,-0.57717733,-0.76661595,-0.86427323,-2.9969003,-1.7667348,-1.0249251,-6.155734,-0.64741677,-0.5988757,-2.4260774,-0.58688814,-5.0920963,-0.62493399,-1.7344139,-0.51218373,-3.0344435,-0.46471416,-2.2512591,-0.57255968,-1.1013448,-1.0932356,-1.1167074,-1.0801149,-2.0483077,-0.56270844,-0.92307142,-0.57874727,-2.7089024,-1.2903992,-0.49200434,-1.3524034,-2.5339149,-1.8539621,-0.51838078,-4.9619925,-1.0984667,-1.0512795,-0.57966252,-2.6154615,-0.65340316,-0.46885863,-3.4336649,-1.4663255,-0.97666004,-0.49231689,-3.1467715,-2.6269218,-1.4086213,-0.56724935,-0.52976091,-2.4949879,-0.60113439,-1.1339215,-0.62472991,-1.3858514,-1.3070165,-0.85264397,-2.7634082,-1.9371733,-0.48973145,-0.44680516,-1.2158536,-0.44143167,-1.1167909,-0.62241779,-2.8891258,-0.99921215,-0.90349859,-0.6647852,-1.7575084,-0.64696813,-0.87668683,-0.48040529,-1.4314023,-1.130772,-1.1016538,-0.51551378,-1.4565741,-0.48719714,-0.4743925,-0.97859786,-0.59125899,-1.0515697,-1.1938135,-0.73818115,-1.4064728,-3.2289352,-0.53273289,-1.5263174,-4.0149803,-0.56150017,-0.48390127,-3.7665502,-1.0016887,-0.55318894,-1.0454924,-5.4308658,-0.5456282,-1.5737823,-1.2819784,-0.95413383,-0.5430367,-0.88343038,-0.6727532,-0.57798183,-2.0921972,-0.53643361,-1.4551666,-2.315988,-3.6748861,-0.49480934,-0.47444341,-0.51199502,-1.1665577,-0.61246408,-2.1981675,-1.8640493,-3.0211486,-0.68844233,-1.2844875,-1.5587412,-2.1830076,-4.3851679,-2.2808601,-1.5210093,-0.62453852,-1.511582,-0.9558131,-0.91172479,-0.53554355,-4.185407,-0.78091373,-1.1734475,-0.45813788,-1.8973857,-1.8905841,-2.1910281,-1.463023,-1.6370984,-1.3064748,-2.6441035,-0.48913017,-1.2593311,-1.2192768,-0.95129394,-1.9903599,-0.53576328,-2.4493879,-2.1266707,-0.82677685,-0.66712755,-0.55905911,-1.4237265,-2.3687425,-0.48904446,-1.49109,-1.2412882,-0.48087864,-1.4660367,-1.0587857,-4.6181922,-4.7280123,-0.74855549,-0.45886338,-1.4320201,-0.5247382,-0.92595757
-422.10199,0.99698791,0.11429678,4,15,0,423.61604,0.54868662,1.6875437,0.32115244,-2.9825705,0.050662438,-0.44871895,-0.7024406,-0.47852143,-1.7357219,-0.93207026,-1.0009018,-0.52792564,-0.45242425,-0.62116022,-1.0545975,-2.0405363,-0.78526099,-0.75174607,-0.97556088,-0.6620544,-1.3077307,-0.68655345,-0.46039001,-0.48687843,-0.61460751,-0.90572988,-1.1237822,-2.844533,-0.47311401,-0.53496583,-0.43307976,-3.806337,-0.59019486,-0.5251683,-1.3507557,-0.65293957,-2.4516212,-1.743364,-1.019272,-1.7800832,-1.5382882,-0.49830341,-1.6539685,-0.44703948,-0.4309634,-0.98333117,-0.70330936,-1.3476274,-2.2528802,-0.57232165,-0.68294891,-0.51460451,-0.49898074,-0.6745331,-0.43759274,-0.48110666,-0.7618094,-0.44692963,-0.66388996,-2.5563566,-1.1430836,-2.7749459,-3.0803257,-1.4487641,-0.89772765,-0.88255755,-0.44031856,-0.45249619,-1.3693849,-1.1320024,-1.7214247,-0.66594984,-0.49220186,-0.86058055,-0.44854759,-0.73486774,-1.0760983,-1.8961286,-1.6611652,-4.1095324,-1.7947369,-0.42842394,-0.89886735,-0.84969961,-3.4206407,-0.43648205,-0.4509022,-1.8976771,-0.74791593,-0.47437173,-0.95306229,-0.54407539,-0.45665797,-0.45919327,-1.0193206,-1.5782835,-2.0429441,-2.2220967,-2.352937,-1.0691227,-0.40745361,-3.0279081,-1.5930014,-0.52975163,-2.7902789,-0.61521648,-4.6038221,-0.52471044,-0.43432883,-0.52438121,-2.0123788,-0.47217272,-2.1479317,-2.3449819,-1.0027543,-0.41718509,-0.62685597,-2.3099369,-0.47778344,-0.78723887,-0.92287607,-1.0435515,-0.44895826,-1.1712474,-1.6731582,-1.5014443,-1.0922571,-1.5320797,-0.40766144,-0.80197289,-0.42092926,-0.59962391,-1.0249833,-0.56116133,-1.5829314,-0.47106215,-1.6015578,-0.64323525,-0.62143035,-0.71211535,-0.81090787,-2.9295474,-1.7280969,-1.0035045,-7.18353,-0.59667299,-0.658413,-2.4285981,-0.52372399,-4.9157048,-0.58072644,-1.7282082,-0.52935769,-3.0800582,-0.43949381,-2.2507152,-0.52014618,-1.0637562,-1.0551615,-1.5377348,-1.0413579,-2.0556203,-0.6035161,-0.88410728,-0.52963535,-2.7260426,-1.2612825,-0.48828166,-1.3284483,-2.5470934,-3.0051229,-0.47005623,-5.0729722,-1.0637741,-1.0153719,-0.52976828,-2.6351684,-0.60421559,-0.44554225,-3.4808233,-1.4447319,-1.2960513,-0.44642812,-3.1844941,-2.7016203,-1.3823348,-0.51505483,-0.5570346,-2.5464779,-0.55116792,-1.1095208,-0.58534013,-1.3469498,-1.2825525,-0.81937288,-2.849332,-1.9111241,-0.46056149,-0.40752223,-1.1749294,-0.39689571,-1.0957673,-0.58384577,-2.8491237,-0.95129867,-0.86087032,-0.61471828,-1.7383567,-0.75501241,-0.82871202,-0.44387485,-1.4106811,-1.0992668,-1.0710817,-0.52475128,-1.4353522,-0.46167256,-0.42029267,-0.94072583,-0.53393629,-1.0117555,-1.7041073,-0.70830241,-1.4068157,-3.2330954,-0.48631388,-1.4919413,-4.1103275,-0.51026675,-0.44048623,-3.9762788,-0.96414309,-0.49545044,-1.0088985,-7.3356693,-0.49614636,-1.5599391,-1.2513755,-0.90405147,-0.50404107,-0.83284304,-0.63600839,-0.51701821,-2.1260647,-0.49908383,-1.4488012,-2.3645062,-3.734329,-0.44683946,-0.43561415,-0.46744678,-1.1288558,-0.56947769,-2.1815698,-1.8573341,-3.0550097,-0.63948807,-1.2555685,-1.5416335,-2.1635397,-4.8113226,-2.317575,-1.5056358,-0.587324,-1.4677602,-1.2691612,-0.88216873,-0.57322298,-4.3082239,-0.96780483,-1.1480165,-0.42244135,-1.9121504,-1.8728795,-2.2063867,-1.450733,-1.6196015,-1.2701515,-2.6677638,-0.43414478,-1.2292033,-1.1896003,-0.90373703,-1.9678469,-0.55883847,-2.4311463,-2.1283781,-0.7819825,-0.6174382,-0.51162722,-1.396615,-2.3865837,-0.48768624,-1.4692356,-1.2245626,-0.46375341,-1.459612,-1.012861,-4.808662,-4.8356577,-0.69381616,-0.43450471,-1.4103159,-0.551522,-0.88740329
