# stan_version_major = 2
# stan_version_minor = 37
# stan_version_patch = 0
# model = rlddm_single_subject_model
# start_datetime = 2025-09-25 02:55:30 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 2000
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.999
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = dense_e
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /Users/jy4657/Desktop/Repositories/tst-stan/recovery_out/tmp_subject_3/tmp1ho4hctj/gws52yqm.json
# init = 2 (Default)
# random
#   seed = 2030
# output
#   file = /Users/jy4657/Desktop/Repositories/tst-stan/cmdstan_tmp/rlddm_single_subject-20250924225530_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.37.0
# stancflags = --filename-in-msg=rlddm_single_subject.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,a,t0,log_scaler,scaler,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46,log_lik.47,log_lik.48,log_lik.49,log_lik.50,log_lik.51,log_lik.52,log_lik.53,log_lik.54,log_lik.55,log_lik.56,log_lik.57,log_lik.58,log_lik.59,log_lik.60,log_lik.61,log_lik.62,log_lik.63,log_lik.64,log_lik.65,log_lik.66,log_lik.67,log_lik.68,log_lik.69,log_lik.70,log_lik.71,log_lik.72,log_lik.73,log_lik.74,log_lik.75,log_lik.76,log_lik.77,log_lik.78,log_lik.79,log_lik.80,log_lik.81,log_lik.82,log_lik.83,log_lik.84,log_lik.85,log_lik.86,log_lik.87,log_lik.88,log_lik.89,log_lik.90,log_lik.91,log_lik.92,log_lik.93,log_lik.94,log_lik.95,log_lik.96,log_lik.97,log_lik.98,log_lik.99,log_lik.100,log_lik.101,log_lik.102,log_lik.103,log_lik.104,log_lik.105,log_lik.106,log_lik.107,log_lik.108,log_lik.109,log_lik.110,log_lik.111,log_lik.112,log_lik.113,log_lik.114,log_lik.115,log_lik.116,log_lik.117,log_lik.118,log_lik.119,log_lik.120,log_lik.121,log_lik.122,log_lik.123,log_lik.124,log_lik.125,log_lik.126,log_lik.127,log_lik.128,log_lik.129,log_lik.130,log_lik.131,log_lik.132,log_lik.133,log_lik.134,log_lik.135,log_lik.136,log_lik.137,log_lik.138,log_lik.139,log_lik.140,log_lik.141,log_lik.142,log_lik.143,log_lik.144,log_lik.145,log_lik.146,log_lik.147,log_lik.148,log_lik.149,log_lik.150,log_lik.151,log_lik.152,log_lik.153,log_lik.154,log_lik.155,log_lik.156,log_lik.157,log_lik.158,log_lik.159,log_lik.160,log_lik.161,log_lik.162,log_lik.163,log_lik.164,log_lik.165,log_lik.166,log_lik.167,log_lik.168,log_lik.169,log_lik.170,log_lik.171,log_lik.172,log_lik.173,log_lik.174,log_lik.175,log_lik.176,log_lik.177,log_lik.178,log_lik.179,log_lik.180,log_lik.181,log_lik.182,log_lik.183,log_lik.184,log_lik.185,log_lik.186,log_lik.187,log_lik.188,log_lik.189,log_lik.190,log_lik.191,log_lik.192,log_lik.193,log_lik.194,log_lik.195,log_lik.196,log_lik.197,log_lik.198,log_lik.199,log_lik.200,log_lik.201,log_lik.202,log_lik.203,log_lik.204,log_lik.205,log_lik.206,log_lik.207,log_lik.208,log_lik.209,log_lik.210,log_lik.211,log_lik.212,log_lik.213,log_lik.214,log_lik.215,log_lik.216,log_lik.217,log_lik.218,log_lik.219,log_lik.220,log_lik.221,log_lik.222,log_lik.223,log_lik.224,log_lik.225,log_lik.226,log_lik.227,log_lik.228,log_lik.229,log_lik.230,log_lik.231,log_lik.232,log_lik.233,log_lik.234,log_lik.235,log_lik.236,log_lik.237,log_lik.238,log_lik.239,log_lik.240,log_lik.241,log_lik.242,log_lik.243,log_lik.244,log_lik.245,log_lik.246,log_lik.247,log_lik.248,log_lik.249,log_lik.250,log_lik.251,log_lik.252,log_lik.253,log_lik.254,log_lik.255,log_lik.256,log_lik.257,log_lik.258,log_lik.259,log_lik.260,log_lik.261,log_lik.262,log_lik.263,log_lik.264,log_lik.265,log_lik.266,log_lik.267,log_lik.268,log_lik.269,log_lik.270,log_lik.271,log_lik.272,log_lik.273,log_lik.274,log_lik.275,log_lik.276,log_lik.277,log_lik.278,log_lik.279,log_lik.280,log_lik.281,log_lik.282,log_lik.283,log_lik.284,log_lik.285,log_lik.286,log_lik.287,log_lik.288,log_lik.289,log_lik.290,log_lik.291,log_lik.292,log_lik.293,log_lik.294,log_lik.295,log_lik.296,log_lik.297,log_lik.298,log_lik.299,log_lik.300
# Adaptation terminated
# Step size = 0.106889
# Elements of inverse mass matrix:
# 0.434219, 0.0168836, -0.115262, -0.091444
# 0.0168836, 0.00482187, -0.0240312, 0.00240929
# -0.115262, -0.0240312, 0.84056, 0.00875452
# -0.091444, 0.00240929, 0.00875452, 0.0535061
-267.89764,0.99776069,0.10688939,4,31,0,268.27765,0.14256891,1.3670645,0.35793712,-2.8666217,0.056890796,-1.2905521,-0.88130862,-0.25624242,-0.11772806,-0.79639408,-1.5009725,-0.008380799,-1.2092313,-0.41486309,-1.8696942,-0.015613476,-0.010238574,-0.1621463,-2.0426142,-0.22984233,-1.0155553,-0.9237978,-0.33743501,-0.64370843,-0.32132266,-1.1401778,-0.027771618,-0.21699836,-3.4731064,-0.033163771,-0.056467673,-0.99335131,-0.0096612065,-3.3722905,-0.49430458,-0.37557613,-0.66031277,-0.72452555,-1.9313945,-0.050180071,-0.10864226,-0.29204042,-0.2702438,-3.8849443,-0.2542447,-4.1570516,-0.31504913,-1.1836227,-1.4042662,-0.55564019,-0.12482131,-1.4683213,-0.16095053,-0.24255052,-0.27026336,-0.52460182,-1.3904593,-2.0150829,-0.51935485,-1.3704997,-2.3913511,-0.5964725,-0.15770085,-0.76448007,-2.2353517,-0.0081252985,-2.0755837,-0.45025225,-0.03358258,-0.46607953,-0.84560208,-0.42719746,-0.24373121,-0.3099977,-0.23321196,-0.87018935,-0.90427754,-1.3923007,-0.17070633,-0.10259668,-0.0021570165,-1.0136895,-0.0027900232,-0.0053044428,-0.23452168,-1.7524908,-0.19440285,-0.33898833,-0.4562135,-2.6885667,-0.97244315,-1.2208862,-0.040849655,-0.022943,-0.10906666,-0.021581417,-0.6826702,-0.95832197,-0.21024622,-0.50553022,-2.9561757,-0.062088028,-0.3937811,-0.78423377,-0.16439511,-3.2003495,-0.090163156,-0.022606243,-1.1390742,-0.10681926,-0.41320291,-1.4272989,-1.2715472,-0.14349569,-1.8791608,-0.16691205,-0.11789526,-0.85687344,-0.45593557,-0.19685673,-0.4735851,-0.051446021,-0.11267361,-0.060386795,-0.5667671,-0.014997133,-1.1191457,-1.8812146,-0.54664377,-0.16328557,-0.28430127,-0.93817298,-0.88092127,-0.40583628,-0.58978543,-0.045662181,-1.8446683,-0.10118623,-1.9954121,-1.564301,-0.248131,-0.088044672,-0.69970592,-0.1968645,-0.025304589,-0.34075159,-0.52667925,-0.72775572,-1.1623798,-0.0024780893,-1.4460516,-2.6452063,-1.3126579,-0.69902054,-0.1002372,-0.42012173,-1.3025045,-0.25637928,-0.72208879,-1.8719407,-6.2637871,-0.034869727,-0.017674569,-0.92934994,-0.15059347,-0.13269557,-0.027971889,-0.42222632,-2.9536158,-0.055242242,-0.52141744,-0.40923463,-0.1169648,-0.14971389,-0.056327599,-0.57730158,-3.2088434,-3.382883,-0.25023458,-2.3859708,-0.043330752,-1.1426509,-0.087548841,-2.558391,-0.056700203,-7.0020642,-0.68603193,-0.94313299,-1.8297678,-0.37524425,-0.27822427,-1.4536963,-0.79725735,-0.56101119,-0.3417048,-0.75779078,-2.4648634,-0.13998868,-0.036406896,-0.14273354,-0.033745658,-0.85136177,-0.031429482,-0.19248836,-1.3048484,-0.40282719,-1.7518476,-0.18971182,-0.42457451,-0.078038838,-1.0260067,-0.40240565,-1.0293038,-0.18193293,-2.116407,-0.20955899,-0.61326944,-3.1166468,-2.0123748,-0.30666436,-0.00096353245,-0.27223238,-0.21717736,-0.37991337,-0.16326964,-0.02971933,-0.947875,-2.1692766,-0.061248073,-0.94964265,-0.51859155,-0.030481963,-0.7957672,-0.098896705,-0.16515254,-0.19437742,-0.00081446578,-2.2421183,-0.40442294,-0.73262407,-0.30924866,-0.73353263,-0.49010749,-0.22954642,-0.051815791,-0.020909318,-0.12118255,-0.85337597,-3.4963845,-1.4524805,-0.21245776,-0.59990681,-0.33662525,-0.85667827,-1.814048,-0.1643706,-0.061298425,-0.0037561771,-0.96344882,-0.89195746,-0.40594289,-0.74267672,-1.1964828,-0.20973984,-0.37579534,-2.6861278,-0.023538542,-0.57562365,-0.4282934,-0.045757546,-0.040494066,-0.94328461,-0.65719026,-0.045678092,-4.3140612,-1.2775933,-1.4778153,-0.33618723,-0.65913477,-0.11531294,-1.8456225,-1.4961806,-0.60908889,-0.34028041,-0.10486901,-2.2773834,-1.1054362,-1.2749186,-1.2516074,-0.2536132,-1.1412223,-3.9484487,-0.38996509,-0.52631793,-2.4574955,-2.4870874,-0.95753085,-1.494881,-0.019846628,-0.73550678,0.00063983153,-0.62172777,-0.53449641,-0.09947898,-0.38771144
-267.6367,0.99966299,0.10688939,5,31,0,268.64184,0.14483267,1.3781793,0.35807082,-2.9128652,0.054319868,-1.277324,-0.87466328,-0.26042567,-0.1255414,-0.79119222,-1.4843835,-0.02394083,-1.1972988,-0.41592441,-1.8471312,-0.03380404,-0.028125692,-0.19237972,-2.0165209,-0.23457921,-1.0066284,-0.91645429,-0.33998666,-0.64088066,-0.32415286,-1.1289312,-0.039727238,-0.22211953,-3.4137074,-0.046232125,-0.080798399,-0.98538181,-0.028715894,-3.3296686,-0.49385911,-0.37728405,-0.65742011,-0.72029866,-1.9070601,-0.072452102,-0.11685748,-0.29533788,-0.2742458,-3.8119976,-0.25858965,-4.1372145,-0.31785251,-1.1728941,-1.3903686,-0.55394049,-0.15432564,-1.5438084,-0.18991233,-0.27592042,-0.2739597,-0.52406454,-1.3744941,-1.9882418,-0.51894118,-1.3570448,-2.3650133,-0.64564744,-0.18870467,-0.76019543,-2.2044957,-0.023695691,-2.048029,-0.45049017,-0.053325514,-0.46654241,-0.83902018,-0.4278742,-0.24830479,-0.31320302,-0.26613062,-0.86405824,-0.89761332,-1.3783013,-0.20060272,-0.12851399,-0.018111961,-1.0055233,-0.018046143,-0.019989032,-0.23934618,-1.7337741,-0.19989651,-0.34121604,-0.45691429,-2.6465471,-0.96377651,-1.2080057,-0.064227699,-0.036678709,-0.11712858,-0.034627403,-0.73447699,-0.95080751,-0.21530886,-0.50491379,-2.9129511,-0.072395132,-0.39503818,-0.83852508,-0.17093681,-3.1616799,-0.099089403,-0.043918474,-1.1290098,-0.11510461,-0.41461972,-1.4132973,-1.257265,-0.15043942,-1.8590087,-0.17312989,-0.12589527,-0.85111004,-0.45598771,-0.20257222,-0.47394479,-0.06223997,-0.1205904,-0.084039571,-0.61383448,-0.028705022,-1.1088927,-1.8576263,-0.54559309,-0.16960738,-0.32059899,-0.93051332,-0.87410345,-0.40701086,-0.5876964,-0.056440683,-1.8209692,-0.12854256,-1.9722712,-1.5456328,-0.252583,-0.096990624,-0.69631223,-0.20236607,-0.042812294,-0.34328731,-0.52597917,-0.7239578,-1.150509,-0.021855262,-1.4290543,-2.6042039,-1.2999053,-0.69492609,-0.10880535,-0.42090141,-1.28859,-0.26069301,-0.71824083,-1.8505533,-5.966377,-0.055731128,-0.035786987,-0.92172518,-0.18052931,-0.140074,-0.040858847,-0.4232338,-2.9147907,-0.066013099,-0.52064019,-0.41045646,-0.12472183,-0.15667826,-0.067130649,-0.57570985,-3.1687798,-3.3375248,-0.25456229,-2.3546694,-0.054671565,-1.13175,-0.096672304,-2.5270145,-0.067585885,-6.4154279,-0.68284995,-0.93509123,-1.8061154,-0.37719384,-0.28184421,-1.4390838,-0.79239914,-0.55989555,-0.34433643,-0.75364005,-2.4393956,-0.14709852,-0.047473926,-0.14976479,-0.050059059,-0.84424512,-0.042919642,-0.19798296,-1.293327,-0.40460416,-1.7349604,-0.19527049,-0.42597267,-0.087838175,-1.0158281,-0.40412404,-1.0211007,-0.18767085,-2.093895,-0.2145766,-0.610391,-3.0861116,-1.9906695,-0.30946175,-0.015599428,-0.30913585,-0.22200006,-0.38204922,-0.16955563,-0.041524471,-0.93930764,-2.2664437,-0.086399217,-0.94250031,-0.51749347,-0.043774221,-0.78985085,-0.10744679,-0.17169103,-0.19981503,-0.015545229,-2.2084026,-0.40604505,-0.78665944,-0.3126149,-0.72860442,-0.49028008,-0.23455251,-0.072985358,-0.035960116,-0.14792864,-0.8478523,-3.4632355,-1.4355898,-0.24439487,-0.59814653,-0.37422542,-0.8508169,-1.7938312,-0.17067702,-0.071438114,-0.019293352,-0.95509202,-0.88554135,-0.40697199,-0.73853947,-1.1853822,-0.21485473,-0.37778303,-2.6551519,-0.037059062,-0.57416267,-0.46976514,-0.056897983,-0.052047238,-0.93531272,-0.65391978,-0.056653858,-4.2143408,-1.263479,-1.4599302,-0.33894993,-0.65575585,-0.14181191,-1.8211567,-1.4780376,-0.60641493,-0.34250561,-0.11326407,-2.3775945,-1.0944243,-1.2629526,-1.2401361,-0.25805367,-1.1312757,-3.8702791,-0.39178322,-0.52508182,-2.4298816,-2.4492558,-0.95025302,-1.477119,-0.037771741,-0.73081032,-0.015897634,-0.67002165,-0.53386206,-0.10803243,-0.38952732
-264.43659,0.99991857,0.10688939,5,31,0,267.90368,0.26854442,1.4062095,0.35436023,-3.1053164,0.044810339,-1.2565787,-0.86983254,-0.2797032,-0.15083183,-0.78867587,-1.4543983,-0.062843785,-1.1802535,-0.42974539,-1.8044767,-0.076348767,-0.06705188,-0.23865045,-1.9692821,-0.25860436,-0.99456739,-0.9140486,-0.36029874,-0.65035615,-0.34733434,-1.1204983,-0.070770992,-0.24131764,-3.3078432,-0.086422594,-0.12628371,-0.97497326,-0.072839697,-3.2783807,-0.50258448,-0.38888723,-0.66322321,-0.71811387,-1.8551688,-0.11595522,-0.14565645,-0.31662922,-0.29246273,-3.6694083,-0.27941634,-4.0027547,-0.33663083,-1.1566292,-1.366491,-0.56424112,-0.197583,-1.48934,-0.23340676,-0.31510293,-0.28906637,-0.53646679,-1.3463102,-1.9247789,-0.53022472,-1.3342598,-2.3007458,-0.66662828,-0.23335213,-0.76247337,-2.1260134,-0.069180383,-1.9845229,-0.46159351,-0.096521054,-0.47783269,-0.83775033,-0.43999437,-0.27308612,-0.33334469,-0.30836721,-0.86262026,-0.89426737,-1.3571968,-0.24393149,-0.1768078,-0.059536757,-0.99747209,-0.058740408,-0.060025355,-0.2618173,-1.6990094,-0.22371843,-0.35987731,-0.46754283,-2.5504649,-0.94972268,-1.182414,-0.11215097,-0.069508676,-0.14029296,-0.075878815,-0.75363264,-0.95147642,-0.23437023,-0.51244994,-2.7852936,-0.10398053,-0.41009625,-0.84512407,-0.19979707,-3.0945906,-0.12853682,-0.089601859,-1.1169441,-0.14330267,-0.43047923,-1.3933372,-1.2366586,-0.17455364,-1.8245865,-0.19533173,-0.16059425,-0.85232653,-0.46557067,-0.22678565,-0.48840216,-0.10006634,-0.14326291,-0.12195961,-0.64648879,-0.058716375,-1.1030095,-1.8029485,-0.55807133,-0.18941379,-0.35659035,-0.92402122,-0.87145723,-0.42464751,-0.59864029,-0.086095483,-1.7963458,-0.170631,-1.9305099,-1.512886,-0.27315889,-0.12852842,-0.69727811,-0.22330222,-0.087261957,-0.35663108,-0.53458111,-0.72480176,-1.1353334,-0.063002701,-1.4088318,-2.5157338,-1.2854541,-0.69438641,-0.13685938,-0.42946046,-1.2557864,-0.28924961,-0.7255376,-1.8186054,-5.2578969,-0.096723786,-0.075123711,-0.91077229,-0.22792867,-0.16967546,-0.075119639,-0.43962472,-2.7858921,-0.10529021,-0.53788371,-0.41627247,-0.15018171,-0.18968026,-0.10397106,-0.5863672,-3.0737165,-3.2181733,-0.27530819,-2.2931309,-0.088824199,-1.1182188,-0.12936456,-2.4493198,-0.10558258,-6.6432448,-0.68004572,-0.93090082,-1.7687368,-0.39038809,-0.30413456,-1.4082584,-0.78648777,-0.56400455,-0.35806092,-0.75030449,-2.3619627,-0.17028801,-0.078193726,-0.17235476,-0.094345244,-0.83860476,-0.0788013,-0.22280735,-1.2738294,-0.41780614,-1.6981772,-0.21833351,-0.44148891,-0.11802941,-0.99849501,-0.42320796,-1.0230421,-0.20753634,-2.0607526,-0.23613318,-0.61359442,-3.0562529,-1.9609737,-0.32465163,-0.055918093,-0.35036447,-0.2445541,-0.39795484,-0.1917921,-0.079177818,-0.92489958,-2.1109874,-0.13707007,-0.94384408,-0.52333428,-0.07924584,-0.78615369,-0.13657078,-0.19575433,-0.22257681,-0.054552429,-2.1487531,-0.4220532,-0.79840079,-0.33100905,-0.72975252,-0.50293339,-0.2582157,-0.11530364,-0.070808837,-0.18917558,-0.84769509,-3.4338672,-1.3985775,-0.28318,-0.61216829,-0.40817743,-0.85374758,-1.7645212,-0.1956503,-0.10394634,-0.061063609,-0.940552,-0.88418944,-0.41822429,-0.74371566,-1.170319,-0.23905256,-0.39472832,-2.5900781,-0.071409126,-0.58719805,-0.49981972,-0.093942524,-0.08315071,-0.92614643,-0.65833943,-0.089077262,-4.106039,-1.2484987,-1.4381819,-0.35571044,-0.65766996,-0.18710334,-1.7795253,-1.4504377,-0.61355681,-0.35890648,-0.14246581,-2.2131974,-1.0730913,-1.2496962,-1.2240317,-0.28216197,-1.1209021,-3.6474438,-0.40734752,-0.53521299,-2.3794331,-2.3695756,-0.9481989,-1.4387434,-0.074455098,-0.72680282,-0.05843578,-0.68943413,-0.54444756,-0.13911753,-0.40834337
