# stan_version_major = 2
# stan_version_minor = 37
# stan_version_patch = 0
# model = rlddm_single_subject_model
# start_datetime = 2025-09-25 02:55:32 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 2000
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.999
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = dense_e
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /Users/jy4657/Desktop/Repositories/tst-stan/recovery_out/tmp_subject_4/tmpes21bjiu/07fjfh5s.json
# init = 2 (Default)
# random
#   seed = 2031
# output
#   file = /Users/jy4657/Desktop/Repositories/tst-stan/cmdstan_tmp/rlddm_single_subject-20250924225532_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.37.0
# stancflags = --filename-in-msg=rlddm_single_subject.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,a,t0,log_scaler,scaler,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46,log_lik.47,log_lik.48,log_lik.49,log_lik.50,log_lik.51,log_lik.52,log_lik.53,log_lik.54,log_lik.55,log_lik.56,log_lik.57,log_lik.58,log_lik.59,log_lik.60,log_lik.61,log_lik.62,log_lik.63,log_lik.64,log_lik.65,log_lik.66,log_lik.67,log_lik.68,log_lik.69,log_lik.70,log_lik.71,log_lik.72,log_lik.73,log_lik.74,log_lik.75,log_lik.76,log_lik.77,log_lik.78,log_lik.79,log_lik.80,log_lik.81,log_lik.82,log_lik.83,log_lik.84,log_lik.85,log_lik.86,log_lik.87,log_lik.88,log_lik.89,log_lik.90,log_lik.91,log_lik.92,log_lik.93,log_lik.94,log_lik.95,log_lik.96,log_lik.97,log_lik.98,log_lik.99,log_lik.100,log_lik.101,log_lik.102,log_lik.103,log_lik.104,log_lik.105,log_lik.106,log_lik.107,log_lik.108,log_lik.109,log_lik.110,log_lik.111,log_lik.112,log_lik.113,log_lik.114,log_lik.115,log_lik.116,log_lik.117,log_lik.118,log_lik.119,log_lik.120,log_lik.121,log_lik.122,log_lik.123,log_lik.124,log_lik.125,log_lik.126,log_lik.127,log_lik.128,log_lik.129,log_lik.130,log_lik.131,log_lik.132,log_lik.133,log_lik.134,log_lik.135,log_lik.136,log_lik.137,log_lik.138,log_lik.139,log_lik.140,log_lik.141,log_lik.142,log_lik.143,log_lik.144,log_lik.145,log_lik.146,log_lik.147,log_lik.148,log_lik.149,log_lik.150,log_lik.151,log_lik.152,log_lik.153,log_lik.154,log_lik.155,log_lik.156,log_lik.157,log_lik.158,log_lik.159,log_lik.160,log_lik.161,log_lik.162,log_lik.163,log_lik.164,log_lik.165,log_lik.166,log_lik.167,log_lik.168,log_lik.169,log_lik.170,log_lik.171,log_lik.172,log_lik.173,log_lik.174,log_lik.175,log_lik.176,log_lik.177,log_lik.178,log_lik.179,log_lik.180,log_lik.181,log_lik.182,log_lik.183,log_lik.184,log_lik.185,log_lik.186,log_lik.187,log_lik.188,log_lik.189,log_lik.190,log_lik.191,log_lik.192,log_lik.193,log_lik.194,log_lik.195,log_lik.196,log_lik.197,log_lik.198,log_lik.199,log_lik.200,log_lik.201,log_lik.202,log_lik.203,log_lik.204,log_lik.205,log_lik.206,log_lik.207,log_lik.208,log_lik.209,log_lik.210,log_lik.211,log_lik.212,log_lik.213,log_lik.214,log_lik.215,log_lik.216,log_lik.217,log_lik.218,log_lik.219,log_lik.220,log_lik.221,log_lik.222,log_lik.223,log_lik.224,log_lik.225,log_lik.226,log_lik.227,log_lik.228,log_lik.229,log_lik.230,log_lik.231,log_lik.232,log_lik.233,log_lik.234,log_lik.235,log_lik.236,log_lik.237,log_lik.238,log_lik.239,log_lik.240,log_lik.241,log_lik.242,log_lik.243,log_lik.244,log_lik.245,log_lik.246,log_lik.247,log_lik.248,log_lik.249,log_lik.250,log_lik.251,log_lik.252,log_lik.253,log_lik.254,log_lik.255,log_lik.256,log_lik.257,log_lik.258,log_lik.259,log_lik.260,log_lik.261,log_lik.262,log_lik.263,log_lik.264,log_lik.265,log_lik.266,log_lik.267,log_lik.268,log_lik.269,log_lik.270,log_lik.271,log_lik.272,log_lik.273,log_lik.274,log_lik.275,log_lik.276,log_lik.277,log_lik.278,log_lik.279,log_lik.280,log_lik.281,log_lik.282,log_lik.283,log_lik.284,log_lik.285,log_lik.286,log_lik.287,log_lik.288,log_lik.289,log_lik.290,log_lik.291,log_lik.292,log_lik.293,log_lik.294,log_lik.295,log_lik.296,log_lik.297,log_lik.298,log_lik.299,log_lik.300
# Adaptation terminated
# Step size = 0.0174136
# Elements of inverse mass matrix:
# 1.09431, 0.0619549, -0.338636, -0.188188
# 0.0619549, 0.00946208, -0.0418195, -0.00865848
# -0.338636, -0.0418195, 0.888225, 0.0749352
# -0.188188, -0.00865848, 0.0749352, 0.0845972
-324.74208,0.99988235,0.017413633,8,255,0,326.48724,0.15728667,1.4778951,0.31749657,-3.2013071,0.040708957,-0.16647556,-0.55415192,-0.24263893,-1.2703536,-0.92927659,-0.67931647,-1.5592566,-0.18713166,-0.91742573,-0.3077595,-0.37191152,-3.0256942,-2.9846134,-3.8614206,-0.1718346,-0.25766774,-0.25380353,-0.20308059,-0.33427243,-0.54829604,-0.84508149,-0.16818572,-0.65924909,-0.18763016,-1.1546528,-0.33613928,-1.8429607,-0.29974556,-0.24201048,-1.6823121,-0.38842201,-1.0935367,-1.2779069,-0.64635639,-0.79749032,-0.56275342,-0.95916784,-0.15938184,-0.67193684,-0.54014035,-0.46490143,-1.2440331,-0.53101969,-0.50235743,-1.0865826,-0.20999566,-0.48300365,-0.38390057,-0.17712658,-1.3459602,-0.97572436,-0.1818763,-0.30812433,-0.37091996,-0.21343264,-0.58215359,-0.35378346,-0.98950378,-0.75020678,-0.85631189,-3.836228,-0.79839651,-1.6793775,-0.88773994,-0.16243429,-3.3479915,-0.26718872,-1.3554537,-0.76796681,-2.5784885,-1.5086964,-0.18972468,-1.6241189,-0.41804908,-0.1677362,-0.86140389,-0.17659728,-0.18540678,-0.57249915,-0.40389241,-1.9970917,-1.3096297,-0.17626629,-0.18677635,-0.49574722,-2.3294208,-0.18119877,-1.3062289,-1.2750363,-0.1961217,-0.32267386,-0.41689584,-1.1109069,-0.80706497,-1.1819501,-1.0176354,-2.081984,-3.590499,-3.6229576,-1.4814288,-0.92397379,-2.0749386,-0.1809797,-0.31660855,-2.2072064,-1.0183601,-0.7023461,-0.17156032,-0.64407196,-3.0165551,-0.29750943,-0.15942359,-0.47149732,-4.7543761,-0.94483508,-1.2772725,-0.19039055,-1.3274535,-0.29419638,-0.96262389,-2.5329724,-0.27652776,-1.5389344,-0.55534151,-0.27607771,-3.1566548,-1.2593195,-0.43622016,-0.18845122,-0.73744085,-1.1079891,-1.5917183,-0.21162508,-1.2181559,-3.481346,-1.1723329,-0.71918611,-0.22458735,-1.0509424,-1.9383101,-0.78035932,-0.67374666,-0.24693172,-1.1567445,-0.62545803,-0.22773356,-0.81325525,-0.35072907,-0.97259642,-0.59787175,-1.7951044,-1.8866319,-0.55127901,-0.89485523,-0.22246351,-1.988947,-1.072301,-2.3940939,-0.39846741,-0.55974824,-0.18793632,-1.1081852,-0.67124058,-1.7435633,-2.9105324,-1.2840593,-0.37464234,-1.1651712,-0.31038899,-0.5264462,-0.15154788,-0.18071378,-1.0610959,-0.51604493,-0.2956424,-0.81833883,-1.0947133,-3.810462,-2.2525685,-1.8933206,-0.89752193,-0.23604254,-2.2599501,-0.15735724,-0.28473817,-0.64356587,-0.95084198,-1.7224862,-0.50300526,-0.16970599,-1.3162573,-0.51442051,-1.2463654,-2.2325717,-1.2714006,-0.1898575,-0.21622684,-0.31055579,-0.99859781,-1.1294372,-0.40456886,-0.19275131,-0.50633375,-2.7659784,-1.0277525,-0.16687236,-0.16497161,-0.20058603,-2.4667038,-0.18989497,-2.7114397,-0.28685259,-3.3484693,-0.24200639,-0.26405595,-0.32102359,-0.6651954,-0.51084845,-0.73876701,-0.18296403,-3.128043,-0.16163266,-0.568253,-0.4272073,-0.16029971,-1.5566083,-0.38862772,-0.17990319,-2.1494659,-2.9237595,-0.3142635,-0.16015694,-2.4715544,-2.7389147,-1.6578812,-1.8204464,-0.80975468,-0.77647038,-1.0626747,-0.215049,-0.7888339,-0.41212896,-0.18055872,-1.5279456,-0.33193539,-0.74258474,-0.2302781,-2.3731321,-1.076545,-0.16866361,-1.3476133,-0.30646966,-7.1338351,-0.17783192,-0.16705009,-0.19990161,-0.62579823,-1.0512083,-1.9621769,-1.6707497,-0.4329042,-0.30094802,-1.6379744,-0.67593886,-1.6399543,-0.18397522,-0.62227936,-2.2976484,-0.26060854,-0.16711377,-1.2660224,-0.16871475,-0.16170331,-0.79035335,-0.3985122,-1.900792,-1.3110497,-1.6880854,-0.68527617,-2.9783531,-0.99563905,-1.3359225,-1.3919855,-0.51760082,-0.45518878,-4.8984738,-1.4487298,-1.8642994,-0.70613695,-0.20741799,-0.90045141,-0.2295473,-0.20244948,-1.0149989,-0.62868808,-0.19438481,-1.5999506,-0.200676,-1.0190124,-4.4262264
-325.3684,0.99967661,0.017413633,7,127,0,326.19478,0.1565876,1.4940932,0.31931159,-3.2268731,0.039681383,-0.19032457,-0.55261141,-0.25247953,-1.2531325,-0.91919146,-0.67482159,-1.5351732,-0.20259044,-0.90752479,-0.35780629,-0.42974823,-2.9734937,-2.9316006,-3.7880051,-0.19809259,-0.2662896,-0.26301768,-0.21665591,-0.33921529,-0.54689589,-0.83668849,-0.18497527,-0.7516761,-0.22230813,-1.1391508,-0.34084538,-1.8151173,-0.30666802,-0.2523311,-1.6572255,-0.3913392,-1.0803994,-1.2597106,-0.64255906,-0.79020597,-0.6445845,-0.94828212,-0.17947003,-0.66756517,-0.53898709,-0.4657567,-1.2272892,-0.53009996,-0.50209114,-1.0728591,-0.22321406,-0.48337542,-0.38732387,-0.20401557,-1.3269607,-0.96463766,-0.21253181,-0.35903847,-0.37461615,-0.25148566,-0.6655927,-0.35800961,-0.9778952,-0.74396096,-0.84802854,-3.7797797,-0.79131841,-1.6526279,-1.0027437,-0.18444129,-3.2881632,-0.27561167,-1.3357578,-0.76155091,-2.5299366,-1.4867537,-0.20545725,-1.5981072,-0.42029943,-0.19659296,-0.85271537,-0.20026678,-0.20279522,-0.57050128,-0.4066154,-1.9625445,-1.290866,-0.19703212,-0.2157046,-0.49564883,-2.2915627,-0.20800802,-1.2875198,-1.2578626,-0.22827732,-0.32805738,-0.41917331,-1.0967721,-0.79964505,-1.1665785,-1.0056177,-2.0468152,-3.5188421,-3.5493136,-1.4596998,-0.91396341,-2.0393157,-0.1979139,-0.32252016,-2.168623,-1.148341,-0.69731853,-0.18898838,-0.64039786,-2.965498,-0.30436196,-0.1828072,-0.47206473,-4.6161172,-0.93435408,-1.2597901,-0.20486497,-1.3090244,-0.30117368,-0.95196291,-2.4853087,-0.28459069,-1.5164548,-0.55374931,-0.28402336,-3.1032908,-1.2424192,-0.43774345,-0.20506915,-0.83805848,-1.094414,-1.5665984,-0.22314913,-1.2021381,-3.4096161,-1.1567848,-0.71374671,-0.23572636,-1.0382172,-1.9066157,-0.7735458,-0.66934205,-0.28945832,-1.1415709,-0.62217359,-0.23851022,-0.92064336,-0.35524418,-0.96148011,-0.68294312,-1.767402,-1.8574585,-0.54979595,-0.885832,-0.23274584,-1.9533037,-1.0585776,-2.3574364,-0.40148851,-0.55805917,-0.20710884,-1.0948713,-0.66680461,-1.717932,-2.86841,-1.439981,-0.43586237,-1.1505914,-0.31695038,-0.52566209,-0.174224,-0.20376901,-1.0478641,-0.51540521,-0.34337183,-0.81061878,-1.2312815,-3.7241921,-2.2120647,-1.861895,-0.88811286,-0.27613477,-2.2227361,-0.17940779,-0.33103515,-0.63991337,-0.94013608,-1.6958768,-0.50281995,-0.18733779,-1.2975242,-0.58848993,-1.2297102,-2.1938354,-1.2536998,-0.22036572,-0.22871462,-0.31689165,-0.98677063,-1.1154261,-0.40700717,-0.22278786,-0.5060687,-2.7206499,-1.0157346,-0.18401375,-0.19385619,-0.23766465,-2.4198343,-0.20667747,-3.0411117,-0.33311664,-3.2990447,-0.25253437,-0.30698916,-0.32629776,-0.66098019,-0.51048268,-0.73297593,-0.20081598,-3.0674217,-0.18551932,-0.56632419,-0.42923603,-0.18481245,-1.5334612,-0.39183309,-0.21094524,-2.1118306,-2.874269,-0.36513969,-0.17977548,-2.4255648,-2.68602,-1.633044,-1.7923907,-0.80220333,-0.76980908,-1.0498089,-0.25195187,-0.78190529,-0.4143909,-0.20885129,-1.5053002,-0.33720898,-0.73668723,-0.24093441,-2.332123,-1.0633516,-0.19436741,-1.3285821,-0.31274825,-6.8366227,-0.20815218,-0.19478318,-0.21282047,-0.62259345,-1.0383695,-1.9303453,-1.6445404,-0.43467559,-0.3510953,-1.612778,-0.67155993,-1.6140936,-0.19871785,-0.61904852,-2.2587911,-0.30426699,-0.1941347,-1.2489736,-0.18622633,-0.18750251,-0.78339907,-0.40132714,-1.8705292,-1.2931111,-1.6612783,-0.68067241,-2.9199582,-0.98423702,-1.3174532,-1.3716406,-0.51698768,-0.45627104,-4.8302025,-1.4269736,-1.8329257,-0.70092046,-0.24555111,-0.89079242,-0.24097109,-0.21686741,-1.0028569,-0.62538575,-0.21003261,-1.5761917,-0.2327729,-1.0072867,-4.3953073
-325.56345,0.99995306,0.017413633,6,63,0,325.70965,0.13242216,1.4849295,0.31959801,-3.2300428,0.039555807,-0.17715987,-0.55093806,-0.24427445,-1.2609638,-0.92173349,-0.67480222,-1.5439178,-0.19215696,-0.90916674,-0.33659285,-0.40669051,-3.0049058,-2.9594819,-3.8208452,-0.18362554,-0.25974401,-0.25463999,-0.20641491,-0.33468637,-0.54320784,-0.83655552,-0.17580031,-0.72543078,-0.20734348,-1.1419319,-0.33728515,-1.8329137,-0.2989534,-0.24350553,-1.6715154,-0.38852488,-1.0871628,-1.2649497,-0.64049411,-0.79046884,-0.61901418,-0.95091673,-0.16786161,-0.66675165,-0.53663475,-0.46320717,-1.232668,-0.5276407,-0.49901048,-1.0770984,-0.21355623,-0.47970394,-0.38206622,-0.19012007,-1.3332783,-0.96887434,-0.19839082,-0.33745681,-0.37128042,-0.2358996,-0.64113259,-0.35497859,-0.97856714,-0.74193511,-0.85232624,-3.8547684,-0.79422766,-1.6615969,-0.97133789,-0.17284768,-3.3281315,-0.26707617,-1.3412789,-0.76374338,-2.5460238,-1.498824,-0.19423093,-1.6060565,-0.41501401,-0.18288883,-0.85361986,-0.18583363,-0.19061322,-0.56728455,-0.40133001,-1.9760168,-1.2969609,-0.18418994,-0.2002533,-0.49346111,-2.3128416,-0.19332167,-1.2939842,-1.2650096,-0.2125044,-0.32225671,-0.41520987,-1.1019913,-0.80107963,-1.1718765,-1.0079374,-2.0595404,-3.5615792,-3.5899944,-1.468614,-0.91677472,-2.0562778,-0.1874464,-0.31666832,-2.1873682,-1.1162695,-0.69700073,-0.17798069,-0.64011712,-2.9939134,-0.2976534,-0.1700861,-0.4689156,-4.6529906,-0.93730115,-1.265964,-0.19445609,-1.3163432,-0.29472037,-0.95522711,-2.5052038,-0.27676335,-1.5278731,-0.55204696,-0.27710712,-3.1317027,-1.2492949,-0.43474989,-0.19375046,-0.81001897,-1.1003227,-1.5766108,-0.21507854,-1.2084428,-3.447318,-1.1625352,-0.71402088,-0.22833474,-1.0410059,-1.9248387,-0.77337348,-0.6680694,-0.27173718,-1.1449015,-0.62031143,-0.23120313,-0.89160926,-0.34992319,-0.96434012,-0.65673517,-1.7824967,-1.8745683,-0.54919316,-0.88988172,-0.22643319,-1.963925,-1.0604484,-2.3846443,-0.39493561,-0.55811359,-0.19358936,-1.1022404,-0.66402255,-1.7344839,-2.9057512,-1.403795,-0.41441876,-1.1577474,-0.3093295,-0.52237115,-0.16212216,-0.19018738,-1.0518161,-0.51313919,-0.32339735,-0.81191028,-1.1986243,-3.7684379,-2.2315837,-1.8789427,-0.89140188,-0.25908873,-2.2399445,-0.16680317,-0.31123867,-0.63987764,-0.94294579,-1.7069245,-0.50077355,-0.17586645,-1.3055018,-0.56340001,-1.2358587,-2.2159172,-1.2610994,-0.20511582,-0.21951227,-0.31026494,-0.9896065,-1.12128,-0.4034312,-0.20707361,-0.50303201,-2.7453333,-1.0194815,-0.17375548,-0.17964718,-0.22113002,-2.4396858,-0.19545395,-3.0003711,-0.31324714,-3.3309577,-0.24391879,-0.28797182,-0.32108173,-0.66023041,-0.50763269,-0.73333846,-0.18996474,-3.1086301,-0.17132135,-0.56403908,-0.42514734,-0.1708786,-1.5423726,-0.38822613,-0.19453871,-2.1319601,-2.8949225,-0.34527741,-0.16784579,-2.4492888,-2.7138837,-1.6441646,-1.8053512,-0.8033773,-0.7698813,-1.0525542,-0.23634732,-0.78476298,-0.40919007,-0.1949712,-1.5136426,-0.33256752,-0.73874404,-0.2342962,-2.3594947,-1.0699258,-0.1821188,-1.3389943,-0.3081271,-6.3644202,-0.1948612,-0.18241795,-0.20595509,-0.6238731,-1.0403579,-1.9503165,-1.6547026,-0.42985091,-0.33115557,-1.6255206,-0.67282353,-1.6230614,-0.19016256,-0.61627544,-2.2819855,-0.28414061,-0.18001255,-1.2578679,-0.17684522,-0.17524932,-0.78536848,-0.39597921,-1.8881807,-1.3026495,-1.6713938,-0.68148839,-2.937852,-0.98750543,-1.3271922,-1.3784891,-0.51417738,-0.45248438,-4.9056396,-1.4342161,-1.8437434,-0.69917839,-0.22974089,-0.89113932,-0.23076254,-0.20542846,-1.0053126,-0.62555995,-0.1983686,-1.5875618,-0.2164826,-1.0119065,-4.4800587
