# stan_version_major = 2
# stan_version_minor = 37
# stan_version_patch = 0
# model = rlddm_single_subject_model
# start_datetime = 2025-09-25 02:55:32 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 2000
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.999
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = dense_e
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /Users/jy4657/Desktop/Repositories/tst-stan/recovery_out/tmp_subject_4/tmpes21bjiu/07fjfh5s.json
# init = 2 (Default)
# random
#   seed = 2031
# output
#   file = /Users/jy4657/Desktop/Repositories/tst-stan/cmdstan_tmp/rlddm_single_subject-20250924225532_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.37.0
# stancflags = --filename-in-msg=rlddm_single_subject.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,a,t0,log_scaler,scaler,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46,log_lik.47,log_lik.48,log_lik.49,log_lik.50,log_lik.51,log_lik.52,log_lik.53,log_lik.54,log_lik.55,log_lik.56,log_lik.57,log_lik.58,log_lik.59,log_lik.60,log_lik.61,log_lik.62,log_lik.63,log_lik.64,log_lik.65,log_lik.66,log_lik.67,log_lik.68,log_lik.69,log_lik.70,log_lik.71,log_lik.72,log_lik.73,log_lik.74,log_lik.75,log_lik.76,log_lik.77,log_lik.78,log_lik.79,log_lik.80,log_lik.81,log_lik.82,log_lik.83,log_lik.84,log_lik.85,log_lik.86,log_lik.87,log_lik.88,log_lik.89,log_lik.90,log_lik.91,log_lik.92,log_lik.93,log_lik.94,log_lik.95,log_lik.96,log_lik.97,log_lik.98,log_lik.99,log_lik.100,log_lik.101,log_lik.102,log_lik.103,log_lik.104,log_lik.105,log_lik.106,log_lik.107,log_lik.108,log_lik.109,log_lik.110,log_lik.111,log_lik.112,log_lik.113,log_lik.114,log_lik.115,log_lik.116,log_lik.117,log_lik.118,log_lik.119,log_lik.120,log_lik.121,log_lik.122,log_lik.123,log_lik.124,log_lik.125,log_lik.126,log_lik.127,log_lik.128,log_lik.129,log_lik.130,log_lik.131,log_lik.132,log_lik.133,log_lik.134,log_lik.135,log_lik.136,log_lik.137,log_lik.138,log_lik.139,log_lik.140,log_lik.141,log_lik.142,log_lik.143,log_lik.144,log_lik.145,log_lik.146,log_lik.147,log_lik.148,log_lik.149,log_lik.150,log_lik.151,log_lik.152,log_lik.153,log_lik.154,log_lik.155,log_lik.156,log_lik.157,log_lik.158,log_lik.159,log_lik.160,log_lik.161,log_lik.162,log_lik.163,log_lik.164,log_lik.165,log_lik.166,log_lik.167,log_lik.168,log_lik.169,log_lik.170,log_lik.171,log_lik.172,log_lik.173,log_lik.174,log_lik.175,log_lik.176,log_lik.177,log_lik.178,log_lik.179,log_lik.180,log_lik.181,log_lik.182,log_lik.183,log_lik.184,log_lik.185,log_lik.186,log_lik.187,log_lik.188,log_lik.189,log_lik.190,log_lik.191,log_lik.192,log_lik.193,log_lik.194,log_lik.195,log_lik.196,log_lik.197,log_lik.198,log_lik.199,log_lik.200,log_lik.201,log_lik.202,log_lik.203,log_lik.204,log_lik.205,log_lik.206,log_lik.207,log_lik.208,log_lik.209,log_lik.210,log_lik.211,log_lik.212,log_lik.213,log_lik.214,log_lik.215,log_lik.216,log_lik.217,log_lik.218,log_lik.219,log_lik.220,log_lik.221,log_lik.222,log_lik.223,log_lik.224,log_lik.225,log_lik.226,log_lik.227,log_lik.228,log_lik.229,log_lik.230,log_lik.231,log_lik.232,log_lik.233,log_lik.234,log_lik.235,log_lik.236,log_lik.237,log_lik.238,log_lik.239,log_lik.240,log_lik.241,log_lik.242,log_lik.243,log_lik.244,log_lik.245,log_lik.246,log_lik.247,log_lik.248,log_lik.249,log_lik.250,log_lik.251,log_lik.252,log_lik.253,log_lik.254,log_lik.255,log_lik.256,log_lik.257,log_lik.258,log_lik.259,log_lik.260,log_lik.261,log_lik.262,log_lik.263,log_lik.264,log_lik.265,log_lik.266,log_lik.267,log_lik.268,log_lik.269,log_lik.270,log_lik.271,log_lik.272,log_lik.273,log_lik.274,log_lik.275,log_lik.276,log_lik.277,log_lik.278,log_lik.279,log_lik.280,log_lik.281,log_lik.282,log_lik.283,log_lik.284,log_lik.285,log_lik.286,log_lik.287,log_lik.288,log_lik.289,log_lik.290,log_lik.291,log_lik.292,log_lik.293,log_lik.294,log_lik.295,log_lik.296,log_lik.297,log_lik.298,log_lik.299,log_lik.300
# Adaptation terminated
# Step size = 0.0151088
# Elements of inverse mass matrix:
# 1.10664, 0.0588964, -0.252849, -0.148333
# 0.0588964, 0.00932823, -0.0386273, -0.00259068
# -0.252849, -0.0386273, 0.648318, 0.013709
# -0.148333, -0.00259068, 0.013709, 0.0655239
-326.25704,0.99995215,0.01510883,7,255,0,329.6688,0.57600932,1.4916956,0.3228242,-3.3830559,0.033943568,-0.18885738,-0.53941775,-0.25005289,-1.2375505,-0.91062755,-0.66174073,-1.5517511,-0.19810255,-0.91121383,-0.38649954,-0.46567863,-2.9864999,-3.008932,-4.0509891,-0.20978293,-0.24776417,-0.2656127,-0.22047249,-0.32200809,-0.5517715,-0.84305858,-0.16965057,-0.80721442,-0.21860577,-1.1477625,-0.32368363,-1.7889691,-0.29645264,-0.2394287,-1.6437647,-0.37625452,-1.0647452,-1.2492005,-0.63118139,-0.77564313,-0.70350546,-0.93265086,-0.1829916,-0.65164694,-0.52386603,-0.44035817,-1.2365019,-0.52357333,-0.49925799,-1.0703044,-0.22240301,-0.48184523,-0.38562874,-0.20098471,-1.3268104,-0.95376934,-0.21518839,-0.38318785,-0.35415652,-0.24531369,-0.70499074,-0.33541666,-0.99216724,-0.75371228,-0.82361485,-3.5280782,-0.77990913,-1.6473026,-1.095657,-0.18379983,-3.3086187,-0.27698891,-1.3450125,-0.74557122,-2.5701641,-1.4686148,-0.19976329,-1.6106228,-0.41147603,-0.19910151,-0.84126179,-0.20483304,-0.20377536,-0.56824078,-0.39641489,-1.9519926,-1.2810943,-0.1914477,-0.21492307,-0.49030068,-2.3015233,-0.2055341,-1.2766147,-1.2606401,-0.22673718,-0.32508067,-0.40631095,-1.0838223,-0.78690894,-1.1674398,-1.0187635,-2.0939344,-3.4703272,-3.6207559,-1.4462932,-0.91236551,-2.0614899,-0.19297276,-0.31546257,-2.1704694,-1.2613699,-0.69122134,-0.18574531,-0.62441794,-2.9632461,-0.29660713,-0.18101459,-0.46650192,-5.0014148,-0.92319538,-1.2718618,-0.21217793,-1.3098705,-0.28937432,-0.94052977,-2.5182633,-0.28597924,-1.493566,-0.54685916,-0.27174367,-3.1396589,-1.2421744,-0.42371655,-0.20581369,-0.90768185,-1.080773,-1.5572291,-0.21838608,-1.2031822,-3.3474813,-1.1429795,-0.70108079,-0.2139886,-1.0520934,-1.8620751,-0.77363898,-0.66568864,-0.29867545,-1.1536196,-0.61587663,-0.22279406,-1.0038948,-0.35386793,-0.96710261,-0.72905762,-1.7333338,-1.8225447,-0.5314929,-0.86861599,-0.21687772,-1.9771592,-1.0632341,-2.3222034,-0.40092056,-0.5429247,-0.21012156,-1.0794565,-0.6665487,-1.6977361,-2.8198062,-1.5980357,-0.46922135,-1.1518902,-0.30259026,-0.5083744,-0.1816582,-0.19215785,-1.0284701,-0.53208765,-0.34489761,-0.78708623,-1.3409522,-3.549849,-2.2237574,-1.8441443,-0.88278747,-0.27578134,-2.2485651,-0.17676894,-0.3507481,-0.6270501,-0.92963251,-1.7027526,-0.49035992,-0.18711863,-1.2827501,-0.63822849,-1.2245652,-2.1469104,-1.2429332,-0.22720558,-0.22829193,-0.31553593,-0.98838933,-1.1011583,-0.40073071,-0.2311771,-0.49603651,-2.7354651,-1.0151489,-0.17366008,-0.19060878,-0.24086111,-2.4386086,-0.20538357,-3.483121,-0.35193181,-3.2652415,-0.24829192,-0.32249519,-0.31553663,-0.64840719,-0.49777443,-0.73046908,-0.18974352,-2.9200627,-0.20062418,-0.56533409,-0.41708416,-0.18981458,-1.5191738,-0.37826325,-0.22816363,-2.0820836,-2.948692,-0.38700654,-0.17209659,-2.3970561,-2.5724334,-1.6754699,-1.8496675,-0.77976607,-0.7834499,-1.0735284,-0.23784387,-0.75087256,-0.41621981,-0.21084005,-1.4990087,-0.32310345,-0.71587369,-0.22177068,-2.312039,-1.0596786,-0.19850776,-1.3075213,-0.30451583,-9.0454055,-0.20861406,-0.19622793,-0.19620567,-0.59938164,-1.0375221,-1.9533692,-1.6103855,-0.42029929,-0.38393777,-1.621308,-0.65778847,-1.6184488,-0.18631994,-0.61357629,-2.2624843,-0.32523135,-0.19500063,-1.2307725,-0.17326788,-0.17898637,-0.77855206,-0.38368766,-1.8733024,-1.2874851,-1.6340824,-0.67556356,-2.9195699,-0.98227458,-1.3001793,-1.3659626,-0.49892762,-0.46073853,-4.2430923,-1.4476467,-1.8680273,-0.70754629,-0.24227342,-0.88222213,-0.23197563,-0.21807218,-0.9912725,-0.62360161,-0.20591533,-1.589775,-0.23080001,-1.007944,-4.2766922
-325.68168,0.99989122,0.01510883,7,127,0,326.91676,0.29556105,1.5248093,0.32198442,-3.1699813,0.042004384,-0.23856026,-0.55042672,-0.27684791,-1.2189449,-0.90360481,-0.66709804,-1.5046403,-0.23653618,-0.89788239,-0.46013072,-0.54706835,-2.8674986,-2.8459594,-3.7128531,-0.25520535,-0.28088483,-0.28900445,-0.25090043,-0.34632339,-0.55603931,-0.83403696,-0.21224894,-0.91795446,-0.28315296,-1.1273834,-0.34433491,-1.7469734,-0.32724441,-0.27670377,-1.6038394,-0.39295604,-1.050193,-1.2352509,-0.64214714,-0.78097442,-0.79863032,-0.9306177,-0.22175112,-0.66136302,-0.53807999,-0.46334183,-1.207817,-0.53118383,-0.50743718,-1.0527991,-0.25398229,-0.49070461,-0.40033174,-0.2566039,-1.3020281,-0.94268743,-0.27030858,-0.46255092,-0.37672056,-0.31635084,-0.81242379,-0.35818324,-0.9742301,-0.74844162,-0.82327716,-3.5040448,-0.77391869,-1.6162672,-1.2198777,-0.22697602,-3.1692228,-0.30056309,-1.3125815,-0.7470761,-2.4722232,-1.440945,-0.24105378,-1.5673826,-0.43109511,-0.25115946,-0.84148642,-0.25336261,-0.24391805,-0.57510615,-0.41713326,-1.9090918,-1.2628858,-0.24114564,-0.27490678,-0.49727623,-2.2202801,-0.26300866,-1.2586985,-1.2303502,-0.29057334,-0.34327919,-0.42466128,-1.0714099,-0.78687209,-1.1447363,-0.99609565,-2.0091543,-3.3676073,-3.4211846,-1.4232617,-0.89892561,-1.9824379,-0.23263966,-0.3372405,-2.1050997,-1.3892576,-0.69129896,-0.22503973,-0.6321588,-2.8600544,-0.32256839,-0.22811128,-0.47582353,-4.5663715,-0.91800425,-1.2356742,-0.24006556,-1.2794313,-0.31708154,-0.93372901,-2.422255,-0.30844103,-1.4686957,-0.55241373,-0.30153411,-3.0075752,-1.2138604,-0.43963164,-0.24398595,-1.0222727,-1.0666393,-1.5278949,-0.24643512,-1.1760355,-3.2736966,-1.1302877,-0.70534204,-0.25351497,-1.0268138,-1.8339521,-0.76955097,-0.66810546,-0.36884411,-1.1279936,-0.6219503,-0.25777672,-1.1198317,-0.36905376,-0.94904464,-0.83866103,-1.7038024,-1.7868656,-0.54159786,-0.86255634,-0.24638201,-1.9213953,-1.0502088,-2.2542597,-0.42043833,-0.54843762,-0.25627107,-1.0612281,-0.6724737,-1.6532502,-2.7309364,-1.7388279,-0.54855702,-1.1214122,-0.33644591,-0.5282991,-0.21992572,-0.25087478,-1.0253369,-0.52692693,-0.42919359,-0.7915037,-1.4781697,-3.498502,-2.1312759,-1.7945583,-0.87573865,-0.3508826,-2.1674203,-0.22516035,-0.42294942,-0.63208133,-0.92396675,-1.6556793,-0.50209131,-0.22636531,-1.263725,-0.73143764,-1.2020169,-2.1110018,-1.2236932,-0.28244913,-0.25837948,-0.3356385,-0.9734146,-1.08763,-0.41086414,-0.2865173,-0.51016881,-2.6331179,-0.99735256,-0.21587011,-0.24775528,-0.30686775,-2.3547552,-0.24492786,-3.6554159,-0.42564957,-3.1809386,-0.27848349,-0.39312937,-0.33700486,-0.65653711,-0.51313413,-0.72557426,-0.23633222,-2.9083926,-0.24038308,-0.56837761,-0.43656834,-0.23699505,-1.4997205,-0.394803,-0.27879159,-2.0356061,-2.8105781,-0.45980295,-0.22184862,-2.338066,-2.555724,-1.609065,-1.765439,-0.78655759,-0.76690465,-1.040538,-0.3143848,-0.76030839,-0.42818444,-0.26253603,-1.4725602,-0.34541839,-0.72062425,-0.25663545,-2.2296933,-1.037618,-0.246357,-1.2868213,-0.3262314,-7.7637979,-0.2649609,-0.24953342,-0.23379865,-0.60840083,-1.026535,-1.8759376,-1.5918169,-0.4394637,-0.45335481,-1.5758621,-0.66375726,-1.5726425,-0.22713628,-0.62119236,-2.1841493,-0.39305341,-0.24821879,-1.2138475,-0.21687665,-0.23345768,-0.77222529,-0.40873466,-1.8155106,-1.2595887,-1.6121612,-0.67455113,-2.8355358,-0.96743567,-1.2806836,-1.3408042,-0.51660875,-0.46655206,-4.4226236,-1.4056114,-1.8041264,-0.70547646,-0.31029811,-0.88178592,-0.27031901,-0.25616792,-0.98853719,-0.62086476,-0.24638333,-1.5403101,-0.29530475,-0.98945098,-4.2180122
-325.90342,0.99981552,0.01510883,7,247,0,327.09049,0.52919171,1.5285787,0.32288005,-3.2639114,0.03823854,-0.24541581,-0.54636263,-0.28198746,-1.2096251,-0.89958747,-0.66225246,-1.5107899,-0.24077227,-0.90122669,-0.48278131,-0.57241816,-2.8712558,-2.8851227,-3.8473878,-0.27070076,-0.27587407,-0.29696038,-0.26022249,-0.342002,-0.56199166,-0.83831526,-0.21155911,-0.949518,-0.28947895,-1.1293831,-0.34118165,-1.7321572,-0.32494861,-0.27374301,-1.5953906,-0.39034435,-1.0431674,-1.2251214,-0.63670191,-0.77292087,-0.83506741,-0.92162756,-0.23214295,-0.65439051,-0.53301398,-0.45278137,-1.2106563,-0.53268151,-0.50914177,-1.052461,-0.26153899,-0.49510795,-0.40544757,-0.26316705,-1.2966125,-0.94003773,-0.28199306,-0.48025133,-0.37164075,-0.32181738,-0.83770811,-0.35261889,-0.98062249,-0.75405988,-0.81337969,-3.4054823,-0.77250823,-1.6037672,-1.2644562,-0.23631738,-3.1796588,-0.30688537,-1.31451,-0.74094399,-2.4789491,-1.4296945,-0.24377923,-1.5684643,-0.42916476,-0.26182375,-0.83493961,-0.26295258,-0.25119044,-0.57676124,-0.41496657,-1.8943292,-1.2544608,-0.24458671,-0.28132954,-0.49900868,-2.2204803,-0.26860846,-1.2501909,-1.2313634,-0.29713883,-0.34690265,-0.42241019,-1.0647132,-0.78210272,-1.1438203,-1.0034827,-2.0258133,-3.3377038,-3.4610135,-1.410385,-0.9011533,-1.9933855,-0.23808393,-0.33965016,-2.1007867,-1.442825,-0.69016699,-0.23050617,-0.62563335,-2.8503624,-0.32352439,-0.23529414,-0.47740092,-4.706461,-0.91224951,-1.2424698,-0.25233389,-1.2788344,-0.31575025,-0.92750465,-2.4299463,-0.31569272,-1.4531148,-0.5525793,-0.30012632,-3.0173875,-1.21365,-0.43605113,-0.25170615,-1.0593454,-1.0595032,-1.5177695,-0.25127533,-1.1766855,-3.2248085,-1.1216435,-0.70070296,-0.24736044,-1.0349681,-1.8059204,-0.77045676,-0.66747211,-0.38260753,-1.132606,-0.62000738,-0.25569606,-1.163968,-0.37481507,-0.95440103,-0.86462841,-1.681104,-1.7650651,-0.53571896,-0.85575432,-0.24534416,-1.9214689,-1.0497785,-2.2383701,-0.42269654,-0.5456982,-0.2630501,-1.0557744,-0.67251018,-1.6439793,-2.7132455,-1.8082887,-0.57523321,-1.1254123,-0.33098975,-0.52002762,-0.23402673,-0.24967738,-1.0131805,-0.54060703,-0.43689526,-0.78138785,-1.5292625,-3.4138992,-2.1470285,-1.7884832,-0.87449143,-0.35809251,-2.1725731,-0.23003286,-0.44185007,-0.62759776,-0.91920279,-1.6531481,-0.50068555,-0.23271298,-1.254679,-0.76381452,-1.1970826,-2.0798967,-1.2170923,-0.29513881,-0.26604491,-0.34148979,-0.97568144,-1.0789118,-0.41403958,-0.29953364,-0.5081866,-2.6325522,-0.99774225,-0.21699323,-0.25345598,-0.31600642,-2.35569,-0.25174371,-3.8251804,-0.44355014,-3.1482573,-0.28302157,-0.40956915,-0.33567797,-0.65217056,-0.50977442,-0.7264343,-0.23733175,-2.8236899,-0.25705067,-0.57095597,-0.43414997,-0.24698848,-1.4802693,-0.39560138,-0.29654809,-2.0143086,-2.8361702,-0.4828663,-0.22095652,-2.3151505,-2.4862813,-1.6270898,-1.7909644,-0.77559835,-0.77809057,-1.0549567,-0.31355807,-0.74556856,-0.43262899,-0.27390426,-1.4615642,-0.34462438,-0.71300507,-0.25376267,-2.2296888,-1.040823,-0.25824614,-1.2774718,-0.32848206,-7.5149187,-0.27444748,-0.25804721,-0.23197085,-0.60096684,-1.0221998,-1.8885261,-1.5674499,-0.43531546,-0.47921775,-1.5763408,-0.65878242,-1.5730631,-0.22622382,-0.61922409,-2.1849622,-0.41226856,-0.25611993,-1.2035551,-0.21754763,-0.23727487,-0.77319692,-0.40179435,-1.8141854,-1.2565013,-1.5907775,-0.67509355,-2.8167932,-0.96711916,-1.269686,-1.3341179,-0.5087151,-0.47459386,-4.1401168,-1.4132592,-1.8143841,-0.71004893,-0.3177467,-0.87539121,-0.2692341,-0.26101461,-0.97833046,-0.62503934,-0.2500398,-1.5445566,-0.30181081,-0.99027314,-4.1526982
