# stan_version_major = 2
# stan_version_minor = 37
# stan_version_patch = 0
# model = rlddm_single_subject_model
# start_datetime = 2025-09-25 02:55:35 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 2000
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.999
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = dense_e
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /Users/jy4657/Desktop/Repositories/tst-stan/recovery_out/tmp_subject_5/tmpf63gvb0t/md9v7sro.json
# init = 2 (Default)
# random
#   seed = 2032
# output
#   file = /Users/jy4657/Desktop/Repositories/tst-stan/cmdstan_tmp/rlddm_single_subject-20250924225535_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.37.0
# stancflags = --filename-in-msg=rlddm_single_subject.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,a,t0,log_scaler,scaler,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46,log_lik.47,log_lik.48,log_lik.49,log_lik.50,log_lik.51,log_lik.52,log_lik.53,log_lik.54,log_lik.55,log_lik.56,log_lik.57,log_lik.58,log_lik.59,log_lik.60,log_lik.61,log_lik.62,log_lik.63,log_lik.64,log_lik.65,log_lik.66,log_lik.67,log_lik.68,log_lik.69,log_lik.70,log_lik.71,log_lik.72,log_lik.73,log_lik.74,log_lik.75,log_lik.76,log_lik.77,log_lik.78,log_lik.79,log_lik.80,log_lik.81,log_lik.82,log_lik.83,log_lik.84,log_lik.85,log_lik.86,log_lik.87,log_lik.88,log_lik.89,log_lik.90,log_lik.91,log_lik.92,log_lik.93,log_lik.94,log_lik.95,log_lik.96,log_lik.97,log_lik.98,log_lik.99,log_lik.100,log_lik.101,log_lik.102,log_lik.103,log_lik.104,log_lik.105,log_lik.106,log_lik.107,log_lik.108,log_lik.109,log_lik.110,log_lik.111,log_lik.112,log_lik.113,log_lik.114,log_lik.115,log_lik.116,log_lik.117,log_lik.118,log_lik.119,log_lik.120,log_lik.121,log_lik.122,log_lik.123,log_lik.124,log_lik.125,log_lik.126,log_lik.127,log_lik.128,log_lik.129,log_lik.130,log_lik.131,log_lik.132,log_lik.133,log_lik.134,log_lik.135,log_lik.136,log_lik.137,log_lik.138,log_lik.139,log_lik.140,log_lik.141,log_lik.142,log_lik.143,log_lik.144,log_lik.145,log_lik.146,log_lik.147,log_lik.148,log_lik.149,log_lik.150,log_lik.151,log_lik.152,log_lik.153,log_lik.154,log_lik.155,log_lik.156,log_lik.157,log_lik.158,log_lik.159,log_lik.160,log_lik.161,log_lik.162,log_lik.163,log_lik.164,log_lik.165,log_lik.166,log_lik.167,log_lik.168,log_lik.169,log_lik.170,log_lik.171,log_lik.172,log_lik.173,log_lik.174,log_lik.175,log_lik.176,log_lik.177,log_lik.178,log_lik.179,log_lik.180,log_lik.181,log_lik.182,log_lik.183,log_lik.184,log_lik.185,log_lik.186,log_lik.187,log_lik.188,log_lik.189,log_lik.190,log_lik.191,log_lik.192,log_lik.193,log_lik.194,log_lik.195,log_lik.196,log_lik.197,log_lik.198,log_lik.199,log_lik.200,log_lik.201,log_lik.202,log_lik.203,log_lik.204,log_lik.205,log_lik.206,log_lik.207,log_lik.208,log_lik.209,log_lik.210,log_lik.211,log_lik.212,log_lik.213,log_lik.214,log_lik.215,log_lik.216,log_lik.217,log_lik.218,log_lik.219,log_lik.220,log_lik.221,log_lik.222,log_lik.223,log_lik.224,log_lik.225,log_lik.226,log_lik.227,log_lik.228,log_lik.229,log_lik.230,log_lik.231,log_lik.232,log_lik.233,log_lik.234,log_lik.235,log_lik.236,log_lik.237,log_lik.238,log_lik.239,log_lik.240,log_lik.241,log_lik.242,log_lik.243,log_lik.244,log_lik.245,log_lik.246,log_lik.247,log_lik.248,log_lik.249,log_lik.250,log_lik.251,log_lik.252,log_lik.253,log_lik.254,log_lik.255,log_lik.256,log_lik.257,log_lik.258,log_lik.259,log_lik.260,log_lik.261,log_lik.262,log_lik.263,log_lik.264,log_lik.265,log_lik.266,log_lik.267,log_lik.268,log_lik.269,log_lik.270,log_lik.271,log_lik.272,log_lik.273,log_lik.274,log_lik.275,log_lik.276,log_lik.277,log_lik.278,log_lik.279,log_lik.280,log_lik.281,log_lik.282,log_lik.283,log_lik.284,log_lik.285,log_lik.286,log_lik.287,log_lik.288,log_lik.289,log_lik.290,log_lik.291,log_lik.292,log_lik.293,log_lik.294,log_lik.295,log_lik.296,log_lik.297,log_lik.298,log_lik.299,log_lik.300
# Adaptation terminated
# Step size = 0.126621
# Elements of inverse mass matrix:
# 0.369565, 0.00754474, -0.0403909, -0.0196862
# 0.00754474, 0.00511389, -0.0220892, 0.00111402
# -0.0403909, -0.0220892, 1.38256, -0.00113947
# -0.0196862, 0.00111402, -0.00113947, 0.060074
-237.00949,0.99783532,0.12662149,3,7,0,239.1974,0.47105532,1.2940291,0.37985761,-2.6956129,0.067500997,-0.44605388,-1.5795096,-0.20408656,-0.4141763,-1.9080902,-0.38757138,0.087525132,0.077108836,0.0096487559,-0.019215511,-0.52894945,-0.16755893,0.086257661,-0.023919938,-0.32673402,-0.35760225,-0.039940935,-0.013506407,-0.40305761,-0.62015296,-3.3286668,-0.70411462,-4.1056143,-0.11266777,-1.1321333,-1.4362501,0.076134776,0.020680366,-1.515694,-0.38140578,-0.79851435,-0.10583907,0.045674805,-4.0754568,0.071442641,0.067044112,-1.6693069,-1.3085269,-1.4861668,-0.41030395,-0.73789428,0.081845795,-1.9074606,-3.3470064,-0.10433527,-0.69146151,-2.0919835,0.064355455,-0.17966898,-3.5946757,-0.54802512,-1.8032245,-1.2616667,0.060561093,-0.48669735,0.097531747,-0.33950538,-0.35837869,0.1211212,0.038928723,0.081527791,-1.1615612,-0.23960883,0.0058325044,-1.0864513,-0.15973408,-2.2555134,-1.7041875,-0.3606784,-0.00045084671,-0.91179191,-1.1668492,0.0068333478,-0.048394802,-1.4512382,-0.6020723,-0.12486422,0.0094357223,-0.21859827,-1.0574397,-0.016164399,-1.3541114,0.083568902,-2.7911409,0.058902767,0.0040984983,-0.49903063,-1.2741036,-0.96245914,-1.1931799,-0.30579947,-1.2461003,-1.0777272,-1.1981172,0.041648203,-0.26240881,-1.7886708,0.052143589,0.084907804,0.087048481,-0.87179814,-1.3973226,-0.75970868,-0.69067927,-0.3539369,-0.029294639,-1.6605384,-1.2276338,-0.46970854,-0.22031771,-1.4606951,-0.86975,-0.38075727,-3.7044995,-0.054951233,0.13114169,-0.22441914,-0.18508954,-0.86220998,-1.0273109,-0.86777199,-0.90091487,-0.12275667,-0.68958074,-2.7399595,-0.014592799,-0.26487417,-1.6384589,-3.6738692,-0.14672549,-1.4724267,-0.16139772,-1.0163995,0.028432099,0.10213926,-1.4274149,-1.523111,0.092695032,-0.06410083,-0.58457724,0.098404649,-0.600965,0.068861433,-0.053080286,-0.42794737,-0.20070178,-0.60278379,-0.0736963,-0.26936279,-0.007552074,-2.6184573,-2.2557374,0.061995408,-1.5300271,0.062962352,-0.77939648,-1.3251341,-0.30440982,-1.8560162,0.063936914,-0.19138963,-0.012767587,0.064922949,-2.501158,-1.5134397,-0.11086459,-3.518265,-0.47282825,-0.90395696,-0.35509687,-0.99271634,-0.6157464,0.03182422,-3.2147961,-0.67568781,-0.074761216,-0.027680121,-1.2657016,-1.5758102,-1.8905587,-0.14607106,-0.86972463,-0.26999021,-0.072633632,0.031800753,-1.3154598,-2.6139748,0.015531181,-0.20785525,0.026505669,0.024755858,-0.31024937,-0.069268753,-0.76413231,-0.27725786,-2.424337,0.013120848,0.12868281,-0.10669752,0.11778709,-1.9711524,0.06632912,-0.89506618,-1.2758398,-0.63262741,-0.76296385,-1.5426009,-0.32473172,-0.96844009,-1.285127,0.046075141,-2.4791234,-0.19188572,-0.8692368,-5.5271179,-0.2747241,0.094954829,-0.60786286,0.088605657,-1.237276,-0.90007812,-0.77511308,0.012587127,0.11865392,-0.57904096,-0.65397743,0.048520464,-1.7996353,-0.2324311,-0.082259864,-0.20092796,-0.35349936,0.1141994,-0.91310811,-4.5433957,-1.2435716,-0.1904759,0.12244848,-0.44645583,-1.5003476,-1.648709,-2.1086096,-1.2336186,0.10963302,0.099435699,-0.12493503,-0.017109211,-0.2812506,-1.4492552,0.085289677,0.11927687,-0.6569936,-0.06455555,-1.0321896,0.071444864,-0.95967685,-0.043361301,-0.59427277,0.074739752,-1.1589512,-0.2383638,0.068787307,-0.1221085,-0.059885986,-0.66952144,-0.44997843,-0.147333,0.041374297,-0.36310581,-0.11184004,0.037356616,-1.5065428,-0.57816288,-0.22487859,0.10543155,-1.3719537,-0.068756715,0.01435166,0.084709942,-0.22887114,-0.038728589,-3.7369143,-0.24785092,-5.7076748,-2.8815823,0.066168586,-0.71081294,-0.26520018,-0.34948579,-0.85814944,0.047599413,-2.2196931,-0.12047477,-0.60065298,-1.6231267,-0.15771067,-0.72280031,-1.0076945,0.093914796,-0.5469276
-236.85825,0.99994621,0.12662149,5,31,0,237.9869,0.4399175,1.3069613,0.38084105,-2.8472714,0.05800237,-0.44205532,-1.5591384,-0.20366145,-0.41283164,-1.892266,-0.38401916,0.05750402,0.047896702,0.0011117415,-0.026490669,-0.52314785,-0.16636424,0.070955407,-0.032013692,-0.3956382,-0.3559014,-0.046343113,-0.01811642,-0.39585218,-0.61445426,-3.2540036,-0.69512796,-4.0337715,-0.11654865,-1.1145404,-1.4127215,0.062410208,0.013991205,-1.4787694,-0.38024015,-0.78669445,-0.15709977,0.012738221,-3.9889376,0.058416966,0.05178551,-1.6333734,-1.2857292,-1.4594742,-0.40704392,-0.727954,0.066509831,-1.8909826,-3.2566811,-0.10702608,-0.68168926,-2.0592535,0.051730088,-0.18185433,-3.632179,-0.53574653,-1.7641701,-1.236934,0.048857857,-0.48119118,0.067600045,-0.33290199,-0.36136098,0.099258265,0.027533204,0.060764298,-1.152159,-0.30868969,-0.0065306111,-1.2285302,-0.1605126,-2.2253351,-1.6638961,-0.36227133,-0.039772376,-0.89458137,-1.1495016,0.00032002145,-0.054543918,-1.4198747,-0.59497773,-0.1293844,-0.00029499016,-0.21553508,-1.0327343,-0.026855737,-1.3203431,0.054518525,-2.7627594,0.023622266,-0.0059907275,-0.49444596,-1.2465839,-0.952966,-1.1824546,-0.30510345,-1.224143,-1.0583458,-1.1743653,0.0087063185,-0.32250608,-1.7584028,0.021983608,0.070255415,0.069513605,-0.86746995,-1.3687574,-0.74719894,-0.682801,-0.35494544,-0.036246909,-1.6425847,-1.1988357,-0.46947633,-0.22525499,-1.4491252,-0.85036889,-0.37972635,-3.7911622,-0.064147174,0.10279423,-0.23009926,-0.18156888,-0.84020663,-1.0219122,-0.84559719,-0.89668158,-0.12127208,-0.67259132,-2.7608841,-0.026136232,-0.2699167,-1.6181971,-3.5804085,-0.14953539,-1.4573487,-0.16355843,-1.0048631,-0.00040996429,0.077051021,-1.4076398,-1.5045517,0.071711654,-0.068548824,-0.57995009,0.080943217,-0.59546337,0.054006142,-0.063031281,-0.42245349,-0.20366798,-0.59033019,-0.11332895,-0.27315625,-0.016257325,-2.5654189,-2.2119458,0.031609094,-1.5048016,0.050881769,-0.7632804,-1.2899803,-0.3083493,-1.8138769,0.051323456,-0.19151107,-0.021324213,0.04967814,-2.5023133,-1.4821499,-0.11354639,-3.5144256,-0.46793592,-0.89010482,-0.35274472,-0.97188319,-0.61307179,0.024791642,-3.1875828,-0.66971961,-0.11599841,-0.030923155,-1.2424772,-1.5555923,-1.8429691,-0.15247838,-0.85499232,-0.26937256,-0.11367923,-0.010254701,-1.2980364,-2.5879361,0.0047583946,-0.21260757,0.016734909,0.015982725,-0.31100769,-0.070427999,-0.76048612,-0.27161227,-2.4236525,0.00048281709,0.098083495,-0.10567154,0.084350576,-1.9481762,0.042489037,-0.87872793,-1.2602413,-0.62989062,-0.76024642,-1.4975813,-0.32872178,-0.96337285,-1.2493253,0.032626996,-2.4682696,-0.18956758,-0.85588549,-5.3013624,-0.27603123,0.076893795,-0.59965927,0.063055738,-1.2095287,-0.8925989,-0.76255771,0.0029164592,0.097655146,-0.57847588,-0.6380419,0.0046719026,-1.7925749,-0.23829087,-0.14000365,-0.25004068,-0.34740343,0.095173585,-0.89727636,-4.5996318,-1.2249984,-0.19260865,0.098333258,-0.44649556,-1.4751091,-1.6286449,-2.0519974,-1.2249077,0.087672242,0.080790543,-0.12581075,-0.024135996,-0.28199179,-1.4249589,0.067528777,0.095162107,-0.64619017,-0.071626846,-1.01058,0.059035908,-0.95298055,-0.050774711,-0.58735004,0.060823092,-1.1394319,-0.23846955,0.037369874,-0.12600595,-0.065268136,-0.66157002,-0.44586176,-0.15014112,0.030955639,-0.36075405,-0.11568665,0.026997543,-1.4815646,-0.57144487,-0.22574783,0.074834471,-1.359156,-0.075252511,0.0056417026,0.056147877,-0.29069953,-0.045088224,-3.6680775,-0.31094138,-5.5980213,-2.8293339,0.053473537,-0.70149329,-0.26511396,-0.34752907,-0.84593189,0.036502729,-2.180678,-0.12412131,-0.69345968,-1.6083535,-0.21021265,-0.71524938,-0.99519003,0.074341108,-0.54029288
-236.73083,0.99640793,0.12662149,5,31,0,238.25025,0.46096686,1.3189797,0.38011509,-2.3753908,0.092978143,-0.44345913,-1.5254308,-0.21605045,-0.40846908,-1.8284928,-0.3898046,0.040929076,0.026778936,-0.011664091,-0.03824135,-0.52479148,-0.18631124,0.061253892,-0.036421853,-0.42923869,-0.35563234,-0.05508635,-0.042577259,-0.412089,-0.60535392,-3.244294,-0.69004117,-3.9537192,-0.12505776,-1.1036014,-1.3965824,0.047176952,-0.011216756,-1.491483,-0.37644096,-0.78585413,-0.18252423,-0.012794235,-3.9650013,0.028689467,0.056033833,-1.639868,-1.2812576,-1.453486,-0.41168072,-0.72709739,0.04791461,-1.8342147,-3.2566296,-0.12058628,-0.68102083,-2.0211837,0.038197529,-0.18725098,-3.4038214,-0.55512444,-1.7660744,-1.2388667,0.025229313,-0.48619937,0.053259753,-0.35112939,-0.34822843,0.098512681,0.020248325,0.032109151,-1.1162741,-0.32473096,-0.00038193508,-1.2375475,-0.17723521,-2.1844488,-1.6645284,-0.35486537,-0.065162587,-0.89645929,-1.1334742,-0.020909545,-0.064704327,-1.4211966,-0.59360441,-0.13350089,-0.0063477264,-0.23613659,-1.048592,-0.022549106,-1.3396061,0.035617782,-2.6641064,0.0069035797,-0.015667143,-0.49054067,-1.2551999,-0.92957303,-1.1461701,-0.30479819,-1.21308,-1.0543872,-1.1754778,-0.017297028,-0.36081039,-1.7365612,-0.0056657136,0.044817022,0.067926256,-0.83933408,-1.3686937,-0.74748058,-0.67543761,-0.34758724,-0.045022676,-1.5973912,-1.2125863,-0.45623134,-0.21580024,-1.3978539,-0.86686606,-0.37419549,-3.4606755,-0.05848783,0.10110735,-0.21669353,-0.21120879,-0.86781543,-0.98043462,-0.87447364,-0.85991269,-0.15431471,-0.70071088,-2.5647649,-0.014289673,-0.25168538,-1.568172,-3.6353196,-0.16335163,-1.4268177,-0.1675737,-0.9826794,-0.0374715,0.060610217,-1.3770028,-1.4769777,0.048985987,-0.085634748,-0.56853901,0.080671854,-0.58610885,0.05426608,-0.054850598,-0.43346643,-0.20151271,-0.6075863,-0.15626831,-0.261409,-0.019274745,-2.5541255,-2.2008459,0.0065953598,-1.4819717,0.037439963,-0.77555664,-1.3153811,-0.29426877,-1.8317417,0.049361504,-0.21069225,-0.020374808,0.053913039,-2.3663919,-1.4912515,-0.13304872,-3.3084242,-0.47486473,-0.8910637,-0.36163384,-0.97385825,-0.60063534,0.00055500789,-3.0840637,-0.65913888,-0.1552636,-0.05775439,-1.2387083,-1.5261637,-1.8497065,-0.14880039,-0.85516321,-0.27531701,-0.15203461,-0.023773102,-1.2725694,-2.5137791,-0.0017207222,-0.20729036,0.0088140164,-0.0051375095,-0.30504264,-0.097338421,-0.73495063,-0.29514563,-2.2977334,0.0062886528,0.096860282,-0.13629365,0.082198143,-1.8831089,0.0095531741,-0.88956915,-1.225439,-0.60792752,-0.73064536,-1.5366963,-0.31138658,-0.92634025,-1.2844992,0.031932757,-2.360204,-0.21455437,-0.85790558,-5.2470317,-0.27750381,0.059560824,-0.60002849,0.041552886,-1.2186209,-0.86961363,-0.76555171,-0.0029594486,0.094676131,-0.55648744,-0.66354169,-0.00020753662,-1.706843,-0.22161579,-0.14672966,-0.30187171,-0.36464175,0.088554774,-0.89907772,-4.2891654,-1.2075472,-0.19598086,0.092116144,-0.43385102,-1.4614226,-1.5946102,-2.0621677,-1.1859917,0.07457999,0.064286233,-0.14294815,-0.033723945,-0.2797045,-1.4069567,0.039732391,0.08747714,-0.65299697,-0.078151971,-1.0150275,0.031073361,-0.92595868,-0.056626119,-0.5865947,0.042329823,-1.1353024,-0.24655896,0.017103743,-0.13053755,-0.078539505,-0.65459158,-0.44910009,-0.15573529,0.01853889,-0.36330242,-0.12382443,0.01380849,-1.4640321,-0.570389,-0.23147117,0.064518586,-1.3200105,-0.078541179,-0.0097489793,0.036855933,-0.31919599,-0.054617392,-3.6042511,-0.34091142,-5.497624,-2.7870256,0.038797689,-0.69810452,-0.27000442,-0.35075988,-0.83991668,0.022850556,-2.1504451,-0.1322058,-0.72475147,-1.5586822,-0.24509698,-0.70413574,-0.97732209,0.052535063,-0.54340298
