# stan_version_major = 2
# stan_version_minor = 37
# stan_version_patch = 0
# model = rlddm_single_subject_model
# start_datetime = 2025-09-25 02:55:35 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 2000
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.999
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = dense_e
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /Users/jy4657/Desktop/Repositories/tst-stan/recovery_out/tmp_subject_5/tmpf63gvb0t/md9v7sro.json
# init = 2 (Default)
# random
#   seed = 2032
# output
#   file = /Users/jy4657/Desktop/Repositories/tst-stan/cmdstan_tmp/rlddm_single_subject-20250924225535_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.37.0
# stancflags = --filename-in-msg=rlddm_single_subject.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,a,t0,log_scaler,scaler,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46,log_lik.47,log_lik.48,log_lik.49,log_lik.50,log_lik.51,log_lik.52,log_lik.53,log_lik.54,log_lik.55,log_lik.56,log_lik.57,log_lik.58,log_lik.59,log_lik.60,log_lik.61,log_lik.62,log_lik.63,log_lik.64,log_lik.65,log_lik.66,log_lik.67,log_lik.68,log_lik.69,log_lik.70,log_lik.71,log_lik.72,log_lik.73,log_lik.74,log_lik.75,log_lik.76,log_lik.77,log_lik.78,log_lik.79,log_lik.80,log_lik.81,log_lik.82,log_lik.83,log_lik.84,log_lik.85,log_lik.86,log_lik.87,log_lik.88,log_lik.89,log_lik.90,log_lik.91,log_lik.92,log_lik.93,log_lik.94,log_lik.95,log_lik.96,log_lik.97,log_lik.98,log_lik.99,log_lik.100,log_lik.101,log_lik.102,log_lik.103,log_lik.104,log_lik.105,log_lik.106,log_lik.107,log_lik.108,log_lik.109,log_lik.110,log_lik.111,log_lik.112,log_lik.113,log_lik.114,log_lik.115,log_lik.116,log_lik.117,log_lik.118,log_lik.119,log_lik.120,log_lik.121,log_lik.122,log_lik.123,log_lik.124,log_lik.125,log_lik.126,log_lik.127,log_lik.128,log_lik.129,log_lik.130,log_lik.131,log_lik.132,log_lik.133,log_lik.134,log_lik.135,log_lik.136,log_lik.137,log_lik.138,log_lik.139,log_lik.140,log_lik.141,log_lik.142,log_lik.143,log_lik.144,log_lik.145,log_lik.146,log_lik.147,log_lik.148,log_lik.149,log_lik.150,log_lik.151,log_lik.152,log_lik.153,log_lik.154,log_lik.155,log_lik.156,log_lik.157,log_lik.158,log_lik.159,log_lik.160,log_lik.161,log_lik.162,log_lik.163,log_lik.164,log_lik.165,log_lik.166,log_lik.167,log_lik.168,log_lik.169,log_lik.170,log_lik.171,log_lik.172,log_lik.173,log_lik.174,log_lik.175,log_lik.176,log_lik.177,log_lik.178,log_lik.179,log_lik.180,log_lik.181,log_lik.182,log_lik.183,log_lik.184,log_lik.185,log_lik.186,log_lik.187,log_lik.188,log_lik.189,log_lik.190,log_lik.191,log_lik.192,log_lik.193,log_lik.194,log_lik.195,log_lik.196,log_lik.197,log_lik.198,log_lik.199,log_lik.200,log_lik.201,log_lik.202,log_lik.203,log_lik.204,log_lik.205,log_lik.206,log_lik.207,log_lik.208,log_lik.209,log_lik.210,log_lik.211,log_lik.212,log_lik.213,log_lik.214,log_lik.215,log_lik.216,log_lik.217,log_lik.218,log_lik.219,log_lik.220,log_lik.221,log_lik.222,log_lik.223,log_lik.224,log_lik.225,log_lik.226,log_lik.227,log_lik.228,log_lik.229,log_lik.230,log_lik.231,log_lik.232,log_lik.233,log_lik.234,log_lik.235,log_lik.236,log_lik.237,log_lik.238,log_lik.239,log_lik.240,log_lik.241,log_lik.242,log_lik.243,log_lik.244,log_lik.245,log_lik.246,log_lik.247,log_lik.248,log_lik.249,log_lik.250,log_lik.251,log_lik.252,log_lik.253,log_lik.254,log_lik.255,log_lik.256,log_lik.257,log_lik.258,log_lik.259,log_lik.260,log_lik.261,log_lik.262,log_lik.263,log_lik.264,log_lik.265,log_lik.266,log_lik.267,log_lik.268,log_lik.269,log_lik.270,log_lik.271,log_lik.272,log_lik.273,log_lik.274,log_lik.275,log_lik.276,log_lik.277,log_lik.278,log_lik.279,log_lik.280,log_lik.281,log_lik.282,log_lik.283,log_lik.284,log_lik.285,log_lik.286,log_lik.287,log_lik.288,log_lik.289,log_lik.290,log_lik.291,log_lik.292,log_lik.293,log_lik.294,log_lik.295,log_lik.296,log_lik.297,log_lik.298,log_lik.299,log_lik.300
# Adaptation terminated
# Step size = 0.196851
# Elements of inverse mass matrix:
# 0.325063, 0.00411181, -0.0125514, -0.00566929
# 0.00411181, 0.00490671, -0.0231277, -0.000454466
# -0.0125514, -0.0231277, 1.35535, 0.0305702
# -0.00566929, -0.000454466, 0.0305702, 0.0646558
-236.86697,0.99999998,0.19685097,4,31,0,237.54715,0.44574452,1.3178268,0.38169738,-2.3380659,0.096514124,-0.43904021,-1.522878,-0.21135705,-0.40399212,-1.8263984,-0.38553847,0.03886017,0.024250179,-0.0073937704,-0.033943604,-0.52095333,-0.18179378,0.064953259,-0.031284265,-0.46051514,-0.35051098,-0.050111036,-0.038534328,-0.40785903,-0.60061543,-3.2521166,-0.68563955,-3.9498909,-0.12039728,-1.1003552,-1.3939884,0.050562303,-0.0073455885,-1.4890935,-0.37142978,-0.78267106,-0.19835688,-0.018167262,-3.9795593,0.030648115,0.060848883,-1.6407682,-1.2802962,-1.4532114,-0.40799628,-0.72410283,0.049997658,-1.834628,-3.2531667,-0.11582958,-0.67695826,-2.0189059,0.041882356,-0.18233959,-3.4070869,-0.5510441,-1.7660008,-1.2370144,0.027759266,-0.48254455,0.050942214,-0.34622035,-0.34377989,0.10118539,0.024669317,0.031437036,-1.1124694,-0.35118754,0.0046326541,-1.3315443,-0.17346398,-2.1881839,-1.6596239,-0.35086617,-0.073619974,-0.89204097,-1.1295288,-0.016828877,-0.060207226,-1.4180425,-0.58952396,-0.12868736,-0.0016411882,-0.23166905,-1.0458589,-0.017351455,-1.3379772,0.033722427,-2.6563702,0.0025189678,-0.012416592,-0.48533377,-1.253467,-0.92515031,-1.1417307,-0.29919249,-1.2086163,-1.0503811,-1.1724795,-0.022512436,-0.38627276,-1.7350245,-0.0098978885,0.047669028,0.070982374,-0.83592195,-1.366167,-0.74295061,-0.67101775,-0.34285978,-0.04013029,-1.5946445,-1.2100588,-0.45154956,-0.21053856,-1.3935616,-0.8641541,-0.36877677,-3.4475694,-0.053037984,0.10210212,-0.21112397,-0.20772919,-0.86606715,-0.97502778,-0.87317059,-0.85425142,-0.15146899,-0.6989635,-2.5520296,-0.0079240228,-0.24522653,-1.5605715,-3.6743065,-0.16032214,-1.4279175,-0.16164896,-0.9780885,-0.043028654,0.060818834,-1.3721116,-1.4772118,0.048892333,-0.081947921,-0.56316297,0.08494267,-0.58096873,0.05888779,-0.049383065,-0.43004114,-0.19586477,-0.60425659,-0.1689887,-0.25575869,-0.013651111,-2.5597709,-2.2044711,0.0024271669,-1.4776323,0.041548601,-0.77203534,-1.3137699,-0.28902217,-1.8370208,0.055288503,-0.20805764,-0.013854213,0.058761945,-2.3612183,-1.4932072,-0.13015374,-3.2823257,-0.4720468,-0.88947317,-0.35857694,-0.96813683,-0.59763565,0.0050531058,-3.0868341,-0.65508036,-0.16798273,-0.053702728,-1.2363389,-1.5254266,-1.8455937,-0.14434223,-0.85141266,-0.27058551,-0.16423695,-0.03156194,-1.2690233,-2.5159274,0.0022195165,-0.20266675,0.013932274,-0.0020979588,-0.29930722,-0.092965938,-0.73072715,-0.29084978,-2.2940403,0.011287416,0.097034602,-0.13259676,0.081109966,-1.8751141,0.0063890711,-0.88871275,-1.2190085,-0.602168,-0.72556758,-1.5372168,-0.30576628,-0.92142722,-1.2846668,0.036240513,-2.3571955,-0.21118823,-0.85619375,-5.1423751,-0.27349439,0.061131971,-0.59555938,0.040618311,-1.2157331,-0.86567054,-0.76230096,0.002009459,0.097650371,-0.55147481,-0.6609072,-0.0068202814,-1.7006638,-0.21550519,-0.16225476,-0.3231478,-0.36031304,0.092437785,-0.89600131,-4.272448,-1.2039963,-0.19079745,0.093643203,-0.42901076,-1.459942,-1.5941491,-2.0568038,-1.1836646,0.075825272,0.066137111,-0.13818502,-0.028548418,-0.27421365,-1.4031906,0.041138051,0.088495486,-0.64942794,-0.074229604,-1.0105687,0.033651624,-0.92287167,-0.052024606,-0.58267111,0.044940706,-1.1334352,-0.24221136,0.013835264,-0.12514,-0.074582273,-0.64965018,-0.44524512,-0.15042421,0.022925099,-0.35854274,-0.11899927,0.017833639,-1.46143,-0.56612707,-0.22677728,0.062915055,-1.3170977,-0.073392841,-0.0059924094,0.035031438,-0.34338433,-0.049748978,-3.60146,-0.36651004,-5.4924791,-2.7863628,0.042361871,-0.69412154,-0.26534731,-0.34621234,-0.83619913,0.026742356,-2.1490459,-0.12747962,-0.77614744,-1.5561643,-0.26431732,-0.69962719,-0.97316353,0.053248752,-0.53970348
-237.81739,0.97870345,0.19685097,3,15,0,240.25873,0.56377977,1.3182485,0.38496754,-2.5123413,0.081078187,-0.42979934,-1.5109716,-0.20357426,-0.39389124,-1.8113004,-0.37495512,0.023911724,0.0097668119,-0.00077110947,-0.025797154,-0.5089365,-0.17435359,0.065721545,-0.02703113,-0.54026308,-0.34486081,-0.044897166,-0.03275538,-0.39922537,-0.59487572,-3.1964859,-0.6787519,-3.9719292,-0.11178362,-1.0905518,-1.3833033,0.053087673,-0.0037474297,-1.4824081,-0.36512364,-0.76899418,-0.24820911,-0.034383956,-3.8967313,0.030825649,0.062734284,-1.6111946,-1.2582533,-1.4288093,-0.39429554,-0.70918668,0.05587276,-1.8053195,-3.264195,-0.10791276,-0.66714711,-2.0143319,0.045323403,-0.17503986,-3.3435619,-0.54104054,-1.7433944,-1.2197681,0.035010828,-0.46886934,0.046880271,-0.34149527,-0.33216041,0.10317518,0.02886678,0.030047532,-1.1042169,-0.42461057,0.011205128,-1.5751646,-0.15938049,-2.1380394,-1.6712145,-0.3366752,-0.10306843,-0.88924807,-1.1242001,-0.01218395,-0.052181487,-1.4148779,-0.57977402,-0.12068153,0.0032499544,-0.22350964,-1.0344112,-0.01145107,-1.3235933,0.017417424,-2.6889458,-0.021949732,0.0028283295,-0.48134211,-1.2391536,-0.91852114,-1.1367376,-0.29591815,-1.2069304,-1.0439674,-1.1655309,-0.04185653,-0.45932255,-1.7219155,-0.025300443,0.039389713,0.080151997,-0.82327428,-1.3529528,-0.74033197,-0.66478104,-0.33346071,-0.035091774,-1.5832344,-1.1995642,-0.44246535,-0.20323551,-1.3905399,-0.85086088,-0.36504959,-3.4803107,-0.047461339,0.093402687,-0.20527677,-0.19432771,-0.84680955,-0.97544744,-0.85147706,-0.85498641,-0.13537318,-0.67824523,-2.6001283,-0.0079144547,-0.24474033,-1.5813574,-3.4699905,-0.1425247,-1.393062,-0.15940715,-0.97165285,-0.058545211,0.049904927,-1.3736571,-1.447579,0.049420078,-0.069528918,-0.56071523,0.085849602,-0.57704881,0.062712722,-0.043294811,-0.41504593,-0.19218855,-0.59216564,-0.20136628,-0.25066876,-0.012638202,-2.5128452,-2.1655707,-0.0090030665,-1.4773696,0.043465388,-0.76303774,-1.2999008,-0.28154383,-1.7850074,0.049730372,-0.18773565,-0.017430587,0.059442535,-2.3632551,-1.4574489,-0.11233896,-3.4266606,-0.45401371,-0.86818056,-0.341108,-0.97377625,-0.58021101,0.0045804494,-3.0668393,-0.64305742,-0.20545914,-0.048045871,-1.2232326,-1.5009641,-1.8544181,-0.13228486,-0.8417283,-0.2618191,-0.20420537,-0.055826753,-1.2630486,-2.4750684,0.013190201,-0.19122312,0.014934689,0.0087636841,-0.29699059,-0.0830712,-0.7257235,-0.28209009,-2.2889404,0.017734972,0.086255155,-0.1214753,0.066362313,-1.9018248,0.0077045119,-0.86262774,-1.2296181,-0.60054613,-0.72328126,-1.5134489,-0.30089356,-0.91813527,-1.2592224,0.043519544,-2.3503198,-0.19666427,-0.83481727,-6.0036263,-0.26113421,0.063992748,-0.58711222,0.029973574,-1.2091437,-0.85498383,-0.74943584,0.0056367544,0.097269856,-0.54513886,-0.6449238,-0.03750043,-1.7106559,-0.21298204,-0.21768362,-0.37084113,-0.35181959,0.084067333,-0.8827723,-4.3658718,-1.1975421,-0.18495453,0.091254102,-0.42033174,-1.4433145,-1.5685001,-2.0722042,-1.1685682,0.071927578,0.064458584,-0.13326668,-0.024945246,-0.26975267,-1.3982703,0.03127578,0.088827261,-0.63654958,-0.059840826,-1.0101694,0.032020655,-0.90782765,-0.044169537,-0.5718978,0.050446557,-1.1152938,-0.23118918,-0.0049295277,-0.12073012,-0.063059953,-0.64557107,-0.43277781,-0.14514754,0.026311725,-0.35053091,-0.11129124,0.023362056,-1.4512795,-0.55699714,-0.217927,0.054531539,-1.3042463,-0.068030082,0.0029756602,0.02026174,-0.41282002,-0.04391811,-3.6106885,-0.43701741,-5.5249805,-2.777064,0.046122635,-0.68463817,-0.25637583,-0.33704633,-0.82655467,0.031743204,-2.1384741,-0.11920089,-0.909701,-1.5423868,-0.31447334,-0.69348785,-0.96766917,0.05357584,-0.52684699
-238.33536,0.99821685,0.19685097,4,15,0,239.22646,0.61721927,1.3126408,0.3850711,-2.7747953,0.062362243,-0.42966399,-1.5261246,-0.19856104,-0.39611481,-1.8383681,-0.37239181,0.032197782,0.020618171,0.005051359,-0.020448995,-0.50824931,-0.16595983,0.069602285,-0.026097255,-0.51756412,-0.34620582,-0.041560507,-0.021978964,-0.39259824,-0.60054511,-3.1924606,-0.68210971,-4.0159258,-0.10819177,-1.0961623,-1.3912628,0.060183416,0.0073156839,-1.4786059,-0.36816976,-0.76904134,-0.23312743,-0.020337147,-3.8968627,0.044603472,0.060212707,-1.6047365,-1.2586778,-1.4295461,-0.39200746,-0.70932675,0.065272329,-1.8268231,-3.2636313,-0.10158591,-0.66756203,-2.0346824,0.051325532,-0.17332484,-3.4206537,-0.53242606,-1.7398917,-1.2174848,0.047229513,-0.46613307,0.056139959,-0.33437322,-0.33829233,0.10382943,0.031432148,0.045403412,-1.1210947,-0.41144599,0.0078652992,-1.5545369,-0.15065775,-2.1461148,-1.6767395,-0.33949288,-0.08889171,-0.89083428,-1.1331058,-0.0031653559,-0.047787443,-1.4173319,-0.58091751,-0.11948062,0.0051474544,-0.21456573,-1.0275688,-0.013991328,-1.3149103,0.026711767,-2.7460358,-0.013490322,0.0091435247,-0.48466186,-1.2361287,-0.92954496,-1.1539398,-0.29755775,-1.2135584,-1.0462386,-1.1675256,-0.027590906,-0.43669638,-1.7323426,-0.010423854,0.050128364,0.081645125,-0.83622308,-1.3517213,-0.74312527,-0.6696673,-0.33702446,-0.031807778,-1.6028446,-1.1942011,-0.44885624,-0.20828376,-1.4153505,-0.8435168,-0.36936733,-3.6270919,-0.050739359,0.094411766,-0.21249622,-0.18000861,-0.83291564,-0.99689853,-0.83672602,-0.87428364,-0.11895258,-0.66398861,-2.7015527,-0.015171896,-0.25520182,-1.6115602,-3.4232344,-0.13512548,-1.4024973,-0.15878705,-0.9815751,-0.039727329,0.057987097,-1.3905142,-1.4561054,0.06134218,-0.060940579,-0.56811232,0.085732506,-0.5830263,0.062474171,-0.047734255,-0.40917944,-0.19485291,-0.58453833,-0.17792682,-0.2571097,-0.012817602,-2.5124804,-2.1665687,0.0046213486,-1.4899215,0.049407943,-0.75851757,-1.2882908,-0.2887592,-1.770446,0.048392851,-0.1771468,-0.020321185,0.056572575,-2.425464,-1.4495426,-0.10191371,-3.5658589,-0.44997782,-0.86649818,-0.33620896,-0.97636966,-0.58492598,0.014880755,-3.1184198,-0.64706056,-0.18447027,-0.03619735,-1.2247343,-1.5106438,-1.856684,-0.13367922,-0.84173358,-0.25940275,-0.18387785,-0.046798277,-1.2766367,-2.4985629,0.017274227,-0.19344581,0.017368359,0.019651747,-0.30185928,-0.070785959,-0.73834089,-0.27157645,-2.3457567,0.014597168,0.087013391,-0.1068017,0.067769381,-1.9409188,0.026093156,-0.85524424,-1.2505552,-0.61216222,-0.73840392,-1.4937549,-0.31025258,-0.93676075,-1.2410578,0.043981601,-2.3974668,-0.18484875,-0.8325189,-6.2489725,-0.26090526,0.072468793,-0.58715056,0.041037765,-1.2071131,-0.86514607,-0.7477862,0.0073881973,0.098859246,-0.55626554,-0.63245266,-0.033889588,-1.754139,-0.22245848,-0.2118217,-0.34090464,-0.34460683,0.085557692,-0.88142246,-4.5482856,-1.2071322,-0.18451668,0.094887841,-0.42643796,-1.4491663,-1.5802118,-2.0747693,-1.1852898,0.078023373,0.072328962,-0.12692728,-0.021157991,-0.27222422,-1.4075976,0.043589257,0.093532202,-0.63277345,-0.05533793,-1.010996,0.044557221,-0.91928206,-0.042073448,-0.57262582,0.059711884,-1.1161404,-0.22740203,0.0053905744,-0.11980908,-0.056512671,-0.65030854,-0.43131478,-0.14345397,0.031706455,-0.34996346,-0.10797171,0.029339627,-1.45993,-0.55802045,-0.215748,0.060990096,-1.3212522,-0.067623572,0.010554158,0.029849285,-0.39458496,-0.040036792,-3.6434416,-0.41755502,-5.5766976,-2.7973199,0.052918036,-0.68673425,-0.25459552,-0.33605173,-0.82986804,0.037969503,-2.1530198,-0.11587341,-0.88521644,-1.5637386,-0.29318253,-0.70006684,-0.97758883,0.064884812,-0.52518361
