# stan_version_major = 2
# stan_version_minor = 37
# stan_version_patch = 0
# model = rlddm_single_subject_model
# start_datetime = 2025-09-25 02:55:37 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 2000
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.999
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = dense_e
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /Users/jy4657/Desktop/Repositories/tst-stan/recovery_out/tmp_subject_6/tmpkskuk781/m408gg0v.json
# init = 2 (Default)
# random
#   seed = 2033
# output
#   file = /Users/jy4657/Desktop/Repositories/tst-stan/cmdstan_tmp/rlddm_single_subject-20250924225537_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.37.0
# stancflags = --filename-in-msg=rlddm_single_subject.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,a,t0,log_scaler,scaler,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46,log_lik.47,log_lik.48,log_lik.49,log_lik.50,log_lik.51,log_lik.52,log_lik.53,log_lik.54,log_lik.55,log_lik.56,log_lik.57,log_lik.58,log_lik.59,log_lik.60,log_lik.61,log_lik.62,log_lik.63,log_lik.64,log_lik.65,log_lik.66,log_lik.67,log_lik.68,log_lik.69,log_lik.70,log_lik.71,log_lik.72,log_lik.73,log_lik.74,log_lik.75,log_lik.76,log_lik.77,log_lik.78,log_lik.79,log_lik.80,log_lik.81,log_lik.82,log_lik.83,log_lik.84,log_lik.85,log_lik.86,log_lik.87,log_lik.88,log_lik.89,log_lik.90,log_lik.91,log_lik.92,log_lik.93,log_lik.94,log_lik.95,log_lik.96,log_lik.97,log_lik.98,log_lik.99,log_lik.100,log_lik.101,log_lik.102,log_lik.103,log_lik.104,log_lik.105,log_lik.106,log_lik.107,log_lik.108,log_lik.109,log_lik.110,log_lik.111,log_lik.112,log_lik.113,log_lik.114,log_lik.115,log_lik.116,log_lik.117,log_lik.118,log_lik.119,log_lik.120,log_lik.121,log_lik.122,log_lik.123,log_lik.124,log_lik.125,log_lik.126,log_lik.127,log_lik.128,log_lik.129,log_lik.130,log_lik.131,log_lik.132,log_lik.133,log_lik.134,log_lik.135,log_lik.136,log_lik.137,log_lik.138,log_lik.139,log_lik.140,log_lik.141,log_lik.142,log_lik.143,log_lik.144,log_lik.145,log_lik.146,log_lik.147,log_lik.148,log_lik.149,log_lik.150,log_lik.151,log_lik.152,log_lik.153,log_lik.154,log_lik.155,log_lik.156,log_lik.157,log_lik.158,log_lik.159,log_lik.160,log_lik.161,log_lik.162,log_lik.163,log_lik.164,log_lik.165,log_lik.166,log_lik.167,log_lik.168,log_lik.169,log_lik.170,log_lik.171,log_lik.172,log_lik.173,log_lik.174,log_lik.175,log_lik.176,log_lik.177,log_lik.178,log_lik.179,log_lik.180,log_lik.181,log_lik.182,log_lik.183,log_lik.184,log_lik.185,log_lik.186,log_lik.187,log_lik.188,log_lik.189,log_lik.190,log_lik.191,log_lik.192,log_lik.193,log_lik.194,log_lik.195,log_lik.196,log_lik.197,log_lik.198,log_lik.199,log_lik.200,log_lik.201,log_lik.202,log_lik.203,log_lik.204,log_lik.205,log_lik.206,log_lik.207,log_lik.208,log_lik.209,log_lik.210,log_lik.211,log_lik.212,log_lik.213,log_lik.214,log_lik.215,log_lik.216,log_lik.217,log_lik.218,log_lik.219,log_lik.220,log_lik.221,log_lik.222,log_lik.223,log_lik.224,log_lik.225,log_lik.226,log_lik.227,log_lik.228,log_lik.229,log_lik.230,log_lik.231,log_lik.232,log_lik.233,log_lik.234,log_lik.235,log_lik.236,log_lik.237,log_lik.238,log_lik.239,log_lik.240,log_lik.241,log_lik.242,log_lik.243,log_lik.244,log_lik.245,log_lik.246,log_lik.247,log_lik.248,log_lik.249,log_lik.250,log_lik.251,log_lik.252,log_lik.253,log_lik.254,log_lik.255,log_lik.256,log_lik.257,log_lik.258,log_lik.259,log_lik.260,log_lik.261,log_lik.262,log_lik.263,log_lik.264,log_lik.265,log_lik.266,log_lik.267,log_lik.268,log_lik.269,log_lik.270,log_lik.271,log_lik.272,log_lik.273,log_lik.274,log_lik.275,log_lik.276,log_lik.277,log_lik.278,log_lik.279,log_lik.280,log_lik.281,log_lik.282,log_lik.283,log_lik.284,log_lik.285,log_lik.286,log_lik.287,log_lik.288,log_lik.289,log_lik.290,log_lik.291,log_lik.292,log_lik.293,log_lik.294,log_lik.295,log_lik.296,log_lik.297,log_lik.298,log_lik.299,log_lik.300
# Adaptation terminated
# Step size = 0.0239066
# Elements of inverse mass matrix:
# 0.519851, 0.0239807, -0.060168, -0.0671225
# 0.0239807, 0.00515038, -0.0149462, 0.00522302
# -0.060168, -0.0149462, 0.159661, -0.0152809
# -0.0671225, 0.00522302, -0.0152809, 0.0437758
-222.53186,0.99999796,0.023906571,6,127,0,228.77469,0.25365985,1.3621031,0.2603141,-3.4647124,0.031282002,-1.143783,-0.43999058,-0.0026968514,-0.014706769,-0.12682355,-1.1193253,-0.21366045,-1.5193106,-1.5753159,-0.80166739,-0.67480027,-1.9739854,-0.0096137482,-0.26494203,-1.8668948,-0.0170545,-0.57985292,-0.35567589,-0.0082061731,-0.38186908,-0.032051385,-0.10828087,-0.77117897,-0.71253059,-0.19346269,-0.34320855,-0.10502159,-0.8837527,-0.43646548,-0.083694258,-0.013952508,-0.0040210144,-0.0068746258,-0.078698939,-0.53920314,-0.50057733,-0.011890162,-1.4514226,-0.3945152,-0.30660656,-0.93794169,-0.17436283,-0.08653595,-0.22985047,-0.52352423,-0.70102528,-1.5124531,-0.02615492,-0.16195425,-1.7294437,-1.2991329,-0.63583043,-0.27906527,-0.083580723,-2.0507829,-0.89687093,-0.11871287,-0.57828105,-0.03272721,-0.10242897,-0.27157346,-0.012456687,-0.10488074,-0.0029793975,-0.97744879,-2.1279728,-0.71960868,-0.83172946,-0.023068815,-0.010584415,-0.29243336,-1.2866704,-2.3858197,-1.0271954,-0.038566328,-1.6769084,-1.4609078,-0.31783975,-0.41887099,-1.1221209,-1.0431108,-0.83048399,-1.173604,-0.044852931,-0.70760972,-1.1370635,-0.28550835,-0.44279736,-0.17456492,-0.73523531,-0.17427861,-0.88046388,-1.2395915,-2.5608286,-0.56298736,-1.8523264,-0.20475399,-0.25152847,-0.021558601,-0.12525967,-1.1743193,-1.2739593,-0.75398736,-1.1164502,-0.12683079,-0.15420841,-0.0011711021,-0.10986287,-0.88308965,-1.4570673,-0.82838212,-0.0065162909,-1.6574895,-2.939199,-0.19563196,-1.4216544,-1.5786294,-3.4539037,-0.083708126,-0.065218561,-0.85865893,-1.120535,-0.18586405,-0.34983237,-0.060549274,-0.40699162,-2.6806858,-0.25426938,-0.0092262742,-0.083741212,-0.70520047,-0.084449637,-0.030440521,-0.2553476,-2.2269773,-1.3626112,-0.69539532,-1.2179207,-1.1184066,-0.23534957,-0.082497358,-1.4798303,-0.52632966,-0.12037912,-0.14556563,-0.17723528,-0.69404757,-0.33402331,-0.13164234,-1.0096008,-1.1227618,-0.40518732,-0.022848915,-0.9674755,-0.014796862,-0.25288894,-0.062812178,-2.6592624,-5.5234746,-0.12088724,-0.8152087,-0.079821902,0.0046794064,-1.4554188,-1.7823832,-0.059944752,-1.0598872,-0.11419932,-2.8164144,-0.51855467,-0.017453094,-0.011002038,-0.20094429,-3.5194496,-0.031730302,-1.2964918,-0.1791083,-0.36744821,-1.241088,-0.060493252,-0.75860045,-0.07030578,-0.074285732,-0.038740811,-0.67498886,-4.4242987,-0.25167404,-1.5980397,-1.0511181,-0.44879778,-0.31646893,-0.21795715,-0.21385254,-0.17529312,-1.2125711,-0.10032194,-0.0069389047,-0.65413663,-0.25067944,-0.050222105,-0.56233393,-1.0702628,-0.017807792,-0.11147992,-0.37234352,-0.51700719,-0.65006151,-0.056751005,-0.97464006,-0.010284979,-0.21253698,-1.535867,-0.55006629,-0.074819039,-0.52801935,-3.1439837,-2.0855064,-0.36085909,-0.021162281,-1.2418359,-1.6230801,-0.49807901,-0.014460542,-1.9212363,-0.50283551,-0.13866698,-1.6422947,-0.015469588,-0.2014169,-0.37762079,-0.14498224,-0.83548752,-1.0617829,-0.64958126,-0.10172101,-0.14355625,-0.55865209,-0.34705137,-0.078585367,-0.029493205,-0.77332612,-0.14318055,-0.025147183,-0.0011151659,-1.4576401,-0.085118862,-0.065879672,-0.017356286,-0.3553177,-0.096094233,-2.0859778,-0.18957951,-0.13650019,-0.80203508,-0.59814647,-3.1400704,-2.2846146,-0.66439104,-1.9148747,-0.30266346,-0.29186767,-0.56518904,-0.022994904,-1.1986657,-0.25791484,-1.4264108,-2.1228863,-1.6554162,-0.47243814,-0.19255769,-0.21980575,-0.91959451,-0.35574631,-0.20258537,-0.020956382,-0.48287962,-0.18964721,-0.32054993,-0.63095257,-0.72966014,-0.06401305,-0.58022801,-0.050440264,-0.19512395,-1.2193664,-0.041391726,-1.2501319,-0.087450331,-4.3631146,-0.0067172393,-0.27330919,-0.061425958,-0.037892659,-0.0096379737,-2.6415788,-0.4856063,-0.21550119,-0.19539863,-0.12318696,-1.0522887
-222.91733,0.99998702,0.023906571,7,127,0,223.4201,0.2960935,1.3611783,0.26019974,-3.5593691,0.028456772,-1.1449997,-0.44005767,-0.0013545434,-0.013608987,-0.12373638,-1.1086147,-0.21309375,-1.5214437,-1.5783075,-0.80218025,-0.67527483,-1.9760373,-0.0076886404,-0.26097299,-1.8701306,-0.014941698,-0.57358292,-0.35577998,-0.0067755684,-0.38231701,-0.031583592,-0.10515765,-0.76323561,-0.70580193,-0.19377136,-0.34301326,-0.10476978,-0.88426594,-0.43662355,-0.080816133,-0.013154293,-0.0025973306,-0.0054425982,-0.077882537,-0.53953755,-0.50085613,-0.01021259,-1.438531,-0.39438275,-0.30282673,-0.93834419,-0.17400938,-0.086013442,-0.22943421,-0.52387595,-0.701311,-1.4990784,-0.025439382,-0.15841626,-1.7307404,-1.3011478,-0.63601308,-0.27867598,-0.08262169,-2.0512039,-0.89715339,-0.11880544,-0.5714838,-0.029837292,-0.10010101,-0.27193168,-0.011085863,-0.10464463,-0.0012438442,-0.97844944,-2.130715,-0.72030468,-0.83237813,-0.021268212,-0.0089936086,-0.29234077,-1.2881833,-2.3892565,-1.0281716,-0.037892254,-1.6785312,-1.4623817,-0.31778898,-0.41919895,-1.1234441,-1.0440435,-0.8309192,-1.1749252,-0.042865852,-0.70838826,-1.1380413,-0.28521662,-0.43755905,-0.17478633,-0.72818519,-0.17454681,-0.88195278,-1.2401898,-2.5611909,-0.56302329,-1.8533263,-0.20423079,-0.24676025,-0.019246088,-0.12506902,-1.1758101,-1.2752506,-0.75470989,-1.1175632,-0.12608512,-0.15143383,0.00041490011,-0.10946908,-0.88441163,-1.4584132,-0.82870958,-0.005812303,-1.6575878,-2.9400808,-0.19534718,-1.4234535,-1.5805447,-3.4644875,-0.083491813,-0.062426984,-0.85920652,-1.1218021,-0.18207584,-0.3500407,-0.058285995,-0.40720259,-2.6842081,-0.25461191,-0.0079714934,-0.083804015,-0.69843326,-0.083300476,-0.030286306,-0.25556069,-2.230955,-1.3637159,-0.6957233,-1.2196424,-1.1191973,-0.23497055,-0.081671623,-1.4822118,-0.52760317,-0.11811867,-0.14139798,-0.17472397,-0.69551785,-0.33306051,-0.13261593,-1.0090885,-1.1251586,-0.40066574,-0.020517516,-0.96914794,-0.01298038,-0.25143501,-0.060814668,-2.6596456,-5.4867294,-0.12003575,-0.81654721,-0.079773809,0.005040995,-1.4584672,-1.7823444,-0.058533171,-1.0626783,-0.11240316,-2.8321257,-0.51731541,-0.016998475,-0.010595031,-0.20156594,-3.5350331,-0.029905012,-1.2985634,-0.17923445,-0.3683129,-1.2408518,-0.058887587,-0.7599198,-0.068955457,-0.071011892,-0.037343288,-0.66839053,-4.403352,-0.25219454,-1.598552,-1.0529887,-0.44960006,-0.31643119,-0.21769603,-0.21386283,-0.17171271,-1.2142641,-0.10031846,-0.00502499,-0.64805586,-0.24970825,-0.050383845,-0.56219475,-1.0726188,-0.016078662,-0.10766882,-0.37165816,-0.51181311,-0.64983035,-0.055489593,-0.9764273,-0.0089420592,-0.21352658,-1.5346186,-0.55186138,-0.075445245,-0.52951319,-3.1611171,-2.0841517,-0.36195763,-0.018541268,-1.2410422,-1.6223061,-0.49914047,-0.013691848,-1.9241901,-0.49696907,-0.13870888,-1.6281942,-0.01370236,-0.20166974,-0.37732633,-0.14421446,-0.83565096,-1.0636901,-0.650763,-0.10066372,-0.14128828,-0.55978404,-0.34299394,-0.07861659,-0.026999941,-0.77339422,-0.14232803,-0.024020827,-0.0004131943,-1.4587314,-0.084731185,-0.063668828,-0.016504541,-0.35521376,-0.095187255,-2.0902695,-0.18891418,-0.1358639,-0.803179,-0.59853785,-3.1474299,-2.2858439,-0.6634194,-1.9119162,-0.30386347,-0.29103714,-0.56635832,-0.022082772,-1.1996656,-0.25772101,-1.4272489,-2.1245659,-1.6578849,-0.47167637,-0.19133764,-0.22071738,-0.92212578,-0.35700048,-0.20357367,-0.021283989,-0.48433524,-0.18501423,-0.32173702,-0.63012773,-0.72885063,-0.064606786,-0.5728005,-0.0508139,-0.1938561,-1.2226653,-0.040232743,-1.2497448,-0.083874455,-4.3523461,-0.0053701176,-0.27391346,-0.060154142,-0.036358982,-0.00785486,-2.6496321,-0.4856323,-0.21191688,-0.19572755,-0.12219355,-1.0524152
-223.22057,0.99963601,0.023906571,6,127,0,224.18239,0.35187638,1.3543312,0.26057296,-3.6658507,0.025582398,-1.1508685,-0.43850775,0.0081696449,-0.0051533298,-0.10919479,-1.0889972,-0.20840536,-1.5317728,-1.5902509,-0.80419418,-0.67612572,-1.9897862,0.0039204416,-0.24489498,-1.8846739,-0.0029945005,-0.55523725,-0.35331051,0.0032667777,-0.38079215,-0.024402972,-0.09061186,-0.7440298,-0.68767169,-0.18991873,-0.34034319,-0.098985986,-0.88694935,-0.4352414,-0.066649726,-0.0048865443,0.0077682434,0.0051281271,-0.071330456,-0.53900413,-0.49989689,0.00087092852,-1.4199802,-0.3919952,-0.28696454,-0.94139196,-0.16916065,-0.079656355,-0.22521235,-0.52333632,-0.70232436,-1.4809467,-0.017743994,-0.14309943,-1.7416823,-1.3093704,-0.63628505,-0.27496976,-0.075724953,-2.0638973,-0.89982905,-0.1137827,-0.55265297,-0.016596631,-0.086428151,-0.26886381,-0.00017598199,-0.098805408,0.009620234,-0.98241423,-2.147308,-0.72205976,-0.83478033,-0.009558617,0.0020579855,-0.28911396,-1.2956933,-2.4084627,-1.0327289,-0.030472682,-1.6894617,-1.4712767,-0.31492834,-0.41770453,-1.1292195,-1.0487602,-0.83319141,-1.1812832,-0.030492156,-0.70985484,-1.1436833,-0.28153477,-0.42020143,-0.17082086,-0.70990908,-0.17050195,-0.88583848,-1.2462696,-2.5786951,-0.56258849,-1.8652914,-0.19967754,-0.2298129,-0.0070480492,-0.11959731,-1.1819526,-1.2826044,-0.75650381,-1.1232267,-0.12036675,-0.13690798,0.011000069,-0.10352922,-0.88807789,-1.4671809,-0.83069864,0.0031652129,-1.66638,-2.9607869,-0.19091637,-1.432232,-1.5908902,-3.5042953,-0.077450292,-0.048711164,-0.86191571,-1.127664,-0.16640679,-0.34760145,-0.045318989,-0.40565305,-2.7053056,-0.25173106,0.0027665441,-0.078334605,-0.6802824,-0.076194222,-0.023344467,-0.25241454,-2.2486692,-1.3713824,-0.69662969,-1.2266876,-1.1243707,-0.23072295,-0.074762608,-1.4923007,-0.52839351,-0.10455181,-0.1254278,-0.16051522,-0.69783724,-0.32923813,-0.12878674,-1.0119645,-1.131961,-0.38377905,-0.0085919928,-0.97385984,-0.0024319707,-0.24619429,-0.052152255,-2.6794298,-5.5503729,-0.11376811,-0.81975989,-0.074166702,0.013466844,-1.4689662,-1.7925451,-0.050453913,-1.069651,-0.10507121,-2.8693417,-0.51499996,-0.0068497175,-0.00077796561,-0.19805656,-3.5740883,-0.01758399,-1.3063167,-0.17495903,-0.3669074,-1.2460868,-0.046497338,-0.76243606,-0.061489419,-0.056824337,-0.029072531,-0.65015817,-4.4197343,-0.24916163,-1.607978,-1.0585793,-0.44882409,-0.31363773,-0.21356795,-0.2099281,-0.15640468,-1.2210346,-0.094931677,0.0057309993,-0.6303008,-0.2452911,-0.043871948,-0.56167227,-1.0790408,-0.0070867269,-0.092434814,-0.36880583,-0.49435678,-0.65001632,-0.048159965,-0.98110783,-0.00051120077,-0.21087087,-1.5411657,-0.55326999,-0.070288254,-0.53022697,-3.2002392,-2.0960119,-0.36063998,-0.0061898432,-1.2458217,-1.6304552,-0.49887773,-0.0051999464,-1.9376328,-0.47876313,-0.13414459,-1.6112355,-0.0021965233,-0.19807977,-0.37454826,-0.13830803,-0.83738116,-1.0699673,-0.65259959,-0.093736194,-0.12768236,-0.56062783,-0.32671843,-0.072892163,-0.01433502,-0.77466198,-0.13641781,-0.015369317,0.0085133069,-1.4673098,-0.078658799,-0.050916251,-0.0079547904,-0.35260927,-0.088439621,-2.107911,-0.1837468,-0.13001523,-0.80616536,-0.59886307,-3.1763413,-2.3017478,-0.66244214,-1.9193451,-0.30229593,-0.28704143,-0.56710771,-0.014341739,-1.2059408,-0.25416573,-1.4350412,-2.1397197,-1.6695412,-0.46935124,-0.18560685,-0.21808559,-0.92758991,-0.35594823,-0.20063739,-0.01458225,-0.48461316,-0.16847884,-0.32019507,-0.62938801,-0.7290102,-0.059123434,-0.55342084,-0.044728073,-0.18845616,-1.2311709,-0.028502607,-1.2551564,-0.069335462,-4.3908746,0.0058055354,-0.27124021,-0.052594055,-0.024365566,0.0019561756,-2.6751027,-0.48450488,-0.19617441,-0.19198422,-0.1159638,-1.0563253
