# stan_version_major = 2
# stan_version_minor = 37
# stan_version_patch = 0
# model = rlddm_single_subject_model
# start_datetime = 2025-09-25 02:55:40 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 2000
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.999
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = dense_e
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /Users/jy4657/Desktop/Repositories/tst-stan/recovery_out/tmp_subject_7/tmpxdc5oyx2/j8onqtu4.json
# init = 2 (Default)
# random
#   seed = 2034
# output
#   file = /Users/jy4657/Desktop/Repositories/tst-stan/cmdstan_tmp/rlddm_single_subject-20250924225540_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.37.0
# stancflags = --filename-in-msg=rlddm_single_subject.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,a,t0,log_scaler,scaler,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46,log_lik.47,log_lik.48,log_lik.49,log_lik.50,log_lik.51,log_lik.52,log_lik.53,log_lik.54,log_lik.55,log_lik.56,log_lik.57,log_lik.58,log_lik.59,log_lik.60,log_lik.61,log_lik.62,log_lik.63,log_lik.64,log_lik.65,log_lik.66,log_lik.67,log_lik.68,log_lik.69,log_lik.70,log_lik.71,log_lik.72,log_lik.73,log_lik.74,log_lik.75,log_lik.76,log_lik.77,log_lik.78,log_lik.79,log_lik.80,log_lik.81,log_lik.82,log_lik.83,log_lik.84,log_lik.85,log_lik.86,log_lik.87,log_lik.88,log_lik.89,log_lik.90,log_lik.91,log_lik.92,log_lik.93,log_lik.94,log_lik.95,log_lik.96,log_lik.97,log_lik.98,log_lik.99,log_lik.100,log_lik.101,log_lik.102,log_lik.103,log_lik.104,log_lik.105,log_lik.106,log_lik.107,log_lik.108,log_lik.109,log_lik.110,log_lik.111,log_lik.112,log_lik.113,log_lik.114,log_lik.115,log_lik.116,log_lik.117,log_lik.118,log_lik.119,log_lik.120,log_lik.121,log_lik.122,log_lik.123,log_lik.124,log_lik.125,log_lik.126,log_lik.127,log_lik.128,log_lik.129,log_lik.130,log_lik.131,log_lik.132,log_lik.133,log_lik.134,log_lik.135,log_lik.136,log_lik.137,log_lik.138,log_lik.139,log_lik.140,log_lik.141,log_lik.142,log_lik.143,log_lik.144,log_lik.145,log_lik.146,log_lik.147,log_lik.148,log_lik.149,log_lik.150,log_lik.151,log_lik.152,log_lik.153,log_lik.154,log_lik.155,log_lik.156,log_lik.157,log_lik.158,log_lik.159,log_lik.160,log_lik.161,log_lik.162,log_lik.163,log_lik.164,log_lik.165,log_lik.166,log_lik.167,log_lik.168,log_lik.169,log_lik.170,log_lik.171,log_lik.172,log_lik.173,log_lik.174,log_lik.175,log_lik.176,log_lik.177,log_lik.178,log_lik.179,log_lik.180,log_lik.181,log_lik.182,log_lik.183,log_lik.184,log_lik.185,log_lik.186,log_lik.187,log_lik.188,log_lik.189,log_lik.190,log_lik.191,log_lik.192,log_lik.193,log_lik.194,log_lik.195,log_lik.196,log_lik.197,log_lik.198,log_lik.199,log_lik.200,log_lik.201,log_lik.202,log_lik.203,log_lik.204,log_lik.205,log_lik.206,log_lik.207,log_lik.208,log_lik.209,log_lik.210,log_lik.211,log_lik.212,log_lik.213,log_lik.214,log_lik.215,log_lik.216,log_lik.217,log_lik.218,log_lik.219,log_lik.220,log_lik.221,log_lik.222,log_lik.223,log_lik.224,log_lik.225,log_lik.226,log_lik.227,log_lik.228,log_lik.229,log_lik.230,log_lik.231,log_lik.232,log_lik.233,log_lik.234,log_lik.235,log_lik.236,log_lik.237,log_lik.238,log_lik.239,log_lik.240,log_lik.241,log_lik.242,log_lik.243,log_lik.244,log_lik.245,log_lik.246,log_lik.247,log_lik.248,log_lik.249,log_lik.250,log_lik.251,log_lik.252,log_lik.253,log_lik.254,log_lik.255,log_lik.256,log_lik.257,log_lik.258,log_lik.259,log_lik.260,log_lik.261,log_lik.262,log_lik.263,log_lik.264,log_lik.265,log_lik.266,log_lik.267,log_lik.268,log_lik.269,log_lik.270,log_lik.271,log_lik.272,log_lik.273,log_lik.274,log_lik.275,log_lik.276,log_lik.277,log_lik.278,log_lik.279,log_lik.280,log_lik.281,log_lik.282,log_lik.283,log_lik.284,log_lik.285,log_lik.286,log_lik.287,log_lik.288,log_lik.289,log_lik.290,log_lik.291,log_lik.292,log_lik.293,log_lik.294,log_lik.295,log_lik.296,log_lik.297,log_lik.298,log_lik.299,log_lik.300
# Adaptation terminated
# Step size = 0.13027
# Elements of inverse mass matrix:
# 0.298238, 0.00923623, -0.0496528, -0.0494362
# 0.00923623, 0.00426762, -0.0257112, 0.00159858
# -0.0496528, -0.0257112, 1.52674, -0.00235124
# -0.0494362, 0.00159858, -0.00235124, 0.0600222
-120.63128,0.99433676,0.13026998,4,31,0,121.85155,0.14595185,1.1508711,0.25298041,-2.6042182,0.073960936,-1.2148799,0.28115987,-0.22041884,-0.26441659,0.21508666,0.11967779,-0.12518964,0.22855752,0.1619972,0.13928285,0.17298812,0.31145835,-0.0048180542,0.32647635,0.33134779,0.17855236,-0.35470555,0.30114021,0.2992742,0.27837091,0.20093521,0.24661064,0.18008124,-1.0257154,0.28901059,-0.57847787,-0.23157239,-0.80478279,-1.5508983,0.29653574,-1.3469687,-0.35777678,0.22484182,0.31579323,-0.15674528,-0.69957671,0.24249443,-0.17539813,-3.0155029,0.065140872,-0.71210417,0.29028032,-0.65218597,0.07301056,-0.92878673,-0.86227895,-1.7732801,0.29574709,-2.2575211,-0.77418431,0.27423697,-0.46605932,-0.59394041,-1.0502023,-0.24374338,0.34005443,0.085805946,0.32104052,-0.41175432,-0.19642605,-0.43852229,-0.54197391,0.2582249,-0.024292964,-1.0937641,-0.90782981,-0.12152451,0.041518217,-2.5370518,0.32318379,0.24808772,-1.6197021,-0.070904067,0.25917906,0.25377299,-0.91599245,-0.33909676,0.3172657,-2.171248,-0.053334943,-0.51938779,-0.32663799,-0.57863666,-0.51468952,0.26591465,0.31125112,0.34962893,0.35240267,-3.682786,0.32772307,-3.4428094,-0.016066665,-0.11539635,0.29179572,-0.065778957,-0.20697228,-2.9300809,0.086449118,-0.32111564,0.16959021,0.32572735,0.21564831,0.25736029,0.14163604,0.28592564,-0.71259802,-0.35532896,-0.91514495,-0.87784415,0.19845634,-0.17530196,0.32120572,-0.3499032,-0.24126246,0.29436205,0.29105676,-2.2417511,0.30394687,-0.020749873,-0.35749565,0.31315347,-0.46926706,0.23291786,0.2633186,-1.1857839,-0.44840772,-0.098104529,-1.6704182,-1.3429173,0.15676801,-0.18101394,0.2282107,-1.4318076,0.3182216,0.24877691,0.22629581,0.26999636,-0.14699482,0.26217614,0.15106351,0.28431053,0.058108271,-1.2431683,0.35000604,0.16492515,0.054560412,-4.2192668,0.28929686,-0.033744306,-0.73394612,-0.23192303,-0.88576713,-0.65512903,-2.0682689,-2.2435442,-0.4804145,0.14549104,-1.9426331,-1.4980074,-1.3376695,-0.6493771,0.14988941,-0.86595678,0.27284929,-0.61341456,0.074168711,-0.46755831,-0.12978867,-0.24320828,-0.21558891,0.25111207,-1.1054386,-0.53400703,0.33298423,-2.2688669,0.33771222,-0.010116137,0.2127137,0.034369291,0.31000414,-1.1496651,-1.5254408,-0.52429484,-0.25717924,0.19502981,-1.2167174,0.094284179,-0.67362322,0.3305129,-0.45716586,0.33269593,0.14775005,0.28551617,-0.087982882,0.1876556,0.22714552,0.3067965,0.33705545,0.32470597,-2.0094129,-0.20255018,0.19224508,0.15957507,0.2162069,-0.21082491,0.30414665,0.22083046,0.28720582,-0.47110448,-1.4547527,0.25019155,0.3074491,0.21302984,0.12629235,0.14354376,0.29804307,0.18696749,-0.30016654,0.29923639,-2.4882815,-0.65724954,0.078841822,0.046729019,-1.9025373,-0.28091492,0.20115299,0.012208587,0.320989,-0.53390757,0.33413019,-0.11133378,0.32353425,-1.043304,0.26662701,0.33163936,0.26260525,-4.7504673,0.1645203,0.32951514,0.33481445,-1.0059109,-3.2023018,-0.19512443,0.18319895,-0.3308051,0.10271493,-0.91707124,-1.271985,0.11931187,0.30652269,-0.037181225,-0.33658582,-1.3285322,0.059504973,-2.5889748,-2.7021139,0.10670195,0.31960232,-1.7384578,-1.3890297,0.062603325,0.12271219,-0.27722774,0.31254987,0.061725752,0.3232523,-0.0079402398,-0.45889318,-0.073132008,-0.81235708,0.10226097,-1.9618454,-0.16555307,0.24269081,0.23082856,-2.2017686,-0.037521423,-0.25330359,0.19229458,-0.19265741,0.029994722,-0.13461326,-0.92529111,-0.19322418,-0.92717663,0.17866686,-0.41524161,0.29377057,0.26325984,0.26325984,0.31934229,-2.4960069,-0.15939309,-0.53227797,0.31825223,0.21981379,-0.31991519,-0.75086072,0.28086503,0.034703596
-119.59467,0.99949188,0.13026998,5,31,0,123.36676,0.32466556,1.1181745,0.25487273,-3.4087632,0.033082091,-1.2731042,0.32075865,-0.21918774,-0.26503316,0.24888822,0.14493044,-0.11558489,0.30702674,0.19197165,0.16778037,0.2043703,0.36170764,0.0063034533,0.38667884,0.38925504,0.20279896,-0.36666105,0.37263932,0.36552658,0.31561304,0.28187242,0.2803456,0.2097585,-1.0757953,0.3611593,-0.60290802,-0.22751435,-0.83264553,-1.640416,0.36820736,-1.4175629,-0.36469002,0.30323359,0.36380309,-0.15229967,-0.72579869,0.27564826,-0.17439025,-3.2289787,0.08729479,-0.73779547,0.33393905,-0.67991076,0.094123813,-0.96895472,-0.89893164,-1.8631847,0.36642373,-2.3851379,-0.8068972,0.34802769,-0.47963988,-0.61496438,-1.1005155,-0.24495109,0.39546949,0.10672647,0.38489202,-0.42270705,-0.19437915,-0.44919869,-0.55980386,0.2938039,-0.012989067,-1.1401657,-0.95325449,-0.11151372,0.13074539,-2.6858989,0.38762418,0.28693349,-1.7079688,0.016660972,0.30062107,0.3311359,-0.84412267,-0.33901953,0.37995797,-2.3145867,-0.034928611,-0.54460855,-0.32331926,-0.58959293,-0.52351739,0.33644294,0.36647005,0.39821938,0.40522678,-3.780731,0.36519838,-3.5261963,-0.011562943,-0.033061638,0.36701695,0.015354986,-0.21664012,-2.9600525,0.11558921,-0.31822456,0.20345025,0.38303765,0.25225679,0.29901896,0.1714517,0.33015451,-0.73594545,-0.35952352,-0.96006484,-0.92150664,0.27570004,-0.16836878,0.36538589,-0.35273004,-0.23837535,0.3413335,0.33778195,-2.3749321,0.35394234,-0.0044400444,-0.36830899,0.36602226,-0.4877955,0.26474201,0.33957728,-1.2320379,-0.46376084,-0.092078792,-1.7602567,-1.3970211,0.18965285,-0.18381189,0.30080106,-1.5236928,0.38265945,0.29437998,0.26678924,0.31369992,-0.13696884,0.29393903,0.18253835,0.35234977,0.14000325,-1.3182767,0.39788083,0.20043581,0.065425405,-4.8635615,0.35488261,-0.013198921,-0.77492323,-0.23881218,-0.93906292,-0.57629112,-2.1388847,-2.4119619,-0.50253135,0.16530141,-2.0161423,-1.5546531,-1.3891042,-0.66616633,0.1700636,-0.89357835,0.34164735,-0.62832454,0.099309578,-0.47572648,-0.042668162,-0.24759517,-0.21809895,0.32870805,-1.1498605,-0.5570623,0.37761974,-2.3585597,0.38253056,0.010324691,0.25029485,0.057094246,0.36197433,-1.215798,-1.6192562,-0.54910778,-0.26429325,0.23059441,-1.2859622,0.11195545,-0.69383672,0.37773525,-0.46198535,0.38004737,0.16858466,0.35299551,-0.083697589,0.26429851,0.26453205,0.35594592,0.39057531,0.3701518,-2.1290441,-0.1981393,0.27119256,0.18436974,0.25129113,-0.20674734,0.37180102,0.25727398,0.33296506,-0.49017627,-1.5374715,0.29297676,0.34472155,0.23779695,0.2158442,0.17664282,0.33210874,0.26144724,-0.20154544,0.3742736,-2.6894112,-0.69127577,0.10521624,0.070821055,-2.031916,-0.27944005,0.22954814,0.10214031,0.38445456,-0.55215128,0.38912897,-0.10431681,0.37152013,-1.0925681,0.30386936,0.39059836,0.29882269,-5.2232658,0.24778571,0.38747383,0.39589487,-1.0543447,-3.4103327,-0.19261902,0.26361881,-0.33679854,0.125131,-0.95677919,-1.2140792,0.14044394,0.34744345,-0.02733953,-0.33841838,-1.3838732,0.07507245,-2.703152,-2.8703143,0.12683574,0.37157801,-1.837408,-1.4513986,0.080667393,0.20869942,-0.27837865,0.37808433,0.082795396,0.37655184,0.079357101,-0.46883303,-0.059597616,-0.84044259,0.11882001,-2.0896324,-0.16827128,0.28567808,0.27166579,-2.2725912,-0.017507162,-0.24616098,0.26706068,-0.18308322,0.052895196,-0.13404772,-0.95752572,-0.098127673,-0.96223127,0.20290111,-0.43029542,0.34160869,0.29470979,0.29470979,0.38329301,-2.6030041,-0.1474653,-0.53948032,0.35386727,0.26211944,-0.3346151,-0.79481381,0.35903369,0.059894984
-119.08267,0.99871784,0.13026998,5,31,0,121.59116,0.38229489,1.1456559,0.25462578,-3.2222116,0.039866792,-1.2185771,0.29231802,-0.21643029,-0.26090524,0.22202181,0.12823124,-0.11828008,0.2289838,0.17188405,0.15238436,0.18638459,0.32418683,-0.00038847518,0.33806537,0.33392234,0.18396862,-0.3550413,0.31134335,0.30064472,0.28451617,0.20086877,0.2545419,0.19120399,-1.0308384,0.29589355,-0.57955461,-0.22012833,-0.79529844,-1.5713126,0.30536877,-1.3595899,-0.35159236,0.22670843,0.32539792,-0.14772855,-0.7018178,0.2508645,-0.1705247,-3.0989,0.078074131,-0.70852758,0.30188895,-0.6553097,0.085300471,-0.92728779,-0.86236641,-1.7811428,0.30354127,-2.2904384,-0.77437929,0.28053484,-0.45923172,-0.59050116,-1.0570726,-0.2423398,0.3526968,0.097466298,0.32813109,-0.40763742,-0.19038889,-0.43218708,-0.53611153,0.26976193,-0.018996921,-1.0921316,-0.91744859,-0.11035876,0.032073393,-2.5572329,0.33295068,0.2597446,-1.6247282,-0.090959732,0.26900065,0.25801714,-1.0110429,-0.33119917,0.31963252,-2.1958227,-0.041690342,-0.52259351,-0.3158347,-0.56820407,-0.50467108,0.26672283,0.3217032,0.35747807,0.35941488,-3.6720441,0.33533004,-3.4199947,-0.012150455,-0.14603627,0.30401642,-0.094432391,-0.21379487,-2.7944603,0.10589424,-0.3081172,0.18633568,0.32516919,0.23060054,0.27152462,0.1572539,0.30311087,-0.70481863,-0.34952198,-0.91664451,-0.88379583,0.1945465,-0.16830224,0.33009917,-0.34489509,-0.23570469,0.30494359,0.3009472,-2.2478624,0.31580189,-0.013835344,-0.35330519,0.32185961,-0.46831754,0.24523384,0.26882612,-1.18328,-0.44297495,-0.089849682,-1.6710905,-1.3409026,0.16913133,-0.17890338,0.22421502,-1.4532169,0.33319231,0.26459182,0.2401493,0.28188142,-0.13865976,0.2692324,0.16281548,0.2848539,0.043121062,-1.258656,0.35648798,0.17959184,0.056921536,-4.7102944,0.28733045,-0.019878005,-0.74344611,-0.23051345,-0.90099286,-0.72940128,-2.0390723,-2.3088,-0.48303842,0.15146911,-1.9307477,-1.4898768,-1.3342407,-0.64349275,0.15397635,-0.85863955,0.27168475,-0.60460463,0.087044591,-0.46230102,-0.15779988,-0.24015956,-0.21122346,0.25491701,-1.1065301,-0.53139223,0.3400267,-2.2609714,0.34414041,0.0039197871,0.2266401,0.047843108,0.32454126,-1.1639394,-1.5474103,-0.5280452,-0.25754051,0.20909735,-1.2312695,0.098808289,-0.66652983,0.3367762,-0.44211735,0.33360365,0.15016951,0.28519466,-0.086967446,0.18101583,0.24092498,0.32091735,0.34181133,0.33114743,-2.0350065,-0.19778966,0.19126475,0.16967072,0.22522074,-0.20616575,0.31044302,0.22881682,0.29555061,-0.46676318,-1.4583604,0.25993294,0.31759838,0.21882485,0.12666261,0.15820906,0.30201185,0.17842505,-0.32756117,0.31467706,-2.5922395,-0.66658188,0.094162206,0.061788735,-1.9571416,-0.26691422,0.20302518,0.0021204227,0.32798205,-0.52943435,0.34307219,-0.10453274,0.33374083,-1.0446024,0.27683591,0.33999876,0.27274501,-5.0587311,0.16387533,0.33505281,0.34629257,-1.0143347,-3.2859323,-0.18829088,0.17963692,-0.32861878,0.11297512,-0.91319661,-1.4015719,0.13035779,0.31901729,-0.027518122,-0.33078111,-1.3254191,0.064369941,-2.5780485,-2.7429898,0.11274529,0.33263152,-1.7574416,-1.3880226,0.069399863,0.11899496,-0.2709591,0.31763152,0.068493388,0.33153865,-0.023549418,-0.45415577,-0.067018062,-0.81361648,0.10776383,-1.9895774,-0.16228696,0.25484181,0.24559348,-2.1614171,-0.022060463,-0.23790923,0.18376244,-0.18040915,0.04596137,-0.13722276,-0.91543302,-0.21651955,-0.92446336,0.18669782,-0.41160749,0.30329525,0.27300586,0.27300586,0.32542342,-2.5137947,-0.1521166,-0.52623432,0.32198468,0.23727528,-0.32482679,-0.76335503,0.29403476,0.050091721
