# stan_version_major = 2
# stan_version_minor = 37
# stan_version_patch = 0
# model = rlddm_single_subject_model
# start_datetime = 2025-09-25 02:55:40 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 2000
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.999
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = dense_e
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /Users/jy4657/Desktop/Repositories/tst-stan/recovery_out/tmp_subject_7/tmpxdc5oyx2/j8onqtu4.json
# init = 2 (Default)
# random
#   seed = 2034
# output
#   file = /Users/jy4657/Desktop/Repositories/tst-stan/cmdstan_tmp/rlddm_single_subject-20250924225540_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.37.0
# stancflags = --filename-in-msg=rlddm_single_subject.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,a,t0,log_scaler,scaler,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46,log_lik.47,log_lik.48,log_lik.49,log_lik.50,log_lik.51,log_lik.52,log_lik.53,log_lik.54,log_lik.55,log_lik.56,log_lik.57,log_lik.58,log_lik.59,log_lik.60,log_lik.61,log_lik.62,log_lik.63,log_lik.64,log_lik.65,log_lik.66,log_lik.67,log_lik.68,log_lik.69,log_lik.70,log_lik.71,log_lik.72,log_lik.73,log_lik.74,log_lik.75,log_lik.76,log_lik.77,log_lik.78,log_lik.79,log_lik.80,log_lik.81,log_lik.82,log_lik.83,log_lik.84,log_lik.85,log_lik.86,log_lik.87,log_lik.88,log_lik.89,log_lik.90,log_lik.91,log_lik.92,log_lik.93,log_lik.94,log_lik.95,log_lik.96,log_lik.97,log_lik.98,log_lik.99,log_lik.100,log_lik.101,log_lik.102,log_lik.103,log_lik.104,log_lik.105,log_lik.106,log_lik.107,log_lik.108,log_lik.109,log_lik.110,log_lik.111,log_lik.112,log_lik.113,log_lik.114,log_lik.115,log_lik.116,log_lik.117,log_lik.118,log_lik.119,log_lik.120,log_lik.121,log_lik.122,log_lik.123,log_lik.124,log_lik.125,log_lik.126,log_lik.127,log_lik.128,log_lik.129,log_lik.130,log_lik.131,log_lik.132,log_lik.133,log_lik.134,log_lik.135,log_lik.136,log_lik.137,log_lik.138,log_lik.139,log_lik.140,log_lik.141,log_lik.142,log_lik.143,log_lik.144,log_lik.145,log_lik.146,log_lik.147,log_lik.148,log_lik.149,log_lik.150,log_lik.151,log_lik.152,log_lik.153,log_lik.154,log_lik.155,log_lik.156,log_lik.157,log_lik.158,log_lik.159,log_lik.160,log_lik.161,log_lik.162,log_lik.163,log_lik.164,log_lik.165,log_lik.166,log_lik.167,log_lik.168,log_lik.169,log_lik.170,log_lik.171,log_lik.172,log_lik.173,log_lik.174,log_lik.175,log_lik.176,log_lik.177,log_lik.178,log_lik.179,log_lik.180,log_lik.181,log_lik.182,log_lik.183,log_lik.184,log_lik.185,log_lik.186,log_lik.187,log_lik.188,log_lik.189,log_lik.190,log_lik.191,log_lik.192,log_lik.193,log_lik.194,log_lik.195,log_lik.196,log_lik.197,log_lik.198,log_lik.199,log_lik.200,log_lik.201,log_lik.202,log_lik.203,log_lik.204,log_lik.205,log_lik.206,log_lik.207,log_lik.208,log_lik.209,log_lik.210,log_lik.211,log_lik.212,log_lik.213,log_lik.214,log_lik.215,log_lik.216,log_lik.217,log_lik.218,log_lik.219,log_lik.220,log_lik.221,log_lik.222,log_lik.223,log_lik.224,log_lik.225,log_lik.226,log_lik.227,log_lik.228,log_lik.229,log_lik.230,log_lik.231,log_lik.232,log_lik.233,log_lik.234,log_lik.235,log_lik.236,log_lik.237,log_lik.238,log_lik.239,log_lik.240,log_lik.241,log_lik.242,log_lik.243,log_lik.244,log_lik.245,log_lik.246,log_lik.247,log_lik.248,log_lik.249,log_lik.250,log_lik.251,log_lik.252,log_lik.253,log_lik.254,log_lik.255,log_lik.256,log_lik.257,log_lik.258,log_lik.259,log_lik.260,log_lik.261,log_lik.262,log_lik.263,log_lik.264,log_lik.265,log_lik.266,log_lik.267,log_lik.268,log_lik.269,log_lik.270,log_lik.271,log_lik.272,log_lik.273,log_lik.274,log_lik.275,log_lik.276,log_lik.277,log_lik.278,log_lik.279,log_lik.280,log_lik.281,log_lik.282,log_lik.283,log_lik.284,log_lik.285,log_lik.286,log_lik.287,log_lik.288,log_lik.289,log_lik.290,log_lik.291,log_lik.292,log_lik.293,log_lik.294,log_lik.295,log_lik.296,log_lik.297,log_lik.298,log_lik.299,log_lik.300
# Adaptation terminated
# Step size = 0.166862
# Elements of inverse mass matrix:
# 0.353789, 0.00996291, 0.00518168, -0.0379212
# 0.00996291, 0.00416723, -0.0196421, 0.00162839
# 0.00518168, -0.0196421, 1.46761, -0.0244343
# -0.0379212, 0.00162839, -0.0244343, 0.0497364
-123.67561,0.99495994,0.16686164,4,31,0,129.10265,0.20895256,1.1094529,0.25817102,-2.6791275,0.068623005,-1.2788573,0.34049886,-0.20938668,-0.25732393,0.26402229,0.15937494,-0.10670403,0.30277063,0.20607885,0.18238367,0.21952102,0.37715202,0.023924106,0.39913921,0.40593858,0.2235577,-0.35400725,0.38012673,0.37597328,0.33525752,0.27524996,0.29976227,0.22736863,-1.0767034,0.3673687,-0.59460855,-0.21799907,-0.83341021,-1.6462437,0.37615042,-1.4272548,-0.35454385,0.30159698,0.38079956,-0.13738047,-0.72878366,0.296,-0.15886288,-3.1973867,0.10153117,-0.7377445,0.35120967,-0.67485173,0.11059181,-0.96916734,-0.89940605,-1.8799284,0.37499211,-2.417083,-0.80475455,0.35301644,-0.47060279,-0.60951515,-1.1034027,-0.23531169,0.41405685,0.12447921,0.39700175,-0.41432363,-0.18248125,-0.44368318,-0.55418295,0.31386973,0.0020960883,-1.1459463,-0.95061269,-0.10065423,0.099826687,-2.677125,0.39935433,0.3026285,-1.7042429,-0.028156317,0.31470886,0.32948743,-1.0649733,-0.33719315,0.39596733,-2.2769939,-0.027822459,-0.52985326,-0.32287987,-0.5935409,-0.52404595,0.34371205,0.37796946,0.4223275,0.42883956,-4.2345309,0.39331067,-3.9206242,0.012779406,-0.082106096,0.36801316,-0.025547007,-0.19713621,-3.0863855,0.12804809,-0.31351603,0.21854681,0.39765513,0.26894744,0.31538081,0.18715568,0.34891604,-0.73432843,-0.35237264,-0.95634811,-0.91915773,0.27057423,-0.15888738,0.38589709,-0.3476889,-0.22974948,0.35735184,0.35272339,-2.3546909,0.36846992,0.0080047986,-0.35532808,0.37942692,-0.47593269,0.28467161,0.34048002,-1.251057,-0.45313251,-0.076340724,-1.7603554,-1.4212239,0.20129638,-0.1660741,0.30360224,-1.5072664,0.39121967,0.30527708,0.27994972,0.32721973,-0.1305534,0.31813594,0.19407393,0.3631073,0.1175324,-1.3049157,0.42279405,0.21062856,0.08814516,-4.3679788,0.36676515,-0.0057803151,-0.7615758,-0.2219343,-0.93048951,-0.73592925,-2.173681,-2.3989137,-0.49061709,0.1857514,-2.0590259,-1.5806079,-1.4109254,-0.66926568,0.1906386,-0.90140889,0.34857429,-0.62876108,0.11303053,-0.47345411,-0.099153377,-0.23483153,-0.20442419,0.32867163,-1.1616542,-0.54516823,0.39982449,-2.4242962,0.40567886,0.021036652,0.26466899,0.069265979,0.37706094,-1.2113866,-1.6146806,-0.5371719,-0.25008426,0.24509258,-1.2845736,0.13020553,-0.69389005,0.39734797,-0.4581512,0.39939375,0.18737356,0.36103718,-0.068722102,0.25781689,0.28128671,0.37302318,0.40823978,0.39006924,-2.141811,-0.18953116,0.26565765,0.20358409,0.26686813,-0.19841268,0.38259211,0.27137871,0.3474876,-0.47547844,-1.5235818,0.30476741,0.37012792,0.26217516,0.19518059,0.18753003,0.35713711,0.25827214,-0.29326244,0.37994358,-2.6821057,-0.68307678,0.11832719,0.08336665,-2.0439928,-0.26842258,0.24568571,0.069201585,0.39624399,-0.54691225,0.40516491,-0.091597148,0.38983135,-1.0954384,0.32256766,0.40624121,0.31819816,-5.4082813,0.23718487,0.40178969,0.41186193,-1.0592666,-3.5011231,-0.17977663,0.25582296,-0.32766175,0.14140742,-0.95642521,-1.5332783,0.16080972,0.3700804,-0.0088035539,-0.33473401,-1.403075,0.09325065,-2.7514775,-2.8919721,0.14454975,0.38772837,-1.8456726,-1.4636957,0.096679587,0.19094728,-0.26885163,0.38836547,0.096015575,0.39174516,0.043578999,-0.46514397,-0.050346538,-0.85070148,0.14059987,-2.0715637,-0.14905241,0.2972896,0.28426461,-2.338506,-0.0090556107,-0.24106079,0.26359781,-0.17681434,0.065108389,-0.1195629,-0.96250968,-0.16768505,-0.96764436,0.22391255,-0.41772092,0.35593828,0.31906718,0.31906718,0.39870319,-2.7034171,-0.14374368,-0.54687178,0.38057666,0.27353293,-0.31874247,-0.78305025,0.36072905,0.070408307
-123.53029,0.99999721,0.16686164,4,15,0,123.84796,0.2132892,1.11369,0.2581699,-2.7030369,0.067001724,-1.2696568,0.33603178,-0.20834901,-0.2559016,0.26060054,0.15727523,-0.10643641,0.29066445,0.20348267,0.18014913,0.21687013,0.37155004,0.02303483,0.3918158,0.39731647,0.22072328,-0.35198766,0.37031684,0.36560899,0.33069874,0.26223612,0.29591178,0.22461585,-1.0691654,0.3570126,-0.59075116,-0.21673928,-0.82740127,-1.6346936,0.3659784,-1.4169785,-0.3523387,0.28902188,0.37502703,-0.13683448,-0.72366228,0.29226426,-0.15823684,-3.1777212,0.10011786,-0.73254476,0.34641906,-0.67034301,0.10910113,-0.96230185,-0.89305567,-1.86605,0.3645918,-2.3986467,-0.79918251,0.3419068,-0.46752979,-0.60538871,-1.0955566,-0.23411349,0.40696307,0.12284584,0.38811097,-0.4117089,-0.18164272,-0.44081434,-0.55050588,0.30987402,0.001363851,-1.1375459,-0.94408008,-0.10036196,0.083310062,-2.6596557,0.3907962,0.29875008,-1.692642,-0.047166385,0.31050181,0.3182593,-1.0971726,-0.3349935,0.38587774,-2.2638689,-0.028101259,-0.52662414,-0.32071236,-0.58920346,-0.52031024,0.33183854,0.37183606,0.4152477,0.42078428,-4.1602866,0.38785433,-3.8576486,0.01197176,-0.10221663,0.35882855,-0.044771868,-0.19650115,-3.0565841,0.12656291,-0.31139574,0.21604872,0.38884465,0.26575928,0.31140501,0.18497148,0.34446116,-0.72909788,-0.35012385,-0.94983378,-0.91289267,0.25716725,-0.1581587,0.38019494,-0.34546612,-0.22844862,0.35234672,0.34769523,-2.3402427,0.36303029,0.00738,-0.35322934,0.37331429,-0.47297048,0.28113795,0.32943076,-1.2414466,-0.45015457,-0.076229183,-1.7479938,-1.4101554,0.19879228,-0.16547416,0.29059311,-1.4976544,0.3840253,0.30134413,0.2763667,0.32279469,-0.13005949,0.3141103,0.19163011,0.35181854,0.1007951,-1.2964232,0.41569142,0.20806222,0.0866497,-4.3752096,0.35559455,-0.0061949862,-0.75675992,-0.22095776,-0.92451115,-0.76433761,-2.1561611,-2.3838705,-0.48766647,0.18332495,-2.0420639,-1.5680769,-1.3998727,-0.66438373,0.18812245,-0.89465051,0.33707712,-0.62422215,0.11153641,-0.47019424,-0.11912384,-0.23368218,-0.20348732,0.31723062,-1.1529259,-0.54171383,0.39367891,-2.4034529,0.39934461,0.020379361,0.26143009,0.068174539,0.37150907,-1.2032141,-1.6038523,-0.53385193,-0.24887477,0.24213826,-1.2757908,0.12832331,-0.6889215,0.39097062,-0.45489367,0.39246274,0.18482012,0.35010435,-0.068952597,0.24410342,0.27789039,0.36776597,0.40055897,0.38404229,-2.1265328,-0.18862024,0.25205548,0.2010863,0.26348172,-0.19741814,0.37229309,0.26785393,0.34250194,-0.47252019,-1.5136525,0.30065658,0.36523414,0.25894776,0.18070565,0.18523845,0.35227155,0.24423223,-0.31551592,0.37024626,-2.6646352,-0.67871498,0.11683483,0.082200066,-2.0296013,-0.26672263,0.2423698,0.05196462,0.38717949,-0.54329471,0.39791957,-0.091483416,0.38387766,-1.0876926,0.31837531,0.39849352,0.31411306,-5.3517785,0.22312634,0.3938765,0.40377973,-1.0517246,-3.4708184,-0.17893427,0.24223815,-0.32572108,0.13955187,-0.94968979,-1.5703341,0.15882487,0.3651441,-0.0092916638,-0.33262826,-1.3923753,0.091750901,-2.7296052,-2.8713847,0.14256762,0.3817973,-1.832568,-1.452829,0.095173844,0.17605176,-0.2673031,0.37919997,0.094529132,0.38524495,0.025839211,-0.46199996,-0.050529909,-0.84437386,0.13867144,-2.0585501,-0.14858211,0.29340193,0.28070654,-2.3185171,-0.0094208047,-0.23950997,0.24983416,-0.17582767,0.064117635,-0.11942666,-0.95539346,-0.18838589,-0.96052305,0.22112945,-0.41519389,0.35078384,0.31509686,0.31509686,0.38865831,-2.6779917,-0.14310774,-0.54286831,0.37521253,0.27021996,-0.31714424,-0.77813064,0.3505703,0.069374846
-126.95131,0.9762537,0.16686164,4,31,0,131.04819,0.25932399,1.1233456,0.25804678,-3.7280006,0.024040854,-1.2497628,0.32311086,-0.20414193,-0.24862254,0.25857462,0.15554011,-0.10097299,0.27122086,0.20179028,0.17590258,0.21168409,0.36161274,0.016975554,0.37961021,0.37625687,0.2104798,-0.35210676,0.34926071,0.34121959,0.32041574,0.23610407,0.28603452,0.21671797,-1.0539695,0.3353477,-0.58657908,-0.21597205,-0.81681586,-1.6106247,0.34211988,-1.3882942,-0.35157388,0.25964563,0.3637233,-0.14264056,-0.70230083,0.28098039,-0.1631387,-3.1868388,0.095819258,-0.71922555,0.33642916,-0.66035641,0.10165152,-0.95026934,-0.87876008,-1.8337206,0.33851815,-2.3355628,-0.78797391,0.31539594,-0.46701601,-0.59892174,-1.0761652,-0.22854511,0.38591808,0.1137643,0.36934417,-0.4079823,-0.18170584,-0.43361241,-0.54467023,0.29721648,-0.00098976092,-1.1194214,-0.93017292,-0.1003844,0.050313801,-2.6690825,0.37320296,0.29288036,-1.6924157,-0.094490522,0.307718,0.30152048,-1.1691669,-0.3214369,0.35490657,-2.313206,-0.021132652,-0.53091781,-0.30618311,-0.57091194,-0.5063743,0.29799588,0.36753517,0.38848148,0.38996942,-3.5696968,0.36112193,-3.3412147,-0.0053855038,-0.15558684,0.35127966,-0.094312112,-0.20263579,-2.9500563,0.1225575,-0.30449701,0.20970735,0.37138936,0.25766566,0.3034925,0.17813069,0.33023593,-0.71977082,-0.34383471,-0.94331626,-0.901175,0.22689326,-0.15381554,0.36376568,-0.33515221,-0.2234051,0.34434358,0.34221693,-2.3766365,0.35588413,0.0088495746,-0.35668763,0.36723232,-0.4743278,0.26754231,0.31017086,-1.2028891,-0.45282752,-0.083660776,-1.7497875,-1.365246,0.20008889,-0.17312605,0.25374772,-1.5069771,0.37671588,0.30118973,0.27475776,0.31929642,-0.12178932,0.29703659,0.19300317,0.31894789,0.056995937,-1.3009369,0.38853247,0.21028181,0.073930782,-4.9405868,0.32397276,-0.00074014865,-0.75800392,-0.22778291,-0.91839564,-0.82462686,-2.1147384,-2.3743119,-0.48764589,0.17233506,-1.9798283,-1.5248786,-1.3585581,-0.64536441,0.17831774,-0.87164308,0.30870778,-0.61056506,0.10919742,-0.45673843,-0.16228592,-0.23505744,-0.20665817,0.29676357,-1.1216566,-0.54557022,0.37393472,-2.3069782,0.37779013,0.021190559,0.25761984,0.067361448,0.36172819,-1.1940915,-1.5959984,-0.53387441,-0.25068795,0.23812407,-1.2625699,0.1218243,-0.67598978,0.37498061,-0.44959196,0.37775405,0.17886782,0.32533626,-0.070458222,0.2141072,0.27010835,0.35586662,0.38234311,0.36895319,-2.0952604,-0.18231199,0.21791099,0.19052784,0.25997691,-0.19051734,0.34447586,0.26723696,0.33861167,-0.48057526,-1.5296864,0.30202158,0.34265179,0.24238436,0.155986,0.18651334,0.33374932,0.20654076,-0.3583187,0.34968921,-2.6264703,-0.67125225,0.11382452,0.079928269,-1.9823435,-0.27024667,0.24099787,0.010639078,0.36749625,-0.53699771,0.38191485,-0.09260363,0.3692956,-1.0725077,0.30766472,0.38130521,0.30253837,-4.9874664,0.19058084,0.37878371,0.38219116,-1.0285729,-3.3115748,-0.18053738,0.21365074,-0.32059176,0.13347579,-0.94035013,-1.6441323,0.14581277,0.3456576,-0.020302327,-0.32075712,-1.3559525,0.085073927,-2.66772,-2.8276246,0.13645052,0.36951683,-1.8075259,-1.4267334,0.091029172,0.14432915,-0.2644696,0.3624839,0.095258796,0.37472926,-0.015288279,-0.45115945,-0.044286896,-0.81280951,0.12618574,-2.0746332,-0.15927529,0.29419597,0.27865007,-2.2426534,-0.0064511222,-0.23398154,0.21630159,-0.16958484,0.06156657,-0.11853622,-0.93968733,-0.23238395,-0.94006449,0.20883458,-0.41860188,0.34603496,0.29592582,0.29592582,0.3564011,-2.520696,-0.12939556,-0.51565417,0.35298185,0.26913782,-0.32010015,-0.77616797,0.33330869,0.070318905
