# stan_version_major = 2
# stan_version_minor = 37
# stan_version_patch = 0
# model = rlddm_single_subject_model
# start_datetime = 2025-09-25 02:55:42 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 2000
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.999
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = dense_e
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /Users/jy4657/Desktop/Repositories/tst-stan/recovery_out/tmp_subject_8/tmp4vw4qgxq/1jesxj6h.json
# init = 2 (Default)
# random
#   seed = 2035
# output
#   file = /Users/jy4657/Desktop/Repositories/tst-stan/cmdstan_tmp/rlddm_single_subject-20250924225542_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.37.0
# stancflags = --filename-in-msg=rlddm_single_subject.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,a,t0,log_scaler,scaler,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46,log_lik.47,log_lik.48,log_lik.49,log_lik.50,log_lik.51,log_lik.52,log_lik.53,log_lik.54,log_lik.55,log_lik.56,log_lik.57,log_lik.58,log_lik.59,log_lik.60,log_lik.61,log_lik.62,log_lik.63,log_lik.64,log_lik.65,log_lik.66,log_lik.67,log_lik.68,log_lik.69,log_lik.70,log_lik.71,log_lik.72,log_lik.73,log_lik.74,log_lik.75,log_lik.76,log_lik.77,log_lik.78,log_lik.79,log_lik.80,log_lik.81,log_lik.82,log_lik.83,log_lik.84,log_lik.85,log_lik.86,log_lik.87,log_lik.88,log_lik.89,log_lik.90,log_lik.91,log_lik.92,log_lik.93,log_lik.94,log_lik.95,log_lik.96,log_lik.97,log_lik.98,log_lik.99,log_lik.100,log_lik.101,log_lik.102,log_lik.103,log_lik.104,log_lik.105,log_lik.106,log_lik.107,log_lik.108,log_lik.109,log_lik.110,log_lik.111,log_lik.112,log_lik.113,log_lik.114,log_lik.115,log_lik.116,log_lik.117,log_lik.118,log_lik.119,log_lik.120,log_lik.121,log_lik.122,log_lik.123,log_lik.124,log_lik.125,log_lik.126,log_lik.127,log_lik.128,log_lik.129,log_lik.130,log_lik.131,log_lik.132,log_lik.133,log_lik.134,log_lik.135,log_lik.136,log_lik.137,log_lik.138,log_lik.139,log_lik.140,log_lik.141,log_lik.142,log_lik.143,log_lik.144,log_lik.145,log_lik.146,log_lik.147,log_lik.148,log_lik.149,log_lik.150,log_lik.151,log_lik.152,log_lik.153,log_lik.154,log_lik.155,log_lik.156,log_lik.157,log_lik.158,log_lik.159,log_lik.160,log_lik.161,log_lik.162,log_lik.163,log_lik.164,log_lik.165,log_lik.166,log_lik.167,log_lik.168,log_lik.169,log_lik.170,log_lik.171,log_lik.172,log_lik.173,log_lik.174,log_lik.175,log_lik.176,log_lik.177,log_lik.178,log_lik.179,log_lik.180,log_lik.181,log_lik.182,log_lik.183,log_lik.184,log_lik.185,log_lik.186,log_lik.187,log_lik.188,log_lik.189,log_lik.190,log_lik.191,log_lik.192,log_lik.193,log_lik.194,log_lik.195,log_lik.196,log_lik.197,log_lik.198,log_lik.199,log_lik.200,log_lik.201,log_lik.202,log_lik.203,log_lik.204,log_lik.205,log_lik.206,log_lik.207,log_lik.208,log_lik.209,log_lik.210,log_lik.211,log_lik.212,log_lik.213,log_lik.214,log_lik.215,log_lik.216,log_lik.217,log_lik.218,log_lik.219,log_lik.220,log_lik.221,log_lik.222,log_lik.223,log_lik.224,log_lik.225,log_lik.226,log_lik.227,log_lik.228,log_lik.229,log_lik.230,log_lik.231,log_lik.232,log_lik.233,log_lik.234,log_lik.235,log_lik.236,log_lik.237,log_lik.238,log_lik.239,log_lik.240,log_lik.241,log_lik.242,log_lik.243,log_lik.244,log_lik.245,log_lik.246,log_lik.247,log_lik.248,log_lik.249,log_lik.250,log_lik.251,log_lik.252,log_lik.253,log_lik.254,log_lik.255,log_lik.256,log_lik.257,log_lik.258,log_lik.259,log_lik.260,log_lik.261,log_lik.262,log_lik.263,log_lik.264,log_lik.265,log_lik.266,log_lik.267,log_lik.268,log_lik.269,log_lik.270,log_lik.271,log_lik.272,log_lik.273,log_lik.274,log_lik.275,log_lik.276,log_lik.277,log_lik.278,log_lik.279,log_lik.280,log_lik.281,log_lik.282,log_lik.283,log_lik.284,log_lik.285,log_lik.286,log_lik.287,log_lik.288,log_lik.289,log_lik.290,log_lik.291,log_lik.292,log_lik.293,log_lik.294,log_lik.295,log_lik.296,log_lik.297,log_lik.298,log_lik.299,log_lik.300
# Adaptation terminated
# Step size = 0.1006
# Elements of inverse mass matrix:
# 0.440362, 0.00823819, -0.0270554, -0.0273193
# 0.00823819, 0.00653242, -0.0171626, 0.00494772
# -0.0270554, -0.0171626, 0.158771, -0.00806743
# -0.0273193, 0.00494772, -0.00806743, 0.0466764
-297.48137,0.99901684,0.10059988,5,31,0,299.44541,0.4086781,1.4200056,0.23785665,-3.0296199,0.048334007,-1.7070665,-1.7616236,-1.6076092,-1.5773591,-0.19096716,-1.7808659,-0.14176043,-2.6481214,-0.24534426,-0.096333674,-4.8724929,-0.15252745,-1.0494661,-0.11867424,-2.2526088,-0.76524377,-0.26860577,-1.3380758,-1.9810192,-0.55640585,-0.34220021,-0.25430739,-0.094059261,-1.3479388,-0.71769436,-0.97889902,-3.2022131,-1.0221384,-0.90764346,-0.21515996,-0.58239493,-0.62397525,-0.74729829,-2.6613418,-0.20441152,-0.61671984,-0.093548578,-3.1182674,-0.1045457,-0.32199616,-0.79221142,-1.2721335,-0.3808945,-0.10769216,-0.37544013,-1.3274441,-0.68679313,-0.18104703,-0.96251664,-0.87422286,-1.7733097,-0.81886598,-0.27731477,-0.9366722,-0.12865184,-0.20328149,-2.427121,-0.60631861,-1.1809169,-0.10995897,-0.56283153,-1.4299304,-0.12962115,-2.8722747,-2.1579848,-0.3214762,-0.18696928,-1.264109,-0.24129515,-0.2269473,-0.42574291,-0.22068903,-2.2017482,-0.9480576,-0.20097919,-0.081568411,-1.1746509,-2.174303,-0.96300651,-0.90931864,-0.27335595,-0.1196711,-0.091480306,-0.51094581,-0.95979161,-1.3707174,-0.56996383,-2.8273774,-1.251846,-0.099994078,-0.17321678,-0.88883877,-0.11282778,-0.65209316,-1.2255849,-0.17030087,-0.81027553,-0.48238189,-0.39479737,-1.4568208,-0.66650573,-1.4202496,-0.51572376,-0.4511662,-0.90886102,-1.2821191,-0.9856152,-0.083739731,-0.36831898,-0.80876934,-0.92745707,-0.90453385,-0.61268709,-1.6067531,-0.67923726,-0.37124972,-0.85121523,-0.082455469,-0.09828056,-0.62324681,-0.83991141,-0.21149469,-0.27581547,-0.81333743,-1.4883295,-0.18926974,-0.51863278,-0.36996117,-0.10115886,-0.12607395,-1.0411204,-0.20884528,-0.55741388,-0.132519,-0.90498881,-0.33843354,-0.59344054,-0.54695352,-0.31013451,-1.6303217,-0.47657472,-0.15916486,-0.1536535,-1.8169358,-1.5976263,-0.73941021,-0.51713696,-0.26416649,-1.2855629,-0.11953984,-0.8488942,-1.2501777,-0.54992334,-1.3385664,-3.2261922,-1.1219708,-1.2589917,-1.4993672,-0.31770538,-1.4906606,-0.68846736,-3.0873752,-5.2293515,-0.89076014,-0.15570625,-0.29688622,-1.4994559,-0.097978701,-1.9297631,-1.4702213,-0.42132581,-2.0298584,-3.2330369,-1.8919101,-0.23509048,-0.52862939,-0.17970731,-0.53412697,-0.1574166,-0.17890875,-4.5987465,-2.8164666,-2.8229545,-0.56048002,-0.16834522,-3.0006053,-0.28077144,-0.27235132,-0.30715709,-0.79467671,-0.90728404,-0.45797085,-1.3012188,-0.76277511,-1.9580909,-0.26181206,-2.2822372,-1.1363973,-3.2936078,-0.075447056,-1.6134879,-0.57596678,-0.99933358,-0.19058523,-0.080793395,-0.084545458,-0.20870413,-1.6873235,-0.27877451,-4.4823794,-1.2870564,-0.31863139,-0.080411064,-3.6605041,-1.2388425,-0.077016415,-0.75763699,-0.30132698,-0.36224383,-1.1305548,-0.5506274,-2.7758987,-0.59792744,-1.6888476,-0.094389315,-0.075407689,-0.082484998,-0.13297605,-0.39992498,-0.41809863,-2.534997,-4.5229975,-0.15640136,-0.11701405,-2.0862779,-0.80153714,-0.8125894,-0.64405916,-0.25842076,-0.89674193,-0.11704601,-1.1978818,-0.15267712,-1.752112,-0.79867839,-1.0260839,-2.1430344,-1.2321917,-0.07131937,-1.2265281,-0.90154159,-0.24087344,-0.82539908,-1.4335691,-2.1982829,-1.3405572,-1.1681578,-0.27742086,-0.21634358,-2.0284435,-0.31801509,-0.12094945,-1.1343739,-0.45028454,-0.23854883,-1.5876845,-0.97502808,-1.6962693,-0.29589443,-1.2309338,-1.0804017,-1.6684468,-1.9161564,-1.3173206,-0.074329839,-1.07263,-0.14521281,-0.5397916,-0.15374899,-0.29117291,-0.43596232,-1.1403185,-0.41319977,-0.9105853,-2.2343088,-1.2011198,-0.10550312,-0.084549006,-1.1783748,-0.13556194,-2.1128315,-1.5486029,-0.19018178,-2.1717787,-0.05633982,-0.11833868,-0.20935535,-1.7322127,-0.40409517,-0.39202085
-298.09603,0.99889281,0.10059988,4,31,0,298.93739,0.48561788,1.4233841,0.24212899,-3.0728425,0.046289391,-1.6912165,-1.7480504,-1.5942174,-1.5621242,-0.18637368,-1.7652984,-0.13663348,-2.6251356,-0.23892138,-0.098550851,-4.9957936,-0.17791801,-1.0357693,-0.13807657,-2.2342987,-0.75122001,-0.26075232,-1.3235745,-1.9590148,-0.5459117,-0.33334141,-0.24669163,-0.09565452,-1.333524,-0.84447398,-1.1549276,-3.1752431,-1.0102697,-0.89527029,-0.20849464,-0.57187797,-0.6131199,-0.73634428,-2.630689,-0.1982288,-0.60412263,-0.094708503,-3.0823808,-0.10111494,-0.31583529,-0.78319858,-1.2554362,-0.37393387,-0.12598189,-0.36939552,-1.3196551,-0.6741621,-0.17623925,-0.95160326,-0.86378927,-1.7539803,-0.80580778,-0.26786152,-1.1012232,-0.12300968,-0.19772236,-2.4082951,-0.59547031,-1.3942192,-0.10892163,-0.55427293,-1.415132,-0.12718526,-2.8347532,-2.1556549,-0.37573507,-0.17726692,-1.2492127,-0.28377399,-0.22395045,-0.41550612,-0.21562006,-2.183691,-0.93508718,-0.19225008,-0.080016669,-1.1646436,-2.1551366,-0.95115567,-0.89681284,-0.26529628,-0.13729912,-0.095721912,-0.50173761,-0.94966806,-1.3548273,-0.55996252,-2.8146265,-1.2366576,-0.10153659,-0.16835501,-0.87800155,-0.11513437,-0.76932051,-1.2100243,-0.19699809,-0.79689071,-0.47423855,-0.38691106,-1.440278,-0.65626407,-1.4110916,-0.50498998,-0.44052351,-0.89380793,-1.2646486,-0.97064822,-0.085459461,-0.35945409,-0.79758997,-1.0990989,-0.88914522,-0.60482428,-1.5884741,-0.66534447,-0.4300249,-0.84291137,-0.082159578,-0.10136598,-0.61669852,-0.83290126,-0.20137243,-0.26899478,-0.79847234,-1.4800716,-0.18420585,-0.61189272,-0.35766003,-0.11057867,-0.11907339,-1.0314649,-0.24224323,-0.54552777,-0.14798912,-0.8919895,-0.32878556,-0.58227857,-0.53754606,-0.35928521,-1.6087963,-0.46873439,-0.18402128,-0.17813145,-1.804575,-1.5843579,-0.73052297,-0.50892072,-0.25826204,-1.27313,-0.11996332,-0.83402423,-1.2315861,-0.54282143,-1.3200104,-3.1784206,-1.105297,-1.2496661,-1.4842737,-0.30925112,-1.4771059,-0.67869572,-3.0585739,-5.1103624,-0.87774144,-0.15193361,-0.28789177,-1.4807209,-0.1049551,-1.9059959,-1.4509801,-0.40941204,-2.0191994,-3.2270839,-1.8802408,-0.22709626,-0.51652614,-0.20802721,-0.52633643,-0.18262725,-0.17253628,-4.5793035,-2.7919106,-2.7881713,-0.55275023,-0.16288305,-2.9818604,-0.27236207,-0.26377974,-0.29811828,-0.78207785,-0.89674197,-0.53604249,-1.2851584,-0.75283819,-1.9432128,-0.25498609,-2.2686717,-1.1217814,-3.2622774,-0.075872243,-1.5999828,-0.5667032,-0.98297298,-0.18390399,-0.087116834,-0.087041607,-0.24352824,-1.6685677,-0.32985751,-4.3285389,-1.2717541,-0.37860141,-0.08507887,-3.6511176,-1.2264019,-0.080079267,-0.88763002,-0.29159859,-0.35234926,-1.1198366,-0.54011007,-2.7507347,-0.58545066,-1.6695102,-0.097942766,-0.082280851,-0.090933909,-0.15625182,-0.39276164,-0.41054143,-2.5092847,-4.5188678,-0.15452742,-0.1399146,-2.0649661,-0.94581546,-0.80302124,-0.63476073,-0.2492777,-0.88604302,-0.12110792,-1.4131858,-0.14983081,-1.7334573,-0.78791916,-1.012371,-2.1211049,-1.2167744,-0.084088258,-1.2140414,-0.88879337,-0.23346653,-0.81451732,-1.6982854,-2.1850075,-1.3283183,-1.1565562,-0.31924579,-0.209782,-2.4547014,-0.31033587,-0.12010419,-1.1189966,-0.44114257,-0.23365232,-1.5615526,-0.95724669,-1.6923822,-0.34993603,-1.21469,-1.0687781,-1.6507774,-1.8953908,-1.3066563,-0.084037418,-1.0580467,-0.14411116,-0.52871579,-0.14962592,-0.34466006,-0.50925451,-1.1260238,-0.40458124,-0.89684435,-2.2141077,-1.1867465,-0.10211763,-0.083390313,-1.1654225,-0.15237892,-2.0929271,-1.5347112,-0.18480925,-2.155077,-0.062140898,-0.12156113,-0.20378821,-1.7149964,-0.39470482,-0.38281478
-298.36646,0.99828581,0.10059988,5,31,0,300.43934,0.37959434,1.4783654,0.22948467,-3.1686056,0.042062207,-1.6400896,-1.686391,-1.5434425,-1.5204875,-0.24858843,-1.7047661,-0.20668427,-2.5258368,-0.29653829,-0.17115395,-4.3901219,-0.24353501,-1.0344942,-0.20811272,-2.1460315,-0.77298078,-0.31746641,-1.2993166,-1.8992793,-0.57917401,-0.38382523,-0.30477062,-0.17093318,-1.3087652,-0.75478583,-0.97627503,-3.0177064,-1.0081582,-0.90265632,-0.27012727,-0.60306623,-0.64132735,-0.75469943,-2.5454916,-0.26059801,-0.63550973,-0.16983247,-2.9746461,-0.17655146,-0.36440714,-0.79380569,-1.2436262,-0.41730638,-0.19690617,-0.41290859,-1.2864962,-0.69964357,-0.23998915,-0.95354641,-0.86954758,-1.7125738,-0.82349136,-0.32593874,-0.94161108,-0.1952096,-0.25922437,-2.279679,-0.62643266,-1.1442508,-0.18405433,-0.58519921,-1.3781736,-0.19567957,-2.7051242,-2.0463161,-0.40426452,-0.24648635,-1.2288448,-0.32995082,-0.27926687,-0.46033454,-0.27468384,-2.0930393,-0.94025474,-0.25816671,-0.15897354,-1.1437085,-2.0639027,-0.95374576,-0.90407625,-0.32179944,-0.20767233,-0.17195921,-0.53748144,-0.94802109,-1.3294579,-0.59204492,-2.6423267,-1.2247038,-0.17651154,-0.23309942,-0.88263191,-0.18709257,-0.69796636,-1.1940021,-0.25888957,-0.81276321,-0.51101848,-0.43098461,-1.4144322,-0.68085479,-1.372595,-0.54210487,-0.48329854,-0.90631826,-1.2528135,-0.97773016,-0.1602319,-0.40691645,-0.81242902,-0.93162097,-0.89856831,-0.63112535,-1.5437576,-0.69167904,-0.44877544,-0.85050594,-0.1577877,-0.1781355,-0.63903436,-0.83779307,-0.26804509,-0.32346639,-0.81717179,-1.4336038,-0.24707473,-0.57993999,-0.41020344,-0.17985849,-0.19396675,-1.0210168,-0.29366446,-0.5822553,-0.21559574,-0.90399031,-0.38128719,-0.61525615,-0.56847361,-0.3919403,-1.5670179,-0.50554378,-0.248248,-0.24492527,-1.7374368,-1.5358069,-0.74541098,-0.54172672,-0.31292153,-1.2514496,-0.18853712,-0.84960786,-1.2216448,-0.57167724,-1.304466,-3.1157684,-1.1049931,-1.2206831,-1.4447011,-0.36123429,-1.4442149,-0.70082438,-2.9640453,-4.6374295,-0.88959533,-0.2181213,-0.3429277,-1.4517864,-0.17770364,-1.8579778,-1.4283121,-0.4564426,-1.9232475,-2.9711008,-1.7950394,-0.28783276,-0.55390859,-0.26901204,-0.55794465,-0.2473591,-0.23889464,-4.267198,-2.6648674,-2.6971509,-0.58095134,-0.22921952,-2.8581602,-0.32844871,-0.32108134,-0.35216237,-0.79816573,-0.90266289,-0.52717427,-1.2653514,-0.76719322,-1.876815,-0.31116858,-2.1745106,-1.1170355,-3.166739,-0.1541997,-1.5466299,-0.59690036,-0.98891221,-0.24902349,-0.16324229,-0.16274337,-0.2948914,-1.6298421,-0.36447816,-4.0303587,-1.2464364,-0.40133667,-0.15878801,-3.4942853,-1.209929,-0.15565999,-0.78995578,-0.34748772,-0.40257922,-1.1086689,-0.57453232,-2.6007537,-0.61775192,-1.6232322,-0.17415167,-0.15791475,-0.16560625,-0.22391958,-0.43475639,-0.45114958,-2.4389074,-3.9356883,-0.22033311,-0.20930176,-2.0034395,-0.82645141,-0.81213231,-0.65759916,-0.30893713,-0.88885138,-0.19228144,-1.1585976,-0.21462975,-1.6712077,-0.80402191,-1.008612,-2.0245503,-1.1972973,-0.15962458,-1.2020653,-0.89385402,-0.29268394,-0.82954665,-1.3495525,-2.1196423,-1.30922,-1.1484174,-0.36009283,-0.2707103,-1.8025272,-0.36202799,-0.18753086,-1.1079032,-0.48273366,-0.28976779,-1.5322448,-0.96635369,-1.6241141,-0.37666379,-1.2027362,-1.0608912,-1.6070256,-1.8404556,-1.2753636,-0.16287961,-1.0588584,-0.21102916,-0.56373685,-0.21622871,-0.37556175,-0.50728826,-1.1201823,-0.44744865,-0.90442951,-2.1444249,-1.1773884,-0.17594532,-0.15935006,-1.1562495,-0.22093566,-1.9983772,-1.5009113,-0.24904802,-2.0903987,-0.14129126,-0.19379152,-0.26553618,-1.6499587,-0.44072146,-0.42796394
