# stan_version_major = 2
# stan_version_minor = 37
# stan_version_patch = 0
# model = rlddm_single_subject_model
# start_datetime = 2025-09-25 02:55:44 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 2000
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.999
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = dense_e
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /Users/jy4657/Desktop/Repositories/tst-stan/recovery_out/tmp_subject_9/tmp57yz1a6e/q3y9vyry.json
# init = 2 (Default)
# random
#   seed = 2036
# output
#   file = /Users/jy4657/Desktop/Repositories/tst-stan/cmdstan_tmp/rlddm_single_subject-20250924225544_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.37.0
# stancflags = --filename-in-msg=rlddm_single_subject.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,a,t0,log_scaler,scaler,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46,log_lik.47,log_lik.48,log_lik.49,log_lik.50,log_lik.51,log_lik.52,log_lik.53,log_lik.54,log_lik.55,log_lik.56,log_lik.57,log_lik.58,log_lik.59,log_lik.60,log_lik.61,log_lik.62,log_lik.63,log_lik.64,log_lik.65,log_lik.66,log_lik.67,log_lik.68,log_lik.69,log_lik.70,log_lik.71,log_lik.72,log_lik.73,log_lik.74,log_lik.75,log_lik.76,log_lik.77,log_lik.78,log_lik.79,log_lik.80,log_lik.81,log_lik.82,log_lik.83,log_lik.84,log_lik.85,log_lik.86,log_lik.87,log_lik.88,log_lik.89,log_lik.90,log_lik.91,log_lik.92,log_lik.93,log_lik.94,log_lik.95,log_lik.96,log_lik.97,log_lik.98,log_lik.99,log_lik.100,log_lik.101,log_lik.102,log_lik.103,log_lik.104,log_lik.105,log_lik.106,log_lik.107,log_lik.108,log_lik.109,log_lik.110,log_lik.111,log_lik.112,log_lik.113,log_lik.114,log_lik.115,log_lik.116,log_lik.117,log_lik.118,log_lik.119,log_lik.120,log_lik.121,log_lik.122,log_lik.123,log_lik.124,log_lik.125,log_lik.126,log_lik.127,log_lik.128,log_lik.129,log_lik.130,log_lik.131,log_lik.132,log_lik.133,log_lik.134,log_lik.135,log_lik.136,log_lik.137,log_lik.138,log_lik.139,log_lik.140,log_lik.141,log_lik.142,log_lik.143,log_lik.144,log_lik.145,log_lik.146,log_lik.147,log_lik.148,log_lik.149,log_lik.150,log_lik.151,log_lik.152,log_lik.153,log_lik.154,log_lik.155,log_lik.156,log_lik.157,log_lik.158,log_lik.159,log_lik.160,log_lik.161,log_lik.162,log_lik.163,log_lik.164,log_lik.165,log_lik.166,log_lik.167,log_lik.168,log_lik.169,log_lik.170,log_lik.171,log_lik.172,log_lik.173,log_lik.174,log_lik.175,log_lik.176,log_lik.177,log_lik.178,log_lik.179,log_lik.180,log_lik.181,log_lik.182,log_lik.183,log_lik.184,log_lik.185,log_lik.186,log_lik.187,log_lik.188,log_lik.189,log_lik.190,log_lik.191,log_lik.192,log_lik.193,log_lik.194,log_lik.195,log_lik.196,log_lik.197,log_lik.198,log_lik.199,log_lik.200,log_lik.201,log_lik.202,log_lik.203,log_lik.204,log_lik.205,log_lik.206,log_lik.207,log_lik.208,log_lik.209,log_lik.210,log_lik.211,log_lik.212,log_lik.213,log_lik.214,log_lik.215,log_lik.216,log_lik.217,log_lik.218,log_lik.219,log_lik.220,log_lik.221,log_lik.222,log_lik.223,log_lik.224,log_lik.225,log_lik.226,log_lik.227,log_lik.228,log_lik.229,log_lik.230,log_lik.231,log_lik.232,log_lik.233,log_lik.234,log_lik.235,log_lik.236,log_lik.237,log_lik.238,log_lik.239,log_lik.240,log_lik.241,log_lik.242,log_lik.243,log_lik.244,log_lik.245,log_lik.246,log_lik.247,log_lik.248,log_lik.249,log_lik.250,log_lik.251,log_lik.252,log_lik.253,log_lik.254,log_lik.255,log_lik.256,log_lik.257,log_lik.258,log_lik.259,log_lik.260,log_lik.261,log_lik.262,log_lik.263,log_lik.264,log_lik.265,log_lik.266,log_lik.267,log_lik.268,log_lik.269,log_lik.270,log_lik.271,log_lik.272,log_lik.273,log_lik.274,log_lik.275,log_lik.276,log_lik.277,log_lik.278,log_lik.279,log_lik.280,log_lik.281,log_lik.282,log_lik.283,log_lik.284,log_lik.285,log_lik.286,log_lik.287,log_lik.288,log_lik.289,log_lik.290,log_lik.291,log_lik.292,log_lik.293,log_lik.294,log_lik.295,log_lik.296,log_lik.297,log_lik.298,log_lik.299,log_lik.300
# Adaptation terminated
# Step size = 0.0481746
# Elements of inverse mass matrix:
# 0.341528, 0.0330664, -0.187869, -0.0961659
# 0.0330664, 0.00762976, -0.0453205, -0.00359658
# -0.187869, -0.0453205, 1.04921, 0.0234239
# -0.0961659, -0.00359658, 0.0234239, 0.0782223
-247.26661,0.99863247,0.048174638,5,63,0,250.58898,0.10258916,1.362515,0.40072478,-3.0410877,0.047782889,-1.0348772,-0.33621176,-1.757971,-0.39876422,-2.0673069,-1.0207107,-0.005143064,-0.90898129,-1.4550181,-0.49886729,-0.27370464,-1.065374,-1.6459965,-2.6167349,-0.24499468,-0.022908864,-0.14007141,-0.031510248,-0.46708455,-0.021036271,-0.61662982,-0.84087096,-0.07445212,-0.33016229,-0.52345604,-1.5315028,-0.12702505,-0.0085706768,-0.42875585,-0.093511165,-0.19164934,-0.84405007,-0.22792509,-2.9422823,-1.2754585,-1.2997627,-0.883222,-1.5245296,-0.29050675,-1.5557,-0.015881239,-0.005858976,-2.6798196,-1.5684557,-0.63373042,-0.21820671,-1.2315964,-0.36753315,-1.5790293,-0.88989273,-0.066783693,-0.24315667,-0.09181436,-0.11156688,-1.0218725,-0.95439358,-0.22516772,-0.24539181,-0.032576606,-0.40187968,-0.040744597,-0.45077636,-0.076895546,-2.0934346,-0.44242374,-1.2217295,-1.5755829,-0.3397327,-0.31333522,-0.41602191,-0.019598034,-0.035241847,-0.052046723,-0.1697329,-0.01590747,-0.1817329,-0.59067285,-0.0085630389,-0.48680801,-1.6258385,-0.13014467,-3.1333042,-0.095417418,-0.12165516,-0.43025823,-1.6852804,-0.304897,-0.57313032,-3.9708335,-0.70119076,-0.96859867,-3.5002401,-0.6890735,-0.99154941,-0.93204849,-0.24800143,-0.015061181,-0.23956258,-0.042280818,-6.8553941,-0.15428104,-0.16219582,-1.324225,-0.11359302,-0.017701684,-0.39883745,-0.038510949,-0.070351471,-0.47549659,-0.27390879,-1.0121161,-0.82817025,-0.019031419,-0.17057159,-1.6332489,-0.59592955,-0.0035455676,-0.5490425,-0.46197293,-0.28525383,-0.58298339,-2.4778899,-3.0456066,-0.047008069,-0.039459861,-0.0020061394,-1.8148658,-0.31856304,-0.26222185,-0.16287562,-2.0449953,-0.26985275,-0.44524074,-0.30846677,-0.7620099,-1.6874473,-1.4075386,-0.11863927,-0.012996811,-0.39391145,-0.022840807,-0.068794042,-0.31243657,-0.33419073,-0.15388803,-4.6697428,-3.3188759,-0.52218111,-0.86867832,-0.61786728,-0.72272781,-0.10559778,-0.18343495,-1.5084129,-0.95985762,-0.36646213,-0.047581975,-3.3494003,-1.16422,-0.90381268,-0.1495323,-0.20240852,-0.025727867,-0.31267391,-1.8976613,-0.29854783,-2.5452722,-1.5594723,-0.86974609,-0.045399454,-0.0011007612,-0.047219735,-0.34318637,-1.6307434,-1.8941687,-2.5639159,-1.3308887,-0.01665702,-0.25645419,-0.086624567,-0.54438262,-1.2055979,-0.58058685,-0.1164877,-0.12034676,-0.15832454,-0.069142617,-3.9406248,-0.052365388,-0.058090143,-0.19298345,-3.7517938,-0.77679548,-0.20994347,-0.95633803,-0.015746034,-0.051203635,-2.1479987,-0.34798784,-0.066051938,-0.24118916,-0.0023141184,-0.257024,-0.96430043,-0.76921033,-2.2387252,-0.18429121,-0.54375971,-0.23350903,-0.20355007,-0.10104633,-0.91635352,-0.4551987,-0.95807182,-0.18079132,-1.8640514,-0.32290946,-0.67428376,-0.088712143,-0.93969815,-1.3986226,-0.024158771,-0.42604402,-0.59221608,-0.014761509,0.0096196739,-0.019638229,-2.0550746,-0.046681955,-1.0166688,-0.26593377,-0.34309778,-0.29871447,-1.1435347,-1.4186078,-0.084639387,-0.48225106,-1.1788491,-0.1699422,-1.5547879,-0.1517384,-0.018094956,-0.17298023,-0.072699782,-0.39328617,-0.0066054081,-0.52080249,-0.13684473,-0.044517188,-0.32374517,0.0072429577,-0.12242289,-2.336693,-0.77593849,-1.5223699,-0.015130529,-1.2581655,-0.38914005,-1.1647849,0.013309965,-0.57916037,-0.081607144,-3.4434979,-0.37364038,-1.2182711,-1.8837259,-0.030380064,-0.04328068,-2.1915381,-0.31169681,-0.059123188,-1.6856056,-1.0432907,-1.1962522,-0.16732304,-3.1160967,0.0070951034,0.0036031317,-1.4110639,0.0057505865,-1.0754852,-1.3683646,-0.43477653,-1.5717087,-0.069632042,-0.028102303,-0.39138482,-0.32175735,-1.7339423,-0.49686894,-2.0547554,-0.54207654,-0.059274764,-1.1567728,-0.62797458,-0.019109061,-0.28243451,-0.43231365,-0.77164395,-0.47163937
-249.26278,0.99919203,0.048174638,5,63,0,250.33687,0.1178411,1.3866133,0.40235831,-3.2587435,0.038436662,-1.0119712,-0.33844677,-1.71066,-0.39845692,-2.0080315,-1.2221677,-0.043311146,-0.89079009,-1.4172559,-0.49498997,-0.27896657,-1.0423242,-1.6033829,-2.5365911,-0.25128044,-0.07210177,-0.21495871,-0.084331609,-0.46415833,-0.069557504,-0.60837131,-0.82467161,-0.092658503,-0.33273747,-0.51835,-1.4908734,-0.19928438,-0.044138553,-0.42693814,-0.16209699,-0.20067056,-0.82863186,-0.23549254,-2.8671992,-1.246202,-1.2656682,-0.8642356,-1.4876778,-0.29529677,-1.5178905,-0.057452777,-0.036568737,-2.6084777,-1.5245942,-0.62556142,-0.22646107,-1.2035061,-0.4768399,-1.5400061,-0.87061898,-0.085923123,-0.25021294,-0.10810126,-0.17983405,-1.0008396,-0.93269141,-0.23196268,-0.2522963,-0.05642807,-0.40083801,-0.063939075,-0.44908706,-0.095384324,-2.0365427,-0.43985641,-1.1914195,-1.5326981,-0.34234934,-0.31607413,-0.41452752,-0.068645397,-0.089274948,-0.072490913,-0.25021048,-0.042966865,-0.19118201,-0.58292232,-0.051280967,-0.61477678,-1.5837397,-0.14310069,-3.0400614,-0.11123831,-0.19412492,-0.42859705,-1.6398242,-0.4067532,-0.56612262,-3.8496957,-0.68972576,-0.94790947,-3.3877159,-0.67811301,-0.96977186,-0.91255403,-0.34039819,-0.062989028,-0.33209154,-0.065341173,-6.2990708,-0.16560984,-0.17310934,-1.5660139,-0.12838471,-0.046743916,-0.39846502,-0.062254748,-0.089501847,-0.4723034,-0.27893754,-0.99029062,-0.812215,-0.064843224,-0.181208,-1.5887844,-0.73914838,-0.044408973,-0.54310966,-0.45922702,-0.29097844,-0.57438493,-2.4121444,-2.9502146,-0.068107725,-0.062531188,-0.040461964,-1.7634492,-0.32081929,-0.26702427,-0.242163,-1.9862709,-0.36557516,-0.44332714,-0.31192213,-0.9282266,-1.6407955,-1.3730337,-0.1328314,-0.049224877,-0.39346588,-0.047893801,-0.087956778,-0.31534274,-0.3368726,-0.16559679,-4.4169141,-3.1913385,-0.51578734,-0.85343987,-0.60791763,-0.70908114,-0.17717965,-0.19215888,-1.4655478,-0.94128249,-0.36642645,-0.070065931,-3.2613749,-1.1351307,-0.88466428,-0.22800915,-0.21140578,-0.07714839,-0.31508351,-1.8475745,-0.30283332,-2.4649311,-1.5199396,-0.85177887,-0.10227156,-0.035465433,-0.068732629,-0.3456294,-1.5899062,-1.8387314,-2.4939182,-1.2967689,-0.043952117,-0.26197529,-0.15298929,-0.53807949,-1.1778572,-0.57409101,-0.1861141,-0.19355667,-0.16911399,-0.088053406,-3.8016631,-0.1115585,-0.078614076,-0.2027936,-3.6020914,-0.76146493,-0.21745494,-0.93447545,-0.047105857,-0.11160895,-2.0941106,-0.35068844,-0.13026063,-0.24688574,-0.03383546,-0.35431952,-0.94178382,-0.75717199,-2.1842529,-0.1948198,-0.53637311,-0.24159855,-0.21315168,-0.11620607,-0.89477834,-0.45432686,-0.94070314,-0.18957279,-1.8026028,-0.32726701,-0.66146585,-0.16007534,-0.9231917,-1.3573207,-0.051885132,-0.42662097,-0.58234691,-0.041827463,-0.032428643,-0.074658464,-2.0092267,-0.096339318,-0.99046357,-0.2730656,-0.34697086,-0.30068435,-1.3661719,-1.3888711,-0.1430661,-0.48107432,-1.3962976,-0.17885826,-1.5060537,-0.16189695,-0.050650754,-0.18165316,-0.090275747,-0.39094382,-0.035784954,-0.51327847,-0.21702524,-0.093089663,-0.32518789,-0.036999271,-0.13779192,-2.2879646,-0.76530107,-1.4748213,-0.042132741,-1.2218284,-0.39153828,-1.1425034,-0.026800822,-0.56918964,-0.10019651,-3.4057783,-0.37192005,-1.1831344,-1.8441508,-0.054752785,-0.10649174,-2.109,-0.40804601,-0.07841336,-1.6291353,-1.0251238,-1.1617556,-0.17584923,-3.0642878,-0.035477833,-0.042187443,-1.3695068,-0.027653414,-1.054586,-1.328956,-0.43556818,-1.5230505,-0.086923917,-0.083915393,-0.39346942,-0.42980754,-1.6812105,-0.49061983,-2.0047919,-0.5348361,-0.079600016,-1.1266271,-0.61757173,-0.062403451,-0.28583738,-0.42889728,-0.75953671,-0.47024077
-249.64458,0.99999918,0.048174638,6,63,0,250.52333,0.09243396,1.3781833,0.40463528,-3.1307476,0.043685128,-1.0123001,-0.3303274,-1.7200513,-0.3911317,-2.0201645,-1.2913079,-0.031382025,-0.88979772,-1.4224865,-0.48897922,-0.27010333,-1.0430166,-1.6107956,-2.556208,-0.24199197,-0.061769329,-0.21111537,-0.075105958,-0.45768303,-0.059104035,-0.60378155,-0.82269676,-0.081015137,-0.32494919,-0.51256017,-1.4968938,-0.19488878,-0.031697911,-0.41946895,-0.15683603,-0.1901038,-0.8272895,-0.22626169,-2.8929408,-1.25017,-1.2683115,-0.8621629,-1.4946443,-0.28709981,-1.5252431,-0.045875346,-0.024047108,-2.626207,-1.5316811,-0.62080594,-0.21641704,-1.205965,-0.48844256,-1.5465277,-0.86899163,-0.073903869,-0.24111278,-0.096419013,-0.1746978,-1.0008946,-0.93195573,-0.22254383,-0.24259874,-0.044918972,-0.39449833,-0.050929216,-0.44144986,-0.082838982,-2.0457452,-0.43420638,-1.19542,-1.5414524,-0.33363591,-0.30841646,-0.40804123,-0.057585294,-0.079191999,-0.061399782,-0.24771362,-0.031629249,-0.18201645,-0.57865085,-0.039277679,-0.63494037,-1.5901423,-0.13253777,-3.0594605,-0.10053463,-0.19052183,-0.42237727,-1.6461213,-0.41372213,-0.56175061,-3.9010893,-0.68717028,-0.94873801,-3.4046353,-0.67556698,-0.96796722,-0.9105096,-0.34293027,-0.053218949,-0.33622465,-0.052400825,-6.206131,-0.15591208,-0.16355611,-1.6658726,-0.11616612,-0.033692269,-0.39030355,-0.049328725,-0.076750351,-0.46673704,-0.26922547,-0.99141791,-0.80913149,-0.053250062,-0.17027961,-1.594853,-0.7693478,-0.033260761,-0.53814716,-0.4531843,-0.28103524,-0.57061089,-2.422505,-2.9740926,-0.056834144,-0.050069812,-0.029395803,-1.7762007,-0.31358034,-0.25903766,-0.23911596,-2.0021932,-0.37016679,-0.43690398,-0.30373468,-0.97313568,-1.646372,-1.379501,-0.12091625,-0.036288392,-0.38519333,-0.036427642,-0.07544559,-0.30631248,-0.32932394,-0.15562791,-4.5219353,-3.2354063,-0.51045512,-0.85043005,-0.6044405,-0.70706437,-0.17159576,-0.18217242,-1.4724535,-0.93896498,-0.36021962,-0.056474978,-3.2700865,-1.1390336,-0.88381879,-0.22426288,-0.20108913,-0.065826875,-0.30779879,-1.8575193,-0.2941196,-2.4844609,-1.5257211,-0.85042631,-0.093961666,-0.023077849,-0.056814106,-0.33769294,-1.5974615,-1.8471551,-2.5149394,-1.3004208,-0.031216331,-0.25313933,-0.14637875,-0.5322451,-1.1803075,-0.56914121,-0.18103221,-0.18878221,-0.15907011,-0.076330999,-3.8469189,-0.10244317,-0.066103326,-0.19215354,-3.6452272,-0.75889503,-0.20774707,-0.93409123,-0.034918349,-0.10315273,-2.106183,-0.34256249,-0.1228745,-0.23761961,-0.021114326,-0.35897153,-0.94152085,-0.75419243,-2.1974087,-0.18480608,-0.53062573,-0.23243436,-0.20358429,-0.10457901,-0.89345122,-0.44797788,-0.94033565,-0.17903711,-1.8128507,-0.31887338,-0.65773601,-0.15447805,-0.92159413,-1.3632828,-0.040541608,-0.4188801,-0.57820219,-0.028773138,-0.019896005,-0.06419278,-2.0180464,-0.087362895,-0.991701,-0.26344255,-0.33833142,-0.29269475,-1.4487267,-1.3922451,-0.13610321,-0.47423848,-1.4802707,-0.16933903,-1.5152336,-0.15213968,-0.039821049,-0.17244647,-0.079666525,-0.38474624,-0.022183688,-0.50880441,-0.21309798,-0.084560632,-0.31718054,-0.025165264,-0.12561636,-2.2955663,-0.76092564,-1.4844342,-0.028719665,-1.2274817,-0.38303377,-1.1423936,-0.013612101,-0.56538352,-0.087743813,-3.4050047,-0.3656268,-1.1880655,-1.8499573,-0.041505013,-0.097388036,-2.1304415,-0.41605355,-0.068172707,-1.6420189,-1.0232978,-1.1675189,-0.1676097,-3.0594511,-0.021453085,-0.028667544,-1.3779232,-0.014822922,-1.0547344,-1.3342297,-0.4267123,-1.5355996,-0.077620353,-0.072168844,-0.38400849,-0.43724572,-1.6919668,-0.48638046,-2.0142126,-0.52980861,-0.067285422,-1.1293525,-0.61393306,-0.052362653,-0.27788124,-0.4239466,-0.75546244,-0.46183427
