# stan_version_major = 2
# stan_version_minor = 37
# stan_version_patch = 0
# model = rlddm_single_subject_model
# start_datetime = 2025-09-25 02:55:46 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 2000
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.999
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = dense_e
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /Users/jy4657/Desktop/Repositories/tst-stan/recovery_out/tmp_subject_10/tmppo_24rp_/1hhtripd.json
# init = 2 (Default)
# random
#   seed = 2037
# output
#   file = /Users/jy4657/Desktop/Repositories/tst-stan/cmdstan_tmp/rlddm_single_subject-20250924225546_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.37.0
# stancflags = --filename-in-msg=rlddm_single_subject.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,a,t0,log_scaler,scaler,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46,log_lik.47,log_lik.48,log_lik.49,log_lik.50,log_lik.51,log_lik.52,log_lik.53,log_lik.54,log_lik.55,log_lik.56,log_lik.57,log_lik.58,log_lik.59,log_lik.60,log_lik.61,log_lik.62,log_lik.63,log_lik.64,log_lik.65,log_lik.66,log_lik.67,log_lik.68,log_lik.69,log_lik.70,log_lik.71,log_lik.72,log_lik.73,log_lik.74,log_lik.75,log_lik.76,log_lik.77,log_lik.78,log_lik.79,log_lik.80,log_lik.81,log_lik.82,log_lik.83,log_lik.84,log_lik.85,log_lik.86,log_lik.87,log_lik.88,log_lik.89,log_lik.90,log_lik.91,log_lik.92,log_lik.93,log_lik.94,log_lik.95,log_lik.96,log_lik.97,log_lik.98,log_lik.99,log_lik.100,log_lik.101,log_lik.102,log_lik.103,log_lik.104,log_lik.105,log_lik.106,log_lik.107,log_lik.108,log_lik.109,log_lik.110,log_lik.111,log_lik.112,log_lik.113,log_lik.114,log_lik.115,log_lik.116,log_lik.117,log_lik.118,log_lik.119,log_lik.120,log_lik.121,log_lik.122,log_lik.123,log_lik.124,log_lik.125,log_lik.126,log_lik.127,log_lik.128,log_lik.129,log_lik.130,log_lik.131,log_lik.132,log_lik.133,log_lik.134,log_lik.135,log_lik.136,log_lik.137,log_lik.138,log_lik.139,log_lik.140,log_lik.141,log_lik.142,log_lik.143,log_lik.144,log_lik.145,log_lik.146,log_lik.147,log_lik.148,log_lik.149,log_lik.150,log_lik.151,log_lik.152,log_lik.153,log_lik.154,log_lik.155,log_lik.156,log_lik.157,log_lik.158,log_lik.159,log_lik.160,log_lik.161,log_lik.162,log_lik.163,log_lik.164,log_lik.165,log_lik.166,log_lik.167,log_lik.168,log_lik.169,log_lik.170,log_lik.171,log_lik.172,log_lik.173,log_lik.174,log_lik.175,log_lik.176,log_lik.177,log_lik.178,log_lik.179,log_lik.180,log_lik.181,log_lik.182,log_lik.183,log_lik.184,log_lik.185,log_lik.186,log_lik.187,log_lik.188,log_lik.189,log_lik.190,log_lik.191,log_lik.192,log_lik.193,log_lik.194,log_lik.195,log_lik.196,log_lik.197,log_lik.198,log_lik.199,log_lik.200,log_lik.201,log_lik.202,log_lik.203,log_lik.204,log_lik.205,log_lik.206,log_lik.207,log_lik.208,log_lik.209,log_lik.210,log_lik.211,log_lik.212,log_lik.213,log_lik.214,log_lik.215,log_lik.216,log_lik.217,log_lik.218,log_lik.219,log_lik.220,log_lik.221,log_lik.222,log_lik.223,log_lik.224,log_lik.225,log_lik.226,log_lik.227,log_lik.228,log_lik.229,log_lik.230,log_lik.231,log_lik.232,log_lik.233,log_lik.234,log_lik.235,log_lik.236,log_lik.237,log_lik.238,log_lik.239,log_lik.240,log_lik.241,log_lik.242,log_lik.243,log_lik.244,log_lik.245,log_lik.246,log_lik.247,log_lik.248,log_lik.249,log_lik.250,log_lik.251,log_lik.252,log_lik.253,log_lik.254,log_lik.255,log_lik.256,log_lik.257,log_lik.258,log_lik.259,log_lik.260,log_lik.261,log_lik.262,log_lik.263,log_lik.264,log_lik.265,log_lik.266,log_lik.267,log_lik.268,log_lik.269,log_lik.270,log_lik.271,log_lik.272,log_lik.273,log_lik.274,log_lik.275,log_lik.276,log_lik.277,log_lik.278,log_lik.279,log_lik.280,log_lik.281,log_lik.282,log_lik.283,log_lik.284,log_lik.285,log_lik.286,log_lik.287,log_lik.288,log_lik.289,log_lik.290,log_lik.291,log_lik.292,log_lik.293,log_lik.294,log_lik.295,log_lik.296,log_lik.297,log_lik.298,log_lik.299,log_lik.300
# Adaptation terminated
# Step size = 0.067188
# Elements of inverse mass matrix:
# 0.33449, 0.0162311, -0.0145828, -0.0501748
# 0.0162311, 0.00624147, -0.0185543, 0.00491318
# -0.0145828, -0.0185543, 0.21771, -0.0224716
# -0.0501748, 0.00491318, -0.0224716, 0.0422758
-316.32302,0.99827948,0.067187976,5,63,0,318.08083,0.29238374,1.4718449,0.27517529,-3.2338484,0.039405559,-1.6418857,-0.64276536,-0.61799481,-0.55037892,-0.32205495,-1.0555602,-1.2361277,-1.464774,-1.2278917,-0.81413339,-0.97980496,-1.1380642,-1.0507969,-1.0061839,-0.16076439,-0.18149094,-0.41594188,-0.23267624,-1.7026926,-0.28511669,-0.46819813,-1.5737046,-0.78685979,-0.18378412,-0.53040064,-0.7905764,-0.9363442,-1.126885,-1.8284553,-0.35864186,-0.49437731,-1.1235673,-0.25478533,-1.6406467,-2.2498505,-0.29060222,-1.8178843,-0.18134118,-0.26981916,-0.52879497,-0.30241363,-0.15284344,-0.4968172,-0.87674898,-0.93985639,-0.28372461,-0.4296211,-0.83180923,-0.46283158,-0.57047187,-0.68341293,-0.17051048,-2.6586097,-0.28094069,-1.001694,-0.47047442,-1.7051309,-0.28245009,-0.43160664,-1.0202778,-1.0781705,-0.1662633,-5.7526732,-0.41692666,-0.17300683,-0.49601937,-1.827452,-0.16331402,-0.71980901,-3.0824887,-0.88558179,-1.7205484,-2.0135538,-0.50175777,-0.39283587,-2.2211533,-2.325083,-0.23508204,-2.5648788,-0.15206447,-2.5353606,-0.36228423,-1.6927148,-0.15890358,-0.92006518,-0.63048121,-0.95842836,-0.78457993,-1.279826,-1.1601418,-0.68345595,-0.21619304,-0.15902564,-3.0021604,-2.5717608,-0.15548669,-2.3172628,-0.7289429,-1.2591723,-0.42700779,-0.76292647,-0.59413608,-0.31250081,-0.4415231,-1.5236591,-0.37707453,-0.8275779,-1.247303,-0.5539252,-0.28692805,-0.21086304,-1.6691934,-1.4193516,-0.41075651,-2.220086,-1.1635156,-1.5893577,-2.4418134,-1.3068852,-0.45157812,-1.2236397,-2.9160712,-0.23412183,-1.2328136,-0.36495251,-2.4218892,-0.21679856,-0.17099104,-0.15642694,-0.25964003,-1.8571337,-0.22027592,-0.45529862,-0.27318532,-0.21329721,-4.0926879,-1.5570076,-0.48014575,-2.1432457,-0.55591554,-0.36866075,-1.224231,-0.36360621,-1.8036078,-0.28105358,-0.44354753,-1.2059727,-0.34367875,-0.47489286,-1.0058755,-0.15534578,-0.24049392,-4.2816854,-0.62822644,-3.0693319,-0.59842887,-0.35688037,-1.8499287,-0.31635496,-0.52320286,-1.3570061,-0.46680964,-0.4185395,-0.64930854,-0.37033817,-0.81663515,-1.5643046,-0.48625831,-2.8537346,-1.1673034,-0.62980413,-1.5619677,-0.15044215,-0.82000215,-0.55055156,-0.14980996,-1.5603852,-1.6849737,-1.109764,-0.44760214,-0.17697128,-2.1669636,-0.95651477,-0.50070312,-0.35440488,-0.30773242,-6.1570679,-1.4671556,-0.79370967,-1.4655516,-0.96185675,-1.9812421,-1.5881683,-0.16409816,-0.56581525,-0.34087697,-0.83253666,-0.20005134,-0.82115579,-1.8094706,-1.0529451,-4.2492319,-0.3381136,-1.0906259,-2.0648641,-1.424214,-0.40754686,-0.95461965,-0.90200986,-0.36482883,-0.44825075,-0.33699039,-2.2280111,-0.45355199,-0.77037458,-0.86986115,-0.82324131,-0.46948016,-0.34334685,-0.89306136,-0.87837648,-0.26304791,-0.4832807,-2.701711,-0.30051835,-0.22493651,-1.366096,-0.62386279,-0.96189801,-0.55628375,-0.17360671,-0.62942945,-1.3281507,-0.16818839,-2.2306382,-1.8410972,-0.46892473,-0.81646518,-0.89164528,-0.28771193,-1.0401712,-0.69935615,-0.3856591,-0.44807932,-3.40915,-5.3156246,-0.1576409,-0.21065061,-0.99035566,-0.64932756,-3.400943,-0.15104724,-0.29952102,-1.069737,-0.19504762,-0.2620922,-0.37013247,-0.72580197,-1.3857374,-1.1092126,-2.0358041,-0.3473187,-1.1684976,-0.356119,-0.57997042,-1.0854825,-0.26068511,-0.21778426,-1.2571622,-0.19702097,-0.99552714,-0.44977808,-0.1488781,-0.84224283,-0.28630723,-5.1532469,-0.44682814,-1.5600221,-1.979155,-0.1703606,-3.7432107,-0.38296522,-0.17278888,-1.5230589,-1.9459954,-0.52687857,-1.6296224,-1.7272423,-0.32891715,-0.20709,-0.15501118,-1.5601725,-0.25673908,-0.60926368,-1.0244065,-0.74895911,-0.26610919,-0.47807702,-0.50725131,-0.66666347
-315.45946,0.99973399,0.067187976,5,63,0,317.58964,0.36669407,1.4765722,0.27203366,-3.2814684,0.037573043,-1.6425374,-0.64980539,-0.6261459,-0.5589323,-0.31254163,-1.0578651,-1.2365934,-1.4705871,-1.2282099,-0.82011624,-0.98674617,-1.1451127,-1.0537341,-1.0076585,-0.16288561,-0.19101361,-0.42320397,-0.24074629,-1.7055076,-0.29565064,-0.47804266,-1.5782718,-0.7398842,-0.18654425,-0.53653066,-0.79411979,-0.94438778,-1.1320802,-1.8219252,-0.36693984,-0.50199924,-1.1278268,-0.26216339,-1.6456398,-2.2539347,-0.29806063,-1.8182191,-0.18498518,-0.2639342,-0.53527076,-0.31151552,-0.1606915,-0.50553979,-0.81877178,-0.94367227,-0.29159054,-0.41056246,-0.83406808,-0.46917724,-0.57807209,-0.69008841,-0.17618693,-2.6473249,-0.29043266,-1.0079221,-0.47727541,-1.7049405,-0.2912781,-0.41314035,-1.0253072,-1.0829781,-0.17340085,-5.6300233,-0.42284155,-0.18000427,-0.47373015,-1.829908,-0.17144368,-0.67802515,-3.080663,-0.89132323,-1.7207367,-2.0119753,-0.50970032,-0.40150315,-2.2182344,-2.3210913,-0.24404328,-2.5498881,-0.15823007,-2.5328252,-0.35099573,-1.6884532,-0.16367251,-0.92523601,-0.63792017,-0.96352819,-0.7907087,-1.2827146,-1.163996,-0.69027508,-0.22516851,-0.16609238,-3.0103821,-2.5700539,-0.16120067,-2.0959851,-0.73481686,-1.2622881,-0.435151,-0.76920843,-0.60151257,-0.32144978,-0.44991405,-1.5247623,-0.38562402,-0.83322898,-1.2500519,-0.56118578,-0.29445565,-0.2097838,-1.6661871,-1.4213467,-0.3939429,-2.2141655,-1.1684937,-1.5921914,-2.4410689,-1.3106361,-0.46021582,-1.2265139,-2.9058137,-0.24348995,-1.2326898,-0.37454174,-2.4212999,-0.21733955,-0.17926377,-0.16251647,-0.26878313,-1.8573669,-0.22958152,-0.46385033,-0.26578065,-0.20993312,-4.0802965,-1.5595228,-0.48729843,-2.1381881,-0.56596086,-0.37969878,-1.2292945,-0.3517818,-1.7995163,-0.2728043,-0.45330811,-1.2063858,-0.3290334,-0.48280496,-1.0096613,-0.16328018,-0.25034648,-4.2941706,-0.63602477,-3.0678709,-0.60716079,-0.36681635,-1.8495516,-0.32497237,-0.53139385,-1.3635843,-0.47554129,-0.40012982,-0.65696961,-0.38084102,-0.82535251,-1.4322063,-0.49526845,-2.8403158,-1.1706274,-0.63689508,-1.5672264,-0.15528378,-0.82373327,-0.55635522,-0.15414056,-1.5605659,-1.685389,-1.1136135,-0.45612702,-0.18276856,-2.159242,-0.96182534,-0.50892673,-0.36271156,-0.31535691,-6.346032,-1.4667221,-0.7470452,-1.4641934,-0.96697438,-1.9824286,-1.5906034,-0.17348434,-0.57202983,-0.34838424,-0.83991026,-0.19993043,-0.82327428,-1.80064,-1.0624929,-4.1409828,-0.35036137,-1.0994842,-2.0734772,-1.4211213,-0.41889977,-0.95613093,-0.90855112,-0.37276834,-0.45638255,-0.34536298,-2.2201783,-0.43397757,-0.77709082,-0.87477765,-0.82630062,-0.47516116,-0.35467609,-0.90160887,-0.88546815,-0.27275118,-0.49074767,-2.4282189,-0.2924551,-0.22366115,-1.3684932,-0.62900964,-0.96934523,-0.56583755,-0.17989626,-0.63465731,-1.3318509,-0.17598447,-2.0206231,-1.8409973,-0.44733609,-0.8226328,-0.89675151,-0.29689767,-1.0448104,-0.70605659,-0.37102147,-0.45633827,-3.3975644,-5.282417,-0.16449253,-0.21052103,-0.99522699,-0.6544372,-3.369517,-0.15505991,-0.30683044,-1.0746753,-0.19361005,-0.26961346,-0.37722562,-0.73053705,-1.3876816,-1.113198,-2.0406478,-0.35333133,-1.1679394,-0.36335282,-0.54860111,-1.0931281,-0.2720752,-0.22416482,-1.2559587,-0.20830323,-1.00389,-0.42670537,-0.15338682,-0.78641426,-0.27891497,-5.0864644,-0.4552202,-1.5608597,-1.9697033,-0.17813138,-3.7052058,-0.39142457,-0.17513196,-1.5221155,-1.9412817,-0.5349804,-1.6322961,-1.5771945,-0.33740521,-0.21379028,-0.1616669,-1.5645601,-0.26553341,-0.6156432,-1.0285489,-0.75412537,-0.26086879,-0.48556467,-0.51444496,-0.67292434
-316.13059,0.99910233,0.067187976,5,31,0,317.12483,0.4250292,1.4603114,0.27251989,-3.3829271,0.033947941,-1.6642285,-0.64910245,-0.62499885,-0.55614007,-0.27684285,-1.0656372,-1.2484435,-1.4892341,-1.2406135,-0.82433636,-0.99557128,-1.157673,-1.0611559,-1.0136304,-0.13725511,-0.17473493,-0.41669024,-0.22808217,-1.7309424,-0.28560242,-0.47357371,-1.5998921,-0.69038458,-0.15976645,-0.53223242,-0.79610236,-0.95124795,-1.1428196,-1.8444116,-0.35879676,-0.49764798,-1.1379073,-0.24998876,-1.6686591,-2.291447,-0.28816297,-1.8423381,-0.15841587,-0.23133253,-0.5327326,-0.30296303,-0.14153193,-0.50230456,-0.76605132,-0.94828365,-0.27950531,-0.36965254,-0.83581856,-0.46323786,-0.57537384,-0.69058205,-0.15241731,-2.6892065,-0.27969711,-1.0159761,-0.47221794,-1.728296,-0.28106769,-0.37339646,-1.0334991,-1.0927255,-0.15369646,-5.6863826,-0.41544587,-0.16222917,-0.43187424,-1.8562716,-0.15104816,-0.62969719,-3.1353813,-0.89561628,-1.745043,-2.0427346,-0.50542688,-0.39466128,-2.2532442,-2.3580737,-0.23096553,-2.587136,-0.1374151,-2.5735819,-0.314467,-1.7083362,-0.14013697,-0.93078644,-0.63691828,-0.97003581,-0.79309977,-1.2963128,-1.1751726,-0.69053449,-0.21124074,-0.14566249,-3.0723573,-2.6125875,-0.1396534,-2.0259974,-0.73593216,-1.2754663,-0.42912277,-0.77127556,-0.59951397,-0.31207414,-0.44462087,-1.5433319,-0.37794374,-0.83651005,-1.2625212,-0.55801101,-0.28399414,-0.18039431,-1.6883374,-1.4397367,-0.35384069,-2.2446561,-1.1810078,-1.6143682,-2.4832764,-1.3255263,-0.45504244,-1.238656,-2.9544724,-0.23067146,-1.2441531,-0.36626446,-2.4603051,-0.18836721,-0.1614617,-0.1412567,-0.25703046,-1.8839956,-0.21555545,-0.45822353,-0.23150444,-0.17917818,-4.1553968,-1.5807742,-0.48204098,-2.1689604,-0.5641875,-0.37248905,-1.2420351,-0.31490757,-1.8232937,-0.23838135,-0.44713752,-1.2182445,-0.29189852,-0.47926912,-1.0156999,-0.14348223,-0.2381372,-4.392693,-0.63530009,-3.1254788,-0.60547302,-0.35840182,-1.8748476,-0.31471112,-0.5286035,-1.3812962,-0.47123426,-0.36028546,-0.65702807,-0.37367567,-0.82955717,-1.3686183,-0.49054054,-2.8884626,-1.1823332,-0.63619136,-1.5894559,-0.13336225,-0.82639648,-0.55316866,-0.13128614,-1.5809596,-1.7089996,-1.122935,-0.4511355,-0.15807577,-2.1910907,-0.96737272,-0.50563346,-0.35373139,-0.30594721,-6.863818,-1.4844778,-0.69695468,-1.4822133,-0.97521415,-2.0098069,-1.6142674,-0.15725894,-0.56768305,-0.3378416,-0.8455315,-0.17061961,-0.82462062,-1.8214474,-1.0726972,-4.1601254,-0.34193031,-1.1098669,-2.1080395,-1.4369562,-0.41212358,-0.96216897,-0.91277584,-0.36593006,-0.44964958,-0.33547926,-2.2543057,-0.39259344,-0.78044,-0.87800374,-0.8280711,-0.46885728,-0.34714422,-0.90794947,-0.89051185,-0.26113623,-0.48629706,-2.3559422,-0.25790148,-0.19316873,-1.3836314,-0.62722463,-0.97670257,-0.56354502,-0.15590953,-0.63325419,-1.3462824,-0.15670022,-1.9515993,-1.8677862,-0.40593601,-0.82616283,-0.90137898,-0.28646108,-1.0532032,-0.70667278,-0.33271758,-0.4508114,-3.4581128,-5.3810323,-0.14339074,-0.18115875,-1.0024309,-0.65360044,-3.4161087,-0.13176665,-0.2966404,-1.0830815,-0.16468437,-0.26049041,-0.3700563,-0.73215116,-1.4025832,-1.1244169,-2.0778617,-0.34289738,-1.175953,-0.35387408,-0.50308941,-1.1045528,-0.26155939,-0.20940487,-1.266965,-0.19177478,-1.0097879,-0.3849726,-0.13421446,-0.73636978,-0.24388307,-5.1881413,-0.44841722,-1.5823191,-1.9994264,-0.15715552,-3.744437,-0.38289106,-0.14928789,-1.5417442,-1.9701248,-0.53269174,-1.6531034,-1.512902,-0.32695101,-0.19749775,-0.13971426,-1.5865169,-0.25407957,-0.61346731,-1.0357647,-0.75604301,-0.22757254,-0.48017646,-0.5105775,-0.67242842
