# stan_version_major = 2
# stan_version_minor = 37
# stan_version_patch = 0
# model = rlddm_single_subject_model
# start_datetime = 2025-09-25 02:55:48 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 2000
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.999
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = dense_e
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /Users/jy4657/Desktop/Repositories/tst-stan/recovery_out/tmp_subject_11/tmpsw3tr5my/f_m2pe2z.json
# init = 2 (Default)
# random
#   seed = 2038
# output
#   file = /Users/jy4657/Desktop/Repositories/tst-stan/cmdstan_tmp/rlddm_single_subject-20250924225548_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.37.0
# stancflags = --filename-in-msg=rlddm_single_subject.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,a,t0,log_scaler,scaler,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46,log_lik.47,log_lik.48,log_lik.49,log_lik.50,log_lik.51,log_lik.52,log_lik.53,log_lik.54,log_lik.55,log_lik.56,log_lik.57,log_lik.58,log_lik.59,log_lik.60,log_lik.61,log_lik.62,log_lik.63,log_lik.64,log_lik.65,log_lik.66,log_lik.67,log_lik.68,log_lik.69,log_lik.70,log_lik.71,log_lik.72,log_lik.73,log_lik.74,log_lik.75,log_lik.76,log_lik.77,log_lik.78,log_lik.79,log_lik.80,log_lik.81,log_lik.82,log_lik.83,log_lik.84,log_lik.85,log_lik.86,log_lik.87,log_lik.88,log_lik.89,log_lik.90,log_lik.91,log_lik.92,log_lik.93,log_lik.94,log_lik.95,log_lik.96,log_lik.97,log_lik.98,log_lik.99,log_lik.100,log_lik.101,log_lik.102,log_lik.103,log_lik.104,log_lik.105,log_lik.106,log_lik.107,log_lik.108,log_lik.109,log_lik.110,log_lik.111,log_lik.112,log_lik.113,log_lik.114,log_lik.115,log_lik.116,log_lik.117,log_lik.118,log_lik.119,log_lik.120,log_lik.121,log_lik.122,log_lik.123,log_lik.124,log_lik.125,log_lik.126,log_lik.127,log_lik.128,log_lik.129,log_lik.130,log_lik.131,log_lik.132,log_lik.133,log_lik.134,log_lik.135,log_lik.136,log_lik.137,log_lik.138,log_lik.139,log_lik.140,log_lik.141,log_lik.142,log_lik.143,log_lik.144,log_lik.145,log_lik.146,log_lik.147,log_lik.148,log_lik.149,log_lik.150,log_lik.151,log_lik.152,log_lik.153,log_lik.154,log_lik.155,log_lik.156,log_lik.157,log_lik.158,log_lik.159,log_lik.160,log_lik.161,log_lik.162,log_lik.163,log_lik.164,log_lik.165,log_lik.166,log_lik.167,log_lik.168,log_lik.169,log_lik.170,log_lik.171,log_lik.172,log_lik.173,log_lik.174,log_lik.175,log_lik.176,log_lik.177,log_lik.178,log_lik.179,log_lik.180,log_lik.181,log_lik.182,log_lik.183,log_lik.184,log_lik.185,log_lik.186,log_lik.187,log_lik.188,log_lik.189,log_lik.190,log_lik.191,log_lik.192,log_lik.193,log_lik.194,log_lik.195,log_lik.196,log_lik.197,log_lik.198,log_lik.199,log_lik.200,log_lik.201,log_lik.202,log_lik.203,log_lik.204,log_lik.205,log_lik.206,log_lik.207,log_lik.208,log_lik.209,log_lik.210,log_lik.211,log_lik.212,log_lik.213,log_lik.214,log_lik.215,log_lik.216,log_lik.217,log_lik.218,log_lik.219,log_lik.220,log_lik.221,log_lik.222,log_lik.223,log_lik.224,log_lik.225,log_lik.226,log_lik.227,log_lik.228,log_lik.229,log_lik.230,log_lik.231,log_lik.232,log_lik.233,log_lik.234,log_lik.235,log_lik.236,log_lik.237,log_lik.238,log_lik.239,log_lik.240,log_lik.241,log_lik.242,log_lik.243,log_lik.244,log_lik.245,log_lik.246,log_lik.247,log_lik.248,log_lik.249,log_lik.250,log_lik.251,log_lik.252,log_lik.253,log_lik.254,log_lik.255,log_lik.256,log_lik.257,log_lik.258,log_lik.259,log_lik.260,log_lik.261,log_lik.262,log_lik.263,log_lik.264,log_lik.265,log_lik.266,log_lik.267,log_lik.268,log_lik.269,log_lik.270,log_lik.271,log_lik.272,log_lik.273,log_lik.274,log_lik.275,log_lik.276,log_lik.277,log_lik.278,log_lik.279,log_lik.280,log_lik.281,log_lik.282,log_lik.283,log_lik.284,log_lik.285,log_lik.286,log_lik.287,log_lik.288,log_lik.289,log_lik.290,log_lik.291,log_lik.292,log_lik.293,log_lik.294,log_lik.295,log_lik.296,log_lik.297,log_lik.298,log_lik.299,log_lik.300
# Adaptation terminated
# Step size = 0.0762394
# Elements of inverse mass matrix:
# 0.240716, -0.000836928, -0.00902637, -0.017694
# -0.000836928, 0.00558027, -0.0120331, 0.00879892
# -0.00902637, -0.0120331, 0.151707, -0.0134874
# -0.017694, 0.00879892, -0.0134874, 0.0356741
-333.41004,0.99931291,0.076239388,5,63,0,335.77466,0.58687052,1.5123954,0.36444395,-3.238112,0.039237905,-2.7936972,-0.76622013,-0.2109846,-2.9260758,-0.68550304,-0.43378125,-0.62572209,-0.50612547,-0.23259108,-0.38929767,-0.2169893,-1.1715007,-0.65532433,-0.94466841,-0.57039732,-1.4125393,-3.6497476,-0.25232596,-2.1023551,-1.3102216,-0.85297229,-0.8257813,-1.8299867,-3.1622979,-2.5488389,-1.3320004,-0.22986501,-1.7035373,-1.0715305,-0.2685157,-2.6385799,-0.42963871,-0.26644272,-1.3145822,-0.51137873,-0.92573037,-0.56860565,-0.94643389,-0.65760549,-0.32542754,-3.1055045,-1.9569683,-0.27759376,-0.69392745,-0.37987068,-0.41587157,-0.86013591,-1.1085458,-4.8839875,-0.2231043,-1.0395118,-0.2550375,-0.39497374,-0.78933028,-0.2438714,-0.67737336,-0.22876898,-0.64829663,-1.8238878,-3.7100236,-0.36592429,-0.63943183,-2.0943685,-1.2367027,-0.80033577,-0.89805418,-0.45925304,-2.1287565,-1.8270302,-0.24639246,-0.23514909,-5.709259,-2.2177407,-0.92305113,-0.24021141,-0.29944896,-0.28205971,-0.21451588,-0.24376327,-0.63852309,-0.89320875,-0.33815114,-0.68302583,-4.6288886,-0.59798339,-0.28493945,-0.23600893,-0.82271598,-2.3545875,-0.36329703,-0.31451918,-0.37042834,-0.72395455,-0.43116428,-0.45172314,-0.46319594,-0.31389769,-1.1455634,-0.99954362,-0.88092061,-0.23084969,-0.97984574,-0.66664264,-0.67741183,-0.64519269,-1.1399592,-0.85815526,-0.3118506,-0.90481836,-3.0885201,-3.0411082,-0.27531827,-4.0572453,-1.6641759,-1.5611701,-0.89921542,-0.22152204,-0.23538078,-0.26364105,-2.3814136,-0.47534808,-0.49683757,-1.0616196,-1.1985887,-1.5899118,-0.57408395,-1.1406927,-0.25766101,-0.24022404,-0.72301545,-0.75769002,-0.78117096,-0.20849384,-0.84296071,-0.48197942,-0.20284714,-1.7772953,-1.590663,-1.1159619,-3.4497243,-0.7086816,-1.1318481,-2.1659728,-0.3048766,-0.45290798,-0.61088243,-1.4643036,-1.4963796,-0.62043222,-0.26448772,-0.2386053,-0.68750619,-0.63470138,-0.40008166,-4.0276355,-0.21241361,-0.42926208,-1.9095621,-0.94561786,-0.41521453,-1.2458575,-0.2821669,-0.90849221,-0.91221726,-0.30520552,-0.52904725,-3.3020032,-0.52244028,-1.0157633,-0.46620393,-1.4753195,-0.25668714,-1.3585618,-0.63302129,-0.70494525,-0.85754973,-0.51488469,-0.57189967,-0.21434571,-0.24303746,-0.2299917,-0.3137106,-2.7128009,-0.37823992,-0.27673357,-0.45601933,-0.52416265,-0.45203257,-0.45916153,-0.22418963,-0.43367008,-0.65360234,-1.4029157,-0.49286744,-0.80873575,-0.68671016,-0.30269086,-0.31125304,-0.78267809,-0.45611616,-0.92154674,-1.7153109,-2.5190619,-0.29765025,-0.68230074,-0.93293781,-0.29163433,-0.89785967,-0.46891744,-1.9268268,-2.3255861,-1.3188499,-0.32953696,-0.70993813,-0.44675629,-0.32235197,-0.4367055,-2.2933261,-1.0948942,-1.8788252,-0.25765783,-0.63137562,-2.3161792,-0.81976148,-0.66447525,-0.85121999,-2.0165622,-0.66439853,-2.0097841,-0.20542238,-0.43326152,-0.89516619,-1.9190495,-0.49972666,-0.70562247,-0.23020166,-0.23437562,-0.64249354,-0.25135488,-0.63833464,-0.48856386,-1.0802598,-0.3255788,-0.34001048,-1.2172345,-1.6379912,-0.48127284,-1.2263931,-0.28526429,-0.90238401,-0.35518057,-1.287297,-0.76807227,-0.31865373,-0.21562785,-0.21983584,-1.6318619,-2.3765102,-0.31228882,-1.2419577,-2.4849343,-0.84381775,-0.25529937,-4.6291672,-0.76909015,-0.70937954,-1.3246933,-0.28934034,-0.43498409,-1.0341388,-0.32276572,-1.0740233,-6.5804641,-0.45282786,-0.67676,-7.4998289,-0.3127282,-0.38363166,-0.50235729,-1.6624554,-0.56421479,-0.45645864,-2.819287,-1.380407,-1.1833736,-1.3764387,-1.2727419,-2.5919776,-0.18572335,-2.7392478,-0.19512615,-1.8773765,-1.7212692,-0.55116112,-1.1343865,-2.0616732,-2.6847869,-1.1977884,-0.32233824,-0.39941433
-332.16493,0.99968569,0.076239388,4,15,0,333.71351,0.54365941,1.5151564,0.3608539,-3.2723847,0.037915903,-2.7937344,-0.77362611,-0.21756953,-2.9326436,-0.69242757,-0.41233924,-0.63268012,-0.5125197,-0.23583456,-0.3994359,-0.2198151,-1.1749053,-0.66295219,-0.8713604,-0.57858675,-1.4205747,-3.6142932,-0.256679,-2.1112324,-1.3182537,-0.7911258,-0.76632537,-1.8350193,-3.1550723,-2.5474333,-1.3369622,-0.231895,-1.7072199,-1.0757101,-0.27621466,-2.6297214,-0.43781715,-0.27452738,-1.3205086,-0.51961345,-0.9326625,-0.57685067,-0.95352107,-0.66505464,-0.33330401,-3.1011187,-1.9593967,-0.27170877,-0.7018298,-0.38844792,-0.42622339,-0.86690039,-1.1124924,-4.8839941,-0.22312911,-1.047837,-0.25105957,-0.40378663,-0.79649827,-0.25100218,-0.63228071,-0.23527835,-0.65605681,-1.8277886,-3.706298,-0.37429182,-0.64538026,-2.1029071,-1.2449502,-0.80760168,-0.90702496,-0.46759391,-2.1324844,-1.8256557,-0.24456825,-0.23572365,-5.4671839,-2.226199,-0.92788156,-0.24340603,-0.30548568,-0.28778067,-0.22030649,-0.24323572,-0.64682685,-0.89964012,-0.34606237,-0.68953567,-4.6495895,-0.60484568,-0.27748828,-0.23568965,-0.76314598,-2.3485483,-0.3732813,-0.32437235,-0.35508003,-0.72973059,-0.44110569,-0.45848447,-0.47299879,-0.32364557,-1.1515096,-1.0057584,-0.88750462,-0.23959375,-0.98461345,-0.67284005,-0.68658931,-0.65149489,-1.1479322,-0.8668055,-0.32005208,-0.91324797,-3.0898495,-3.0380617,-0.28348646,-4.0435878,-1.6647271,-1.565493,-0.90601804,-0.22154814,-0.23916939,-0.26033475,-2.3903483,-0.48378151,-0.50664141,-1.0661345,-1.2023833,-1.597733,-0.58376371,-1.148812,-0.26250019,-0.24275703,-0.73201641,-0.76576788,-0.78787882,-0.21237623,-0.84868294,-0.48997679,-0.20474939,-1.7776192,-1.5944011,-1.1228463,-3.4541355,-0.71572024,-1.1359782,-2.1733469,-0.31282803,-0.46142367,-0.61835948,-1.4685373,-1.3600076,-0.62659443,-0.26991616,-0.23647981,-0.69514881,-0.5943465,-0.40872205,-4.0297208,-0.21422888,-0.43779607,-1.9172245,-0.95461191,-0.42333141,-1.2512295,-0.2902131,-0.91536168,-0.91907327,-0.29542124,-0.53726387,-3.3000285,-0.53097641,-1.0227388,-0.47297426,-1.4772784,-0.26412449,-1.3614433,-0.64224466,-0.71094993,-0.86289326,-0.48463067,-0.57838727,-0.21359852,-0.24660305,-0.23861438,-0.3203285,-2.7207186,-0.38743936,-0.27285174,-0.46700841,-0.49256835,-0.4594252,-0.46984599,-0.23347818,-0.44165767,-0.66133255,-1.4045052,-0.50073799,-0.81579714,-0.695965,-0.30862096,-0.32119566,-0.78976463,-0.46296727,-0.92987885,-1.5532885,-2.528526,-0.29064074,-0.63529885,-0.9381761,-0.29782655,-0.90608742,-0.44548667,-1.9263491,-2.3217404,-1.3223096,-0.33629975,-0.71628953,-0.45394901,-0.32992972,-0.4457523,-2.2905739,-1.0998587,-1.8845598,-0.26284699,-0.64039576,-2.323043,-0.82574415,-0.67329896,-0.79019876,-2.022678,-0.67317721,-1.810069,-0.20529756,-0.4406089,-0.90107915,-1.9194844,-0.50882492,-0.71226845,-0.2372682,-0.24035293,-0.64743981,-0.25919485,-0.59590699,-0.49729493,-1.088125,-0.31553728,-0.34980151,-1.224952,-1.6433657,-0.49012766,-1.2331918,-0.29362289,-0.90842187,-0.3626925,-1.294228,-0.7766952,-0.32542985,-0.22352072,-0.22588542,-1.6372411,-2.3884316,-0.32097864,-1.2473259,-2.4856755,-0.85107442,-0.25131597,-4.7096694,-0.77842678,-0.71880068,-1.3296903,-0.2806639,-0.44386589,-1.0398278,-0.31099433,-1.0797166,-6.7040333,-0.46160654,-0.68288177,-6.5566837,-0.30377213,-0.39019667,-0.51220832,-1.5035823,-0.57170827,-0.4640282,-2.824615,-1.3869511,-1.1874746,-1.3836306,-1.2804818,-2.6012279,-0.18996173,-2.7357426,-0.20154221,-1.8833945,-1.5550756,-0.56022984,-1.1397033,-2.0680796,-2.6877057,-1.0984205,-0.33183334,-0.37999925
-332.34339,0.99939708,0.076239388,5,63,0,333.46393,0.61675739,1.5426033,0.34508825,-3.2123859,0.040260442,-2.7527398,-0.80391876,-0.25825222,-2.8759221,-0.72740456,-0.37432283,-0.67016581,-0.55629314,-0.28049878,-0.43860241,-0.25567242,-1.1962277,-0.69734248,-0.69234285,-0.61559233,-1.422073,-3.5846755,-0.3047011,-2.0833613,-1.3232223,-0.63641833,-0.61748091,-1.825575,-3.1125564,-2.5189186,-1.347922,-0.27331464,-1.7050144,-1.0998937,-0.32136832,-2.6097143,-0.48003255,-0.31912408,-1.3303082,-0.55874587,-0.9571859,-0.61385171,-0.97699461,-0.69964375,-0.37862819,-3.0548836,-1.9488115,-0.28223429,-0.73432592,-0.4316023,-0.46421674,-0.89478554,-1.1355387,-4.7405409,-0.25200262,-1.0641808,-0.26887488,-0.44588876,-0.82620124,-0.29582367,-0.52719169,-0.27868901,-0.69058446,-1.8203624,-3.6337473,-0.41810873,-0.68470025,-2.0758015,-1.2529896,-0.83718238,-0.92829978,-0.5085623,-2.1127389,-1.8282468,-0.27619248,-0.27339486,-5.420246,-2.1947056,-0.95805259,-0.28758331,-0.35437069,-0.33644119,-0.26413455,-0.26843088,-0.68150857,-0.92565408,-0.39084984,-0.72644807,-4.4839661,-0.64412788,-0.27730797,-0.26249207,-0.61449784,-2.3365593,-0.41348145,-0.36581801,-0.3306041,-0.76587675,-0.47916178,-0.50364303,-0.51009121,-0.365233,-1.1681092,-1.028241,-0.91424821,-0.28149719,-1.0121108,-0.71074989,-0.71612111,-0.69009975,-1.1603176,-0.88972156,-0.36515071,-0.93450376,-3.0319516,-2.994632,-0.32812452,-3.9749742,-1.6710215,-1.5677226,-0.93133904,-0.25126036,-0.28392794,-0.28753837,-2.3520007,-0.52444318,-0.54247782,-1.0908181,-1.2226398,-1.5916841,-0.61627085,-1.1604819,-0.30977823,-0.28486856,-0.75945015,-0.7960129,-0.81800983,-0.25353406,-0.88026608,-0.53021445,-0.23165299,-1.7796936,-1.596331,-1.1398247,-3.3769803,-0.74876223,-1.1583334,-2.1452812,-0.35804049,-0.50275484,-0.65468985,-1.4752127,-0.99520618,-0.66635524,-0.31827468,-0.25066898,-0.72782257,-0.50223574,-0.45121563,-3.932987,-0.23779732,-0.47951451,-1.8989657,-0.97355097,-0.46640612,-1.2655264,-0.33524794,-0.94114467,-0.94379473,-0.29546354,-0.57625027,-3.245432,-0.56941838,-1.043647,-0.51763076,-1.4890697,-0.30952601,-1.3766285,-0.67343673,-0.74810153,-0.89493709,-0.41615932,-0.6200279,-0.23292216,-0.29056231,-0.28120372,-0.3685517,-2.6736984,-0.4301001,-0.28646827,-0.50313831,-0.432012,-0.50192365,-0.50622728,-0.27362299,-0.48407718,-0.69533082,-1.4192559,-0.54114571,-0.84448387,-0.72501733,-0.35782682,-0.36231429,-0.81937919,-0.50785079,-0.95059137,-1.1253312,-2.4844856,-0.30693672,-0.51756534,-0.967458,-0.34612556,-0.92749473,-0.41176541,-1.9238156,-2.3072218,-1.3387442,-0.38443979,-0.75283702,-0.4991119,-0.37549065,-0.48694315,-2.2757072,-1.1225743,-1.8704116,-0.30976185,-0.67152522,-2.2905624,-0.8584793,-0.70335568,-0.64468667,-2.0025049,-0.70330098,-1.2785356,-0.22794624,-0.48595907,-0.93091159,-1.9158595,-0.54507788,-0.74553421,-0.27921962,-0.28636247,-0.68795844,-0.30324011,-0.50034609,-0.53713751,-1.103032,-0.32086939,-0.3905438,-1.2340929,-1.6416996,-0.53006364,-1.2462789,-0.33811735,-0.93461745,-0.40797438,-1.3041759,-0.80332936,-0.37340387,-0.26525779,-0.26989596,-1.6354475,-2.3448477,-0.3650392,-1.2613188,-2.455909,-0.87845155,-0.26912177,-4.5487705,-0.80357876,-0.74626963,-1.3403923,-0.28492964,-0.48497113,-1.0616706,-0.30777632,-1.1000294,-6.2545849,-0.50217841,-0.72048603,-6.515113,-0.31492974,-0.43793447,-0.5473687,-1.0690222,-0.60941543,-0.50611826,-2.7731938,-1.3936702,-1.2078107,-1.3875244,-1.2873984,-2.5550482,-0.22274392,-2.7046362,-0.24103362,-1.868879,-1.1027365,-0.59490985,-1.1576687,-2.0456662,-2.6455894,-0.83480146,-0.37362593,-0.35302943
