# stan_version_major = 2
# stan_version_minor = 37
# stan_version_patch = 0
# model = rlddm_single_subject_model
# start_datetime = 2025-09-25 02:55:50 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 2000
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.999
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = dense_e
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /Users/jy4657/Desktop/Repositories/tst-stan/recovery_out/tmp_subject_12/tmpxfdlmm7j/wir_cu_j.json
# init = 2 (Default)
# random
#   seed = 2039
# output
#   file = /Users/jy4657/Desktop/Repositories/tst-stan/cmdstan_tmp/rlddm_single_subject-20250924225550_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.37.0
# stancflags = --filename-in-msg=rlddm_single_subject.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,a,t0,log_scaler,scaler,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46,log_lik.47,log_lik.48,log_lik.49,log_lik.50,log_lik.51,log_lik.52,log_lik.53,log_lik.54,log_lik.55,log_lik.56,log_lik.57,log_lik.58,log_lik.59,log_lik.60,log_lik.61,log_lik.62,log_lik.63,log_lik.64,log_lik.65,log_lik.66,log_lik.67,log_lik.68,log_lik.69,log_lik.70,log_lik.71,log_lik.72,log_lik.73,log_lik.74,log_lik.75,log_lik.76,log_lik.77,log_lik.78,log_lik.79,log_lik.80,log_lik.81,log_lik.82,log_lik.83,log_lik.84,log_lik.85,log_lik.86,log_lik.87,log_lik.88,log_lik.89,log_lik.90,log_lik.91,log_lik.92,log_lik.93,log_lik.94,log_lik.95,log_lik.96,log_lik.97,log_lik.98,log_lik.99,log_lik.100,log_lik.101,log_lik.102,log_lik.103,log_lik.104,log_lik.105,log_lik.106,log_lik.107,log_lik.108,log_lik.109,log_lik.110,log_lik.111,log_lik.112,log_lik.113,log_lik.114,log_lik.115,log_lik.116,log_lik.117,log_lik.118,log_lik.119,log_lik.120,log_lik.121,log_lik.122,log_lik.123,log_lik.124,log_lik.125,log_lik.126,log_lik.127,log_lik.128,log_lik.129,log_lik.130,log_lik.131,log_lik.132,log_lik.133,log_lik.134,log_lik.135,log_lik.136,log_lik.137,log_lik.138,log_lik.139,log_lik.140,log_lik.141,log_lik.142,log_lik.143,log_lik.144,log_lik.145,log_lik.146,log_lik.147,log_lik.148,log_lik.149,log_lik.150,log_lik.151,log_lik.152,log_lik.153,log_lik.154,log_lik.155,log_lik.156,log_lik.157,log_lik.158,log_lik.159,log_lik.160,log_lik.161,log_lik.162,log_lik.163,log_lik.164,log_lik.165,log_lik.166,log_lik.167,log_lik.168,log_lik.169,log_lik.170,log_lik.171,log_lik.172,log_lik.173,log_lik.174,log_lik.175,log_lik.176,log_lik.177,log_lik.178,log_lik.179,log_lik.180,log_lik.181,log_lik.182,log_lik.183,log_lik.184,log_lik.185,log_lik.186,log_lik.187,log_lik.188,log_lik.189,log_lik.190,log_lik.191,log_lik.192,log_lik.193,log_lik.194,log_lik.195,log_lik.196,log_lik.197,log_lik.198,log_lik.199,log_lik.200,log_lik.201,log_lik.202,log_lik.203,log_lik.204,log_lik.205,log_lik.206,log_lik.207,log_lik.208,log_lik.209,log_lik.210,log_lik.211,log_lik.212,log_lik.213,log_lik.214,log_lik.215,log_lik.216,log_lik.217,log_lik.218,log_lik.219,log_lik.220,log_lik.221,log_lik.222,log_lik.223,log_lik.224,log_lik.225,log_lik.226,log_lik.227,log_lik.228,log_lik.229,log_lik.230,log_lik.231,log_lik.232,log_lik.233,log_lik.234,log_lik.235,log_lik.236,log_lik.237,log_lik.238,log_lik.239,log_lik.240,log_lik.241,log_lik.242,log_lik.243,log_lik.244,log_lik.245,log_lik.246,log_lik.247,log_lik.248,log_lik.249,log_lik.250,log_lik.251,log_lik.252,log_lik.253,log_lik.254,log_lik.255,log_lik.256,log_lik.257,log_lik.258,log_lik.259,log_lik.260,log_lik.261,log_lik.262,log_lik.263,log_lik.264,log_lik.265,log_lik.266,log_lik.267,log_lik.268,log_lik.269,log_lik.270,log_lik.271,log_lik.272,log_lik.273,log_lik.274,log_lik.275,log_lik.276,log_lik.277,log_lik.278,log_lik.279,log_lik.280,log_lik.281,log_lik.282,log_lik.283,log_lik.284,log_lik.285,log_lik.286,log_lik.287,log_lik.288,log_lik.289,log_lik.290,log_lik.291,log_lik.292,log_lik.293,log_lik.294,log_lik.295,log_lik.296,log_lik.297,log_lik.298,log_lik.299,log_lik.300
# Adaptation terminated
# Step size = 0.136622
# Elements of inverse mass matrix:
# 0.207018, 0.00218292, -0.00329441, -0.0138563
# 0.00218292, 0.00669156, -0.0207754, -0.000875512
# -0.00329441, -0.0207754, 0.158593, 0.00803169
# -0.0138563, -0.000875512, 0.00803169, 0.0587582
-228.32705,0.9995354,0.13662155,5,31,0,231.42002,0.40819322,1.3258006,0.19682492,-3.1734357,0.041859536,-1.1726526,-0.050654003,-1.6584494,-1.4867473,-0.27474571,-0.41654522,0.044087015,-0.083578939,-3.3116768,-0.32694349,0.0059019293,-0.30219097,-0.23863345,0.017752586,-1.0048017,-2.2442749,-1.3748068,-0.05989661,-0.19910282,-0.035118347,0.01994068,-0.53472415,-0.45824075,-0.62661337,-0.81923977,-0.92993326,-0.8558613,0.037025999,-3.0146791,0.022041548,-1.9409222,-0.017384523,-0.044922079,0.037023673,-1.4656712,0.052517272,-4.7457569,-0.1452407,-0.89417183,-2.8889911,0.0062616628,0.052796929,-0.7949808,-0.48803884,-0.132802,0.037457457,-1.5772997,-3.3165031,-0.026128798,-1.9493433,-0.27265087,-1.2885418,-0.92524039,-0.089881271,-1.9934354,-0.64782859,-0.7317902,-1.8037359,-2.0293921,-1.4485012,-0.094575444,-1.2044817,-1.372117,0.059357204,-2.2723412,-0.33434419,-0.85773539,-0.85617511,-3.1666713,-0.10398965,-1.0376244,-0.67159934,0.0051188029,-0.18552481,-0.13754728,-0.20911733,-1.3940967,-1.0720294,-0.86708543,-0.202311,-0.57869777,-0.082698436,-0.015567086,-2.4792771,-1.2160595,-0.26414455,-0.009658218,-0.071447301,0.043114789,-0.093725469,-1.7642119,-0.13691132,-1.7007753,-1.7745073,-0.68238316,-0.39615186,-0.11262046,-0.090279882,-2.8903411,-0.024599934,-0.97715111,-0.61555733,0.061799355,-0.64975308,-0.60554646,-1.3182743,0.020479326,-0.089903791,-0.68834897,-0.62407419,-0.41231985,-0.2155005,-0.41525894,-0.64015749,-2.8966058,0.0066263551,-0.52660084,-0.96430811,0.06355794,-0.13454775,-0.01211711,-0.87914461,-0.31452415,-0.11969456,-1.4365633,-1.8945639,-2.8908288,-1.5766334,-0.87075357,-0.04878828,-0.14287495,0.046848165,-0.19846648,-0.35733152,-0.99663835,0.044908701,-0.5022192,-0.89740237,0.030920193,-0.48051635,0.041859483,-0.064779433,-0.72990667,-0.44742488,-0.43909132,0.060233297,0.037098347,-1.4541401,-0.34649202,-1.3225094,-3.0580566,0.034749055,0.024563711,-0.38460367,-0.24186878,-1.5682008,-0.024860473,0.014202045,-0.29985924,-0.36190124,-0.26494967,-0.1846725,-1.6665468,0.056534909,-0.34587364,-1.0683869,-0.22011348,-0.43614459,-0.28232388,-1.627818,0.020170946,-1.7850148,-1.6567318,0.04056501,0.060857859,-0.62193662,-3.1421669,0.036162085,-0.10437388,-0.20275635,0.002016286,-0.8711635,-0.21346506,0.029321178,-0.029230124,-0.0043617125,-0.74764327,-0.07001496,-0.29421076,-0.064518161,-1.2609611,-0.11462375,-1.2584019,-0.83551435,-0.38405086,-0.49440352,-0.3230898,-0.76614085,-0.036261502,0.033923016,-0.12370816,-0.028009088,-2.4973704,0.022332475,-0.33231418,0.0020676944,-0.32956384,-0.57025687,-0.30998667,-0.64359992,-0.81662258,-0.34973035,-0.76476781,-0.54590735,-1.0378572,-1.4314248,0.020218351,0.038577297,-0.11150333,-0.39804,-0.41384358,0.044189374,-1.1309522,-1.3015485,-1.5533244,-0.84584544,-0.65644699,-0.75896796,0.040976141,-0.17948627,-2.3226936,-0.36307418,-1.08936,-1.9390913,-1.0497507,-0.97939561,0.047200422,-0.0046612416,-1.2943594,0.040230635,-2.4118251,-0.0027556295,-3.1972084,-0.68563427,-0.0092009468,-0.8037497,-0.30246595,-0.58195496,-1.043478,-0.83439577,-0.19591596,0.042056912,-0.18831015,0.051334917,-2.1892511,0.002975878,0.041983967,-0.009952245,-0.34704537,-2.8505135,-0.459269,-0.17561629,-1.3749117,-0.35908322,-0.74759102,0.058657335,0.027727574,-0.45287394,-2.6301359,-0.057916606,-0.038521542,-0.00057488155,-0.73337056,-0.10253979,-2.6745201,-4.4794808,-0.88615749,-0.8170336,-0.52934852,-1.0935202,-1.4225752,-1.2575876,-0.61811818,0.03920052,-0.050053397,-0.45463032,-2.8752488,-1.2800372,-0.015150156,0.041339703,-0.32530957,-3.8512659,0.018024248,0.05157329,-1.59679,-0.51409967,-0.36260573,-0.0028091269,-0.71361956,-0.2063162
-229.44635,0.99640534,0.13662155,4,31,0,231.56056,0.24726114,1.2487932,0.20814318,-3.2066811,0.040490774,-1.240067,0.034229018,-1.7803988,-1.6003181,-0.22614049,-0.38570304,0.16663617,-0.0050381709,-3.6516253,-0.28556067,0.096710475,-0.23585253,-0.19160502,0.11534001,-1.0493019,-2.448865,-1.4672747,0.067261386,-0.10121649,0.091328225,0.11934481,-0.51993708,-0.43867015,-0.629979,-0.83682467,-0.97148711,-0.88463788,0.16486275,-3.3683187,0.14999101,-2.0968955,0.068534789,0.07743354,0.14929801,-1.5778886,0.16703191,-5.0921325,-0.079503539,-0.92554352,-3.1573019,0.11234317,0.16723096,-0.81797449,-0.47112436,-0.01831326,0.14784929,-1.6890804,-3.6808515,0.06156807,-2.124322,-0.2231342,-1.3782197,-0.96211031,0.027522407,-2.1514355,-0.6918296,-0.73793267,-1.9337309,-2.1846446,-1.5472545,0.028400133,-1.2656554,-1.4772154,0.16629512,-2.4805282,-0.28912355,-0.88581066,-0.88552387,-3.5031933,-0.027071797,-1.2555907,-0.67686097,0.12751504,-0.12372428,-0.029891674,-0.15339418,-1.4874267,-1.137339,-0.89721879,-0.14540253,-0.56726083,0.0037970744,0.068258484,-2.6990243,-1.2877567,-0.21622273,0.084968793,0.041413602,0.16811114,0.030557817,-1.9344148,-0.038533401,-1.8570566,-1.8924389,-0.69188765,-0.35601091,-0.036164607,-0.012279383,-3.1716004,0.099978901,-1.0196301,-0.6498921,0.17463087,-0.65301199,-0.60185942,-1.4059603,0.15012557,-0.011722446,-0.69000562,-0.6133782,-0.37975679,-0.15433099,-0.37707513,-0.62821636,-3.1323195,0.11970449,-0.49962589,-1.0104619,0.18009976,-0.066515781,0.1121995,-0.90826388,-0.26564054,-0.047475337,-1.5462225,-2.0521197,-3.1853127,-1.6940897,-0.89763636,0.036632511,-0.074680181,0.15800786,-0.13939084,-0.31911834,-1.0388899,0.14731965,-0.48214656,-0.92265742,0.13550912,-0.45943543,0.16073621,0.014342646,-0.73888125,-0.4243476,-0.41492834,0.17663845,0.16054979,-1.5569075,-0.30675527,-1.3983988,-3.2885557,0.15448151,0.13324749,-0.34202141,-0.19088807,-1.6806305,0.06007647,0.12484016,-0.2456754,-0.32766829,-0.21860861,-0.12366185,-1.7975783,0.17605338,-0.30794259,-1.1218866,-0.16313553,-0.40218427,-0.22462623,-1.7659881,0.12306068,-1.9468885,-1.7925973,0.1609559,0.1744997,-0.61021024,-3.472557,0.16087575,-0.027793982,-0.11003355,0.094729008,-0.89973651,-0.12375747,0.13454102,0.057243008,0.095108649,-0.76350522,0.004663295,-0.21914109,0.021507616,-1.3457405,-0.039910161,-1.3375774,-0.86504445,-0.34958616,-0.47129524,-0.25583559,-0.78243953,0.046088665,0.1474715,-0.046839385,0.069786868,-2.6975986,0.15088501,-0.26312801,0.12384768,-0.29015398,-0.56954597,-0.27451952,-0.64665095,-0.84196522,-0.30829782,-0.78109527,-0.5415681,-1.0885641,-1.5397947,0.12155695,0.16490175,-0.037719908,-0.36811785,-0.38145744,0.15104063,-1.1962803,-1.3773975,-1.6717669,-0.86656449,-0.65786325,-0.8353679,0.15130567,-0.11965669,-2.5482992,-0.32326708,-1.1415395,-2.1062659,-1.0956167,-1.0226944,0.16874025,0.11803027,-1.3787291,0.15258789,-2.656015,0.092682296,-3.5149068,-0.68385842,0.085652344,-0.82883946,-0.23425023,-0.60480954,-1.083854,-0.86864625,-0.086916095,0.16196822,-0.12947231,0.170995,-2.3499289,0.12729269,0.16382891,0.11865961,-0.30134451,-3.1140132,-0.43387031,-0.069859152,-1.4676386,-0.29615156,-0.75946484,0.17980323,0.15450827,-0.42351222,-2.9251097,0.027746375,0.052025651,0.10355617,-0.73366803,-0.030283209,-2.9831348,-5.1481412,-0.92233533,-0.84922831,-0.53470161,-1.1630241,-1.5151043,-1.3314464,-0.61618831,0.1621865,0.027022363,-0.43279218,-3.1569491,-1.3602993,0.083777344,0.16372192,-0.28664482,-4.2885856,0.11922981,0.17007538,-1.7335928,-0.49381013,-0.32263666,0.090926356,-0.71895479,-0.11198293
-230.46899,0.99750362,0.13662155,4,31,0,231.66267,0.19369462,1.2349394,0.21053531,-3.0505246,0.047334088,-1.2537957,0.050538749,-1.8054473,-1.6229313,-0.21676784,-0.37996101,0.18900998,0.010086546,-3.7174389,-0.27760363,0.11420893,-0.23398343,-0.18214529,0.13405647,-1.0583455,-2.4894871,-1.485883,0.087800976,-0.089930772,0.11246471,0.13832036,-0.51751801,-0.43505378,-0.63107642,-0.84139981,-0.97917373,-0.89115432,0.18826859,-3.4448529,0.17299956,-2.1302303,0.085558351,0.097228717,0.1700829,-1.6012598,0.18882768,-5.1634524,-0.066596714,-0.93265537,-3.2064794,0.13249659,0.18840215,-0.82220845,-0.48597073,-0.0019104636,0.168494,-1.712934,-3.764279,0.078178893,-2.1575158,-0.21336452,-1.3964252,-0.96996193,0.045572001,-2.1830169,-0.72612398,-0.7394963,-1.9601063,-2.2160041,-1.5671125,0.047312171,-1.2785058,-1.4979326,0.18675295,-2.5231056,-0.28078693,-0.89188357,-0.89091523,-3.5593551,-0.012529433,-1.3485539,-0.67779522,0.14867434,-0.11148973,-0.01475868,-0.142037,-1.5048862,-1.15141,-0.90435646,-0.1337797,-0.56613033,0.019443609,0.085385528,-2.7527063,-1.3043884,-0.20599993,0.1022334,0.058297746,0.1918304,0.050314993,-1.9714098,-0.025958809,-1.8893546,-1.9159231,-0.69407645,-0.34866184,-0.021572047,0.002697643,-3.2270211,0.12091836,-1.0282777,-0.68065427,0.19591934,-0.65517354,-0.60010878,-1.4210534,0.1739166,0.0040011368,-0.6899366,-0.61162172,-0.37338898,-0.14260014,-0.37010347,-0.62661442,-3.181323,0.14063612,-0.49513878,-1.0195972,0.20208692,-0.053133485,0.13349747,-0.91475591,-0.25617518,-0.033866486,-1.5695928,-2.0869831,-3.2341535,-1.7158065,-0.90249577,0.05355634,-0.060921972,0.17964191,-0.12858288,-0.31103514,-1.0460066,0.16777476,-0.47936302,-0.92692014,0.15610289,-0.45461599,0.18204576,0.030413687,-0.74216439,-0.41903704,-0.40940731,0.19915955,0.18237068,-1.5749997,-0.30006801,-1.4119295,-3.320013,0.17736288,0.15443948,-0.33350986,-0.18165306,-1.7058724,0.077191091,0.1448802,-0.23628708,-0.32040923,-0.20889469,-0.11130538,-1.8263605,0.19886634,-0.29993506,-1.1311686,-0.15313768,-0.39483025,-0.21277892,-1.8003867,0.14081594,-1.9852414,-1.8257572,0.18137968,0.19436719,-0.60707014,-3.5637647,0.18463555,-0.011971567,-0.10082058,0.11188319,-0.90430865,-0.11390506,0.15378019,0.073222733,0.11464253,-0.7656723,0.019868591,-0.21583716,0.038423803,-1.3638364,-0.026037535,-1.354148,-0.87074042,-0.34296572,-0.46639215,-0.25392119,-0.78605011,0.062038975,0.16879105,-0.032159418,0.088261328,-2.7386041,0.17385569,-0.26178172,0.14510505,-0.28322379,-0.56911484,-0.26721836,-0.6473221,-0.84707506,-0.30041943,-0.78433001,-0.5611177,-1.098485,-1.5620695,0.14108692,0.18762546,-0.023702359,-0.36249169,-0.37534173,0.17129473,-1.2095453,-1.3930412,-1.6961622,-0.87146362,-0.65823893,-0.88158609,0.17232653,-0.10816112,-2.5951339,-0.31598106,-1.1527951,-2.1405027,-1.1055108,-1.0316958,0.19117752,0.13915852,-1.3957695,0.17368078,-2.7048697,0.11098007,-3.5740363,-0.68435218,0.10357106,-0.83340358,-0.2318005,-0.63150926,-1.0935614,-0.87449002,-0.073850879,0.18423472,-0.11725087,0.19398251,-2.3766916,0.14815426,0.18531217,0.13981932,-0.29402122,-3.1865979,-0.43036369,-0.057322333,-1.4903961,-0.29787588,-0.7601852,0.20365682,0.17599439,-0.42003941,-3.0081596,0.042389593,0.070938646,0.12467872,-0.73231551,-0.017654996,-3.0637748,-5.4905794,-0.93162679,-0.85720884,-0.55676988,-1.1790354,-1.5309256,-1.3491071,-0.61711843,0.1837126,0.041557763,-0.42923115,-3.2216851,-1.3756238,0.10208558,0.18593187,-0.27883272,-4.3702625,0.13856988,0.19195122,-1.7605186,-0.49018895,-0.31514567,0.10892406,-0.72045137,-0.10164293
