# stan_version_major = 2
# stan_version_minor = 37
# stan_version_patch = 0
# model = rlddm_single_subject_model
# start_datetime = 2025-09-25 02:55:52 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 2000
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.999
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = dense_e
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /Users/jy4657/Desktop/Repositories/tst-stan/recovery_out/tmp_subject_13/tmp_7_rdeef/ovfsx6u5.json
# init = 2 (Default)
# random
#   seed = 2040
# output
#   file = /Users/jy4657/Desktop/Repositories/tst-stan/cmdstan_tmp/rlddm_single_subject-20250924225552_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.37.0
# stancflags = --filename-in-msg=rlddm_single_subject.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,a,t0,log_scaler,scaler,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46,log_lik.47,log_lik.48,log_lik.49,log_lik.50,log_lik.51,log_lik.52,log_lik.53,log_lik.54,log_lik.55,log_lik.56,log_lik.57,log_lik.58,log_lik.59,log_lik.60,log_lik.61,log_lik.62,log_lik.63,log_lik.64,log_lik.65,log_lik.66,log_lik.67,log_lik.68,log_lik.69,log_lik.70,log_lik.71,log_lik.72,log_lik.73,log_lik.74,log_lik.75,log_lik.76,log_lik.77,log_lik.78,log_lik.79,log_lik.80,log_lik.81,log_lik.82,log_lik.83,log_lik.84,log_lik.85,log_lik.86,log_lik.87,log_lik.88,log_lik.89,log_lik.90,log_lik.91,log_lik.92,log_lik.93,log_lik.94,log_lik.95,log_lik.96,log_lik.97,log_lik.98,log_lik.99,log_lik.100,log_lik.101,log_lik.102,log_lik.103,log_lik.104,log_lik.105,log_lik.106,log_lik.107,log_lik.108,log_lik.109,log_lik.110,log_lik.111,log_lik.112,log_lik.113,log_lik.114,log_lik.115,log_lik.116,log_lik.117,log_lik.118,log_lik.119,log_lik.120,log_lik.121,log_lik.122,log_lik.123,log_lik.124,log_lik.125,log_lik.126,log_lik.127,log_lik.128,log_lik.129,log_lik.130,log_lik.131,log_lik.132,log_lik.133,log_lik.134,log_lik.135,log_lik.136,log_lik.137,log_lik.138,log_lik.139,log_lik.140,log_lik.141,log_lik.142,log_lik.143,log_lik.144,log_lik.145,log_lik.146,log_lik.147,log_lik.148,log_lik.149,log_lik.150,log_lik.151,log_lik.152,log_lik.153,log_lik.154,log_lik.155,log_lik.156,log_lik.157,log_lik.158,log_lik.159,log_lik.160,log_lik.161,log_lik.162,log_lik.163,log_lik.164,log_lik.165,log_lik.166,log_lik.167,log_lik.168,log_lik.169,log_lik.170,log_lik.171,log_lik.172,log_lik.173,log_lik.174,log_lik.175,log_lik.176,log_lik.177,log_lik.178,log_lik.179,log_lik.180,log_lik.181,log_lik.182,log_lik.183,log_lik.184,log_lik.185,log_lik.186,log_lik.187,log_lik.188,log_lik.189,log_lik.190,log_lik.191,log_lik.192,log_lik.193,log_lik.194,log_lik.195,log_lik.196,log_lik.197,log_lik.198,log_lik.199,log_lik.200,log_lik.201,log_lik.202,log_lik.203,log_lik.204,log_lik.205,log_lik.206,log_lik.207,log_lik.208,log_lik.209,log_lik.210,log_lik.211,log_lik.212,log_lik.213,log_lik.214,log_lik.215,log_lik.216,log_lik.217,log_lik.218,log_lik.219,log_lik.220,log_lik.221,log_lik.222,log_lik.223,log_lik.224,log_lik.225,log_lik.226,log_lik.227,log_lik.228,log_lik.229,log_lik.230,log_lik.231,log_lik.232,log_lik.233,log_lik.234,log_lik.235,log_lik.236,log_lik.237,log_lik.238,log_lik.239,log_lik.240,log_lik.241,log_lik.242,log_lik.243,log_lik.244,log_lik.245,log_lik.246,log_lik.247,log_lik.248,log_lik.249,log_lik.250,log_lik.251,log_lik.252,log_lik.253,log_lik.254,log_lik.255,log_lik.256,log_lik.257,log_lik.258,log_lik.259,log_lik.260,log_lik.261,log_lik.262,log_lik.263,log_lik.264,log_lik.265,log_lik.266,log_lik.267,log_lik.268,log_lik.269,log_lik.270,log_lik.271,log_lik.272,log_lik.273,log_lik.274,log_lik.275,log_lik.276,log_lik.277,log_lik.278,log_lik.279,log_lik.280,log_lik.281,log_lik.282,log_lik.283,log_lik.284,log_lik.285,log_lik.286,log_lik.287,log_lik.288,log_lik.289,log_lik.290,log_lik.291,log_lik.292,log_lik.293,log_lik.294,log_lik.295,log_lik.296,log_lik.297,log_lik.298,log_lik.299,log_lik.300
# Adaptation terminated
# Step size = 0.130381
# Elements of inverse mass matrix:
# 0.415341, -0.000529122, 0.0116128, -0.00981376
# -0.000529122, 0.00401281, -0.0215981, 0.00266753
# 0.0116128, -0.0215981, 1.57641, -0.00222914
# -0.00981376, 0.00266753, -0.00222914, 0.0467299
-155.43719,0.99994214,0.13038079,4,15,0,160.50988,0.45053278,1.1704467,0.33002982,-2.5337041,0.079364504,-0.16519382,0.12975282,-1.0177488,-1.6719819,-0.23780809,0.1259246,-0.010326492,-1.8697956,-3.0903492,-1.258175,-1.1871262,-3.7597594,0.2883401,0.084455003,-1.0589428,0.027082262,0.12168265,-2.7430128,0.26123427,-0.25906613,0.31974006,0.2819529,-0.59004131,0.12404093,-1.0128096,-1.1770206,-0.16249417,-0.92234869,0.33175545,0.29679305,0.15670139,-1.4965898,-0.27135754,-0.77044815,-0.56759209,0.028725626,0.26045294,0.01435783,-0.15301338,-0.1194164,0.098189185,0.29022573,-1.1397212,-0.28071547,-0.46395673,0.087662514,0.23804624,0.17494774,0.23679795,0.052822977,-0.52689887,-0.71434775,-0.39733481,0.27441006,-0.4601842,-1.0628286,0.30582311,-0.76034206,-0.53261359,-1.441206,-1.028731,0.20518423,0.10818494,0.094087315,0.058749872,-1.2627274,0.096895521,0.14780846,-0.14052485,-1.2441754,0.20508268,-0.37647394,-0.12215834,-0.34048065,0.2561369,0.21120054,-0.11589353,0.29895838,-0.52795037,-1.3480799,-0.318786,0.26348322,-0.22423356,-0.02105108,0.055406349,0.26452349,-0.36328516,-2.1887202,-1.9673416,-0.17085574,0.1580823,-0.9304675,0.30387783,-0.072785762,-0.58427691,-1.2056194,-0.54341351,-1.5929027,-4.8533738,0.23208347,0.023112611,-0.41243974,0.22047243,0.033793134,0.24690101,-0.18436696,-0.28945062,-0.055490936,0.26517833,-0.24039081,0.25797629,-0.085677936,-0.20823286,-0.88917697,-1.6069575,0.16553895,0.32952049,0.28057622,-0.5828711,-1.1298861,0.24167822,0.12374587,0.028079582,-0.80298706,0.0077445479,-1.2598734,-0.22168881,-0.79133152,0.053438467,0.15623535,-0.8098493,-1.3700521,-1.7291126,-1.0099136,0.30718497,0.20262018,-0.81956823,-0.23288566,0.32533998,0.26115288,-1.0919314,0.27838636,-0.50496491,0.23652826,-0.29456041,-1.6628592,-0.55899566,-0.23201855,-2.2051388,-0.19493197,-2.0931798,-0.33500766,0.084555047,0.12774587,-1.2569369,-1.302129,-1.2478739,0.23294547,0.2963671,-3.6293675,-0.25652354,-0.535929,-0.3768124,-1.9516285,-0.16498891,-0.9570551,0.076360249,-0.2566029,-0.12998478,0.0036750979,-0.051679639,0.30439776,0.3184794,0.074724504,0.32686709,0.1838231,0.06169302,0.18408889,-0.86182442,0.17706299,0.13382773,-1.8414411,-1.8281915,0.2252181,-0.13251456,-0.021610696,-0.048606246,0.08252984,-1.2171466,-1.0165071,-0.67845315,-0.68743193,-0.29253349,-0.54102652,-0.072316833,-0.14274763,-0.40960316,0.093966884,0.30346925,-1.8271454,-1.2745679,-3.935276,-1.4221976,-0.24233176,-0.24370237,-0.43442611,-0.085934327,-1.6249895,-0.038518381,-0.32237223,0.095190682,0.169565,-0.60107407,0.085413617,-2.1868085,-1.211781,0.10819603,-1.6041073,0.26429689,-0.90636386,-0.088791676,-0.24224365,0.3275594,-0.073806849,0.15546214,0.029454458,-1.0189495,-0.1180711,-0.3850953,-1.5087043,-0.89512874,-0.63073756,-1.2962013,-0.15052353,-1.9009656,-0.17218837,0.31731614,-2.2621663,-0.23370669,-1.1858173,-0.038964834,-0.16533665,0.15799931,0.20859885,0.29359177,0.28708738,-4.0096524,-1.6949319,0.25669945,-0.27167734,0.33260542,0.31354943,0.26409506,0.1888146,0.18624533,-1.6813124,-0.35676772,-0.7759376,0.24492697,-0.20634049,-1.0802428,-0.082820641,-0.30216923,-0.070498112,-0.00020980759,-2.160781,-0.48085287,-0.086950143,-0.2329206,-2.4207314,0.30617852,-0.46268743,0.22998161,-0.20613667,0.30816185,0.031581292,0.21532687,-1.156367,-0.037594579,-0.31322921,0.13013953,0.21801619,0.32544915,0.23123819,-0.003871611,0.18736529,-2.6003574,0.18354854,-2.7456289,-2.0418694,-1.7582527,-0.20310708,0.23835191,-0.54032741,0.27798505,0.26667585,-0.077409689,-2.5838927,-0.07567124,-0.022843162
-155.29453,0.99942708,0.13038079,5,31,0,156.1414,0.51320365,1.1707336,0.33056013,-3.1204938,0.044135369,-0.16330793,0.13128476,-1.0074168,-1.684154,-0.23152977,0.12294977,-0.028161019,-1.8550296,-3.0303184,-1.2395803,-1.1656565,-4.0966528,0.29267459,0.08443073,-1.0599091,0.032672042,0.11805809,-2.6283134,0.2706479,-0.26971287,0.30486293,0.28954556,-0.57557417,0.11305338,-1.0264919,-1.1547388,-0.16589847,-0.89964495,0.31770409,0.2879085,0.15238382,-1.4568209,-0.25631748,-0.78291703,-0.57315912,0.041907547,0.26809535,0.0049131525,-0.15865521,-0.11813573,0.095484035,0.28637654,-1.1422948,-0.27857319,-0.46475034,0.094575175,0.22679437,0.17272469,0.23314082,0.056775994,-0.52933138,-0.69656104,-0.40687635,0.26135163,-0.47029987,-1.0293644,0.29248789,-0.77216086,-0.51804255,-1.3966395,-1.0526095,0.19357233,0.096662654,0.087287924,0.073752896,-1.2924169,0.085858657,0.15754196,-0.12974682,-1.2204731,0.20910726,-0.40323997,-0.11879199,-0.33532352,0.25704347,0.20468226,-0.12189142,0.29556467,-0.53237355,-1.3166188,-0.30389944,0.27280738,-0.23442026,-0.0074169105,0.03404927,0.25431176,-0.35145415,-2.1617095,-1.9918231,-0.17148562,0.15141121,-0.92688391,0.29814251,-0.075323142,-0.58894006,-1.1899768,-0.5383818,-1.5643569,-4.6407859,0.23363155,0.022085632,-0.4078146,0.21693618,0.038023507,0.23971478,-0.17217485,-0.27205803,-0.06744398,0.2787994,-0.2221718,0.27269555,-0.068201319,-0.18986396,-0.87428661,-1.6379078,0.17848834,0.31706115,0.26920703,-0.57029111,-1.1085459,0.23091229,0.13273932,0.021914005,-0.82058309,0.025517033,-1.2956717,-0.20176936,-0.81677722,0.024547684,0.13967131,-0.83860496,-1.4030677,-1.7780144,-0.99168652,0.29964716,0.19932973,-0.79906204,-0.21905463,0.31462144,0.27453817,-1.1039972,0.28528257,-0.49030541,0.22085962,-0.30638214,-1.6877294,-0.54569433,-0.22047042,-2.2113781,-0.18855165,-2.1255422,-0.33012939,0.07350476,0.13231656,-1.2582323,-1.2862843,-1.2466187,0.23844715,0.29665308,-3.6968006,-0.24596153,-0.52093743,-0.36185409,-2.0179747,-0.14534039,-0.91997739,0.096580169,-0.23372844,-0.1079229,-0.005960043,-0.034455915,0.29077882,0.30908765,0.067298229,0.31400701,0.19847311,0.076981043,0.19305038,-0.87407635,0.15799738,0.12013386,-1.9093992,-1.8831589,0.23412311,-0.13893098,-0.024701261,-0.038524632,0.092208667,-1.234087,-1.0237868,-0.68338491,-0.67802306,-0.29597146,-0.5526937,-0.085015948,-0.15573167,-0.38919328,0.08892538,0.29575233,-1.81366,-1.2556539,-3.6412741,-1.4082933,-0.24077707,-0.23971298,-0.42840013,-0.10052082,-1.6222365,-0.035955813,-0.32778791,0.090376766,0.17828089,-0.60971031,0.091935233,-2.1668226,-1.2206155,0.11164434,-1.6130087,0.26627137,-0.90397374,-0.087772968,-0.24868719,0.31561423,-0.055656512,0.16560527,0.0035951966,-1.0457958,-0.13215622,-0.401194,-1.5433522,-0.91384104,-0.64914009,-1.3199786,-0.13347584,-1.9638383,-0.1549864,0.29932923,-2.377358,-0.21912496,-1.2099275,-0.043639933,-0.1590952,0.16346555,0.2081681,0.29720742,0.27812351,-3.7784481,-1.7174376,0.24649149,-0.25200814,0.31834044,0.29591691,0.24985929,0.17377038,0.20014865,-1.6056632,-0.35832529,-0.74198552,0.26215248,-0.2030132,-1.1036129,-0.093513932,-0.31397984,-0.052365422,0.017536143,-2.0615962,-0.50004926,-0.064876944,-0.23044854,-2.2676328,0.29355164,-0.44639654,0.21970139,-0.1909007,0.29460512,0.045580877,0.23102366,-1.1809771,-0.035974251,-0.34928315,0.13955159,0.23219729,0.30844737,0.25077346,0.018187998,0.201133,-2.4795229,0.191292,-2.8273216,-1.9722376,-1.6909379,-0.18190974,0.25368382,-0.57758565,0.28853651,0.27959535,-0.090195183,-2.7442436,-0.090305354,-0.0031896969
-156.3321,0.9987763,0.13038079,4,15,0,156.64125,0.53138287,1.1958038,0.33100294,-3.1322925,0.04361769,-0.16344764,0.11546577,-0.97224377,-1.6211893,-0.22916036,0.037162377,-0.1351975,-1.7836045,-2.9057236,-1.1949613,-1.1239376,-4.0229101,0.24618853,0.072671313,-1.0226193,0.02270136,0.10358327,-2.5161912,0.21625634,-0.26431079,0.25072295,0.24316309,-0.5580037,0.099999597,-0.99110059,-1.1122265,-0.16602109,-0.86888277,0.27846144,0.25525155,0.13512868,-1.4015861,-0.25319562,-0.75733251,-0.55616714,0.030433383,0.23610558,-0.0021868091,-0.15886767,-0.11940143,0.082109697,0.2523688,-1.1005153,-0.27362739,-0.45204932,0.080783767,0.15561782,0.15386345,0.21010804,0.045248603,-0.51364026,-0.67457718,-0.39578998,0.19651854,-0.62307515,-0.99294374,0.26175324,-0.74696104,-0.50289674,-1.3436779,-1.0158572,0.1746655,0.084600461,0.074741958,0.060271051,-1.2463486,0.074409603,0.13923668,-0.13154342,-1.1750902,0.13812048,-0.55116817,-0.12100581,-0.32911366,0.22915361,0.13085822,-0.12296231,0.25893117,-0.51672403,-1.2679911,-0.29882066,0.21922235,-0.23049667,-0.016258178,-0.066060095,0.22904547,-0.34434302,-2.0763954,-1.9179641,-0.17125825,0.069101666,-0.89479293,0.26409731,-0.079200952,-0.57092474,-1.1464904,-0.5232915,-1.5055794,-4.4191368,0.20954651,0.014170188,-0.39759986,0.14581632,0.02792213,0.1720671,-0.17295134,-0.26860998,-0.070654285,0.23246521,-0.22089554,0.23450613,-0.074152552,-0.19003008,-0.84402346,-1.5778611,0.15675427,0.2773514,0.24238126,-0.55302031,-1.0681551,0.20845588,0.11633219,0.013086935,-0.79287701,0.014574846,-1.2496853,-0.20135585,-0.78940674,-0.077822353,0.12529381,-0.81058782,-1.3539056,-1.7153329,-0.95592118,0.26160822,0.17790445,-0.77260341,-0.21758715,0.27116946,0.22403257,-1.06531,0.24821196,-0.47713227,0.14778373,-0.29922411,-1.6261676,-0.52944703,-0.21825516,-2.1285686,-0.1874926,-2.0470658,-0.32288456,-0.020131566,0.11644414,-1.2127738,-1.2394989,-1.2013238,0.21082001,0.25687729,-3.5618212,-0.24347113,-0.50658502,-0.35427966,-1.9460944,-0.14766384,-0.88807327,0.08107288,-0.23191313,-0.11195535,-0.013310087,-0.041793514,0.25979929,0.26563901,0.055907517,0.2751223,0.17497342,0.063307355,0.12031607,-0.84484109,0.074513446,0.10692532,-1.8420056,-1.8169285,0.20846964,-0.14038022,-0.12931855,-0.044373257,0.079026609,-1.1908304,-0.98848724,-0.66194446,-0.65586676,-0.29058363,-0.53573307,-0.087473678,-0.15503642,-0.38049947,0.076266114,0.2604025,-1.7424793,-1.208785,-3.4626976,-1.3553255,-0.23787169,-0.2368534,-0.41739491,-0.21542246,-1.5613502,-0.042034858,-0.31978304,0.077851801,0.1579767,-0.59096404,0.078296516,-2.0832881,-1.1758437,0.096820746,-1.5530707,0.23582198,-0.87289173,-0.091382489,-0.2440955,0.27705082,-0.062375471,0.088617751,-0.10082426,-1.2549376,-0.13238529,-0.39016442,-1.488655,-0.88334697,-0.62851376,-1.2733239,-0.13598183,-1.8940442,-0.15648573,0.24240949,-2.298034,-0.21685731,-1.1678017,-0.15067714,-0.15925004,0.14524322,0.13601119,0.25420823,0.24890299,-3.5981767,-1.6545372,0.2221998,-0.24936536,0.27112446,0.23811019,0.22598217,0.15695368,0.12981733,-1.5420698,-0.49888873,-0.71775167,0.20786616,-0.32683498,-1.0657585,-0.096716936,-0.3076565,-0.058740163,0.0074402137,-1.9758913,-0.48527413,-0.070966935,-0.35731534,-2.1689967,0.23772265,-0.434168,0.19714399,-0.18987012,0.23874514,0.034785566,0.20331172,-1.1400735,-0.14137444,-0.49278267,0.058309139,0.16854525,0.27460225,0.21830223,0.007614492,0.1785895,-2.3714742,0.11790732,-2.7275271,-1.8927962,-1.6242591,-0.18246403,0.19587846,-0.74378685,0.24489584,0.2314411,-0.092707997,-2.6587421,-0.09255993,-0.012466071
