# stan_version_major = 2
# stan_version_minor = 37
# stan_version_patch = 0
# model = rlddm_single_subject_model
# start_datetime = 2025-09-25 02:55:54 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 2000
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.999
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = dense_e
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /Users/jy4657/Desktop/Repositories/tst-stan/recovery_out/tmp_subject_14/tmpa93hqbr8/nmz_mg7f.json
# init = 2 (Default)
# random
#   seed = 2041
# output
#   file = /Users/jy4657/Desktop/Repositories/tst-stan/cmdstan_tmp/rlddm_single_subject-20250924225554_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.37.0
# stancflags = --filename-in-msg=rlddm_single_subject.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,a,t0,log_scaler,scaler,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46,log_lik.47,log_lik.48,log_lik.49,log_lik.50,log_lik.51,log_lik.52,log_lik.53,log_lik.54,log_lik.55,log_lik.56,log_lik.57,log_lik.58,log_lik.59,log_lik.60,log_lik.61,log_lik.62,log_lik.63,log_lik.64,log_lik.65,log_lik.66,log_lik.67,log_lik.68,log_lik.69,log_lik.70,log_lik.71,log_lik.72,log_lik.73,log_lik.74,log_lik.75,log_lik.76,log_lik.77,log_lik.78,log_lik.79,log_lik.80,log_lik.81,log_lik.82,log_lik.83,log_lik.84,log_lik.85,log_lik.86,log_lik.87,log_lik.88,log_lik.89,log_lik.90,log_lik.91,log_lik.92,log_lik.93,log_lik.94,log_lik.95,log_lik.96,log_lik.97,log_lik.98,log_lik.99,log_lik.100,log_lik.101,log_lik.102,log_lik.103,log_lik.104,log_lik.105,log_lik.106,log_lik.107,log_lik.108,log_lik.109,log_lik.110,log_lik.111,log_lik.112,log_lik.113,log_lik.114,log_lik.115,log_lik.116,log_lik.117,log_lik.118,log_lik.119,log_lik.120,log_lik.121,log_lik.122,log_lik.123,log_lik.124,log_lik.125,log_lik.126,log_lik.127,log_lik.128,log_lik.129,log_lik.130,log_lik.131,log_lik.132,log_lik.133,log_lik.134,log_lik.135,log_lik.136,log_lik.137,log_lik.138,log_lik.139,log_lik.140,log_lik.141,log_lik.142,log_lik.143,log_lik.144,log_lik.145,log_lik.146,log_lik.147,log_lik.148,log_lik.149,log_lik.150,log_lik.151,log_lik.152,log_lik.153,log_lik.154,log_lik.155,log_lik.156,log_lik.157,log_lik.158,log_lik.159,log_lik.160,log_lik.161,log_lik.162,log_lik.163,log_lik.164,log_lik.165,log_lik.166,log_lik.167,log_lik.168,log_lik.169,log_lik.170,log_lik.171,log_lik.172,log_lik.173,log_lik.174,log_lik.175,log_lik.176,log_lik.177,log_lik.178,log_lik.179,log_lik.180,log_lik.181,log_lik.182,log_lik.183,log_lik.184,log_lik.185,log_lik.186,log_lik.187,log_lik.188,log_lik.189,log_lik.190,log_lik.191,log_lik.192,log_lik.193,log_lik.194,log_lik.195,log_lik.196,log_lik.197,log_lik.198,log_lik.199,log_lik.200,log_lik.201,log_lik.202,log_lik.203,log_lik.204,log_lik.205,log_lik.206,log_lik.207,log_lik.208,log_lik.209,log_lik.210,log_lik.211,log_lik.212,log_lik.213,log_lik.214,log_lik.215,log_lik.216,log_lik.217,log_lik.218,log_lik.219,log_lik.220,log_lik.221,log_lik.222,log_lik.223,log_lik.224,log_lik.225,log_lik.226,log_lik.227,log_lik.228,log_lik.229,log_lik.230,log_lik.231,log_lik.232,log_lik.233,log_lik.234,log_lik.235,log_lik.236,log_lik.237,log_lik.238,log_lik.239,log_lik.240,log_lik.241,log_lik.242,log_lik.243,log_lik.244,log_lik.245,log_lik.246,log_lik.247,log_lik.248,log_lik.249,log_lik.250,log_lik.251,log_lik.252,log_lik.253,log_lik.254,log_lik.255,log_lik.256,log_lik.257,log_lik.258,log_lik.259,log_lik.260,log_lik.261,log_lik.262,log_lik.263,log_lik.264,log_lik.265,log_lik.266,log_lik.267,log_lik.268,log_lik.269,log_lik.270,log_lik.271,log_lik.272,log_lik.273,log_lik.274,log_lik.275,log_lik.276,log_lik.277,log_lik.278,log_lik.279,log_lik.280,log_lik.281,log_lik.282,log_lik.283,log_lik.284,log_lik.285,log_lik.286,log_lik.287,log_lik.288,log_lik.289,log_lik.290,log_lik.291,log_lik.292,log_lik.293,log_lik.294,log_lik.295,log_lik.296,log_lik.297,log_lik.298,log_lik.299,log_lik.300
# Adaptation terminated
# Step size = 0.0210658
# Elements of inverse mass matrix:
# 1.99458, 0.113968, -0.603448, -0.386714
# 0.113968, 0.00942778, -0.0541237, -0.015595
# -0.603448, -0.0541237, 1.08959, 0.0799981
# -0.386714, -0.015595, 0.0799981, 0.110728
-156.99945,0.99980448,0.021065774,7,159,0,159.79533,0.038708003,1.236236,0.26049924,-3.5613162,0.028401419,0.1330813,-0.27080719,-0.14935036,-0.058973693,0.16794537,-2.5049583,-0.49975697,-0.02352627,-4.3766668,-0.34152847,-0.50858293,-0.059347188,-0.38902596,-0.62560114,0.13861729,-1.0456495,-0.2251065,-4.1066484,0.078634692,0.18550791,-0.0026768053,-0.25237234,-0.041153524,-0.24594169,-1.5077112,-0.2899774,0.18083538,0.078910911,-1.186924,-0.077261417,-0.39842868,-0.54061586,-0.80791921,-0.20017381,-0.35783465,0.13394927,-0.088307813,-0.13549279,-0.23740435,0.18510399,-1.6647944,0.14327684,0.15515119,-0.061380092,-2.5301699,-0.018780826,-1.0603149,0.13723074,-1.0581523,-1.3148218,-0.4514236,-0.32647393,-0.089135985,0.15120505,0.03574861,-0.16709688,-0.24058106,-0.32594908,0.18111434,0.19309066,0.15162639,-0.32101615,0.15162208,-0.8313935,-0.83086815,-0.26778933,-0.019834139,-1.2901297,-1.8312097,-1.1522602,0.084581166,-1.1305902,-0.38101166,-0.40961145,0.1596086,-1.2929355,-3.1511575,-0.082817619,0.13616882,-1.6442844,-0.082393202,0.099032133,-0.48119472,-1.1797234,-0.097747442,-0.63615319,-0.60414796,-0.037320888,0.18462938,0.17883966,-1.2790062,-0.015604824,0.10646521,0.037790579,0.052584694,-1.7843956,-1.1278294,0.081040036,0.18652601,-0.085242592,-0.63963286,-3.0560657,-2.225093,0.17042489,0.15390184,-0.36550343,-0.14596015,0.15066708,-2.7735235,0.029007969,-0.21416198,-0.65682176,0.19271486,-0.15579354,-0.71521778,-0.041972783,-1.6996916,-0.66081853,0.034340412,-1.6763884,-0.40238366,-1.2436941,-2.3429437,-0.012389516,-0.19587593,0.091575722,-0.2233387,-0.17210899,0.18664044,0.18663832,0.061632045,-1.1148006,0.044520628,-0.96482423,-0.33776394,-0.37675899,-0.1153509,-0.14624159,-0.20127246,-0.21321976,-0.74802789,-1.9683021,0.19360838,-1.5157176,0.01624192,0.17650228,-0.74829862,-0.056461919,0.17817048,0.027241396,-1.4121868,0.098664047,-0.21361644,-0.029319471,-1.2159265,0.18022961,0.11496687,-0.92435556,-0.045872119,-0.50286721,0.1639286,0.16861031,-0.09116362,0.16843729,-0.10324138,-2.286323,-0.21957047,0.0040203577,-0.20124465,-0.049846748,0.096742317,-0.55758074,0.19396442,0.15307751,-0.086351525,-1.0687507,-1.244406,0.017442371,0.15380031,-0.88687269,-0.1482157,-0.38807694,0.18238776,0.110535,-1.36273,-0.3491892,-0.10396786,0.062323413,-1.3741976,-1.214465,-0.23039806,0.19613912,0.12836847,0.11565998,-0.30960199,0.0012388837,-0.79668292,-1.3489993,0.092673364,0.12012693,-1.7116992,0.17577674,0.00052645667,-0.91847293,0.061376834,-0.37675891,-0.0046115354,-0.42755454,-0.17521716,-0.2454751,0.17446412,-0.66614994,0.023956381,-0.74206353,-0.44083656,-1.1369934,-1.3676194,-1.2699262,-2.0061626,0.14375971,-0.43167203,-1.1604092,-7.234366,0.16368802,-2.7623807,-0.34044718,-0.21589194,-0.70913952,-0.023765692,0.18381216,0.19236453,-0.74525468,0.12589274,-0.25483597,0.15043127,-0.79495366,-0.10983738,-0.51283098,-0.01214469,0.19768792,0.18155364,0.16453518,0.034076544,-0.17037763,-0.86481899,-0.92383733,-0.4591917,-2.7565062,0.092300599,0.019145364,0.1268127,-0.83442096,0.18279861,-0.14288596,0.04274273,0.010765108,-2.002949,-0.49402127,0.15603395,0.011077077,0.19368402,-0.26871717,-0.24086176,-2.813482,0.19346956,-0.91673363,0.17891566,-0.45514173,0.12748924,0.057347068,0.18362331,0.086123232,0.1984522,-0.1968564,0.18333199,-0.7043761,-0.10514174,0.13081857,0.064228721,0.19835761,-0.64674185,-0.43306476,-0.66344499,-0.75184641,0.17227552,0.031465575,-0.07692762,-0.05197564,-0.046346046,0.18085889,0.18777748,0.11344446,0.17311456,-0.3274617,0.19131337,-0.039766982,-0.22068704,0.1833205,-0.19499853,0.028096687
-157.51755,0.99954469,0.021065774,6,127,0,159.14458,0.13847658,1.2586727,0.25131758,-3.824842,0.021821884,0.11894701,-0.17307414,-0.18268874,-0.09552217,0.14152994,-2.4468821,-0.52274377,-0.063298527,-4.3182277,-0.36931362,-0.52956598,-0.096760967,-0.41398751,-0.64382464,0.12467523,-1.049271,-0.13970385,-4.0196565,0.038387455,0.14581093,0.021923425,-0.28383175,-0.0092584369,-0.27737398,-1.4935434,-0.3182723,0.14124725,0.078081537,-1.1863551,-0.11201039,-0.42151045,-0.55933776,-0.81589691,-0.23124584,-0.38629577,0.12190513,-0.12697413,-0.17276525,-0.26612285,0.14424109,-1.6491504,0.12805736,0.11500718,-0.10136029,-2.4589311,-0.05960846,-1.0640205,0.09334163,-1.0630816,-1.3059147,-0.47308589,-0.35351848,-0.12646627,0.10737543,0.047337458,-0.20056997,-0.27185716,-0.352443,0.1404433,0.15761803,0.10992291,-0.34970161,0.13239382,-0.84194873,-0.83909201,-0.16800149,-0.05641773,-1.2814506,-1.811201,-1.1494756,0.083697923,-1.130083,-0.40774953,-0.43463285,0.11756769,-1.2879234,-3.0742991,-0.11834128,0.092286658,-1.6314495,-0.11738717,0.09647069,-0.50140005,-1.1737141,-0.04620434,-0.65077496,-0.62457846,-0.077747612,0.14725114,0.14002395,-1.269037,0.013631481,0.097178787,0.053082855,0.0086398103,-1.7698333,-1.1298548,0.039021882,0.14699738,-0.12191061,-0.65703616,-2.9884366,-2.1875009,0.14649303,0.11084892,-0.39134274,-0.082880395,0.10843998,-2.712756,-0.010699519,-0.24435378,-0.67465243,0.15587662,-0.191939,-0.73047422,-0.079290331,-1.6783211,-0.67637143,-0.0057432798,-1.6606947,-0.26552333,-1.2389292,-2.2999394,-0.050724595,-0.22804731,0.088602239,-0.25366709,-0.20355075,0.15704844,0.14628145,0.019573305,-1.1176626,0.0022465809,-0.96681905,-0.36296661,-0.40471693,-0.15261905,-0.18122458,-0.12064735,-0.24641829,-0.7613244,-1.9412523,0.15712188,-1.503019,-0.023354429,0.14684464,-0.7617664,-0.093126706,0.14806885,-0.013486563,-1.402527,0.057989054,-0.24749581,-0.068404435,-1.213206,0.15041315,0.10657021,-0.93259163,-0.081737587,-0.52555296,0.14028374,0.12612996,-0.12802269,0.14359656,-0.13905906,-2.2437171,-0.25017613,-0.036129926,-0.12083575,-0.011378332,0.090595841,-0.57788813,0.15905513,0.11213675,-0.12077103,-1.066126,-1.2442686,-0.024601303,0.11365447,-0.89840451,-0.17964835,-0.41203771,0.14104499,0.069990082,-1.3529525,-0.37462341,-0.14089677,0.019673582,-0.90352258,-1.2068735,-0.14700029,0.16199401,0.11955506,0.070817749,-0.33489828,-0.041078199,-0.80327799,-1.333622,0.04775409,0.076036204,-1.6923552,0.14500723,-0.037402038,-0.92772643,0.070465314,-0.40162029,-0.044677885,-0.44991143,-0.21027548,-0.27814511,0.14280106,-0.68443468,-0.017123517,-0.75462048,-0.464787,-1.1378745,-1.361906,-1.2630441,-1.9772392,0.10106932,-0.45611566,-1.1591108,-6.8290127,0.12229369,-2.7060834,-0.36652873,-0.24645894,-0.72201696,-0.063671967,0.1459913,0.16220754,-0.76051813,0.085103616,-0.16470625,0.10790422,-0.80516547,-0.14595214,-0.53290105,-0.051911968,0.1631608,0.141687,0.12308148,-0.0075817714,-0.20516067,-0.87289989,-0.92943449,-0.48397054,-2.713227,0.049411122,-0.022431343,0.11464618,-0.84692237,0.14538114,-0.17827049,0.0013152694,-0.029651597,-1.9771877,-0.51679755,0.11502669,-0.028854428,0.15279273,-0.29768671,-0.15115396,-2.7335631,0.15245977,-0.9245339,0.13942094,-0.47827437,0.085124241,0.016508387,0.14596518,0.044081344,0.16142754,-0.11722389,0.14588347,-0.71856235,-0.052863919,0.08620298,0.070366189,0.16065574,-0.66405135,-0.45463687,-0.67499376,-0.50321681,0.14630668,-0.01250675,-0.11728951,-0.09234056,-0.012934145,0.13566771,0.14403772,0.10405084,0.14593913,-0.2123833,0.15793035,-0.076143828,-0.25304973,0.14137812,-0.22790337,-0.010341152
-158.52619,0.99979148,0.021065774,7,127,0,160.22587,0.025652824,1.1867208,0.26493474,-3.7284248,0.02403066,0.22974097,-0.17477117,-0.12501794,-0.025699109,0.25954483,-2.6845534,-0.50589054,0.014130986,-4.703785,-0.33418257,-0.51591502,-0.02589719,-0.38620671,-0.64252398,0.2343216,-1.0982686,-0.12705827,-4.4145089,0.12798054,0.25880925,0.099940985,-0.23682349,0.062519605,-0.2298421,-1.5996695,-0.2782291,0.25220178,0.17988849,-1.2518679,-0.04600916,-0.39660139,-0.55084713,-0.84128697,-0.18053625,-0.35175287,0.23017933,-0.057138696,-0.10878709,-0.22167871,0.25952539,-1.7691392,0.23830702,0.21761147,-0.027017239,-2.7168387,0.020093537,-1.113415,0.1980858,-1.1106036,-1.3925905,-0.45496508,-0.31888956,-0.057689469,0.21539423,0.13883895,-0.14499334,-0.22352458,-0.31856346,0.25435082,0.27333682,0.21306488,-0.31094631,0.24550163,-0.86489422,-0.86733136,-0.17302203,0.016268174,-1.3665588,-1.9469424,-1.2165615,0.18569466,-1.1926077,-0.37812837,-0.40938948,0.22287118,-1.364771,-3.3756533,-0.050922957,0.19484816,-1.7494083,-0.050699421,0.19879694,-0.48559857,-1.2434978,0.0049374214,-0.65384514,-0.61997783,-0.0016979022,0.25811183,0.24987702,-1.3517044,0.08748283,0.20566018,0.13981457,0.099362365,-1.8993187,-1.1878226,0.13106295,0.26190926,-0.053971531,-0.65747991,-3.2784944,-2.3768908,0.26108138,0.21808572,-0.36094748,-0.044988135,0.21263345,-2.976389,0.071636093,-0.19658038,-0.67564855,0.26966298,-0.13052375,-0.73896084,-0.007614062,-1.8069257,-0.68212026,0.079069747,-1.7839798,-0.31560565,-1.3149487,-2.5092182,0.026728221,-0.17498824,0.1921033,-0.20672257,-0.15100308,0.27240283,0.26437472,0.11036817,-1.1717524,0.091225533,-1.0131123,-0.33175034,-0.37120228,-0.086021917,-0.12019454,-0.10329048,-0.19318721,-0.77443926,-2.0964052,0.27334525,-1.6106851,0.05910743,0.26592419,-0.77462276,-0.023983504,0.26702472,0.071778354,-1.4984854,0.15277548,-0.19611121,0.0062279241,-1.2854553,0.26837383,0.2126747,-0.96830547,-0.010393803,-0.51046711,0.25632122,0.23441678,-0.061754732,0.25954318,-0.075239864,-2.448799,-0.20278322,0.045663116,-0.10316879,0.052096365,0.19734413,-0.56773392,0.2746047,0.21418005,-0.057352269,-1.1266419,-1.3113286,0.06133297,0.21459671,-0.92391359,-0.12561144,-0.38676699,0.25847843,0.16317665,-1.4464018,-0.3446653,-0.073117347,0.11213735,-1.4201888,-1.2856097,-0.13046707,0.27544035,0.22419761,0.17409994,-0.30209052,0.043979842,-0.83193803,-1.4329875,0.14771728,0.17944966,-1.8164491,0.26541843,0.038080614,-0.95741306,0.16112215,-0.37509969,0.037285972,-0.43059274,-0.15032451,-0.22693835,0.26461036,-0.68351983,0.06956405,-0.77231419,-0.44470914,-1.2010674,-1.4515009,-1.3386417,-2.1470765,0.2079108,-0.42980067,-1.2194738,-8.6191469,0.22575948,-2.9729253,-0.33594992,-0.20024915,-0.73680626,0.016505918,0.26734106,0.27613992,-0.76896033,0.17962242,-0.1552636,0.21677546,-0.83025285,-0.078557294,-0.52363118,0.029492611,0.27762256,0.26007309,0.22638885,0.081463684,-0.14457264,-0.90631811,-0.96297259,-0.46475382,-2.9655,0.14128457,0.058773335,0.22525974,-0.87244058,0.26146913,-0.1203023,0.084999771,0.049176049,-2.1443224,-0.50281348,0.22357882,0.049351201,0.26618813,-0.25226484,-0.14563132,-3.0068942,0.2661152,-0.96220637,0.25500805,-0.4606677,0.18877334,0.10129359,0.2646682,0.14040569,0.27572629,-0.099974255,0.26447487,-0.73182877,-0.0052489187,0.18561269,0.16755915,0.27779266,-0.66918626,-0.43114333,-0.6810613,-0.69631227,0.26271227,0.072401552,-0.047694609,-0.020524669,0.055093142,0.24821686,0.25734776,0.21073893,0.26333847,-0.232599,0.27618767,-0.0012387995,-0.20585248,0.25046443,-0.17794787,0.074438769
