# stan_version_major = 2
# stan_version_minor = 37
# stan_version_patch = 0
# model = rlddm_single_subject_model
# start_datetime = 2025-09-25 02:55:56 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 2000
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.999
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = dense_e
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /Users/jy4657/Desktop/Repositories/tst-stan/recovery_out/tmp_subject_15/tmp5p1lowpv/i6u1svtr.json
# init = 2 (Default)
# random
#   seed = 2042
# output
#   file = /Users/jy4657/Desktop/Repositories/tst-stan/cmdstan_tmp/rlddm_single_subject-20250924225556_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.37.0
# stancflags = --filename-in-msg=rlddm_single_subject.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,a,t0,log_scaler,scaler,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46,log_lik.47,log_lik.48,log_lik.49,log_lik.50,log_lik.51,log_lik.52,log_lik.53,log_lik.54,log_lik.55,log_lik.56,log_lik.57,log_lik.58,log_lik.59,log_lik.60,log_lik.61,log_lik.62,log_lik.63,log_lik.64,log_lik.65,log_lik.66,log_lik.67,log_lik.68,log_lik.69,log_lik.70,log_lik.71,log_lik.72,log_lik.73,log_lik.74,log_lik.75,log_lik.76,log_lik.77,log_lik.78,log_lik.79,log_lik.80,log_lik.81,log_lik.82,log_lik.83,log_lik.84,log_lik.85,log_lik.86,log_lik.87,log_lik.88,log_lik.89,log_lik.90,log_lik.91,log_lik.92,log_lik.93,log_lik.94,log_lik.95,log_lik.96,log_lik.97,log_lik.98,log_lik.99,log_lik.100,log_lik.101,log_lik.102,log_lik.103,log_lik.104,log_lik.105,log_lik.106,log_lik.107,log_lik.108,log_lik.109,log_lik.110,log_lik.111,log_lik.112,log_lik.113,log_lik.114,log_lik.115,log_lik.116,log_lik.117,log_lik.118,log_lik.119,log_lik.120,log_lik.121,log_lik.122,log_lik.123,log_lik.124,log_lik.125,log_lik.126,log_lik.127,log_lik.128,log_lik.129,log_lik.130,log_lik.131,log_lik.132,log_lik.133,log_lik.134,log_lik.135,log_lik.136,log_lik.137,log_lik.138,log_lik.139,log_lik.140,log_lik.141,log_lik.142,log_lik.143,log_lik.144,log_lik.145,log_lik.146,log_lik.147,log_lik.148,log_lik.149,log_lik.150,log_lik.151,log_lik.152,log_lik.153,log_lik.154,log_lik.155,log_lik.156,log_lik.157,log_lik.158,log_lik.159,log_lik.160,log_lik.161,log_lik.162,log_lik.163,log_lik.164,log_lik.165,log_lik.166,log_lik.167,log_lik.168,log_lik.169,log_lik.170,log_lik.171,log_lik.172,log_lik.173,log_lik.174,log_lik.175,log_lik.176,log_lik.177,log_lik.178,log_lik.179,log_lik.180,log_lik.181,log_lik.182,log_lik.183,log_lik.184,log_lik.185,log_lik.186,log_lik.187,log_lik.188,log_lik.189,log_lik.190,log_lik.191,log_lik.192,log_lik.193,log_lik.194,log_lik.195,log_lik.196,log_lik.197,log_lik.198,log_lik.199,log_lik.200,log_lik.201,log_lik.202,log_lik.203,log_lik.204,log_lik.205,log_lik.206,log_lik.207,log_lik.208,log_lik.209,log_lik.210,log_lik.211,log_lik.212,log_lik.213,log_lik.214,log_lik.215,log_lik.216,log_lik.217,log_lik.218,log_lik.219,log_lik.220,log_lik.221,log_lik.222,log_lik.223,log_lik.224,log_lik.225,log_lik.226,log_lik.227,log_lik.228,log_lik.229,log_lik.230,log_lik.231,log_lik.232,log_lik.233,log_lik.234,log_lik.235,log_lik.236,log_lik.237,log_lik.238,log_lik.239,log_lik.240,log_lik.241,log_lik.242,log_lik.243,log_lik.244,log_lik.245,log_lik.246,log_lik.247,log_lik.248,log_lik.249,log_lik.250,log_lik.251,log_lik.252,log_lik.253,log_lik.254,log_lik.255,log_lik.256,log_lik.257,log_lik.258,log_lik.259,log_lik.260,log_lik.261,log_lik.262,log_lik.263,log_lik.264,log_lik.265,log_lik.266,log_lik.267,log_lik.268,log_lik.269,log_lik.270,log_lik.271,log_lik.272,log_lik.273,log_lik.274,log_lik.275,log_lik.276,log_lik.277,log_lik.278,log_lik.279,log_lik.280,log_lik.281,log_lik.282,log_lik.283,log_lik.284,log_lik.285,log_lik.286,log_lik.287,log_lik.288,log_lik.289,log_lik.290,log_lik.291,log_lik.292,log_lik.293,log_lik.294,log_lik.295,log_lik.296,log_lik.297,log_lik.298,log_lik.299,log_lik.300
# Adaptation terminated
# Step size = 0.0365838
# Elements of inverse mass matrix:
# 0.236285, -0.0177763, 0.052021, 0.0413141
# -0.0177763, 0.00523639, -0.0226656, 0.0027449
# 0.052021, -0.0226656, 1.17097, -0.0148417
# 0.0413141, 0.0027449, -0.0148417, 0.0468302
-243.23265,0.9997158,0.036583751,6,63,0,243.69116,0.73168386,1.4158135,0.40852078,-2.9192977,0.053971577,-0.091172551,-0.16226013,-0.20044388,-0.66378875,-0.84308699,-0.15603922,-0.16831993,-0.45254784,-0.91873198,-3.1648086,-1.0296405,-0.093118144,-0.12255026,-0.0980638,-2.9890889,-0.39613857,-1.7195587,-0.080177456,-0.85552433,-0.14617107,-0.40332349,-0.3651894,-1.9755407,-0.97114609,-0.14982247,-0.41772399,-0.11386921,-0.44905333,-0.26188502,-0.60823327,-3.7751304,-0.40093596,-1.7367371,-0.15337792,-0.32751717,-0.82843179,-2.7387008,-0.48781669,-1.4255656,-2.2612703,-2.9084004,-0.3208508,-0.12268535,-0.42557166,-2.5388256,-0.40149546,-0.10515348,-1.7420755,-1.8011842,-0.46856339,-0.39839259,-0.22149457,-0.080829605,-0.49252986,-0.26718038,-1.4676248,-0.19017938,-1.525276,-0.49453016,-1.0213789,-0.98631198,-0.41405357,-0.12266504,-0.25262769,-0.49504923,-0.45359781,-0.56251235,-0.32924779,-1.511842,-0.92885246,-0.792134,-0.79088911,-0.13512169,-2.3587763,-0.26987258,-0.95628367,-0.19655767,-1.1558903,-1.1288729,-0.2365455,-0.11376526,-0.14218918,-0.12711686,-1.0869339,-3.6570673,-1.500716,-0.49756605,-0.55510235,-0.61402578,-2.1909968,-1.0457719,-0.52685336,-1.6007302,-0.42292679,-0.17248431,-0.22941642,-1.2432518,-0.51851777,-0.27912312,-0.10755499,-0.1330442,-0.41757215,-0.14849954,-0.13699741,-0.88080491,-0.4834295,-1.0083999,-0.60703333,-1.9176973,-0.48685051,-0.91707481,-0.50470751,-1.040637,-0.11572451,-0.93465769,-1.967771,-1.3699418,-0.67773923,-0.10572464,-0.62454854,-0.59095204,-0.58224953,-1.2935399,-0.45476377,-0.47397691,-0.22930326,-0.11892298,-0.6417209,-1.278951,-0.58228146,-0.080965488,-0.34407875,-0.10921154,-0.10258535,-2.5399447,-0.90148129,-1.2700365,-0.83371655,-0.089702356,-0.47841654,-1.9651035,-0.22853214,-0.46066723,-0.095005922,-0.35005675,-3.295686,-0.64311236,-1.2434418,-0.15929849,-1.3735056,-0.12351772,-2.244214,-0.58383,-0.2199808,-0.15047031,-0.41912998,-0.63126773,-0.76184954,-1.6255655,-1.4506445,-1.7076837,-0.1491568,-0.094855882,-0.44563065,-0.54249263,-0.10288819,-0.11634903,-0.66617512,-1.9309351,-0.1154951,-0.59373815,-2.3001761,-0.11140918,-0.25382816,-0.11376871,-0.10012436,-0.33742633,-1.457717,-1.3961542,-0.24497395,-0.2722494,-0.38614084,-0.74484301,-0.083157271,-0.16454261,-0.10150205,-0.51750547,-0.14285378,-1.166433,-0.13665976,-0.22510545,-1.0684784,-0.56619444,-0.047236484,-0.70774067,-0.65086368,-1.2233477,-0.49940086,-0.32008922,-0.058572477,-0.11693055,-0.25363211,-0.13232629,-0.49204536,-0.35127471,-0.33812396,-0.92317719,-1.0171474,-0.33412864,-0.29499556,-0.70374126,-0.47269182,-0.65292188,-0.33921629,-2.389645,-0.32507868,-0.81089644,-1.8001934,-0.29617284,-0.24582654,-0.25432887,-0.5488505,-0.076777202,-0.069509782,-0.61703313,-1.8867098,-0.045471994,-0.67918404,-1.4594538,-1.1342415,-1.6263649,-0.27215591,-7.2925885,-0.39279019,-0.30848639,-0.36681688,-2.4765921,-0.10010702,-0.97461692,-1.1351756,-0.54051277,-0.13708617,-0.2193116,-0.12978023,-0.27579154,-1.2842295,-0.71864598,-0.050665764,-1.5539884,-0.13667633,-0.22093554,-0.15300451,-1.1954113,-0.32324694,-0.22974035,-0.045825528,-0.047995466,-0.11688348,-1.8057961,-0.27608304,-0.3119567,-0.26374322,-1.187681,-0.15245669,-0.16168429,-0.27804408,-0.19092403,-1.7223553,-1.798882,-0.85031532,-0.12208223,-1.1630507,-0.05927761,-0.82977493,-3.4179486,-0.47853121,-0.076048391,-0.44396498,-0.19581406,-0.43001376,-0.22707319,-1.5882531,-0.22171868,-0.17404144,-1.1511316,-1.502752,-0.22581923,-1.3674907,-1.2812774,-0.11243857,-0.12325574,-0.73167632,-0.079391186,-0.17565846,-1.0859971,-0.67668263,-0.12469509,-0.76432215,-0.54378233,-1.2393846
-242.11135,0.99997614,0.036583751,6,127,0,245.11502,0.70467624,1.4099615,0.40692155,-3.1054833,0.04480286,-0.085996825,-0.16402078,-0.19996809,-0.66868937,-0.848917,-0.15504483,-0.1482413,-0.45554864,-0.92577072,-3.19072,-1.0376071,-0.08101727,-0.10689096,-0.093576678,-3.0132336,-0.35844029,-1.7333025,-0.072132458,-0.86206492,-0.14420669,-0.40578578,-0.36723146,-1.9914012,-0.97864503,-0.13137849,-0.42034042,-0.11047689,-0.45199046,-0.23413308,-0.55532224,-3.8059566,-0.40337595,-1.7506072,-0.15165408,-0.32910645,-0.83473344,-2.7609055,-0.49113234,-1.435022,-2.2756631,-2.9251125,-0.32339008,-0.10695345,-0.42723493,-2.5595643,-0.40397156,-0.091541311,-1.7560671,-1.8156724,-0.4717181,-0.40078113,-0.22144253,-0.073540921,-0.50192222,-0.27391188,-1.4773366,-0.18935098,-1.5375001,-0.49787712,-1.0371436,-0.99522317,-0.37158224,-0.11971671,-0.25309106,-0.50352907,-0.45649567,-0.56755515,-0.33187661,-1.5259653,-0.93733729,-0.79935664,-0.7969304,-0.13271833,-2.3487679,-0.26433994,-0.88152651,-0.17733109,-1.1634679,-1.1390742,-0.23668205,-0.10165463,-0.12464419,-0.11084619,-1.0862074,-3.6736158,-1.3767491,-0.50705643,-0.55803136,-0.6174641,-2.2051847,-1.0538446,-0.53059215,-1.5992995,-0.38685514,-0.1724205,-0.20409292,-1.2623285,-0.52815339,-0.2737404,-0.10377978,-0.11890405,-0.42016207,-0.13053559,-0.11947329,-0.88879373,-0.43944786,-1.0163583,-0.61132308,-1.9504352,-0.49109129,-0.92296881,-0.50923858,-1.0473065,-0.11104516,-0.94057507,-1.9993192,-1.3807667,-0.67692922,-0.09104055,-0.62910638,-0.59614398,-0.58549294,-1.3135312,-0.46382928,-0.48323693,-0.20396407,-0.1038198,-0.64637605,-1.2905827,-0.58641806,-0.073418519,-0.34594162,-0.094994996,-0.098458766,-2.593117,-0.90706152,-1.278327,-0.84124163,-0.083992165,-0.48173499,-1.9810026,-0.22864634,-0.46478684,-0.087947007,-0.35297689,-3.3315451,-0.58809051,-1.2547132,-0.14015136,-1.3859985,-0.10775556,-2.2658249,-0.58902768,-0.19564566,-0.14185387,-0.38324383,-0.63589288,-0.76755306,-1.6385976,-1.4637993,-1.7055576,-0.12792309,-0.097659243,-0.44954028,-0.54732558,-0.089307919,-0.099195367,-0.66418172,-1.7741038,-0.09810492,-0.59253895,-2.2915637,-0.11346181,-0.25441393,-0.11020279,-0.086856718,-0.34413511,-1.4589884,-1.417838,-0.24641624,-0.27306847,-0.38830401,-0.75044151,-0.076780197,-0.16944808,-0.10444787,-0.46691726,-0.13222611,-1.1856181,-0.1418673,-0.21755782,-1.0662035,-0.56242083,-0.043586848,-0.71187769,-0.65566288,-1.2229029,-0.49644028,-0.31533449,-0.058354699,-0.10133594,-0.24653011,-0.11339908,-0.48773859,-0.36007869,-0.30487402,-0.9302766,-0.9341067,-0.33584143,-0.28988586,-0.70081224,-0.48275614,-0.65885971,-0.34692945,-2.3788163,-0.33262022,-0.82484052,-1.7946278,-0.30419112,-0.23872608,-0.24739421,-0.54496545,-0.079863586,-0.072164353,-0.62873053,-1.92084,-0.045467674,-0.67605438,-1.4837855,-1.152814,-1.654146,-0.24347531,-7.0519943,-0.3961758,-0.31578642,-0.37567291,-2.5301673,-0.10411872,-0.89518644,-1.1454774,-0.49271107,-0.14009954,-0.21929862,-0.12837101,-0.28260155,-1.292843,-0.72514713,-0.048722117,-1.5786496,-0.14093955,-0.2143331,-0.15863306,-1.1932201,-0.31739386,-0.23681611,-0.043024777,-0.044452281,-0.10244524,-1.8002086,-0.2695464,-0.30597075,-0.27131233,-1.1984128,-0.13374823,-0.16014033,-0.24892722,-0.19029028,-1.7358616,-1.8134082,-0.85674548,-0.10636407,-1.1721171,-0.059127985,-0.82725408,-3.5335928,-0.48062494,-0.071062631,-0.44795446,-0.19532902,-0.43269965,-0.20220577,-1.6010541,-0.22171383,-0.17289497,-1.1601906,-1.5146386,-0.22585471,-1.3783013,-1.2913472,-0.10895883,-0.12160412,-0.73602318,-0.072451486,-0.17457209,-1.0943984,-0.68173174,-0.10866812,-0.77005335,-0.54760903,-1.2490978
-241.76113,0.99997392,0.036583751,7,127,0,242.7596,0.83357963,1.3532788,0.40121186,-3.2510065,0.0387352,-0.033815642,-0.13992406,-0.1801334,-0.6980888,-0.89187641,-0.12972579,-0.014063314,-0.46677817,-0.97603702,-3.4253963,-1.0973436,0.010532203,0.0046880418,-0.046260723,-3.2442231,-0.14260019,-1.853929,-0.0025334179,-0.908148,-0.11333213,-0.41112643,-0.36863603,-2.1341633,-1.0347743,-0.0058627819,-0.42711085,-0.069821625,-0.46181613,-0.06350429,-0.27429378,-4.1039196,-0.40846507,-1.8727863,-0.12252829,-0.32640268,-0.87851243,-2.9694907,-0.50463712,-1.5217858,-2.4254196,-3.1174844,-0.32488435,0.0055021054,-0.43102703,-2.7594717,-0.40857247,0.0092282232,-1.8782356,-1.9429101,-0.48323243,-0.40578629,-0.20506366,-0.0083595972,-0.5180483,-0.26757321,-1.5698115,-0.16601276,-1.6447188,-0.51256436,-1.0976686,-1.0599988,-0.16017042,-0.082364098,-0.23879341,-0.51854696,-0.46514954,-0.59167695,-0.33315027,-1.6374302,-0.99590209,-0.84576539,-0.83983992,-0.09969863,-2.5422419,-0.25042615,-0.49123834,-0.021132671,-1.2303434,-1.2138518,-0.22083667,0.019208136,-0.0022138481,0.0019756139,-1.1502194,-3.9130328,-0.84320991,-0.5253334,-0.57331858,-0.63797797,-2.3521858,-1.1139824,-0.54952232,-1.7125043,-0.15451797,-0.15201276,-0.04603357,-1.3413151,-0.54711754,-0.26076708,-0.059846245,0.010556302,-0.42709282,-0.0046354286,-0.0015229165,-0.94063699,-0.19581505,-1.0770472,-0.63421896,-2.0744584,-0.5066363,-0.9720254,-0.52748822,-1.1054739,-0.065362926,-0.9891878,-2.1218921,-1.4712914,-0.70821041,-0.012755886,-0.65503698,-0.62176647,-0.60492063,-1.3956018,-0.47771132,-0.49891995,-0.046019223,0.0058170057,-0.67193541,-1.3757732,-0.60920157,-0.0060254129,-0.34683128,0.0083770801,-0.05378398,-2.7517567,-0.95382306,-1.3551066,-0.88952221,-0.027748285,-0.49593311,-2.1211466,-0.21272919,-0.48122415,-0.025219746,-0.35877701,-3.6448307,-0.29738863,-1.3434672,-0.010028446,-1.4837635,0.0052404467,-2.4537848,-0.61569012,-0.039903537,-0.10603398,-0.15000814,-0.66492046,-0.80576315,-1.7457227,-1.5691483,-1.830509,-0.016877525,-0.062256559,-0.46311849,-0.57012139,0.0098640323,-0.011615233,-0.69280102,-1.1071147,-0.0074659341,-0.61748122,-2.4854323,-0.073593985,-0.2450064,-0.066470726,-0.018677308,-0.34185049,-1.5650982,-1.5083619,-0.23699952,-0.26377752,-0.39047828,-0.78693472,-0.017782537,-0.14849801,-0.069319227,-0.22091222,-0.085563495,-1.262365,-0.1206429,-0.19163414,-1.1233144,-0.57516978,0.033269151,-0.7386258,-0.68643464,-1.300573,-0.5078437,-0.30749826,-0.0037530021,-0.023392412,-0.22441357,-0.016143063,-0.49360342,-0.3680673,-0.10937976,-0.98516643,-0.53490611,-0.33617858,-0.27885084,-0.72784563,-0.50087604,-0.69287051,-0.35058861,-2.5660098,-0.33480694,-0.87262352,-1.9176894,-0.30552022,-0.21638115,-0.22641539,-0.55609292,-0.04397347,-0.033817764,-0.66145773,-2.0614185,0.0095133071,-0.69851195,-1.5889842,-1.2301663,-1.773595,-0.067870763,-6.6557163,-0.40648811,-0.31641626,-0.38438698,-2.7076387,-0.074438096,-0.50877096,-1.2233903,-0.23358672,-0.10732419,-0.20443228,-0.098377495,-0.27786289,-1.3689881,-0.76527365,0.016347701,-1.6845552,-0.11658106,-0.19083737,-0.14002674,-1.2630857,-0.30611389,-0.23028302,0.029393575,0.032191425,-0.03062254,-1.923613,-0.25179063,-0.29308445,-0.26902168,-1.2820138,-0.0072499681,-0.13024417,-0.072979246,-0.16796565,-1.858889,-1.940228,-0.90272877,0.0047584986,-1.2449387,-0.0038710491,-0.86583779,-3.7105677,-0.48789079,-0.018159388,-0.46255464,-0.17695186,-0.43854091,-0.043582496,-1.7087711,-0.20508633,-0.1484503,-1.2315097,-1.6167899,-0.21010248,-1.4685971,-1.3742838,-0.067775908,-0.089546392,-0.76741518,-0.01031939,-0.15076943,-1.1612338,-0.711672,0.0038552699,-0.80845701,-0.56633213,-1.3284712
