# stan_version_major = 2
# stan_version_minor = 37
# stan_version_patch = 0
# model = rlddm_single_subject_model
# start_datetime = 2025-09-25 02:55:58 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 2000
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.999
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = dense_e
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /Users/jy4657/Desktop/Repositories/tst-stan/recovery_out/tmp_subject_16/tmp129jgfin/xzlx9pf2.json
# init = 2 (Default)
# random
#   seed = 2043
# output
#   file = /Users/jy4657/Desktop/Repositories/tst-stan/cmdstan_tmp/rlddm_single_subject-20250924225558_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.37.0
# stancflags = --filename-in-msg=rlddm_single_subject.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,a,t0,log_scaler,scaler,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46,log_lik.47,log_lik.48,log_lik.49,log_lik.50,log_lik.51,log_lik.52,log_lik.53,log_lik.54,log_lik.55,log_lik.56,log_lik.57,log_lik.58,log_lik.59,log_lik.60,log_lik.61,log_lik.62,log_lik.63,log_lik.64,log_lik.65,log_lik.66,log_lik.67,log_lik.68,log_lik.69,log_lik.70,log_lik.71,log_lik.72,log_lik.73,log_lik.74,log_lik.75,log_lik.76,log_lik.77,log_lik.78,log_lik.79,log_lik.80,log_lik.81,log_lik.82,log_lik.83,log_lik.84,log_lik.85,log_lik.86,log_lik.87,log_lik.88,log_lik.89,log_lik.90,log_lik.91,log_lik.92,log_lik.93,log_lik.94,log_lik.95,log_lik.96,log_lik.97,log_lik.98,log_lik.99,log_lik.100,log_lik.101,log_lik.102,log_lik.103,log_lik.104,log_lik.105,log_lik.106,log_lik.107,log_lik.108,log_lik.109,log_lik.110,log_lik.111,log_lik.112,log_lik.113,log_lik.114,log_lik.115,log_lik.116,log_lik.117,log_lik.118,log_lik.119,log_lik.120,log_lik.121,log_lik.122,log_lik.123,log_lik.124,log_lik.125,log_lik.126,log_lik.127,log_lik.128,log_lik.129,log_lik.130,log_lik.131,log_lik.132,log_lik.133,log_lik.134,log_lik.135,log_lik.136,log_lik.137,log_lik.138,log_lik.139,log_lik.140,log_lik.141,log_lik.142,log_lik.143,log_lik.144,log_lik.145,log_lik.146,log_lik.147,log_lik.148,log_lik.149,log_lik.150,log_lik.151,log_lik.152,log_lik.153,log_lik.154,log_lik.155,log_lik.156,log_lik.157,log_lik.158,log_lik.159,log_lik.160,log_lik.161,log_lik.162,log_lik.163,log_lik.164,log_lik.165,log_lik.166,log_lik.167,log_lik.168,log_lik.169,log_lik.170,log_lik.171,log_lik.172,log_lik.173,log_lik.174,log_lik.175,log_lik.176,log_lik.177,log_lik.178,log_lik.179,log_lik.180,log_lik.181,log_lik.182,log_lik.183,log_lik.184,log_lik.185,log_lik.186,log_lik.187,log_lik.188,log_lik.189,log_lik.190,log_lik.191,log_lik.192,log_lik.193,log_lik.194,log_lik.195,log_lik.196,log_lik.197,log_lik.198,log_lik.199,log_lik.200,log_lik.201,log_lik.202,log_lik.203,log_lik.204,log_lik.205,log_lik.206,log_lik.207,log_lik.208,log_lik.209,log_lik.210,log_lik.211,log_lik.212,log_lik.213,log_lik.214,log_lik.215,log_lik.216,log_lik.217,log_lik.218,log_lik.219,log_lik.220,log_lik.221,log_lik.222,log_lik.223,log_lik.224,log_lik.225,log_lik.226,log_lik.227,log_lik.228,log_lik.229,log_lik.230,log_lik.231,log_lik.232,log_lik.233,log_lik.234,log_lik.235,log_lik.236,log_lik.237,log_lik.238,log_lik.239,log_lik.240,log_lik.241,log_lik.242,log_lik.243,log_lik.244,log_lik.245,log_lik.246,log_lik.247,log_lik.248,log_lik.249,log_lik.250,log_lik.251,log_lik.252,log_lik.253,log_lik.254,log_lik.255,log_lik.256,log_lik.257,log_lik.258,log_lik.259,log_lik.260,log_lik.261,log_lik.262,log_lik.263,log_lik.264,log_lik.265,log_lik.266,log_lik.267,log_lik.268,log_lik.269,log_lik.270,log_lik.271,log_lik.272,log_lik.273,log_lik.274,log_lik.275,log_lik.276,log_lik.277,log_lik.278,log_lik.279,log_lik.280,log_lik.281,log_lik.282,log_lik.283,log_lik.284,log_lik.285,log_lik.286,log_lik.287,log_lik.288,log_lik.289,log_lik.290,log_lik.291,log_lik.292,log_lik.293,log_lik.294,log_lik.295,log_lik.296,log_lik.297,log_lik.298,log_lik.299,log_lik.300
# Adaptation terminated
# Step size = 0.0667742
# Elements of inverse mass matrix:
# 0.318205, 0.0107899, -0.0185713, -0.0354606
# 0.0107899, 0.00424522, -0.0205904, 0.00795352
# -0.0185713, -0.0205904, 0.436711, -0.039729
# -0.0354606, 0.00795352, -0.039729, 0.0346766
-240.15087,0.99877521,0.066774169,5,31,0,242.66721,0.07640847,1.3831645,0.25343526,-3.4124602,0.032960011,-0.60389867,-2.3445528,-0.73665724,-2.8606269,-0.086910851,-0.74719632,-0.58689757,-2.1204335,-1.0444349,-0.28261834,-0.059093154,-1.2432667,-0.078593457,-0.066672258,-0.20543849,-0.12257098,-0.22396568,-1.0624672,-0.13467002,-0.40513532,-0.78098685,-0.18476762,-0.53156635,-0.6484255,-1.1816766,-1.525053,-0.16176099,-0.2366456,-0.6744359,-0.24984298,-1.8111581,-0.073594567,-0.92924119,-0.27584594,-1.1759804,-0.90068009,-0.45825178,-0.37722991,-0.10452242,-0.093352515,-0.93814287,-0.075009489,-0.64938841,-0.67958176,-0.30449015,-0.84095109,-0.024664724,-0.12771033,-0.044760655,-0.65646983,-0.58704237,-0.044222662,-1.5450128,-0.074535744,-0.64041048,-0.07623943,-0.85823129,-0.22013121,-1.2922474,-0.62606487,-2.5681789,-0.15838416,-0.11076229,-0.2630271,-2.4203961,-0.84919186,-1.3217495,-0.16397206,-0.41137739,-0.49142559,-0.35581538,-0.28292388,-0.20098224,-1.3411009,-1.9051125,-0.16064454,-0.31107983,-0.11034455,-2.1948922,-0.22311377,-0.36954874,-0.35029241,-0.81814259,-0.74131781,-1.7556772,-0.211156,-0.12516532,-0.16678293,-0.59109804,-1.1047188,-0.44984501,-0.050270537,-0.7941537,-0.51479158,-0.97546066,-0.17679176,-1.0514257,-0.041301118,-0.22227948,-0.47123211,-0.25736038,-1.4867999,-0.12171633,-0.09758066,-0.49150385,-0.5952677,-3.5391246,-0.21710133,-0.26649972,-0.34535659,-0.096525116,-0.8640934,-0.24976427,-7.5197717,-0.25938765,-1.3297342,-0.43889638,-0.061563776,-1.3509496,-0.37631823,-0.18451177,-0.46247494,-0.23686309,-0.077961359,-1.0922106,-2.1144552,-0.59407843,-0.44091536,-1.8343982,-0.95578412,-0.48334022,-0.034704347,-0.10766629,-1.4659969,-0.18235113,-0.023061962,-0.11463986,-2.4058761,-0.46470356,-0.20130224,-0.11451959,-0.11545288,-0.23909879,-0.021392515,-0.049061746,-0.10776863,-0.2134295,-0.56617465,-0.052168005,-0.090784233,-0.052649422,-0.39180078,-0.038653922,-0.98650857,-0.23822957,-0.068176469,-0.13167893,-0.4181092,-0.64306686,-0.3761952,-0.029599542,-0.055470991,-1.6017224,-0.70182947,-0.056546973,-0.050558065,-0.055766938,-1.8256235,-0.29601444,-0.15953136,-0.057255792,-0.1698722,-0.83001081,-2.6764298,-0.79969858,-0.088173053,-0.26444283,-0.080249324,-1.2738743,-0.14820526,-0.62601369,-0.57990038,-0.19770291,-0.8566853,-2.2961918,-0.10900338,-0.41577565,-0.43349186,-0.18087302,-4.6682231,-0.082763418,-1.1787718,-2.6970524,-0.4053116,-0.28380013,-1.5674547,-0.34817809,-0.61956094,-0.073027556,-0.12257538,-0.077633399,-0.050431017,-2.9429192,-0.74034433,-0.21806837,-0.58990127,-0.03574831,-0.60448809,-0.13885449,-2.1906484,-0.85086841,-0.58778452,-1.0612282,-0.88385381,-0.94423395,-3.9253056,-4.1199002,-0.3997262,-0.65891381,-0.83235456,-0.14089071,-3.1650752,-0.12407745,-0.94458907,-0.13801939,-0.25698843,-0.70594942,-0.39507842,-0.75774041,-0.41554234,-0.048347345,-0.33330702,-1.9147578,-0.99924435,-1.5418818,-0.23035132,-1.397952,-0.20094082,-0.76143265,-0.89063546,-2.4369174,-0.72776386,-2.0529103,-1.7072246,-0.8918748,-0.25045609,-0.14280943,-0.23649569,-0.9000157,-0.44428014,-0.36000468,-0.063846096,-0.59722989,-0.68400925,-0.69062781,-1.2058617,-0.22345996,-0.10516249,-0.38661142,-0.51087833,-0.064110005,-0.10010487,-1.4879313,-0.33649632,-1.1903812,-0.33587355,-2.7536079,-0.3762723,-0.057872778,-0.019595011,-0.21631716,-0.28924667,-0.26802206,-0.11743738,-3.9433339,-0.59399215,-2.1598635,-0.38346576,-0.15865442,-0.3259194,-0.86341032,-0.33660609,-0.042442575,-0.73431817,-0.15244258,-1.5493017,-0.14585508,-0.081931201,-0.28052555,-1.2533842,-0.058918645,-0.020894095,-2.5681599,-1.3860284,-1.8880581,-1.4609888,-0.62011244,-0.17129581,-1.9771077,-3.2976087
-239.85027,0.99746123,0.066774169,5,63,0,243.07263,0.2758447,1.3783716,0.26424341,-3.8618225,0.021029638,-0.57662314,-2.3293262,-0.70890635,-2.8592355,-0.12341629,-0.72110056,-0.56076428,-2.1057383,-1.0194121,-0.41280553,-0.080128029,-1.2212537,-0.057727398,-0.04574246,-0.29945066,-0.1775754,-0.32646838,-1.0399067,-0.1104607,-0.37842172,-0.75670701,-0.16035634,-0.50109155,-0.62439964,-1.1544782,-1.5096676,-0.23468063,-0.2066846,-0.6488304,-0.22075223,-1.7856861,-0.05583681,-0.90216134,-0.24582897,-1.1506698,-0.87652662,-0.43123966,-0.34813379,-0.14398171,-0.069510081,-0.91383632,-0.051932074,-0.62168275,-0.65355133,-0.27660019,-0.81395535,-0.026238514,-0.18972559,-0.042879011,-0.63495209,-0.55713172,-0.035645923,-1.5175078,-0.096202705,-0.61459327,-0.055441974,-0.83069869,-0.1934916,-1.2741684,-0.60171243,-2.5330605,-0.1267056,-0.090093783,-0.23864685,-2.3836768,-0.81876319,-1.2924065,-0.13432008,-0.59181225,-0.73236386,-0.33337076,-0.25857643,-0.1772237,-1.3273456,-1.9053163,-0.13884351,-0.27891504,-0.16865376,-2.165396,-0.19704609,-0.53193206,-0.31952136,-0.79826456,-0.71952436,-1.7512475,-0.1770817,-0.095469503,-0.23320334,-0.55904194,-1.0743592,-0.41759103,-0.035168587,-0.76336225,-0.74737127,-0.95600678,-0.14641539,-1.0363462,-0.02922553,-0.19824307,-0.44756661,-0.22505065,-1.4738222,-0.18658005,-0.071081684,-0.7311673,-0.5743519,-3.6701018,-0.18321881,-0.24517492,-0.31044297,-0.1284282,-0.84396779,-0.2243041,-6.4397499,-0.22899362,-1.315826,-0.4042568,-0.09608795,-1.3412696,-0.55879531,-0.16041925,-0.43749948,-0.20479164,-0.059283747,-1.0737021,-2.1100399,-0.56967249,-0.41527996,-1.8110575,-0.93278564,-0.45398481,-0.048603314,-0.081084754,-1.4521408,-0.15694994,-0.023029631,-0.15777673,-2.4064873,-0.44100261,-0.17613479,-0.088820656,-0.15918777,-0.35622811,-0.02026547,-0.036882807,-0.14706615,-0.18716867,-0.54075518,-0.056313911,-0.068239258,-0.082698105,-0.35825716,-0.061074015,-0.96990572,-0.33633456,-0.081533158,-0.10015438,-0.39581934,-0.96371407,-0.34339716,-0.043871941,-0.03842049,-1.5919974,-0.67996115,-0.089638515,-0.048342456,-0.038938781,-1.8196732,-0.26363935,-0.22077552,-0.037621927,-0.26155195,-0.79435865,-2.7125027,-0.78113503,-0.069278487,-0.37264307,-0.064004467,-1.238159,-0.22737942,-0.6043936,-0.55757723,-0.17417009,-0.83648858,-2.3010027,-0.082031778,-0.39131424,-0.40913396,-0.1503792,-4.4808884,-0.10490162,-1.1661344,-2.732135,-0.37057312,-0.26045757,-1.5583666,-0.32430739,-0.5874039,-0.089362768,-0.10027567,-0.054966819,-0.034100608,-2.8941333,-0.71863565,-0.18670127,-0.56685078,-0.057003934,-0.57002486,-0.10518237,-2.1387422,-0.81591474,-0.55255968,-1.0269319,-0.86629413,-0.92711454,-4.0612434,-3.9680405,-0.3762374,-0.63754191,-0.80026054,-0.1185995,-3.2114118,-0.095614123,-0.9259134,-0.21281609,-0.23260591,-0.68459666,-0.37356742,-0.74153283,-0.37862252,-0.03534013,-0.29900645,-1.8778579,-0.982309,-1.5327244,-0.20908172,-1.3906947,-0.16684963,-0.74249285,-0.87249407,-2.3903347,-0.70771809,-2.0135244,-1.7079824,-0.8746045,-0.2149788,-0.11158179,-0.3563148,-0.88149193,-0.42132015,-0.33901388,-0.041186452,-0.57900877,-0.64909852,-0.67084267,-1.1961172,-0.20150112,-0.085464681,-0.57659526,-0.47771116,-0.04670237,-0.079199399,-1.4752648,-0.31146541,-1.8138693,-0.31060921,-2.7677602,-0.35412084,-0.061444629,-0.016969515,-0.32776404,-0.43414539,-0.23310205,-0.098280534,-4.1362196,-0.55762417,-2.1709792,-0.36243605,-0.12706353,-0.29175757,-0.84553277,-0.30346816,-0.02885308,-0.7154897,-0.13252174,-1.541312,-0.11633581,-0.057746498,-0.25623602,-1.2223269,-0.066125033,-0.022783473,-2.5095968,-1.3783737,-1.8933638,-1.4554325,-0.92993054,-0.13714814,-1.9878782,-3.1860245
-238.91757,0.96938399,0.066774169,5,47,0,241.1557,0.27772842,1.3796646,0.26837864,-3.7091197,0.02449908,-0.56581361,-2.3151746,-0.69740786,-2.8469729,-0.15070337,-0.70989261,-0.55037247,-2.0924016,-1.0075724,-0.48980741,-0.099133459,-1.2093493,-0.053641937,-0.042132538,-0.35708088,-0.21442831,-0.38868326,-1.0288218,-0.10411613,-0.3690181,-0.74656028,-0.15343558,-0.48908581,-0.61496634,-1.1403964,-1.5001085,-0.28131333,-0.19617223,-0.63948746,-0.21006743,-1.767801,-0.054302488,-0.88847432,-0.23461571,-1.1360369,-0.86337911,-0.41940683,-0.33633854,-0.17484698,-0.062180299,-0.90035373,-0.045405861,-0.60886604,-0.64457415,-0.26879683,-0.80451665,-0.032709862,-0.22872299,-0.052079227,-0.6230324,-0.5478239,-0.041233457,-1.5078678,-0.11814398,-0.60190903,-0.053826063,-0.8214458,-0.18290637,-1.2591638,-0.58906503,-2.5285383,-0.12023525,-0.082327925,-0.22795091,-2.3767182,-0.80929003,-1.2829795,-0.12835071,-0.70028689,-0.86701822,-0.3225706,-0.24778132,-0.16728211,-1.3128133,-1.8892142,-0.12997419,-0.27063189,-0.20401291,-2.1584893,-0.18619803,-0.62968327,-0.31156133,-0.78558565,-0.70683151,-1.7353495,-0.16914529,-0.090126457,-0.27955835,-0.54961907,-1.0645269,-0.40860297,-0.037909691,-0.75384139,-0.88451231,-0.94254572,-0.14000914,-1.0235511,-0.026639074,-0.18803279,-0.43582251,-0.21716111,-1.458411,-0.22504567,-0.067385485,-0.86560798,-0.5627931,-3.6491817,-0.17507184,-0.23558812,-0.30093186,-0.15654351,-0.83142975,-0.21375524,-6.979963,-0.22136927,-1.3019289,-0.39433989,-0.1182948,-1.3284692,-0.66148897,-0.15100113,-0.42579729,-0.19688381,-0.053281019,-1.0601789,-2.0912672,-0.5573648,-0.40339534,-1.8030264,-0.91895456,-0.44542227,-0.061299371,-0.076810853,-1.4370352,-0.1469602,-0.027547941,-0.19111082,-2.3845832,-0.42947106,-0.16601057,-0.084720541,-0.19276608,-0.42354663,-0.024544262,-0.040792964,-0.17848272,-0.17636604,-0.52799321,-0.069064145,-0.060302741,-0.10254211,-0.34978373,-0.076523274,-0.95619771,-0.40018577,-0.10035775,-0.094795188,-0.38417299,-1.1436297,-0.33506717,-0.055462779,-0.040818564,-1.5750595,-0.66684158,-0.11083636,-0.05871097,-0.033155352,-1.8007068,-0.25623654,-0.26501018,-0.039256267,-0.31281972,-0.78428896,-2.6890683,-0.76824686,-0.061908907,-0.44268484,-0.057668011,-1.2279977,-0.27281118,-0.59175401,-0.54499492,-0.16372178,-0.82280935,-2.2779858,-0.078689755,-0.37891103,-0.3966599,-0.14465521,-4.5538994,-0.12843464,-1.151904,-2.7071147,-0.361989,-0.24913917,-1.5415028,-0.31243403,-0.57877078,-0.10979964,-0.091033424,-0.054319221,-0.028567458,-2.8981449,-0.70500331,-0.18042881,-0.553673,-0.071745614,-0.56108072,-0.099465327,-2.129828,-0.80635572,-0.54333887,-1.0174794,-0.85278165,-0.91326416,-3.9949889,-4.0010546,-0.36393324,-0.62435325,-0.79161066,-0.10879896,-3.1711254,-0.091873907,-0.91148453,-0.25578433,-0.22092527,-0.67098411,-0.36170113,-0.7290511,-0.36962504,-0.03073159,-0.29105387,-1.8707681,-0.9680587,-1.5155766,-0.19858356,-1.3754818,-0.16013705,-0.72931293,-0.85871262,-2.3861303,-0.69442971,-2.0070855,-1.6915156,-0.86114778,-0.20708699,-0.10620616,-0.42365023,-0.86786911,-0.40912717,-0.32786471,-0.041221412,-0.5673635,-0.63936854,-0.65834535,-1.1828279,-0.19140507,-0.077693722,-0.68253164,-0.46873272,-0.040761409,-0.0711563,-1.4588889,-0.29959523,-2.1857955,-0.29860332,-2.7375151,-0.34246877,-0.075765503,-0.018405982,-0.39024849,-0.51491327,-0.22526648,-0.089926453,-4.0794164,-0.54793892,-2.1515076,-0.35128875,-0.12108231,-0.28345881,-0.83244279,-0.29541045,-0.024849334,-0.70300896,-0.12383495,-1.5257761,-0.11097562,-0.055820621,-0.24505125,-1.2130473,-0.081752045,-0.027261234,-2.4998977,-1.3644383,-1.8774715,-1.441233,-1.1029287,-0.12998549,-1.9723655,-3.174949
