# stan_version_major = 2
# stan_version_minor = 37
# stan_version_patch = 0
# model = rlddm_single_subject_model
# start_datetime = 2025-09-25 02:56:01 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 2000
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.999
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = dense_e
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /Users/jy4657/Desktop/Repositories/tst-stan/recovery_out/tmp_subject_17/tmp9hma_l6y/18drnml1.json
# init = 2 (Default)
# random
#   seed = 2044
# output
#   file = /Users/jy4657/Desktop/Repositories/tst-stan/cmdstan_tmp/rlddm_single_subject-20250924225601_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.37.0
# stancflags = --filename-in-msg=rlddm_single_subject.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,a,t0,log_scaler,scaler,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46,log_lik.47,log_lik.48,log_lik.49,log_lik.50,log_lik.51,log_lik.52,log_lik.53,log_lik.54,log_lik.55,log_lik.56,log_lik.57,log_lik.58,log_lik.59,log_lik.60,log_lik.61,log_lik.62,log_lik.63,log_lik.64,log_lik.65,log_lik.66,log_lik.67,log_lik.68,log_lik.69,log_lik.70,log_lik.71,log_lik.72,log_lik.73,log_lik.74,log_lik.75,log_lik.76,log_lik.77,log_lik.78,log_lik.79,log_lik.80,log_lik.81,log_lik.82,log_lik.83,log_lik.84,log_lik.85,log_lik.86,log_lik.87,log_lik.88,log_lik.89,log_lik.90,log_lik.91,log_lik.92,log_lik.93,log_lik.94,log_lik.95,log_lik.96,log_lik.97,log_lik.98,log_lik.99,log_lik.100,log_lik.101,log_lik.102,log_lik.103,log_lik.104,log_lik.105,log_lik.106,log_lik.107,log_lik.108,log_lik.109,log_lik.110,log_lik.111,log_lik.112,log_lik.113,log_lik.114,log_lik.115,log_lik.116,log_lik.117,log_lik.118,log_lik.119,log_lik.120,log_lik.121,log_lik.122,log_lik.123,log_lik.124,log_lik.125,log_lik.126,log_lik.127,log_lik.128,log_lik.129,log_lik.130,log_lik.131,log_lik.132,log_lik.133,log_lik.134,log_lik.135,log_lik.136,log_lik.137,log_lik.138,log_lik.139,log_lik.140,log_lik.141,log_lik.142,log_lik.143,log_lik.144,log_lik.145,log_lik.146,log_lik.147,log_lik.148,log_lik.149,log_lik.150,log_lik.151,log_lik.152,log_lik.153,log_lik.154,log_lik.155,log_lik.156,log_lik.157,log_lik.158,log_lik.159,log_lik.160,log_lik.161,log_lik.162,log_lik.163,log_lik.164,log_lik.165,log_lik.166,log_lik.167,log_lik.168,log_lik.169,log_lik.170,log_lik.171,log_lik.172,log_lik.173,log_lik.174,log_lik.175,log_lik.176,log_lik.177,log_lik.178,log_lik.179,log_lik.180,log_lik.181,log_lik.182,log_lik.183,log_lik.184,log_lik.185,log_lik.186,log_lik.187,log_lik.188,log_lik.189,log_lik.190,log_lik.191,log_lik.192,log_lik.193,log_lik.194,log_lik.195,log_lik.196,log_lik.197,log_lik.198,log_lik.199,log_lik.200,log_lik.201,log_lik.202,log_lik.203,log_lik.204,log_lik.205,log_lik.206,log_lik.207,log_lik.208,log_lik.209,log_lik.210,log_lik.211,log_lik.212,log_lik.213,log_lik.214,log_lik.215,log_lik.216,log_lik.217,log_lik.218,log_lik.219,log_lik.220,log_lik.221,log_lik.222,log_lik.223,log_lik.224,log_lik.225,log_lik.226,log_lik.227,log_lik.228,log_lik.229,log_lik.230,log_lik.231,log_lik.232,log_lik.233,log_lik.234,log_lik.235,log_lik.236,log_lik.237,log_lik.238,log_lik.239,log_lik.240,log_lik.241,log_lik.242,log_lik.243,log_lik.244,log_lik.245,log_lik.246,log_lik.247,log_lik.248,log_lik.249,log_lik.250,log_lik.251,log_lik.252,log_lik.253,log_lik.254,log_lik.255,log_lik.256,log_lik.257,log_lik.258,log_lik.259,log_lik.260,log_lik.261,log_lik.262,log_lik.263,log_lik.264,log_lik.265,log_lik.266,log_lik.267,log_lik.268,log_lik.269,log_lik.270,log_lik.271,log_lik.272,log_lik.273,log_lik.274,log_lik.275,log_lik.276,log_lik.277,log_lik.278,log_lik.279,log_lik.280,log_lik.281,log_lik.282,log_lik.283,log_lik.284,log_lik.285,log_lik.286,log_lik.287,log_lik.288,log_lik.289,log_lik.290,log_lik.291,log_lik.292,log_lik.293,log_lik.294,log_lik.295,log_lik.296,log_lik.297,log_lik.298,log_lik.299,log_lik.300
# Adaptation terminated
# Step size = 0.0514703
# Elements of inverse mass matrix:
# 0.3138, -0.00351185, 0.0265036, 0.0169724
# -0.00351185, 0.00573071, -0.0281353, 0.00135805
# 0.0265036, -0.0281353, 0.918787, 0.013358
# 0.0169724, 0.00135805, 0.013358, 0.0548137
-264.42444,0.99998183,0.051470311,5,63,0,265.5918,0.64851256,1.3751297,0.33213893,-2.6912693,0.067794835,-1.4328709,-3.0554213,-3.7137052,-1.6417175,-1.7361618,-0.12646438,-0.039812834,-0.067065149,-2.2780955,-2.4916661,-1.0711719,-1.9969998,-3.845643,-0.053569968,-1.7031889,-0.43458119,-0.10743412,-0.13978584,-0.39578373,-0.30709078,-0.045102997,-1.017744,-0.16235602,-1.0408065,-0.38671545,-2.1422669,-0.41240942,-1.2812817,-0.058479587,-0.025061441,0.018440628,-0.036682965,-1.1196241,-0.27384263,0.0042395993,-0.092821948,-1.0687596,-0.56392932,-1.0075378,-2.5437463,-1.7065176,-0.16724189,-0.613303,-0.11022462,-4.0915666,-0.42624351,-0.70824037,-0.43354974,-1.2526653,-1.4507906,-0.045877762,-1.3559387,-0.010548566,-0.43024837,-0.070285311,-0.064364839,-1.1304947,-0.47872812,-0.39518514,-2.44469,-0.86066201,-3.1728213,-0.23041107,-2.6579831,-1.3462516,-0.072740361,-0.32787415,-2.1210662,-0.38264941,-2.586092,-0.33976983,-0.23752529,-0.32626848,-0.23215975,-0.66335774,-0.093228783,-0.61588209,-0.1024205,-0.96130944,-2.0584478,-0.43737053,-0.21864388,-2.1168811,-2.1690918,-0.072420942,-1.7382683,-0.022356841,-0.62420366,-0.55981888,-0.41382412,-0.32232289,-0.079741103,-0.10795101,-0.67865584,-0.12121282,-2.6468893,-0.16060883,-0.19203126,-2.9301536,-0.99317231,-0.084964248,-1.7563784,-0.058615542,-0.15038384,-3.32141,-0.020847279,-1.021366,-0.50441853,-1.8112618,-0.79634338,-0.78586844,-0.84766364,-1.3054429,-0.95661409,-0.27967602,-1.0521098,-2.1801334,-0.16535085,-0.36486348,-0.53572165,-0.038800503,-0.43168539,-0.56712363,-0.33263413,-1.2138958,-0.21311095,-0.29258693,-1.2433745,-0.92650873,-0.46754531,-5.269292,-0.12791619,-0.40487926,-1.0574871,-0.1535466,-0.0032438609,-0.22223047,-0.16029662,0.0076344951,-0.57973537,-1.6716268,-0.1185029,-0.046894362,-0.10830545,-2.408619,-0.59438693,-0.068997543,-1.2417352,-0.67809106,-2.9081563,-2.2025345,-1.9053328,-0.65966234,-0.17786909,-0.52158093,-0.2929968,-1.2586277,-0.40448384,-0.1025042,-1.3365399,-1.9611982,-0.21530363,-0.10433912,-0.64606975,-2.3961653,-0.71814178,-0.38155756,-0.7377671,-0.022341637,-0.37237877,-0.16838313,-0.057147429,-0.11107235,-0.18297675,-0.12174251,-0.2652028,-1.8800825,-0.56071397,-0.2218725,-0.64450837,-0.54947149,-1.1601519,-0.51437589,-0.1978097,-0.13821061,-0.24396185,-1.3424846,-1.6482407,-0.35863959,-1.396716,-0.56163052,-0.40932773,-0.043526853,-1.9389097,-0.1821078,-0.031262387,-0.4581907,-0.091050091,-0.057170177,-0.22259544,-1.5276841,-0.052863132,-0.38255166,-0.10400474,-0.66634699,-0.3416546,-0.21257921,-0.037616864,-0.19356671,-0.72965271,-0.97166659,-0.043094154,-0.042441406,-2.1910351,-0.78415261,-0.51550724,-0.15089323,-0.49150043,-0.032263501,-0.42831413,-0.39548301,-2.879955,-1.2616836,-4.1120738,-0.080698598,-0.27950557,-0.18467841,-0.65757756,-2.823321,-4.3948483,-0.44531874,-3.5739894,-0.11247192,-0.24861669,-1.2971181,-0.19595935,-2.9477473,-0.58146301,-1.3022166,-0.23240864,-0.060803174,-0.17303508,-0.31504013,-0.78798783,-0.4582012,-1.4198179,-0.039550651,-1.9130434,-0.90059289,-0.33783305,-0.85365856,-1.4979758,-0.63461789,-0.37342915,-0.03627265,-0.15570355,-0.1739093,-0.45819629,-2.3723403,-1.3415333,-0.14677659,-0.024131146,-0.55143884,-0.085082192,-0.4298385,-0.18057069,-0.74512576,-0.18210229,-1.4494066,-0.070577436,-0.23488899,-0.90051298,-0.58597302,-0.13236669,-0.62591683,-0.078068089,-1.4968751,-1.2978143,-0.82718446,0.00037275057,-1.932869,-1.5172225,-0.31141538,-0.44011031,-0.031806763,-0.46310791,-0.80668802,-0.74540744,-0.2811978,-1.1160246,-0.31662905,-0.034557026,-3.1696748,-0.21556701,-1.3714168,-0.82028058,-2.3376035,-0.81596552,-0.33161313,-2.5772547
-264.62202,0.99993722,0.051470311,6,63,0,265.18117,0.70653154,1.3573609,0.33658431,-2.8387249,0.058500215,-1.4460904,-3.1075367,-3.7870313,-1.6626891,-1.7629614,-0.10682633,-0.015576019,-0.044502762,-2.3055307,-2.5258404,-1.0752381,-2.0219814,-3.889367,-0.030211622,-1.7243275,-0.42146303,-0.083394771,-0.11783152,-0.38054332,-0.29035222,-0.018308669,-1.0201259,-0.1466954,-1.0446413,-0.37085471,-2.1791767,-0.39673876,-1.2857814,-0.036247311,-0.0054720586,0.040008483,-0.0072829582,-1.1182869,-0.2529909,0.02636154,-0.064652706,-1.0762794,-0.55523033,-1.0095292,-2.5920704,-1.7301939,-0.14912263,-0.60786388,-0.084468372,-4.1074132,-0.4526558,-0.77406015,-0.41372891,-1.3866764,-1.4738102,-0.016087187,-1.5292595,0.0090520899,-0.41299609,-0.04053083,-0.044566685,-1.1410634,-0.47030156,-0.40333439,-2.4669119,-0.86317414,-3.2650662,-0.20613552,-2.7194845,-1.3640711,-0.047257108,-0.31508709,-2.1455663,-0.36710823,-2.6403941,-0.32413671,-0.21965695,-0.31143172,-0.2135166,-0.65619977,-0.073568358,-0.60782409,-0.083500776,-0.96165368,-2.088625,-0.42428701,-0.19912105,-2.1479274,-2.2015013,-0.047993035,-1.7594837,0.0035326567,-0.61607688,-0.54670961,-0.40292255,-0.30884519,-0.05272625,-0.086485541,-0.66883153,-0.095667561,-2.7006602,-0.13740591,-0.16904958,-2.98037,-0.99493556,-0.058818004,-1.7816107,-0.040911516,-0.1330796,-3.4119197,0.0034991331,-1.0245572,-0.4932245,-1.8344598,-0.79268624,-0.77860819,-0.93092614,-1.3058187,-0.96558756,-0.25432865,-1.0438834,-2.1924904,-0.13888604,-0.34433733,-0.5196418,-0.0080979136,-0.41294788,-0.55182008,-0.31066486,-1.2288018,-0.1875595,-0.26946012,-1.2591991,-0.91929217,-0.4577936,-5.2932376,-0.10495429,-0.3903077,-1.0605465,-0.13182188,0.020471149,-0.22013439,-0.14073742,0.031556983,-0.56702823,-1.6844896,-0.096099029,-0.021080544,-0.088682304,-2.4460699,-0.58690381,-0.041740342,-1.2530651,-0.66857625,-2.9415006,-2.2259457,-1.9205366,-0.64748539,-0.16144827,-0.51695433,-0.28186451,-1.2746504,-0.38808935,-0.081423206,-1.3430013,-1.995778,-0.19609987,-0.086840206,-0.64001503,-2.4366934,-0.71240259,-0.36651046,-0.72924388,-0.0015247255,-0.38607506,-0.15165433,-0.040541176,-0.092481778,-0.16560727,-0.10238192,-0.26727827,-1.9005461,-0.5501428,-0.2034233,-0.63721568,-0.53815975,-1.1638235,-0.50154486,-0.17926206,-0.11771501,-0.22589294,-1.3527895,-1.6663581,-0.34290712,-1.4087383,-0.55193302,-0.39529359,-0.017964575,-1.965629,-0.171173,-0.0053290714,-0.44555897,-0.066487073,-0.029575525,-0.20618301,-1.538571,-0.024559037,-0.36462879,-0.083402867,-0.66234736,-0.32427447,-0.19347218,-0.011246114,-0.1738587,-0.72662545,-0.97234146,-0.016959957,-0.021048483,-2.2378325,-0.77835614,-0.53780006,-0.13224103,-0.47657678,-0.0097002791,-0.41200209,-0.38393519,-2.9441095,-1.2689641,-4.2128386,-0.060095773,-0.27790313,-0.16596504,-0.65183932,-2.8735201,-4.5121676,-0.43231005,-3.6343767,-0.092551823,-0.22736267,-1.3113868,-0.17705424,-2.9959273,-0.57449394,-1.315455,-0.22764298,-0.035920078,-0.15241088,-0.29836164,-0.78440471,-0.44556118,-1.4326974,-0.015429275,-1.9389193,-0.89974149,-0.32178182,-0.8515506,-1.5130063,-0.6267662,-0.35841418,-0.011794868,-0.13411433,-0.15292032,-0.44556026,-2.4103214,-1.352346,-0.12489202,0.0019638341,-0.54133818,-0.06106205,-0.41641749,-0.16316297,-0.80774821,-0.1581216,-1.4584359,-0.049224743,-0.21272772,-0.8957052,-0.5785181,-0.11151961,-0.61454845,-0.050460472,-1.5070357,-1.3111605,-0.82754531,0.0233267,-1.9662371,-1.5261664,-0.29392919,-0.42702749,-0.0043545654,-0.44867986,-0.80662654,-0.74455361,-0.26776459,-1.1285988,-0.29327901,-0.015213422,-3.1818068,-0.19099753,-1.3783603,-0.82029317,-2.3692854,-0.81255534,-0.31367972,-2.625486
-265.03718,0.99886233,0.051470311,6,63,0,266.91458,0.69631041,1.405816,0.3302015,-2.6260532,0.072363504,-1.3980584,-2.9607027,-3.5804064,-1.593225,-1.6839814,-0.14915479,-0.09074128,-0.09938992,-2.1897284,-2.3934982,-1.051989,-1.9251658,-3.685065,-0.10795031,-1.6474716,-0.44353547,-0.14311951,-0.16565693,-0.41267365,-0.32239579,-0.095715429,-1.0009232,-0.23006719,-1.0163528,-0.4040629,-2.0657254,-0.42311516,-1.252835,-0.091143095,-0.075385004,-0.021267373,-0.079385365,-1.1056952,-0.29152957,-0.040378537,-0.13196019,-1.0496566,-0.56708673,-0.99109092,-2.4640645,-1.6501551,-0.18394774,-0.6077836,-0.17258341,-3.9404526,-0.49537931,-0.77943939,-0.4498636,-1.3293889,-1.4083311,-0.084953666,-1.42448,-0.059569841,-0.43945452,-0.11333595,-0.089525741,-1.1094671,-0.48544987,-0.46750297,-2.3593286,-0.85089276,-3.0819009,-0.25688589,-2.564517,-1.3089854,-0.12802253,-0.34175921,-2.0407855,-0.39369223,-2.5049499,-0.35349846,-0.25687118,-0.34085291,-0.2518381,-0.66185806,-0.15220997,-0.61669451,-0.16215412,-0.94660526,-1.9969625,-0.44621877,-0.23899383,-2.0523826,-2.1023287,-0.10482375,-1.6902282,-0.068488171,-0.62448708,-0.56984945,-0.41737474,-0.33030415,-0.11266517,-0.16758971,-0.67689877,-0.14968235,-2.5830498,-0.19273863,-0.22178567,-2.8289005,-0.97079731,-0.12493244,-1.697756,-0.11220654,-0.21341697,-3.2203963,-0.069022862,-1.0047254,-0.51016217,-1.7601153,-0.7890117,-0.7862272,-0.91837006,-1.2850781,-0.93641788,-0.30407906,-1.0406154,-2.1049673,-0.18960357,-0.37700587,-0.53955153,-0.081375826,-0.44047889,-0.56949001,-0.35276857,-1.1831592,-0.24049397,-0.31495789,-1.211343,-0.91233906,-0.47580326,-4.9892207,-0.15450972,-0.41493977,-1.0387099,-0.17827051,-0.037165692,-0.29054264,-0.18497782,-0.031000003,-0.58221475,-1.6256231,-0.13952699,-0.092882108,-0.17212477,-2.3154272,-0.58926472,-0.11207471,-1.2075374,-0.6765412,-2.8024612,-2.1322655,-1.8608412,-0.66493294,-0.19412028,-0.52010799,-0.30217547,-1.2327552,-0.41414493,-0.16115703,-1.3039771,-1.9075136,-0.23599201,-0.16479689,-0.64574464,-2.320895,-0.71421683,-0.39286832,-0.74011165,-0.071730142,-0.4448679,-0.18523407,-0.11512367,-0.13196519,-0.20500703,-0.14826768,-0.33490128,-1.813023,-0.56349314,-0.24084958,-0.64405367,-0.55282465,-1.1362474,-0.51909769,-0.21980339,-0.16444723,-0.26303479,-1.3112438,-1.6036219,-0.37106634,-1.3632974,-0.56477082,-0.41940518,-0.080203102,-1.8823686,-0.24743467,-0.070760035,-0.46598531,-0.15188035,-0.11119216,-0.23590737,-1.4989004,-0.10185299,-0.40088009,-0.13185546,-0.66438054,-0.35479786,-0.23352362,-0.075499825,-0.21573813,-0.71858306,-0.9565542,-0.091174033,-0.097023588,-2.1283913,-0.78490649,-0.59547327,-0.1686879,-0.50462036,-0.060972385,-0.4380676,-0.4057313,-2.8108023,-1.2440155,-3.9758105,-0.13857466,-0.34888488,-0.20014401,-0.65561435,-2.7287296,-4.2540196,-0.45370097,-3.4355475,-0.1330791,-0.26794425,-1.2683985,-0.21792915,-2.8441842,-0.57706371,-1.2726453,-0.30041406,-0.094714795,-0.1964874,-0.32987242,-0.7811851,-0.46598895,-1.3855722,-0.091808178,-1.8574986,-0.88876253,-0.35146043,-0.84385224,-1.4604208,-0.63443765,-0.38527624,-0.087777727,-0.18030514,-0.19718927,-0.46598739,-2.2969644,-1.3106655,-0.17206131,-0.066379486,-0.5549573,-0.11598641,-0.43896353,-0.20278449,-0.82204763,-0.21236715,-1.4235665,-0.094846251,-0.25481079,-0.88866039,-0.5884446,-0.19754678,-0.63305565,-0.11935811,-1.4692496,-1.2613068,-0.81211553,-0.044288176,-1.8677904,-1.4878943,-0.3261469,-0.45515745,-0.071836676,-0.47649567,-0.7926254,-0.7342366,-0.2915189,-1.0884265,-0.33893388,-0.061677605,-3.0343336,-0.23639666,-1.337093,-0.81309687,-2.2451782,-0.80926105,-0.34670075,-2.5132676
