# stan_version_major = 2
# stan_version_minor = 37
# stan_version_patch = 0
# model = rlddm_single_subject_model
# start_datetime = 2025-09-25 02:56:01 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 2000
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.999
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = dense_e
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /Users/jy4657/Desktop/Repositories/tst-stan/recovery_out/tmp_subject_17/tmp9hma_l6y/18drnml1.json
# init = 2 (Default)
# random
#   seed = 2044
# output
#   file = /Users/jy4657/Desktop/Repositories/tst-stan/cmdstan_tmp/rlddm_single_subject-20250924225601_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.37.0
# stancflags = --filename-in-msg=rlddm_single_subject.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,a,t0,log_scaler,scaler,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46,log_lik.47,log_lik.48,log_lik.49,log_lik.50,log_lik.51,log_lik.52,log_lik.53,log_lik.54,log_lik.55,log_lik.56,log_lik.57,log_lik.58,log_lik.59,log_lik.60,log_lik.61,log_lik.62,log_lik.63,log_lik.64,log_lik.65,log_lik.66,log_lik.67,log_lik.68,log_lik.69,log_lik.70,log_lik.71,log_lik.72,log_lik.73,log_lik.74,log_lik.75,log_lik.76,log_lik.77,log_lik.78,log_lik.79,log_lik.80,log_lik.81,log_lik.82,log_lik.83,log_lik.84,log_lik.85,log_lik.86,log_lik.87,log_lik.88,log_lik.89,log_lik.90,log_lik.91,log_lik.92,log_lik.93,log_lik.94,log_lik.95,log_lik.96,log_lik.97,log_lik.98,log_lik.99,log_lik.100,log_lik.101,log_lik.102,log_lik.103,log_lik.104,log_lik.105,log_lik.106,log_lik.107,log_lik.108,log_lik.109,log_lik.110,log_lik.111,log_lik.112,log_lik.113,log_lik.114,log_lik.115,log_lik.116,log_lik.117,log_lik.118,log_lik.119,log_lik.120,log_lik.121,log_lik.122,log_lik.123,log_lik.124,log_lik.125,log_lik.126,log_lik.127,log_lik.128,log_lik.129,log_lik.130,log_lik.131,log_lik.132,log_lik.133,log_lik.134,log_lik.135,log_lik.136,log_lik.137,log_lik.138,log_lik.139,log_lik.140,log_lik.141,log_lik.142,log_lik.143,log_lik.144,log_lik.145,log_lik.146,log_lik.147,log_lik.148,log_lik.149,log_lik.150,log_lik.151,log_lik.152,log_lik.153,log_lik.154,log_lik.155,log_lik.156,log_lik.157,log_lik.158,log_lik.159,log_lik.160,log_lik.161,log_lik.162,log_lik.163,log_lik.164,log_lik.165,log_lik.166,log_lik.167,log_lik.168,log_lik.169,log_lik.170,log_lik.171,log_lik.172,log_lik.173,log_lik.174,log_lik.175,log_lik.176,log_lik.177,log_lik.178,log_lik.179,log_lik.180,log_lik.181,log_lik.182,log_lik.183,log_lik.184,log_lik.185,log_lik.186,log_lik.187,log_lik.188,log_lik.189,log_lik.190,log_lik.191,log_lik.192,log_lik.193,log_lik.194,log_lik.195,log_lik.196,log_lik.197,log_lik.198,log_lik.199,log_lik.200,log_lik.201,log_lik.202,log_lik.203,log_lik.204,log_lik.205,log_lik.206,log_lik.207,log_lik.208,log_lik.209,log_lik.210,log_lik.211,log_lik.212,log_lik.213,log_lik.214,log_lik.215,log_lik.216,log_lik.217,log_lik.218,log_lik.219,log_lik.220,log_lik.221,log_lik.222,log_lik.223,log_lik.224,log_lik.225,log_lik.226,log_lik.227,log_lik.228,log_lik.229,log_lik.230,log_lik.231,log_lik.232,log_lik.233,log_lik.234,log_lik.235,log_lik.236,log_lik.237,log_lik.238,log_lik.239,log_lik.240,log_lik.241,log_lik.242,log_lik.243,log_lik.244,log_lik.245,log_lik.246,log_lik.247,log_lik.248,log_lik.249,log_lik.250,log_lik.251,log_lik.252,log_lik.253,log_lik.254,log_lik.255,log_lik.256,log_lik.257,log_lik.258,log_lik.259,log_lik.260,log_lik.261,log_lik.262,log_lik.263,log_lik.264,log_lik.265,log_lik.266,log_lik.267,log_lik.268,log_lik.269,log_lik.270,log_lik.271,log_lik.272,log_lik.273,log_lik.274,log_lik.275,log_lik.276,log_lik.277,log_lik.278,log_lik.279,log_lik.280,log_lik.281,log_lik.282,log_lik.283,log_lik.284,log_lik.285,log_lik.286,log_lik.287,log_lik.288,log_lik.289,log_lik.290,log_lik.291,log_lik.292,log_lik.293,log_lik.294,log_lik.295,log_lik.296,log_lik.297,log_lik.298,log_lik.299,log_lik.300
# Adaptation terminated
# Step size = 0.0577438
# Elements of inverse mass matrix:
# 0.279222, -0.00307954, 0.0383003, 0.0112296
# -0.00307954, 0.00507509, -0.0253812, 0.0014363
# 0.0383003, -0.0253812, 1.0163, -0.0148616
# 0.0112296, 0.0014363, -0.0148616, 0.0537657
-265.66311,0.99994715,0.05774378,5,31,0,266.9144,0.47376353,1.3864228,0.34096198,-2.6448486,0.071016105,-1.3950935,-2.9455966,-3.6389219,-1.6108944,-1.7031282,-0.11818969,-0.09400392,-0.06158234,-2.2790757,-2.4943725,-1.0398368,-1.984372,-3.9941446,-0.10542698,-1.6821107,-0.41325157,-0.09461912,-0.12904829,-0.36795204,-0.28884088,-0.061334262,-0.98635863,-0.2511775,-1.0209918,-0.35926059,-2.1281153,-0.39197464,-1.2482943,-0.054488178,-0.08528998,-0.0073276347,-0.055223345,-1.0781271,-0.25968335,-0.034125697,-0.087009625,-1.0346106,-0.53884902,-0.97675074,-2.4788486,-1.6892782,-0.16015988,-0.59653454,-0.16528007,-3.7893348,-0.67149123,-1.0854528,-0.40910844,-1.8672247,-1.4227036,-0.059817831,-2.0620995,-0.059159983,-0.41517113,-0.074785489,-0.059669139,-1.090307,-0.45154689,-0.60369976,-2.4164884,-0.8260229,-3.0603068,-0.21433263,-2.6293895,-1.3160077,-0.13413335,-0.30421266,-2.1248555,-0.36622484,-2.518825,-0.31893397,-0.21919948,-0.30431695,-0.21483627,-0.63889946,-0.16813942,-0.58980186,-0.18236376,-0.93376781,-2.0067084,-0.41522526,-0.2032666,-2.0704095,-2.1219749,-0.068779372,-1.6964702,-0.046486891,-0.59930745,-0.5287897,-0.39976565,-0.31007504,-0.079047907,-0.18564825,-0.65519143,-0.11510542,-2.5220797,-0.14073056,-0.17073621,-2.8801962,-0.97334892,-0.076264151,-1.7382113,-0.13698626,-0.24778637,-3.2414309,-0.04677421,-0.98802649,-0.48132588,-1.7671302,-0.76944571,-0.74925365,-1.2921009,-1.2565913,-0.93125241,-0.26132508,-1.0179524,-2.1622411,-0.16220971,-0.35394394,-0.52155528,-0.063595903,-0.41935683,-0.55249517,-0.31483831,-1.1814572,-0.2002776,-0.2761509,-1.2105586,-0.90891593,-0.4380984,-5.731552,-0.12147469,-0.38760719,-1.0283452,-0.14312617,-0.017044779,-0.35454573,-0.14274291,-0.01622908,-0.56034555,-1.6340525,-0.11699704,-0.049203823,-0.1709966,-2.4162073,-0.58107339,-0.064497813,-1.2227831,-0.65289978,-2.8482704,-2.1537497,-1.8371372,-0.62871985,-0.16774683,-0.50231043,-0.27788704,-1.2150032,-0.38983836,-0.18392505,-1.310966,-1.8965719,-0.19942311,-0.18433823,-0.61883048,-2.3391153,-0.69259405,-0.36306347,-0.70262088,-0.079986738,-0.57404207,-0.1586366,-0.11243305,-0.10461767,-0.16595844,-0.10825952,-0.41863885,-1.8729074,-0.53985358,-0.20919078,-0.61800084,-0.52857082,-1.1314091,-0.49553204,-0.18002537,-0.12392785,-0.22556922,-1.3088175,-1.6110053,-0.34109862,-1.3613849,-0.53721913,-0.38935334,-0.047528372,-1.8910634,-0.29769844,-0.039931458,-0.43656958,-0.14055361,-0.081503905,-0.21322873,-1.4690677,-0.063491033,-0.35589693,-0.094074778,-0.63926227,-0.32571997,-0.19586245,-0.045824055,-0.17774171,-0.71413204,-0.94327329,-0.051988343,-0.084536,-2.120639,-0.74585589,-0.75722913,-0.14469014,-0.46192174,-0.037253032,-0.40933221,-0.3731728,-2.73073,-1.2066873,-4.0902988,-0.14853881,-0.43702103,-0.17833726,-0.63287892,-2.7596728,-4.2766879,-0.42435292,-3.6923612,-0.1087906,-0.2339516,-1.2592821,-0.1797007,-2.8985711,-0.5671566,-1.2679067,-0.37044571,-0.059742708,-0.15946625,-0.29700262,-0.75989886,-0.43679097,-1.382149,-0.08220633,-1.8673866,-0.87177718,-0.31943922,-0.82583004,-1.4581562,-0.60966934,-0.35403134,-0.07656792,-0.14424871,-0.16124867,-0.43666561,-2.3191647,-1.3052174,-0.13587458,-0.038350451,-0.52818739,-0.08016024,-0.40896855,-0.16326928,-1.1144863,-0.16371336,-1.3933687,-0.070524681,-0.22331764,-0.8758313,-0.55800197,-0.20358988,-0.59312357,-0.073293656,-1.4391736,-1.2763694,-0.80829126,-0.040895088,-1.9058567,-1.4649662,-0.29613862,-0.40829376,-0.046163713,-0.43641431,-0.78683054,-0.72542544,-0.26772614,-1.0910043,-0.29584097,-0.033923768,-3.1653093,-0.20794949,-1.3463935,-0.78504926,-2.3585346,-0.78246084,-0.31061362,-2.4740521
-265.37555,0.99993471,0.05774378,5,31,0,265.90655,0.46295227,1.3887433,0.33885591,-2.652987,0.070440495,-1.3975283,-2.9391625,-3.6338643,-1.6134247,-1.7055578,-0.1246399,-0.091602416,-0.067086779,-2.2815924,-2.4967186,-1.0435557,-1.9869169,-4.0063979,-0.10213083,-1.6849829,-0.41891623,-0.099763872,-0.13507624,-0.37324027,-0.29483982,-0.06260806,-0.99013597,-0.2383829,-1.0254339,-0.36455025,-2.1309908,-0.39759388,-1.2510579,-0.060003409,-0.082059502,-0.010322739,-0.05811059,-1.0807492,-0.26570667,-0.034788734,-0.09155483,-1.0383288,-0.54409008,-0.98058622,-2.4775401,-1.6926395,-0.16695949,-0.60226255,-0.15918622,-3.7615205,-0.627456,-1.009046,-0.41422316,-1.7260254,-1.4261493,-0.063901238,-1.896345,-0.057142014,-0.42104764,-0.078648835,-0.065862699,-1.0934767,-0.45690644,-0.56785403,-2.4162216,-0.830101,-3.0564112,-0.2200426,-2.6310445,-1.3193187,-0.13004422,-0.31001536,-2.1283068,-0.3723047,-2.5172798,-0.32468519,-0.22517571,-0.31011491,-0.22082553,-0.64395245,-0.16063707,-0.59476706,-0.1739964,-0.93797748,-2.0067078,-0.42077901,-0.2093359,-2.0708865,-2.1223075,-0.074158631,-1.6980352,-0.048209868,-0.6043369,-0.53347857,-0.40605515,-0.31661347,-0.084349127,-0.17750215,-0.66004315,-0.12089424,-2.5168232,-0.14597016,-0.17602922,-2.8785445,-0.9777906,-0.080756215,-1.7413729,-0.1304784,-0.23542602,-3.2397872,-0.04763988,-0.99170254,-0.4867423,-1.7682852,-0.77401504,-0.75310472,-1.1993655,-1.2581259,-0.93596916,-0.26671202,-1.020905,-2.1628412,-0.16844764,-0.36005073,-0.52719246,-0.066555566,-0.42529704,-0.55804206,-0.3205446,-1.1849506,-0.20607051,-0.28192455,-1.2139687,-0.91347985,-0.44322652,-5.7659562,-0.127728,-0.39365684,-1.0322966,-0.14932695,-0.021806859,-0.33303521,-0.14853106,-0.019502564,-0.5657363,-1.635565,-0.12363485,-0.052227814,-0.16320364,-2.4197305,-0.58699807,-0.068222812,-1.2270397,-0.65760374,-2.8439106,-2.1527891,-1.8358458,-0.63306481,-0.17450508,-0.50828186,-0.28451481,-1.2178945,-0.39585732,-0.1761054,-1.3142211,-1.8964812,-0.2055338,-0.17537745,-0.62379436,-2.3383103,-0.69741447,-0.36898026,-0.7066718,-0.077307764,-0.53816126,-0.16538024,-0.10662151,-0.11127835,-0.17213668,-0.11428665,-0.39325418,-1.8760848,-0.54530819,-0.21562172,-0.62288536,-0.53399851,-1.1349194,-0.50111736,-0.18602316,-0.12983374,-0.23153851,-1.3117524,-1.6130432,-0.34712625,-1.3641167,-0.54240866,-0.39515789,-0.052289006,-1.891624,-0.28148666,-0.043978696,-0.44215257,-0.13566643,-0.081236156,-0.21998217,-1.4697955,-0.06549644,-0.36111758,-0.10008675,-0.64427534,-0.33174583,-0.20188824,-0.050297347,-0.18376721,-0.71966875,-0.94736544,-0.054408014,-0.081448586,-2.11989,-0.749723,-0.70975383,-0.15148022,-0.46680495,-0.043157326,-0.41495201,-0.37901427,-2.723655,-1.2084285,-4.0914724,-0.14221403,-0.41156404,-0.18511322,-0.63795344,-2.7572057,-4.2700509,-0.43002932,-3.7046686,-0.11551935,-0.2399183,-1.262331,-0.18580139,-2.8964576,-0.57308514,-1.2711217,-0.34919061,-0.064951786,-0.16554937,-0.30300906,-0.76439914,-0.44240669,-1.3846111,-0.080501214,-1.8682289,-0.87599114,-0.32541675,-0.83022371,-1.4602698,-0.61468904,-0.35991096,-0.075339014,-0.15034134,-0.16736057,-0.44226186,-2.3184853,-1.307948,-0.14193303,-0.041540053,-0.53350129,-0.0857968,-0.41466319,-0.16940195,-1.0372206,-0.16909773,-1.3944331,-0.076990722,-0.22948979,-0.8801232,-0.56299713,-0.19439547,-0.59755141,-0.077458253,-1.4400158,-1.2803077,-0.81340478,-0.041408707,-1.9081871,-1.4661119,-0.30232721,-0.41327406,-0.050056657,-0.44166842,-0.79188069,-0.73067973,-0.27430323,-1.0953221,-0.30120532,-0.04008435,-3.1612796,-0.21413508,-1.3495635,-0.78914221,-2.3628772,-0.78646052,-0.31620239,-2.4705227
-266.66426,0.99972699,0.05774378,5,31,0,267.02515,0.43260552,1.4017111,0.3251214,-2.5839756,0.075473351,-1.4158882,-2.9293133,-3.6110372,-1.627092,-1.7161941,-0.16193213,-0.080873667,-0.100557,-2.2885573,-2.4985349,-1.0686652,-1.9962846,-3.9965308,-0.087742428,-1.6976589,-0.45492309,-0.13487733,-0.17265243,-0.41006459,-0.33259914,-0.075986303,-1.015862,-0.17654724,-1.0504864,-0.40155958,-2.1347304,-0.43455196,-1.2740834,-0.092994167,-0.063682804,-0.024924403,-0.079339284,-1.1077789,-0.30509952,-0.037549066,-0.12498624,-1.0615181,-0.57745487,-1.0066439,-2.4730853,-1.7052919,-0.20508334,-0.63430545,-0.13497284,-3.7458129,-0.40342777,-0.63493565,-0.45317465,-1.0800565,-1.439043,-0.091886652,-1.142664,-0.045196621,-0.45987128,-0.10807232,-0.10002072,-1.1135609,-0.48979631,-0.38957219,-2.4285371,-0.85562325,-3.0248521,-0.26058628,-2.6151741,-1.3343299,-0.11269614,-0.34533312,-2.1410265,-0.4106015,-2.5074952,-0.36126458,-0.26250565,-0.34645559,-0.25846204,-0.67661833,-0.12367738,-0.62707901,-0.13247188,-0.96599226,-2.0119915,-0.45631206,-0.24745786,-2.0782153,-2.1288146,-0.10793038,-1.7114941,-0.061036748,-0.63699107,-0.568723,-0.44150239,-0.35346663,-0.11904525,-0.13859546,-0.69342953,-0.15852734,-2.5101681,-0.18284518,-0.21368996,-2.8740555,-1.0035529,-0.1130163,-1.7524952,-0.095015627,-0.17450893,-3.2164558,-0.055318044,-1.0167197,-0.52145268,-1.779642,-0.80408393,-0.78442585,-0.75368588,-1.2826468,-0.95902886,-0.30729973,-1.0521368,-2.1807316,-0.209257,-0.40058731,-0.5653839,-0.088279894,-0.46500852,-0.59577946,-0.36147547,-1.2017762,-0.24713556,-0.32312405,-1.2301462,-0.9464233,-0.47592128,-5.9630454,-0.1663599,-0.43164132,-1.0587769,-0.18783837,-0.047877847,-0.22259741,-0.18463703,-0.03713818,-0.60186786,-1.6528677,-0.16204816,-0.075066091,-0.12718533,-2.4234349,-0.62059214,-0.096490631,-1.2482923,-0.69021955,-2.8389948,-2.1595629,-1.8496265,-0.6673533,-0.21199621,-0.54031194,-0.32039849,-1.2353789,-0.43439414,-0.13804044,-1.3381546,-1.8993024,-0.24371052,-0.13042916,-0.65548648,-2.3382463,-0.72885683,-0.40637201,-0.73890862,-0.062287878,-0.35685052,-0.2027904,-0.076750823,-0.14807749,-0.20920402,-0.15036675,-0.2633877,-1.8900763,-0.58031197,-0.2546319,-0.65474671,-0.56914791,-1.1599616,-0.53726953,-0.22322346,-0.16636143,-0.26903856,-1.3328032,-1.6291013,-0.38507472,-1.3839831,-0.57595481,-0.43192703,-0.08227621,-1.8998789,-0.19935693,-0.069910858,-0.47778973,-0.11651168,-0.087137002,-0.25795207,-1.4884886,-0.08402679,-0.39892501,-0.13609028,-0.67512186,-0.37019258,-0.23962559,-0.078741038,-0.22146145,-0.7504403,-0.97480048,-0.073737995,-0.069891646,-2.1241708,-0.78046691,-0.47752588,-0.1895134,-0.5029895,-0.075752347,-0.45231709,-0.4145408,-2.7110762,-1.2296394,-4.0697664,-0.11148242,-0.2831992,-0.22359056,-0.66970386,-2.7489664,-4.2266556,-0.46612709,-3.6945969,-0.15308333,-0.27894106,-1.2813134,-0.22353383,-2.8908635,-0.60638332,-1.2911662,-0.24115299,-0.097646828,-0.20349546,-0.34085187,-0.7940989,-0.47819498,-1.4031366,-0.074562747,-1.8778498,-0.90410637,-0.36310341,-0.85930305,-1.4769588,-0.64727328,-0.39708936,-0.071996356,-0.18836696,-0.20556067,-0.47796059,-2.3197516,-1.3279371,-0.17974846,-0.06262987,-0.56766556,-0.12100199,-0.45088038,-0.20625109,-0.6633027,-0.20730972,-1.4143169,-0.11294443,-0.26954458,-0.91067689,-0.59499117,-0.15241458,-0.63155175,-0.10831204,-1.459087,-1.2995401,-0.84147306,-0.043674046,-1.9124308,-1.4872467,-0.34120249,-0.44833232,-0.075464019,-0.4786429,-0.81976882,-0.75946989,-0.31097148,-1.115642,-0.34136837,-0.072808369,-3.170293,-0.25486971,-1.3731513,-0.81593355,-2.3725316,-0.81462226,-0.35326694,-2.4717043
