# stan_version_major = 2
# stan_version_minor = 37
# stan_version_patch = 0
# model = rlddm_single_subject_model
# start_datetime = 2025-09-25 02:56:03 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 2000
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.999
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = dense_e
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /Users/jy4657/Desktop/Repositories/tst-stan/recovery_out/tmp_subject_18/tmp7_s1_819/fhtqoy45.json
# init = 2 (Default)
# random
#   seed = 2045
# output
#   file = /Users/jy4657/Desktop/Repositories/tst-stan/cmdstan_tmp/rlddm_single_subject-20250924225603_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.37.0
# stancflags = --filename-in-msg=rlddm_single_subject.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,a,t0,log_scaler,scaler,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46,log_lik.47,log_lik.48,log_lik.49,log_lik.50,log_lik.51,log_lik.52,log_lik.53,log_lik.54,log_lik.55,log_lik.56,log_lik.57,log_lik.58,log_lik.59,log_lik.60,log_lik.61,log_lik.62,log_lik.63,log_lik.64,log_lik.65,log_lik.66,log_lik.67,log_lik.68,log_lik.69,log_lik.70,log_lik.71,log_lik.72,log_lik.73,log_lik.74,log_lik.75,log_lik.76,log_lik.77,log_lik.78,log_lik.79,log_lik.80,log_lik.81,log_lik.82,log_lik.83,log_lik.84,log_lik.85,log_lik.86,log_lik.87,log_lik.88,log_lik.89,log_lik.90,log_lik.91,log_lik.92,log_lik.93,log_lik.94,log_lik.95,log_lik.96,log_lik.97,log_lik.98,log_lik.99,log_lik.100,log_lik.101,log_lik.102,log_lik.103,log_lik.104,log_lik.105,log_lik.106,log_lik.107,log_lik.108,log_lik.109,log_lik.110,log_lik.111,log_lik.112,log_lik.113,log_lik.114,log_lik.115,log_lik.116,log_lik.117,log_lik.118,log_lik.119,log_lik.120,log_lik.121,log_lik.122,log_lik.123,log_lik.124,log_lik.125,log_lik.126,log_lik.127,log_lik.128,log_lik.129,log_lik.130,log_lik.131,log_lik.132,log_lik.133,log_lik.134,log_lik.135,log_lik.136,log_lik.137,log_lik.138,log_lik.139,log_lik.140,log_lik.141,log_lik.142,log_lik.143,log_lik.144,log_lik.145,log_lik.146,log_lik.147,log_lik.148,log_lik.149,log_lik.150,log_lik.151,log_lik.152,log_lik.153,log_lik.154,log_lik.155,log_lik.156,log_lik.157,log_lik.158,log_lik.159,log_lik.160,log_lik.161,log_lik.162,log_lik.163,log_lik.164,log_lik.165,log_lik.166,log_lik.167,log_lik.168,log_lik.169,log_lik.170,log_lik.171,log_lik.172,log_lik.173,log_lik.174,log_lik.175,log_lik.176,log_lik.177,log_lik.178,log_lik.179,log_lik.180,log_lik.181,log_lik.182,log_lik.183,log_lik.184,log_lik.185,log_lik.186,log_lik.187,log_lik.188,log_lik.189,log_lik.190,log_lik.191,log_lik.192,log_lik.193,log_lik.194,log_lik.195,log_lik.196,log_lik.197,log_lik.198,log_lik.199,log_lik.200,log_lik.201,log_lik.202,log_lik.203,log_lik.204,log_lik.205,log_lik.206,log_lik.207,log_lik.208,log_lik.209,log_lik.210,log_lik.211,log_lik.212,log_lik.213,log_lik.214,log_lik.215,log_lik.216,log_lik.217,log_lik.218,log_lik.219,log_lik.220,log_lik.221,log_lik.222,log_lik.223,log_lik.224,log_lik.225,log_lik.226,log_lik.227,log_lik.228,log_lik.229,log_lik.230,log_lik.231,log_lik.232,log_lik.233,log_lik.234,log_lik.235,log_lik.236,log_lik.237,log_lik.238,log_lik.239,log_lik.240,log_lik.241,log_lik.242,log_lik.243,log_lik.244,log_lik.245,log_lik.246,log_lik.247,log_lik.248,log_lik.249,log_lik.250,log_lik.251,log_lik.252,log_lik.253,log_lik.254,log_lik.255,log_lik.256,log_lik.257,log_lik.258,log_lik.259,log_lik.260,log_lik.261,log_lik.262,log_lik.263,log_lik.264,log_lik.265,log_lik.266,log_lik.267,log_lik.268,log_lik.269,log_lik.270,log_lik.271,log_lik.272,log_lik.273,log_lik.274,log_lik.275,log_lik.276,log_lik.277,log_lik.278,log_lik.279,log_lik.280,log_lik.281,log_lik.282,log_lik.283,log_lik.284,log_lik.285,log_lik.286,log_lik.287,log_lik.288,log_lik.289,log_lik.290,log_lik.291,log_lik.292,log_lik.293,log_lik.294,log_lik.295,log_lik.296,log_lik.297,log_lik.298,log_lik.299,log_lik.300
# Adaptation terminated
# Step size = 0.118553
# Elements of inverse mass matrix:
# 0.393353, -0.00182611, -0.00214451, 0.00720909
# -0.00182611, 0.00444317, -0.0234059, 0.0012243
# -0.00214451, -0.0234059, 0.572885, -0.000263061
# 0.00720909, 0.0012243, -0.000263061, 0.0547942
-145.70875,0.99866186,0.11855286,5,31,0,148.00909,0.47017388,1.1537141,0.25761709,-3.1352415,0.043489252,-0.19435629,0.12695706,-0.77110681,0.0035036827,-0.5321069,-0.20931837,0.33707057,0.28928654,-0.18754942,0.30891147,-0.47315789,0.082710228,-0.67059587,-0.8688198,0.30802785,0.24868799,-1.4800729,0.0020996011,-0.73202519,0.30071957,-0.50116537,-2.9400194,-0.86372631,-2.6730933,0.31232387,-0.10896418,0.32564913,0.30113603,-4.3179473,0.28856619,-2.5226378,-0.05235264,0.30816096,-0.21668663,-1.5835366,0.29512637,-0.087976939,0.1626036,-0.81707152,-0.32653835,0.31467236,0.07224156,-2.8986478,-0.23898454,0.18817433,-1.0939525,0.28475399,-0.48317294,0.14074279,-0.49500957,0.25081852,-0.13324967,0.27185857,0.18924505,0.30928036,-1.1335934,0.20474154,-2.7511368,-0.69047009,0.33222703,0.22410573,-1.1178521,0.041341203,0.092215425,-0.81566458,0.20135484,-0.4855321,-0.23671587,-0.073406007,-1.3424435,-0.40416415,0.15742847,-0.60677181,-0.1607766,0.17503153,0.27607438,-1.6013847,-0.47563037,0.32709166,0.28917788,-2.8855332,-0.11518047,0.31192874,0.020713542,-1.2779848,-0.69265282,0.32862971,-1.5984395,0.080909223,-0.065462207,-0.092300539,0.31673622,-0.62821334,-0.729074,0.28022965,0.1522661,0.30681563,0.23384989,-1.3196035,0.16548046,-1.6484698,-0.37704092,0.32789632,-0.1777877,0.10377157,-0.57569442,0.27864752,0.30860956,-0.66772112,-0.064525676,-0.022298341,0.032714001,-1.3520392,0.29689594,0.15040688,0.055232027,0.031232617,-0.15763645,-0.33591433,-0.65213974,0.18846344,-0.21212058,0.31550631,-2.6594353,-0.036975112,0.31112198,-1.0524817,-2.6953314,0.065306678,-0.072040561,0.25340299,-0.47939264,-0.36506476,-1.0707706,0.042208715,0.3358613,-2.3317908,-0.22387725,0.32651662,-0.22387664,-1.8810081,-0.7868902,-0.90097443,-0.589282,0.00068590374,-2.3395514,0.14200632,-2.3588349,-0.62106248,0.31839752,-0.21521687,0.29389489,-0.20412761,0.015639837,0.33314905,-0.054988834,-0.043577577,0.02467567,-2.968906,-0.83502142,-0.71929547,0.3176926,-1.7519226,0.26527431,0.33865346,-2.6591166,-0.15258132,0.31671439,-1.5733241,-0.83954404,-0.91468401,0.21872143,-1.1199046,0.00019774975,-0.50497464,-1.0487796,-0.3214175,-0.035119678,0.088686276,-1.3844745,-0.5296208,0.28034245,-0.72544943,-0.15228927,-0.98470828,-0.25620564,0.094177467,0.25987717,0.30973901,-0.10865634,-1.9864948,0.12151318,-4.7104027,0.0090112156,-1.1941661,0.096742666,0.13388268,-0.5471246,0.060593254,-0.66055421,0.31342992,-1.2315796,-0.053524655,-0.15127052,-0.67838456,0.28302991,0.26291485,0.3053976,0.31103788,-0.77164878,0.31967417,-0.3250533,-0.74731065,-1.451502,-2.3274744,-2.262711,-0.7644593,-1.8740641,-0.11879492,0.24014619,-0.95087506,0.26032392,-1.5587941,-0.30108877,-1.2368489,-0.48568239,0.32426076,-3.5695483,0.28503845,-0.20335734,0.30988607,0.23264732,-0.064304753,-0.71770936,-0.51487493,-0.61268831,0.017269351,-2.3248426,0.32569744,-0.082371044,0.32683768,0.32733521,0.0051777865,-0.072144521,0.26535466,-2.875674,0.28334363,-1.1772958,0.0056950078,-1.6371764,-1.1988152,-0.29018695,-2.3537297,0.31076673,-0.44059107,-0.77554241,0.032798598,-0.16640496,0.12493435,0.00019499245,0.052275858,0.03641025,-0.249742,0.30196201,0.070596795,0.21438736,0.28034574,-0.77073516,0.094084157,-1.4642984,0.23011406,-0.10502664,0.20169465,-0.80189019,-0.39327577,-1.5896508,0.32043866,0.33776621,-1.107879,-1.2993979,-0.030781597,-0.78453639,-0.34638434,0.34088514,-0.45794391,0.32061557,-2.466843,0.14940848,-0.3557656,-0.96757535,-2.0241424,0.27177861,-0.99200121,0.26246802,0.15651844,-1.1012011,-0.5034667,0.3270965,0.32697425,-0.017078055
-144.85342,0.99999946,0.11855286,5,31,0,146.67156,0.54382234,1.1694994,0.26167177,-2.6057347,0.07384886,-0.17895724,0.1308516,-0.73435631,-0.14795981,-0.49805806,-0.20850435,0.32780748,0.27368523,-0.41168719,0.25453717,-0.45401037,0.10058174,-0.62197014,-0.84265334,0.25340748,0.25817633,-1.443046,0.0059133656,-0.69461805,0.30368316,-0.80956682,-2.9200833,-0.80852318,-2.5422324,0.26704436,-0.29343963,0.31827933,0.30300475,-3.7699695,0.27142812,-2.5009035,-0.043142699,0.29542312,-0.21075145,-1.5703827,0.28113797,-0.083661606,0.16437435,-0.77841994,-0.32088199,0.29464674,-0.062565955,-2.800173,-0.21272857,0.18850547,-1.0376096,0.28805891,-0.45835034,0.13908434,-0.45652725,0.23144766,-0.11596087,0.24979185,0.082448981,0.29991943,-1.0836201,0.19024333,-2.5391087,-0.63929746,0.33266825,0.20161099,-1.0438756,0.029606519,-0.047330928,-0.81398641,0.20741697,-0.45418903,-0.23600541,-0.04463739,-1.2819097,-0.39999269,0.17382408,-0.5624178,-0.13197416,0.19055201,0.20928207,-1.5332016,-0.79124849,0.29419462,0.2773447,-2.845092,-0.10827173,0.29801529,0.027565279,-1.2269712,-0.6752318,0.29536699,-1.5310155,0.080657977,-0.23866126,-0.078269013,0.27039859,-0.61710782,-0.71021695,0.28349056,0.034233746,0.26274597,0.14214479,-1.3186252,0.17256988,-1.5744963,-0.35852404,0.29215424,-0.17158237,0.11986403,-0.5346398,0.22035923,0.29426586,-0.64998398,-0.042437956,-0.023838979,0.040923074,-1.2952921,0.23856363,0.15125727,0.074425931,0.055353693,-0.12688405,-0.33749716,-0.60085241,0.16898421,-0.17755342,0.28538617,-2.4705548,-0.012110767,0.26677538,-1.0043993,-2.6003271,0.071527013,-0.060265138,0.24774892,-0.4714803,-0.33140101,-1.0407616,0.051675019,0.32061202,-2.2406487,-0.20763167,0.28876679,-0.20763029,-1.8215809,-0.75531912,-0.86616684,-0.54785112,0.021987853,-2.195542,0.15722755,-2.2851118,-0.60424326,0.31244505,-0.21066457,0.22978415,-0.17599025,-0.13696651,0.31511417,-0.043836035,-0.035879019,0.02478563,-3.0170091,-0.80217892,-0.70126271,0.31278893,-1.7366742,0.27114591,0.31034515,-2.5895807,-0.35796709,0.27408365,-1.4844223,-0.81420802,-0.86742915,0.21735889,-1.087914,0.0052750622,-0.48471604,-0.99667263,-0.30067826,-0.02989499,0.10748927,-1.3071227,-0.51142815,0.26320152,-0.7054345,-0.1358093,-0.94413456,-0.22570991,0.082035342,0.18940083,0.28526858,-0.2929208,-1.9451246,0.13835195,-4.6696365,0.012625096,-1.1526696,0.1039219,0.1246544,-0.52734812,0.07219181,-0.62617065,0.26777071,-1.1597365,-0.03724485,-0.35626607,-1.057577,0.22077211,0.24334167,0.29108806,0.30106991,-0.74966107,0.30647977,-0.29939064,-1.1512443,-1.3903156,-2.2899133,-2.1589586,-0.73637975,-1.8211845,-0.10790091,0.23338921,-0.91150481,0.26423904,-1.4729527,-0.27818528,-1.2036823,-0.45330508,0.30195037,-3.4038138,0.22522905,-0.18897348,0.2602736,0.2413502,-0.040713359,-0.70633638,-0.50645701,-0.57016413,0.030625236,-2.225534,0.2928079,-0.070861697,0.29306616,0.29555543,0.014756058,-0.07333303,0.20199995,-2.9862499,0.22897635,-1.1772407,0.0076491228,-1.6016577,-1.1606386,-0.26938761,-2.263565,0.28342809,-0.40434517,-0.76597683,0.025870927,-0.14941384,0.12334084,0.022169185,0.07334088,0.029752308,-0.21529867,0.26460401,0.09412507,0.23043611,0.29024095,-0.73227761,0.086313477,-1.4547394,0.24179466,-0.07798716,0.21856409,-0.79809965,-0.35345747,-1.4861116,0.28159467,0.33736802,-1.0346905,-1.3010543,-0.002375614,-0.74361116,-0.32909196,0.3291629,-0.75472367,0.28285234,-2.3612949,0.040733168,-0.34113056,-0.95642751,-1.9382376,0.26592148,-0.95551835,0.19180671,0.15929677,-1.0610919,-0.47954078,0.30024857,0.29261546,-0.019797428
-146.30609,0.99762481,0.11855286,4,15,0,147.17354,0.62309747,1.2011643,0.25082137,-2.8055458,0.060473753,-0.21709407,0.076256467,-0.74227618,-0.040290426,-0.51974579,-0.24517914,0.27107006,0.2156554,-0.22063827,0.21472207,-0.4766981,0.048135719,-0.63830799,-0.84254089,0.214108,0.19668453,-1.4072152,-0.039453547,-0.71066183,0.24104416,-0.44259574,-2.7478506,-0.81866869,-2.5036041,0.22071924,-0.13136574,0.2596038,0.24142457,-3.884401,0.21504174,-2.434937,-0.086326957,0.23453391,-0.24703608,-1.5277427,0.22347673,-0.12809195,0.10894167,-0.7882658,-0.35172093,0.23895357,0.011009292,-2.722289,-0.24893578,0.13052316,-1.0312671,0.22720745,-0.48325456,0.085899733,-0.48105057,0.17377008,-0.15904156,0.19166314,0.099591453,0.23831644,-1.0800353,0.13368224,-2.5021069,-0.65716706,0.27013695,0.1468908,-1.0465075,-0.016490014,0.012848655,-0.81016026,0.14525892,-0.48357584,-0.2681078,-0.092498999,-1.2736933,-0.42349942,0.1151894,-0.58386664,-0.17491885,0.130672,0.19195622,-1.5140272,-0.4496815,0.25553405,0.2193303,-2.7001978,-0.15412836,0.23744341,-0.019780402,-1.2087813,-0.68734059,0.24778626,-1.5041849,0.026218784,-0.097727007,-0.1228683,0.23105318,-0.63294921,-0.72300978,0.22376717,0.068000515,0.23686481,0.13946859,-1.2853432,0.1133744,-1.5297745,-0.38483122,0.24301326,-0.21060928,0.066111421,-0.55521271,0.20669863,0.23412438,-0.66670098,-0.085863447,-0.070991327,-0.0093417162,-1.2784693,0.21032309,0.097268453,0.02292399,0.0041399373,-0.16851946,-0.36479064,-0.62112721,0.1151112,-0.21821049,0.23476313,-2.4351596,-0.061236052,0.23751863,-1.0067533,-2.5386168,0.02122439,-0.10528636,0.18843813,-0.49450325,-0.36130348,-1.0297317,-3.3264284e-05,0.26738805,-2.1771648,-0.24424967,0.24415173,-0.24424928,-1.7719431,-0.76330147,-0.86883653,-0.56640951,-0.026340517,-2.1424619,0.10177499,-2.2134976,-0.62231211,0.25478281,-0.24888033,0.19897163,-0.21360789,-0.037529058,0.26225596,-0.08909642,-0.081308103,-0.025491486,-2.8773691,-0.80775203,-0.71378062,0.25433743,-1.6907174,0.21093314,0.25839954,-2.4769879,-0.17883435,0.22478329,-1.4612062,-0.815298,-0.86655624,0.15704026,-1.0780404,-0.042830882,-0.50663836,-0.98617317,-0.33511581,-0.07282367,0.05314542,-1.293457,-0.52916667,0.20726355,-0.710078,-0.17856951,-0.94684523,-0.26225575,0.031588279,0.18053222,0.23231126,-0.13069815,-1.8692418,0.082002611,-4.2455022,-0.032948153,-1.1363527,0.04870441,0.070861688,-0.54473234,0.018621363,-0.64453655,0.22139158,-1.1534728,-0.085625382,-0.17788958,-0.59654839,0.20084322,0.18314068,0.23154816,0.23972323,-0.76310387,0.25237873,-0.32725812,-0.65010638,-1.3723314,-2.1924147,-2.1190913,-0.74206592,-1.7621603,-0.14737417,0.17678385,-0.91613134,0.20661754,-1.4432544,-0.31136982,-1.1849854,-0.47540288,0.24609351,-3.2965375,0.20510116,-0.2260498,0.22635939,0.18229035,-0.085862669,-0.71574881,-0.52664612,-0.58874448,-0.020543991,-2.176469,0.24471919,-0.11376106,0.24573895,0.24675834,-0.034705238,-0.11685922,0.19449168,-2.7945217,0.21402151,-1.15079,-0.036245064,-1.5788762,-1.1400058,-0.30138967,-2.1874285,0.22675514,-0.43129102,-0.76985577,-0.021378323,-0.19176713,0.072127542,-0.027777671,0.020057194,-0.017657654,-0.25391274,0.21227815,0.039028463,0.16822747,0.2258657,-0.74734664,0.035546341,-1.4131917,0.17951142,-0.12422448,0.15679189,-0.79608563,-0.38641881,-1.4758905,0.2486823,0.27397911,-1.0390921,-1.2633833,-0.05350052,-0.75993969,-0.35558964,0.27151429,-0.41288343,0.23770824,-2.3146721,0.080530192,-0.36744906,-0.94817436,-1.9037233,0.20388694,-0.95055875,0.18153426,0.10203965,-1.0516594,-0.50278057,0.24803754,0.24574876,-0.066425897
