# stan_version_major = 2
# stan_version_minor = 37
# stan_version_patch = 0
# model = rlddm_single_subject_model
# start_datetime = 2025-09-25 02:56:05 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 2000
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.999
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = dense_e
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /Users/jy4657/Desktop/Repositories/tst-stan/recovery_out/tmp_subject_19/tmpzl72vbf4/bz284wqu.json
# init = 2 (Default)
# random
#   seed = 2046
# output
#   file = /Users/jy4657/Desktop/Repositories/tst-stan/cmdstan_tmp/rlddm_single_subject-20250924225605_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.37.0
# stancflags = --filename-in-msg=rlddm_single_subject.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,a,t0,log_scaler,scaler,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46,log_lik.47,log_lik.48,log_lik.49,log_lik.50,log_lik.51,log_lik.52,log_lik.53,log_lik.54,log_lik.55,log_lik.56,log_lik.57,log_lik.58,log_lik.59,log_lik.60,log_lik.61,log_lik.62,log_lik.63,log_lik.64,log_lik.65,log_lik.66,log_lik.67,log_lik.68,log_lik.69,log_lik.70,log_lik.71,log_lik.72,log_lik.73,log_lik.74,log_lik.75,log_lik.76,log_lik.77,log_lik.78,log_lik.79,log_lik.80,log_lik.81,log_lik.82,log_lik.83,log_lik.84,log_lik.85,log_lik.86,log_lik.87,log_lik.88,log_lik.89,log_lik.90,log_lik.91,log_lik.92,log_lik.93,log_lik.94,log_lik.95,log_lik.96,log_lik.97,log_lik.98,log_lik.99,log_lik.100,log_lik.101,log_lik.102,log_lik.103,log_lik.104,log_lik.105,log_lik.106,log_lik.107,log_lik.108,log_lik.109,log_lik.110,log_lik.111,log_lik.112,log_lik.113,log_lik.114,log_lik.115,log_lik.116,log_lik.117,log_lik.118,log_lik.119,log_lik.120,log_lik.121,log_lik.122,log_lik.123,log_lik.124,log_lik.125,log_lik.126,log_lik.127,log_lik.128,log_lik.129,log_lik.130,log_lik.131,log_lik.132,log_lik.133,log_lik.134,log_lik.135,log_lik.136,log_lik.137,log_lik.138,log_lik.139,log_lik.140,log_lik.141,log_lik.142,log_lik.143,log_lik.144,log_lik.145,log_lik.146,log_lik.147,log_lik.148,log_lik.149,log_lik.150,log_lik.151,log_lik.152,log_lik.153,log_lik.154,log_lik.155,log_lik.156,log_lik.157,log_lik.158,log_lik.159,log_lik.160,log_lik.161,log_lik.162,log_lik.163,log_lik.164,log_lik.165,log_lik.166,log_lik.167,log_lik.168,log_lik.169,log_lik.170,log_lik.171,log_lik.172,log_lik.173,log_lik.174,log_lik.175,log_lik.176,log_lik.177,log_lik.178,log_lik.179,log_lik.180,log_lik.181,log_lik.182,log_lik.183,log_lik.184,log_lik.185,log_lik.186,log_lik.187,log_lik.188,log_lik.189,log_lik.190,log_lik.191,log_lik.192,log_lik.193,log_lik.194,log_lik.195,log_lik.196,log_lik.197,log_lik.198,log_lik.199,log_lik.200,log_lik.201,log_lik.202,log_lik.203,log_lik.204,log_lik.205,log_lik.206,log_lik.207,log_lik.208,log_lik.209,log_lik.210,log_lik.211,log_lik.212,log_lik.213,log_lik.214,log_lik.215,log_lik.216,log_lik.217,log_lik.218,log_lik.219,log_lik.220,log_lik.221,log_lik.222,log_lik.223,log_lik.224,log_lik.225,log_lik.226,log_lik.227,log_lik.228,log_lik.229,log_lik.230,log_lik.231,log_lik.232,log_lik.233,log_lik.234,log_lik.235,log_lik.236,log_lik.237,log_lik.238,log_lik.239,log_lik.240,log_lik.241,log_lik.242,log_lik.243,log_lik.244,log_lik.245,log_lik.246,log_lik.247,log_lik.248,log_lik.249,log_lik.250,log_lik.251,log_lik.252,log_lik.253,log_lik.254,log_lik.255,log_lik.256,log_lik.257,log_lik.258,log_lik.259,log_lik.260,log_lik.261,log_lik.262,log_lik.263,log_lik.264,log_lik.265,log_lik.266,log_lik.267,log_lik.268,log_lik.269,log_lik.270,log_lik.271,log_lik.272,log_lik.273,log_lik.274,log_lik.275,log_lik.276,log_lik.277,log_lik.278,log_lik.279,log_lik.280,log_lik.281,log_lik.282,log_lik.283,log_lik.284,log_lik.285,log_lik.286,log_lik.287,log_lik.288,log_lik.289,log_lik.290,log_lik.291,log_lik.292,log_lik.293,log_lik.294,log_lik.295,log_lik.296,log_lik.297,log_lik.298,log_lik.299,log_lik.300
# Adaptation terminated
# Step size = 0.0530143
# Elements of inverse mass matrix:
# 0.521099, 0.00675575, -0.021085, -0.0273242
# 0.00675575, 0.00437112, -0.0134968, 0.00759594
# -0.021085, -0.0134968, 0.132488, -0.0190168
# -0.0273242, 0.00759594, -0.0190168, 0.0373439
-131.47302,0.99990497,0.053014297,5,63,0,132.97717,0.47644086,1.167703,0.16225709,-3.002907,0.049642547,0.30323695,-2.1150337,-2.1548442,0.25108807,-1.0079498,-0.73634769,0.11850743,0.28078046,-0.47022623,0.29956064,0.22257978,0.25340639,0.28810077,-0.95576681,-1.6272805,-0.18926407,0.27253524,0.29179343,-0.16208123,0.20002842,-1.7145111,0.2748911,-0.70603755,-0.67518489,-1.61312,0.29219174,0.16357802,-0.75841962,0.1216754,0.30169383,0.15506079,-1.1490976,0.302809,0.26456932,0.18695073,-0.31545918,0.28009989,0.13782928,-0.12901642,-1.8325992,0.12432244,0.25777913,-2.3814341,-0.13111751,-0.97529354,-0.35857577,-0.7958277,-0.36064429,-0.22111694,-0.63843508,-1.4085946,0.08486258,-1.0755416,-1.3055981,-0.85986267,-1.1927695,-1.047788,-1.1915136,0.2504286,0.066343356,-0.88211711,0.20887997,-0.1381034,-0.33429387,-0.28691832,0.11283621,0.28342767,0.24882067,-1.356865,-0.78420166,-2.1161749,-1.1980868,-0.64878721,-0.74539022,-1.4922117,-0.15856587,0.27538748,-1.8077848,0.21608624,-0.20369158,-0.49111207,0.29643438,0.14589477,0.31684024,0.13655249,-0.23099008,-0.69570071,-0.29407078,-0.040825799,-0.67094545,-0.15007189,-0.91322628,-0.37505368,-0.067389311,-0.024216488,0.18789564,-0.2424043,0.092046493,0.3169005,-3.6311009,0.29028873,-0.23393931,-0.41645365,-1.0743093,0.18873141,-1.3816303,-0.81593123,-1.4333463,0.20557798,0.021732491,-0.65978857,-1.2225635,0.27081281,-0.016993931,0.23593594,-1.2594301,0.18483633,-2.7887168,0.2502536,0.14356614,-1.4249302,0.27718098,0.16983499,-0.67692773,-2.8989826,-1.4502309,-0.4354724,-1.4477507,0.18297895,-1.1058829,0.25330753,-0.51278334,-0.85607658,0.28467196,-0.313505,-0.14591761,-0.21837172,-0.32389001,0.30789477,-0.8553062,-0.012772273,0.17037463,0.30762614,0.042726435,-0.061841413,-0.16500217,-1.5090319,-2.7199615,-0.27583748,0.28240332,-0.81879956,-1.4913812,-2.1538345,0.047775123,0.30489135,-0.029166327,-0.021343934,0.31102434,-1.4377848,0.12701929,0.0096415785,-5.7744912,0.26833727,-2.6320825,-0.95387045,-0.58363904,0.13408403,-2.0892335,-0.047513118,0.14947824,0.3050561,-0.58904577,0.071073676,-0.35851815,-0.22340296,0.2897158,-0.0760857,-0.304121,-0.47139317,0.26541708,-1.4157559,-0.10046646,-0.29873193,0.30276377,-0.8290382,-0.81376789,0.28329547,0.23396685,-0.038017272,-0.17643717,-0.15265664,-0.10969513,-0.71560863,-1.3050784,0.27929509,-0.31316862,-0.05646884,-0.074306725,-0.55078429,0.084570684,-0.072045704,0.16194106,-0.1475756,-1.7029567,-1.8048227,0.29339705,0.31179736,0.085705746,-0.53920445,-0.54397012,-0.58693768,-0.41785902,-0.79920149,-0.24249508,0.31209355,0.29666845,-0.041967332,-0.43309453,-0.46539952,-0.31166578,-0.31444934,0.14884056,-0.76300564,-0.82161759,-0.25676518,-0.39770786,-0.58875467,0.13129047,-0.098365016,-0.30180936,0.078729993,0.099243094,0.27099116,0.078835217,0.26914738,-0.55482742,-1.1308785,0.032776218,0.28501853,0.26918766,-0.978983,-2.3291462,-2.2558876,0.22552125,-0.045773562,-0.50172675,0.0093658135,-0.47171916,0.1394718,0.28429287,0.29281805,-0.51032149,0.13277803,-0.53930757,0.069279892,0.30140378,0.15481349,0.22308123,0.15255622,-0.28871482,0.27099024,-0.19923778,0.10762454,-0.29813597,-0.33163214,-0.37813502,0.15059455,0.13093225,-0.31265207,0.0040914405,-0.18787364,-0.23640708,0.31387156,-0.80957163,0.072480833,0.24742241,0.059084783,-1.0945015,-0.47547291,-1.9918277,0.3184262,-2.8723326,0.046596406,-0.21359618,0.26584258,0.23926449,0.29494866,-1.7126997,-0.14741907,0.26950646,-0.63815057,0.29771952,0.30382912,-0.7207857,0.26842427,-0.48199365,0.30008532,0.22989215,-1.0007793,0.17096667
-131.0623,0.99999913,0.053014297,6,63,0,131.69848,0.45848079,1.1644868,0.15869744,-3.0694788,0.046445355,0.31057746,-2.1387877,-2.1788185,0.24610043,-1.0268013,-0.75146027,0.10770476,0.27565164,-0.48534052,0.30110294,0.21422463,0.24815031,0.28511755,-0.97490401,-1.648089,-0.20212887,0.27064594,0.2939365,-0.17479881,0.19069362,-1.7359575,0.27030955,-0.50431926,-0.69241993,-1.6307075,0.29441315,0.15582827,-0.77307451,0.17139792,0.31355948,0.14370609,-1.1701538,0.30434628,0.28442918,0.17762382,-0.32819997,0.27972088,0.12619546,-0.13948602,-1.8475168,0.11217875,0.24911395,-2.4177753,-0.145921,-0.99601842,-0.3748658,-0.57278198,-0.37388723,-0.10897607,-0.65512698,-1.428437,0.075327496,-1.0935431,-0.97981412,-0.8772834,-1.2086531,-1.0629577,-1.2135798,0.27044328,0.057918884,-0.90190945,0.23896033,-0.1501,-0.34755819,-0.29989926,0.16088642,0.28970249,0.27102517,-1.3782646,-0.79875592,-2.1467605,-1.2172792,-0.66401842,-0.75972151,-1.5159548,-0.17290457,0.28695947,-1.8308474,0.20955296,-0.21819424,-0.5053173,0.30608508,0.19019627,0.3204816,0.1255273,-0.24278389,-0.70978021,-0.30760936,-0.052206054,-0.68612613,-0.16423306,-0.93020748,-0.23696521,0.014322467,-0.03747499,0.18004178,-0.25578195,0.083068709,0.32345072,-3.6884221,0.30531728,-0.24707787,-0.43090478,-1.0923935,0.1785332,-1.4022948,-0.83261502,-1.4532232,0.23935299,0.010571679,-0.67363242,-1.241214,0.28803681,-0.028726787,0.23102723,-1.2812743,0.17584535,-2.8275482,0.24783912,0.18610012,-1.449367,0.28109819,0.1599979,-0.69197901,-2.9397281,-1.4705423,-0.44881091,-1.4707938,0.17251246,-1.1248857,0.24524601,-0.52590166,-0.87063486,0.27847228,-0.32879965,-0.16013958,-0.22992075,-0.33921871,0.30657274,-0.87411297,-0.02273479,0.16126705,0.31095537,0.031600818,-0.073831344,-0.17674317,-1.5337782,-2.7521056,-0.28848481,0.29469134,-0.83316293,-1.5153769,-2.1862763,0.038970286,0.29977266,-0.043122505,0.050874732,0.30661652,-1.4623758,0.11478649,0.00055721486,-5.5767061,0.26958114,-2.6440268,-0.96788794,-0.60122431,0.12360023,-2.1074314,-0.06031366,0.1921085,0.3093943,-0.60451238,0.060603355,-0.3726608,-0.2365251,0.30205006,-0.08821868,-0.31770422,-0.48595221,0.28546152,-1.435491,-0.11278127,-0.31242161,0.29948313,-0.84350827,-0.83234109,0.28828429,0.2628043,-0.050080366,-0.18931783,-0.16545819,-0.12219502,-0.72947047,-1.3276818,0.27747099,-0.32714114,0.024264994,-0.086545044,-0.56589836,0.074062232,-0.084198438,0.15462865,-0.16028599,-1.7259842,-1.8285618,0.30834105,0.32192223,0.075448686,-0.55483796,-0.55897769,-0.40730698,-0.43235546,-0.81761236,-0.12920504,0.3138896,0.30895932,-0.053866219,-0.44747954,-0.4799514,-0.32533179,-0.32827358,0.13948206,-0.77914104,-0.8383688,-0.27025454,-0.41203857,-0.60415927,0.17717922,-0.011924087,-0.31331285,0.066009894,0.091451632,0.27258943,0.13794114,0.26107761,-0.57232995,-1.1500884,0.095438172,0.28496918,0.26650903,-0.99591028,-2.3552729,-2.2815569,0.2194693,0.031640686,-0.34031018,0.079495116,-0.48622446,0.12995113,0.29989556,0.30440148,-0.52534567,0.17925502,-0.55449878,0.058629482,0.30282684,0.14561578,0.25409744,0.14097213,-0.30432655,0.26874819,-0.2115863,0.1593859,-0.31164837,-0.34440006,-0.39231075,0.14172123,0.17918884,-0.32644896,-0.0058788958,-0.20231599,-0.24757464,0.31066172,-0.82887574,0.059517991,0.2429411,0.049979049,-0.80995045,-0.32050113,-2.0063535,0.32877482,-2.8970673,0.037330328,-0.10224974,0.26608669,0.23671297,0.29150935,-1.7310174,-0.15869551,0.28733885,-0.65165309,0.29382788,0.30335525,-0.73598862,0.26266435,-0.32199147,0.3138604,0.26035823,-1.0214381,0.16304917
-132.02859,0.99877628,0.053014297,4,31,0,134.32339,0.50839883,1.1733869,0.15624022,-2.9178846,0.054047897,0.29544072,-2.1178033,-2.1572291,0.22931672,-1.0189034,-0.75449592,0.096411932,0.26235856,-0.48788111,0.2840739,0.20167739,0.23212996,0.27004031,-0.96596146,-1.6352013,-0.21072385,0.25211038,0.27540831,-0.18379182,0.17903068,-1.7213219,0.25558373,-0.44701077,-0.68888648,-1.6279984,0.2756047,0.13866328,-0.77762694,0.17252853,0.30296525,0.13470868,-1.1557404,0.28839315,0.26967536,0.16547768,-0.33758702,0.26037108,0.11743131,-0.15450114,-1.8531971,0.10400065,0.23906797,-2.3588736,-0.1493036,-0.98250356,-0.37418048,-0.49708794,-0.38158748,-0.085466575,-0.65307449,-1.4182087,0.059742218,-1.0883436,-0.86619075,-0.87357554,-1.2103033,-1.0664364,-1.1961076,0.25292007,0.039906811,-0.89102101,0.22828068,-0.16065774,-0.35513327,-0.30817627,0.15342535,0.27060049,0.25952627,-1.3628043,-0.80366081,-2.104224,-1.2085419,-0.66652589,-0.76521546,-1.493642,-0.17751133,0.26751804,-1.8112434,0.19207668,-0.22214542,-0.51062853,0.28974872,0.18619278,0.30809846,0.11528833,-0.25461932,-0.71594475,-0.31456817,-0.064126881,-0.6887966,-0.16917546,-0.92785576,-0.20451738,0.02058591,-0.044455904,0.1646882,-0.26309246,0.066646082,0.31193146,-3.5675542,0.29295397,-0.25499888,-0.4354768,-1.0869542,0.16791664,-1.3895193,-0.83105137,-1.44294,0.23131861,-0.0012922375,-0.68039534,-1.2342339,0.27243483,-0.039594694,0.21296623,-1.2645372,0.16233369,-2.761156,0.2275518,0.17543629,-1.425054,0.26017548,0.1474145,-0.69494229,-2.8675072,-1.4591016,-0.45662035,-1.4505168,0.16202111,-1.1167245,0.23364005,-0.53445642,-0.87559914,0.2663791,-0.33088695,-0.16511419,-0.24217452,-0.34120904,0.29168973,-0.86607842,-0.038033113,0.14711842,0.29839047,0.019477712,-0.084151052,-0.18868753,-1.5089431,-2.7077052,-0.29808158,0.27680661,-0.83867375,-1.4924154,-2.1386344,0.021473848,0.28892995,-0.048445401,0.050604655,0.29568711,-1.4376194,0.10677081,-0.016684363,-6.5714282,0.24860997,-2.6610121,-0.97461857,-0.5967402,0.11143024,-2.1033074,-0.068222904,0.18686993,0.29248703,-0.60626099,0.047449313,-0.37799261,-0.24459612,0.28815832,-0.098575295,-0.32456642,-0.49018397,0.27326674,-1.4254977,-0.12265228,-0.31898123,0.28722348,-0.8487027,-0.82498496,0.26791843,0.2547125,-0.060486403,-0.19799048,-0.17414177,-0.13154752,-0.73623345,-1.3088814,0.26015471,-0.33298656,0.033118867,-0.096564189,-0.56865829,0.061318942,-0.094386981,0.13656819,-0.16924382,-1.7078965,-1.8072261,0.29880969,0.31142598,0.062367469,-0.55613755,-0.56205317,-0.35655011,-0.43684901,-0.81074348,-0.1081492,0.29910396,0.2949204,-0.064603878,-0.45222486,-0.48424622,-0.33197548,-0.33444887,0.12549477,-0.77907542,-0.83663335,-0.27728865,-0.41688073,-0.60611229,0.16897754,-0.0062768857,-0.32604086,0.058554759,0.072925036,0.25162207,0.14428698,0.25073609,-0.56826177,-1.1413672,0.093185465,0.26820581,0.24982084,-0.99383555,-2.3269631,-2.254559,0.2033804,0.038360824,-0.2975229,0.084268731,-0.49064626,0.11601685,0.28611772,0.29041448,-0.52832487,0.17572525,-0.55702564,0.04586339,0.28722931,0.13149311,0.24897688,0.1322309,-0.30545124,0.25145852,-0.22150347,0.15478309,-0.31856894,-0.35383278,-0.39752118,0.12703206,0.1771553,-0.33276553,-0.021205338,-0.20659171,-0.26104869,0.29942503,-0.81941902,0.052424214,0.2260172,0.033412854,-0.70778721,-0.28620481,-2.0136435,0.31965365,-2.87494,0.021056698,-0.076535562,0.24548216,0.2160307,0.2767514,-1.7261636,-0.17186279,0.27002134,-0.65932581,0.28192811,0.28899134,-0.73856739,0.2493911,-0.27569899,0.3049371,0.25654171,-1.0083993,0.14740137
