# stan_version_major = 2
# stan_version_minor = 37
# stan_version_patch = 0
# model = rlddm_single_subject_model
# start_datetime = 2025-09-25 02:56:06 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 2000
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.999
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = dense_e
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /Users/jy4657/Desktop/Repositories/tst-stan/recovery_out/tmp_subject_20/tmpgfavgb6q/yu1lvm_n.json
# init = 2 (Default)
# random
#   seed = 2047
# output
#   file = /Users/jy4657/Desktop/Repositories/tst-stan/cmdstan_tmp/rlddm_single_subject-20250924225606_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.37.0
# stancflags = --filename-in-msg=rlddm_single_subject.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,a,t0,log_scaler,scaler,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46,log_lik.47,log_lik.48,log_lik.49,log_lik.50,log_lik.51,log_lik.52,log_lik.53,log_lik.54,log_lik.55,log_lik.56,log_lik.57,log_lik.58,log_lik.59,log_lik.60,log_lik.61,log_lik.62,log_lik.63,log_lik.64,log_lik.65,log_lik.66,log_lik.67,log_lik.68,log_lik.69,log_lik.70,log_lik.71,log_lik.72,log_lik.73,log_lik.74,log_lik.75,log_lik.76,log_lik.77,log_lik.78,log_lik.79,log_lik.80,log_lik.81,log_lik.82,log_lik.83,log_lik.84,log_lik.85,log_lik.86,log_lik.87,log_lik.88,log_lik.89,log_lik.90,log_lik.91,log_lik.92,log_lik.93,log_lik.94,log_lik.95,log_lik.96,log_lik.97,log_lik.98,log_lik.99,log_lik.100,log_lik.101,log_lik.102,log_lik.103,log_lik.104,log_lik.105,log_lik.106,log_lik.107,log_lik.108,log_lik.109,log_lik.110,log_lik.111,log_lik.112,log_lik.113,log_lik.114,log_lik.115,log_lik.116,log_lik.117,log_lik.118,log_lik.119,log_lik.120,log_lik.121,log_lik.122,log_lik.123,log_lik.124,log_lik.125,log_lik.126,log_lik.127,log_lik.128,log_lik.129,log_lik.130,log_lik.131,log_lik.132,log_lik.133,log_lik.134,log_lik.135,log_lik.136,log_lik.137,log_lik.138,log_lik.139,log_lik.140,log_lik.141,log_lik.142,log_lik.143,log_lik.144,log_lik.145,log_lik.146,log_lik.147,log_lik.148,log_lik.149,log_lik.150,log_lik.151,log_lik.152,log_lik.153,log_lik.154,log_lik.155,log_lik.156,log_lik.157,log_lik.158,log_lik.159,log_lik.160,log_lik.161,log_lik.162,log_lik.163,log_lik.164,log_lik.165,log_lik.166,log_lik.167,log_lik.168,log_lik.169,log_lik.170,log_lik.171,log_lik.172,log_lik.173,log_lik.174,log_lik.175,log_lik.176,log_lik.177,log_lik.178,log_lik.179,log_lik.180,log_lik.181,log_lik.182,log_lik.183,log_lik.184,log_lik.185,log_lik.186,log_lik.187,log_lik.188,log_lik.189,log_lik.190,log_lik.191,log_lik.192,log_lik.193,log_lik.194,log_lik.195,log_lik.196,log_lik.197,log_lik.198,log_lik.199,log_lik.200,log_lik.201,log_lik.202,log_lik.203,log_lik.204,log_lik.205,log_lik.206,log_lik.207,log_lik.208,log_lik.209,log_lik.210,log_lik.211,log_lik.212,log_lik.213,log_lik.214,log_lik.215,log_lik.216,log_lik.217,log_lik.218,log_lik.219,log_lik.220,log_lik.221,log_lik.222,log_lik.223,log_lik.224,log_lik.225,log_lik.226,log_lik.227,log_lik.228,log_lik.229,log_lik.230,log_lik.231,log_lik.232,log_lik.233,log_lik.234,log_lik.235,log_lik.236,log_lik.237,log_lik.238,log_lik.239,log_lik.240,log_lik.241,log_lik.242,log_lik.243,log_lik.244,log_lik.245,log_lik.246,log_lik.247,log_lik.248,log_lik.249,log_lik.250,log_lik.251,log_lik.252,log_lik.253,log_lik.254,log_lik.255,log_lik.256,log_lik.257,log_lik.258,log_lik.259,log_lik.260,log_lik.261,log_lik.262,log_lik.263,log_lik.264,log_lik.265,log_lik.266,log_lik.267,log_lik.268,log_lik.269,log_lik.270,log_lik.271,log_lik.272,log_lik.273,log_lik.274,log_lik.275,log_lik.276,log_lik.277,log_lik.278,log_lik.279,log_lik.280,log_lik.281,log_lik.282,log_lik.283,log_lik.284,log_lik.285,log_lik.286,log_lik.287,log_lik.288,log_lik.289,log_lik.290,log_lik.291,log_lik.292,log_lik.293,log_lik.294,log_lik.295,log_lik.296,log_lik.297,log_lik.298,log_lik.299
# Adaptation terminated
# Step size = 0.0336321
# Elements of inverse mass matrix:
# 0.248132, 0.0138752, -0.0442523, -0.0362384
# 0.0138752, 0.00593757, -0.0160335, 0.00632462
# -0.0442523, -0.0160335, 0.163974, -0.00870137
# -0.0362384, 0.00632462, -0.00870137, 0.0387391
-328.17229,0.99991583,0.033632139,6,63,0,328.65824,0.14340957,1.5340467,0.10532767,-3.0652096,0.046644066,-1.4627118,-0.2484273,-1.2556968,-0.47972521,-1.5444925,-1.1675349,-0.93129704,-0.39269747,-2.3018299,-2.3860647,-0.69464734,-1.5273476,-0.96218917,-0.23327811,-1.205099,-2.9610868,-1.606347,-2.4413577,-0.33923483,-0.273034,-0.27253901,-0.26779146,-1.332461,-0.6412258,-2.7475046,-0.7876401,-0.69995778,-0.65596903,-0.53223247,-1.9158888,-0.63948394,-2.2701883,-2.6595995,-1.5103545,-0.55610051,-0.37487004,-0.25126539,-0.30214473,-0.93058489,-0.33709312,-0.55172516,-2.2302493,-0.43546143,-0.48680854,-2.6965791,-1.6977758,-0.26425532,-0.74795863,-0.83941953,-1.3574226,-0.76765237,-1.856955,-0.25339359,-0.37878213,-1.8706328,-0.48198632,-1.1742713,-0.66415918,-0.31676932,-2.8820501,-2.1099432,-0.83427468,-0.26709083,-2.0616876,-1.1101763,-0.30182402,-0.29679027,-0.25890279,-1.4899002,-0.89213415,-1.2063052,-0.31525296,-0.25000057,-0.24066609,-0.43669949,-0.84192673,-2.0240203,-0.24738795,-0.47236744,-0.63152608,-0.67057756,-0.26896007,-1.4508321,-0.91806215,-1.6443844,-0.3504115,-0.25244819,-2.2917961,-0.68716097,-0.27635789,-0.26116185,-0.41671835,-0.7065988,-1.8135449,-0.85265176,-0.74222092,-1.7449678,-0.28672617,-0.48850916,-0.26698185,-0.60223334,-0.62494876,-2.5716083,-2.033915,-0.25534307,-1.8782844,-0.29945675,-1.210025,-0.51426811,-2.9740789,-0.43932337,-0.72728262,-6.7792028,-0.89784562,-1.7893542,-1.381436,-0.34395162,-1.4989451,-0.25492183,-0.23105588,-1.1524635,-0.31478688,-0.33513713,-1.9675665,-1.8220441,-0.34634084,-0.90438329,-2.0836309,-0.79262438,-0.23756985,-0.28226915,-2.2328741,-0.24713551,-4.2575832,-1.1521044,-0.57505455,-1.0508311,-1.4111926,-0.4384248,-0.76070677,-0.33525924,-1.980201,-2.6191486,-0.54110331,-0.2761154,-1.3904872,-2.8530323,-0.81222385,-1.1524039,-0.23232354,-0.77638288,-0.23124771,-0.25054022,-2.087412,-2.2112811,-1.54443,-1.2589346,-1.2395641,-2.044652,-0.37591047,-2.1166007,-0.30878344,-2.1156784,-0.22629963,-0.28205713,-0.49009646,-0.34704016,-0.25269044,-0.83716651,-0.42012746,-0.246532,-0.24752578,-0.52708723,-1.0162974,-2.9960057,-0.2730917,-0.23997912,-1.1052334,-2.0535963,-1.5558595,-4.1410923,-0.93310931,-0.30026271,-1.038911,-3.7384799,-0.24991505,-0.50671151,-0.31687832,-0.25557016,-0.3710985,-0.85785645,-0.30243441,-0.23424484,-0.32393931,-0.56668797,-0.82612167,-0.32296003,-3.6455149,-0.52149235,-0.92250338,-1.3407415,-0.27100833,-0.44553443,-0.94607074,-1.4950041,-0.26060389,-0.46372892,-1.8636226,-0.43372,-0.25783633,-1.0808448,-0.2524034,-1.132651,-0.36661907,-0.29129889,-4.6007402,-0.22967188,-1.0127257,-0.32049815,-2.5584916,-0.26444582,-0.3869999,-0.40628916,-0.2988952,-0.44597954,-0.33366384,-0.85862586,-0.34059023,-0.29292961,-0.54750883,-0.3229141,-0.32637175,-0.27598535,-2.0468681,-0.3108694,-0.8106085,-1.3878261,-1.656331,-0.37852432,-0.42353174,-0.45744997,-0.28097663,-0.84674473,-1.6568463,-0.27978282,-1.0993039,-2.5670963,-1.4754166,-0.5411656,-0.92013585,-1.1097736,-0.251723,-1.2054262,-0.34743428,-0.31018815,-2.2180551,-0.386217,-0.2695441,-0.54851468,-0.60965715,-0.35067335,-0.26653864,-1.3572718,-1.2640176,-2.191909,-0.41483453,-3.7566713,-0.37304119,-1.6491486,-1.4980667,-2.7169872,-0.45304499,-0.69469726,-0.63449836,-0.25474002,-1.7213003,-0.88969823,-0.34162224,-3.0050424,-1.2027821,-0.41842906,-0.24798605,-0.24316243,-0.88138934,-1.0378921,-5.6833755,-0.2655318,-0.23963297,-0.24591606,-0.2426778,-2.1880395,-0.25227502,-0.86413416,-0.4226883,-0.2467213,-0.58432933,-2.4302452,-0.98741095,-0.43953688
-328.98085,0.99987469,0.033632139,6,63,0,330.10839,0.13315377,1.5002919,0.10273511,-3.0763285,0.046128306,-1.503601,-0.19738212,-1.2870718,-0.47370042,-1.5891037,-1.1953239,-0.94758221,-0.38066493,-1.9106909,-2.4685271,-0.70093819,-1.5719551,-0.97947953,-0.19374561,-1.2337364,-3.069602,-1.6542661,-2.5269916,-0.25974451,-0.24682059,-0.21168001,-0.20790071,-1.3680877,-0.6443169,-2.8463432,-0.79708786,-0.70498286,-0.65864196,-0.52816908,-1.9773758,-0.6421522,-2.3489644,-2.7564364,-1.5542661,-0.55466528,-0.36109908,-0.21977186,-0.28070251,-0.94752287,-0.32083206,-0.55065236,-2.307182,-0.4280546,-0.47974355,-2.7940373,-1.748546,-0.23750959,-0.75519871,-0.85216749,-1.3943004,-0.77628117,-1.9167922,-0.22061158,-0.29162363,-1.929904,-0.47586502,-1.2020484,-0.66868963,-0.29646704,-2.9874267,-2.1796007,-0.84731531,-0.24184069,-2.1292639,-1.1338397,-0.27723619,-0.27185664,-0.20047432,-1.5322648,-0.90780296,-1.2345771,-0.24337582,-0.20954221,-0.20857798,-0.42873693,-0.85499739,-2.0907579,-0.19997352,-0.46569218,-0.63382968,-0.67461512,-0.24361934,-1.4906516,-0.93386816,-1.357487,-0.33451338,-0.22186013,-2.3717759,-0.69251159,-0.25063606,-0.23050283,-0.40613948,-0.71302182,-1.8710304,-0.86563993,-0.74951097,-1.7977591,-0.26264771,-0.48238673,-0.24032323,-0.60294526,-0.62712232,-2.6658939,-2.1018361,-0.2262684,-1.9390257,-0.2763714,-1.2398381,-0.51123357,-3.0781704,-0.43157601,-0.73339819,-9.3866812,-0.91330618,-1.844302,-1.4189456,-0.32901235,-1.5414398,-0.21821778,-0.18702322,-1.1798364,-0.23948182,-0.31515748,-2.0328539,-1.8803778,-0.26436413,-0.72873763,-2.1527882,-0.80159787,-0.20463056,-0.21505383,-2.3087492,-0.19125839,-4.3817255,-1.180039,-0.57607416,-0.85274947,-1.158427,-0.43092597,-0.77045831,-0.31531015,-2.044915,-2.7148478,-0.53728642,-0.21026823,-1.4269842,-2.9512994,-0.82219792,-1.1803036,-0.20041451,-0.78776455,-0.18213677,-0.22367776,-2.1569446,-1.8329104,-1.589893,-1.2891473,-1.2688751,-2.1119511,-0.36534149,-2.1874322,-0.23319285,-2.1849498,-0.18361429,-0.21385356,-0.48591164,-0.32948905,-0.19620822,-0.84925548,-0.32583912,-0.21378109,-0.21143266,-0.52380062,-1.0369815,-3.1001116,-0.24711337,-0.1937008,-1.1303922,-2.1198129,-1.6007998,-4.3271425,-0.94904376,-0.2762314,-1.0595956,-3.8636603,-0.2214292,-0.5008672,-0.29846815,-0.20483373,-0.35826966,-0.87175848,-0.27874246,-0.19317985,-0.30549796,-0.56595774,-0.83827681,-0.30413375,-3.7849496,-0.51796502,-0.93888128,-1.3760508,-0.24430059,-0.43643354,-0.9625988,-1.5365728,-0.20613121,-0.35972767,-1.9231513,-0.42374117,-0.22254077,-0.87848366,-0.21163493,-1.1588747,-0.35277529,-0.26627465,-4.8388211,-0.19139296,-1.0319743,-0.24362609,-2.6471509,-0.23829026,-0.37564121,-0.39442144,-0.27773891,-0.4367063,-0.25429775,-0.87305111,-0.3209077,-0.27341458,-0.54757866,-0.30766163,-0.31070149,-0.21784173,-2.1147516,-0.28723675,-0.8230172,-1.4256501,-1.3686221,-0.36702728,-0.41540421,-0.35694181,-0.25455545,-0.67958441,-1.7056339,-0.21847636,-1.1232972,-2.662316,-1.5165871,-0.53984741,-0.93708707,-0.90279201,-0.20613644,-1.2340042,-0.32916381,-0.23638426,-2.2950647,-0.374964,-0.24010731,-0.54707912,-0.48245787,-0.3338405,-0.23624638,-1.1147406,-1.2961783,-2.2621802,-0.40499042,-3.8744472,-0.35956251,-1.7004183,-1.5384292,-2.808289,-0.3520113,-0.55196031,-0.63722433,-0.2236129,-1.7755808,-0.90340224,-0.3259514,-3.1120381,-1.2327723,-0.40776831,-0.21466442,-0.1969954,-0.89537116,-1.0598209,-5.9971269,-0.23633794,-0.19603745,-0.20172633,-0.19395704,-2.2638495,-0.21934952,-0.8765386,-0.41402859,-0.2063062,-0.58306721,-2.5125449,-1.0054141,-0.34034067
-327.32763,0.99997834,0.033632139,6,63,0,329.47961,0.18276243,1.5063097,0.10703749,-3.2828206,0.037522273,-1.4876015,-0.20826488,-1.2730648,-0.46661367,-1.5724222,-1.1814006,-0.93637142,-0.3749249,-2.2496462,-2.4465595,-0.69071868,-1.5547912,-0.96811763,-0.19852696,-1.2196992,-3.0429076,-1.6366993,-2.5021443,-0.2884487,-0.24616398,-0.22796929,-0.22402549,-1.3527814,-0.63491692,-2.8224724,-0.7873615,-0.69601782,-0.64999029,-0.52071079,-1.9594462,-0.63423094,-2.3210559,-2.7225839,-1.5353655,-0.54591092,-0.35662271,-0.22025,-0.2784386,-0.9350538,-0.31567015,-0.54162607,-2.2811286,-0.42037481,-0.47384637,-2.7643292,-1.7319633,-0.23638299,-0.7472606,-0.84100036,-1.3778447,-0.76672977,-1.8933986,-0.22162496,-0.32490639,-1.911836,-0.46952732,-1.1891742,-0.6595582,-0.29362503,-2.9618609,-2.1596873,-0.83602769,-0.24040863,-2.1076414,-1.1205024,-0.27504983,-0.26997413,-0.21669689,-1.5180229,-0.89735331,-1.2197941,-0.26567847,-0.21389487,-0.21090905,-0.42321098,-0.84539917,-2.0660292,-0.20738682,-0.46046009,-0.62346511,-0.66402754,-0.24328287,-1.473099,-0.92080658,-1.5773827,-0.32851049,-0.22402116,-2.3423055,-0.68451917,-0.25083267,-0.23006184,-0.39840178,-0.70487143,-1.8483509,-0.85324391,-0.74175971,-1.7841102,-0.25924653,-0.4768195,-0.24063968,-0.59260846,-0.62010536,-2.6293448,-2.075124,-0.22805162,-1.9141387,-0.27268882,-1.2277313,-0.504689,-3.0661178,-0.42632423,-0.72243603,-7.1044626,-0.90391697,-1.8305802,-1.4036337,-0.32364534,-1.5254193,-0.22055565,-0.19417817,-1.1661728,-0.26538556,-0.31249411,-2.0110707,-1.8611853,-0.29518103,-0.83796284,-2.1351645,-0.79057153,-0.20740145,-0.23673437,-2.2897714,-0.20598079,-4.3786577,-1.1675703,-0.56825916,-0.98387634,-1.3448968,-0.42533356,-0.7615516,-0.31107487,-2.0282485,-2.6794752,-0.52807199,-0.23198298,-1.4089978,-2.9385806,-0.80963907,-1.1689379,-0.20332392,-0.77854352,-0.19407452,-0.22491529,-2.1284679,-2.1599859,-1.5771073,-1.2718304,-1.2517828,-2.0838852,-0.36124746,-2.1581633,-0.2616858,-2.1732971,-0.19292625,-0.23769945,-0.48106104,-0.32279667,-0.21327426,-0.84232965,-0.36218178,-0.21838474,-0.21205233,-0.51883713,-1.0273508,-3.0922171,-0.24798283,-0.20369696,-1.1149542,-2.1050364,-1.5861431,-4.2650053,-0.93690453,-0.27380222,-1.046364,-3.8485506,-0.22236092,-0.49272319,-0.29629626,-0.21395019,-0.35424454,-0.86219188,-0.27559333,-0.2004432,-0.30368357,-0.55558824,-0.8251407,-0.30092774,-3.7447746,-0.51064045,-0.92711852,-1.3615464,-0.2434527,-0.43074732,-0.95168952,-1.5210277,-0.21903232,-0.4063998,-1.9039817,-0.41732962,-0.22536812,-1.0130177,-0.21664552,-1.1468624,-0.34884336,-0.26396228,-4.7438706,-0.19649555,-1.019074,-0.27161918,-2.6302132,-0.23898167,-0.3714235,-0.38703524,-0.27671273,-0.42907261,-0.28436503,-0.86313934,-0.31653836,-0.2711591,-0.54023902,-0.30425362,-0.30802655,-0.23034808,-2.0863542,-0.2832378,-0.81454886,-1.4145516,-1.5878925,-0.36370477,-0.41130421,-0.39798755,-0.25055742,-0.78300123,-1.6953207,-0.23245335,-1.1146322,-2.6208957,-1.5054531,-0.53392037,-0.92797171,-1.0424955,-0.21297004,-1.2186937,-0.3245009,-0.26258147,-2.264107,-0.37014517,-0.2390056,-0.54044747,-0.54560361,-0.32819855,-0.2354989,-1.287437,-1.2838944,-2.2560385,-0.40033557,-3.9187869,-0.3512413,-1.6756559,-1.5292517,-2.806624,-0.39460837,-0.63192569,-0.62649166,-0.22312388,-1.7521887,-0.89483112,-0.31953725,-3.0993323,-1.2165043,-0.40305706,-0.21553229,-0.20417619,-0.88573017,-1.0457054,-5.7211672,-0.23762795,-0.20197093,-0.21024444,-0.20248337,-2.23643,-0.22225781,-0.86777658,-0.40593936,-0.21278483,-0.57642145,-2.4965179,-0.995467,-0.38233124
