# stan_version_major = 2
# stan_version_minor = 37
# stan_version_patch = 0
# model = rlddm_single_subject_model
# start_datetime = 2025-09-25 03:17:13 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 2000
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.999
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = dense_e
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /Users/jy4657/Desktop/Repositories/tst-stan/recovery_out/tmp_subject_6/tmpks66t5ie/rl5a8fjm.json
# init = 2 (Default)
# random
#   seed = 2033
# output
#   file = /Users/jy4657/Desktop/Repositories/tst-stan/cmdstan_tmp/rlddm_single_subject-20250924231713.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.37.0
# stancflags = --filename-in-msg=rlddm_single_subject.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,a,t0,log_scaler,scaler,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46,log_lik.47,log_lik.48,log_lik.49,log_lik.50,log_lik.51,log_lik.52,log_lik.53,log_lik.54,log_lik.55,log_lik.56,log_lik.57,log_lik.58,log_lik.59,log_lik.60,log_lik.61,log_lik.62,log_lik.63,log_lik.64,log_lik.65,log_lik.66,log_lik.67,log_lik.68,log_lik.69,log_lik.70,log_lik.71,log_lik.72,log_lik.73,log_lik.74,log_lik.75,log_lik.76,log_lik.77,log_lik.78,log_lik.79,log_lik.80,log_lik.81,log_lik.82,log_lik.83,log_lik.84,log_lik.85,log_lik.86,log_lik.87,log_lik.88,log_lik.89,log_lik.90,log_lik.91,log_lik.92,log_lik.93,log_lik.94,log_lik.95,log_lik.96,log_lik.97,log_lik.98,log_lik.99,log_lik.100,log_lik.101,log_lik.102,log_lik.103,log_lik.104,log_lik.105,log_lik.106,log_lik.107,log_lik.108,log_lik.109,log_lik.110,log_lik.111,log_lik.112,log_lik.113,log_lik.114,log_lik.115,log_lik.116,log_lik.117,log_lik.118,log_lik.119,log_lik.120,log_lik.121,log_lik.122,log_lik.123,log_lik.124,log_lik.125,log_lik.126,log_lik.127,log_lik.128,log_lik.129,log_lik.130,log_lik.131,log_lik.132,log_lik.133,log_lik.134,log_lik.135,log_lik.136,log_lik.137,log_lik.138,log_lik.139,log_lik.140,log_lik.141,log_lik.142,log_lik.143,log_lik.144,log_lik.145,log_lik.146,log_lik.147,log_lik.148,log_lik.149,log_lik.150,log_lik.151,log_lik.152,log_lik.153,log_lik.154,log_lik.155,log_lik.156,log_lik.157,log_lik.158,log_lik.159,log_lik.160,log_lik.161,log_lik.162,log_lik.163,log_lik.164,log_lik.165,log_lik.166,log_lik.167,log_lik.168,log_lik.169,log_lik.170,log_lik.171,log_lik.172,log_lik.173,log_lik.174,log_lik.175,log_lik.176,log_lik.177,log_lik.178,log_lik.179,log_lik.180,log_lik.181,log_lik.182,log_lik.183,log_lik.184,log_lik.185,log_lik.186,log_lik.187,log_lik.188,log_lik.189,log_lik.190,log_lik.191,log_lik.192,log_lik.193,log_lik.194,log_lik.195,log_lik.196,log_lik.197,log_lik.198,log_lik.199,log_lik.200,log_lik.201,log_lik.202,log_lik.203,log_lik.204,log_lik.205,log_lik.206,log_lik.207,log_lik.208,log_lik.209,log_lik.210,log_lik.211,log_lik.212,log_lik.213,log_lik.214,log_lik.215,log_lik.216,log_lik.217,log_lik.218,log_lik.219,log_lik.220,log_lik.221,log_lik.222,log_lik.223,log_lik.224,log_lik.225,log_lik.226,log_lik.227,log_lik.228,log_lik.229,log_lik.230,log_lik.231,log_lik.232,log_lik.233,log_lik.234,log_lik.235,log_lik.236,log_lik.237,log_lik.238,log_lik.239,log_lik.240,log_lik.241,log_lik.242,log_lik.243,log_lik.244,log_lik.245,log_lik.246,log_lik.247,log_lik.248,log_lik.249,log_lik.250,log_lik.251,log_lik.252,log_lik.253,log_lik.254,log_lik.255,log_lik.256,log_lik.257,log_lik.258,log_lik.259,log_lik.260,log_lik.261,log_lik.262,log_lik.263,log_lik.264,log_lik.265,log_lik.266,log_lik.267,log_lik.268,log_lik.269,log_lik.270,log_lik.271,log_lik.272,log_lik.273,log_lik.274,log_lik.275,log_lik.276,log_lik.277,log_lik.278,log_lik.279,log_lik.280,log_lik.281,log_lik.282,log_lik.283,log_lik.284,log_lik.285,log_lik.286,log_lik.287,log_lik.288,log_lik.289,log_lik.290,log_lik.291,log_lik.292,log_lik.293,log_lik.294,log_lik.295,log_lik.296,log_lik.297,log_lik.298,log_lik.299,log_lik.300
# Adaptation terminated
# Step size = 0.0582418
# Elements of inverse mass matrix:
# 0.560278, 0.0234601, -0.0520983, -0.0683626
# 0.0234601, 0.0049271, -0.014562, 0.00556181
# -0.0520983, -0.014562, 0.162942, -0.0153963
# -0.0683626, 0.00556181, -0.0153963, 0.0408643
-219.84411,0.9999109,0.058241813,5,31,0,222.86071,0.3714989,1.3570175,0.2521564,-3.3482099,0.035147215,-1.1707053,-0.45947242,-0.00052769583,-0.017479048,-0.066830579,-0.77236031,-0.23012197,-1.5475847,-1.6108171,-0.82655782,-0.69946202,-2.0117467,0.01061667,-0.16695894,-1.9031349,0.0035802611,-0.39713207,-0.37778073,-0.006429137,-0.40138661,-0.040180479,-0.05737481,-0.53098286,-0.49398003,-0.21481525,-0.36148856,-0.12045424,-0.90499769,-0.45725354,-0.038013939,-0.018887681,0.0026831923,0.0013512083,-0.088476574,-0.56270619,-0.52417354,-0.0022307491,-1.0038445,-0.41582181,-0.20135685,-0.96307866,-0.19305201,-0.10210139,-0.24789475,-0.54376509,-0.72405336,-1.0428167,-0.032479003,-0.09494045,-1.7618853,-1.3264741,-0.65871001,-0.29819698,-0.096212875,-2.083049,-0.92118526,-0.13460257,-0.39327153,-0.0016727784,-0.055648278,-0.29307154,-0.0010932303,-0.12106049,0.010067804,-1.0044303,-2.1606116,-0.74318635,-0.85630067,-0.0013630199,0.0041685046,-0.31187862,-1.3148475,-2.4229912,-1.0530796,-0.04759065,-1.707259,-1.4898849,-0.33762167,-0.44022937,-1.1491283,-1.0690125,-0.85038882,-1.1979067,-0.021851246,-0.736338,-1.1568134,-0.30645492,-0.29289616,-0.19168103,-0.50466806,-0.19219081,-0.90637745,-1.2659892,-2.5938257,-0.58477212,-1.8825534,-0.22208216,-0.15300702,0.0023928442,-0.14171726,-1.2034347,-1.3008399,-0.77826448,-1.1429129,-0.13896105,-0.09674855,0.010370496,-0.12597906,-0.91320303,-1.4839445,-0.85021673,-0.0073261663,-1.6756641,-2.9594086,-0.21279855,-1.4528337,-1.6096422,-3.5594279,-0.099900705,-0.022319259,-0.87870581,-1.1446021,-0.10497087,-0.37428145,-0.031532554,-0.42416318,-2.6880112,-0.27209455,0.0073245873,-0.097277833,-0.48342418,-0.096796503,-0.039280904,-0.27179132,-2.247441,-1.4013076,-0.72433739,-1.2372482,-1.1530034,-0.2580012,-0.098859898,-1.4972721,-0.54698129,-0.06065989,-0.084613152,-0.10330566,-0.71462247,-0.35426616,-0.15083123,-1.0333408,-1.1474972,-0.26589512,-0.0083878252,-0.98892191,-0.012789323,-0.27198771,-0.073682117,-2.7342741,-6.7035075,-0.13964185,-0.83401929,-0.089576494,0.0065706226,-1.4768495,-1.8256811,-0.072835379,-1.0868782,-0.12577026,-2.8841662,-0.53578753,-0.0040522204,-0.0024499759,-0.22015107,-3.5502601,-0.0013634771,-1.3194008,-0.19423885,-0.38846904,-1.2653446,-0.025541644,-0.78111125,-0.081176982,-0.033705798,-0.046893464,-0.46046255,-4.4580304,-0.27160442,-1.6255593,-1.078643,-0.47104836,-0.33929193,-0.23893783,-0.2294139,-0.10851231,-1.2347894,-0.113987,-0.00055741602,-0.45157597,-0.26443022,-0.065331481,-0.58225064,-1.1037609,-0.018912017,-0.051499701,-0.38714717,-0.35732132,-0.66655648,-0.06300985,-1.0102998,-0.010247064,-0.23029536,-1.5641788,-0.57337863,-0.089203321,-0.55182352,-3.2044593,-2.1134984,-0.38296724,-0.00084271594,-1.260061,-1.6406438,-0.52296161,-0.018066012,-1.9496938,-0.33473793,-0.15429499,-1.1243008,0.007418181,-0.21916702,-0.39878697,-0.16151141,-0.86092578,-1.0871069,-0.67217702,-0.11596756,-0.084079735,-0.58252966,-0.22896092,-0.092689323,-0.0060792937,-0.79696932,-0.15883744,-0.032610106,-2.8999723e-05,-1.4901657,-0.09657486,-0.034503712,-0.023788491,-0.37096565,-0.11109604,-2.1121388,-0.20852313,-0.15555637,-0.82155632,-0.61465608,-3.1550675,-2.3317236,-0.68492337,-1.9328114,-0.32466395,-0.31203514,-0.58578034,-0.026822681,-1.2170419,-0.27193025,-1.4601403,-2.1757995,-1.6747246,-0.49515774,-0.21095623,-0.2373606,-0.9455584,-0.37756137,-0.22197878,-0.02930195,-0.50632026,-0.11365865,-0.34225886,-0.65199844,-0.75130522,-0.077842111,-0.39417137,-0.062812279,-0.21102859,-1.2500111,-0.012792387,-1.2749582,-0.04181302,-4.5359837,0.011944356,-0.29217448,-0.072797557,-0.0090598648,-0.0093254283,-2.6843795,-0.51039934,-0.12760315,-0.21249071,-0.13813569,-1.078344
-219.52734,0.99996769,0.058241813,5,31,0,220.04049,0.34821114,1.3417251,0.25327736,-3.398821,0.033412639,-1.1840493,-0.45698202,0.018794214,-0.00039625642,-0.038023528,-0.73968851,-0.22151272,-1.5698647,-1.6327995,-0.8317847,-0.70151625,-2.0435512,0.033618278,-0.1351069,-1.9323096,0.027381294,-0.36230562,-0.37197897,0.014697875,-0.39742083,-0.023857452,-0.028779756,-0.49650434,-0.45837805,-0.20386485,-0.35657842,-0.10728026,-0.91341403,-0.45420533,-0.010693848,0.00020309537,0.024360346,0.023891778,-0.075777439,-0.56157405,-0.52196339,0.020966255,-0.9727728,-0.41134035,-0.16801429,-0.97164919,-0.18199321,-0.08730195,-0.23930406,-0.54335706,-0.72720394,-1.0126632,-0.015950819,-0.064835581,-1.7885604,-1.3436074,-0.66022714,-0.29089881,-0.082281031,-2.1177973,-0.92889659,-0.12231356,-0.35901614,0.022756425,-0.026691276,-0.28500258,0.022588772,-0.10752681,0.032239677,-1.0136364,-2.1966733,-0.74673502,-0.86242333,0.023376464,0.027644342,-0.30503885,-1.3314401,-2.4647661,-1.0637627,-0.031303518,-1.7330175,-1.5106082,-0.33146209,-0.43659453,-1.1619413,-1.0800597,-0.8578227,-1.2126457,0.0049550506,-0.73800718,-1.1718211,-0.29872642,-0.25965586,-0.18166454,-0.47014894,-0.18186496,-0.91351316,-1.2817214,-2.6407672,-0.58469397,-1.9125588,-0.21276499,-0.12234217,0.026568042,-0.12932823,-1.2171245,-1.3173212,-0.78254295,-1.1556323,-0.12822733,-0.065538158,0.032268238,-0.11266852,-0.91909694,-1.5050507,-0.85702431,0.014217468,-1.7036175,-3.0170142,-0.20332913,-1.4721807,-1.6328931,-3.6170854,-0.084841541,0.0039469422,-0.88680049,-1.1580874,-0.07546773,-0.36745899,-0.0038917955,-0.42166302,-2.7408136,-0.26484636,0.030950512,-0.083846118,-0.44888243,-0.082900943,-0.022652606,-0.26508769,-2.2883513,-1.4171356,-0.72545316,-1.2544644,-1.1635414,-0.24776508,-0.083011425,-1.5211387,-0.54678698,-0.031986977,-0.055015392,-0.072875994,-0.71877393,-0.34799258,-0.13838304,-1.0438355,-1.1611985,-0.23297373,0.016257914,-0.99958877,0.009957087,-0.26324539,-0.057625596,-2.7775444,-6.9682001,-0.12541967,-0.84162889,-0.077646551,0.025993715,-1.4993404,-1.8512541,-0.055932461,-1.0983809,-0.11378575,-2.9293859,-0.53566522,0.021199851,0.021900448,-0.21060066,-3.6166433,0.023452941,-1.3377924,-0.18521864,-0.38375222,-1.2815428,0.0017371367,-0.7862423,-0.066674643,-0.0065077424,-0.030118422,-0.42628321,-4.5579755,-0.26355743,-1.6497691,-1.0897058,-0.46812416,-0.33191009,-0.22877887,-0.22150022,-0.077348559,-1.2512129,-0.10155205,0.021064262,-0.41615246,-0.25799069,-0.047827637,-0.58271079,-1.1136873,-0.0028219111,-0.02411531,-0.38415352,-0.32162561,-0.67034812,-0.049883135,-1.0171437,0.0056124825,-0.2219715,-1.5867427,-0.57311077,-0.075154351,-0.55073676,-3.2595078,-2.1495433,-0.37778671,0.023250048,-1.2776706,-1.6676198,-0.52057741,-0.00045833997,-1.9823567,-0.30164041,-0.14314864,-1.0964308,0.031325861,-0.20999645,-0.39380649,-0.14973711,-0.86680732,-1.0988487,-0.67439425,-0.10246977,-0.053586761,-0.58201625,-0.19552478,-0.078543467,0.018746168,-0.80173249,-0.14729412,-0.013541804,0.020294205,-1.5098534,-0.083883703,-0.0064153341,-0.0032604089,-0.36747153,-0.096963056,-2.1483174,-0.19784652,-0.14227599,-0.82855012,-0.61737907,-3.2157572,-2.3697448,-0.68762636,-1.9672189,-0.31780242,-0.30449668,-0.58663747,-0.011280009,-1.233562,-0.26604073,-1.4789105,-2.2083594,-1.7022991,-0.49206155,-0.20029621,-0.22933471,-0.95386378,-0.37239289,-0.21262083,-0.012041741,-0.50415815,-0.083283924,-0.33607129,-0.65360951,-0.75525433,-0.063128376,-0.36003959,-0.047296162,-0.20146519,-1.2647084,0.013495633,-1.2910993,-0.014157372,-4.6194987,0.034805113,-0.28530919,-0.057220106,0.016748147,0.010235932,-2.731262,-0.50720198,-0.097311066,-0.20340881,-0.12572861,-1.0894333
-220.61996,0.99941383,0.058241813,6,63,0,221.21732,0.18968254,1.3548467,0.2567756,-3.0514043,0.047292466,-1.160553,-0.44864397,0.004829249,-0.01024554,-0.086318046,-0.93002188,-0.21994034,-1.5374757,-1.5948121,-0.81606523,-0.68766594,-2.0038401,0.0086072555,-0.20338092,-1.8893199,0.00083778234,-0.47418979,-0.36452358,-0.00079440696,-0.38823719,-0.028933117,-0.073812203,-0.63663255,-0.58633151,-0.19860461,-0.35098884,-0.10724894,-0.89694985,-0.44553414,-0.051709526,-0.009224844,0.0069968806,0.0053252336,-0.079613268,-0.55017143,-0.5113752,0.00041470125,-1.2086341,-0.40435331,-0.23948219,-0.95455358,-0.18031046,-0.089467798,-0.23672131,-0.53243944,-0.71412837,-1.2581102,-0.0226609,-0.11867882,-1.7565824,-1.3144585,-0.6485032,-0.28724257,-0.08665641,-2.0857489,-0.91319928,-0.12013325,-0.47355994,-0.011179958,-0.067110741,-0.27770111,0.002486405,-0.10735728,0.010907858,-0.99293765,-2.1541402,-0.73170093,-0.84553114,-0.0030780621,0.0053644284,-0.29956531,-1.3049253,-2.4148116,-1.0427797,-0.037034329,-1.7002603,-1.4814795,-0.32546043,-0.42726137,-1.1382645,-1.0592707,-0.84265046,-1.1887558,-0.024166498,-0.72194028,-1.1505028,-0.29428584,-0.35361549,-0.17742846,-0.60302274,-0.17735443,-0.89231599,-1.259908,-2.6027241,-0.57471469,-1.8809162,-0.21130646,-0.19322321,-0.0023528463,-0.128193,-1.1913254,-1.2922605,-0.76637238,-1.1333081,-0.12996358,-0.11349719,0.012254978,-0.1130603,-0.89794247,-1.477298,-0.84194568,0.0021787158,-1.6796165,-2.9736219,-0.20080002,-1.4419653,-1.6002598,-3.5056571,-0.085640204,-0.03505348,-0.87086063,-1.1351794,-0.13478135,-0.35946222,-0.036890053,-0.41337102,-2.6930452,-0.25834711,0.009492041,-0.083252518,-0.5772363,-0.088104292,-0.026328912,-0.25908946,-2.2400902,-1.3898577,-0.71176694,-1.2286139,-1.1415137,-0.24484451,-0.087041895,-1.4894587,-0.53161979,-0.076429998,-0.10902875,-0.12490389,-0.70039847,-0.34616883,-0.13146555,-1.0307021,-1.1324554,-0.31936939,-0.010149318,-0.97647969,-0.0088137405,-0.26377863,-0.067116775,-2.73249,-6.9520047,-0.12808745,-0.82233403,-0.077324068,0.01653085,-1.4638965,-1.8238924,-0.064340242,-1.0684817,-0.12114367,-2.81163,-0.53276031,0.0033500249,0.0065801363,-0.20328514,-3.494726,-0.0054803067,-1.3080846,-0.18080273,-0.37227953,-1.2645837,-0.029850184,-0.76716868,-0.073951941,-0.047875465,-0.039865405,-0.55045581,-4.6217118,-0.25568519,-1.6249028,-1.0636719,-0.45567885,-0.32619947,-0.22601608,-0.21693634,-0.13249605,-1.2246181,-0.10021537,0.0013256316,-0.53487651,-0.25806677,-0.048564782,-0.57400993,-1.0846599,-0.015460076,-0.074515704,-0.38080283,-0.42093252,-0.66112368,-0.057038115,-0.99165378,-0.0055485132,-0.21603971,-1.5700641,-0.55477858,-0.071893221,-0.53392343,-3.1304472,-2.1278402,-0.36525495,-0.0060424739,-1.2641348,-1.6498529,-0.50588287,-0.0085091847,-1.938959,-0.40438755,-0.1408557,-1.3610452,0.0052832626,-0.20504477,-0.38777811,-0.15073431,-0.85198528,-1.0738212,-0.65812507,-0.10637715,-0.099747848,-0.56699456,-0.27294949,-0.078371085,-0.011120385,-0.78851298,-0.14884183,-0.023460493,0.0086709434,-1.4821781,-0.085300737,-0.040990145,-0.013897013,-0.36079976,-0.10056392,-2.0998076,-0.19727532,-0.14309616,-0.81057342,-0.6051784,-3.1392762,-2.3306281,-0.68087351,-1.9546142,-0.30609613,-0.30276514,-0.57127512,-0.01827898,-1.2104654,-0.2615628,-1.4534022,-2.1675581,-1.6671668,-0.48645694,-0.20188818,-0.22118108,-0.92707803,-0.3593684,-0.20368098,-0.013901524,-0.4881798,-0.14552385,-0.32386888,-0.64714902,-0.74742538,-0.060520098,-0.47787926,-0.046505946,-0.2041532,-1.2294448,-0.013150982,-1.2749427,-0.059063098,-4.6131124,0.01344969,-0.27658087,-0.064838575,-0.011171883,-0.005699405,-2.6522083,-0.49858946,-0.15845439,-0.19767075,-0.12904135,-1.072827
