# stan_version_major = 2
# stan_version_minor = 37
# stan_version_patch = 0
# model = rlddm_single_subject_model
# start_datetime = 2025-09-25 03:17:22 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 2000
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.999
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = dense_e
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /Users/jy4657/Desktop/Repositories/tst-stan/recovery_out/tmp_subject_10/tmppzdmipmm/21jg_cjq.json
# init = 2 (Default)
# random
#   seed = 2037
# output
#   file = /Users/jy4657/Desktop/Repositories/tst-stan/cmdstan_tmp/rlddm_single_subject-20250924231722.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.37.0
# stancflags = --filename-in-msg=rlddm_single_subject.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,a,t0,log_scaler,scaler,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46,log_lik.47,log_lik.48,log_lik.49,log_lik.50,log_lik.51,log_lik.52,log_lik.53,log_lik.54,log_lik.55,log_lik.56,log_lik.57,log_lik.58,log_lik.59,log_lik.60,log_lik.61,log_lik.62,log_lik.63,log_lik.64,log_lik.65,log_lik.66,log_lik.67,log_lik.68,log_lik.69,log_lik.70,log_lik.71,log_lik.72,log_lik.73,log_lik.74,log_lik.75,log_lik.76,log_lik.77,log_lik.78,log_lik.79,log_lik.80,log_lik.81,log_lik.82,log_lik.83,log_lik.84,log_lik.85,log_lik.86,log_lik.87,log_lik.88,log_lik.89,log_lik.90,log_lik.91,log_lik.92,log_lik.93,log_lik.94,log_lik.95,log_lik.96,log_lik.97,log_lik.98,log_lik.99,log_lik.100,log_lik.101,log_lik.102,log_lik.103,log_lik.104,log_lik.105,log_lik.106,log_lik.107,log_lik.108,log_lik.109,log_lik.110,log_lik.111,log_lik.112,log_lik.113,log_lik.114,log_lik.115,log_lik.116,log_lik.117,log_lik.118,log_lik.119,log_lik.120,log_lik.121,log_lik.122,log_lik.123,log_lik.124,log_lik.125,log_lik.126,log_lik.127,log_lik.128,log_lik.129,log_lik.130,log_lik.131,log_lik.132,log_lik.133,log_lik.134,log_lik.135,log_lik.136,log_lik.137,log_lik.138,log_lik.139,log_lik.140,log_lik.141,log_lik.142,log_lik.143,log_lik.144,log_lik.145,log_lik.146,log_lik.147,log_lik.148,log_lik.149,log_lik.150,log_lik.151,log_lik.152,log_lik.153,log_lik.154,log_lik.155,log_lik.156,log_lik.157,log_lik.158,log_lik.159,log_lik.160,log_lik.161,log_lik.162,log_lik.163,log_lik.164,log_lik.165,log_lik.166,log_lik.167,log_lik.168,log_lik.169,log_lik.170,log_lik.171,log_lik.172,log_lik.173,log_lik.174,log_lik.175,log_lik.176,log_lik.177,log_lik.178,log_lik.179,log_lik.180,log_lik.181,log_lik.182,log_lik.183,log_lik.184,log_lik.185,log_lik.186,log_lik.187,log_lik.188,log_lik.189,log_lik.190,log_lik.191,log_lik.192,log_lik.193,log_lik.194,log_lik.195,log_lik.196,log_lik.197,log_lik.198,log_lik.199,log_lik.200,log_lik.201,log_lik.202,log_lik.203,log_lik.204,log_lik.205,log_lik.206,log_lik.207,log_lik.208,log_lik.209,log_lik.210,log_lik.211,log_lik.212,log_lik.213,log_lik.214,log_lik.215,log_lik.216,log_lik.217,log_lik.218,log_lik.219,log_lik.220,log_lik.221,log_lik.222,log_lik.223,log_lik.224,log_lik.225,log_lik.226,log_lik.227,log_lik.228,log_lik.229,log_lik.230,log_lik.231,log_lik.232,log_lik.233,log_lik.234,log_lik.235,log_lik.236,log_lik.237,log_lik.238,log_lik.239,log_lik.240,log_lik.241,log_lik.242,log_lik.243,log_lik.244,log_lik.245,log_lik.246,log_lik.247,log_lik.248,log_lik.249,log_lik.250,log_lik.251,log_lik.252,log_lik.253,log_lik.254,log_lik.255,log_lik.256,log_lik.257,log_lik.258,log_lik.259,log_lik.260,log_lik.261,log_lik.262,log_lik.263,log_lik.264,log_lik.265,log_lik.266,log_lik.267,log_lik.268,log_lik.269,log_lik.270,log_lik.271,log_lik.272,log_lik.273,log_lik.274,log_lik.275,log_lik.276,log_lik.277,log_lik.278,log_lik.279,log_lik.280,log_lik.281,log_lik.282,log_lik.283,log_lik.284,log_lik.285,log_lik.286,log_lik.287,log_lik.288,log_lik.289,log_lik.290,log_lik.291,log_lik.292,log_lik.293,log_lik.294,log_lik.295,log_lik.296,log_lik.297,log_lik.298,log_lik.299,log_lik.300
# Adaptation terminated
# Step size = 0.104508
# Elements of inverse mass matrix:
# 0.42019, 0.0208632, -0.0534352, -0.0647016
# 0.0208632, 0.00649243, -0.0171112, 0.00302429
# -0.0534352, -0.0171112, 0.181598, -0.0077925
# -0.0647016, 0.00302429, -0.0077925, 0.0473496
-318.25966,0.99968529,0.10450753,4,15,0,318.67102,0.39570031,1.4799983,0.24951846,-3.4849786,0.030654415,-1.6886125,-0.70019864,-0.67604473,-0.60888483,-0.21853345,-1.1072323,-1.2858244,-1.5150152,-1.2785867,-0.87114689,-1.0365838,-1.1936458,-1.1020624,-1.0569741,-0.16261825,-0.22491954,-0.47368911,-0.28515206,-1.7515894,-0.34166988,-0.52756541,-1.6229678,-0.42989645,-0.16930678,-0.58706352,-0.84485647,-0.9927936,-1.1804169,-1.8680096,-0.41619789,-0.55273281,-1.1761245,-0.30841044,-1.6895679,-2.2921527,-0.34725099,-1.8605435,-0.17561751,-0.1935663,-0.58796941,-0.36106799,-0.18301465,-0.55684596,-0.46482619,-0.99180725,-0.3369209,-0.26601914,-0.88373285,-0.51939379,-0.62767399,-0.74125223,-0.17846587,-2.6876061,-0.33617896,-1.0561034,-0.5287298,-1.7521127,-0.33907145,-0.26527794,-1.0745419,-1.1321795,-0.19848597,-5.583705,-0.47325917,-0.21231225,-0.29761904,-1.8737686,-0.19119072,-0.39790882,-3.1131312,-0.94014362,-1.7673764,-2.0570996,-0.56002524,-0.4513773,-2.261989,-2.3641098,-0.28715428,-2.5964982,-0.17628015,-2.5701597,-0.23826312,-1.7346221,-0.17024102,-0.97456136,-0.68817149,-1.0127483,-0.84044504,-1.3304293,-1.2124673,-0.74056793,-0.2663698,-0.18651183,-3.0429476,-2.607771,-0.17987803,-1.026523,-0.78516691,-1.3101228,-0.48542915,-0.81922026,-0.65182055,-0.36965164,-0.5005124,-1.5709491,-0.43494733,-0.88279531,-1.2976099,-0.61143368,-0.34296266,-0.17255702,-1.7156163,-1.4708801,-0.25871585,-2.2531907,-1.2179581,-1.6397603,-2.4854868,-1.3586949,-0.51064055,-1.2743515,-2.9450944,-0.28679956,-1.2817263,-0.4227999,-2.4601664,-0.18074681,-0.20971895,-0.18046957,-0.31402452,-1.9020758,-0.27054823,-0.51362216,-0.19444923,-0.16906046,-4.0904382,-1.6072372,-0.53738445,-2.1803078,-0.61601036,-0.42803909,-1.2766803,-0.23877792,-1.847186,-0.19623999,-0.5014937,-1.2569803,-0.21896309,-0.53498778,-1.0572289,-0.18374076,-0.29443768,-4.3430025,-0.68663825,-3.1104021,-0.65640747,-0.41425353,-1.8921764,-0.37203012,-0.5827289,-1.4108773,-0.5265107,-0.25748959,-0.70781585,-0.42961464,-0.87441581,-0.74189629,-0.54489765,-2.8869724,-1.2196714,-0.68762507,-1.612806,-0.17257957,-0.87433913,-0.60792774,-0.16543039,-1.6086428,-1.7326074,-1.1616113,-0.50687005,-0.17935528,-2.2072884,-1.0096858,-0.56028239,-0.41101677,-0.36493337,-6.0662821,-1.516003,-0.43585493,-1.5147049,-1.0183386,-2.0197451,-1.6407803,-0.20591166,-0.62091392,-0.39522918,-0.89136678,-0.17493869,-0.87285878,-1.8460725,-1.1099877,-4.2093774,-0.39705801,-1.1462037,-2.1126098,-1.4707979,-0.4666074,-1.007241,-0.95628769,-0.42379688,-0.50528584,-0.39291295,-2.2691029,-0.27899496,-0.82814067,-0.92317865,-0.87598046,-0.52553169,-0.40294442,-0.95060848,-0.93462902,-0.31788358,-0.54152949,-1.157621,-0.20873898,-0.18108073,-1.4154553,-0.68020592,-1.0175877,-0.61541094,-0.17809503,-0.68606276,-1.3781752,-0.20203373,-0.99531191,-1.8867537,-0.28297919,-0.87262458,-0.94598238,-0.34386276,-1.0937075,-0.75629345,-0.24598721,-0.50655705,-3.4351965,-5.3081099,-0.18160075,-0.17612108,-1.044294,-0.70587737,-3.4188554,-0.16448604,-0.35567096,-1.1222095,-0.16305422,-0.31828141,-0.42866327,-0.78251811,-1.4336913,-1.1636133,-2.0884749,-0.40162222,-1.2152115,-0.41162423,-0.33335744,-1.1419207,-0.31710033,-0.26660427,-1.3041652,-0.24392911,-1.0511536,-0.26877798,-0.17899174,-0.44635148,-0.20545965,-5.0045255,-0.50311757,-1.6114476,-2.0207433,-0.19857229,-3.7262591,-0.43964156,-0.16206537,-1.5719646,-1.9908305,-0.58684695,-1.6748898,-0.80417009,-0.38395126,-0.25273958,-0.17082084,-1.6118127,-0.31201628,-0.66560047,-1.0764989,-0.8056039,-0.19655468,-0.53529799,-0.56589758,-0.72302175
-315.90513,0.99997011,0.10450753,5,31,0,319.68104,0.39467712,1.4972893,0.27402568,-3.0619605,0.04679586,-1.6108411,-0.64568006,-0.62479791,-0.55962274,-0.3770145,-1.038688,-1.2106782,-1.4522344,-1.2005519,-0.80909083,-0.97438739,-1.1306144,-1.0374341,-0.98924318,-0.19446051,-0.21124275,-0.42455288,-0.25118665,-1.6751352,-0.30781979,-0.48289338,-1.555411,-0.86354898,-0.22734593,-0.53398835,-0.78162411,-0.93660823,-1.1157833,-1.7777014,-0.37196961,-0.50146062,-1.1106691,-0.26984709,-1.6219918,-2.2203024,-0.30221356,-1.7868182,-0.22466319,-0.31978231,-0.52943113,-0.31691557,-0.18528444,-0.50522945,-0.9501241,-0.93193803,-0.3018727,-0.48921768,-0.82100995,-0.46930203,-0.57832868,-0.68256964,-0.21228649,-2.5864385,-0.30200349,-0.99739973,-0.47491877,-1.6684065,-0.29866168,-0.49180526,-1.0102903,-1.0661717,-0.19745427,-5.4960251,-0.42269531,-0.19882807,-0.56203799,-1.7976105,-0.19939077,-0.79273677,-3.0231465,-0.88155403,-1.6858694,-1.9695348,-0.51005086,-0.40551433,-2.1705949,-2.2706737,-0.25690773,-2.4773092,-0.18389704,-2.4851416,-0.42241229,-1.6497704,-0.1947746,-0.91328386,-0.63472122,-0.95052965,-0.78283082,-1.2609006,-1.1452807,-0.68496854,-0.2396068,-0.1921778,-2.9668022,-2.5215383,-0.18645163,-2.395746,-0.72714143,-1.2410466,-0.43743081,-0.76163578,-0.599131,-0.32877755,-0.45168919,-1.496637,-0.39050464,-0.8239578,-1.2292785,-0.55987555,-0.2994974,-0.2556236,-1.6245638,-1.391743,-0.47070162,-2.1704662,-1.1490427,-1.561477,-2.387346,-1.2880524,-0.46213599,-1.206226,-2.8391029,-0.25635648,-1.206849,-0.38206206,-2.3760693,-0.26618652,-0.20045051,-0.18885383,-0.27974463,-1.8210346,-0.24469917,-0.46667012,-0.32118121,-0.25444839,-4.0120678,-1.5292863,-0.48798331,-2.0933379,-0.56794027,-0.38878855,-1.2115765,-0.42321422,-1.7553443,-0.32905195,-0.46066123,-1.1788565,-0.39270054,-0.48071216,-0.99692765,-0.18937783,-0.26279703,-4.1915787,-0.63242596,-2.9974675,-0.60839775,-0.37662577,-1.8167517,-0.3337234,-0.52981971,-1.3441613,-0.47637921,-0.47604755,-0.65238195,-0.38865625,-0.82053999,-1.6389077,-0.49813083,-2.763662,-1.1504962,-0.63273577,-1.5439481,-0.17973787,-0.81054686,-0.55108746,-0.18104368,-1.5275263,-1.6505599,-1.0970784,-0.45764242,-0.22190547,-2.1015054,-0.95147914,-0.50800739,-0.36912974,-0.31903458,-6.8184028,-1.433184,-0.87275413,-1.4278402,-0.95021257,-1.955952,-1.5554987,-0.19314708,-0.57178207,-0.35646563,-0.82880593,-0.24351553,-0.81057069,-1.7565088,-1.0542147,-3.9497035,-0.36309193,-1.0907219,-2.0476133,-1.3862315,-0.42879132,-0.93644207,-0.90081407,-0.37476238,-0.46020705,-0.35290106,-2.159876,-0.51684366,-0.76805735,-0.86552601,-0.8140304,-0.47373509,-0.36438206,-0.89464353,-0.87675742,-0.28436051,-0.4905906,-2.7763616,-0.35359484,-0.27295315,-1.3447111,-0.62173079,-0.96080233,-0.56825768,-0.21827846,-0.62698947,-1.3117644,-0.20003144,-2.309582,-1.8034427,-0.53099926,-0.81344847,-0.88571636,-0.30600459,-1.0295488,-0.70029114,-0.44413652,-0.45840606,-3.3175319,-5.1490994,-0.19209687,-0.25703957,-0.98134798,-0.64611044,-3.2582049,-0.18274003,-0.31125646,-1.0612402,-0.23490706,-0.2758295,-0.37721567,-0.71882684,-1.3646212,-1.0928028,-2.0000046,-0.3573432,-1.1462371,-0.3688034,-0.64571199,-1.0801585,-0.28575374,-0.23466211,-1.2297358,-0.22814487,-0.99350178,-0.50506221,-0.17324038,-0.91293471,-0.33816822,-5.0721081,-0.4618997,-1.5232884,-1.914324,-0.20636521,-3.6074659,-0.39769252,-0.21255366,-1.4859789,-1.8905121,-0.53243107,-1.6092289,-1.8031707,-0.34686963,-0.22809887,-0.19245812,-1.5366375,-0.27405439,-0.61271042,-1.0152471,-0.7427645,-0.31705384,-0.48726734,-0.51169258,-0.66810095
-314.91088,0.99943233,0.10450753,4,31,0,316.65533,0.42245529,1.4855332,0.26813695,-3.2818533,0.037558585,-1.6392021,-0.65844678,-0.63601776,-0.56961031,-0.30982314,-1.0595321,-1.235532,-1.4730248,-1.2271023,-0.82667524,-0.99328168,-1.1507159,-1.0563185,-1.0091454,-0.1714638,-0.20532718,-0.43378848,-0.25352521,-1.7043555,-0.31029147,-0.49065398,-1.5792753,-0.69948151,-0.19542362,-0.54510042,-0.7987924,-0.95195086,-1.1357865,-1.811333,-0.37881937,-0.51201141,-1.1307619,-0.27383824,-1.6460612,-2.2493339,-0.30946224,-1.8132116,-0.19485939,-0.26475015,-0.54390536,-0.32426122,-0.1739907,-0.51646814,-0.76743456,-0.94791069,-0.30389335,-0.39878011,-0.8375851,-0.47883901,-0.58829702,-0.69752194,-0.18839328,-2.6296041,-0.30437582,-1.0141485,-0.48643533,-1.7000146,-0.3038866,-0.40130226,-1.0295459,-1.0866565,-0.18622968,-5.5179832,-0.43210221,-0.19262404,-0.45780488,-1.8261743,-0.18486961,-0.64247351,-3.0635455,-0.89707408,-1.7168258,-2.0046673,-0.51999459,-0.41333551,-2.2082911,-2.3096551,-0.25741047,-2.5275654,-0.1703059,-2.5202922,-0.34650841,-1.6803295,-0.17456007,-0.93048871,-0.64692323,-0.9683981,-0.7976234,-1.2836784,-1.1665162,-0.69843508,-0.23877035,-0.17883145,-3.0043616,-2.557874,-0.17259071,-1.8824244,-0.74185704,-1.2635308,-0.44627329,-0.77639709,-0.61074884,-0.33415095,-0.46113127,-1.5225691,-0.39745014,-0.8394889,-1.2511436,-0.57069455,-0.30583517,-0.21529108,-1.6593568,-1.4205734,-0.38409503,-2.2017509,-1.1717147,-1.5906177,-2.430275,-1.3117901,-0.47138437,-1.2279923,-2.8861105,-0.25707121,-1.2314282,-0.38718552,-2.4106418,-0.22457934,-0.19271459,-0.1745021,-0.28202591,-1.8519545,-0.24330664,-0.47495712,-0.26502603,-0.21318079,-4.0486449,-1.5580417,-0.49738315,-2.1273844,-0.57784573,-0.39375263,-1.2321407,-0.34701553,-1.7904397,-0.27118196,-0.4660639,-1.2053026,-0.32126333,-0.49319532,-1.0133689,-0.176513,-0.26413379,-4.2751679,-0.64511715,-3.05087,-0.61802741,-0.380462,-1.8443773,-0.33748532,-0.54166487,-1.367103,-0.48666208,-0.38824579,-0.66588952,-0.39438312,-0.83427583,-1.3065188,-0.50650468,-2.8195524,-1.1729154,-0.6457704,-1.5688108,-0.1659459,-0.82810946,-0.56431204,-0.16441526,-1.5574048,-1.6816601,-1.1164579,-0.4673572,-0.1947153,-2.1450138,-0.96699381,-0.51949734,-0.37457283,-0.32662676,-6.4662785,-1.4631199,-0.70687651,-1.4598516,-0.97168833,-1.978013,-1.5887472,-0.18770429,-0.58083514,-0.35996152,-0.84717075,-0.206841,-0.82681558,-1.7891741,-1.0701958,-4.0545871,-0.36548893,-1.1064044,-2.0730096,-1.4164044,-0.43287021,-0.9581479,-0.9147056,-0.38432564,-0.46716259,-0.3572907,-2.2057777,-0.42120194,-0.78456566,-0.88020617,-0.83028734,-0.48376265,-0.36920546,-0.90990965,-0.89234619,-0.28629298,-0.50106459,-2.1641738,-0.29135684,-0.22883694,-1.368254,-0.63588709,-0.97652717,-0.57749403,-0.19228714,-0.64157449,-1.3331249,-0.18918247,-1.8179702,-1.8356749,-0.43257594,-0.8293264,-0.9021744,-0.30993321,-1.0487402,-0.71401591,-0.36318044,-0.46736458,-3.3727184,-5.2308609,-0.17701587,-0.21688471,-0.99970022,-0.66116566,-3.3285635,-0.16509131,-0.3179459,-1.0787316,-0.19875347,-0.2831244,-0.38758875,-0.73641741,-1.3871261,-1.1161008,-2.0385567,-0.3632121,-1.1667201,-0.37440848,-0.52422506,-1.0994254,-0.28736814,-0.23553057,-1.2537413,-0.22204716,-1.0083921,-0.41092534,-0.16512472,-0.7385579,-0.27892033,-5.0327693,-0.46716862,-1.5569407,-1.9584563,-0.19126103,-3.6507625,-0.40302531,-0.1839762,-1.5180124,-1.9312894,-0.54518082,-1.6314194,-1.433151,-0.34982821,-0.22557862,-0.17393057,-1.5643414,-0.27806002,-0.62425339,-1.0326187,-0.759939,-0.26266677,-0.4959967,-0.5236825,-0.68101514
