# stan_version_major = 2
# stan_version_minor = 37
# stan_version_patch = 0
# model = rlddm_single_subject_model
# start_datetime = 2025-09-25 03:17:26 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 2000
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.999
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = dense_e
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /Users/jy4657/Desktop/Repositories/tst-stan/recovery_out/tmp_subject_12/tmpfabu7mtq/buy5tylm.json
# init = 2 (Default)
# random
#   seed = 2039
# output
#   file = /Users/jy4657/Desktop/Repositories/tst-stan/cmdstan_tmp/rlddm_single_subject-20250924231726.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.37.0
# stancflags = --filename-in-msg=rlddm_single_subject.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,a,t0,log_scaler,scaler,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46,log_lik.47,log_lik.48,log_lik.49,log_lik.50,log_lik.51,log_lik.52,log_lik.53,log_lik.54,log_lik.55,log_lik.56,log_lik.57,log_lik.58,log_lik.59,log_lik.60,log_lik.61,log_lik.62,log_lik.63,log_lik.64,log_lik.65,log_lik.66,log_lik.67,log_lik.68,log_lik.69,log_lik.70,log_lik.71,log_lik.72,log_lik.73,log_lik.74,log_lik.75,log_lik.76,log_lik.77,log_lik.78,log_lik.79,log_lik.80,log_lik.81,log_lik.82,log_lik.83,log_lik.84,log_lik.85,log_lik.86,log_lik.87,log_lik.88,log_lik.89,log_lik.90,log_lik.91,log_lik.92,log_lik.93,log_lik.94,log_lik.95,log_lik.96,log_lik.97,log_lik.98,log_lik.99,log_lik.100,log_lik.101,log_lik.102,log_lik.103,log_lik.104,log_lik.105,log_lik.106,log_lik.107,log_lik.108,log_lik.109,log_lik.110,log_lik.111,log_lik.112,log_lik.113,log_lik.114,log_lik.115,log_lik.116,log_lik.117,log_lik.118,log_lik.119,log_lik.120,log_lik.121,log_lik.122,log_lik.123,log_lik.124,log_lik.125,log_lik.126,log_lik.127,log_lik.128,log_lik.129,log_lik.130,log_lik.131,log_lik.132,log_lik.133,log_lik.134,log_lik.135,log_lik.136,log_lik.137,log_lik.138,log_lik.139,log_lik.140,log_lik.141,log_lik.142,log_lik.143,log_lik.144,log_lik.145,log_lik.146,log_lik.147,log_lik.148,log_lik.149,log_lik.150,log_lik.151,log_lik.152,log_lik.153,log_lik.154,log_lik.155,log_lik.156,log_lik.157,log_lik.158,log_lik.159,log_lik.160,log_lik.161,log_lik.162,log_lik.163,log_lik.164,log_lik.165,log_lik.166,log_lik.167,log_lik.168,log_lik.169,log_lik.170,log_lik.171,log_lik.172,log_lik.173,log_lik.174,log_lik.175,log_lik.176,log_lik.177,log_lik.178,log_lik.179,log_lik.180,log_lik.181,log_lik.182,log_lik.183,log_lik.184,log_lik.185,log_lik.186,log_lik.187,log_lik.188,log_lik.189,log_lik.190,log_lik.191,log_lik.192,log_lik.193,log_lik.194,log_lik.195,log_lik.196,log_lik.197,log_lik.198,log_lik.199,log_lik.200,log_lik.201,log_lik.202,log_lik.203,log_lik.204,log_lik.205,log_lik.206,log_lik.207,log_lik.208,log_lik.209,log_lik.210,log_lik.211,log_lik.212,log_lik.213,log_lik.214,log_lik.215,log_lik.216,log_lik.217,log_lik.218,log_lik.219,log_lik.220,log_lik.221,log_lik.222,log_lik.223,log_lik.224,log_lik.225,log_lik.226,log_lik.227,log_lik.228,log_lik.229,log_lik.230,log_lik.231,log_lik.232,log_lik.233,log_lik.234,log_lik.235,log_lik.236,log_lik.237,log_lik.238,log_lik.239,log_lik.240,log_lik.241,log_lik.242,log_lik.243,log_lik.244,log_lik.245,log_lik.246,log_lik.247,log_lik.248,log_lik.249,log_lik.250,log_lik.251,log_lik.252,log_lik.253,log_lik.254,log_lik.255,log_lik.256,log_lik.257,log_lik.258,log_lik.259,log_lik.260,log_lik.261,log_lik.262,log_lik.263,log_lik.264,log_lik.265,log_lik.266,log_lik.267,log_lik.268,log_lik.269,log_lik.270,log_lik.271,log_lik.272,log_lik.273,log_lik.274,log_lik.275,log_lik.276,log_lik.277,log_lik.278,log_lik.279,log_lik.280,log_lik.281,log_lik.282,log_lik.283,log_lik.284,log_lik.285,log_lik.286,log_lik.287,log_lik.288,log_lik.289,log_lik.290,log_lik.291,log_lik.292,log_lik.293,log_lik.294,log_lik.295,log_lik.296,log_lik.297,log_lik.298,log_lik.299,log_lik.300
# Adaptation terminated
# Step size = 0.243686
# Elements of inverse mass matrix:
# 0.197222, 0.00361876, -0.00700438, -0.0113782
# 0.00361876, 0.00578569, -0.0181291, 0.00169991
# -0.00700438, -0.0181291, 0.173853, -0.00628041
# -0.0113782, 0.00169991, -0.00628041, 0.0640699
-226.69978,0.98265977,0.24368601,3,15,0,231.29869,0.40534261,1.2915684,0.20236334,-2.9758637,0.051003362,-1.1981234,-0.011712605,-1.7143505,-1.5256959,-0.25112337,-0.40162241,0.096177811,-0.047288223,-3.4322193,-0.3063879,0.050754366,-0.27585786,-0.21139981,0.06378601,-1.0219469,-2.3219665,-1.4118202,-0.010898694,-0.16153898,0.015654915,0.065883401,-0.52654789,-0.44445296,-0.62107902,-0.82783303,-0.93998586,-0.86442063,0.089664437,-3.0947231,0.075420105,-2.0127067,0.025290987,0.0060501628,0.085334503,-1.5052679,0.1040595,-4.9944538,-0.11334623,-0.90568593,-3.0126191,0.05004036,0.10461183,-0.79944885,-0.48759923,-0.089412247,0.085937025,-1.6265319,-3.4437481,0.015173611,-2.0102773,-0.24898562,-1.3173566,-0.93794032,-0.041906837,-2.0703278,-0.67321832,-0.73496048,-1.8735824,-2.114815,-1.490995,-0.048231523,-1.2361976,-1.401389,0.11179557,-2.3636882,-0.3156163,-0.86675701,-0.86382366,-3.2637104,-0.069899524,-1.1391947,-0.66888068,0.059090965,-0.15598231,-0.093244344,-0.18034933,-1.4293009,-1.0900491,-0.87680642,-0.17328817,-0.57420362,-0.048035383,0.028073613,-2.6138811,-1.2480654,-0.23844304,0.032514031,-0.021813585,0.093894928,-0.047194495,-1.8079988,-0.091711233,-1.7408976,-1.8522083,-0.67921789,-0.38195195,-0.079294464,-0.054708442,-3.0038386,0.027463319,-0.99173193,-0.63546631,0.11568997,-0.64745842,-0.59903384,-1.3463272,0.071628662,-0.05484899,-0.69047696,-0.62312294,-0.39782034,-0.18934777,-0.40209526,-0.64089596,-3.0847252,0.049711058,-0.52110399,-0.97512668,0.11832926,-0.10114949,0.04168304,-0.89079824,-0.29368018,-0.086588801,-1.475028,-1.9643655,-2.9739993,-1.6215953,-0.88022672,-0.0094856589,-0.11043654,0.097002879,-0.17044142,-0.33808712,-1.0116054,0.094814823,-0.49284773,-0.90901333,0.078572127,-0.46781935,0.0919879,-0.02601201,-0.73377052,-0.43215434,-0.42337081,0.11381346,0.086982202,-1.491499,-0.32789269,-1.3573665,-3.2194201,0.082818885,0.070912752,-0.36920705,-0.21588732,-1.6175246,0.017035044,0.058732228,-0.27997677,-0.34243437,-0.2394439,-0.15498719,-1.721491,0.11019219,-0.32554015,-1.0857449,-0.19422509,-0.42217803,-0.26039218,-1.673599,0.066119458,-1.8414853,-1.7055877,0.096493277,0.11425702,-0.62045169,-3.2441087,0.088853603,-0.070359021,-0.16488166,0.046006675,-0.87909171,-0.17663405,0.076360843,0.011680578,0.038578005,-0.75008286,-0.031826765,-0.26730338,-0.027453547,-1.2864419,-0.080422057,-1.2855845,-0.84241846,-0.36744655,-0.4832461,-0.29950162,-0.7704017,0.0043587765,0.08174862,-0.09092397,0.01209853,-2.6217442,0.0753522,-0.31041298,0.056593842,-0.30796267,-0.56083747,-0.28661525,-0.63942696,-0.82150181,-0.33091122,-0.7676333,-0.55458449,-1.0554945,-1.4677074,0.066284313,0.090658027,-0.077391402,-0.38100852,-0.39919541,0.093836265,-1.1518702,-1.3356568,-1.6004559,-0.85617887,-0.65366361,-0.80412151,0.09002476,-0.14952565,-2.4038298,-0.34535996,-1.1122721,-2.0049639,-1.0710317,-0.99458501,0.099120489,0.049220263,-1.3253059,0.089150572,-2.4942638,0.040762593,-3.3043947,-0.6875523,0.033246561,-0.80716291,-0.27613629,-0.59612712,-1.067929,-0.83688459,-0.15963432,0.09992894,-0.15795894,0.10293751,-2.2762959,0.05606059,0.093289396,0.041336128,-0.33008675,-3.0329491,-0.44778089,-0.13658349,-1.4182269,-0.34126726,-0.74839371,0.11274771,0.078565377,-0.4421633,-2.7471332,-0.020579027,0.0016165894,0.04270328,-0.73734844,-0.067639689,-2.7633286,-4.6744221,-0.89516587,-0.82057008,-0.53510943,-1.1106777,-1.4641815,-1.2895805,-0.61344449,0.094142761,-0.0098936602,-0.44043892,-2.9885457,-1.3127737,0.026472758,0.091368125,-0.30408615,-4.0095914,0.063671482,0.10703051,-1.6376963,-0.50500879,-0.34478988,0.040847526,-0.71503377,-0.16909488
-228.06326,0.98740125,0.24368601,3,15,0,228.60253,0.28062322,1.2716968,0.20746496,-3.1112147,0.044546812,-1.2092194,0.01587454,-1.7327033,-1.5545325,-0.23206894,-0.38616091,0.12812282,-0.021047906,-3.530248,-0.28917039,0.07522784,-0.30864351,-0.19696359,0.091727784,-1.0258725,-2.3727929,-1.4288043,0.010778131,-0.16855813,0.037598194,0.094080102,-0.51560181,-0.43574334,-0.61906302,-0.82200572,-0.94851931,-0.86635633,0.12335269,-3.2427478,0.10449128,-2.037565,0.049430995,0.023022913,0.11857339,-1.5335869,0.13484594,-4.944149,-0.09166685,-0.90658021,-3.062352,0.085930841,0.13412405,-0.80171378,-0.55378271,-0.081380475,0.11897033,-1.6431745,-3.5542926,0.041868021,-2.0592333,-0.2293648,-1.3403295,-0.9414684,-0.031254558,-2.092102,-0.7805819,-0.72638806,-1.8839835,-2.1272458,-1.5069253,-0.031523692,-1.2370833,-1.4333908,0.13722522,-2.4078843,-0.29430628,-0.86790602,-0.86704774,-3.386886,-0.042952353,-1.3557271,-0.66506606,0.079267315,-0.13343435,-0.092310789,-0.16083811,-1.447041,-1.1080896,-0.87883005,-0.15344569,-0.56233973,-0.015560841,0.050870594,-2.6283561,-1.2573674,-0.22086016,0.061837683,-0.015168441,0.131406,-0.029443236,-1.8697911,-0.099786151,-1.7958529,-1.8493291,-0.67839141,-0.35980705,-0.051814195,-0.028231072,-3.0709504,0.047717711,-0.99636809,-0.73723492,0.14133764,-0.64301059,-0.59280257,-1.3667634,0.10526871,-0.02863622,-0.68120209,-0.60825183,-0.38144184,-0.16479791,-0.38004272,-0.6231142,-3.0581574,0.089569527,-0.4994315,-0.98507411,0.14609363,-0.078057656,0.061695701,-0.8907554,-0.27066287,-0.061987672,-1.5029755,-1.9938612,-3.0773854,-1.6465906,-0.87953148,0.018378089,-0.08659217,0.12849565,-0.14913551,-0.32116741,-1.0150523,0.12142234,-0.47964982,-0.90439904,0.10938222,-0.45596168,0.1249676,-0.0011252177,-0.72760722,-0.42126042,-0.41218867,0.14328519,0.12275345,-1.5137253,-0.31032053,-1.3636618,-3.2038495,0.12142393,0.10517629,-0.3459521,-0.19750698,-1.6349265,0.041288651,0.096107345,-0.25356884,-0.32869207,-0.22323478,-0.13328425,-1.74774,0.14049581,-0.3097915,-1.093962,-0.17287281,-0.40224726,-0.23259121,-1.7103569,0.097951369,-1.8873471,-1.7377718,0.11935041,0.14193149,-0.60522246,-3.3438447,0.11929458,-0.04357851,-0.1764615,0.072296922,-0.88034753,-0.19135308,0.10676326,0.037731165,0.071294384,-0.74915363,-0.010514138,-0.29209774,0.0024416544,-1.3076649,-0.053560146,-1.3013202,-0.84716869,-0.3515777,-0.46825576,-0.33041368,-0.76839849,0.02789566,0.1174454,-0.061565006,0.047097389,-2.6268617,0.10555313,-0.33877645,0.075093053,-0.29212887,-0.56017724,-0.27622357,-0.63588905,-0.82409649,-0.31159086,-0.76613273,-0.62768486,-1.0628442,-1.4960061,0.096294509,0.1245302,-0.052074365,-0.36792444,-0.38261003,0.12310175,-1.1653163,-1.3429327,-1.6258722,-0.85099867,-0.64744684,-0.92946016,0.12188144,-0.12933973,-2.4670447,-0.32629673,-1.1154691,-2.0437799,-1.071656,-0.9996229,0.13188597,0.068401396,-1.3422025,0.12186013,-2.5698753,0.070341648,-3.3979032,-0.67530272,0.062909725,-0.81090351,-0.30718834,-0.69042943,-1.0626853,-0.84714784,-0.15551029,0.11925492,-0.13760716,0.13774623,-2.2860291,0.078937769,0.12590203,0.068428226,-0.30700595,-3.0325986,-0.43336334,-0.13607381,-1.4316979,-0.3738735,-0.74480922,0.14429323,0.11210222,-0.4244652,-2.8292995,0.0083389421,0.032367674,0.078589906,-0.72358683,-0.044463388,-2.8756786,-4.9121036,-0.90129687,-0.82931011,-0.61792854,-1.1311309,-1.4770815,-1.297996,-0.60705441,0.1201633,0.01153368,-0.42976927,-3.055244,-1.3263056,0.060673367,0.12812058,-0.28950136,-4.1430295,0.093728218,0.13065398,-1.680511,-0.49080294,-0.32563062,0.069150121,-0.70727788,-0.1793254
-228.77599,0.98295799,0.24368601,4,15,0,230.87075,0.31092969,1.2936559,0.20468052,-2.388508,0.091766499,-1.188616,-0.0076208561,-1.711512,-1.5084803,-0.24488736,-0.39739403,0.087020534,-0.042643708,-3.374425,-0.29989725,0.055008257,-0.32598452,-0.20016432,0.069114786,-1.0149988,-2.2926286,-1.4041688,-0.034800349,-0.20164477,-0.0071182345,0.064939799,-0.52400321,-0.43783965,-0.60826381,-0.82607796,-0.92448882,-0.85863911,0.081883286,-3.0339929,0.06368023,-2.0057339,0.032472932,-0.015017823,0.081586203,-1.4973255,0.10577139,-4.7874839,-0.11034634,-0.90222113,-2.9931698,0.049583073,0.10258295,-0.79207796,-0.56200353,-0.12472857,0.088709116,-1.6137521,-3.4216255,0.018854077,-1.988215,-0.24286794,-1.3033716,-0.9335597,-0.065417839,-2.0668469,-0.77026417,-0.72954315,-1.8802091,-2.1255966,-1.485888,-0.077997921,-1.2358968,-1.3756415,0.11786116,-2.3747407,-0.31534042,-0.86221015,-0.85460979,-3.2052689,-0.070182949,-1.2935004,-0.65478596,0.042995025,-0.14608936,-0.11966244,-0.16632919,-1.4069424,-1.0835204,-0.87419954,-0.16086712,-0.57771683,-0.054366461,0.043884317,-2.707496,-1.2576404,-0.22159889,0.028119836,-0.049457746,0.091263707,-0.074271877,-1.777948,-0.11819598,-1.7028828,-1.8893023,-0.66147472,-0.38531496,-0.079640474,-0.051592399,-2.9716616,0.008453727,-0.98050483,-0.7289416,0.11673335,-0.64493005,-0.58314823,-1.3155171,0.052397749,-0.058169959,-0.69584942,-0.62819587,-0.39862889,-0.18934798,-0.40399304,-0.64618786,-3.2072401,0.038750846,-0.52832354,-0.95329492,0.12522987,-0.088789177,0.031788635,-0.89320624,-0.28346034,-0.087246073,-1.4700106,-1.9693273,-2.8926625,-1.6009616,-0.87086559,-0.002737726,-0.10065437,0.10256069,-0.16819223,-0.32669748,-0.99398866,0.10411076,-0.49348122,-0.89700845,0.085346611,-0.45461893,0.080610149,-0.013006597,-0.73758489,-0.41583256,-0.40711561,0.11964004,0.073965432,-1.4675744,-0.3270404,-1.3405274,-3.1966883,0.079987162,0.071369459,-0.36707396,-0.2087879,-1.609115,0.023617486,0.053753879,-0.28228864,-0.33109346,-0.22580175,-0.1454928,-1.7227964,0.11248946,-0.31255529,-1.0628608,-0.19809323,-0.40937045,-0.25279903,-1.6516752,0.06975431,-1.8408121,-1.684603,0.093240619,0.11844648,-0.62251855,-3.151564,0.076160368,-0.071276063,-0.19891365,0.045924334,-0.86237671,-0.21218387,0.072874147,0.013374295,0.041105969,-0.74364352,-0.025205853,-0.31720588,-0.027965196,-1.2609626,-0.070346781,-1.2623723,-0.8382944,-0.36575874,-0.4710161,-0.34815115,-0.76734488,0.0075256509,0.082703898,-0.085085032,0.013078702,-2.6477518,0.06279064,-0.36606282,0.044057459,-0.29285842,-0.54679921,-0.27427078,-0.62745604,-0.80834926,-0.32390224,-0.75632492,-0.63845952,-1.044044,-1.4536851,0.068908504,0.081391524,-0.073095512,-0.37205095,-0.3971542,0.098481645,-1.1345161,-1.3230393,-1.5982779,-0.85595352,-0.64226553,-0.91787061,0.091732501,-0.14295881,-2.3850365,-0.34089647,-1.1067272,-1.9924743,-1.0670445,-0.986869,0.093779811,0.035035752,-1.3120934,0.087185463,-2.4760847,0.045481855,-3.2230811,-0.68837335,0.032577458,-0.79121941,-0.32371634,-0.67888052,-1.0772971,-0.81231579,-0.20992958,0.1035518,-0.14130669,0.1086125,-2.242252,0.037329035,0.081971841,0.018287428,-0.33552501,-3.1895911,-0.45127383,-0.1826459,-1.4396816,-0.4122718,-0.72743192,0.11957731,0.058971896,-0.45064682,-2.8165963,-0.026075702,0.010707264,0.047630341,-0.72964023,-0.065287425,-2.7531949,-4.7651896,-0.88594663,-0.80684507,-0.61428267,-1.0945539,-1.459313,-1.2820251,-0.60486586,0.088147964,0.0001367022,-0.4294173,-2.9577557,-1.3097742,0.028861193,0.086214145,-0.29633543,-4.0041274,0.063680263,0.10209108,-1.6161593,-0.50064139,-0.33956792,0.046095965,-0.7062216,-0.20598333
