# stan_version_major = 2
# stan_version_minor = 37
# stan_version_patch = 0
# model = rlddm_single_subject_model
# start_datetime = 2025-09-25 03:17:28 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 2000
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.999
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = dense_e
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /Users/jy4657/Desktop/Repositories/tst-stan/recovery_out/tmp_subject_13/tmp64xxfq6o/_mjmyfp5.json
# init = 2 (Default)
# random
#   seed = 2040
# output
#   file = /Users/jy4657/Desktop/Repositories/tst-stan/cmdstan_tmp/rlddm_single_subject-20250924231728.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.37.0
# stancflags = --filename-in-msg=rlddm_single_subject.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,a,t0,log_scaler,scaler,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46,log_lik.47,log_lik.48,log_lik.49,log_lik.50,log_lik.51,log_lik.52,log_lik.53,log_lik.54,log_lik.55,log_lik.56,log_lik.57,log_lik.58,log_lik.59,log_lik.60,log_lik.61,log_lik.62,log_lik.63,log_lik.64,log_lik.65,log_lik.66,log_lik.67,log_lik.68,log_lik.69,log_lik.70,log_lik.71,log_lik.72,log_lik.73,log_lik.74,log_lik.75,log_lik.76,log_lik.77,log_lik.78,log_lik.79,log_lik.80,log_lik.81,log_lik.82,log_lik.83,log_lik.84,log_lik.85,log_lik.86,log_lik.87,log_lik.88,log_lik.89,log_lik.90,log_lik.91,log_lik.92,log_lik.93,log_lik.94,log_lik.95,log_lik.96,log_lik.97,log_lik.98,log_lik.99,log_lik.100,log_lik.101,log_lik.102,log_lik.103,log_lik.104,log_lik.105,log_lik.106,log_lik.107,log_lik.108,log_lik.109,log_lik.110,log_lik.111,log_lik.112,log_lik.113,log_lik.114,log_lik.115,log_lik.116,log_lik.117,log_lik.118,log_lik.119,log_lik.120,log_lik.121,log_lik.122,log_lik.123,log_lik.124,log_lik.125,log_lik.126,log_lik.127,log_lik.128,log_lik.129,log_lik.130,log_lik.131,log_lik.132,log_lik.133,log_lik.134,log_lik.135,log_lik.136,log_lik.137,log_lik.138,log_lik.139,log_lik.140,log_lik.141,log_lik.142,log_lik.143,log_lik.144,log_lik.145,log_lik.146,log_lik.147,log_lik.148,log_lik.149,log_lik.150,log_lik.151,log_lik.152,log_lik.153,log_lik.154,log_lik.155,log_lik.156,log_lik.157,log_lik.158,log_lik.159,log_lik.160,log_lik.161,log_lik.162,log_lik.163,log_lik.164,log_lik.165,log_lik.166,log_lik.167,log_lik.168,log_lik.169,log_lik.170,log_lik.171,log_lik.172,log_lik.173,log_lik.174,log_lik.175,log_lik.176,log_lik.177,log_lik.178,log_lik.179,log_lik.180,log_lik.181,log_lik.182,log_lik.183,log_lik.184,log_lik.185,log_lik.186,log_lik.187,log_lik.188,log_lik.189,log_lik.190,log_lik.191,log_lik.192,log_lik.193,log_lik.194,log_lik.195,log_lik.196,log_lik.197,log_lik.198,log_lik.199,log_lik.200,log_lik.201,log_lik.202,log_lik.203,log_lik.204,log_lik.205,log_lik.206,log_lik.207,log_lik.208,log_lik.209,log_lik.210,log_lik.211,log_lik.212,log_lik.213,log_lik.214,log_lik.215,log_lik.216,log_lik.217,log_lik.218,log_lik.219,log_lik.220,log_lik.221,log_lik.222,log_lik.223,log_lik.224,log_lik.225,log_lik.226,log_lik.227,log_lik.228,log_lik.229,log_lik.230,log_lik.231,log_lik.232,log_lik.233,log_lik.234,log_lik.235,log_lik.236,log_lik.237,log_lik.238,log_lik.239,log_lik.240,log_lik.241,log_lik.242,log_lik.243,log_lik.244,log_lik.245,log_lik.246,log_lik.247,log_lik.248,log_lik.249,log_lik.250,log_lik.251,log_lik.252,log_lik.253,log_lik.254,log_lik.255,log_lik.256,log_lik.257,log_lik.258,log_lik.259,log_lik.260,log_lik.261,log_lik.262,log_lik.263,log_lik.264,log_lik.265,log_lik.266,log_lik.267,log_lik.268,log_lik.269,log_lik.270,log_lik.271,log_lik.272,log_lik.273,log_lik.274,log_lik.275,log_lik.276,log_lik.277,log_lik.278,log_lik.279,log_lik.280,log_lik.281,log_lik.282,log_lik.283,log_lik.284,log_lik.285,log_lik.286,log_lik.287,log_lik.288,log_lik.289,log_lik.290,log_lik.291,log_lik.292,log_lik.293,log_lik.294,log_lik.295,log_lik.296,log_lik.297,log_lik.298,log_lik.299,log_lik.300
# Adaptation terminated
# Step size = 0.152856
# Elements of inverse mass matrix:
# 0.423824, -0.00144264, 0.0275964, -0.00993128
# -0.00144264, 0.00476915, -0.0256061, 0.00112631
# 0.0275964, -0.0256061, 1.26511, -0.00246109
# -0.00993128, 0.00112631, -0.00246109, 0.0510263
-155.38499,0.99222799,0.15285624,4,15,0,156.61926,0.27412095,1.1943906,0.32670919,-2.8780173,0.056246169,-0.17798896,0.10339936,-0.98458054,-1.6472766,-0.24138482,0.094068461,-0.045939803,-1.8028392,-2.8572898,-1.1992272,-1.1309178,-4.1906311,0.25211427,0.053843509,-1.0353649,0.0081606006,0.092635756,-2.515752,0.23162425,-0.28049662,0.26212709,0.24664031,-0.57823895,0.087054467,-0.99988063,-1.1396554,-0.17513197,-0.88517234,0.27777908,0.25540272,0.12915294,-1.4212658,-0.26900695,-0.76619178,-0.56432594,0.016904607,0.2271136,-0.015129391,-0.16870235,-0.14362609,0.074311519,0.25372598,-1.1126663,-0.28075936,-0.47530789,0.075205092,0.18332401,0.14221498,0.19166973,0.03682035,-0.53379183,-0.681587,-0.41814974,0.22104548,-0.43278594,-0.99989797,0.25213111,-0.76047942,-0.52147531,-1.3594009,-1.0338682,0.16321791,0.071660237,0.06632122,0.046940127,-1.2615889,0.062242434,0.12285337,-0.15158614,-1.205449,0.16654183,-0.37709949,-0.13535537,-0.33170713,0.21600859,0.17266339,-0.13830609,0.25991543,-0.52888856,-1.2821147,-0.31245757,0.23303412,-0.24616407,-0.028975645,0.012763195,0.22014372,-0.35459894,-2.0966386,-1.9335272,-0.18442929,0.11951669,-0.91167533,0.25310952,-0.094594252,-0.58688137,-1.1650017,-0.53131105,-1.504382,-4.4488872,0.1940086,-0.007857235,-0.40997406,0.17997261,0.014453187,0.2022332,-0.18335186,-0.2786156,-0.088392759,0.24086708,-0.23251645,0.23572422,-0.086246859,-0.20266215,-0.8659849,-1.6002012,0.14942582,0.27519534,0.23179959,-0.57228713,-1.0915188,0.19822769,0.1006389,0.0037446432,-0.80851032,0.0017014608,-1.2661505,-0.21646283,-0.80351714,0.007411304,0.11497891,-0.82148738,-1.3444659,-1.6943134,-0.99302937,0.27101304,0.17654022,-0.79314015,-0.23527826,0.27765469,0.2323484,-1.0700237,0.24085898,-0.49415044,0.18464397,-0.314946,-1.6289249,-0.55118347,-0.23841981,-2.0892695,-0.20822073,-2.0434137,-0.34365201,0.03823516,0.099215694,-1.2205124,-1.2556586,-1.2253348,0.20966698,0.25913518,-3.5655533,-0.25439874,-0.51808216,-0.36661798,-1.9773734,-0.15983461,-0.90334416,0.068983813,-0.24659005,-0.12680424,-0.020788024,-0.058106503,0.25723936,0.27551643,0.049413143,0.2772166,0.16335181,0.048478775,0.15343567,-0.85078389,0.12822744,0.095127547,-1.8540744,-1.7902176,0.18945638,-0.14338163,-0.053227916,-0.070089788,0.05479571,-1.181798,-0.98662301,-0.66383161,-0.68633991,-0.2945508,-0.54710185,-0.1001571,-0.16792568,-0.39780082,0.069615215,0.26413607,-1.8103201,-1.2456815,-3.5649023,-1.3927902,-0.24468209,-0.24473598,-0.42664672,-0.11314717,-1.5689667,-0.059384246,-0.34420656,0.061296394,0.14985816,-0.60862949,0.067312949,-2.0815261,-1.2044043,0.085346131,-1.5739346,0.22972452,-0.88895307,-0.10498287,-0.26378006,0.27234218,-0.072646829,0.13328527,-0.017069494,-0.92561122,-0.14988142,-0.40869529,-1.4833983,-0.8860773,-0.64198027,-1.2808389,-0.15100842,-1.9088197,-0.1716178,0.2597349,-2.2977178,-0.23905557,-1.1689684,-0.066940753,-0.18101381,0.12720519,0.16492573,0.25080536,0.24314116,-3.7364998,-1.6568731,0.21339642,-0.26381384,0.27533311,0.25505968,0.21472996,0.14474139,0.16190807,-1.5646421,-0.34294193,-0.73572777,0.21993441,-0.20613976,-1.0638676,-0.10134245,-0.31194962,-0.078288016,-0.011573384,-2.0265454,-0.49531413,-0.087997765,-0.23164015,-2.210631,0.26040732,-0.46116334,0.19558053,-0.21362119,0.2620234,0.013142804,0.19275321,-1.1390514,-0.056394438,-0.32728758,0.10597196,0.19251469,0.27155794,0.21199691,-0.0079116159,0.15964293,-2.4681577,0.14608622,-2.6550147,-1.9255852,-1.6462711,-0.19777458,0.21164493,-0.52056789,0.24155702,0.23608907,-0.10348303,-2.6544729,-0.10466826,-0.028926946
-155.34138,0.99976308,0.15285624,5,31,0,156.41649,0.61255225,1.1610806,0.3282029,-3.1477431,0.04294895,-0.1717395,0.12963405,-1.0326009,-1.7131856,-0.24230354,0.17594132,0.051949497,-1.891165,-3.1402672,-1.2736424,-1.1969401,-4.0474121,0.31061076,0.084091347,-1.0846256,0.028676151,0.1151909,-2.7022345,0.29288387,-0.27900517,0.33023333,0.3083341,-0.58904157,0.11083793,-1.0523657,-1.1765419,-0.1759882,-0.9232131,0.33108958,0.29364917,0.14958122,-1.4915905,-0.26734036,-0.80447989,-0.59089298,0.037091668,0.27658179,0.00042887499,-0.16838121,-0.12233124,0.091391289,0.29356986,-1.1600678,-0.28875114,-0.47938386,0.092778248,0.26471398,0.17148415,0.2384544,0.052659938,-0.54401101,-0.71649074,-0.41793369,0.29616528,-0.33161892,-1.0557117,0.30013793,-0.79341923,-0.53033063,-1.428697,-1.0744477,0.19394995,0.093772506,0.082363827,0.070305015,-1.3173161,0.082861718,0.15874693,-0.13576479,-1.2431992,0.2498164,-0.26973195,-0.12609241,-0.35102456,0.26286595,0.24574933,-0.12768494,0.3055898,-0.54776153,-1.3500962,-0.31628757,0.29427203,-0.24302521,-0.013601752,0.10617385,0.25875634,-0.36555654,-2.2030726,-2.032926,-0.18073068,0.20179242,-0.94790762,0.30962748,-0.082418427,-0.6052978,-1.2145607,-0.55717991,-1.6063321,-4.6915535,0.23991693,0.02075431,-0.42083774,0.25628987,0.034416857,0.27441381,-0.18233387,-0.28399891,-0.073135743,0.29465852,-0.23270659,0.28272157,-0.075491951,-0.19963408,-0.89288304,-1.6639465,0.17770796,0.33138027,0.27515804,-0.58425057,-1.130303,0.2335643,0.13270382,0.015594787,-0.83850513,0.020639688,-1.320091,-0.21134463,-0.83552787,0.098038286,0.13725783,-0.85868858,-1.4399358,-1.8243908,-1.0095311,0.3082858,0.19881878,-0.82076052,-0.22970901,0.33117245,0.29370856,-1.1303136,0.29693961,-0.50659404,0.26435519,-0.3155067,-1.7247681,-0.55904872,-0.22826158,-2.2815324,-0.19619583,-2.1702222,-0.34057522,0.14102131,0.13176927,-1.2863607,-1.3195223,-1.2731918,0.24055387,0.30921128,-3.7531608,-0.25826764,-0.53806812,-0.37545659,-2.0464026,-0.15396214,-0.94261274,0.094531386,-0.24329867,-0.11487965,-0.013948642,-0.040055408,0.297462,0.32218263,0.061625111,0.3264815,0.20011496,0.073716648,0.23305919,-0.89724152,0.2107902,0.11801383,-1.940513,-1.9325611,0.24016698,-0.14952034,0.054183371,-0.041943459,0.091933437,-1.2664173,-1.0499328,-0.70303823,-0.69292518,-0.30854768,-0.56613331,-0.091191617,-0.16314925,-0.40288757,0.084748738,0.30354807,-1.8309342,-1.2779633,-3.7540331,-1.434125,-0.25176724,-0.25007105,-0.44156706,-0.011894855,-1.6552011,-0.041685544,-0.33632065,0.086427513,0.17993117,-0.62745946,0.089722804,-2.2286829,-1.2391075,0.10911888,-1.6449088,0.27275207,-0.92494516,-0.095039086,-0.25643917,0.32932238,-0.062686125,0.20907741,0.081011309,-0.81778937,-0.13945397,-0.41281433,-1.5823609,-0.93943793,-0.66575071,-1.3526182,-0.14140453,-1.9975121,-0.16333703,0.32599944,-2.413361,-0.22584281,-1.2413168,0.037788623,-0.16597729,0.16443446,0.2498741,0.31350286,0.28518019,-3.8313268,-1.7550343,0.25037923,-0.262808,0.33799638,0.32357346,0.25327516,0.17309578,0.23803019,-1.641003,-0.23542836,-0.76051196,0.28578883,-0.10286613,-1.1333575,-0.10358015,-0.32820556,-0.058127814,0.013382597,-2.1050157,-0.51409524,-0.07083677,-0.12624784,-2.3173053,0.31616189,-0.45685697,0.21882773,-0.19685297,0.31688982,0.044401894,0.2354969,-1.2121776,0.039901944,-0.22044523,0.18776298,0.26343596,0.3171274,0.25825777,0.014376169,0.20580695,-2.5064495,0.23571076,-2.905506,-2.0182908,-1.7313729,-0.19086285,0.27979909,-0.41873629,0.3062196,0.29776298,-0.097455639,-2.7784083,-0.097295825,-0.0081895698
-156.03041,0.99778069,0.15285624,4,15,0,156.37009,0.64376474,1.1482416,0.32843641,-3.1654811,0.042193839,-0.17135243,0.13808609,-1.0523788,-1.7458122,-0.24365899,0.21146516,0.094222369,-1.929234,-3.2327807,-1.3004912,-1.2214699,-4.0573564,0.3327838,0.091638407,-1.1052223,0.034419093,0.12264332,-2.771235,0.3175565,-0.28133997,0.35515953,0.33081693,-0.59719658,0.11796516,-1.0730468,-1.197651,-0.17623459,-0.94050004,0.35005653,0.30894486,0.15806296,-1.5227906,-0.26902206,-0.81959855,-0.60082739,0.043127799,0.29296791,0.0047432073,-0.16856582,-0.1200288,0.098169082,0.30982144,-1.1796813,-0.29099976,-0.48643396,0.10067946,0.29501862,0.18098401,0.25121071,0.059013087,-0.55248202,-0.72890953,-0.42313651,0.32516482,-0.27777121,-1.075882,0.31549499,-0.8083087,-0.53709277,-1.4576576,-1.0942073,0.2038473,0.100342,0.088459628,0.077551732,-1.3419426,0.089208498,0.1690879,-0.13372917,-1.2658118,0.28135414,-0.21724521,-0.1244408,-0.35563531,0.27711064,0.27742455,-0.12606112,0.32324877,-0.55638679,-1.3780674,-0.31914677,0.31860614,-0.24452005,-0.0089094841,0.14646564,0.27181212,-0.36991421,-2.2483183,-2.0753157,-0.18082688,0.23640796,-0.9649858,0.3270686,-0.08029364,-0.61530519,-1.2371049,-0.56667896,-1.6416717,-4.7870321,0.25354076,0.026498193,-0.4260982,0.28730016,0.040327452,0.30370399,-0.18213187,-0.28591369,-0.070897389,0.31635729,-0.23328092,0.30113128,-0.072156794,-0.19938667,-0.90806512,-1.6943878,0.18852728,0.35073168,0.28901611,-0.59250329,-1.1504253,0.24524839,0.14205146,0.019870694,-0.8530582,0.026650533,-1.3448428,-0.21124648,-0.85054578,0.13841833,0.14462213,-0.87449797,-1.4706625,-1.8645339,-1.0268389,0.32586617,0.20944676,-0.83571371,-0.23064695,0.35209968,0.31701806,-1.1524065,0.31541531,-0.51422035,0.29634436,-0.3185645,-1.7606478,-0.56665026,-0.22832552,-2.3394255,-0.19596042,-2.215832,-0.34385072,0.18031214,0.14059799,-1.3114578,-1.3473184,-1.2978676,0.25376852,0.32839535,-3.826227,-0.26014454,-0.54634203,-0.37972977,-2.0835815,-0.15237268,-0.95941995,0.10315196,-0.24363954,-0.11205752,-0.01085633,-0.035723189,0.31268063,0.34202207,0.067075115,0.34523021,0.21217547,0.081082841,0.26456998,-0.91432933,0.24583759,0.12514795,-1.9767269,-1.9754029,0.25406514,-0.14939392,0.096472225,-0.037601793,0.099973789,-1.2924109,-1.0701917,-0.71531299,-0.70386277,-0.31177505,-0.57450765,-0.089376334,-0.16300978,-0.40755221,0.091162158,0.32016347,-1.8614444,-1.301275,-3.8725602,-1.4614132,-0.25332835,-0.25132867,-0.4470537,0.032331821,-1.6881514,-0.038088335,-0.33939349,0.092729339,0.19114934,-0.63839679,0.097439762,-2.2830085,-1.260441,0.11705782,-1.6778778,0.2880549,-0.94165166,-0.092913293,-0.25784146,0.34822715,-0.058871261,0.24206719,0.12235214,-0.75242991,-0.13902127,-0.41848946,-1.6163228,-0.95813158,-0.67692978,-1.3807723,-0.13969466,-2.0353281,-0.16216429,0.3516488,-2.4565667,-0.2255531,-1.2670285,0.080696346,-0.16507261,0.17448961,0.28155599,0.3343607,0.30017876,-3.9148662,-1.7913956,0.26299785,-0.26400153,0.36021227,0.34961879,0.26542972,0.18184697,0.26900592,-1.6747551,-0.18397037,-0.77286459,0.31106668,-0.055574406,-1.1566475,-0.10277446,-0.33270073,-0.05423469,0.019193653,-2.1511832,-0.52205364,-0.066949853,-0.078213533,-2.3697824,0.34065211,-0.46187073,0.22941368,-0.19581686,0.34125183,0.051514912,0.24963036,-1.237314,0.081627001,-0.1688308,0.22215794,0.29198008,0.33342054,0.27471581,0.020686085,0.21860351,-2.5534622,0.26851834,-2.9729614,-2.0634943,-1.7685917,-0.1901014,0.30621323,-0.36264634,0.32789347,0.32032066,-0.095913948,-2.8237706,-0.095863208,-0.0028433541
