# stan_version_major = 2
# stan_version_minor = 37
# stan_version_patch = 0
# model = rlddm_single_subject_model
# start_datetime = 2025-09-25 03:17:36 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 2000
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.999
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = dense_e
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /Users/jy4657/Desktop/Repositories/tst-stan/recovery_out/tmp_subject_16/tmp95nxsi78/goda2_bi.json
# init = 2 (Default)
# random
#   seed = 2043
# output
#   file = /Users/jy4657/Desktop/Repositories/tst-stan/cmdstan_tmp/rlddm_single_subject-20250924231736.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.37.0
# stancflags = --filename-in-msg=rlddm_single_subject.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,a,t0,log_scaler,scaler,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46,log_lik.47,log_lik.48,log_lik.49,log_lik.50,log_lik.51,log_lik.52,log_lik.53,log_lik.54,log_lik.55,log_lik.56,log_lik.57,log_lik.58,log_lik.59,log_lik.60,log_lik.61,log_lik.62,log_lik.63,log_lik.64,log_lik.65,log_lik.66,log_lik.67,log_lik.68,log_lik.69,log_lik.70,log_lik.71,log_lik.72,log_lik.73,log_lik.74,log_lik.75,log_lik.76,log_lik.77,log_lik.78,log_lik.79,log_lik.80,log_lik.81,log_lik.82,log_lik.83,log_lik.84,log_lik.85,log_lik.86,log_lik.87,log_lik.88,log_lik.89,log_lik.90,log_lik.91,log_lik.92,log_lik.93,log_lik.94,log_lik.95,log_lik.96,log_lik.97,log_lik.98,log_lik.99,log_lik.100,log_lik.101,log_lik.102,log_lik.103,log_lik.104,log_lik.105,log_lik.106,log_lik.107,log_lik.108,log_lik.109,log_lik.110,log_lik.111,log_lik.112,log_lik.113,log_lik.114,log_lik.115,log_lik.116,log_lik.117,log_lik.118,log_lik.119,log_lik.120,log_lik.121,log_lik.122,log_lik.123,log_lik.124,log_lik.125,log_lik.126,log_lik.127,log_lik.128,log_lik.129,log_lik.130,log_lik.131,log_lik.132,log_lik.133,log_lik.134,log_lik.135,log_lik.136,log_lik.137,log_lik.138,log_lik.139,log_lik.140,log_lik.141,log_lik.142,log_lik.143,log_lik.144,log_lik.145,log_lik.146,log_lik.147,log_lik.148,log_lik.149,log_lik.150,log_lik.151,log_lik.152,log_lik.153,log_lik.154,log_lik.155,log_lik.156,log_lik.157,log_lik.158,log_lik.159,log_lik.160,log_lik.161,log_lik.162,log_lik.163,log_lik.164,log_lik.165,log_lik.166,log_lik.167,log_lik.168,log_lik.169,log_lik.170,log_lik.171,log_lik.172,log_lik.173,log_lik.174,log_lik.175,log_lik.176,log_lik.177,log_lik.178,log_lik.179,log_lik.180,log_lik.181,log_lik.182,log_lik.183,log_lik.184,log_lik.185,log_lik.186,log_lik.187,log_lik.188,log_lik.189,log_lik.190,log_lik.191,log_lik.192,log_lik.193,log_lik.194,log_lik.195,log_lik.196,log_lik.197,log_lik.198,log_lik.199,log_lik.200,log_lik.201,log_lik.202,log_lik.203,log_lik.204,log_lik.205,log_lik.206,log_lik.207,log_lik.208,log_lik.209,log_lik.210,log_lik.211,log_lik.212,log_lik.213,log_lik.214,log_lik.215,log_lik.216,log_lik.217,log_lik.218,log_lik.219,log_lik.220,log_lik.221,log_lik.222,log_lik.223,log_lik.224,log_lik.225,log_lik.226,log_lik.227,log_lik.228,log_lik.229,log_lik.230,log_lik.231,log_lik.232,log_lik.233,log_lik.234,log_lik.235,log_lik.236,log_lik.237,log_lik.238,log_lik.239,log_lik.240,log_lik.241,log_lik.242,log_lik.243,log_lik.244,log_lik.245,log_lik.246,log_lik.247,log_lik.248,log_lik.249,log_lik.250,log_lik.251,log_lik.252,log_lik.253,log_lik.254,log_lik.255,log_lik.256,log_lik.257,log_lik.258,log_lik.259,log_lik.260,log_lik.261,log_lik.262,log_lik.263,log_lik.264,log_lik.265,log_lik.266,log_lik.267,log_lik.268,log_lik.269,log_lik.270,log_lik.271,log_lik.272,log_lik.273,log_lik.274,log_lik.275,log_lik.276,log_lik.277,log_lik.278,log_lik.279,log_lik.280,log_lik.281,log_lik.282,log_lik.283,log_lik.284,log_lik.285,log_lik.286,log_lik.287,log_lik.288,log_lik.289,log_lik.290,log_lik.291,log_lik.292,log_lik.293,log_lik.294,log_lik.295,log_lik.296,log_lik.297,log_lik.298,log_lik.299,log_lik.300
# Adaptation terminated
# Step size = 0.0636256
# Elements of inverse mass matrix:
# 0.224121, 0.00838111, -0.0275024, -0.0229566
# 0.00838111, 0.00439041, -0.0158661, 0.0090582
# -0.0275024, -0.0158661, 0.240577, -0.0287388
# -0.0229566, 0.0090582, -0.0287388, 0.036297
-240.6879,0.99915946,0.063625617,5,55,0,242.25349,0.07873252,1.3595065,0.25689346,-3.6330512,0.0264354,-0.59866291,-2.4005367,-0.73636961,-2.9336947,-0.049943733,-0.74723961,-0.58084228,-2.1685126,-1.0547886,-0.25110842,-0.022239839,-1.2605677,-0.050022737,-0.03735828,-0.17099979,-0.085620159,-0.18985739,-1.0729623,-0.10947084,-0.39187687,-0.78108975,-0.16173947,-0.52493343,-0.64350803,-1.1986993,-1.5498067,-0.1244643,-0.21875657,-0.66982604,-0.23283401,-1.8526188,-0.042512022,-0.93797617,-0.26015003,-1.1939211,-0.908472,-0.44992057,-0.36580324,-0.065591542,-0.068540167,-0.94749169,-0.048979564,-0.64818202,-0.6745566,-0.28555245,-0.84135902,0.0084583393,-0.093179346,-0.0076505344,-0.65566201,-0.57864327,-0.008248089,-1.5680462,-0.035427797,-0.63919023,-0.044579628,-0.85882482,-0.2026552,-1.3156883,-0.6246774,-2.6182957,-0.13218182,-0.087682218,-0.24758111,-2.467578,-0.84914861,-1.3369312,-0.13774685,-0.38358645,-0.4748505,-0.34399887,-0.26831745,-0.18277247,-1.3664466,-1.9523156,-0.14023665,-0.29189028,-0.075931701,-2.2354171,-0.20627637,-0.33900473,-0.33225372,-0.82381344,-0.7442102,-1.7971895,-0.1878489,-0.09699602,-0.12834663,-0.58238492,-1.1131473,-0.436023,-0.015189445,-0.79226034,-0.49335468,-0.98706009,-0.1512828,-1.0654541,-0.012738411,-0.20504352,-0.46404394,-0.23587794,-1.517861,-0.08729975,-0.067432702,-0.47491429,-0.59234379,-3.6586873,-0.19430728,-0.25048504,-0.3282492,-0.057510102,-0.87093085,-0.23350853,-7.2536192,-0.23808356,-1.3539693,-0.42538336,-0.026156124,-1.3753799,-0.3519029,-0.16501651,-0.45465321,-0.21477814,-0.052432936,-1.1077429,-2.1703767,-0.59134724,-0.43254017,-1.8654975,-0.96651831,-0.47069332,-0.00073586807,-0.078418924,-1.4959312,-0.16325595,0.009154568,-0.075239978,-2.4747783,-0.45703638,-0.18303127,-0.085409281,-0.075896157,-0.20876047,0.010619984,-0.013449156,-0.068060369,-0.19619552,-0.56292902,-0.013568816,-0.067095092,-0.018459787,-0.37510064,-0.0049195114,-0.99941557,-0.20117474,-0.028374699,-0.10323517,-0.40944835,-0.63810001,-0.35898381,0.0037257147,-0.020186287,-1.6387083,-0.70404646,-0.022632978,-0.01215031,-0.030051464,-1.8725509,-0.27505521,-0.1197948,-0.022170488,-0.13728343,-0.82879436,-2.7604105,-0.80539202,-0.064559279,-0.22877731,-0.055759601,-1.2868489,-0.11517859,-0.62535102,-0.5775745,-0.18017853,-0.86481156,-2.3636328,-0.078464333,-0.40759519,-0.42598913,-0.15449525,-4.7106645,-0.042330191,-1.1990732,-2.7830499,-0.38885065,-0.27023538,-1.6035374,-0.33728371,-0.61060578,-0.032863982,-0.1014994,-0.044297301,-0.024486599,-2.9942064,-0.74451973,-0.19333901,-0.58853421,-0.0026416451,-0.59492105,-0.11050618,-2.2287377,-0.8498043,-0.57788498,-1.0668551,-0.89315535,-0.95591472,-4.0841712,-4.1738713,-0.39112957,-0.66005525,-0.830174,-0.12107589,-3.2790861,-0.094015091,-0.95672098,-0.10555625,-0.24282339,-0.70912961,-0.38623996,-0.76217069,-0.39942326,-0.022006586,-0.31378997,-1.9445614,-1.013191,-1.5775276,-0.21449434,-1.4272659,-0.17558692,-0.76628503,-0.9004039,-2.4790988,-0.73148063,-2.0860222,-1.749005,-0.90144971,-0.22790962,-0.11469807,-0.20675376,-0.90978395,-0.43708099,-0.34921392,-0.029741505,-0.59516764,-0.67787999,-0.69221389,-1.2264574,-0.20666571,-0.082306968,-0.36405413,-0.49869236,-0.038590592,-0.077199009,-1.5203742,-0.3249662,-1.2288613,-0.32445613,-2.8434371,-0.36639159,-0.018483567,0.010562026,-0.18601863,-0.26219001,-0.24609753,-0.095807017,-4.1018297,-0.58461423,-2.220568,-0.37339714,-0.13170039,-0.30667242,-0.87149809,-0.31762656,-0.015239708,-0.73744314,-0.13206467,-1.5835261,-0.11822275,-0.049825742,-0.26645256,-1.2655835,-0.019838914,0.010824713,-2.6182451,-1.4133875,-1.9356263,-1.4913877,-0.61300502,-0.14566033,-2.0279991,-3.3646533
-239.10317,0.99920397,0.063625617,6,63,0,241.77304,0.25669038,1.4401921,0.25580789,-3.3668532,0.034498024,-0.59420091,-2.1992122,-0.71364245,-2.6903834,-0.21965627,-0.72571992,-0.58114881,-1.9951294,-0.99898895,-0.48936963,-0.17733156,-1.1846479,-0.13499888,-0.12396064,-0.38592472,-0.27394303,-0.412165,-1.0205387,-0.1796698,-0.41736992,-0.76320327,-0.22511134,-0.51947589,-0.64399276,-1.1152266,-1.4588388,-0.33303573,-0.25336576,-0.66762466,-0.26525372,-1.6862194,-0.14184245,-0.88308641,-0.2867168,-1.1093922,-0.86073591,-0.45480746,-0.3784696,-0.24657856,-0.13469868,-0.89419448,-0.11996391,-0.62713148,-0.67315015,-0.33045089,-0.8198236,-0.11323406,-0.27712622,-0.14222346,-0.64232512,-0.58325062,-0.13205273,-1.4670694,-0.199612,-0.62092376,-0.14142577,-0.83552605,-0.24041977,-1.2219079,-0.60916236,-2.4149896,-0.19576036,-0.15351006,-0.28205553,-2.2706771,-0.82344389,-1.2599389,-0.20467822,-0.65176832,-0.76043978,-0.3689996,-0.30016768,-0.2280017,-1.2728363,-1.8009173,-0.19606428,-0.33054626,-0.25887379,-2.0700936,-0.24287534,-0.60295747,-0.36945625,-0.79053465,-0.71799199,-1.6585668,-0.23785076,-0.16969672,-0.33100528,-0.58446591,-1.0579279,-0.45585363,-0.12832749,-0.77246018,-0.78626147,-0.93328531,-0.21472749,-1.0095266,-0.10739551,-0.24637166,-0.47053877,-0.28244535,-1.4051164,-0.27737982,-0.15093377,-0.75861332,-0.58816108,-3.4068109,-0.24236248,-0.29251184,-0.35477569,-0.22832612,-0.83373043,-0.26968082,-6.2964956,-0.28674241,-1.2644296,-0.43975006,-0.19289656,-1.2912727,-0.61390961,-0.21459942,-0.46182561,-0.26375431,-0.12894471,-1.0415703,-1.9816525,-0.5807222,-0.43994405,-1.7409469,-0.91100292,-0.49081334,-0.13812296,-0.15909605,-1.3859206,-0.20877455,-0.11000123,-0.26064016,-2.2482179,-0.46531512,-0.2262353,-0.16737363,-0.2629312,-0.43034923,-0.10548878,-0.13232268,-0.25132794,-0.23371742,-0.55250955,-0.15986254,-0.13128767,-0.17332472,-0.40383701,-0.15117542,-0.94458268,-0.42917909,-0.18658242,-0.1746881,-0.42281495,-0.95120946,-0.39037605,-0.13277006,-0.132169,-1.5090349,-0.67940569,-0.17958686,-0.15049533,-0.10852146,-1.7133137,-0.32044737,-0.32327982,-0.12979924,-0.34734774,-0.79940413,-2.5250184,-0.77375852,-0.13431263,-0.45849342,-0.13256679,-1.2081363,-0.31355111,-0.61169888,-0.56870157,-0.22294017,-0.82211823,-2.1476504,-0.163538,-0.41588929,-0.43204138,-0.22125412,-4.3257313,-0.21139095,-1.1241873,-2.5390101,-0.41461098,-0.29936058,-1.4782718,-0.35617976,-0.6138836,-0.19519369,-0.15762672,-0.14405485,-0.10412092,-2.767649,-0.71312598,-0.25346455,-0.5746113,-0.14475606,-0.59729451,-0.17856041,-2.0435353,-0.82137759,-0.5798778,-1.01622,-0.84987804,-0.90487761,-3.7033827,-3.8032914,-0.40221913,-0.63986568,-0.8101352,-0.17283095,-2.9521768,-0.17602078,-0.90159318,-0.29616604,-0.27196888,-0.68152467,-0.40118221,-0.73822792,-0.42055178,-0.10819754,-0.3509185,-1.8067215,-0.95460358,-1.4536489,-0.2549187,-1.3281199,-0.23323253,-0.73683401,-0.8548084,-2.2856756,-0.70434239,-1.9335926,-1.6169673,-0.85797475,-0.27330875,-0.18522404,-0.43044439,-0.86396114,-0.44450494,-0.37261034,-0.13006596,-0.59194505,-0.6663013,-0.67360901,-1.1554868,-0.25002478,-0.14919166,-0.62584696,-0.51103638,-0.11662316,-0.14197855,-1.4036737,-0.34464256,-1.6388034,-0.34318866,-2.5630245,-0.38434053,-0.16443384,-0.099195141,-0.4038391,-0.49859378,-0.29051579,-0.15881446,-3.7798084,-0.58257073,-2.0361679,-0.39428175,-0.1977568,-0.34255957,-0.83266337,-0.35432052,-0.10314911,-0.71473532,-0.19061011,-1.467042,-0.18970631,-0.14278805,-0.29636657,-1.1959787,-0.16776853,-0.10956615,-2.3807712,-1.3213693,-1.7899937,-1.3915363,-0.92669783,-0.20291135,-1.8781386,-3.0007197
-237.94774,0.99985407,0.063625617,5,63,0,240.29264,0.16845731,1.3988547,0.26014482,-3.5021064,0.030133843,-0.58519131,-2.2868278,-0.71379418,-2.7984487,-0.14932127,-0.72486948,-0.5696033,-2.0686351,-1.0153743,-0.41767455,-0.1083853,-1.2105169,-0.084883627,-0.073946771,-0.31328346,-0.2003816,-0.33876053,-1.0351122,-0.13530074,-0.39372306,-0.76101873,-0.18339086,-0.51092761,-0.6325866,-1.1444679,-1.4931495,-0.25535792,-0.22527703,-0.65877002,-0.23733502,-1.7546336,-0.085611296,-0.89820819,-0.26238331,-1.1387626,-0.87111862,-0.4398198,-0.36063452,-0.17304456,-0.091907868,-0.90751004,-0.076184497,-0.62583473,-0.66306409,-0.29767784,-0.82086557,-0.051877346,-0.20810896,-0.077100167,-0.63658597,-0.57074359,-0.069229947,-1.5076272,-0.12785582,-0.61789452,-0.086823035,-0.83666836,-0.21048884,-1.2556757,-0.60509436,-2.5058704,-0.15496458,-0.11133791,-0.25417827,-2.3559578,-0.82461823,-1.2862288,-0.16142121,-0.58517508,-0.70302999,-0.34546423,-0.27378313,-0.19535405,-1.3080536,-1.8645423,-0.15833117,-0.30011979,-0.18828958,-2.138648,-0.2146003,-0.53053051,-0.33954468,-0.79585436,-0.7201428,-1.7139689,-0.20341651,-0.12487149,-0.25628112,-0.57233435,-1.0739645,-0.43498038,-0.068079404,-0.77105655,-0.72536357,-0.94834874,-0.17336644,-1.0251746,-0.053997607,-0.21521591,-0.45611886,-0.24875639,-1.4493031,-0.20448035,-0.10117099,-0.70232839,-0.57884046,-3.5201977,-0.20826761,-0.26067666,-0.3307167,-0.15728171,-0.84137655,-0.24162875,-6.5649993,-0.25124869,-1.2978499,-0.42157401,-0.11991369,-1.3217522,-0.54812882,-0.18022871,-0.44773376,-0.2290312,-0.082517206,-1.0628424,-2.0626613,-0.57478452,-0.4251332,-1.789427,-0.9277858,-0.46909959,-0.075196612,-0.11026195,-1.4287944,-0.17617137,-0.049538325,-0.18494802,-2.3482867,-0.45005238,-0.19460472,-0.11749315,-0.18636509,-0.36216969,-0.047070025,-0.069425856,-0.17525058,-0.20479302,-0.54669687,-0.089177415,-0.090744664,-0.10502207,-0.37924142,-0.084344786,-0.95959139,-0.3533336,-0.11495665,-0.13083401,-0.40456412,-0.90772533,-0.36421939,-0.068620695,-0.072068804,-1.5609952,-0.68023351,-0.11230652,-0.082395296,-0.062096751,-1.7800062,-0.28701467,-0.2457935,-0.071688775,-0.27264353,-0.80302306,-2.6293474,-0.77819426,-0.091042032,-0.38614136,-0.085787186,-1.2355312,-0.2420405,-0.6076563,-0.56232442,-0.19165717,-0.83243094,-2.2433826,-0.11240002,-0.40106971,-0.41831732,-0.17776321,-4.5038031,-0.13664976,-1.1496678,-2.647176,-0.39090433,-0.27418644,-1.5289691,-0.33608525,-0.60061911,-0.12164087,-0.12051789,-0.087277925,-0.057597696,-2.867454,-0.71767034,-0.21299439,-0.5705184,-0.08083385,-0.58558534,-0.13647422,-2.125977,-0.82468794,-0.5681809,-1.0303385,-0.85976179,-0.91867179,-3.8761769,-3.9770848,-0.38572815,-0.63870168,-0.80864946,-0.13728658,-3.0990396,-0.12637645,-0.91739625,-0.22727058,-0.24686984,-0.68394556,-0.38241926,-0.73841906,-0.39943272,-0.058282094,-0.32132495,-1.8622713,-0.97262701,-1.503828,-0.22420732,-1.3656749,-0.19445678,-0.74039592,-0.86647456,-2.3680406,-0.7068645,-1.9964008,-1.6708739,-0.86860368,-0.24004784,-0.14031201,-0.36158098,-0.87607045,-0.43028688,-0.35016101,-0.073961425,-0.5825067,-0.66027454,-0.67216887,-1.179836,-0.2185269,-0.10756713,-0.5631716,-0.49284355,-0.070877812,-0.10155208,-1.4513842,-0.32476167,-1.6549997,-0.32365829,-2.691945,-0.36438423,-0.095657679,-0.041443882,-0.33418109,-0.43200017,-0.25779425,-0.1179396,-3.9268467,-0.57253326,-2.1167458,-0.37304853,-0.15469873,-0.31335357,-0.84113936,-0.3245452,-0.053453607,-0.71507813,-0.15172862,-1.5143466,-0.143988,-0.088554693,-0.27134671,-1.2177949,-0.098743897,-0.04879685,-2.4836435,-1.3559473,-1.8513617,-1.4300096,-0.87904797,-0.16440996,-1.9419569,-3.1590827
