# stan_version_major = 2
# stan_version_minor = 37
# stan_version_patch = 0
# model = rlddm_single_subject_model
# start_datetime = 2025-09-25 03:17:40 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 2000
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.999
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = dense_e
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /Users/jy4657/Desktop/Repositories/tst-stan/recovery_out/tmp_subject_18/tmppvau2yg9/f0fwt6oj.json
# init = 2 (Default)
# random
#   seed = 2045
# output
#   file = /Users/jy4657/Desktop/Repositories/tst-stan/cmdstan_tmp/rlddm_single_subject-20250924231740.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.37.0
# stancflags = --filename-in-msg=rlddm_single_subject.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,a,t0,log_scaler,scaler,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46,log_lik.47,log_lik.48,log_lik.49,log_lik.50,log_lik.51,log_lik.52,log_lik.53,log_lik.54,log_lik.55,log_lik.56,log_lik.57,log_lik.58,log_lik.59,log_lik.60,log_lik.61,log_lik.62,log_lik.63,log_lik.64,log_lik.65,log_lik.66,log_lik.67,log_lik.68,log_lik.69,log_lik.70,log_lik.71,log_lik.72,log_lik.73,log_lik.74,log_lik.75,log_lik.76,log_lik.77,log_lik.78,log_lik.79,log_lik.80,log_lik.81,log_lik.82,log_lik.83,log_lik.84,log_lik.85,log_lik.86,log_lik.87,log_lik.88,log_lik.89,log_lik.90,log_lik.91,log_lik.92,log_lik.93,log_lik.94,log_lik.95,log_lik.96,log_lik.97,log_lik.98,log_lik.99,log_lik.100,log_lik.101,log_lik.102,log_lik.103,log_lik.104,log_lik.105,log_lik.106,log_lik.107,log_lik.108,log_lik.109,log_lik.110,log_lik.111,log_lik.112,log_lik.113,log_lik.114,log_lik.115,log_lik.116,log_lik.117,log_lik.118,log_lik.119,log_lik.120,log_lik.121,log_lik.122,log_lik.123,log_lik.124,log_lik.125,log_lik.126,log_lik.127,log_lik.128,log_lik.129,log_lik.130,log_lik.131,log_lik.132,log_lik.133,log_lik.134,log_lik.135,log_lik.136,log_lik.137,log_lik.138,log_lik.139,log_lik.140,log_lik.141,log_lik.142,log_lik.143,log_lik.144,log_lik.145,log_lik.146,log_lik.147,log_lik.148,log_lik.149,log_lik.150,log_lik.151,log_lik.152,log_lik.153,log_lik.154,log_lik.155,log_lik.156,log_lik.157,log_lik.158,log_lik.159,log_lik.160,log_lik.161,log_lik.162,log_lik.163,log_lik.164,log_lik.165,log_lik.166,log_lik.167,log_lik.168,log_lik.169,log_lik.170,log_lik.171,log_lik.172,log_lik.173,log_lik.174,log_lik.175,log_lik.176,log_lik.177,log_lik.178,log_lik.179,log_lik.180,log_lik.181,log_lik.182,log_lik.183,log_lik.184,log_lik.185,log_lik.186,log_lik.187,log_lik.188,log_lik.189,log_lik.190,log_lik.191,log_lik.192,log_lik.193,log_lik.194,log_lik.195,log_lik.196,log_lik.197,log_lik.198,log_lik.199,log_lik.200,log_lik.201,log_lik.202,log_lik.203,log_lik.204,log_lik.205,log_lik.206,log_lik.207,log_lik.208,log_lik.209,log_lik.210,log_lik.211,log_lik.212,log_lik.213,log_lik.214,log_lik.215,log_lik.216,log_lik.217,log_lik.218,log_lik.219,log_lik.220,log_lik.221,log_lik.222,log_lik.223,log_lik.224,log_lik.225,log_lik.226,log_lik.227,log_lik.228,log_lik.229,log_lik.230,log_lik.231,log_lik.232,log_lik.233,log_lik.234,log_lik.235,log_lik.236,log_lik.237,log_lik.238,log_lik.239,log_lik.240,log_lik.241,log_lik.242,log_lik.243,log_lik.244,log_lik.245,log_lik.246,log_lik.247,log_lik.248,log_lik.249,log_lik.250,log_lik.251,log_lik.252,log_lik.253,log_lik.254,log_lik.255,log_lik.256,log_lik.257,log_lik.258,log_lik.259,log_lik.260,log_lik.261,log_lik.262,log_lik.263,log_lik.264,log_lik.265,log_lik.266,log_lik.267,log_lik.268,log_lik.269,log_lik.270,log_lik.271,log_lik.272,log_lik.273,log_lik.274,log_lik.275,log_lik.276,log_lik.277,log_lik.278,log_lik.279,log_lik.280,log_lik.281,log_lik.282,log_lik.283,log_lik.284,log_lik.285,log_lik.286,log_lik.287,log_lik.288,log_lik.289,log_lik.290,log_lik.291,log_lik.292,log_lik.293,log_lik.294,log_lik.295,log_lik.296,log_lik.297,log_lik.298,log_lik.299,log_lik.300
# Adaptation terminated
# Step size = 0.123744
# Elements of inverse mass matrix:
# 0.347199, -0.00396505, 0.0250384, 0.0130208
# -0.00396505, 0.00472745, -0.0289657, 0.000532321
# 0.0250384, -0.0289657, 0.847822, 0.00626797
# 0.0130208, 0.000532321, 0.00626797, 0.0532028
-148.79254,0.9858704,0.1237436,5,31,0,149.52184,0.3737611,1.1566937,0.26765341,-2.5018769,0.081931075,-0.15734975,0.15892375,-0.73015989,-0.27659615,-0.48872291,-0.17936446,0.34375449,0.30145634,-0.60830956,0.26871082,-0.43758065,0.12176924,-0.62003686,-0.83636788,0.26651404,0.28340828,-1.4538596,0.029257887,-0.6793742,0.32938666,-1.1983236,-3.0236709,-0.80390088,-2.537141,0.28559471,-0.47396689,0.33906237,0.32674896,-3.8522665,0.29624243,-2.4429262,-0.023070768,0.325031,-0.18723807,-1.5693139,0.30472634,-0.056590882,0.18964814,-0.7674368,-0.29669322,0.31564813,-0.15381321,-2.7955973,-0.19476132,0.2197742,-1.0419447,0.31217578,-0.44014716,0.16593709,-0.44623322,0.2628814,-0.091061936,0.28109292,0.04659947,0.32844199,-1.0776349,0.2222715,-2.5952978,-0.63316296,0.35539396,0.23315708,-1.0452634,0.058544004,-0.12234516,-0.80508195,0.24191771,-0.43097368,-0.21578823,-0.021631426,-1.2715363,-0.3818774,0.20154679,-0.55070209,-0.10983796,0.21979156,0.1949966,-1.5233322,-1.1375445,0.29114389,0.30015635,-2.9358134,-0.074255068,0.32792977,0.049521971,-1.2431373,-0.66227244,0.30707277,-1.5482633,0.11288262,-0.39700971,-0.054336963,0.27885849,-0.59496192,-0.69075686,0.30502004,-0.015958018,0.24945699,0.1252018,-1.3106829,0.20365982,-1.6184744,-0.34546873,0.31222907,-0.14707703,0.14401007,-0.52564093,0.20054953,0.32401883,-0.62575504,-0.027533848,0.0077003833,0.068218158,-1.3027078,0.23847489,0.17657956,0.096620794,0.075514541,-0.11097124,-0.3117891,-0.59535282,0.20252915,-0.16141501,0.30420239,-2.5097172,0.011263711,0.26104185,-0.99232352,-2.5832549,0.094985505,-0.033800033,0.27536066,-0.44611952,-0.32115805,-1.0368297,0.078984178,0.33426274,-2.273825,-0.18661634,0.30018849,-0.18663308,-1.8389809,-0.74653993,-0.85895579,-0.54389165,0.041276696,-2.2566271,0.17923827,-2.3104682,-0.58332234,0.33077364,-0.18104604,0.23661565,-0.16200048,-0.25394628,0.33045306,-0.019560645,-0.0097595582,0.05605292,-2.9755984,-0.79422683,-0.68192587,0.33180747,-1.720694,0.29341443,0.3252509,-2.6747696,-0.55238836,0.29732504,-1.5073585,-0.80763227,-0.87371203,0.2499414,-1.0782093,0.034895244,-0.46679908,-1.0188081,-0.27448667,-0.010578078,0.12756262,-1.3118813,-0.49764344,0.28949146,-0.69857066,-0.10994639,-0.93342642,-0.209419,0.11446343,0.16954021,0.30436088,-0.4720988,-1.9905761,0.16532604,-5.3451954,0.035118812,-1.1628535,0.13583563,0.15573401,-0.51604756,0.10159244,-0.61019803,0.28610968,-1.1638806,-0.0092387505,-0.54925445,-1.5382149,0.208358,0.28121492,0.31998344,0.32938168,-0.72561317,0.32146878,-0.29134783,-1.6794117,-1.3906617,-2.3308026,-2.1657526,-0.73259294,-1.8551677,-0.089116252,0.25756575,-0.89754819,0.28230942,-1.5119265,-0.26342038,-1.1977702,-0.44310557,0.32583247,-3.5092043,0.21217455,-0.16682075,0.26201062,0.26453491,-0.022045051,-0.68806752,-0.48540283,-0.56344576,0.057892097,-2.2371425,0.30685911,-0.049360418,0.30588747,0.30967507,0.043319162,-0.044777835,0.17618947,-2.9830539,0.20786876,-1.1715641,0.028299004,-1.5715533,-1.1765396,-0.25664707,-2.3326426,0.30922611,-0.39264873,-0.75127714,0.055151828,-0.12282259,0.14779686,0.045747171,0.098633021,0.057793519,-0.19781613,0.29023033,0.11943259,0.25864602,0.31874375,-0.71339754,0.11367607,-1.4645419,0.27200457,-0.052918539,0.24768209,-0.7912331,-0.33523003,-1.4887039,0.27926252,0.36361071,-1.0295109,-1.30912,0.023802081,-0.72276202,-0.32029762,0.3513733,-1.1119045,0.29317718,-2.3460982,-0.019721648,-0.32909248,-0.95081884,-1.9310951,0.29936974,-0.9596502,0.17029446,0.19202012,-1.0660525,-0.46058913,0.31681214,0.30409491,0.0096826312
-149.07866,0.99792099,0.1237436,5,31,0,150.90105,0.5203657,1.1426547,0.26832421,-2.4269234,0.088308105,-0.15521006,0.17043298,-0.73651382,-0.22698749,-0.48771595,-0.1887164,0.37766674,0.31977402,-0.57179298,0.29034121,-0.44471684,0.13992249,-0.6146466,-0.85424944,0.28887143,0.30701087,-1.4880786,0.036869778,-0.69133108,0.35502939,-1.148997,-3.1083547,-0.80723785,-2.5833318,0.30642393,-0.42207764,0.36832345,0.35373695,-3.6199361,0.31650309,-2.5942081,-0.014100232,0.34437877,-0.19062779,-1.6304106,0.32753214,-0.0561662,0.20525914,-0.78026212,-0.30654683,0.34087669,-0.11293378,-2.8807667,-0.18885375,0.23162947,-1.050235,0.33772214,-0.44697368,0.1776712,-0.44270745,0.27427914,-0.08772727,0.2936945,0.076762347,0.34963238,-1.0976512,0.23091669,-2.5546254,-0.63097074,0.38568488,0.24128791,-1.0479267,0.059406893,-0.087751232,-0.83296183,0.2538491,-0.43916464,-0.21958006,-0.010336612,-1.3002861,-0.39196129,0.21856571,-0.5515543,-0.10233756,0.23645761,0.23177079,-1.5612305,-1.1069585,0.33359336,0.3237196,-3.0018017,-0.080169394,0.3469851,0.060467026,-1.2533689,-0.67834014,0.33815029,-1.5653013,0.11755612,-0.34698138,-0.048828662,0.30775497,-0.6175125,-0.71324755,0.33231821,0.015424567,0.29404283,0.15169813,-1.3688392,0.21624624,-1.6182305,-0.34513203,0.33546819,-0.14898712,0.16038661,-0.52420851,0.24248811,0.3427821,-0.64937229,-0.011274519,0.0061124085,0.075955916,-1.320672,0.2685342,0.19092649,0.11268321,0.093391162,-0.097671258,-0.32645845,-0.5905508,0.20707673,-0.14963075,0.32855894,-2.4905399,0.023150227,0.2999807,-1.013497,-2.6670311,0.10717074,-0.03027163,0.29355867,-0.46468487,-0.31271893,-1.0625509,0.08782292,0.36833956,-2.3061343,-0.18528316,0.32988617,-0.18528127,-1.877956,-0.75916839,-0.87495748,-0.53892464,0.057319494,-2.2369961,0.19962184,-2.3616874,-0.60209774,0.36165886,-0.18962639,0.25970759,-0.15038265,-0.20972973,0.36221419,-0.013439693,-0.0055898201,0.057964611,-3.2081186,-0.8082305,-0.70436615,0.36239975,-1.8017078,0.31971408,0.35646244,-2.7057154,-0.50377586,0.31541067,-1.508983,-0.82459678,-0.87533769,0.2627326,-1.1091994,0.03797231,-0.47632739,-1.012538,-0.28092295,-0.0011694209,0.14815857,-1.3245697,-0.50635915,0.30763843,-0.7121493,-0.10842295,-0.95343505,-0.20144861,0.11575403,0.20616851,0.32939446,-0.42150727,-2.0285172,0.18088992,-5.2197607,0.043819124,-1.1782741,0.14332767,0.16178547,-0.52276821,0.11024384,-0.6205664,0.30724722,-1.171474,-0.0043854813,-0.50157861,-1.5049154,0.24543171,0.28815892,0.33911573,0.35072356,-0.75256133,0.35342461,-0.28219743,-1.6435135,-1.4169627,-2.3961815,-2.2031683,-0.74185778,-1.8861248,-0.082270383,0.27709833,-0.91907873,0.31106616,-1.502671,-0.25860303,-1.2328832,-0.44160326,0.34889475,-3.4987962,0.25034691,-0.16609893,0.29450851,0.28822597,-0.0083868732,-0.71264696,-0.50218061,-0.56141915,0.066386304,-2.2779365,0.33559639,-0.042406704,0.33557102,0.33886457,0.048817685,-0.046651114,0.21962098,-3.2503175,0.25238323,-1.2198179,0.037655676,-1.6427043,-1.1899163,-0.25052408,-2.340372,0.32868296,-0.38838153,-0.7773745,0.056739264,-0.12248669,0.16036095,0.058498727,0.11268263,0.060778633,-0.18917311,0.30625558,0.13524769,0.27903356,0.34213529,-0.72998081,0.1206556,-1.5124937,0.29058105,-0.045506447,0.26658324,-0.81533275,-0.33253621,-1.4986706,0.31773154,0.39117006,-1.0374138,-1.3550935,0.034649799,-0.74040523,-0.31522889,0.37965952,-1.0666367,0.32343583,-2.4108156,0.019035201,-0.32802166,-0.97982401,-1.9789424,0.31407165,-0.97085238,0.20949089,0.20121046,-1.0806887,-0.46961333,0.34533832,0.33487296,0.0098081731
-149.98404,0.99471109,0.1237436,4,31,0,152.36382,0.42743976,1.1420934,0.26844858,-2.4616066,0.085297804,-0.15476856,0.17122163,-0.7405658,-0.23206687,-0.49215945,-0.18113623,0.37259945,0.32182641,-0.56968814,0.29669107,-0.44329657,0.13519756,-0.62384792,-0.85323289,0.29471383,0.30339793,-1.4881237,0.037168721,-0.69006417,0.35229688,-1.1618108,-3.1238537,-0.81341806,-2.5794312,0.31115267,-0.4292139,0.36507517,0.35017077,-3.7470331,0.31732395,-2.529814,-0.015589329,0.34680056,-0.186867,-1.6149341,0.32713932,-0.052241371,0.20446199,-0.78035891,-0.30045181,0.34049217,-0.11257771,-2.8644197,-0.19183873,0.23368871,-1.0582577,0.33411922,-0.44564723,0.17864563,-0.44816892,0.27943877,-0.086913298,0.29912179,0.082312244,0.35078189,-1.0977547,0.23607239,-2.6052248,-0.63815409,0.3818565,0.24738015,-1.0575135,0.065041825,-0.084138693,-0.82559206,0.2564344,-0.43635978,-0.21619063,-0.013618091,-1.2971845,-0.38751934,0.2162876,-0.55575244,-0.1047545,0.23484391,0.23063864,-1.5561042,-1.106675,0.32657429,0.32258494,-3.0167156,-0.072772801,0.34973238,0.059306187,-1.2629151,-0.67440192,0.3374791,-1.5737714,0.12233478,-0.35317516,-0.048357414,0.30983856,-0.60843523,-0.70555628,0.3274105,0.020961599,0.28813966,0.1582155,-1.3519141,0.21743715,-1.6430301,-0.34692111,0.33929718,-0.14537378,0.15712688,-0.52967729,0.23906307,0.34554665,-0.64017282,-0.017678293,0.01226694,0.077120069,-1.3259321,0.27052384,0.1904606,0.1086391,0.087814392,-0.10374007,-0.31805269,-0.59856019,0.21413379,-0.15534191,0.32933347,-2.5269023,0.020294493,0.29757485,-1.011143,-2.6462285,0.1061626,-0.028609142,0.29401922,-0.45605513,-0.31910334,-1.0603574,0.088707361,0.36347178,-2.3179366,-0.18486216,0.33062025,-0.1848648,-1.8802384,-0.75932046,-0.8747451,-0.54686729,0.052305508,-2.27798,0.19486285,-2.3634257,-0.59514984,0.35676568,-0.18236709,0.26661144,-0.15626533,-0.21141984,0.35883577,-0.013017662,-0.0037301803,0.062909225,-3.1116195,-0.80831436,-0.69688307,0.35769089,-1.7754089,0.31498318,0.35763039,-2.7327765,-0.50926576,0.32189708,-1.5266994,-0.82379887,-0.88514325,0.26592068,-1.1022077,0.041912061,-0.47379893,-1.0293488,-0.27724068,-0.0024437581,0.14247355,-1.3333586,-0.50532996,0.30917191,-0.7120594,-0.10649811,-0.95109689,-0.20571287,0.12240743,0.20682688,0.32840186,-0.42842686,-2.0419672,0.17923677,-5.5761761,0.043637749,-1.1839654,0.14601696,0.16662213,-0.52290701,0.11136343,-0.61955922,0.31219068,-1.1806124,-0.0029928362,-0.50638442,-1.5133109,0.24433855,0.29647125,0.34139423,0.35186376,-0.74252935,0.34841235,-0.28895076,-1.6561983,-1.4179861,-2.3957559,-2.2052199,-0.74427061,-1.8956395,-0.083688112,0.27606631,-0.91547601,0.30454271,-1.5285153,-0.26140712,-1.2275216,-0.44619847,0.35055281,-3.5493455,0.24901006,-0.16513556,0.29500702,0.28378409,-0.013166708,-0.70422763,-0.49520492,-0.56779052,0.066821806,-2.2802957,0.33544096,-0.043064065,0.33528597,0.33855236,0.050778344,-0.041235918,0.2156103,-3.1475329,0.24753235,-1.2067757,0.036823287,-1.6168131,-1.1978898,-0.25423335,-2.3703449,0.33242147,-0.39349431,-0.76946426,0.061765941,-0.12008268,0.16024124,0.055635336,0.1100573,0.065082077,-0.19364563,0.31195883,0.131898,0.27623873,0.33969048,-0.72661228,0.12400202,-1.5041352,0.28928971,-0.046951039,0.26421987,-0.80959246,-0.3356059,-1.50909,0.3153607,0.38925578,-1.0437298,-1.3461697,0.032389866,-0.7362859,-0.31937099,0.37828955,-1.076047,0.32280032,-2.3993137,0.020173882,-0.32972352,-0.97333406,-1.9731516,0.31724454,-0.97535362,0.20794908,0.20403584,-1.0845829,-0.46750768,0.3448134,0.33429979,0.015173488
