# stan_version_major = 2
# stan_version_minor = 37
# stan_version_patch = 0
# model = rlddm_single_subject_model
# start_datetime = 2025-09-25 03:17:44 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 2000
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.999
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = dense_e
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /Users/jy4657/Desktop/Repositories/tst-stan/recovery_out/tmp_subject_20/tmpqkjxg8ga/_z8chqi7.json
# init = 2 (Default)
# random
#   seed = 2047
# output
#   file = /Users/jy4657/Desktop/Repositories/tst-stan/cmdstan_tmp/rlddm_single_subject-20250924231744.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.37.0
# stancflags = --filename-in-msg=rlddm_single_subject.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,a,t0,log_scaler,scaler,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46,log_lik.47,log_lik.48,log_lik.49,log_lik.50,log_lik.51,log_lik.52,log_lik.53,log_lik.54,log_lik.55,log_lik.56,log_lik.57,log_lik.58,log_lik.59,log_lik.60,log_lik.61,log_lik.62,log_lik.63,log_lik.64,log_lik.65,log_lik.66,log_lik.67,log_lik.68,log_lik.69,log_lik.70,log_lik.71,log_lik.72,log_lik.73,log_lik.74,log_lik.75,log_lik.76,log_lik.77,log_lik.78,log_lik.79,log_lik.80,log_lik.81,log_lik.82,log_lik.83,log_lik.84,log_lik.85,log_lik.86,log_lik.87,log_lik.88,log_lik.89,log_lik.90,log_lik.91,log_lik.92,log_lik.93,log_lik.94,log_lik.95,log_lik.96,log_lik.97,log_lik.98,log_lik.99,log_lik.100,log_lik.101,log_lik.102,log_lik.103,log_lik.104,log_lik.105,log_lik.106,log_lik.107,log_lik.108,log_lik.109,log_lik.110,log_lik.111,log_lik.112,log_lik.113,log_lik.114,log_lik.115,log_lik.116,log_lik.117,log_lik.118,log_lik.119,log_lik.120,log_lik.121,log_lik.122,log_lik.123,log_lik.124,log_lik.125,log_lik.126,log_lik.127,log_lik.128,log_lik.129,log_lik.130,log_lik.131,log_lik.132,log_lik.133,log_lik.134,log_lik.135,log_lik.136,log_lik.137,log_lik.138,log_lik.139,log_lik.140,log_lik.141,log_lik.142,log_lik.143,log_lik.144,log_lik.145,log_lik.146,log_lik.147,log_lik.148,log_lik.149,log_lik.150,log_lik.151,log_lik.152,log_lik.153,log_lik.154,log_lik.155,log_lik.156,log_lik.157,log_lik.158,log_lik.159,log_lik.160,log_lik.161,log_lik.162,log_lik.163,log_lik.164,log_lik.165,log_lik.166,log_lik.167,log_lik.168,log_lik.169,log_lik.170,log_lik.171,log_lik.172,log_lik.173,log_lik.174,log_lik.175,log_lik.176,log_lik.177,log_lik.178,log_lik.179,log_lik.180,log_lik.181,log_lik.182,log_lik.183,log_lik.184,log_lik.185,log_lik.186,log_lik.187,log_lik.188,log_lik.189,log_lik.190,log_lik.191,log_lik.192,log_lik.193,log_lik.194,log_lik.195,log_lik.196,log_lik.197,log_lik.198,log_lik.199,log_lik.200,log_lik.201,log_lik.202,log_lik.203,log_lik.204,log_lik.205,log_lik.206,log_lik.207,log_lik.208,log_lik.209,log_lik.210,log_lik.211,log_lik.212,log_lik.213,log_lik.214,log_lik.215,log_lik.216,log_lik.217,log_lik.218,log_lik.219,log_lik.220,log_lik.221,log_lik.222,log_lik.223,log_lik.224,log_lik.225,log_lik.226,log_lik.227,log_lik.228,log_lik.229,log_lik.230,log_lik.231,log_lik.232,log_lik.233,log_lik.234,log_lik.235,log_lik.236,log_lik.237,log_lik.238,log_lik.239,log_lik.240,log_lik.241,log_lik.242,log_lik.243,log_lik.244,log_lik.245,log_lik.246,log_lik.247,log_lik.248,log_lik.249,log_lik.250,log_lik.251,log_lik.252,log_lik.253,log_lik.254,log_lik.255,log_lik.256,log_lik.257,log_lik.258,log_lik.259,log_lik.260,log_lik.261,log_lik.262,log_lik.263,log_lik.264,log_lik.265,log_lik.266,log_lik.267,log_lik.268,log_lik.269,log_lik.270,log_lik.271,log_lik.272,log_lik.273,log_lik.274,log_lik.275,log_lik.276,log_lik.277,log_lik.278,log_lik.279,log_lik.280,log_lik.281,log_lik.282,log_lik.283,log_lik.284,log_lik.285,log_lik.286,log_lik.287,log_lik.288,log_lik.289,log_lik.290,log_lik.291,log_lik.292,log_lik.293,log_lik.294,log_lik.295,log_lik.296,log_lik.297,log_lik.298,log_lik.299
# Adaptation terminated
# Step size = 0.109684
# Elements of inverse mass matrix:
# 0.268475, 0.0121781, -0.0135579, -0.0435433
# 0.0121781, 0.00555673, -0.012843, 0.00685888
# -0.0135579, -0.012843, 0.134053, -0.0165337
# -0.0435433, 0.00685888, -0.0165337, 0.0418481
-328.39412,0.99802889,0.10968423,3,7,0,328.7958,0.27166337,1.5262293,0.11350612,-3.1990919,0.040799238,-1.4531574,-0.24524244,-1.2452304,-0.46054358,-1.535778,-1.1526013,-0.91828717,-0.37249986,-2.98862,-2.3963335,-0.67323235,-1.5155785,-0.94930668,-0.2204167,-1.1919592,-2.9714491,-1.5945926,-2.4332547,-0.36184151,-0.25692879,-0.27660533,-0.27228761,-1.319401,-0.62153049,-2.7628677,-0.77396439,-0.68560919,-0.64110873,-0.51597384,-1.9142784,-0.62505303,-2.2498052,-2.6299381,-1.4909166,-0.53503986,-0.35787349,-0.23255859,-0.28524035,-0.91158277,-0.31356701,-0.52853385,-2.2095605,-0.41012223,-0.47381045,-2.675975,-1.6982807,-0.24345571,-0.73804734,-0.82082745,-1.3398765,-0.7538394,-1.8402365,-0.23815698,-0.40982328,-1.8636718,-0.4643452,-1.1616577,-0.64414729,-0.30014589,-2.9024975,-2.1170676,-0.81483406,-0.24692821,-2.0701564,-1.1014069,-0.28703828,-0.28085766,-0.26407328,-1.4846123,-0.87704736,-1.1954614,-0.32888515,-0.23945733,-0.22497932,-0.41837957,-0.82728594,-2.0167906,-0.23779243,-0.45828747,-0.61009503,-0.65058857,-0.25128588,-1.4431126,-0.90043721,-2.0549358,-0.32751189,-0.23923061,-2.2816283,-0.67205176,-0.26213642,-0.2436275,-0.39422428,-0.69140714,-1.8019851,-0.84042604,-0.72554419,-1.7355914,-0.27029372,-0.47497264,-0.24702381,-0.58505074,-0.60584646,-2.5581727,-2.0254521,-0.2408274,-1.8646378,-0.27996637,-1.1971683,-0.49466139,-2.9931718,-0.41995709,-0.71146633,-7.8785897,-0.88433692,-1.7880172,-1.376474,-0.32071814,-1.4975598,-0.24377455,-0.21902112,-1.133938,-0.32966283,-0.32170302,-1.9481523,-1.809486,-0.37160706,-1.0763241,-2.0855243,-0.77602698,-0.22361126,-0.29320741,-2.2273566,-0.24762446,-4.2375619,-1.138174,-0.5556786,-1.2676653,-1.7458307,-0.42057634,-0.74520609,-0.31750298,-1.9727335,-2.6155794,-0.52107495,-0.28782113,-1.3814991,-2.8528725,-0.79415018,-1.1387461,-0.21585718,-0.75689734,-0.22795972,-0.23361358,-2.0869624,-2.8661487,-1.5344072,-1.2482986,-1.2287074,-2.0461691,-0.35498377,-2.1192925,-0.32799454,-2.1183493,-0.22116348,-0.29605355,-0.47426911,-0.32382121,-0.26100846,-0.82975127,-0.45467112,-0.23812639,-0.22881125,-0.51356964,-1.0042764,-3.0250405,-0.25915609,-0.23645325,-1.0875746,-2.0609554,-1.5465843,-4.2345899,-0.92169372,-0.28570977,-1.0292139,-3.6931546,-0.23095091,-0.49059505,-0.29867526,-0.25134582,-0.35099045,-0.84043512,-0.28666778,-0.22435398,-0.30737305,-0.54432984,-0.80898402,-0.30579677,-3.626321,-0.50383976,-0.90593507,-1.3314917,-0.25346665,-0.43027459,-0.9357761,-1.4923531,-0.26302251,-0.51693032,-1.8539738,-0.41554719,-0.24793366,-1.303763,-0.24474093,-1.1206618,-0.34985289,-0.27338989,-4.6661087,-0.21650486,-1.0009974,-0.3409275,-2.5646569,-0.25041874,-0.36965942,-0.38359674,-0.28432335,-0.4259745,-0.35817909,-0.84113133,-0.32447241,-0.27159845,-0.52739233,-0.30411562,-0.30757939,-0.27553306,-2.0419714,-0.29254142,-0.79490007,-1.3817593,-2.0682517,-0.36146206,-0.40660446,-0.50312622,-0.25703923,-1.0099725,-1.6619908,-0.27921839,-1.0944834,-2.55272,-1.4698453,-0.52256504,-0.9052699,-1.3423794,-0.24640913,-1.1963451,-0.32818058,-0.33154012,-2.1992369,-0.36845296,-0.25285324,-0.53347255,-0.69353397,-0.32802801,-0.25018468,-1.6668726,-1.2565944,-2.2108824,-0.39897932,-3.8775248,-0.34840491,-1.6307818,-1.5039495,-2.771996,-0.49897337,-0.81135587,-0.61281927,-0.23590487,-1.6999216,-0.88040764,-0.31635026,-3.0476097,-1.1845957,-0.40185947,-0.23120921,-0.23451254,-0.86839599,-1.0211868,-5.5248917,-0.25087379,-0.23006772,-0.24176917,-0.23541732,-2.1785387,-0.23919569,-0.85386275,-0.4007549,-0.23804064,-0.57044008,-2.4524963,-0.97848169,-0.48446536
-327.96526,0.99999981,0.10968423,5,31,0,329.08248,0.19985818,1.550572,0.095946538,-3.0482332,0.04744267,-1.4662595,-0.26581373,-1.2642074,-0.50409034,-1.5463061,-1.1757129,-0.94753619,-0.41827691,-1.8087993,-2.3760539,-0.71173066,-1.5261485,-0.97864347,-0.25345343,-1.2152681,-2.928254,-1.6037419,-2.4176212,-0.33352467,-0.29952587,-0.28366019,-0.27930675,-1.3367422,-0.66120758,-2.7296685,-0.80747916,-0.7221328,-0.67935672,-0.5582819,-1.9091656,-0.66186826,-2.2478272,-2.6216854,-1.5073581,-0.57779381,-0.40217636,-0.27462358,-0.32938419,-0.94347583,-0.36109443,-0.57182642,-2.2055208,-0.45642494,-0.51543219,-2.6607191,-1.701856,-0.28818435,-0.77072734,-0.8547825,-1.3587757,-0.78760104,-1.8461651,-0.27810043,-0.36612367,-1.8648862,-0.50741044,-1.1838208,-0.68311359,-0.34489869,-2.8646194,-2.106826,-0.84809031,-0.2907104,-2.0619884,-1.1257285,-0.331651,-0.32599556,-0.27120924,-1.4923394,-0.9059561,-1.21859,-0.31851912,-0.27406657,-0.26387181,-0.46123443,-0.85791288,-2.0171006,-0.26548861,-0.4991327,-0.65152224,-0.69052526,-0.29440077,-1.4575869,-0.93281509,-1.3403777,-0.37525967,-0.27872912,-2.2749663,-0.70774987,-0.30436017,-0.28606269,-0.4412036,-0.7264142,-1.8074756,-0.86959147,-0.76290197,-1.7444677,-0.31255737,-0.51604269,-0.29244454,-0.6240458,-0.64632433,-2.5455389,-2.0243246,-0.28156894,-1.8698195,-0.32585323,-1.2172655,-0.53661227,-2.9495273,-0.46365963,-0.74847657,-6.8844865,-0.91320643,-1.7886672,-1.3907704,-0.36728219,-1.5079026,-0.28058121,-0.24819648,-1.1573546,-0.30974794,-0.36631983,-1.9475706,-1.8099424,-0.33602218,-0.77755541,-2.0706792,-0.81288404,-0.26052885,-0.28538904,-2.2112445,-0.25841816,-4.155664,-1.1584585,-0.59454303,-0.89120309,-1.1633327,-0.46248728,-0.77749753,-0.36446789,-1.9655694,-2.6034698,-0.56580504,-0.28177942,-1.4002369,-2.8139635,-0.83115374,-1.1589502,-0.25409768,-0.78979695,-0.24761175,-0.27452453,-2.0864193,-1.7389498,-1.5406572,-1.2717876,-1.2527613,-2.0464439,-0.39854753,-2.1175198,-0.30366205,-2.1012484,-0.24767316,-0.28584088,-0.51405289,-0.37274135,-0.26995144,-0.85733889,-0.3979197,-0.2745365,-0.26846375,-0.55298982,-1.0297214,-2.9779275,-0.30122002,-0.26196462,-1.1136183,-2.051163,-1.5570264,-4.1214316,-0.95070363,-0.32934482,-1.0549775,-3.6617818,-0.27334733,-0.5334373,-0.34336952,-0.27352475,-0.39631406,-0.87242254,-0.33091129,-0.25682005,-0.35211998,-0.5869734,-0.8410765,-0.35036594,-3.5875429,-0.54555296,-0.93655441,-1.3475999,-0.29681607,-0.47329445,-0.96394942,-1.5028911,-0.27891067,-0.43296602,-1.8543606,-0.46067041,-0.285768,-0.9142775,-0.27817636,-1.1422611,-0.39339101,-0.31889321,-4.5901516,-0.2502484,-1.0294056,-0.31490179,-2.5333506,-0.29086239,-0.41248805,-0.43162851,-0.32680617,-0.47191622,-0.32843905,-0.87212676,-0.3705402,-0.31646431,-0.56622358,-0.34545081,-0.35094447,-0.29000807,-2.0436308,-0.33946142,-0.82552382,-1.3919292,-1.3545542,-0.40389981,-0.44810008,-0.43279752,-0.30476055,-0.73992085,-1.6604006,-0.28796012,-1.1138419,-2.5426149,-1.479831,-0.5633677,-0.93358573,-0.937741,-0.27412815,-1.2174009,-0.37689782,-0.31008292,-2.2063665,-0.41022586,-0.29573769,-0.57107856,-0.55372002,-0.37752132,-0.29256098,-1.1322392,-1.2711166,-2.1899519,-0.44099688,-3.7691771,-0.39610745,-1.6416787,-1.5105387,-2.7251412,-0.42445547,-0.62095317,-0.65384948,-0.27795922,-1.7107234,-0.90973764,-0.36447664,-2.9965581,-1.207675,-0.44595501,-0.2709056,-0.26162873,-0.89889979,-1.0486614,-5.4320198,-0.29326031,-0.25894726,-0.27081792,-0.25841569,-2.1694256,-0.27894751,-0.88449159,-0.44485283,-0.27284034,-0.61019275,-2.4288138,-1.0054458,-0.41190102
-327.83428,0.99651133,0.10968423,5,31,0,331.42227,0.29563283,1.5521935,0.10581913,-3.2169637,0.040076558,-1.4445088,-0.27670616,-1.2438096,-0.48562943,-1.524388,-1.1533695,-0.92796693,-0.40076371,-2.457391,-2.3576701,-0.68949009,-1.5046459,-0.95776483,-0.25376897,-1.1914717,-2.9170569,-1.5807501,-2.3918511,-0.37843941,-0.29052958,-0.30412606,-0.30048343,-1.3147825,-0.64029415,-2.7121401,-0.78867951,-0.70342506,-0.660477,-0.53979681,-1.891665,-0.64509923,-2.2114299,-2.5780777,-1.4788882,-0.55676182,-0.38759912,-0.26559227,-0.31774309,-0.91986141,-0.34318897,-0.54981119,-2.1738427,-0.43538135,-0.50019868,-2.6226911,-1.6825033,-0.27573062,-0.75486738,-0.83235406,-1.3335714,-0.7694086,-1.8172896,-0.27225744,-0.42102417,-1.8404969,-0.48942851,-1.162357,-0.66161463,-0.33227299,-2.8465992,-2.0873111,-0.82661869,-0.27971165,-2.0423654,-1.1056496,-0.32041538,-0.3138426,-0.29344667,-1.4762161,-0.88758537,-1.1957055,-0.35075937,-0.27327795,-0.25858673,-0.44497755,-0.83947886,-1.9884526,-0.26945804,-0.48461372,-0.62917802,-0.66857882,-0.28412639,-1.4355395,-0.90993953,-1.7617201,-0.35721023,-0.27334284,-2.2440645,-0.68974748,-0.29566602,-0.27706746,-0.42154397,-0.70846345,-1.7808848,-0.85350727,-0.74084001,-1.7161059,-0.30387741,-0.5008234,-0.27942331,-0.60631158,-0.62492664,-2.5107866,-1.997552,-0.27447496,-1.8413181,-0.31257385,-1.1962921,-0.51763743,-2.936146,-0.44583832,-0.72862616,-6.8062579,-0.89457523,-1.7680084,-1.3712986,-0.35017366,-1.488656,-0.27846448,-0.25133084,-1.1347293,-0.34822757,-0.35400312,-1.9219622,-1.7890861,-0.38606272,-0.98265093,-2.0587644,-0.78999086,-0.25785094,-0.31728669,-2.1946104,-0.27701317,-4.178559,-1.1397034,-0.57668876,-1.1390258,-1.5196959,-0.44732706,-0.76019723,-0.34912522,-1.9472644,-2.5646025,-0.54413532,-0.31304089,-1.3757479,-2.8029454,-0.80759697,-1.1398626,-0.24922321,-0.77007393,-0.25978281,-0.26681964,-2.0566483,-2.3642687,-1.522838,-1.247075,-1.2281514,-2.0176271,-0.38280881,-2.0881144,-0.34628194,-2.0899167,-0.25498285,-0.31971959,-0.4988387,-0.35406448,-0.29195973,-0.84331408,-0.45883076,-0.27293219,-0.26196987,-0.5372959,-1.0101282,-2.9665549,-0.29259185,-0.26950092,-1.0906531,-2.0328259,-1.5339715,-4.1285546,-0.93217391,-0.3194011,-1.0362176,-3.6163244,-0.26372597,-0.51606894,-0.32980297,-0.2831068,-0.3794579,-0.85105183,-0.32016472,-0.25681547,-0.33799128,-0.56646845,-0.82219205,-0.33744701,-3.5448075,-0.52753967,-0.91524318,-1.3270618,-0.28678264,-0.45767788,-0.94544707,-1.483554,-0.29426296,-0.51328942,-1.8318696,-0.4428396,-0.28265406,-1.1676901,-0.27910141,-1.1231573,-0.37984992,-0.30618241,-4.5024264,-0.24985546,-1.0082233,-0.36012757,-2.5231064,-0.28441357,-0.39843555,-0.41122358,-0.31707622,-0.45283331,-0.37486171,-0.85180699,-0.35601756,-0.30319055,-0.54987045,-0.33517916,-0.33811311,-0.30433022,-2.0129071,-0.32520794,-0.80756864,-1.37599,-1.7753576,-0.39022458,-0.43358564,-0.50331248,-0.28911486,-0.9320186,-1.6483535,-0.30585044,-1.0989501,-2.5053013,-1.4597032,-0.54394281,-0.91398495,-1.1988402,-0.27902923,-1.1958529,-0.35870784,-0.35327931,-2.1614329,-0.39746833,-0.28659608,-0.55662341,-0.66553559,-0.35764992,-0.28401517,-1.4630308,-1.2549342,-2.1791167,-0.42678958,-3.7973719,-0.37743872,-1.6156601,-1.4953798,-2.7226811,-0.49740957,-0.76604546,-0.63178259,-0.26926221,-1.681034,-0.89174563,-0.34572469,-2.9881082,-1.184042,-0.42963701,-0.26492711,-0.26699612,-0.87944218,-1.0266472,-5.406058,-0.28443956,-0.2632078,-0.2757382,-0.2670375,-2.1458987,-0.27317421,-0.86626848,-0.42793978,-0.27166748,-0.5925354,-2.4119848,-0.98666079,-0.48443958
