# stan_version_major = 2
# stan_version_minor = 37
# stan_version_patch = 0
# model = rlddm_single_subject_model
# start_datetime = 2025-09-25 03:42:45 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 2000
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.999
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = dense_e
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /Users/jy4657/Desktop/Repositories/tst-stan/recovery_out/tmp_subject_14_1758771764446/tmp__osr3vo/8p01a5f8.json
# init = 2 (Default)
# random
#   seed = 2041
# output
#   file = /Users/jy4657/Desktop/Repositories/tst-stan/cmdstan_tmp/subject_14_20250924_234245/rlddm_single_subject-20250924234245.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.37.0
# stancflags = --filename-in-msg=rlddm_single_subject.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,a,t0,log_scaler,scaler,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46,log_lik.47,log_lik.48,log_lik.49,log_lik.50,log_lik.51,log_lik.52,log_lik.53,log_lik.54,log_lik.55,log_lik.56,log_lik.57,log_lik.58,log_lik.59,log_lik.60,log_lik.61,log_lik.62,log_lik.63,log_lik.64,log_lik.65,log_lik.66,log_lik.67,log_lik.68,log_lik.69,log_lik.70,log_lik.71,log_lik.72,log_lik.73,log_lik.74,log_lik.75,log_lik.76,log_lik.77,log_lik.78,log_lik.79,log_lik.80,log_lik.81,log_lik.82,log_lik.83,log_lik.84,log_lik.85,log_lik.86,log_lik.87,log_lik.88,log_lik.89,log_lik.90,log_lik.91,log_lik.92,log_lik.93,log_lik.94,log_lik.95,log_lik.96,log_lik.97,log_lik.98,log_lik.99,log_lik.100,log_lik.101,log_lik.102,log_lik.103,log_lik.104,log_lik.105,log_lik.106,log_lik.107,log_lik.108,log_lik.109,log_lik.110,log_lik.111,log_lik.112,log_lik.113,log_lik.114,log_lik.115,log_lik.116,log_lik.117,log_lik.118,log_lik.119,log_lik.120,log_lik.121,log_lik.122,log_lik.123,log_lik.124,log_lik.125,log_lik.126,log_lik.127,log_lik.128,log_lik.129,log_lik.130,log_lik.131,log_lik.132,log_lik.133,log_lik.134,log_lik.135,log_lik.136,log_lik.137,log_lik.138,log_lik.139,log_lik.140,log_lik.141,log_lik.142,log_lik.143,log_lik.144,log_lik.145,log_lik.146,log_lik.147,log_lik.148,log_lik.149,log_lik.150,log_lik.151,log_lik.152,log_lik.153,log_lik.154,log_lik.155,log_lik.156,log_lik.157,log_lik.158,log_lik.159,log_lik.160,log_lik.161,log_lik.162,log_lik.163,log_lik.164,log_lik.165,log_lik.166,log_lik.167,log_lik.168,log_lik.169,log_lik.170,log_lik.171,log_lik.172,log_lik.173,log_lik.174,log_lik.175,log_lik.176,log_lik.177,log_lik.178,log_lik.179,log_lik.180,log_lik.181,log_lik.182,log_lik.183,log_lik.184,log_lik.185,log_lik.186,log_lik.187,log_lik.188,log_lik.189,log_lik.190,log_lik.191,log_lik.192,log_lik.193,log_lik.194,log_lik.195,log_lik.196,log_lik.197,log_lik.198,log_lik.199,log_lik.200,log_lik.201,log_lik.202,log_lik.203,log_lik.204,log_lik.205,log_lik.206,log_lik.207,log_lik.208,log_lik.209,log_lik.210,log_lik.211,log_lik.212,log_lik.213,log_lik.214,log_lik.215,log_lik.216,log_lik.217,log_lik.218,log_lik.219,log_lik.220,log_lik.221,log_lik.222,log_lik.223,log_lik.224,log_lik.225,log_lik.226,log_lik.227,log_lik.228,log_lik.229,log_lik.230,log_lik.231,log_lik.232,log_lik.233,log_lik.234,log_lik.235,log_lik.236,log_lik.237,log_lik.238,log_lik.239,log_lik.240,log_lik.241,log_lik.242,log_lik.243,log_lik.244,log_lik.245,log_lik.246,log_lik.247,log_lik.248,log_lik.249,log_lik.250,log_lik.251,log_lik.252,log_lik.253,log_lik.254,log_lik.255,log_lik.256,log_lik.257,log_lik.258,log_lik.259,log_lik.260,log_lik.261,log_lik.262,log_lik.263,log_lik.264,log_lik.265,log_lik.266,log_lik.267,log_lik.268,log_lik.269,log_lik.270,log_lik.271,log_lik.272,log_lik.273,log_lik.274,log_lik.275,log_lik.276,log_lik.277,log_lik.278,log_lik.279,log_lik.280,log_lik.281,log_lik.282,log_lik.283,log_lik.284,log_lik.285,log_lik.286,log_lik.287,log_lik.288,log_lik.289,log_lik.290,log_lik.291,log_lik.292,log_lik.293,log_lik.294,log_lik.295,log_lik.296,log_lik.297,log_lik.298,log_lik.299,log_lik.300
# Adaptation terminated
# Step size = 0.00354744
# Elements of inverse mass matrix:
# 2.03486, 0.110713, -0.663868, -0.385068
# 0.110713, 0.00908861, -0.0540851, -0.0136959
# -0.663868, -0.0540851, 0.946058, 0.0907838
# -0.385068, -0.0136959, 0.0907838, 0.110159
-161.30334,0.99999932,0.0035474367,10,1023,0,162.50691,0.017970243,1.2354116,0.26398056,-3.6571266,0.025806558,0.11722371,-0.35644445,-0.13836831,-0.048144572,0.1601035,-2.499849,-0.4883257,-0.012232131,-4.3499853,-0.33018529,-0.49766043,-0.048295728,-0.37815319,-0.61432614,0.12309655,-1.0347416,-0.30314474,-4.0872918,0.088022127,0.18929761,-0.043138806,-0.24064085,-0.086569586,-0.23423864,-1.4973211,-0.27875142,0.18561624,0.053550288,-1.1765671,-0.066536813,-0.38776588,-0.52990654,-0.79791808,-0.18913402,-0.34632216,0.11755183,-0.076472886,-0.12340915,-0.2269334,0.18941968,-1.6532865,0.1284203,0.16170243,-0.04916793,-2.5327323,-0.0068168171,-1.0484667,0.14647341,-1.0457259,-1.3071249,-0.44169595,-0.31629867,-0.076945589,0.15992642,0.0038025988,-0.15667899,-0.22837587,-0.31603571,0.18655051,0.19223083,0.15827466,-0.3086573,0.13828096,-0.8191872,-0.82227298,-0.35501449,-0.010507065,-1.2833976,-1.8158588,-1.1447891,0.061146563,-1.1225342,-0.37080989,-0.39964332,0.1657703,-1.2799005,-3.1275818,-0.070871107,0.14397453,-1.6363354,-0.070703907,0.077343558,-0.46961981,-1.168584,-0.15324416,-0.62475396,-0.59368065,-0.026444229,0.18863105,0.18402227,-1.2685634,-0.057556945,0.085774029,0.0044887075,0.063369385,-1.7737915,-1.1175164,0.090768723,0.19023099,-0.07370073,-0.62808925,-3.0428774,-2.2132051,0.16142874,0.16189139,-0.35490031,-0.21053925,0.15800442,-2.7710468,0.03893149,-0.20388396,-0.64473888,0.19376501,-0.14324752,-0.7031157,-0.031830276,-1.6879144,-0.65113265,0.045423486,-1.6681338,-0.51276451,-1.2353072,-2.3391373,-0.0010350816,-0.18400566,0.069100731,-0.21318,-0.16217795,0.18160468,0.19050201,0.072808074,-1.102037,0.056145656,-0.95691538,-0.32816582,-0.36410238,-0.10270063,-0.13387149,-0.27685335,-0.20056979,-0.73582134,-1.9537308,0.19319657,-1.508573,0.02778764,0.17230758,-0.73596601,-0.046597551,0.17449683,0.039015683,-1.4050227,0.10906423,-0.20341715,-0.019348113,-1.2082964,0.1733039,0.094113325,-0.91527433,-0.034402787,-0.49268472,0.15566289,0.17439011,-0.080705866,0.15870649,-0.09298359,-2.2841362,-0.2095376,0.015838454,-0.27667427,-0.099501615,0.076027251,-0.5452611,0.19263758,0.15939036,-0.076800104,-1.0619286,-1.2304079,0.029782811,0.15973518,-0.87339074,-0.13899007,-0.37880949,0.18780359,0.11810673,-1.3575024,-0.34005974,-0.091015176,0.074283618,-1.6962337,-1.2090063,-0.30619235,0.19421228,0.10845053,0.12676293,-0.3009186,0.014402292,-0.78992198,-1.3456573,0.10474,0.13110336,-1.6950474,0.17300672,0.009184156,-0.9040991,0.02916469,-0.36810877,0.008367404,-0.41931167,-0.16132241,-0.23145632,0.17230658,-0.65162685,0.03698158,-0.7347402,-0.4322468,-1.1307665,-1.3621885,-1.2554408,-2.0067264,0.1536465,-0.41804385,-1.14552,-6.0665884,0.16852668,-2.7780363,-0.33204958,-0.2072726,-0.70198466,-0.010203921,0.18688139,0.18616472,-0.73031276,0.13199649,-0.33368654,0.16024799,-0.78833238,-0.0960302,-0.50512852,0.0013368756,0.19455275,0.18715041,0.16914776,0.047360794,-0.15614708,-0.85863241,-0.90922945,-0.45064406,-2.7718715,0.099861544,0.027801378,0.11295715,-0.82709137,0.1876389,-0.13395997,0.050974757,0.019254486,-2.0049297,-0.48579516,0.16515565,0.019393817,0.19494707,-0.25485365,-0.32469935,-2.781906,0.19493334,-0.91008696,0.18505064,-0.4468834,0.13827346,0.065317733,0.18752946,0.098184186,0.19722961,-0.27355703,0.18734341,-0.69727321,-0.16610213,0.13716482,0.039712383,0.19574487,-0.63940636,-0.41946097,-0.64967947,-0.92620243,0.16908761,0.039975512,-0.067788794,-0.04319912,-0.096519586,0.1848696,0.19058249,0.090556153,0.16237294,-0.41997445,0.18532966,-0.026326307,-0.21225673,0.18639077,-0.18668162,0.041022845
-161.29235,0.99999761,0.0035474367,9,951,0,163.08182,0.051781356,1.2478617,0.25203187,-3.892719,0.02038983,0.13983029,-0.14625431,-0.1785877,-0.089600005,0.16209412,-2.4909277,-0.52266813,-0.05458586,-4.3251704,-0.36735792,-0.53133259,-0.089971666,-0.41400108,-0.64616358,0.14382923,-1.0583951,-0.11384064,-4.0601019,0.046997112,0.16033123,0.044673818,-0.27977532,0.01673021,-0.27344915,-1.5117547,-0.31669083,0.1545997,0.10217236,-1.1971976,-0.10758052,-0.42316508,-0.56271969,-0.82505859,-0.22849224,-0.38342182,0.14071545,-0.11852655,-0.1649557,-0.26511218,0.16031603,-1.6659624,0.14702518,0.12550448,-0.091909545,-2.5166219,-0.04981408,-1.0726501,0.10700903,-1.0704497,-1.323014,-0.47540463,-0.35274251,-0.11916282,0.1218472,0.071489664,-0.19622226,-0.26804103,-0.35227385,0.15561959,0.17345564,0.12155627,-0.34699923,0.1524844,-0.84781735,-0.84801545,-0.14353727,-0.051220613,-1.2990752,-1.8281104,-1.163705,0.1060493,-1.142427,-0.40644785,-0.43453431,0.12996659,-1.3003247,-3.1187167,-0.11276325,0.10527673,-1.6470864,-0.11234693,0.11647472,-0.50405167,-1.1892867,-0.023292761,-0.65609295,-0.62556469,-0.068551475,0.15980956,0.15261551,-1.286703,0.035450604,0.12134687,0.073606631,0.020705252,-1.7845113,-1.1396178,0.049216137,0.16265338,-0.11521696,-0.6595856,-3.027384,-2.2141138,0.16424547,0.12475677,-0.39117358,-0.057711332,0.12057236,-2.7575556,-0.0028442092,-0.24258311,-0.67640835,0.17011306,-0.1845753,-0.733641,-0.073173501,-1.6990887,-0.6812289,0.0031361921,-1.6787582,-0.23830963,-1.2536586,-2.3343788,-0.043222753,-0.22394123,0.11106747,-0.25169059,-0.20134209,0.17321271,0.16402768,0.030416317,-1.1255408,0.013325547,-0.97981544,-0.36408464,-0.40151647,-0.14471196,-0.17508572,-0.096596489,-0.24090992,-0.76570199,-1.9616366,0.17320967,-1.5211951,-0.014721076,0.16643171,-0.76593593,-0.087591832,0.16726027,-0.0037695116,-1.4195464,0.067821302,-0.24225404,-0.060819857,-1.226699,0.16998017,0.12779005,-0.94025166,-0.076158092,-0.5263243,0.15964085,0.13958123,-0.12183756,0.16306853,-0.1337377,-2.279772,-0.24813961,-0.026781886,-0.096664658,0.011161106,0.11443284,-0.57875171,0.17450506,0.12263408,-0.11717044,-1.0822801,-1.2521009,-0.013385003,0.12330243,-0.9016076,-0.17810218,-0.41375806,0.15862763,0.078523769,-1.3713891,-0.37558463,-0.13326365,0.031440119,-0.88224595,-1.225719,-0.1183103,0.17593981,0.13748054,0.085490558,-0.33680842,-0.029269956,-0.81527781,-1.3583159,0.062178115,0.090186381,-1.7088616,0.16529242,-0.031691234,-0.93211598,0.090709741,-0.40294406,-0.03490569,-0.45286755,-0.20302224,-0.27201541,0.16415159,-0.68459835,-0.0064432977,-0.76197252,-0.46602862,-1.1502591,-1.3771659,-1.2760636,-2.0066312,0.11508293,-0.45461567,-1.1686908,-6.2628408,0.13317357,-2.7567197,-0.36752018,-0.24515119,-0.72977826,-0.053615442,0.16572451,0.17729097,-0.7618339,0.093487785,-0.13571697,0.12251504,-0.81430681,-0.13839487,-0.53704417,-0.041970853,0.17795919,0.15958429,0.13380969,0.0039581223,-0.19785028,-0.88315041,-0.93652555,-0.48445825,-2.7537275,0.059272119,-0.013773694,0.13506229,-0.8533035,0.1612839,-0.17365786,0.0096548059,-0.022104588,-2.0053091,-0.51871571,0.12873175,-0.021809459,0.16766913,-0.29433693,-0.12465408,-2.7758748,0.16743853,-0.93434398,0.15567396,-0.48056559,0.098536928,0.024151961,0.16387846,0.056274396,0.17595705,-0.093324434,0.16362531,-0.72560552,-0.028116593,0.098260826,0.091754616,0.17782877,-0.66894278,-0.45544793,-0.68103815,-0.47800127,0.16349115,-0.0021110017,-0.1092881,-0.084675331,0.013211976,0.15132301,0.15945635,0.12659399,0.16625629,-0.18616673,0.1762644,-0.068644531,-0.25058309,0.15434782,-0.22534117,-0.0013826594
-158.03449,0.99998985,0.0035474367,10,1023,0,163.85203,0.034497301,1.2296367,0.26649796,-3.435147,0.032220674,0.11693653,-0.40489314,-0.12865022,-0.037599395,0.16385569,-2.5093341,-0.48260737,-0.0019825121,-4.4022825,-0.32270793,-0.49153744,-0.037971396,-0.3707069,-0.60980608,0.12391527,-1.0343792,-0.34542561,-4.1293166,0.099938552,0.19985603,-0.058378648,-0.23264701,-0.10720773,-0.22615641,-1.5014603,-0.27064556,0.19628636,0.046821696,-1.1771309,-0.05601976,-0.38023521,-0.52393527,-0.79412155,-0.17995528,-0.33916128,0.11779301,-0.067103831,-0.11465589,-0.21754309,0.19912602,-1.6601958,0.12995675,0.173973,-0.040022623,-2.53456,0.0027600376,-1.0492267,0.15686096,-1.0470567,-1.3063547,-0.43373823,-0.30746724,-0.067993423,0.16994925,-0.0083471257,-0.14650198,-0.22078071,-0.30692443,0.19596441,0.20195834,0.17077774,-0.30203571,0.14095528,-0.81789399,-0.81719987,-0.40178482,0.0018030251,-1.2813093,-1.8287717,-1.1419682,0.054458666,-1.1200568,-0.3625147,-0.39141567,0.17823618,-1.2845561,-3.1648314,-0.061700148,0.15616148,-1.6390749,-0.061277377,0.072807949,-0.46398544,-1.1701419,-0.18022792,-0.62062255,-0.58797697,-0.015713299,0.19884637,0.19444599,-1.2705255,-0.074727579,0.082323418,-0.0063572778,0.074200831,-1.7806402,-1.1172323,0.10239807,0.19979082,-0.064137623,-0.62412127,-3.0682018,-2.227265,0.16645651,0.17245189,-0.34683671,-0.24279568,0.16985133,-2.7794916,0.050738838,-0.1939547,-0.6415024,0.20437154,-0.13526204,-0.7005547,-0.020374393,-1.6959344,-0.64524046,0.055784078,-1.6714025,-0.57847387,-1.2342436,-2.3445565,0.0090469522,-0.1757357,0.063396761,-0.20318616,-0.15147848,0.18950699,0.19877562,0.082907248,-1.104526,0.065907252,-0.95245633,-0.31877359,-0.35844762,-0.094512408,-0.1256687,-0.31508966,-0.19325672,-0.73377068,-1.9678509,0.20308767,-1.5089822,0.037662586,0.176705,-0.73405371,-0.034896501,0.1791724,0.048640118,-1.4043533,0.11936992,-0.19332339,-0.0076048935,-1.206073,0.18000842,0.092676009,-0.91146164,-0.024632187,-0.48553228,0.15862175,0.18650678,-0.069794503,0.16356656,-0.081963198,-2.2869189,-0.19931792,0.025406694,-0.31501173,-0.119427,0.070404548,-0.54130284,0.20248809,0.17239834,-0.064928984,-1.0573201,-1.2357766,0.038800468,0.17313876,-0.87423593,-0.12727618,-0.36950084,0.19580984,0.13161353,-1.3542377,-0.33020874,-0.083142241,0.083443226,-1.9326873,-1.2044448,-0.35103451,0.2052493,0.10949246,0.13574038,-0.29018094,0.022521791,-0.78233538,-1.3402315,0.11328702,0.14000841,-1.7088421,0.1766067,0.022490354,-0.90635826,0.022820682,-0.35796174,0.016596926,-0.40927882,-0.15509934,-0.22603698,0.17523281,-0.65126569,0.045116825,-0.72700583,-0.4226478,-1.1259098,-1.3587856,-1.2619988,-2.0030754,0.16238654,-0.4142435,-1.1512465,-8.5224283,0.18267939,-2.7640911,-0.32118613,-0.19538222,-0.69368224,-0.0026987805,0.19210096,0.19629898,-0.73137236,0.14689347,-0.38238442,0.16840311,-0.78030256,-0.089306451,-0.49528296,0.0088870207,0.20600513,0.19364773,0.18361584,0.055063664,-0.15038483,-0.85081203,-0.91212513,-0.44102708,-2.7569235,0.11407982,0.041356499,0.1100648,-0.82006878,0.19448708,-0.12158188,0.064932156,0.032979049,-1.9990563,-0.47620482,0.1734522,0.033295528,0.20800069,-0.24972463,-0.36725217,-2.8288631,0.20780212,-0.90316114,0.19230135,-0.43689532,0.14671411,0.079512139,0.19364031,0.10652251,0.20933976,-0.31018676,0.19333127,-0.688641,-0.19143199,0.15180712,0.029267041,0.2073112,-0.63042451,-0.41589169,-0.64885843,-1.0473707,0.17199275,0.053837467,-0.054832666,-0.029836065,-0.11528952,0.19840418,0.20409704,0.090053376,0.16889601,-0.47782443,0.19489251,-0.019122409,-0.2000188,0.2004664,-0.17407988,0.04879427
