# stan_version_major = 2
# stan_version_minor = 37
# stan_version_patch = 0
# model = rlddm_single_subject_model
# start_datetime = 2025-09-25 04:29:00 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 2000
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.999
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = dense_e
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /Users/jy4657/Desktop/Repositories/tst-stan/recovery_out/tmp_subject_15_1758774539311/tmpoaugwe86/qqxs0ca2.json
# init = 2 (Default)
# random
#   seed = 2042
# output
#   file = /Users/jy4657/Desktop/Repositories/tst-stan/cmdstan_tmp/subject_15_20250925_002900/rlddm_single_subject-20250925002900.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.37.0
# stancflags = --filename-in-msg=rlddm_single_subject.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,a,t0,log_scaler,scaler,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46,log_lik.47,log_lik.48,log_lik.49,log_lik.50,log_lik.51,log_lik.52,log_lik.53,log_lik.54,log_lik.55,log_lik.56,log_lik.57,log_lik.58,log_lik.59,log_lik.60,log_lik.61,log_lik.62,log_lik.63,log_lik.64,log_lik.65,log_lik.66,log_lik.67,log_lik.68,log_lik.69,log_lik.70,log_lik.71,log_lik.72,log_lik.73,log_lik.74,log_lik.75,log_lik.76,log_lik.77,log_lik.78,log_lik.79,log_lik.80,log_lik.81,log_lik.82,log_lik.83,log_lik.84,log_lik.85,log_lik.86,log_lik.87,log_lik.88,log_lik.89,log_lik.90,log_lik.91,log_lik.92,log_lik.93,log_lik.94,log_lik.95,log_lik.96,log_lik.97,log_lik.98,log_lik.99,log_lik.100,log_lik.101,log_lik.102,log_lik.103,log_lik.104,log_lik.105,log_lik.106,log_lik.107,log_lik.108,log_lik.109,log_lik.110,log_lik.111,log_lik.112,log_lik.113,log_lik.114,log_lik.115,log_lik.116,log_lik.117,log_lik.118,log_lik.119,log_lik.120,log_lik.121,log_lik.122,log_lik.123,log_lik.124,log_lik.125,log_lik.126,log_lik.127,log_lik.128,log_lik.129,log_lik.130,log_lik.131,log_lik.132,log_lik.133,log_lik.134,log_lik.135,log_lik.136,log_lik.137,log_lik.138,log_lik.139,log_lik.140,log_lik.141,log_lik.142,log_lik.143,log_lik.144,log_lik.145,log_lik.146,log_lik.147,log_lik.148,log_lik.149,log_lik.150,log_lik.151,log_lik.152,log_lik.153,log_lik.154,log_lik.155,log_lik.156,log_lik.157,log_lik.158,log_lik.159,log_lik.160,log_lik.161,log_lik.162,log_lik.163,log_lik.164,log_lik.165,log_lik.166,log_lik.167,log_lik.168,log_lik.169,log_lik.170,log_lik.171,log_lik.172,log_lik.173,log_lik.174,log_lik.175,log_lik.176,log_lik.177,log_lik.178,log_lik.179,log_lik.180,log_lik.181,log_lik.182,log_lik.183,log_lik.184,log_lik.185,log_lik.186,log_lik.187,log_lik.188,log_lik.189,log_lik.190,log_lik.191,log_lik.192,log_lik.193,log_lik.194,log_lik.195,log_lik.196,log_lik.197,log_lik.198,log_lik.199,log_lik.200,log_lik.201,log_lik.202,log_lik.203,log_lik.204,log_lik.205,log_lik.206,log_lik.207,log_lik.208,log_lik.209,log_lik.210,log_lik.211,log_lik.212,log_lik.213,log_lik.214,log_lik.215,log_lik.216,log_lik.217,log_lik.218,log_lik.219,log_lik.220,log_lik.221,log_lik.222,log_lik.223,log_lik.224,log_lik.225,log_lik.226,log_lik.227,log_lik.228,log_lik.229,log_lik.230,log_lik.231,log_lik.232,log_lik.233,log_lik.234,log_lik.235,log_lik.236,log_lik.237,log_lik.238,log_lik.239,log_lik.240,log_lik.241,log_lik.242,log_lik.243,log_lik.244,log_lik.245,log_lik.246,log_lik.247,log_lik.248,log_lik.249,log_lik.250,log_lik.251,log_lik.252,log_lik.253,log_lik.254,log_lik.255,log_lik.256,log_lik.257,log_lik.258,log_lik.259,log_lik.260,log_lik.261,log_lik.262,log_lik.263,log_lik.264,log_lik.265,log_lik.266,log_lik.267,log_lik.268,log_lik.269,log_lik.270,log_lik.271,log_lik.272,log_lik.273,log_lik.274,log_lik.275,log_lik.276,log_lik.277,log_lik.278,log_lik.279,log_lik.280,log_lik.281,log_lik.282,log_lik.283,log_lik.284,log_lik.285,log_lik.286,log_lik.287,log_lik.288,log_lik.289,log_lik.290,log_lik.291,log_lik.292,log_lik.293,log_lik.294,log_lik.295,log_lik.296,log_lik.297,log_lik.298,log_lik.299,log_lik.300
# Adaptation terminated
# Step size = 0.0508725
# Elements of inverse mass matrix:
# 0.286734, -0.0173327, 0.0427295, 0.0613844
# -0.0173327, 0.00503304, -0.0231307, 0.00227632
# 0.0427295, -0.0231307, 1.51568, -0.0138708
# 0.0613844, 0.00227632, -0.0138708, 0.0546602
-242.69367,0.99811035,0.050872485,5,47,0,243.76694,0.87389912,1.4088893,0.40268176,-2.9707248,0.051266138,-0.089470683,-0.16730701,-0.20834787,-0.67938842,-0.8582475,-0.16457217,-0.12853507,-0.46679743,-0.93555563,-3.1934658,-1.0474408,-0.075728678,-0.094808585,-0.098259508,-3.0283643,-0.30843115,-1.7455873,-0.071778705,-0.87304123,-0.15126041,-0.41584618,-0.37712082,-2.0041387,-0.98984361,-0.11504317,-0.43044715,-0.11605384,-0.46219921,-0.20191441,-0.47719541,-3.8214671,-0.41341654,-1.7629885,-0.15895071,-0.33879133,-0.84571081,-2.7748251,-0.50145303,-1.4390483,-2.270979,-2.9054813,-0.3368146,-0.097222013,-0.43462522,-2.5825328,-0.41348246,-0.082778587,-1.7679843,-1.8276517,-0.48181379,-0.41097965,-0.23019988,-0.074202874,-0.5026273,-0.27421518,-1.4835496,-0.19605496,-1.5529512,-0.5087624,-1.0351002,-1.0129972,-0.33559063,-0.12596438,-0.25999503,-0.50369037,-0.46517858,-0.58089676,-0.34425779,-1.54609,-0.95375501,-0.81520523,-0.81022199,-0.14001998,-2.4165853,-0.28281891,-0.74221005,-0.1412244,-1.1705499,-1.1547671,-0.24409014,-0.077886597,-0.1110596,-0.096752837,-1.1109887,-3.6296241,-1.1812848,-0.50940974,-0.56504148,-0.62450487,-2.2040089,-1.0627093,-0.54276078,-1.6359137,-0.32093717,-0.18317103,-0.17749882,-1.2583728,-0.5293546,-0.2919942,-0.10835397,-0.090698759,-0.43043879,-0.11466895,-0.10496417,-0.90255601,-0.3772144,-1.0289604,-0.62048342,-1.9266056,-0.5026495,-0.93251235,-0.52184174,-1.0554702,-0.11378628,-0.94818325,-1.9694557,-1.392563,-0.70043076,-0.098875264,-0.63973593,-0.60853679,-0.59418791,-1.3079622,-0.46567467,-0.48513141,-0.17749173,-0.091359096,-0.65518662,-1.3039427,-0.59758512,-0.073166927,-0.3573745,-0.085708321,-0.10381035,-2.5421356,-0.91564149,-1.2856189,-0.85544306,-0.0855289,-0.49354488,-1.9919419,-0.23693273,-0.47949625,-0.08562762,-0.36762619,-3.413829,-0.50683217,-1.2747697,-0.12424538,-1.4040268,-0.097445356,-2.3017471,-0.60303789,-0.16782757,-0.15921277,-0.31393297,-0.6489883,-0.77863897,-1.6451656,-1.4829009,-1.7466032,-0.1250491,-0.096041217,-0.4628394,-0.56110103,-0.082261834,-0.10504823,-0.68690796,-1.4962622,-0.10517066,-0.61671097,-2.3639482,-0.10618434,-0.26568493,-0.11346451,-0.098895282,-0.34203261,-1.4977025,-1.4110827,-0.25773368,-0.2823818,-0.39695399,-0.761269,-0.079229513,-0.16858332,-0.10175167,-0.41254412,-0.14438792,-1.1859299,-0.14380891,-0.2320116,-1.086426,-0.57885051,-0.035311065,-0.71705615,-0.66880773,-1.2511071,-0.51635127,-0.33382936,-0.05273163,-0.10648639,-0.26061834,-0.11245254,-0.50389806,-0.36486023,-0.26573239,-0.94430841,-0.80081087,-0.34774154,-0.30812528,-0.71982788,-0.48639975,-0.6741977,-0.34951192,-2.4376509,-0.33515597,-0.82825877,-1.828265,-0.30794141,-0.25356921,-0.26237723,-0.56129467,-0.080525651,-0.072702885,-0.63414354,-1.9171064,-0.042815219,-0.69257551,-1.4853852,-1.1567352,-1.6542052,-0.20647309,-5.7534141,-0.41111597,-0.3184655,-0.379727,-2.5060279,-0.10499478,-0.76914709,-1.1638075,-0.42659638,-0.13410907,-0.22968592,-0.13792993,-0.28351991,-1.2982898,-0.74096615,-0.041399204,-1.5724028,-0.14115303,-0.23044951,-0.16048294,-1.2166255,-0.33333387,-0.24014343,-0.035162459,-0.035507901,-0.10868119,-1.8338109,-0.28479352,-0.32162974,-0.27494403,-1.2180153,-0.12021048,-0.16541152,-0.21518025,-0.197738,-1.750347,-1.8251692,-0.86805917,-0.094767811,-1.1837344,-0.052802157,-0.84758588,-3.4344752,-0.48659047,-0.077537891,-0.46237017,-0.20562901,-0.44079456,-0.17312412,-1.6115187,-0.23020996,-0.18095959,-1.1713217,-1.526808,-0.2346408,-1.390077,-1.3030646,-0.11446267,-0.13070509,-0.74374592,-0.074963268,-0.18296338,-1.1065721,-0.69186146,-0.096837706,-0.78112224,-0.5581192,-1.2608005
-243.03,0.99906815,0.050872485,5,31,0,244.50022,0.83187514,1.4105501,0.39411007,-3.1239635,0.0439825,-0.10213957,-0.18918206,-0.22799653,-0.70027976,-0.87903088,-0.18280538,-0.10603506,-0.48782198,-0.95609132,-3.2103242,-1.0677367,-0.073106709,-0.083562217,-0.11220522,-3.0437052,-0.23707219,-1.7640182,-0.078617159,-0.8935147,-0.16917688,-0.43700971,-0.39822547,-2.0219577,-1.010046,-0.096632237,-0.45162147,-0.13185166,-0.4833793,-0.15840558,-0.36247602,-3.8350087,-0.43457805,-1.7813748,-0.17718719,-0.35977828,-0.86624425,-2.7908301,-0.52261468,-1.4594955,-2.2910864,-2.9266108,-0.3572738,-0.082942022,-0.45620345,-2.5973995,-0.43470647,-0.0766196,-1.7863973,-1.8459267,-0.50300129,-0.43212542,-0.25023772,-0.082643719,-0.52948471,-0.30060978,-1.5035868,-0.2156501,-1.5712547,-0.52985339,-1.0626683,-1.0320745,-0.25777424,-0.14248829,-0.28072717,-0.53067026,-0.48660457,-0.60152044,-0.3648974,-1.5635275,-0.97312886,-0.83498001,-0.83046136,-0.15732813,-2.402311,-0.29721628,-0.55478436,-0.11140956,-1.1910731,-1.1738627,-0.26455597,-0.067027419,-0.092278461,-0.086637584,-1.1224347,-3.6528308,-0.87684548,-0.5360089,-0.58664476,-0.64603472,-2.2236501,-1.0831301,-0.56361199,-1.6403081,-0.24393925,-0.2019473,-0.14027158,-1.2868611,-0.55615265,-0.30653909,-0.12351462,-0.07726479,-0.45159973,-0.095122734,-0.091321582,-0.92247037,-0.28848496,-1.0488071,-0.64173662,-1.9626701,-0.52363936,-0.95311121,-0.5426249,-1.0760905,-0.12938283,-0.96908293,-2.0070901,-1.4118218,-0.7144592,-0.095895503,-0.66070325,-0.62930161,-0.61549144,-1.3368533,-0.4923292,-0.51178793,-0.14025396,-0.081879639,-0.67641152,-1.323067,-0.61855565,-0.081049408,-0.37817899,-0.078159708,-0.11839134,-2.5918075,-0.93649692,-1.3059215,-0.87540824,-0.0975721,-0.51446404,-2.0100145,-0.25713341,-0.49999798,-0.097164745,-0.38802266,-3.4172226,-0.38305309,-1.2929257,-0.10121528,-1.4222263,-0.083256968,-2.3151362,-0.62354941,-0.13404318,-0.16973189,-0.24062495,-0.66958184,-0.79930525,-1.6646654,-1.5007995,-1.7489174,-0.10889637,-0.11809001,-0.48356249,-0.58169673,-0.07585249,-0.098125431,-0.70111477,-1.0927761,-0.095035301,-0.63090871,-2.350091,-0.12943134,-0.28587848,-0.12929379,-0.098751966,-0.36911938,-1.5033073,-1.440642,-0.27786161,-0.30302797,-0.41832113,-0.7819901,-0.089557275,-0.19363545,-0.12433904,-0.31818659,-0.15395145,-1.2133578,-0.16788009,-0.24589823,-1.0987736,-0.59432816,-0.042475767,-0.73874071,-0.68935927,-1.2608069,-0.53139442,-0.34872296,-0.069888401,-0.10603417,-0.27522612,-0.10471822,-0.5195479,-0.39097019,-0.20358119,-0.96418083,-0.59982348,-0.36845397,-0.32283658,-0.73442628,-0.51280085,-0.69434914,-0.37592922,-2.424338,-0.36153526,-0.8546657,-1.8305701,-0.33406249,-0.26789939,-0.27685667,-0.57682555,-0.1013366,-0.09277509,-0.66021046,-1.9495961,-0.057924234,-0.70766791,-1.5138239,-1.1835383,-1.6839183,-0.16362726,-5.8822872,-0.43156762,-0.34477531,-0.40601804,-2.5507723,-0.12753821,-0.57541672,-1.1824578,-0.3231594,-0.1586382,-0.24947987,-0.15502639,-0.30990937,-1.3187498,-0.76092752,-0.054639906,-1.6027318,-0.16523986,-0.24420245,-0.18504751,-1.2274176,-0.34855346,-0.2658512,-0.044630445,-0.043288978,-0.11075289,-1.8360236,-0.29958896,-0.33678138,-0.30090392,-1.2363736,-0.098032941,-0.18417438,-0.16802772,-0.21722891,-1.7685372,-1.8434596,-0.88852092,-0.083476117,-1.203478,-0.070032039,-0.86140132,-3.5266162,-0.5084299,-0.088079856,-0.48290013,-0.22494351,-0.46227971,-0.13792219,-1.6304509,-0.25026555,-0.19992508,-1.1911258,-1.5457431,-0.25474828,-1.409342,-1.322532,-0.13012678,-0.14742242,-0.7650116,-0.083763903,-0.20194368,-1.1264045,-0.71279904,-0.084692712,-0.80178366,-0.57921677,-1.2803638
-241.50908,0.99338732,0.050872485,4,31,0,244.65385,0.77981898,1.4015348,0.40334207,-3.1834728,0.041441488,-0.080644734,-0.16531285,-0.20239166,-0.67921213,-0.86063573,-0.15705136,-0.11599752,-0.46387098,-0.93864126,-3.2248162,-1.0517592,-0.064084686,-0.082821821,-0.089669219,-3.0526898,-0.29417772,-1.7566758,-0.061778725,-0.87493428,-0.14421909,-0.4127318,-0.37353976,-2.0179331,-0.99296132,-0.10245913,-0.42750652,-0.10814179,-0.45962793,-0.18820255,-0.46292213,-3.8543828,-0.4102749,-1.7742441,-0.15207165,-0.33472863,-0.84730552,-2.7967277,-0.49932852,-1.4501187,-2.2951733,-2.9434626,-0.3313271,-0.083535538,-0.43275756,-2.5982627,-0.41052725,-0.071191644,-1.7794299,-1.8397336,-0.47951512,-0.40776187,-0.22459119,-0.064487338,-0.5100123,-0.27845493,-1.4942632,-0.19047697,-1.5605297,-0.50652839,-1.051415,-1.013716,-0.31053811,-0.11827715,-0.25567768,-0.51130641,-0.46327236,-0.57856892,-0.33928172,-1.5515472,-0.95430509,-0.81447472,-0.81047191,-0.13251198,-2.384911,-0.26831583,-0.73812755,-0.1365326,-1.1773476,-1.1579039,-0.23930676,-0.074036759,-0.097425877,-0.085795159,-1.1014587,-3.6869143,-1.1636467,-0.51621808,-0.56492161,-0.62507745,-2.2258825,-1.0675962,-0.54039931,-1.6223902,-0.31523343,-0.17578632,-0.16339763,-1.2793538,-0.5369281,-0.27774541,-0.10039161,-0.087674746,-0.42745045,-0.10162252,-0.093097717,-0.90364219,-0.36327268,-1.0318646,-0.62029278,-1.9704027,-0.50012689,-0.93560159,-0.51908446,-1.0605796,-0.10665829,-0.95227998,-2.0170461,-1.3999248,-0.6889287,-0.078820146,-0.6391321,-0.60696005,-0.59372708,-1.3304715,-0.47206922,-0.49178034,-0.16335419,-0.080054342,-0.65549115,-1.3096559,-0.59631233,-0.063519163,-0.35289414,-0.073901988,-0.095335384,-2.6161527,-0.91904165,-1.2937066,-0.85585281,-0.077081761,-0.49070048,-2.0062752,-0.23161934,-0.47540822,-0.078188684,-0.36210696,-3.411863,-0.49163596,-1.277448,-0.11022999,-1.4089657,-0.083996484,-2.3089161,-0.60073111,-0.15509172,-0.14182233,-0.31027336,-0.64753381,-0.77946279,-1.6574323,-1.4883312,-1.7311343,-0.10442021,-0.096598451,-0.45911013,-0.5583842,-0.069998779,-0.084267583,-0.67554356,-1.4915958,-0.082943758,-0.60417367,-2.3308779,-0.10923025,-0.25980198,-0.10628448,-0.078462473,-0.34824192,-1.4833571,-1.4361143,-0.25173642,-0.27755322,-0.39418265,-0.76196993,-0.069713701,-0.17118017,-0.10299316,-0.39014408,-0.12807962,-1.2037303,-0.14478835,-0.21786716,-1.0785528,-0.56891269,-0.031705608,-0.71946545,-0.66755751,-1.2405842,-0.5044252,-0.3201609,-0.052148287,-0.088177801,-0.24731661,-0.093755416,-0.49331491,-0.36873948,-0.24982917,-0.94579427,-0.78732152,-0.34295845,-0.29414075,-0.71007314,-0.4924397,-0.67212168,-0.35402288,-2.4095348,-0.33947292,-0.83913152,-1.8154822,-0.31144378,-0.2397698,-0.248711,-0.55122423,-0.079673354,-0.071489942,-0.64143057,-1.9518256,-0.040332392,-0.68360096,-1.5082588,-1.1725816,-1.6812557,-0.19460548,-6.2372582,-0.40608853,-0.32249983,-0.38417327,-2.5673679,-0.10515843,-0.7546168,-1.1659501,-0.41059546,-0.13765054,-0.22342762,-0.1296139,-0.28770412,-1.3071063,-0.73946867,-0.039703241,-1.6004632,-0.14260753,-0.21577337,-0.16192691,-1.2079201,-0.32058327,-0.24269213,-0.032270797,-0.032383151,-0.090944969,-1.8209935,-0.27146017,-0.30878222,-0.27797944,-1.2202691,-0.10560239,-0.15949061,-0.20112868,-0.19183623,-1.7607607,-1.8372691,-0.869812,-0.082632695,-1.1888703,-0.052448969,-0.83828759,-3.5751433,-0.48598246,-0.066754121,-0.45815669,-0.19885736,-0.43878593,-0.16046171,-1.621763,-0.22466852,-0.17445932,-1.1764464,-1.535547,-0.22910995,-1.3974149,-1.3094747,-0.10650185,-0.12226638,-0.74547018,-0.064754335,-0.17638157,-1.1106329,-0.69202888,-0.084519763,-0.78197574,-0.55661426,-1.266752
