# stan_version_major = 2
# stan_version_minor = 37
# stan_version_patch = 0
# model = rlddm_single_subject_model
# start_datetime = 2025-09-25 04:29:21 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 2000
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.999
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = dense_e
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /Users/jy4657/Desktop/Repositories/tst-stan/recovery_out/tmp_subject_19_1758774559616/tmp0boesywt/0zxk83x1.json
# init = 2 (Default)
# random
#   seed = 2046
# output
#   file = /Users/jy4657/Desktop/Repositories/tst-stan/cmdstan_tmp/subject_19_20250925_002921/rlddm_single_subject-20250925002921.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.37.0
# stancflags = --filename-in-msg=rlddm_single_subject.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,a,t0,log_scaler,scaler,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46,log_lik.47,log_lik.48,log_lik.49,log_lik.50,log_lik.51,log_lik.52,log_lik.53,log_lik.54,log_lik.55,log_lik.56,log_lik.57,log_lik.58,log_lik.59,log_lik.60,log_lik.61,log_lik.62,log_lik.63,log_lik.64,log_lik.65,log_lik.66,log_lik.67,log_lik.68,log_lik.69,log_lik.70,log_lik.71,log_lik.72,log_lik.73,log_lik.74,log_lik.75,log_lik.76,log_lik.77,log_lik.78,log_lik.79,log_lik.80,log_lik.81,log_lik.82,log_lik.83,log_lik.84,log_lik.85,log_lik.86,log_lik.87,log_lik.88,log_lik.89,log_lik.90,log_lik.91,log_lik.92,log_lik.93,log_lik.94,log_lik.95,log_lik.96,log_lik.97,log_lik.98,log_lik.99,log_lik.100,log_lik.101,log_lik.102,log_lik.103,log_lik.104,log_lik.105,log_lik.106,log_lik.107,log_lik.108,log_lik.109,log_lik.110,log_lik.111,log_lik.112,log_lik.113,log_lik.114,log_lik.115,log_lik.116,log_lik.117,log_lik.118,log_lik.119,log_lik.120,log_lik.121,log_lik.122,log_lik.123,log_lik.124,log_lik.125,log_lik.126,log_lik.127,log_lik.128,log_lik.129,log_lik.130,log_lik.131,log_lik.132,log_lik.133,log_lik.134,log_lik.135,log_lik.136,log_lik.137,log_lik.138,log_lik.139,log_lik.140,log_lik.141,log_lik.142,log_lik.143,log_lik.144,log_lik.145,log_lik.146,log_lik.147,log_lik.148,log_lik.149,log_lik.150,log_lik.151,log_lik.152,log_lik.153,log_lik.154,log_lik.155,log_lik.156,log_lik.157,log_lik.158,log_lik.159,log_lik.160,log_lik.161,log_lik.162,log_lik.163,log_lik.164,log_lik.165,log_lik.166,log_lik.167,log_lik.168,log_lik.169,log_lik.170,log_lik.171,log_lik.172,log_lik.173,log_lik.174,log_lik.175,log_lik.176,log_lik.177,log_lik.178,log_lik.179,log_lik.180,log_lik.181,log_lik.182,log_lik.183,log_lik.184,log_lik.185,log_lik.186,log_lik.187,log_lik.188,log_lik.189,log_lik.190,log_lik.191,log_lik.192,log_lik.193,log_lik.194,log_lik.195,log_lik.196,log_lik.197,log_lik.198,log_lik.199,log_lik.200,log_lik.201,log_lik.202,log_lik.203,log_lik.204,log_lik.205,log_lik.206,log_lik.207,log_lik.208,log_lik.209,log_lik.210,log_lik.211,log_lik.212,log_lik.213,log_lik.214,log_lik.215,log_lik.216,log_lik.217,log_lik.218,log_lik.219,log_lik.220,log_lik.221,log_lik.222,log_lik.223,log_lik.224,log_lik.225,log_lik.226,log_lik.227,log_lik.228,log_lik.229,log_lik.230,log_lik.231,log_lik.232,log_lik.233,log_lik.234,log_lik.235,log_lik.236,log_lik.237,log_lik.238,log_lik.239,log_lik.240,log_lik.241,log_lik.242,log_lik.243,log_lik.244,log_lik.245,log_lik.246,log_lik.247,log_lik.248,log_lik.249,log_lik.250,log_lik.251,log_lik.252,log_lik.253,log_lik.254,log_lik.255,log_lik.256,log_lik.257,log_lik.258,log_lik.259,log_lik.260,log_lik.261,log_lik.262,log_lik.263,log_lik.264,log_lik.265,log_lik.266,log_lik.267,log_lik.268,log_lik.269,log_lik.270,log_lik.271,log_lik.272,log_lik.273,log_lik.274,log_lik.275,log_lik.276,log_lik.277,log_lik.278,log_lik.279,log_lik.280,log_lik.281,log_lik.282,log_lik.283,log_lik.284,log_lik.285,log_lik.286,log_lik.287,log_lik.288,log_lik.289,log_lik.290,log_lik.291,log_lik.292,log_lik.293,log_lik.294,log_lik.295,log_lik.296,log_lik.297,log_lik.298,log_lik.299,log_lik.300
# Adaptation terminated
# Step size = 0.0553897
# Elements of inverse mass matrix:
# 0.55815, 0.00711359, -0.0274317, -0.0301571
# 0.00711359, 0.00418932, -0.0164408, 0.00743713
# -0.0274317, -0.0164408, 0.189329, -0.027578
# -0.0301571, 0.00743713, -0.027578, 0.0337743
-131.72736,0.99993805,0.055389684,6,63,0,133.42984,0.61034178,1.1319581,0.16459174,-3.2397263,0.039174617,0.36728124,-2.2330944,-2.2754589,0.29451664,-1.0546548,-0.76593111,0.14639311,0.32683836,-0.48041754,0.35454431,0.26138462,0.29735484,0.33735294,-0.99537011,-1.7107546,-0.18226883,0.32215,0.34809355,-0.15454864,0.23682032,-1.8085628,0.32125156,-0.62991461,-0.69907537,-1.706533,0.34765243,0.19638602,-0.79156806,0.20939418,0.37174699,0.18501962,-1.2006235,0.35934487,0.33615209,0.22400977,-0.31851076,0.33101462,0.16671529,-0.11663389,-1.9307162,0.14830005,0.29563914,-2.5226729,-0.12708769,-1.0269143,-0.36956159,-0.72836531,-0.36000081,-0.13470304,-0.65372135,-1.4699527,0.10681439,-1.1332376,-1.2628275,-0.90377097,-1.2481498,-1.0920178,-1.2556649,0.32695287,0.096561846,-0.92789832,0.29427856,-0.12133387,-0.32974393,-0.27944173,0.20337629,0.34940862,0.32905379,-1.432189,-0.81186346,-2.2398886,-1.2657002,-0.66711573,-0.77186563,-1.5756972,-0.15524352,0.34574221,-1.9216055,0.25060184,-0.19574402,-0.50707811,0.36206434,0.23171309,0.37826082,0.16596886,-0.22688093,-0.72231379,-0.2959227,-0.022219529,-0.69323155,-0.14294567,-0.95086923,-0.28406284,0.025037158,-0.0094120592,0.22609235,-0.23890817,0.11956611,0.38069164,-3.7804328,0.35929723,-0.22911186,-0.42802793,-1.1302166,0.22107358,-1.4594502,-0.85416863,-1.5012353,0.28497903,0.045019059,-0.6878701,-1.2871052,0.34249197,0.0017876552,0.27956647,-1.3223099,0.21766167,-2.9326273,0.29962294,0.23093322,-1.5053867,0.33927489,0.19740714,-0.69435631,-3.0742376,-1.5128125,-0.44221479,-1.5283026,0.21244865,-1.1696918,0.2911821,-0.52282422,-0.88643453,0.3263002,-0.32183309,-0.14319016,-0.20798986,-0.3331689,0.35617273,-0.8989864,0.011048026,0.19944783,0.37278338,0.061145022,-0.042793887,-0.16197666,-1.5773776,-2.8574308,-0.27573649,0.35049852,-0.85153992,-1.5726844,-2.2770334,0.075535983,0.35030831,-0.017823623,0.073119586,0.35731045,-1.5210515,0.14982413,0.036297866,-6.6723787,0.32694121,-2.7623816,-0.98809641,-0.61059681,0.15815857,-2.2496045,-0.026405065,0.2377733,0.36315202,-0.60577182,0.094825745,-0.36205454,-0.22200766,0.36031198,-0.064956889,-0.30718801,-0.48455016,0.33991224,-1.4896969,-0.088989097,-0.29995574,0.35408866,-0.8646165,-0.84836554,0.34659086,0.30993214,-0.02514231,-0.17197352,-0.14304612,-0.097153602,-0.7457301,-1.367569,0.33128628,-0.31687684,0.035447036,-0.061578136,-0.56899043,0.11031349,-0.058454726,0.19639375,-0.13878231,-1.8089646,-1.9087622,0.36509173,0.37735051,0.11480031,-0.56055485,-0.56388994,-0.50691475,-0.43085211,-0.83543881,-0.14842775,0.36720696,0.36337586,-0.027359268,-0.44505172,-0.47962961,-0.31493293,-0.31572936,0.17921756,-0.79595394,-0.8549647,-0.25421954,-0.40424978,-0.60805745,0.2171977,-0.0043369666,-0.2997119,0.099931066,0.13330154,0.32984861,0.16322297,0.3078765,-0.58039731,-1.1981731,0.1263089,0.34355739,0.3230849,-1.0149825,-2.4894578,-2.4097324,0.27163812,0.049892862,-0.41260723,0.096564903,-0.48713065,0.16864689,0.35436099,0.36220465,-0.52369257,0.21990131,-0.55450904,0.092346844,0.35906127,0.18606001,0.30336319,0.17999158,-0.29293917,0.32459699,-0.18921475,0.19116579,-0.29569118,-0.33955587,-0.382137,0.18502022,0.21472795,-0.3171167,0.025427564,-0.18415463,-0.22972509,0.36354675,-0.85009359,0.090959147,0.29672203,0.086757729,-1.044314,-0.38452311,-2.0898423,0.38252368,-2.9846315,0.074800668,-0.12629736,0.32250559,0.29080656,0.33972757,-1.8303441,-0.14251584,0.3392876,-0.66328555,0.34942295,0.35824685,-0.74748338,0.31524051,-0.39653415,0.37066445,0.30854017,-1.0532572,0.20986467
-131.85343,0.99898131,0.055389684,6,63,0,132.91394,0.38692781,1.1611378,0.16142661,-3.2503873,0.038759192,0.31570264,-2.1402469,-2.1805089,0.25776332,-1.0257294,-0.74181301,0.11695844,0.28324193,-0.47853802,0.31017125,0.22283736,0.25918361,0.29373426,-0.97502064,-1.6454819,-0.19205318,0.28286673,0.30452311,-0.16466119,0.19905377,-1.7348775,0.27928927,-0.61863527,-0.689774,-1.6187511,0.30518381,0.16974968,-0.76198867,0.14838053,0.31243628,0.15021815,-1.1744647,0.31237077,0.28530595,0.18681349,-0.31651352,0.29216446,0.1327452,-0.12377395,-1.8227502,0.11827634,0.25448269,-2.4642216,-0.14194659,-1.0020293,-0.37292606,-0.71110557,-0.36278788,-0.16947032,-0.65108484,-1.4252056,0.089035733,-1.0890999,-1.1787613,-0.87355852,-1.1960521,-1.0497442,-1.2211328,0.27459774,0.074203246,-0.90553671,0.23319863,-0.13871998,-0.33718632,-0.28929704,0.1472614,0.29945688,0.26787483,-1.380925,-0.78724485,-2.1722253,-1.2149575,-0.65596162,-0.74797608,-1.5251251,-0.16693784,0.29550475,-1.834449,0.2229865,-0.21278169,-0.49539268,0.31219242,0.17350873,0.32405349,0.1338588,-0.22957325,-0.69779765,-0.29801187,-0.040529804,-0.67747382,-0.15802771,-0.92430996,-0.31187333,-0.021274448,-0.030614524,0.19193597,-0.24670315,0.097311053,0.32491616,-3.8027747,0.3050675,-0.23735495,-0.42277908,-1.0881718,0.18617146,-1.4030778,-0.82695852,-1.4501329,0.22972732,0.021505247,-0.66099715,-1.23688,0.2905337,-0.018422302,0.24408974,-1.2868407,0.18622408,-2.8746456,0.26240695,0.17733163,-1.462522,0.29398657,0.16963613,-0.68267025,-2.9972518,-1.4687936,-0.43770636,-1.4780696,0.18029946,-1.1235762,0.25255333,-0.5131417,-0.85803479,0.28532864,-0.32393721,-0.15394371,-0.21634833,-0.33430126,0.31436738,-0.87454246,-0.0083156563,0.17268985,0.31441052,0.042893457,-0.063661468,-0.16364613,-1.5466341,-2.7767139,-0.27726683,0.30104768,-0.8205039,-1.525604,-2.2189817,0.054908701,0.30440621,-0.037994602,0.024531451,0.31100568,-1.4760488,0.12074666,0.016858546,-4.9271774,0.28350356,-2.5965304,-0.95214885,-0.60080596,0.13353187,-2.0923304,-0.052384575,0.17735595,0.31771793,-0.59785245,0.072598097,-0.36461233,-0.2265184,0.30413409,-0.077440796,-0.30809809,-0.47737778,0.28361149,-1.4320475,-0.10225884,-0.30355476,0.30520008,-0.83094557,-0.83244841,0.30050511,0.25416696,-0.039929078,-0.17936078,-0.15586935,-0.11238554,-0.71615737,-1.3356267,0.28866188,-0.31898279,-0.013612087,-0.076460917,-0.55842483,0.085203447,-0.073875925,0.16959038,-0.15035267,-1.7309873,-1.8347843,0.30508954,0.32076908,0.086925571,-0.54911053,-0.55113887,-0.51010947,-0.42443294,-0.81747871,-0.18687497,0.32035612,0.31138633,-0.043181697,-0.4389099,-0.47151028,-0.31598454,-0.31965954,0.15100725,-0.77213169,-0.83299327,-0.26137862,-0.40402204,-0.5972415,0.16481531,-0.047637251,-0.29820892,0.072071494,0.10810124,0.28669771,0.1067204,0.26653822,-0.57212178,-1.1493646,0.073136032,0.294524,0.27708473,-0.98894491,-2.3640918,-2.2895428,0.23108269,-0.0033871737,-0.4310103,0.048172871,-0.47742513,0.14168597,0.3013611,0.30674337,-0.518245,0.16162553,-0.54758374,0.07019991,0.31022508,0.15725692,0.24217561,0.14734336,-0.30083419,0.27998711,-0.20008169,0.14178099,-0.30226221,-0.33237602,-0.38399956,0.15363475,0.15969725,-0.31748542,0.0084223469,-0.19648318,-0.23242123,0.31500569,-0.83174916,0.06523755,0.2548277,0.064912129,-0.98851511,-0.40065709,-1.9778017,0.32610469,-2.8871117,0.05199953,-0.16448979,0.2798362,0.25215453,0.29980643,-1.7209551,-0.14467728,0.29194974,-0.63805854,0.29913175,0.30989506,-0.72633972,0.27101338,-0.41592494,0.31030838,0.24685647,-1.0266451,0.1758681
-132.4618,0.99957066,0.055389684,6,63,0,133.19444,0.64176701,1.1777964,0.15962851,-3.1640082,0.042256031,0.28651735,-2.0912586,-2.1303897,0.23193317,-1.0009911,-0.73785382,0.10496345,0.26355012,-0.47107323,0.27943829,0.20762518,0.23551968,0.26968225,-0.94463838,-1.6083115,-0.19742979,0.25271282,0.27201751,-0.17193067,0.18684754,-1.6993271,0.25695891,-0.62681273,-0.67128588,-1.6090982,0.27133612,0.14454286,-0.76304092,0.12427553,0.28943195,0.14230874,-1.133843,0.28472011,0.24694241,0.17510386,-0.32562473,0.25875274,0.12583242,-0.14134121,-1.8150455,0.10944668,0.24036613,-2.3673472,-0.14230601,-0.97363588,-0.36604682,-0.699356,-0.36202411,-0.19431872,-0.62948339,-1.3851885,0.064529987,-1.0758066,-1.1411658,-0.86312507,-1.1850037,-1.0407244,-1.1850452,0.23716047,0.053211896,-0.88208342,0.20461768,-0.14214709,-0.33401735,-0.28765636,0.11270224,0.26869058,0.24106377,-1.349205,-0.78182514,-2.0988404,-1.1978003,-0.64528139,-0.74496146,-1.4815388,-0.16904623,0.26034334,-1.8055885,0.19291593,-0.20647042,-0.49778193,0.27936362,0.1431309,0.30218117,0.12421514,-0.24191009,-0.69935508,-0.3021611,-0.051142434,-0.6695513,-0.15780334,-0.90676819,-0.32764796,-0.054106645,-0.035102212,0.17336664,-0.24949838,0.075316402,0.30185039,-3.5775059,0.27385051,-0.24062875,-0.42399615,-1.0728621,0.17373504,-1.3768579,-0.81771117,-1.4146035,0.19542862,0.011028656,-0.6676112,-1.2178117,0.25432781,-0.028282697,0.21732538,-1.2465886,0.16760243,-2.7462332,0.2320781,0.13890219,-1.4163522,0.26131544,0.15002793,-0.67041596,-2.8908316,-1.4246575,-0.43979163,-1.4376442,0.1662174,-1.1092144,0.23535594,-0.51498227,-0.85072385,0.26519528,-0.32278135,-0.15800502,-0.22455285,-0.33326094,0.28527119,-0.85597477,-0.023586043,0.15081304,0.29698053,0.025967082,-0.069235021,-0.18143258,-1.481368,-2.6683693,-0.28611458,0.26461767,-0.81880358,-1.4785702,-2.1342013,0.034303958,0.28613351,-0.041861146,-0.011392913,0.2917048,-1.43116,0.11097851,-0.0015009593,-5.0837782,0.25284599,-2.5695771,-0.94528428,-0.5888579,0.11480273,-2.1150781,-0.051579682,0.1489072,0.28509292,-0.58797609,0.056258159,-0.36305743,-0.23403835,0.27612371,-0.089533136,-0.31257855,-0.47624637,0.25232052,-1.4046354,-0.1115639,-0.30584127,0.28715258,-0.83089442,-0.80884116,0.26778543,0.22104003,-0.052835572,-0.18794279,-0.16119906,-0.11899878,-0.72114662,-1.2881575,0.26238779,-0.32133685,-0.041726987,-0.086377963,-0.55423008,0.070516516,-0.083525717,0.14391496,-0.15732295,-1.7016346,-1.7925274,0.28126916,0.29573559,0.074383767,-0.54583814,-0.54962548,-0.51920926,-0.42665486,-0.79709503,-0.2088124,0.29203519,0.27906048,-0.055009749,-0.43982619,-0.47176523,-0.3197106,-0.32034498,0.13253415,-0.76391623,-0.81820026,-0.26361618,-0.40202449,-0.5902266,0.12605232,-0.082636918,-0.30988307,0.065590294,0.086539337,0.25537521,0.081149923,0.25085189,-0.56098684,-1.1357546,0.039235348,0.27154581,0.25578274,-0.96615542,-2.334546,-2.2601087,0.21279778,-0.029223265,-0.43907537,0.014860915,-0.47873306,0.12305719,0.26841185,0.27840619,-0.512272,0.13159638,-0.54072504,0.054186849,0.28450444,0.13865037,0.2162735,0.13798013,-0.29537089,0.25668234,-0.20465671,0.10165221,-0.30195269,-0.34517239,-0.38157329,0.1369473,0.12714524,-0.32162558,-0.010311737,-0.19577505,-0.24536871,0.29605593,-0.8101297,0.05757892,0.23384072,0.045277294,-0.95822294,-0.42012504,-1.9597294,0.30104405,-2.7690938,0.034434811,-0.18398212,0.24989792,0.22414694,0.27260643,-1.7254634,-0.16421585,0.2504414,-0.64495584,0.28350715,0.28610712,-0.71969986,0.25427899,-0.420682,0.28764323,0.22190474,-0.99795164,0.1586545
