# stan_version_major = 2
# stan_version_minor = 37
# stan_version_patch = 0
# model = rlddm_single_subject_model
# start_datetime = 2025-09-26 05:10:17 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 3000
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.9999
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = dense_e
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /tmp/tmpxvcs7k9_/hy3du52e.json
# init = 2 (Default)
# random
#   seed = 2026
# output
#   file = /mnt/cup/people/jy4657/Repositories/tst-stan/cmdstan_tmp/subject_0_20250926_011017/rlddm_single_subject-20250926011017_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.37.0
# stancflags = --filename-in-msg=rlddm_single_subject.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,a,t0,log_scaler,scaler,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46,log_lik.47,log_lik.48,log_lik.49,log_lik.50,log_lik.51,log_lik.52,log_lik.53,log_lik.54,log_lik.55,log_lik.56,log_lik.57,log_lik.58,log_lik.59,log_lik.60,log_lik.61,log_lik.62,log_lik.63,log_lik.64,log_lik.65,log_lik.66,log_lik.67,log_lik.68,log_lik.69,log_lik.70,log_lik.71,log_lik.72,log_lik.73,log_lik.74,log_lik.75,log_lik.76,log_lik.77,log_lik.78,log_lik.79,log_lik.80,log_lik.81,log_lik.82,log_lik.83,log_lik.84,log_lik.85,log_lik.86,log_lik.87,log_lik.88,log_lik.89,log_lik.90,log_lik.91,log_lik.92,log_lik.93,log_lik.94,log_lik.95,log_lik.96,log_lik.97,log_lik.98,log_lik.99,log_lik.100,log_lik.101,log_lik.102,log_lik.103,log_lik.104,log_lik.105,log_lik.106,log_lik.107,log_lik.108,log_lik.109,log_lik.110,log_lik.111,log_lik.112,log_lik.113,log_lik.114,log_lik.115,log_lik.116,log_lik.117,log_lik.118,log_lik.119,log_lik.120,log_lik.121,log_lik.122,log_lik.123,log_lik.124,log_lik.125,log_lik.126,log_lik.127,log_lik.128,log_lik.129,log_lik.130,log_lik.131,log_lik.132,log_lik.133,log_lik.134,log_lik.135,log_lik.136,log_lik.137,log_lik.138,log_lik.139,log_lik.140,log_lik.141,log_lik.142,log_lik.143,log_lik.144,log_lik.145,log_lik.146,log_lik.147,log_lik.148,log_lik.149,log_lik.150,log_lik.151,log_lik.152,log_lik.153,log_lik.154,log_lik.155,log_lik.156,log_lik.157,log_lik.158,log_lik.159,log_lik.160,log_lik.161,log_lik.162,log_lik.163,log_lik.164,log_lik.165,log_lik.166,log_lik.167,log_lik.168,log_lik.169,log_lik.170,log_lik.171,log_lik.172,log_lik.173,log_lik.174,log_lik.175,log_lik.176,log_lik.177,log_lik.178,log_lik.179,log_lik.180,log_lik.181,log_lik.182,log_lik.183,log_lik.184,log_lik.185,log_lik.186,log_lik.187,log_lik.188,log_lik.189,log_lik.190,log_lik.191,log_lik.192,log_lik.193,log_lik.194,log_lik.195,log_lik.196,log_lik.197,log_lik.198,log_lik.199,log_lik.200,log_lik.201,log_lik.202,log_lik.203,log_lik.204,log_lik.205,log_lik.206,log_lik.207,log_lik.208,log_lik.209,log_lik.210,log_lik.211,log_lik.212,log_lik.213,log_lik.214,log_lik.215,log_lik.216,log_lik.217,log_lik.218,log_lik.219,log_lik.220,log_lik.221,log_lik.222,log_lik.223,log_lik.224,log_lik.225,log_lik.226,log_lik.227,log_lik.228,log_lik.229,log_lik.230,log_lik.231,log_lik.232,log_lik.233,log_lik.234,log_lik.235,log_lik.236,log_lik.237,log_lik.238,log_lik.239,log_lik.240,log_lik.241,log_lik.242,log_lik.243,log_lik.244,log_lik.245,log_lik.246,log_lik.247,log_lik.248,log_lik.249,log_lik.250,log_lik.251,log_lik.252,log_lik.253,log_lik.254,log_lik.255,log_lik.256,log_lik.257,log_lik.258,log_lik.259,log_lik.260,log_lik.261,log_lik.262,log_lik.263,log_lik.264,log_lik.265,log_lik.266,log_lik.267,log_lik.268,log_lik.269,log_lik.270,log_lik.271,log_lik.272,log_lik.273,log_lik.274,log_lik.275,log_lik.276,log_lik.277,log_lik.278,log_lik.279,log_lik.280,log_lik.281,log_lik.282,log_lik.283,log_lik.284,log_lik.285,log_lik.286,log_lik.287,log_lik.288,log_lik.289,log_lik.290,log_lik.291,log_lik.292,log_lik.293
# Adaptation terminated
# Step size = 0.0987284
# Elements of inverse mass matrix:
# 0.475381, 0.00852281, -0.0350807, -0.0162892
# 0.00852281, 0.00751702, -0.0161563, 0.00082109
# -0.0350807, -0.0161563, 1.19197, 0.00117123
# -0.0162892, 0.00082109, 0.00117123, 0.0468228
-276.81205,0.99984003,0.098728357,5,31,0,278.83825,0.34249304,1.4851814,0.17500595,-3.0544511,0.047148591,-1.803021,-1.0021508,-0.26996069,-1.2406739,-0.35171616,-1.9542093,-0.18688098,-8.5605408,-0.77931608,-0.25331221,-0.37256277,-0.76369516,-0.67115041,-0.19540725,-0.27811574,-0.72644692,-0.29650681,-1.6212167,-0.91166816,-0.96840113,-1.6981901,-0.88172834,-0.60201632,-0.99496917,-0.96240635,-0.51082388,-1.8457947,-0.26082151,-0.5282462,-0.51270096,-0.39452122,-1.3231494,-0.18989783,-2.6411562,-2.7136191,-0.45226588,-1.5050185,-1.4969414,-0.69016618,-0.66770899,-0.51621762,-2.5844502,-2.0939125,-1.5393597,-0.62149977,-0.60374538,-1.0545913,-1.8880391,-2.0632597,-0.92997093,-0.86762852,-1.4405323,-1.2395833,-0.47807074,-0.24501096,-0.91803132,-0.7151439,-1.6963234,-0.20877878,-0.70263834,-0.80266964,-0.81712116,-0.60258212,-0.74721356,-0.69070353,-0.17081824,-0.78925156,-1.0054622,-1.1908629,-1.5674412,-0.5104293,-1.2361461,-1.0347327,-0.1742006,-0.18093493,-0.3901426,-0.68564762,-0.82703636,-2.0262726,-0.97226447,-0.64105014,-0.88662495,-0.20004508,-3.9407433,-0.94503901,-0.76169358,-0.20329231,-0.60733708,-0.19905903,-0.42530774,-0.63769293,-0.79870717,-0.47620744,-0.22772048,-1.5020076,-1.3151921,-1.1538068,-0.77421128,-0.45974104,-0.24013304,-1.2265006,-0.88239021,-0.98370084,-0.99070599,-0.19051822,-1.0418042,-0.48188028,-0.3018321,-0.90276625,-0.42622171,-0.27699556,-0.39883479,-0.89287342,-1.1949585,-0.63963429,-1.7749299,-0.36526955,-0.84928027,-0.70465863,-0.72736388,-1.5118068,-1.0480161,-1.1115187,-0.56944243,-0.83653772,-0.24670277,-0.55255945,-0.817474,-1.2962562,-0.20425363,-0.26781521,-0.98178276,-0.58547653,-1.6043906,-0.57823757,-0.55871774,-0.18744334,-0.83970501,-0.66473404,-0.99989407,-0.48631638,-0.64356509,-1.3512615,-0.81563321,-1.3351862,-0.9884303,-0.8752878,-0.57553982,-0.32454011,-1.971998,-0.71479312,-1.6031232,-0.53630936,-1.4322234,-1.3333491,-0.94738343,-1.0325698,-1.0410871,-0.21371601,-0.95299135,-0.94468858,-0.66642442,-0.92914313,-0.8831784,-1.4568138,-0.64486314,-2.492612,-0.23831414,-0.33101323,-0.84725151,-0.42085456,-0.59173975,-1.0346082,-0.96398834,-0.86095353,-0.24899276,-1.517705,-0.78384418,-0.57655283,-0.19555322,-0.59423027,-0.83868623,-1.0416744,-0.33673577,-0.63653058,-0.59006057,-0.96136859,-0.81537477,-1.0357977,-2.6894574,-1.1680204,-1.1264584,-0.42304308,-1.3036323,-0.18946044,-1.2514246,-1.1215004,-0.58902958,-1.0474518,-1.0533004,-0.79763169,-1.5864031,-1.2715267,-0.2447564,-0.37188876,-1.0416461,-0.56519896,-0.93133914,-0.17444905,-0.40841157,-2.8964513,-0.41567334,-0.70894561,-0.26697817,-0.43340632,-0.74953684,-0.23041482,-0.47621629,-0.44403002,-1.0753506,-0.75179546,-2.5728487,-2.4553213,-0.43324698,-0.2656542,-0.5591359,-0.6571454,-0.51078921,-0.56173418,-0.33085654,-0.1871899,-0.7851483,-0.34324666,-0.61762763,-1.2639401,-0.54240735,-0.50081512,-0.72912099,-1.4847056,-2.5150347,-0.26615103,-2.1460563,-0.85552672,-0.7158652,-0.72035417,-0.46815147,-0.37543489,-0.2777175,-0.67025531,-0.35858578,-0.41344274,-0.46870156,-1.4854003,-0.47757964,-0.69476156,-0.63190727,-1.4356954,-0.6537193,-0.19254302,-0.31798438,-0.59693815,-0.6930603,-0.60304913,-0.91265429,-1.047155,-0.63942354,-0.38475379,-0.81534352,-0.79130155,-0.55845757,-0.62599733,-0.83022327,-1.3238092,-0.85506057,-1.4638597,-0.72552458,-0.74178782,-0.47438248,-1.3935048,-1.0710238,-0.48741258,-0.77516764,-0.36441328,-1.5180906,-0.18068929,-0.95013712,-0.89651211,-0.51809235,-0.24379328,-0.92837002,-0.54032473,-0.50352645,-0.34792793
-277.14756,0.99957388,0.098728357,4,15,0,277.21339,0.29962538,1.4762553,0.17515465,-3.0149984,0.049045915,-1.816787,-1.006195,-0.26270447,-1.2485102,-0.34560437,-1.9681988,-0.17435807,-8.4905083,-0.77919604,-0.24451556,-0.36664036,-0.7648579,-0.67032651,-0.18357263,-0.27041659,-0.72603532,-0.28943979,-1.6341798,-0.91525691,-0.9727381,-1.706018,-0.88565083,-0.60128549,-1.0004777,-0.96616868,-0.50951467,-1.8602127,-0.25308228,-0.5268107,-0.51012916,-0.38951039,-1.329852,-0.17680401,-2.6601449,-2.7349381,-0.44816659,-1.5161045,-1.5067166,-0.69025839,-0.66759309,-0.51416888,-2.6076735,-2.1146089,-1.5535253,-0.62154589,-0.60354984,-1.0581488,-1.9009229,-2.0780124,-0.93237398,-0.86885146,-1.451143,-1.2452519,-0.47427146,-0.23620858,-0.92178264,-0.71561472,-1.7059206,-0.20195001,-0.70449476,-0.80587722,-0.81990161,-0.60236345,-0.74891646,-0.69177766,-0.16157509,-0.79159282,-1.0114713,-1.1985034,-1.5804294,-0.50944078,-1.2445824,-1.0400003,-0.16132373,-0.16837307,-0.38589869,-0.68459582,-0.82729739,-2.0370811,-0.97508992,-0.63900118,-0.88742318,-0.18777626,-3.9577943,-0.94622299,-0.7623719,-0.19223063,-0.6067409,-0.18491675,-0.42100041,-0.63770895,-0.80021892,-0.47304985,-0.21966832,-1.5107845,-1.3212253,-1.1597102,-0.77450874,-0.45554899,-0.23245102,-1.2319742,-0.88383786,-0.98595769,-0.99319049,-0.17915781,-1.0465382,-0.47952091,-0.29746398,-0.9065105,-0.42256634,-0.26990956,-0.39438618,-0.89518965,-1.2020458,-0.63837875,-1.7875393,-0.35985484,-0.85068096,-0.70424469,-0.72715128,-1.5211428,-1.0518321,-1.1162565,-0.56724045,-0.83766795,-0.23827939,-0.55107078,-0.82142775,-1.3006492,-0.19457396,-0.26015118,-0.98320161,-0.58274569,-1.621284,-0.5758161,-0.55804298,-0.17610643,-0.83930647,-0.66293651,-1.001877,-0.48221025,-0.64208463,-1.3618153,-0.81853489,-1.3416884,-0.99352836,-0.87893469,-0.57476561,-0.31981279,-1.9891989,-0.71572436,-1.615374,-0.53408808,-1.44184,-1.343079,-0.95193484,-1.0382449,-1.0468706,-0.20605374,-0.95919332,-0.9499183,-0.66871972,-0.93424307,-0.88726014,-1.4646466,-0.64334989,-2.5112932,-0.22958713,-0.32625259,-0.85069773,-0.41768234,-0.59070203,-1.0381836,-0.96737486,-0.86334115,-0.24306682,-1.5308897,-0.78718733,-0.57576611,-0.18643059,-0.5936836,-0.84068687,-1.0450986,-0.33154985,-0.63712072,-0.5890832,-0.96514141,-0.81731082,-1.0400036,-2.7128913,-1.1729688,-1.1308618,-0.41956833,-1.3109798,-0.17829329,-1.2570268,-1.1256321,-0.56303996,-1.0532948,-1.0566507,-0.79797972,-1.5956956,-1.2789608,-0.2373562,-0.36747566,-1.0462305,-0.56374228,-0.93444836,-0.16420701,-0.40578625,-2.9177152,-0.41054089,-0.70782743,-0.25849337,-0.42849487,-0.74891859,-0.22050908,-0.47197427,-0.43928953,-1.0785599,-0.75120481,-2.592432,-2.4736868,-0.428413,-0.25717224,-0.55617043,-0.65547656,-0.50714306,-0.55950578,-0.32539661,-0.17627883,-0.78747309,-0.33906501,-0.61778888,-1.2729052,-0.54151233,-0.49931168,-0.7309862,-1.4970093,-2.544722,-0.26040941,-2.1640767,-0.85741781,-0.71599553,-0.72054188,-0.46489643,-0.37063728,-0.27075222,-0.66909962,-0.35277541,-0.40838539,-0.46453596,-1.4936747,-0.47354111,-0.69368747,-0.63002377,-1.4458559,-0.65363875,-0.18033449,-0.31171014,-0.59525589,-0.69264378,-0.60248427,-0.91615316,-1.0527242,-0.63959835,-0.38133314,-0.81629844,-0.79126072,-0.55529614,-0.6252108,-0.83207519,-1.3318958,-0.85722708,-1.473734,-0.72623586,-0.74200817,-0.47113644,-1.4017978,-1.0770245,-0.48588904,-0.77756776,-0.36009974,-1.5305206,-0.17161215,-0.9563346,-0.90195042,-0.51702119,-0.22812781,-0.9337549,-0.53930063,-0.50162802,-0.34305544
-276.21586,0.99963782,0.098728357,5,31,0,277.54162,0.39922182,1.4855978,0.17116364,-3.2301284,0.039552421,-1.8109642,-1.0105393,-0.27690531,-1.2490737,-0.35939148,-1.9617891,-0.18806572,-6.7866762,-0.787568,-0.25911556,-0.37941277,-0.77069178,-0.67848747,-0.19657321,-0.28350354,-0.73288291,-0.30157721,-1.6229067,-0.91635991,-0.97291629,-1.7133307,-0.88679819,-0.60807949,-1.0006914,-0.96879716,-0.51783203,-1.8506769,-0.26619152,-0.53525706,-0.51989721,-0.4014164,-1.3293247,-0.18988517,-2.6449626,-2.7154094,-0.45969924,-1.5108511,-1.5077002,-0.69673953,-0.67385147,-0.52203376,-2.5780288,-2.0992214,-1.5459428,-0.62950986,-0.61175455,-1.0619026,-1.8937111,-2.0684118,-0.93743042,-0.87486281,-1.4515563,-1.2452286,-0.48433278,-0.24854349,-0.9234465,-0.72227259,-1.7078329,-0.21357757,-0.71008155,-0.81070599,-0.82506253,-0.6102867,-0.75442871,-0.69759273,-0.17125744,-0.79638376,-1.0121485,-1.1989204,-1.5757405,-0.51947705,-1.2451674,-1.0447759,-0.17602897,-0.18408212,-0.39905093,-0.69541519,-0.83650109,-2.0353985,-0.9808158,-0.64987115,-0.89458486,-0.20236723,-3.9249094,-0.95167861,-0.76847816,-0.20585989,-0.61414153,-0.19457904,-0.43184611,-0.64443131,-0.80611729,-0.48399517,-0.2327996,-1.5095625,-1.3224413,-1.1607345,-0.78191586,-0.46708236,-0.24539822,-1.2333718,-0.88925102,-0.99002768,-0.99648243,-0.18995333,-1.0471803,-0.48908357,-0.30711296,-0.908769,-0.43265042,-0.28188469,-0.40488986,-0.89880986,-1.2062679,-0.64583722,-1.7772874,-0.37103,-0.85519642,-0.71080004,-0.73320438,-1.515065,-1.052765,-1.1156944,-0.57445617,-0.84306746,-0.25080477,-0.56423371,-0.82143197,-1.3107273,-0.21322377,-0.27831465,-0.99502958,-0.59682577,-1.6068787,-0.58765012,-0.56517248,-0.18416902,-0.85104294,-0.67460551,-1.009939,-0.49602289,-0.65233184,-1.3577605,-0.82384788,-1.3427038,-0.99733714,-0.88422139,-0.58420267,-0.3325252,-1.9802355,-0.72291167,-1.610371,-0.54518101,-1.4408484,-1.339563,-0.95434655,-1.0393946,-1.0486055,-0.21815782,-0.95957924,-0.95148351,-0.67342132,-0.93625164,-0.89007126,-1.465848,-0.65342617,-2.4984195,-0.24408588,-0.33949062,-0.85491657,-0.42881507,-0.59980014,-1.0411492,-0.97407102,-0.86748884,-0.25405649,-1.5224206,-0.79113109,-0.58451544,-0.19935156,-0.60219564,-0.84641269,-1.051817,-0.3439189,-0.6442513,-0.59799696,-0.9690867,-0.82321999,-1.0448804,-2.6925595,-1.1749669,-1.1329132,-0.43107422,-1.30988,-0.19212809,-1.258981,-1.1291942,-0.53573444,-1.0563837,-1.0610598,-0.80558932,-1.5935315,-1.278702,-0.25061754,-0.3793075,-1.0491289,-0.57301514,-0.938393,-0.17903123,-0.41771396,-2.8939061,-0.4225658,-0.71556382,-0.27186776,-0.43989998,-0.756113,-0.23403277,-0.48281246,-0.4505544,-1.0813528,-0.75836904,-2.5680991,-2.4519833,-0.43929353,-0.27003304,-0.5653575,-0.66333319,-0.51698353,-0.57348148,-0.33586602,-0.18610378,-0.79100407,-0.34832107,-0.62320161,-1.2676708,-0.54801617,-0.50640922,-0.73537602,-1.4887852,-2.5114862,-0.27110895,-2.1483104,-0.86224221,-0.72274858,-0.7272334,-0.47501336,-0.38198406,-0.28325787,-0.67702598,-0.36484793,-0.41957779,-0.47499303,-1.4887146,-0.48342957,-0.70059456,-0.6378008,-1.4389439,-0.65945627,-0.18984184,-0.32318757,-0.6030031,-0.69904763,-0.60925458,-0.91839043,-1.0533264,-0.64694327,-0.39156164,-0.82271121,-0.79831827,-0.56498307,-0.63217578,-0.83612373,-1.3282726,-0.86091242,-1.4677313,-0.73122497,-0.74915015,-0.48117143,-1.3988431,-1.0764313,-0.49403209,-0.78162351,-0.37074021,-1.5224902,-0.1795364,-0.95530035,-0.90182044,-0.52437466,-0.22965007,-0.93421487,-0.54689543,-0.51141036,-0.35499748
