# stan_version_major = 2
# stan_version_minor = 37
# stan_version_patch = 0
# model = rlddm_single_subject_model
# start_datetime = 2025-09-26 05:10:17 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 3000
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.9999
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = dense_e
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /tmp/tmpxvcs7k9_/hy3du52e.json
# init = 2 (Default)
# random
#   seed = 2026
# output
#   file = /mnt/cup/people/jy4657/Repositories/tst-stan/cmdstan_tmp/subject_0_20250926_011017/rlddm_single_subject-20250926011017_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.37.0
# stancflags = --filename-in-msg=rlddm_single_subject.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,a,t0,log_scaler,scaler,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46,log_lik.47,log_lik.48,log_lik.49,log_lik.50,log_lik.51,log_lik.52,log_lik.53,log_lik.54,log_lik.55,log_lik.56,log_lik.57,log_lik.58,log_lik.59,log_lik.60,log_lik.61,log_lik.62,log_lik.63,log_lik.64,log_lik.65,log_lik.66,log_lik.67,log_lik.68,log_lik.69,log_lik.70,log_lik.71,log_lik.72,log_lik.73,log_lik.74,log_lik.75,log_lik.76,log_lik.77,log_lik.78,log_lik.79,log_lik.80,log_lik.81,log_lik.82,log_lik.83,log_lik.84,log_lik.85,log_lik.86,log_lik.87,log_lik.88,log_lik.89,log_lik.90,log_lik.91,log_lik.92,log_lik.93,log_lik.94,log_lik.95,log_lik.96,log_lik.97,log_lik.98,log_lik.99,log_lik.100,log_lik.101,log_lik.102,log_lik.103,log_lik.104,log_lik.105,log_lik.106,log_lik.107,log_lik.108,log_lik.109,log_lik.110,log_lik.111,log_lik.112,log_lik.113,log_lik.114,log_lik.115,log_lik.116,log_lik.117,log_lik.118,log_lik.119,log_lik.120,log_lik.121,log_lik.122,log_lik.123,log_lik.124,log_lik.125,log_lik.126,log_lik.127,log_lik.128,log_lik.129,log_lik.130,log_lik.131,log_lik.132,log_lik.133,log_lik.134,log_lik.135,log_lik.136,log_lik.137,log_lik.138,log_lik.139,log_lik.140,log_lik.141,log_lik.142,log_lik.143,log_lik.144,log_lik.145,log_lik.146,log_lik.147,log_lik.148,log_lik.149,log_lik.150,log_lik.151,log_lik.152,log_lik.153,log_lik.154,log_lik.155,log_lik.156,log_lik.157,log_lik.158,log_lik.159,log_lik.160,log_lik.161,log_lik.162,log_lik.163,log_lik.164,log_lik.165,log_lik.166,log_lik.167,log_lik.168,log_lik.169,log_lik.170,log_lik.171,log_lik.172,log_lik.173,log_lik.174,log_lik.175,log_lik.176,log_lik.177,log_lik.178,log_lik.179,log_lik.180,log_lik.181,log_lik.182,log_lik.183,log_lik.184,log_lik.185,log_lik.186,log_lik.187,log_lik.188,log_lik.189,log_lik.190,log_lik.191,log_lik.192,log_lik.193,log_lik.194,log_lik.195,log_lik.196,log_lik.197,log_lik.198,log_lik.199,log_lik.200,log_lik.201,log_lik.202,log_lik.203,log_lik.204,log_lik.205,log_lik.206,log_lik.207,log_lik.208,log_lik.209,log_lik.210,log_lik.211,log_lik.212,log_lik.213,log_lik.214,log_lik.215,log_lik.216,log_lik.217,log_lik.218,log_lik.219,log_lik.220,log_lik.221,log_lik.222,log_lik.223,log_lik.224,log_lik.225,log_lik.226,log_lik.227,log_lik.228,log_lik.229,log_lik.230,log_lik.231,log_lik.232,log_lik.233,log_lik.234,log_lik.235,log_lik.236,log_lik.237,log_lik.238,log_lik.239,log_lik.240,log_lik.241,log_lik.242,log_lik.243,log_lik.244,log_lik.245,log_lik.246,log_lik.247,log_lik.248,log_lik.249,log_lik.250,log_lik.251,log_lik.252,log_lik.253,log_lik.254,log_lik.255,log_lik.256,log_lik.257,log_lik.258,log_lik.259,log_lik.260,log_lik.261,log_lik.262,log_lik.263,log_lik.264,log_lik.265,log_lik.266,log_lik.267,log_lik.268,log_lik.269,log_lik.270,log_lik.271,log_lik.272,log_lik.273,log_lik.274,log_lik.275,log_lik.276,log_lik.277,log_lik.278,log_lik.279,log_lik.280,log_lik.281,log_lik.282,log_lik.283,log_lik.284,log_lik.285,log_lik.286,log_lik.287,log_lik.288,log_lik.289,log_lik.290,log_lik.291,log_lik.292,log_lik.293
# Adaptation terminated
# Step size = 0.209749
# Elements of inverse mass matrix:
# 0.468641, 0.00348445, -0.0268312, -0.028631
# 0.00348445, 0.00693569, -0.0126035, 0.000653217
# -0.0268312, -0.0126035, 1.13834, 0.00157401
# -0.028631, 0.000653217, 0.00157401, 0.0487002
-278.22292,0.97725381,0.20974865,4,15,0,281.35933,0.34938482,1.4349915,0.17452515,-3.215724,0.04012627,-1.8889183,-1.0310105,-0.23547797,-1.2879091,-0.32630135,-2.0492259,-0.12244127,-7.4807661,-0.7894386,-0.21244001,-0.34757036,-0.77339041,-0.67285099,-0.13346982,-0.24050616,-0.73047914,-0.2609362,-1.6891488,-0.92980638,-0.99056626,-1.7788403,-0.89907963,-0.59784044,-1.02156,-0.98538152,-0.50213835,-1.9313307,-0.22148926,-0.52051302,-0.50227956,-0.3725178,-1.3708058,-0.12212252,-2.782944,-2.8603509,-0.43612736,-1.5681401,-1.5636331,-0.69343215,-0.66880893,-0.5051401,-2.7183674,-2.1973016,-1.6057418,-0.62058757,-0.60147315,-1.0839926,-1.9759914,-2.1635453,-0.95051422,-0.88267389,-1.5056534,-1.2800801,-0.46203488,-0.19902352,-0.93758857,-0.72115005,-1.7749991,-0.16643576,-0.71023246,-0.81848194,-0.83294377,-0.60184436,-0.75674246,-0.69573662,-0.11048498,-0.80191311,-1.0349007,-1.2346349,-1.6390775,-0.50595744,-1.284657,-1.06872,-0.10801492,-0.11930069,-0.37269715,-0.69121528,-0.84193096,-2.1244444,-0.99801812,-0.64135497,-0.90379949,-0.14029207,-4.2013832,-0.96431359,-0.77030259,-0.14696215,-0.60539601,-0.11980129,-0.40589664,-0.63820625,-0.81159306,-0.46367584,-0.18522941,-1.5641352,-1.362883,-1.1920516,-0.7840194,-0.44402105,-0.19961267,-1.2678285,-0.89865695,-1.0061012,-1.0131174,-0.1258577,-1.0699412,-0.47047131,-0.27258214,-0.92241386,-0.40769367,-0.23950188,-0.37658886,-0.9095122,-1.2425428,-0.63698959,-1.852219,-0.33859625,-0.86203822,-0.70689203,-0.73074782,-1.5703059,-1.0739533,-1.1416312,-0.55951074,-0.84914882,-0.2027618,-0.55395098,-0.82942545,-1.3499683,-0.16366507,-0.2390188,-1.0127606,-0.58611008,-1.6755752,-0.57633507,-0.5534109,-0.11696227,-0.8579756,-0.6689713,-1.0284559,-0.47656603,-0.64540434,-1.4050162,-0.83207109,-1.3856714,-1.018228,-0.89697168,-0.57389131,-0.30014161,-2.0707032,-0.7227257,-1.6745066,-0.53107496,-1.4922406,-1.3849218,-0.9715525,-1.0628091,-1.0728071,-0.16885738,-0.97959913,-0.96948519,-0.67232554,-0.95322694,-0.90299436,-1.5164333,-0.64554742,-2.624302,-0.19588589,-0.30835543,-0.86584101,-0.40537781,-0.58969714,-1.0627666,-0.99297941,-0.87622173,-0.21148148,-1.5819004,-0.7975554,-0.57323368,-0.14392488,-0.59228065,-0.8536876,-1.0744151,-0.31033997,-0.63867366,-0.58726265,-0.98575564,-0.82928917,-1.068597,-2.8350604,-1.2047284,-1.1595325,-0.40568637,-1.3503625,-0.13084785,-1.2945954,-1.1555116,-0.42452406,-1.0826915,-1.0824871,-0.80853735,-1.6530847,-1.3180654,-0.20579239,-0.35023973,-1.0718811,-0.5605929,-0.95288282,-0.12124514,-0.39597904,-3.0552236,-0.39463054,-0.71114567,-0.22606714,-0.41327996,-0.75472597,-0.18113687,-0.45999015,-0.42489854,-1.1037942,-0.75714993,-2.7050075,-2.5789835,-0.41257196,-0.2237787,-0.54934685,-0.65497396,-0.49702344,-0.56235318,-0.30027553,-0.12133565,-0.79557059,-0.31615486,-0.61506348,-1.3076937,-0.53394978,-0.48893902,-0.73636886,-1.5455834,-2.6482048,-0.23036937,-2.2512047,-0.87018573,-0.72037845,-0.72519832,-0.45314349,-0.35154104,-0.24128214,-0.6701387,-0.33139381,-0.39107396,-0.45150577,-1.5412681,-0.46054808,-0.69502499,-0.62742795,-1.4908951,-0.65337144,-0.12133695,-0.28563893,-0.59106868,-0.69449118,-0.59971643,-0.93202016,-1.0774627,-0.64117721,-0.36474874,-0.82753054,-0.80026187,-0.54880299,-0.62380543,-0.84308067,-1.371531,-0.86970313,-1.521353,-0.7305042,-0.74939097,-0.46050718,-1.4467313,-1.1023677,-0.47713966,-0.78688235,-0.34115707,-1.5817338,-0.1186133,-0.97498388,-0.91753213,-0.50926904,-0.14391772,-0.95163494,-0.53326436,-0.49501423,-0.3235651
-277.35973,0.99976153,0.20974865,4,15,0,279.44903,0.36236249,1.5607275,0.17032648,-3.1150494,0.044376313,-1.7079995,-0.98288177,-0.33547858,-1.1985665,-0.40396219,-1.8439031,-0.28825382,-7.5396051,-0.78277605,-0.32536768,-0.42264913,-0.76778295,-0.68530709,-0.2926723,-0.3448852,-0.73559556,-0.35984889,-1.5407316,-0.90136289,-0.95250354,-1.6157439,-0.87384596,-0.62313882,-0.97592683,-0.94728854,-0.54060745,-1.7444874,-0.33056253,-0.55640788,-0.54363844,-0.44090334,-1.2733639,-0.29435089,-2.4569164,-2.5203292,-0.49091609,-1.4373371,-1.4318013,-0.70197932,-0.68190885,-0.54678616,-2.3992428,-1.9683445,-1.4686919,-0.64038982,-0.62449663,-1.031031,-1.7826028,-1.9400973,-0.91854134,-0.86267739,-1.3807166,-1.1979362,-0.51449341,-0.32141161,-0.90695859,-0.7241692,-1.6125027,-0.28586497,-0.71156032,-0.80159517,-0.81515624,-0.62228448,-0.75240613,-0.70155996,-0.26901388,-0.79024859,-0.98503011,-1.1532511,-1.4950226,-0.53841221,-1.1943683,-1.0119524,-0.2798023,-0.28075652,-0.43436963,-0.69778547,-0.82565028,-1.9081357,-0.95632074,-0.65847015,-0.87979351,-0.29488304,-3.552757,-0.93287198,-0.76641169,-0.2940781,-0.62716725,-0.31496053,-0.46758136,-0.65423229,-0.79921509,-0.51103718,-0.30330339,-1.4351807,-1.2664508,-1.1200458,-0.77791489,-0.49762166,-0.31280203,-1.1862224,-0.87576656,-0.9674181,-0.9737083,-0.29075108,-1.0188627,-0.51535582,-0.35962503,-0.89289168,-0.46772403,-0.34349412,-0.44465884,-0.88497524,-1.1574051,-0.65769883,-1.6790363,-0.4165861,-0.84602245,-0.71597575,-0.73653897,-1.4425636,-1.0251398,-1.0822685,-0.59567821,-0.83444168,-0.32132133,-0.57559952,-0.81572028,-1.2508721,-0.28223848,-0.33042906,-0.96507672,-0.60706189,-1.5262065,-0.60093146,-0.58324663,-0.2938156,-0.83679015,-0.67898959,-0.98164951,-0.51963398,-0.65994188,-1.2982248,-0.81357384,-1.2844822,-0.96984648,-0.86737441,-0.59778529,-0.3780131,-1.8615465,-0.72316045,-1.5266506,-0.56327401,-1.3723351,-1.2820302,-0.93299433,-1.0100093,-1.0176737,-0.29252735,-0.93706577,-0.93012822,-0.67818825,-0.91600191,-0.87477721,-1.3947877,-0.66167743,-2.3260038,-0.31312226,-0.3829473,-0.84204162,-0.46122609,-0.6130565,-1.0125199,-0.94795947,-0.85593799,-0.31794136,-1.4483487,-0.78461587,-0.59941152,-0.28272147,-0.61521554,-0.83568747,-1.0190196,-0.39047341,-0.65251224,-0.6118259,-0.94624317,-0.81441013,-1.0131619,-2.5006708,-1.1335026,-1.0960106,-0.46462962,-1.2555813,-0.28441417,-1.208912,-1.0916202,-0.76414217,-1.0230491,-1.0300481,-0.79938534,-1.5111175,-1.2265806,-0.31584022,-0.41971542,-1.0187565,-0.5895508,-0.91921206,-0.26628545,-0.44803362,-2.6760015,-0.45992106,-0.72026932,-0.33738516,-0.47566077,-0.75672352,-0.31149963,-0.51306534,-0.48490658,-1.0501181,-0.75875322,-2.3877357,-2.2842948,-0.47569821,-0.33679462,-0.58647766,-0.67391718,-0.54365281,-0.58479591,-0.38734327,-0.2889756,-0.7869952,-0.39610184,-0.63662427,-1.2188509,-0.56953826,-0.53267459,-0.73618766,-1.4183096,-2.3453543,-0.33207808,-2.0130417,-0.85125382,-0.72551968,-0.72955433,-0.50471717,-0.42427174,-0.34352538,-0.68525073,-0.41100684,-0.45843903,-0.5065308,-1.4188668,-0.51454661,-0.70769073,-0.65142868,-1.3739134,-0.66939985,-0.29948232,-0.37701181,-0.61945098,-0.70547234,-0.62368923,-0.90215899,-1.0233278,-0.6554368,-0.43019543,-0.81511467,-0.79409393,-0.58589929,-0.64462741,-0.82816263,-1.2733299,-0.85054504,-1.3995592,-0.73389966,-0.74849198,-0.50984527,-1.3365243,-1.0448467,-0.51954302,-0.7772818,-0.41349048,-1.4486421,-0.27879975,-0.93458349,-0.88611591,-0.54722135,-0.37945501,-0.91517026,-0.56713128,-0.53405382,-0.39932592
-277.64213,0.99416059,0.20974865,4,31,0,278.38239,0.38595066,1.4447037,0.17450892,-3.143896,0.043114495,-1.8714753,-1.0250684,-0.24284603,-1.2768696,-0.33276736,-2.032907,-0.13593908,-7.6297548,-0.78920397,-0.22212739,-0.35431934,-0.77163711,-0.67373586,-0.1467758,-0.24943063,-0.73157449,-0.26943949,-1.6765051,-0.92651426,-0.98648985,-1.765994,-0.89502609,-0.59922224,-1.0153531,-0.98157827,-0.50331124,-1.9167492,-0.23034132,-0.52181527,-0.50519925,-0.37826032,-1.3640591,-0.13647542,-2.7667608,-2.8433927,-0.44074733,-1.5552271,-1.5490456,-0.69331032,-0.66910584,-0.50774038,-2.7023119,-2.1807742,-1.5918154,-0.62167107,-0.60281871,-1.0800837,-1.9631074,-2.149181,-0.94817073,-0.88197024,-1.488515,-1.2752054,-0.46707734,-0.20967342,-0.93379523,-0.72028708,-1.7618794,-0.17287212,-0.70738281,-0.81372177,-0.82894117,-0.60149139,-0.75435561,-0.69421276,-0.11988151,-0.79879392,-1.0270466,-1.2239293,-1.6210939,-0.50513759,-1.2721405,-1.0604752,-0.12118035,-0.13236633,-0.37609056,-0.69126133,-0.84075838,-2.1135287,-0.99372193,-0.64307323,-0.90270942,-0.1539099,-4.2265942,-0.9636696,-0.76933264,-0.15933037,-0.60569207,-0.13559882,-0.4109921,-0.63786105,-0.80907703,-0.46687389,-0.19347927,-1.5540929,-1.3563193,-1.1845078,-0.78334767,-0.44865102,-0.20767085,-1.261957,-0.8973054,-1.0043552,-1.0113665,-0.13857652,-1.0649353,-0.47258483,-0.27701003,-0.91805749,-0.41202296,-0.24787437,-0.38206532,-0.9076341,-1.2301784,-0.63919113,-1.8416563,-0.34534775,-0.86142278,-0.7081884,-0.73201798,-1.5626608,-1.0713318,-1.1382843,-0.5633869,-0.84842268,-0.21266269,-0.55231701,-0.8260248,-1.3402369,-0.17183183,-0.24496427,-1.007325,-0.58660821,-1.6564089,-0.57714799,-0.5537697,-0.12955974,-0.85575635,-0.66925036,-1.0241831,-0.47953369,-0.64583574,-1.3923839,-0.82759479,-1.3773228,-1.0107255,-0.89122217,-0.57368298,-0.30441389,-2.0493161,-0.72079825,-1.6595688,-0.53214693,-1.4797537,-1.3735612,-0.96596028,-1.0559512,-1.065422,-0.17695648,-0.97139288,-0.9628884,-0.6687474,-0.94667683,-0.89795484,-1.5071992,-0.64689579,-2.6072666,-0.20541945,-0.3120929,-0.86060601,-0.40812818,-0.59023023,-1.058155,-0.98593155,-0.87423125,-0.21798642,-1.567376,-0.79317335,-0.5739623,-0.15390062,-0.59273852,-0.85159614,-1.0682479,-0.31622085,-0.63752225,-0.58824461,-0.98144645,-0.82700774,-1.0610952,-2.8159609,-1.2000949,-1.1557478,-0.41012755,-1.3431148,-0.14304877,-1.2889226,-1.151316,-0.45241203,-1.0729783,-1.0790949,-0.80833442,-1.6439477,-1.3092885,-0.21360089,-0.35475152,-1.0662473,-0.56178341,-0.94921113,-0.130708,-0.3966515,-3.0444497,-0.40077891,-0.71313065,-0.23609086,-0.41938953,-0.75617986,-0.19271965,-0.46536559,-0.4308206,-1.1013659,-0.75857464,-2.6942692,-2.5680908,-0.41877016,-0.23396759,-0.55350635,-0.65773549,-0.50192362,-0.56192401,-0.30728995,-0.13376769,-0.79336583,-0.32135105,-0.61545655,-1.2988288,-0.53551105,-0.4911746,-0.73435865,-1.5324136,-2.6190019,-0.23683224,-2.2355055,-0.86865727,-0.72074181,-0.72549937,-0.45722941,-0.35732927,-0.24945138,-0.67218889,-0.33853047,-0.39756573,-0.45702241,-1.5350469,-0.46608291,-0.69737579,-0.63063629,-1.4808481,-0.6538933,-0.13526632,-0.29331483,-0.59371029,-0.69576338,-0.60053457,-0.92836439,-1.0709897,-0.6404047,-0.36821892,-0.82662748,-0.80086093,-0.55305388,-0.62484933,-0.84121765,-1.3631418,-0.86749802,-1.5112042,-0.73005418,-0.74872388,-0.46397954,-1.4376462,-1.0957067,-0.47814674,-0.7833765,-0.3456619,-1.5678911,-0.12867481,-0.96733187,-0.91075353,-0.51038057,-0.16097842,-0.94489079,-0.53427556,-0.49635735,-0.32851981
