# stan_version_major = 2
# stan_version_minor = 37
# stan_version_patch = 0
# model = rlddm_single_subject_model
# start_datetime = 2025-09-26 05:28:03 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 3000
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.9999
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = dense_e
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /tmp/tmp3s5is0pw/5elnj9rz.json
# init = 2 (Default)
# random
#   seed = 2026
# output
#   file = /mnt/cup/people/jy4657/Repositories/tst-stan/cmdstan_tmp/subject_0_20250926_012802/rlddm_single_subject-20250926012803_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.37.0
# stancflags = --filename-in-msg=rlddm_single_subject.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,a,t0,log_scaler,scaler,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46,log_lik.47,log_lik.48,log_lik.49,log_lik.50,log_lik.51,log_lik.52,log_lik.53,log_lik.54,log_lik.55,log_lik.56,log_lik.57,log_lik.58,log_lik.59,log_lik.60,log_lik.61,log_lik.62,log_lik.63,log_lik.64,log_lik.65,log_lik.66,log_lik.67,log_lik.68,log_lik.69,log_lik.70,log_lik.71,log_lik.72,log_lik.73,log_lik.74,log_lik.75,log_lik.76,log_lik.77,log_lik.78,log_lik.79,log_lik.80,log_lik.81,log_lik.82,log_lik.83,log_lik.84,log_lik.85,log_lik.86,log_lik.87,log_lik.88,log_lik.89,log_lik.90,log_lik.91,log_lik.92,log_lik.93,log_lik.94,log_lik.95,log_lik.96,log_lik.97,log_lik.98,log_lik.99,log_lik.100,log_lik.101,log_lik.102,log_lik.103,log_lik.104,log_lik.105,log_lik.106,log_lik.107,log_lik.108,log_lik.109,log_lik.110,log_lik.111,log_lik.112,log_lik.113,log_lik.114,log_lik.115,log_lik.116,log_lik.117,log_lik.118,log_lik.119,log_lik.120,log_lik.121,log_lik.122,log_lik.123,log_lik.124,log_lik.125,log_lik.126,log_lik.127,log_lik.128,log_lik.129,log_lik.130,log_lik.131,log_lik.132,log_lik.133,log_lik.134,log_lik.135,log_lik.136,log_lik.137,log_lik.138,log_lik.139,log_lik.140,log_lik.141,log_lik.142,log_lik.143,log_lik.144,log_lik.145,log_lik.146,log_lik.147,log_lik.148,log_lik.149,log_lik.150,log_lik.151,log_lik.152,log_lik.153,log_lik.154,log_lik.155,log_lik.156,log_lik.157,log_lik.158,log_lik.159,log_lik.160,log_lik.161,log_lik.162,log_lik.163,log_lik.164,log_lik.165,log_lik.166,log_lik.167,log_lik.168,log_lik.169,log_lik.170,log_lik.171,log_lik.172,log_lik.173,log_lik.174,log_lik.175,log_lik.176,log_lik.177,log_lik.178,log_lik.179,log_lik.180,log_lik.181,log_lik.182,log_lik.183,log_lik.184,log_lik.185,log_lik.186,log_lik.187,log_lik.188,log_lik.189,log_lik.190,log_lik.191,log_lik.192,log_lik.193,log_lik.194,log_lik.195,log_lik.196,log_lik.197,log_lik.198,log_lik.199,log_lik.200,log_lik.201,log_lik.202,log_lik.203,log_lik.204,log_lik.205,log_lik.206,log_lik.207,log_lik.208,log_lik.209,log_lik.210,log_lik.211,log_lik.212,log_lik.213,log_lik.214,log_lik.215,log_lik.216,log_lik.217,log_lik.218,log_lik.219,log_lik.220,log_lik.221,log_lik.222,log_lik.223,log_lik.224,log_lik.225,log_lik.226,log_lik.227,log_lik.228,log_lik.229,log_lik.230,log_lik.231,log_lik.232,log_lik.233,log_lik.234,log_lik.235,log_lik.236,log_lik.237,log_lik.238,log_lik.239,log_lik.240,log_lik.241,log_lik.242,log_lik.243,log_lik.244,log_lik.245,log_lik.246,log_lik.247,log_lik.248,log_lik.249,log_lik.250,log_lik.251,log_lik.252,log_lik.253,log_lik.254,log_lik.255,log_lik.256,log_lik.257,log_lik.258,log_lik.259,log_lik.260,log_lik.261,log_lik.262,log_lik.263,log_lik.264,log_lik.265,log_lik.266,log_lik.267,log_lik.268,log_lik.269,log_lik.270,log_lik.271,log_lik.272,log_lik.273,log_lik.274,log_lik.275,log_lik.276,log_lik.277,log_lik.278,log_lik.279,log_lik.280,log_lik.281,log_lik.282,log_lik.283,log_lik.284,log_lik.285,log_lik.286,log_lik.287,log_lik.288,log_lik.289,log_lik.290,log_lik.291,log_lik.292,log_lik.293
# Adaptation terminated
# Step size = 0.23266
# Elements of inverse mass matrix:
# 0.502975, 0.00471368, 0.00815846, -0.0261942
# 0.00471368, 0.00772674, -0.014514, 0.000794224
# 0.00815846, -0.014514, 1.34931, -0.0129593
# -0.0261942, 0.000794224, -0.0129593, 0.050612
-277.39193,0.99151814,0.23265995,4,15,0,284.52543,0.42346902,1.5588027,0.17157407,-3.0537151,0.04718331,-1.707847,-0.98093651,-0.33372819,-1.1950089,-0.40374986,-1.8481178,-0.28871478,-8.0426592,-0.78371144,-0.32573516,-0.42301367,-0.7657172,-0.68504047,-0.29334488,-0.34489028,-0.73653822,-0.35971718,-1.5413346,-0.89974287,-0.9510291,-1.6209196,-0.87073538,-0.62157262,-0.97276405,-0.94693691,-0.53687635,-1.7484945,-0.32995296,-0.55319983,-0.5424751,-0.44037099,-1.2763286,-0.29522153,-2.4738455,-2.5376495,-0.49071639,-1.436299,-1.4297008,-0.70034182,-0.68015317,-0.5445232,-2.4137054,-1.9747668,-1.467294,-0.639562,-0.62362132,-1.032697,-1.7895151,-1.9485692,-0.9196738,-0.86458507,-1.3741146,-1.2018003,-0.51507086,-0.32180575,-0.90511769,-0.72232985,-1.6165476,-0.27967614,-0.70699738,-0.79696483,-0.81181335,-0.6189094,-0.7493375,-0.69825174,-0.26302235,-0.78711038,-0.98007517,-1.1489487,-1.4894138,-0.53253981,-1.1889673,-1.0084184,-0.27966222,-0.28151802,-0.43136571,-0.69764405,-0.82681707,-1.9206632,-0.95591258,-0.65920609,-0.88171311,-0.29667445,-3.6268376,-0.93616984,-0.76523897,-0.29455541,-0.62425648,-0.31569887,-0.46695053,-0.65116646,-0.79699087,-0.50961091,-0.30034843,-1.4382426,-1.269981,-1.1186603,-0.77788998,-0.49749191,-0.31016484,-1.1887498,-0.87693365,-0.97006326,-0.97630692,-0.28937951,-1.0179923,-0.51217043,-0.35393094,-0.89013245,-0.46605713,-0.34252084,-0.4437214,-0.88543436,-1.1518903,-0.65817107,-1.6858897,-0.41640518,-0.84724256,-0.71666113,-0.7375778,-1.4478571,-1.0275796,-1.084934,-0.59633175,-0.83537063,-0.32099013,-0.57054961,-0.81177152,-1.2516296,-0.28013491,-0.32811869,-0.96475104,-0.60558061,-1.5188667,-0.5989975,-0.57932209,-0.29086628,-0.83706023,-0.67841252,-0.98217265,-0.51859736,-0.65872864,-1.2947673,-0.80960822,-1.2858632,-0.96591765,-0.86330674,-0.59435397,-0.37418204,-1.8603696,-0.72030492,-1.5255717,-0.5605556,-1.371173,-1.2796878,-0.93004654,-1.0072079,-1.0146119,-0.28877523,-0.93053312,-0.92573955,-0.67152001,-0.91148797,-0.87117204,-1.3985218,-0.662011,-2.3398812,-0.31284937,-0.37862327,-0.83735924,-0.45779763,-0.61075202,-1.0128463,-0.94391267,-0.85594807,-0.31366028,-1.4456551,-0.77987878,-0.59728903,-0.28067513,-0.6130392,-0.83543486,-1.0180663,-0.38909827,-0.64894105,-0.61029415,-0.94575479,-0.81348264,-1.0097127,-2.5160478,-1.1366757,-1.0992316,-0.46382337,-1.2580144,-0.2842977,-1.2126422,-1.0945983,-0.77470037,-1.0170285,-1.0326649,-0.80084303,-1.5172029,-1.2263972,-0.31341943,-0.41723845,-1.0178847,-0.58743812,-0.91837795,-0.26261529,-0.441769,-2.7029545,-0.46068107,-0.72208614,-0.33827165,-0.47662964,-0.75870087,-0.31259004,-0.51413353,-0.48589856,-1.0537058,-0.76073976,-2.4082776,-2.3026853,-0.47658634,-0.33761423,-0.58769436,-0.6754571,-0.54473008,-0.58172771,-0.3862874,-0.28697279,-0.78459695,-0.39281588,-0.63380546,-1.2174801,-0.56656149,-0.5296152,-0.73291967,-1.4163045,-2.3440529,-0.32817523,-2.0213571,-0.85174105,-0.725533,-0.72958193,-0.50405389,-0.42344295,-0.34268347,-0.68646064,-0.41141815,-0.45931846,-0.50753064,-1.4252998,-0.51556838,-0.70940176,-0.6529132,-1.374297,-0.66750437,-0.29857202,-0.37645236,-0.61942601,-0.70574048,-0.62125966,-0.90047032,-1.0210194,-0.65222054,-0.42634946,-0.81571465,-0.79602359,-0.58733117,-0.64292402,-0.82699832,-1.2737253,-0.84945063,-1.4004672,-0.73225534,-0.74750602,-0.50810608,-1.3376657,-1.0425251,-0.51455021,-0.7727491,-0.4101754,-1.4464567,-0.27331372,-0.92811386,-0.87964856,-0.54323631,-0.37818861,-0.90969991,-0.56365407,-0.53066846,-0.39659398
-279.14591,0.98476167,0.23265995,3,7,0,279.33768,0.5033845,1.5846081,0.1717649,-3.1813535,0.041529406,-1.6768398,-0.97347385,-0.35539684,-1.1799519,-0.420743,-1.8131638,-0.32622745,-8.5312733,-0.78425785,-0.35001466,-0.43826496,-0.76409589,-0.68801893,-0.32817623,-0.36627121,-0.7372511,-0.37913818,-1.5097809,-0.89171377,-0.94115208,-1.6010275,-0.86381585,-0.6257404,-0.96333368,-0.9403626,-0.54401543,-1.7156132,-0.35285075,-0.55954382,-0.55089435,-0.45408155,-1.2587472,-0.33365554,-2.4163042,-2.4768129,-0.50226789,-1.4119775,-1.4100068,-0.70086104,-0.68095159,-0.55042621,-2.3485731,-1.9346145,-1.4427613,-0.64478878,-0.62945593,-1.0242831,-1.7558452,-1.9094848,-0.91504613,-0.86184636,-1.3545361,-1.1869107,-0.52486879,-0.34637594,-0.89770155,-0.72263223,-1.5934216,-0.30374386,-0.70766949,-0.79521356,-0.80981515,-0.62338255,-0.74859617,-0.69892444,-0.29617965,-0.7850185,-0.96992496,-1.1346235,-1.4641493,-0.53970882,-1.173961,-1.0018266,-0.32138357,-0.32023389,-0.44533714,-0.70236313,-0.82708897,-1.8856891,-0.94960525,-0.6646847,-0.87854887,-0.33070698,-3.5033042,-0.93023087,-0.76353942,-0.32621696,-0.62732508,-0.35914345,-0.47884487,-0.65325589,-0.79442373,-0.51999339,-0.32451849,-1.4168641,-1.2536837,-1.1051027,-0.77762959,-0.50837425,-0.33325994,-1.1748049,-0.87301882,-0.96289672,-0.96838161,-0.32358161,-1.006683,-0.52043307,-0.36896276,-0.8834236,-0.47756275,-0.36329923,-0.45667745,-0.88048964,-1.1397714,-0.66174229,-1.6527362,-0.43148343,-0.84390772,-0.71802745,-0.73796463,-1.4228753,-1.01724,-1.0721961,-0.60132004,-0.83260134,-0.34492899,-0.57839922,-0.80600124,-1.240817,-0.30942435,-0.35119062,-0.96207133,-0.61343827,-1.4883455,-0.60539714,-0.58412953,-0.32766238,-0.83683161,-0.68250447,-0.97607978,-0.52898114,-0.66257555,-1.2759561,-0.80753214,-1.26746,-0.95952625,-0.86020026,-0.6006023,-0.39132819,-1.825849,-0.72140555,-1.5001079,-0.56800731,-1.3519192,-1.2612424,-0.92328649,-0.99786393,-1.0057125,-0.3147583,-0.92172869,-0.91860937,-0.67167831,-0.90524838,-0.86629177,-1.3805842,-0.66740691,-2.2896908,-0.33877161,-0.39505114,-0.83268073,-0.46955355,-0.61615197,-1.0048976,-0.93709171,-0.85302623,-0.33531392,-1.4210069,-0.77820982,-0.60447782,-0.3122281,-0.61664562,-0.83116447,-1.0108629,-0.40704871,-0.65254469,-0.61691149,-0.9407459,-0.81285632,-1.000032,-2.45947,-1.1253173,-1.0885273,-0.4774521,-1.2419262,-0.31941034,-1.199491,-1.0852759,-0.8643882,-1.0066523,-1.0253637,-0.80127049,-1.4942458,-1.2105449,-0.33667372,-0.43155057,-1.0089588,-0.59361581,-0.91220058,-0.29585142,-0.45323926,-2.6320396,-0.47390916,-0.72366716,-0.3609206,-0.48863221,-0.75894153,-0.33967837,-0.52424097,-0.49741415,-1.0435607,-0.76090645,-2.344399,-2.24359,-0.48817379,-0.36008505,-0.59406239,-0.6783084,-0.55297419,-0.59052121,-0.40285472,-0.32238735,-0.78187226,-0.40695153,-0.63610854,-1.1987577,-0.57158821,-0.5362521,-0.73199805,-1.391547,-2.2840828,-0.34799299,-1.978251,-0.84892304,-0.72715307,-0.731056,-0.51460405,-0.43835161,-0.36404034,-0.68968266,-0.42752701,-0.47213254,-0.51781126,-1.4006476,-0.52495123,-0.7107001,-0.65638471,-1.3494803,-0.66842922,-0.33569523,-0.39393344,-0.6239497,-0.70693377,-0.62442218,-0.89346226,-1.0103441,-0.65517648,-0.43891098,-0.81453578,-0.79542831,-0.59397732,-0.64508179,-0.82235855,-1.253087,-0.84400857,-1.3751559,-0.7307115,-0.74700561,-0.51652892,-1.3156672,-1.0303037,-0.52057677,-0.76878658,-0.42325065,-1.4207134,-0.3050202,-0.91773019,-0.87096539,-0.5492622,-0.43136931,-0.90100109,-0.56918079,-0.538743,-0.41179976
-276.96365,0.99900362,0.23265995,4,15,0,280.29601,0.54909674,1.5037404,0.17346997,-3.010301,0.049276845,-1.7783041,-0.99709754,-0.29042681,-1.2233335,-0.37325409,-1.9382902,-0.21861519,-8.0706224,-0.78977954,-0.28020247,-0.3937684,-0.7639414,-0.68099606,-0.22659036,-0.30240192,-0.73689377,-0.31907605,-1.596744,-0.90648777,-0.96167576,-1.7020765,-0.8744003,-0.61005372,-0.98523841,-0.96329842,-0.51594047,-1.8326283,-0.28475403,-0.5334933,-0.52530686,-0.41275904,-1.3213541,-0.22231526,-2.64161,-2.7123628,-0.4697052,-1.4846161,-1.479327,-0.69339728,-0.67084231,-0.5228279,-2.5661534,-2.0801091,-1.5181496,-0.63229779,-0.61497977,-1.0584971,-1.8819379,-2.0564868,-0.93615739,-0.87739042,-1.4100367,-1.242753,-0.49566777,-0.27135229,-0.9131834,-0.71794542,-1.6935059,-0.21820671,-0.70000511,-0.79767988,-0.81478042,-0.6061529,-0.74635854,-0.69063086,-0.18345015,-0.78697405,-0.98956572,-1.1719493,-1.5330482,-0.5098601,-1.2138047,-1.0274376,-0.2074726,-0.21546367,-0.40249268,-0.69764686,-0.83799621,-2.0347207,-0.9718118,-0.65551106,-0.89558616,-0.23355993,-4.0754723,-0.95447017,-0.76370297,-0.23284184,-0.61005266,-0.23053754,-0.44182192,-0.63929997,-0.79755218,-0.49007541,-0.24536918,-1.4969772,-1.315919,-1.1434395,-0.78138317,-0.47654188,-0.25824556,-1.2271358,-0.88905086,-0.99082027,-0.99688619,-0.21430493,-1.0350354,-0.48881449,-0.30688464,-0.89649119,-0.44017949,-0.29863365,-0.41553403,-0.89703552,-1.1752714,-0.65184789,-1.7685867,-0.38528496,-0.85686774,-0.71536262,-0.73786417,-1.5087982,-1.0516364,-1.1133374,-0.5829062,-0.84368745,-0.27110225,-0.55459114,-0.80962584,-1.2945432,-0.2285183,-0.28844589,-0.98528803,-0.59605314,-1.5605666,-0.5862877,-0.56125503,-0.20805827,-0.84654512,-0.67371343,-1.0016257,-0.49984186,-0.65094898,-1.331194,-0.81158614,-1.3264226,-0.98031153,-0.87015767,-0.58076378,-0.3375589,-1.9420853,-0.71625334,-1.5819851,-0.54372615,-1.4174653,-1.3164916,-0.94102087,-1.0239312,-1.0324822,-0.23110731,-0.93509811,-0.93460682,-0.65760383,-0.91986264,-0.87738101,-1.4578639,-0.65863837,-2.4925518,-0.26500543,-0.34216612,-0.83767774,-0.43048016,-0.59855107,-1.0363574,-0.95299837,-0.86654163,-0.26320592,-1.493758,-0.778757,-0.58687321,-0.22121996,-0.59803702,-0.83910571,-1.0390699,-0.35708675,-0.63911703,-0.6009329,-0.9638857,-0.82098563,-1.0232654,-2.6895922,-1.173244,-1.1321503,-0.44134179,-1.3024863,-0.22024962,-1.2566272,-1.1283084,-0.61647262,-1.0283116,-1.0610663,-0.8096884,-1.5888905,-1.262401,-0.26398681,-0.38553091,-1.0378097,-0.57303977,-0.93008562,-0.19536234,-0.41074912,-2.9134816,-0.43641006,-0.72208579,-0.29365789,-0.45347113,-0.76182375,-0.25956726,-0.49502159,-0.46377269,-1.081783,-0.7640358,-2.5735746,-2.4544594,-0.45266452,-0.29182366,-0.57505018,-0.67070128,-0.52797013,-0.56989645,-0.3497717,-0.21051315,-0.78399151,-0.35442691,-0.62021751,-1.2487935,-0.54711667,-0.50674029,-0.72766003,-1.4617515,-2.4556606,-0.2796877,-2.1352248,-0.86200189,-0.72537187,-0.72975926,-0.48391399,-0.39413167,-0.30045353,-0.68380783,-0.38072213,-0.43389783,-0.48747954,-1.4847856,-0.49544954,-0.7072044,-0.64579192,-1.4177102,-0.65661486,-0.21738136,-0.33825004,-0.60848052,-0.70225179,-0.60712908,-0.90852806,-1.0379201,-0.64180428,-0.39385512,-0.82354064,-0.8029086,-0.5750533,-0.6303986,-0.82927358,-1.3101334,-0.85347115,-1.4465169,-0.72655691,-0.74540012,-0.4842426,-1.3802218,-1.0599801,-0.48708916,-0.76627813,-0.37445562,-1.4935299,-0.19303135,-0.93039434,-0.87862482,-0.52144321,-0.26581141,-0.9129344,-0.54431543,-0.51016356,-0.36145002
