subject,condition,n_planets,centrality_rt_corr,mean_centrality
0.0,2-planets,2,,1.0
0.0,3-planets,3,0.16151800141391492,0.3333333333333333
0.0,4-planets,4,0.026780591778360483,0.16667414493160734
0.0,5-planets,5,0.0042488300994317765,0.10001845410300672
1.0,2-planets,2,,1.0
1.0,3-planets,3,-0.13472007779779263,0.3333370743642119
1.0,4-planets,4,-0.09708481880903432,0.16672222072877613
1.0,5-planets,5,0.016254548191079233,0.10004580852038478
2.0,2-planets,2,,1.0
2.0,3-planets,3,-0.18988488414031454,0.3333464437172255
2.0,4-planets,4,0.1324423639382108,0.16673584688112533
2.0,5-planets,5,-0.07752601344442943,0.10000797600285184
3.0,2-planets,2,,1.0
3.0,3-planets,3,-0.029956767384117188,0.33335949353842925
3.0,4-planets,4,-0.005028840610801806,0.16666666666666669
3.0,5-planets,5,-0.027331322223550548,0.1
4.0,2-planets,2,,1.0
4.0,3-planets,3,0.07873624026173595,0.33333376250323393
4.0,4-planets,4,-0.047839100167627616,0.16666666666666666
4.0,5-planets,5,-0.02549516585673859,0.10001708123766882
5.0,2-planets,2,,1.0
5.0,3-planets,3,-0.27493713455868,0.3333361924760652
5.0,4-planets,4,-0.14990188875363195,0.16666666666666666
5.0,5-planets,5,-0.16643265258064535,0.10001636044130399
6.0,2-planets,2,,1.0
6.0,3-planets,3,0.0683586413989888,0.3333436924783745
6.0,4-planets,4,-0.19908871284473714,0.1666742182443121
6.0,5-planets,5,-0.141125761019135,0.10003153179567467
7.0,3-planets,3,-0.07222448760634491,0.33333333333333337
7.0,4-planets,4,0.06527825259178043,0.16667928659266018
7.0,5-planets,5,-0.1655632008236611,0.10003326760642257
8.0,2-planets,2,,1.0
8.0,3-planets,3,-0.16598125761851606,0.3333333333333333
8.0,4-planets,4,0.13205076398951107,0.16667796533568346
8.0,5-planets,5,-0.099379370041327,0.1000257221305763
9.0,2-planets,2,,1.0
9.0,3-planets,3,0.10144121641070039,0.3333333333333333
9.0,4-planets,4,0.005631860748384662,0.16666666666666666
