,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
a0,2.025,0.236,1.637,2.533,0.005,0.005,3062.0,2125.0,1.0
w,0.71,0.034,0.645,0.776,0.001,0.001,3131.0,2122.0,1.0
v0,0.032,0.09,-0.138,0.212,0.001,0.001,5085.0,2847.0,1.0
b_v[0],0.113,0.093,-0.061,0.301,0.001,0.002,5380.0,2562.0,1.0
b_v[1],-0.412,0.097,-0.591,-0.215,0.001,0.002,4777.0,2540.0,1.0
b_v[2],0.582,0.254,0.078,1.07,0.005,0.004,3126.0,2279.0,1.0
b_v[3],-0.151,0.14,-0.423,0.133,0.002,0.002,4580.0,2884.0,1.0
b_v[4],-0.26,0.25,-0.724,0.263,0.004,0.004,3125.0,2508.0,1.0
eta_t0_0,3.865,0.503,2.911,4.831,0.008,0.009,4086.0,2407.0,1.0
b_t0[0],0.046,0.465,-0.858,0.958,0.007,0.007,4350.0,2991.0,1.0
b_t0[1],-0.092,0.468,-0.956,0.871,0.007,0.007,4096.0,2804.0,1.0
b_t0[2],-0.251,0.498,-1.247,0.696,0.008,0.009,4342.0,2712.0,1.0
b_a[0],-0.008,0.039,-0.084,0.065,0.001,0.001,5439.0,2794.0,1.0
b_a[1],0.022,0.041,-0.06,0.099,0.001,0.001,5103.0,2923.0,1.0
