participant_id,alpha_true,alpha_hat,a_true,a_hat,t0_true,t0_hat,scaler_true,scaler_hat,source_file,file_mtime
1,0.6863039387334261,0.276,1.31035586084828,1.281,0.1934991316325164,0.251,0.1076220103551073,0.5,stan_out/rlddm_single_subject-20250924_044445-summary.csv,1758703885.7847083
2,0.7254174922478079,0.276,1.7302217770007058,1.281,0.3055372683910057,0.251,0.1521236797840655,0.5,stan_out/rlddm_single_subject-20250924_052041-summary.csv,1758706044.2564619
3,0.3937010983266721,0.22,1.3872439992605576,1.285,0.3263852314632488,0.285,0.2503577629033396,0.5,stan_out/rlddm_single_subject-20250924_052831-summary.csv,1758708102.3513036
4,0.763756949843485,0.358,1.4752412978637472,1.261,0.3178976846756084,0.314,0.0848859800939358,0.122,stan_out/rlddm_single_subject-20250924_084411-summary.csv,1758717900.6874645
5,0.4752163801731982,0.359,1.3035450302000111,1.26,0.3905351963623364,0.314,0.1094765221785469,0.111,stan_out/rlddm_single_subject-20250924_084630-summary.csv,1758718500.4387228
6,0.4340624686773287,0.146,1.2377225102581983,1.294,0.2563482493381253,0.312,0.143581579566822,0.12,stan_out/rlddm_single_subject-20250924_091029-summary.csv,1758723303.9415019
7,0.2836050852285524,0.157,1.0250437782200494,1.295,0.263870374953246,0.312,0.4911114318155572,0.116,stan_out/rlddm_single_subject-20250924_125415-summary.csv,1758734160.2914116
8,0.6290701260175766,0.148,1.4166934563291964,1.293,0.2385648615385477,0.312,0.1208663881127963,0.12,stan_out/rlddm_single_subject-20250924_132503-summary.csv,1758735795.8577397
9,0.930913671444486,0.157,1.2674433201608923,1.295,0.3959390631174071,0.311,0.1654852732902902,0.115,stan_out/rlddm_single_subject-20250924_145755-summary.csv,1758741087.9843771
10,0.5874907040738654,0.037,1.5095716803101051,1.208,0.2671170912064265,0.317,0.4563689886782944,0.163,stan_out/rlddm_single_subject-20250924_165036-summary.csv,1758747755.334632
11,0.3061546623422631,0.035,1.4524197438574282,1.208,0.358447093491962,0.317,0.138301084292257,0.163,stan_out/rlddm_single_subject-20250924_173124-summary.csv,1758749846.8989427
12,0.5898799544834531,0.035,1.228699047771871,1.208,0.2073567344707828,0.317,0.2551084567078693,0.163,stan_out/rlddm_single_subject-20250924_175302-summary.csv,1758751143.7074847
13,0.7428318013707301,0.038,1.122045925408767,1.208,0.3340001293266357,0.317,0.1208809923355713,0.157,stan_out/rlddm_single_subject-20250924_180504-summary.csv,1758751926.831417
14,0.6481994514906875,0.281,1.1242317598831393,1.284,0.2741215924564224,0.312,0.3190724446303224,0.058,stan_out/rlddm_single_subject-20250924_182849-summary.csv,1758753242.8667226
15,0.0855877849597313,0.309,1.2027678009873577,1.272,0.4275026521921982,0.313,0.25266117223709,0.047,stan_out/rlddm_single_subject-20250924_184320-summary.csv,1758753991.59422
16,0.3476616044943748,0.097,1.2464564954222004,1.254,0.2726652410063318,0.314,0.2945103346127889,0.056,stan_out/rlddm_single_subject-20250924_184931-summary.csv,1758754300.1633153
17,0.5668599064054868,0.091,1.333149243177914,1.198,0.338726589311682,0.239,0.2473241466404958,0.058,stan_out/rlddm_single_subject-20250924_185722-summary.csv,1758754731.4237096
18,0.5788473586855993,0.097,1.1315615495130902,1.254,0.2624931818479633,0.314,0.1244846651269109,0.056,stan_out/rlddm_single_subject-20250924_190032-summary.csv,1758754960.523509
19,0.3379617418561134,0.137,1.0594879442660567,1.208,0.1592820262287646,0.273,0.1515569386853522,0.06,stan_out/rlddm_single_subject-20250924_191845-summary.csv,1758756016.3563905
20,0.1599809280146056,0.116,1.453042496571646,1.403,0.0966373891621205,0.422,0.2631758395780173,0.057,stan_out/rlddm_single_subject-20250924_192145-summary.csv,1758756192.8648834
unknown_21,,0.166,,1.564,,0.282,,0.059,stan_out/rlddm_single_subject-20250924_192358-summary.csv,1758756323.245304
unknown_22,,0.463,,1.564,,0.282,,0.058,stan_out/rlddm_single_subject-20250924_192705-summary.csv,1758756519.3115215
unknown_23,,0.488,,1.565,,0.282,,0.058,stan_out/rlddm_single_subject-20250924_192945-summary.csv,1758756674.2838778
unknown_24,,0.488,,1.565,,0.282,,0.058,stan_out/rlddm_single_subject-20250924_203946-summary.csv,1758760875.1969907
unknown_25,,0.513,,1.221,,0.11,,0.06,recovery_out/subject_1/rlddm_single_subject-20250925_001609-summary.csv,1758773787.4304953
unknown_26,,0.504,,1.3,,0.246,,0.064,recovery_out/subject_2/rlddm_single_subject-20250925_001614-summary.csv,1758773800.0577605
unknown_27,,0.562,,1.449,,0.301,,0.068,recovery_out/subject_3/rlddm_single_subject-20250925_001619-summary.csv,1758773802.4258213
