# stan_version_major = 2
# stan_version_minor = 37
# stan_version_patch = 0
# model = rlddm_single_subject_model
# start_datetime = 2025-09-25 04:16:09 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 2000
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.999
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = dense_e
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /Users/jy4657/Desktop/Repositories/tst-stan/recovery_out/tmp_subject_1_1758773768738/tmpmus426ci/u9_e_24y.json
# init = 2 (Default)
# random
#   seed = 2028
# output
#   file = /Users/jy4657/Desktop/Repositories/tst-stan/cmdstan_tmp/subject_1_20250925_001609/rlddm_single_subject-20250925001609.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.37.0
# stancflags = --filename-in-msg=rlddm_single_subject.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,a,t0,log_scaler,scaler,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46,log_lik.47,log_lik.48,log_lik.49,log_lik.50,log_lik.51,log_lik.52,log_lik.53,log_lik.54,log_lik.55,log_lik.56,log_lik.57,log_lik.58,log_lik.59,log_lik.60,log_lik.61,log_lik.62,log_lik.63,log_lik.64,log_lik.65,log_lik.66,log_lik.67,log_lik.68,log_lik.69,log_lik.70,log_lik.71,log_lik.72,log_lik.73,log_lik.74,log_lik.75,log_lik.76,log_lik.77,log_lik.78,log_lik.79,log_lik.80,log_lik.81,log_lik.82,log_lik.83,log_lik.84,log_lik.85,log_lik.86,log_lik.87,log_lik.88,log_lik.89,log_lik.90,log_lik.91,log_lik.92,log_lik.93,log_lik.94,log_lik.95,log_lik.96,log_lik.97,log_lik.98,log_lik.99
# Adaptation terminated
# Step size = 0.265613
# Elements of inverse mass matrix:
# 0.514289, -0.00440222, 0.0104331, -0.000152749
# -0.00440222, 0.0118505, -0.0296515, 0.0020843
# 0.0104331, -0.0296515, 0.25828, -0.00513842
# -0.000152749, 0.0020843, -0.00513842, 0.0579587
-79.753287,0.98121047,0.26561318,4,15,0,82.724696,0.60366434,1.2614869,0.10078019,-2.4003601,0.090685289,0.086075417,-0.92480224,0.13810562,-2.2328118,-0.079930518,-1.4758146,-0.37451796,-1.8500093,-0.98287582,-0.006578389,-0.2614445,-1.8061987,-1.3544825,0.17675469,-0.18482569,0.14435749,-0.47176745,-0.6114289,-0.51512096,-0.014556957,-0.47769955,-0.0013659625,-0.86867043,-0.22180402,0.050772856,-0.23374053,0.14187071,-2.5450387,-0.33881222,-0.40378248,-2.0495909,-0.038382756,-1.981542,-0.021523385,-1.1722491,-0.40853172,-0.74520742,-0.66659546,-0.79264803,0.15550367,-0.27826781,-2.2191169,-1.2194918,0.061452489,-0.13242325,0.042727179,0.15786922,-0.061588005,-0.9476139,-0.75951295,-0.29875172,0.019284999,0.14891432,-0.95995889,0.0036763416,0.10787043,-4.7905622,-0.22857278,-1.7953366,-0.19212476,0.036544562,-3.0205608,0.071579334,-0.087543625,0.12849887,0.14181858,-0.12010361,0.052939477,0.1444796,0.061525872,0.056155298,-0.0093239625,-0.1242536,0.093226046,-0.16162645,-3.5099153,-1.7860945,0.0039636957,-2.4777594,-0.38356089,0.13984135,-0.77609886,-0.1096068,-1.8475656,-0.46527698,-0.26784677,-0.53393504,-0.62933699,-0.27836732,-1.1027022,-2.9772849,-0.39159086,0.10399108,-0.57017733,-0.052253055,-0.24729878,-2.1907764,0.0090920547,-0.21675418
-77.614159,1,0.26561318,3,7,0,79.831933,0.5817458,1.2201117,0.10747777,-2.7580591,0.063414729,0.14073426,-0.93599525,0.19994222,-2.3448249,-0.03865639,-1.5410285,-0.36086354,-1.9451987,-0.98456556,0.037025228,-0.26095158,-1.9261744,-1.4338179,0.22730214,-0.14927421,0.20615585,-0.46413486,-0.59318409,-0.52471894,0.033711045,-0.4705534,0.044723535,-0.885763,-0.19365211,0.11372115,-0.20739944,0.20495949,-2.678563,-0.31987666,-0.38942577,-2.1489526,0.003686434,-2.0762157,0.022056457,-1.2111111,-0.40950526,-0.74792957,-0.66416831,-0.80295646,0.21984715,-0.2556282,-2.3296705,-1.2343494,0.11703264,-0.092709087,0.082800861,0.21841077,-0.01348958,-0.966038,-0.7655256,-0.28168627,0.083631732,0.20660298,-0.99148922,0.059532175,0.17494753,-4.993736,-0.20633811,-1.8803522,-0.16244098,0.085218579,-3.186928,0.13565447,-0.049646191,0.18905634,0.20491005,-0.084826661,0.11538465,0.21249028,0.098044376,0.097568249,0.021674585,-0.081109556,0.15804339,-0.12675448,-3.6915173,-1.8692695,0.048872116,-2.6037784,-0.35275551,0.18568847,-0.79381109,-0.063647273,-1.968928,-0.51207216,-0.25662531,-0.51225588,-0.64695675,-0.26084022,-1.1447792,-3.1051143,-0.37066554,0.1759676,-0.56954072,-0.0020434714,-0.22954927,-2.3003857,0.055439338,-0.18884501
-78.616999,0.98644091,0.26561318,3,7,0,78.701741,0.66470673,1.2320487,0.10406973,-2.5843589,0.075444433,0.12127837,-0.94157321,0.18859763,-2.3157577,-0.054946121,-1.5262284,-0.36948915,-1.9234206,-0.99735712,0.019307189,-0.2203585,-1.8736492,-1.4023343,0.2149612,-0.16386304,0.18561232,-0.47184142,-0.60930779,-0.52105219,0.035359823,-0.47818415,0.027642356,-0.88401731,-0.20565657,0.10606661,-0.21999754,0.18451045,-2.6437291,-0.33000045,-0.39806683,-2.1238686,-0.012944468,-2.052405,0.0050776165,-1.2039205,-0.40809263,-0.75116169,-0.66894344,-0.80292981,0.19946168,-0.26742661,-2.2988113,-1.2462884,0.117534,-0.079410729,0.072234832,0.20846861,-0.008692075,-0.96595526,-0.76897388,-0.29087744,0.076508865,0.18732804,-0.98685915,0.033807779,0.16081258,-4.9983384,-0.21705468,-1.8605026,-0.17559715,0.066718799,-3.1415283,0.12536502,-0.065127193,0.1687407,0.18449591,-0.099535355,0.10723492,0.19421726,0.08809279,0.10342124,0.03481756,-0.096245949,0.13801501,-0.13946928,-3.5973053,-1.8535115,0.030432182,-2.5608764,-0.37345398,0.17452607,-0.79238738,-0.08661891,-1.911998,-0.43833971,-0.25858619,-0.52999572,-0.63954086,-0.23108057,-1.1369548,-3.0683641,-0.38085468,0.15995401,-0.57532128,0.0018328746,-0.20094068,-2.274238,0.037598204,-0.20132023
