# stan_version_major = 2
# stan_version_minor = 37
# stan_version_patch = 0
# model = rlddm_single_subject_model
# start_datetime = 2025-09-25 04:16:14 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 2000
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.999
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = dense_e
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /Users/jy4657/Desktop/Repositories/tst-stan/recovery_out/tmp_subject_2_1758773773731/tmpae9ne9c4/5oahn1cy.json
# init = 2 (Default)
# random
#   seed = 2029
# output
#   file = /Users/jy4657/Desktop/Repositories/tst-stan/cmdstan_tmp/subject_2_20250925_001614/rlddm_single_subject-20250925001614.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.37.0
# stancflags = --filename-in-msg=rlddm_single_subject.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,a,t0,log_scaler,scaler,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46,log_lik.47,log_lik.48,log_lik.49,log_lik.50,log_lik.51,log_lik.52,log_lik.53,log_lik.54,log_lik.55,log_lik.56,log_lik.57,log_lik.58,log_lik.59,log_lik.60,log_lik.61,log_lik.62,log_lik.63,log_lik.64,log_lik.65,log_lik.66,log_lik.67,log_lik.68,log_lik.69,log_lik.70,log_lik.71,log_lik.72,log_lik.73,log_lik.74,log_lik.75,log_lik.76,log_lik.77,log_lik.78,log_lik.79,log_lik.80,log_lik.81,log_lik.82,log_lik.83,log_lik.84,log_lik.85,log_lik.86,log_lik.87,log_lik.88,log_lik.89,log_lik.90,log_lik.91,log_lik.92,log_lik.93,log_lik.94,log_lik.95,log_lik.96,log_lik.97,log_lik.98,log_lik.99,log_lik.100
# Adaptation terminated
# Step size = 0.0847456
# Elements of inverse mass matrix:
# 0.315665, -0.00189396, 0.00773162, 0.00550355
# -0.00189396, 0.0164131, -0.0358681, -0.000289823
# 0.00773162, -0.0358681, 0.329093, -0.000497261
# 0.00550355, -0.000289823, -0.000497261, 0.062664
-98.147033,0.99715057,0.084745631,5,31,0,99.339418,0.85815115,1.1888368,0.25969628,-2.9487452,0.052405421,-2.8478007,-0.88472611,-2.1040885,-0.77379679,0.27730117,-3.891791,-0.38978496,-1.0611066,-0.68691691,0.28678468,-1.1444835,-2.0940516,0.25767799,-2.3515269,-0.91332731,0.15224398,-0.43873068,-0.74237428,0.02290105,0.071543874,0.26511396,-3.0014283,-2.7011529,-0.54340564,-4.3561745,0.068714072,-3.8149756,-0.2887451,0.039398212,0.14636413,-0.17448994,0.26385396,-0.26809594,0.25072243,0.25385353,0.20113616,-0.33071072,-1.3883278,0.28932256,0.1394478,0.2101915,0.26663416,-0.72608401,0.03208036,-1.8002343,0.042758592,-2.7430003,-1.9625111,-0.18866234,-1.1007879,-0.86579133,-0.88534035,0.23398609,0.19676175,-0.3779079,-3.0644322,-0.3840881,-0.5277025,-1.0717645,-2.0943102,0.23438818,0.22479038,-0.11878025,0.1082255,-1.2209516,0.25890968,-1.3146716,-0.37668621,0.16981432,-3.5802192,-0.24530119,-0.75036223,-3.5960679,-0.63303167,-0.032967782,-0.75729211,-4.5046507,-0.11237477,-0.86808319,-0.21257747,-0.83047378,-1.4980558,0.12456189,-1.2088337,-0.51417567,0.17764014,0.22212335,0.17408252,-0.83873058,-1.3133648,-1.5346257,-0.084661886,-2.5715784,-0.38047242,-1.6767,-0.37629661,-1.3082075,-0.80371167,0.26770551,0.24051019
-94.177119,0.99999486,0.084745631,5,31,0,100.2651,0.69975601,1.2567659,0.26298036,-2.8788314,0.056200398,-2.5651254,-0.805944,-1.8996369,-0.70929811,0.12951571,-3.4993088,-0.8874156,-0.97066513,-0.63268309,0.18071056,-1.0319281,-1.9009297,0.098946642,-2.1135562,-0.83343569,0.10004748,-0.40960017,-0.68116568,-0.0039124966,-0.21323305,0.12068621,-2.7024362,-2.4338713,-0.50326669,-3.9148272,0.034185448,-3.4305769,-0.74112942,0.0099027136,0.095598642,-0.17496757,0.15621116,-0.25780202,0.15765978,0.15807654,-0.0076536146,-0.31346846,-1.2714489,0.18130096,0.085512805,0.13434187,0.16418522,-0.66193494,-0.27131282,-1.607251,0.013315855,-2.4802549,-1.7775034,-0.18883058,-1.0129874,-0.78685981,-0.8113574,0.12355356,0.11666319,-0.35908472,-2.7353503,-0.87610885,-0.48062507,-0.98684084,-1.8935467,0.14728889,0.15285979,-0.12448888,0.069578481,-1.1063312,0.10593878,-1.2140614,-0.35775976,0.11706503,-3.2014474,-0.23674973,-0.68572399,-3.4988057,-0.58139493,-0.045674502,-0.69738285,-3.9809858,-0.11966594,-0.79391325,-0.20884387,-0.76482364,-1.3644844,0.074501104,-1.104871,-0.47076953,0.11319898,0.13308061,0.11166169,-1.5442728,-1.1841168,-1.401683,-0.44296022,-2.2693362,-0.86090421,-1.5224,-0.35097066,-1.1888196,-0.73957449,0.15191347,0.15609839
-92.854948,0.99966468,0.084745631,6,63,0,95.746052,0.2954306,1.3027777,0.2531169,-2.8717306,0.056600886,-2.4400112,-0.79327619,-1.8207003,-0.7129915,0.057161491,-3.3093724,-0.70320669,-0.95894343,-0.64375287,0.092067466,-0.98648678,-1.8104638,0.036833366,-2.0161771,-0.82802079,0.03381748,-0.4338002,-0.68751339,-0.058264416,-0.21106807,0.054346225,-2.5620588,-2.3166325,-0.52156865,-3.6852425,-0.024743129,-3.2503117,-0.59951762,-0.046889321,0.030553581,-0.21695842,0.084366297,-0.29332231,0.085832204,0.086195395,-0.050267265,-0.34507157,-1.2655696,0.095949855,0.033004665,0.064109006,0.092761287,-0.66832869,-0.25207529,-1.5141873,-0.040632537,-2.4084951,-1.7318307,-0.23757739,-1.0063658,-0.7695018,-0.82696677,0.066465464,0.059638418,-0.37485883,-2.5961648,-0.69033488,-0.48054216,-1.0038112,-1.7905481,0.081283617,0.078659133,-0.17122352,-0.0054394086,-1.05256,0.041627953,-1.2142714,-0.40421919,0.035639893,-3.0958946,-0.28809202,-0.67136561,-3.6964794,-0.60933475,-0.095210171,-0.70690863,-3.6531617,-0.1619173,-0.79438219,-0.25120292,-0.78766815,-1.3130556,0.013387195,-1.0785094,-0.47658045,0.059985596,0.077015393,0.046404632,-1.1426029,-1.129028,-1.386391,-0.38028624,-2.0996351,-0.68256203,-1.4826281,-0.37144078,-1.1680008,-0.74383107,0.084465898,0.082254712
