# stan_version_major = 2
# stan_version_minor = 37
# stan_version_patch = 0
# model = rlddm_single_subject_model
# start_datetime = 2025-09-25 04:16:19 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 2000
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.999
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = dense_e
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /Users/jy4657/Desktop/Repositories/tst-stan/recovery_out/tmp_subject_3_1758773778780/tmpklj80sfi/t81q_h05.json
# init = 2 (Default)
# random
#   seed = 2030
# output
#   file = /Users/jy4657/Desktop/Repositories/tst-stan/cmdstan_tmp/subject_3_20250925_001619/rlddm_single_subject-20250925001619.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.37.0
# stancflags = --filename-in-msg=rlddm_single_subject.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,a,t0,log_scaler,scaler,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46,log_lik.47,log_lik.48,log_lik.49,log_lik.50,log_lik.51,log_lik.52,log_lik.53,log_lik.54,log_lik.55,log_lik.56,log_lik.57,log_lik.58,log_lik.59,log_lik.60,log_lik.61,log_lik.62,log_lik.63,log_lik.64,log_lik.65,log_lik.66,log_lik.67,log_lik.68,log_lik.69,log_lik.70,log_lik.71,log_lik.72,log_lik.73,log_lik.74,log_lik.75,log_lik.76,log_lik.77,log_lik.78,log_lik.79,log_lik.80,log_lik.81,log_lik.82,log_lik.83,log_lik.84,log_lik.85,log_lik.86,log_lik.87,log_lik.88,log_lik.89,log_lik.90,log_lik.91,log_lik.92,log_lik.93,log_lik.94,log_lik.95,log_lik.96,log_lik.97,log_lik.98,log_lik.99,log_lik.100
# Adaptation terminated
# Step size = 0.108693
# Elements of inverse mass matrix:
# 0.403581, 0.00318782, -0.0121836, -0.00906674
# 0.00318782, 0.0155348, -0.0415662, 0.00045852
# -0.0121836, -0.0415662, 0.795081, 0.00942095
# -0.00906674, 0.00045852, 0.00942095, 0.059003
-125.69358,0.99567804,0.10869276,4,15,0,125.93055,0.49745734,1.5393556,0.28883587,-2.225891,0.10797117,-0.41298118,-1.4030519,-0.43354256,-0.53023853,-1.0353493,-0.74704697,-1.8971894,-0.40480902,-1.19819,-3.415133,-0.25122785,-0.42145582,-0.41651078,-1.4469956,-0.64555255,-3.1578965,-2.1468378,-0.53430402,-3.2819876,-0.33787815,-0.81044631,-0.69675458,-1.6018603,-1.1148373,-1.4604178,-0.38344521,-0.5942526,-2.0537162,-0.31334344,-0.70905779,-1.0103804,-1.0241547,-0.5217269,-0.75789635,-1.125637,-1.0572964,-0.38458979,-1.6953472,-0.2578503,-0.63530145,-1.6234144,-0.47449575,-0.56955959,-0.5817518,-3.0695118,-1.0865819,-0.31771298,-0.49782722,-0.30610306,-0.30610306,-0.88654069,-3.3999289,-1.2267643,-0.30990241,-0.61875726,-0.45414093,-1.9197656,-0.54520536,-1.7009544,-0.99628937,-0.98823012,-0.53277313,-1.5360641,-0.32547339,-3.8365563,-2.3213326,-0.34879629,-1.5190972,-0.24735091,-1.1679881,-0.76866608,-0.50874996,-0.34091361,-1.4641513,-2.9082861,-1.0612257,-0.43595994,-0.18351235,-0.96233123,-0.31611697,-1.515967,-0.21397546,-0.42179187,-0.78098087,-0.73295324,-0.97937956,-0.58935819,-1.3530852,-0.45455587,-0.35267847,-0.28603534,-0.6006996,-0.51654582,-1.5521439,-2.8389696,-0.94060419,-2.7017649,-1.0640692,-1.0947988,-1.501585
-122.6403,0.99989479,0.10869276,4,31,0,125.82368,0.49671841,1.46916,0.29893196,-2.6255944,0.072396709,-0.35947517,-1.4375324,-0.34570785,-0.47580532,-1.0477593,-0.67106171,-1.9740764,-0.32855415,-1.1946371,-3.5021267,-0.19753679,-0.39329515,-0.39002806,-1.4498983,-0.60494447,-3.3322432,-2.2859584,-0.42909,-3.6009441,-0.29997699,-0.82719644,-0.64440139,-1.7103507,-1.1161005,-1.4905244,-0.33402053,-0.56596786,-2.16962,-0.26638171,-0.70865909,-1.0181557,-1.0237129,-0.49182761,-0.75304494,-1.1407787,-1.0549059,-0.32206605,-1.7842085,-0.15902521,-0.62305515,-1.6619172,-0.44808981,-0.53413526,-0.53728546,-3.2824888,-1.110102,-0.24941813,-0.45220239,-0.2304759,-0.2304759,-0.88908648,-3.668923,-1.2829215,-0.21076004,-0.57819395,-0.41468853,-2.0352263,-0.52551524,-1.7722869,-1.0147024,-0.99399497,-0.47834731,-1.6235381,-0.23686776,-4.200062,-2.5261357,-0.31685697,-1.6228255,-0.20385575,-1.2298891,-0.77157641,-0.48419056,-0.24163924,-1.4741289,-3.1943766,-1.0594468,-0.3115204,-0.1204226,-0.99967151,-0.28213851,-1.5155126,-0.13762022,-0.33473981,-0.76668729,-0.70675029,-0.9870959,-0.56091525,-1.3961292,-0.35250798,-0.29443179,-0.20906638,-0.56742351,-0.47364324,-1.6186751,-3.0368435,-0.94243218,-2.8813851,-1.0786363,-1.0900181,-1.597135
-123.78725,0.99498642,0.10869276,4,31,0,124.31595,0.47659196,1.4396776,0.31357079,-2.6620998,0.069801495,-0.3144661,-1.4344429,-0.41569081,-0.43290854,-1.0312382,-0.88848403,-1.9923406,-0.27890781,-1.1784061,-3.5777289,-0.15158327,-0.3537426,-0.35052699,-1.4422389,-0.56833275,-3.4143586,-2.3275351,-0.51719887,-3.6971677,-0.25734538,-0.80679047,-0.60558591,-1.7280874,-1.1004048,-1.4904068,-0.28849313,-0.52944781,-2.1985407,-0.22138487,-0.68171549,-1.4814104,-1.0047688,-0.45343046,-0.72558565,-1.1278204,-1.0344554,-0.27474433,-1.80029,-0.12372458,-0.59211149,-1.6647226,-0.41016449,-0.49624286,-0.49712928,-3.3573892,-1.0972169,-0.20093212,-0.41058972,-0.18153636,-0.18153636,-0.86641229,-3.7509899,-1.2806752,-0.16056788,-0.54073974,-0.37414849,-2.0651787,-0.49092449,-1.7852074,-0.99837445,-0.97512215,-0.43484191,-1.6363326,-0.26090817,-4.2642174,-2.5775858,-0.27485693,-1.6367146,-0.15861377,-1.2268627,-0.74543318,-0.44600534,-0.1904866,-1.4695215,-3.2573191,-1.0420607,-0.33559942,-0.077749297,-0.98631798,-0.23875754,-1.510611,-0.12504405,-0.39980525,-0.73629158,-0.67571721,-0.96934501,-0.52407945,-1.3931129,-0.4126873,-0.24764568,-0.16021204,-0.53072046,-0.43307328,-1.625714,-3.1000279,-0.92158079,-2.9391162,-1.0634713,-1.0704958,-2.4824005
